3an jadd	en dʒˈɛd
نفخ	nafˈaxnafˈax
نفخةٌ	nˈafˈʃa
نفس الشي	nafse æʃe
نفسو خضرا	nˈɛfs xɑdˈrɑ
نفَس	nˈɔfəs
نقانق	nɑːnæb
نقل	nˈɑsˈæld
نمر	nˈɛmɚ
نمورة	namˈuɾɐ
نهاية	neheje
نهدة	nhde
نهر	nˈar
نهفة	nˈˈɑħfɛ
نوع انواع	naː ɪnˈvɑː
نيسان	nisen
نَيْسَان	nɛjsɑn
نُص ساعة	nɔ sˈɛʁ
نِتْفِة	nˈɛtfˈɛ
نْبِيد	ɛlpiːt
نْتَلى	ntala
نْتَلى البالكون من مية الشتي	ntalaːl bɛlkɔw mɪn mɔjɛt ɪshitɪ
هاجر وما عاد رح يرجع	hɪːʒɑr maːʕad rɑħiː rɪxˈjɪrɪʃˈʔa
هاد	ad
هاي فايف	hˈaɪfˌaɪv
هبلة	hˈæˈblˈɑ
هجوم	udʒuɫum
هدهد	hˈɔːthˈɔt
هدول	haduːl
هدولة	hadul
هدوليك	ðæɾˈlˈiːk
هديك	he
هلأ مشغول، بس يفضى بيحكي معك	hello maʃuːl bs jefd bħmaʕt
هلَّأ	hala
هنا	una
هني	hˈɪnni
هنيان	anjɛn
هو	kʊˈʋˈɛ
هوا	hava
هود	ɦud
هودي رفقاتي	hau̯ dɪrɪ̞f eːtɪ̞
هون	hɔːn
هونيك	hau̯nk
هوي	hɔwˈwe
هوي دوّيم بيجي لهون	ħɔ ʋɛda wim bje̞ʒɛ laɦɔn
هوي زعل بلا سبب	hɑwˈzɑʕ albala sˈbɑːb
هي	hæ
هيدا	hɛjdɑ
هيدا الفستان بيلبقلي أكتر من هيداك	hɛjd ælfɛstɑːn bialpəli ɑktɑr mɪn hɛjdɪk
هيدا رفيقي	hæj dæɾ fˈiː e
هيدا كتير غالي	hɪ̞ðɑ kti̯r ɣɑ̞le hɪ̞ðɑ kti̯r ɣɑ̞le
هيدا هوي المطعم اللي خبرتك عنو	hɛjdɑ huː ɪlmatʕmæ ælj xabˈrtak ʕan
هيداك	hˈeɪdək
هيدوليك	əidoːnɪk
هيدي	hæjðɪ̞
هيدي رفيقتي	hajder fete
هيدي غرفة الولاد	hæj dɪːgɪr fɛtˈlɪ wlɪːd
هيديك	tˈɪdˈɪk
هيي	hˈeje
هيي بتضهر كتير بكير من وقت للتاني	hɪ̞jɪ̞p tʊ̞d χärʲɪk tʲeɾ bæk kʲir mɪ̞nʲu ɑtlætɛnɪ̞
هَدول	ħaduːl
واحد	ɑːn
واحد وعشرين	wɑhɑd ʕæriːn
وادي قاديشا	oi
وانتي شو خصك ست حشورة؟	nˈt ʃoːxt saks ætˈħætæuːrˈ
وجبة	uazbe
وجبة أكل	waːʃbt ʔakl
وجه	wˈɚʃ
ورا	wˈɔtə
وردة	uɛɾte
ورق تواليت	waːraː ʔtwalaːt
ورق عريش	waɾa aɾiʃ
وسايِل نَقِل	wasiː alnʔal
وسط	waːsɔːt
وعي	wʁi
وقت الفراغ	waqt alfarɑːz
وقفي	wɒtfɪ
ولا يهمك	walaː jamma
ولادة	ulede
ولدنة	walˈdane
ويكيبيديا	wikibjdiɑ
وين بلاقي الحمّام؟	wɑjn bɛn ælˈhæmɪm
وَدّى	wɒtða
وَضَّح	wɒtðə
يا جماعة	jæ dʒæmæː
يا دوب	jædʒuːb
يا زلمى هدون	je zæɾ mhædɑːn
ياكُل	jækːɑl
ياي	jɐj
ياي، شو حلو طالع	jaːj alˈʃħal taːˈlaːʔ
ياي، شو حلو هالمنظر	jaː iːʃuː ħalħ ælmanˈzær
يتخانق	ʔˈitˈxɔːnˈɑb
يتعوّد على	ɑtˈʕʔawad ælˈlæ
يتفرج	jɛdfʁaʒ
يجي	jedi
يخيّم	iːxjɪm
يرسب	jɪrsʲb
يزبّط	esempəit
يزعت	jezɑːt
يزعل	jæzæn
يسعد	jˈɪssaɪd
يسلمو إيديك	jeslamu iːtæk
يسلمو إيديكي	jɪslɑ mɔ ʔidɛjki
يسلمو ايديك	ɪslɑmɑʔiːðek
يسلمو ايديكي	ɪsˈlɑːm v ʔiːdr hiː
يطعمي	iːtami
يعبي	ħabba
يعني	jaˈni
يفاصل	ʕifasˈsˈl
يفضى	nʲada
يقبرني	jakbɔrni
يلا	jalla
يلا نمشي بسرعة قبل ما نتأخر	jalla nemʃiː bsˈraʕa ʔabɯl ma netaːxˈʔar
يلاقي	ilɑːiʔiːlaːʔiː
يلحس بلسانو	jælˈħæs beːlˈsænɑ
يمكن	dʒemkɛn
يمكن عرفت عن مين عم تحكي	jmkn ʕaʕraʕat ʕan mɪn ʕam tɑħˈkɑ
يه	e
يه! معقول؟	je maːʔuːl
يوتيوب	jˈutʃˈubˈ
يوم	jˈɑːm
يوم الجمعة	jɔm æʒrɑmɑʕ
يييي علينا	iːjɑleːnɑ
يَتعَشا	itazʂa
يَشتاق	etʃtɔ
يِقرا	ɛra
پاب	pɔb
پاركينغ	pɑrkɪŋ
