1	iktɪ̞ʲik
мучашыш	muːtʃaːʃɐʃ
мучашыште	muʲtʂaʂast
муче	multʃe
мучела	mutsiˈlɑ
мучката	muʲtʃkat̪a
мучко	mˈutʃkʌ
мучкыла	mˈutʃkˈaɭˈa
мучкыч-мучко	mutʃkatʃmuɟʃka
мучук	muːtʃuk
мучывуй	muːtʃʊˈvˈuj
мучывуян	mukʃebujan
мучыра	mutʃura
мучыртатылаш	muːtʃɛɾtɐtɐlɑʃ
мучыртатылмаш	mutʃaɾtatɑlmaɾʃ
мучыртатылме	mutʃɛrtatɑlma
мучыртатылше	mutsʲertatau̯se
мучышта	mustʃaʃta
мучышталт	mʊtʃˈeʃtɑɫ
мучышталташ	muɣ̞sest̪alt̪aɾs
мучышталтмаш	muit̪ʃaest̪alsmaɾ
мучышталтме	muːtʃaʃtaːltmɑ
мучышталтше	mutaeʃt̪alt̪s
мучыштара	mutʃʲaʂtara
мучыштаралт	mutʃisdara
мучыштаралташ	muːt̪ʃaʃt̪eɾaɾɦalt̪aʃ
мучыштаралтмаш	mutʃɪʃtɑɾɑɫtmɑʃ
мучыштаралтме	mutʃʲaʂtaɾaɫtmɯ
мучыштаралтше	mutsʲitɨpraɫdʐa
мучыштаралтын	matʃaʃtaɾaːl
мучыштарат	mʊtʃəʃtra
мучыштараш	mutʃaʃtaɾaʃ
мучыштарен	mutʃatsaɾɛn
мучыштаркалаш	multʃaʃtɑɾkɑlaɾʃ
мучыштарыде	mutʃɯʃtarɯdɯ
мучыштарылаш	mojtʃaʃtaralaːʃ
мучыштарыман	mutʃɯztaɾɯmɑn
мучыштарымаш	tʃiʃtaɾamaʃ
мучыштарыме	mutʃaʃtarɨm
мучыштарыше	mutsʲaʂtarɤʂ
мучышташ	mojtʃuʃtaʃ
мучыштен	mutʃaʃtɛ
мучыштмо	mutʃaʂtɫa
мучыштылшан	muxitʃitʃalʃan
мучыштымаш	mugtʃaʃtamaɾʃ
мучыштымо	mutsiʃtama
мучыштын	mutʃɛʃtɛn
мучыштыш	mukɯstɯz
мучыштышо	mutsiʃtɛʃa
муш	mˈuʃ
мушан	muʃan
мушаҥаш	muʃaŋaʃ
мушаҥмаш	muʃɑŋmaʃ
мушаҥме	mʊ̞ʂaŋmɑ
мушаҥше	muʃaŋʃɯ
мушдымо	muʒdama
мушкам	mʊ̞ʂkɑm
мушкат	mʊ̞ʃkɑt
мушкаш	muskas
мушкедаш	muskedɑʃ
мушкедме	muʃkɛdma
мушкедыл	mʊ̃ʃkɛdɔ
мушкедыше	muʃkʲadɨʃa
мушкет	muʂkʲet
мушкеш	muʃkʃ
мушко	mˈuʃka
мушкыкташ	muskɯktˈaɾʃ
мушкыктен	mʊ̞ʂkʊ̞ktæn
мушкылалтын	muskaɫaɑɫtɑn
мушкылт	muʃkau̯
мушкылташ	mʊ̞ʃkʊ̞ɫtɑʃ
мушкылтмаш	amɯ̞ʃqʊ̞ɫtmäɾʃ
мушкылтмо	muxkɯltni
мушкылтшо	muʃkɫtʂɨ
мушкылтын	mˈuʃkəltˈɑn
мушкылтыш	mʊ̞ʃkɑlˈtɑʃ
мушкылтышвӱд	muskɯltɯʃbʏ̞t
мушкын	mʊ̞ʃkɑn
мушкына	mʊ̞ʂkʊ̞nɑ
мушкында	mʊ̞ʂqɯ̞ntɑ
мушкындалмаш	mʊ̞ʂkɯ̞ntɑɫmɑʂ
мушкындаш	muskɔŋdɑʃ
мушкынден	mʊ̞ʂkɯ̞ndæn
мушкындо	mʏ̞ʂkɯ̞ndɯ̞
мушкындылаш	muskɯnˈdɯlɯz
мушкындым	muʃqɯnːdɯm
мушкындымаш	amuzkãn̪d̪amaɾ
мушкындымо	muskɵndɪˈmɑ
мушкындышо	muʂkʏndɯ̞ʂ
мушкыр	muskar
мушкыт	muʂka
мушкытат	mʊ̞ʃkɯ̞tɑ
мушкыч	muʂkatʂ
мушкыш	muskɐs
мушкышла	mʊ̞ʃkəʃɫa
мушкышташ	muzkeest̪s
мушлаш	mʊ̞ʃɫɑʃ
мушлык	mʊ̞ʃɫʊ̞k
мушлымаш	mʊ̞ʃɫɑmaʃ
мушлымо	musɫɯmɯ
мушлышо	mʊʃɫɑʃɑ
мушман	mʊ̞ʂmɑn
мушмаш	mʊ̞ʂmɑʂ
мушмо	muʃma
мушо	muʃa
муштово	muʂtova
муштра	mustʃa
муштроватлаш	muzt̪ɾaβ̞at̪laɾs
муштроватлымаш	mʊ̞ʃtɾɑbɑtɫɑmas
муштроватлыме	mʊ̞ʃtɾɑvɑtɫʊ̞mɯ̞
муштроватлыше	mʊʃtrobatɫɯʃɯ
муштровко	muʂtrovka
мушшо	mʊzˈtɑ
муыда	muda
муыде	mode
муыдымо	murdama
муымо	mˈoːmˈa
муын	mum
муынам	mona
муынат	moːnɒːt
муынеже	monaʒ
муынешт	munæʃ
муыныт	mumat
муышаш	mˈoʃaʃ
муышашлык	mʊ̞ʃæʃo
муэдаш	mʊ̞ːe̞das
муэш	mʊɛʃ
мыге-муго	mɐgːɨɛ̃mugwa
мыгедалташ	mugjed̪alt̪aɾ
мыгедаш	boʲːadaʂ
мыгедылаш	movʲedawʐ
мыгила	magiɫa
мыгилавичы	mʊɣiɫɐvitʃe
мыгылдык	mɯ̞gɯ̞ɫdɯ̞k
мыгыле	mˈˈugɑlɹ
мыгылталташ	muguutalt̪aɾʃ
мыгылшӱй	magɐlsɛji
мыгылын-мугылын	mˈɯgəlɯnmuˈgələn
мыгыль-мугыль	magalmuɣˈli
мыгыльвоҥго	mʊ̞gɪ̞lwɔngɔ
мыгыльшӱ	mugˈʌlʃim
мыгыльывоҥго	mɨvʲalʲivonga
мыгыричи	magrɛtʃi
мые	mˈaɪɚ
мыжге	mʊ̞rgæ
мыжгыраш	mˈʌsgˈɪrɑʒ
мыжер	moʒɾ
мыжеран	mˈaʒrˈan
мыжеретым	maʒeɾet
мыжерым	maxeɾo
мыжий	mˈˈgˈˈ
мыжийланаш	mɛziʎamas
мыжык	mʊ̞zɯ̞k
мыжыкланаш	maʒakɫɑnˈaʃ
мыжыкланымаш	mʊ̞ʒʊ̞kɫɑnɑmɑʂ
мыжыкланыме	maʐakɫanama
мыжыкланыше	mʊ̞ʒʊ̞kɫɑnʊ̞ʂ
мыжыклык	maːʒaklɛk
мыз	mˈaz
мызга	mʊ̞zgɑ
мызгаш	mɑzgɑʃ
мызге	mˈoːzdgjɛ
мызгыкташ	mˈasgəktˈaɾʃ
мызе	mɯzːe
мызий	maziː
мызийланаш	mɑziɫɑnɑʃ
мызыла	mɑzɯɫa
мый	maj
мый ешыште кыдалаш эрге ыльым [м. шкетан].	mɑjjæʂɑʃtækæ dɑɫɑʂ ergɛ ɑlʲɪm
мый еҥже шолвик, шонымем вик каласем.	mɯ̞ mʲenʒɯ̞ ʃɯ̞ɫ bʲik ʂonɯ̞mɪ̞m bʲik kɑɫɑ sʲem
мый йӧратем шинча тулетым.	mɨ nʲe radɛmʂ ʲintʂat uɫɛtɨm
мыйжат	majʐa
мыйже	majiʃe
мыйым	majɯm
мыйым коден ит кай!	maʲen kɔdɛnɨ itkaj
мыйымат	majɑmaːt
мыйын	mɒjɒn
мыйынат	majɛnɑt
мыйынлык	mɑjɯ̞nɫɯ̞
мыклага	mˈaklˈagˈa
мылам	mɯ̞ɫɑm
мыламат	maɫama
мыламже	mɑɫɑmʒɑ
мыланем	bɯlɑnɯm
мыланна	mɑɫanna
мыле	maɫe
мыль	mɐl
мыльга	mʊ̞ɫgɑ
мыльгалык	malʲgɑlk
мыльгаш	malʲgːˈaʃ
мыльге	mˈoligʊ
мыльгыжалташ	mʊɫʲgɑʒalːtɑʃ
мыльгыжаш	malʲgɤʒaʂ
мыльгыжмаш	mʊ̞lgʊ̞ʐmɑʒ
мыльгыжме	mʊ̞ɫʲgɑʂma
мыльгыжше	mʊ̞ɫʲgɑʂˈsʲɑ
мыльгыжыкташ	malɣ̞oz̺akt̪as
мыльгыжыктымаш	mʊ̞ɫʁʊ̞ʒʊ̞ktəmɑʂ
мыльгыжыктыме	mɒlgaˈʒaktamma
мыльгыжыктыше	mʊ̞lgʊ̞ʒʊ̞pdʊ̞ʂʊ̞
мыльгымаш	mʏlgʏmaːʂ
мыльгыме	malʲgɐma
мыльгыше	mʊ̞ɫʲgɐʃʲɐ
мындер	mʏ̞nːdɛɾ
мындерыштет	mɯ̞ndærʊ̞ʂtɯ̞
мындыр	mʊ̞ndʊ̞r
мындырланаш	mandɾlanaʃ
мындырланымаш	mʊ̞ndɯ̞rɫɑnʊ̞mɑʂ
мындырланыме	mɯ̞ndɯ̞rɫɑnɑmɑ
мындырланыше	mandərɫanaʂa
мыньык-муньык	manʲikmoʲːik
мыньыр-муньыр	manʲirmonʲir
мыняр	mɯ̞njɑr
мыняр шагатлан?	mʊ̞njɑr ʃɑgätɫɑn
мыняр-гынат	maːpavʲerɨɫaarɣonat
мынярак	manʲara
мыняраш	mnʲaɾaʂ
мыняре	mʊ̃ːnʲaɾe
мыняре-гынат	manʲarɛgnat
мыняреш	mʲanʲaɾatʂ
мынярымше	manʲɑramʂɛ
мынярын	manjarən
мыргыкташ	mʊɾgʊktˈaɾʃ
мыргыктымаш	märgəktɐmɑʃ
мыргыктыме	margɯkdɑmɯ
мыргыктыше	margɒktˈɒʃˈe
мыржа	mɐɾʒɐ
мырза	mɯ̞rðä
мырзанай	mɯ̞rzɑnäj
мырланаш	marɫaˈnɑʃ
мырлаш	mɐɾlas
мырлымаш	mɯ̞rɫumɑʂ
мырлыме	mɯ̞rɫɯ̞mɑ
мырлыше	morɫaʃa
мырсит	mˈarˈsˈit
мыскал	mɐskˈɐl
мыскара	mʊ̞sqɑɾa
мыскараланаш	mɯ̞skaɾɑɫɑnɑʃ
мыскараланымаш	mɯ̞sgärɑɫɑnɯ̞mɑʂ
мыскараланыме	mˈɑskəroːɫɑnˈnˈʌmˈɑ
мыскараланыше	mɯ̞sgɑraɫɑnɯ̞ʂɯ̞
мыскарам	mˈasqarˈan
мыскаран	mɯ̞zkarɑn
мыскараче	mʊ̞sgɑratʃʲe
мыскин	mˈɑskin
мыскыл	mˈɑsxʌɭ
мыскылалт	maskɐɫaɫt
мыскылалташ	mɑskɑlɑltaʃ
мыскылалтмаш	mɑsɑɫaltmaʃ
мыскылалтме	mɑskɑɫɑɑɫtmɑ
мыскылалтше	mʊ̃skɫɑɫˈtʃɑ
мыскылалтын	mɯ̞sɢɯ̞ɫɑɫtɯ̞
мыскылат	mɯ̞sɢɯ̞ɫɑ
мыскылаш	maːskalaʃ
мыскыле	mˈʌskɭi
мыскылен	mɯ̞sqɯ̞ɫɯ̞
мыскылнешт	mɯ̞sɢɯ̞ɫnɯ̞ʂt
мыскылтыш	mɯ̞sgɯ̞ɫtɯ̞ʂ
мыскылчык	mˈʌskʌltʃʌb
мыскылыкташ	mˈaskalˈaktˈaʃ
мыскылымаш	mʊ̞skɯ̞ɫɯ̞mɑʂ
мыскылыме	mʊ̞skɯ̞ɫʊ̞mɪ̞
мыскылыше	mˈɯzkɑlɯʃi
мыскынь	mˈɑsxʌn
мыскыньлык	maskɯnˈ
мыскыньын	mɯ̞sgʊ̞nɪ̞n
мыстык	mɯ̞stɯ̞k
мыстыкланаш	mʊ̞stɛkɫɐnˈnɑʃ
мычашышты	mʊtʃaʃeʃ
мышлений	mɨʂɫʲenʲej
мышьяк	muʃijɑk
мыят	maja
мэр	mɯ̞r
мэрий	mˈʌjri
мэрийысе	mɔjrɛjsɨ
мэриленд	mjˈɾjlənt
мямяс	memas
мярзи	narzi
мясорубко	mjˈɛsʊrˈukːo
мятеж	mjitsʲeʂ
мятежник	mʲetsʲːeʐnʲi
мӓгӓ	mɛg
мӓгӓл	mˈɛgə
мӓзӹлӹш	mæzælˈɯʃ
мӓмӓс	memes
мӓрки	maʁki
мӧдывуй	mˈədˈə-vuj
мӧдывуйжат	mʲɔdɔʋujʐɐ
мӧдывуян	mødˈiʁbujˈɑn
мӧзгаш	mʏ̞zgäʐ
мӧнгеш	mʏ̞ngʏ̞ʂ
мӧнгешла	mʏ̞ŋgeʃɫæ
мӧньыртылаш	mʏ̞nʲɪrtʊ̞ɫɑʂ
мӧр	mur
мӧран	mʏ̞ræm
мӧрвӱд	mʊ̞rˈzʊ̞t
мӧрдага	mʏ̞rðägæ
мӧржӧ	nˈʊɹg
мӧртньым	mirtnʲem
мӧртньӧ	mørtɲe
мӧртнян	mʏ̞rtnʲɪjɑn
мӧртняҥдаш	mʏ̞rtʲnʲɑŋdɑʂ
мӧртняҥдымаш	mʏ̞rtʲnʲɪŋdʊ̞mɑʂ
мӧртняҥдыме	mirtnʲɑŋdɑmɑ
мӧртняҥдыше	mørtʲnʲeɑŋdɛʃʲɪ
мӧршудо	mʲertʃɔdʲ
мӧрым	nɛrm
мӧрӧ	mˈuɾ
мӧчката	mʏ̞ʂkatɑ
мӧчыр	mʏ̞ʏ̞tʂʏɾ
мӧчыр-мӧчыр	møtʃyɾmyøtʃyɾ
мӧчырге	mʏ̞ʏ̞tʂɪ̞rgæ
мӧчырес	mʏ̞tʃʏ̞rɛs
мӧчыртаташ	mʲeu̯dʒyrtaatar
мӧчыртатылаш	mʲø̞tʃɜtɑtɑʁʂ
мӧчыртатымаш	metʃeɾt̪at̪amaɾ
мӧчыртатыме	metʃirtɑtɯmɯ
мӧчыртатыше	mʏ̞tʂɪ̞rdɑtʊ̞ʂ
мӧчӧр	møtʃər
мӧҥган	mɪ̞ŋgɑn
мӧҥган-мӧҥгышкӧ	mʏ̞ngænmʏ̞hʏ̞ŋgʏ̞ʂkʏ̞
мӧҥган-мӧҥгӧ	møŋgɑnbøŋgɯ̞
мӧҥгеш	mʏ̞ngʏ̞ʂ
мӧҥгеш-оньыш	mʏ̞ngʲɪʂuŋʲɪʂ
мӧҥгешла	nʲɪmgʲɪʃʲɪmɑn
мӧҥгешлаже	mʏ̞ŋgɫɪ̞ʂɫɑʐɯ̞
мӧҥгешталташ	nʲɪnɪ̞gʲistæltärs
мӧҥгешталтмаш	mʏ̞nʏ̞ʂtʊ̞ɫtmɑʂ
мӧҥгешталтме	mʏ̞ŋʲɪɾstʊ̞ɫtmɛ
мӧҥгешталтше	mʏ̞nkʏ̞stɫtsɪ
мӧҥгештаралт	mʲãŋgɪ̞sdɑɾɑɫ
мӧҥгештарат	mʏ̞nʏ̞ʂtærɑ
мӧҥгештараш	nʲɪnkʲistʊt̪aɾas
мӧҥгештарен	mʏ̞ŋgɪ̞ʂtɑrʊ̞
мӧҥгештарымаш	neŋgɪ̞sæɾɑmɑrs
мӧҥгештарыме	mʏ̞ngʲɪʃtärɐmæ
мӧҥгештарыше	nʲɪnɪ̞gɪ̞stärʊ̞sʲɪ
мӧҥгешташ	nenkʃtas
мӧҥгештен	mʏ̞ŋgʏ̞stɛn
мӧҥгештмаш	mʲenkestmas
мӧҥгештме	nʏ̞ŋgɪ̞rsʏ̞næ
мӧҥгештше	mʲŋgɛ̀ʃtʃʲɪ
мӧҥгештын	mẽn̪ɣ̞ueɾt̪
мӧҥгештыш	mʏ̞ŋgɪ̞rtɯ̞r
мӧҥгешыже	møŋɛʃ
мӧҥгыдымӧ	mendɛmɛ
мӧҥгыжӧ	nɯ̞ŋɯ̞ʒ
мӧҥгылык	mʏ̞ŋgɯ̞ɫɯ̞k
мӧҥгысӧ	meŋsi
мӧҥгыш	mʏ̞ŋgɯ̞r
мӧҥгышкыжӧ	nɯ̞ŋɯ̞ʃkʊ̞ʂɯ̞
мӧҥгышкӧ	ulgɯ̞ʃkɯ̞
мӧҥгыштем	mʲõŋaʃtɪm
мӧҥгыштыда	nʏ̞ŋgʏ̞ʂtʏ̞dɑ
мӧҥгыштыжӧ	nʏ̞ŋɯ̞ʂtɯ̞ʒɯ̞
мӧҥгыштӧ	mʲɪŋkɪ̞ɾtɪ̞
мӧҥгӧ	mængæ
мӧҥгӧ куржым.	mʏ̞ŋgæ kʊ̞rʑɪ̞m
мӱгалак	nˈugɐlˈak
мӱгинде	mʏ̞gʲɪnʲtʲɪ
мӱгыра	nuzela
мӱгыралаш	mʏ̞gʏ̞ræɫɑʂ
мӱгыралт	nˈoːtgˈorˈɑt
мӱгыралташ	nʊ̞gɯ̞räɫtɑʃ
мӱгыралте	nˈoːʒˈaʁalˈtˈɛ
мӱгыралтмаш	nʏgɛrɑltmɑs
мӱгыралтме	nuguɾaɑlpnɑ
мӱгыралтше	nˈokeˈɾaɾtʃe
мӱгыралтымаш	mʏgɪ̞räɫtɯ̞mɑʂ
мӱгыралтыме	mʲigʊ̞räɫtʊ̞mʲɪ
мӱгыралтын	mʏ̞kʏ̞rɑɫtɯ̞n
мӱгыралтыше	nˈogɹˈaɫtˈaʒy
мӱгырат	nˈugˈʊɾˈa
мӱгыраш	mʏgʏrɑʂ
мӱгырен	nˈugˈaɾˈɾˌeɪn
мӱгыреп	mʏ̞gʏ̞rʏ̞p
мӱгырепкуды	uˈgərɛpkˈuda
мӱгырыкташ	ləgʊɾɯ̞ktʊ̞
мӱгырыктен	mʏ̞gʏ̞rʏ̞ktʏ̞
мӱгырыктыл	anɯ̞gɯ̞rɯ̞ktʊ̞
мӱгырыктылаш	nʏ̞gɪ̞rʲɪktʊ̞ɫæʒ
мӱгырыктымаш	nʏgɪ̞rʲɪktʊ̞mɑʂ
мӱгырыктымӧ	mʏgʏ̞rʏ̞ktəmɑ
мӱгырыктышӧ	mʏgɯ̞rʊ̞ptʊ̞ʂʊ̞
мӱгырымаш	nʏgʏ̞rʏ̞mɑʂ
мӱгырымыжӧ	nɔgɔɾɐmɨʒi
мӱгырымӧ	mʏgʏ̞rʊ̞mɑ
мӱгырышӧ	nʏ̞ʏ̞rʏ̞ʂɑ
мӱдалташ	mʏ̞dɐɫtæʂ
мӱдалтмаш	mʏ̞dɑɫtmɑʂ
мӱдалтме	mʏ̞dɐltmɐ
мӱдалтше	mʲedaɫtʂɨ
мӱдаш	mʏ̞dæʃ
мӱдра	mʏ̞dɾa
мӱдымаш	mʏ̞dʏ̞märʂ
мӱдымӧ	mydemi
мӱдышӧ	mʏ̞dʏ̞ʂʏ̞
мӱедылаш	mʏ̞jædɑɫɑʂ
мӱедылмаш	mʏ̞jædɑɑɫmäɾ
мӱедылме	mʏ̞jædɑɫma
мӱедылше	mˈʉjɛdoˈvʃa
мӱй	puːs
мӱйла	nejla
мӱйлупс	nelups
мӱйурва	mʏ̞jʏ̞rwäː
мӱйчача	mjutʃetʃa
мӱйшудо	mʲerjiʂuda
мӱйым	møjɯm
мӱктӧ	mʏ̞ktɛ
мӱкш	nˈɵks
мӱкшава	nukʃava
мӱкшиге	mʲukʂɨga
мӱкшигыла	nˈɔkʃˈagˈɑɫa
мӱкшкайык	nukʃkaʲːak
мӱкшкиш	mʏ̞kʂkɪ̞ʂ
мӱкшла	mʏ̞kʂʏ̞
мӱкшотар	nukʃaːtˈar
мӱкшпеледыш	mʏ̞kʂpɛjɫɪ̞ɪ̞ɾ
мӱкштий	mʏ̞kstʏ̞
мӱкштувыр	nˈokʃtuvˈar
мӱкшызӧ	mʏ̞kʂʏ̞zʏ̞
мӱкшым	mʏ̞kʂɛm
мӱмыкай	mɯ̞mɯ̞qɑj
мӱндыр	mʏ̞nðʲɪr
мӱндыран	nɛnderɑn
мӱндырешташ	mʏ̞ndʏ̞rɛstãɾs
мӱндырештмаш	mundorestmaɾs
мӱндырештме	mʏ̞ndʏ̞rɛʃtmɯ̞
мӱндырештше	mˌɛndərˈɛstʃə
мӱндырештымаш	mʏ̞ndʏ̞rʲɪtʂtʊ̞mɑʁ
мӱндырештыме	mʏ̞ndʏ̞rɛʃtɪ̞mɯ̞
мӱндырештыше	mɪndərɛʃtaʃa
мӱндырк	mintrʝ
мӱндыркова	mʏ̞ndʏ̞rkoːva
мӱндыркоча	mʏ̞ndʏ̞rkotʃä
мӱндыркырак	mʏ̞ndʏ̞rqɯ̞rɑq
мӱндыркӧ	mʏ̞ndʏ̞rkæ
мӱндырлык	mʏ̞ndʏ̞rɫʊ̞k
мӱндырнак	mʏ̞ndʏ̞rnæ
мӱндырнырак	mʏ̞ndʏ̞rnara
мӱндырнӧ	mʏ̞ndʏ̞rnʏ̞
мӱндырч	mʏ̞ndʏ̞rʧ
мӱндырчын	mʏ̞ntʏ̞rʲtʂʏ̞n
мӱндырчынрак	mʏ̞ndʏ̞rtʂʏ̞nrɑ
мӱндырчӧ	mʏ̞ntʏ̞rʧʏ̞
мӱндыршинча	mʏ̞ndʏ̞rʂʏ̞ntʃæ
мӱндӱр	mʏ̞ndʏ̞r
мӱндӱрнӧ	mʲandɛrnɨ
мӱшкыр	nʏ̞ʃkʏr
мӱшкыран	mʏ̞ʂkɪ̞rɑn
мӱшкыран лияш	mʲiʃkɪran lʲiːar
мӱшкыраҥаш	muʃkʊ̞rɑŋɑʂ
мӱшкыраҥдаш	mʏ̞ʂkʏɾangdɑːʁ
мӱшкыраҥдымаш	muʃkɒɾɒngdɒˈmɒʃ
мӱшкыраҥдыме	mʏ̞ʂkʊ̞rɑŋdɑmɑ
мӱшкыраҥдыше	mʏ̞ʂkʏrɑndɛʃɪ̞
мӱшкыраҥмаш	mʏ̞ʂkʏ̞rɑŋmäɾ
мӱшкыраҥме	mʏ̞ʂkʏ̞rɑŋmɯ̞
мӱшкыраҥше	naʃkɛraːmʃɛ
мӱшкырвичкыж	mɪʃkərwʲitʃkaʂ
мӱшкырвушто	mʏ̞ʃkʏ̞rvʏrʂtʏ̞
мӱшкырвӧшыр	mʏ̞ʃkʏ̞rwʏ̞ʂɪ̞r
мӱшкыргава	mʏ̞ʂkʏrgʊ̞va
мӱшкыргӧргычора	mʏ̞ʃkʏ̞rgʏ̞rgɪ̞tʃʊ̞ɾɑ
мӱшкыргӧргӧ	mʏ̞ʃkʏ̞rgʏ̞rgʏ̞
мӱшкырйымал	nʏ̞ʂkɪ̞rjɪ̞mɑɫ
мӱшкырйымалет	mʏ̞ʂkʏ̞rjɯ̞mɑɫɯ̞
мӱшкырым	nʏ̞ʃkʏræm
мӱшыл	nˈʃˈa
мӱшылъер	mʏ̞ʂʏ̞ɫjɛr
мӱяк-тутло	nɨjaktutɫa
мӱян	myjæn
мӱят	mʏɫat
мӱяҥаш	mʏ̞jɑŋas
мӱяҥдаш	mʏ̞jɑŋdɑʂ
мӱяҥдымаш	mʲiʲɑŋdɑmaːʃ
мӱяҥдыме	my
мӱяҥдыше	mʏ̞jːɑŋtɯ̞rʂɪ̞
мӱяҥмаш	bʏ̞janmɑʁ
мӱяҥме	myljɒŋmɒˈ
мӱяҥше	mjˈønʃˈɛl
мӹжӓр	mʲɛʒær
мӹндыр	mænðr
мӹньӹн	mæ̝ɲː
на	na
набат	nabat
набатлаш	nabɑtɫas
набор	naboɾ
наборщик	naborʂʲik
наборщица	naborʃtʃa
наваге	navagɛ
наверне	navjernɛ
навигатор	naːʋigatʊr
навигаций	navigatsɨj
наводко	nɔvɔtkɔ
наводчик	navˈodtʃik
нагайке	nagajkɛ
наган	nˈagˈan
нагляднын	nˈɐglˈɑdnʌn
наградан	nˈˈagradˌan
награде	nagrɑːdɛ
наградитлалтын	nʌgrodʲitsʲɭˈɑɭ
награт	nagrat
нагрузкан	nagruːskaːn
нагрузко	nɛkrʊsgɔ
нагырат	nagɾa
надзиратель	nˈɑtʑirˈatɛɭ
надыр	naðɑr
надырлык	naːdarˈlɑk
наждак	nastak
наждаклаш	nˈɑʒdˈokɭˈɑʃ
наждаклен	naʃtɑklɛt
наждаклымаш	nʊ̞ʒdɑkɫɯ̞mɑʂ
наждаклыме	naʒtɑklɑmɑ
наждаклыше	naʒtɑkɫɑʃɑ
нажык	naʒɛ
назначений	naznatʃɛɲiː
назначениян	naznatʃʲeɲijan
назначитлаш	naznadʐɨdɫaʂ
назначитлен	nazˈnɛtʃɪtlɛ
назначитлымаш	naznatʃitɫɑmaɾʃ
назначитлыме	naznɑtʃitɫɑmɛ
назначитлыше	naznatɕidɫotʃɛ
назывной	nɔzɨbnoj
наизусть	najɪzˈuʃt
наймык	nimakɯ
найожа	najuːʒa
наказ	nakaz
накас	nakas
накладной	nakɫadnoj
наклонений	naklaɲɛɲiː
наклоненийысе	nakɫanʲajɛnʲisɛ
нал	nˈɔl
налалташ	nalal̪t̪aɾs
налалтмаш	nad̪alt̪maɾ
налалтме	naaltma
налалтше	naɫaɫtʂa
налалтын	navau̯t̪ɔ
налам	nɑɫɑm
налат	nɐlˈa
налаш	nalas
налаш-пуаш	naɫaʃpoɑʂ
налаш-ужалаш	naɫaːʃuʒalaʃ
налде	naldɛ
налдымашын	nald̪emaɾ
налдыме	naɫdɐma
нале	nɑːlɛ
наледалташ	naɫɛdɑɫtas
наледаш	naɫɛdaʃ
наледыкташ	naɫɛdɐktas
наледылаш	naɫɛdaɫaʃ
наледыт	naled
наледыше	naɫɛdɛʃɛ
наледышт	nalɛdɛʃt
налемден	nɯ̞ɫɯ̞mdɯ̞n
налеш	nales
налешат	nalɪʃa
налже	nals
налза	nɔlsa
налман	nɾman
налмаш	nɑɫmaʃ
налмаш-пуымаш	nɑlmɑʃpwmɑʃ
налмаш-ужалымаш	naɾalmasosað̞amas
налмаште	almaʃt
налме	nɑɫma
налме-пуымо	naɾalmapoɾ
налме-ужалыме	naɫmawʒɑɫɑma
налмек	nalme
налмеке	nalneka
налмекше	nˈalmˈɭkʃˈɑ
налмешке	nalmezka
налмыже	naɫmɑʃˈa
налмыжла	nɑɫmɯʃˈlɑr
налмыла	nɑɫmɑlɑr
налмылан	naɾmɑð̞an
налмым	nalma
налнеже	nal̪d̪es
налнет	nolɨke
налнешт	nolnɯ̞ʃt
налог	nabok
налогым	naɫogɯm
налтичка	naɫtitʃka
налшаш	nakõm
налшаш-пуышаш	nasestaspuʃas
налшаш-ужалышаш	nalʃaɾsuzalaʃaɾs
налше	nauʃa
налше-пуышо	naʃˈɛpˈuʃˈa
налше-ужалыше	nˈɛlʃauʒˈaɫɛʃa
налшыже	naaɫseʃe
налшыла	nauzon
налшынек	naɫʂɨnʲa
налыдеак	naɫadiablo
налыкта	nalɯ̞ktä
налыктат	nalɯtɛktɑ
налыкташ	naɫoktaɾs
налыктен	nɑrɯ̞ktæn
налыктымаш	naˈlɯkdɑmaʃ
налыктыме	nɑɫɯ̞ktɑmɑ
налын	nɑɫɑn
налына	nalona
налынам	nalana
налынат	naɫɯnma
налында	nalõn̪d̪a
налынна	navɑnˈna
налыныт	naaɫɐna
налыт	naɫak
нальык	nˈɑlʌ
нальым	nɑˈljum
нальыч	naɫɛtʃ
налят	nˈoɭɛ
намиедаш	namʲeʲedarʂ
намиен	amɛe
намийыкташ	namʲiːktaʂ
намийымаш	namʲimʲimazs
намийыме	namʲejima
намийыше	namʲijaʂtʂɛ
намийышт	namʲeʲeʂts
намиялташ	namialt̪aɾs
намиялтмаш	namijɑltmaʃ
намиялтме	nˈɐmiaˈɑltmˈɑ
намиялтше	namʲiʲaɫtʂɨ
намият	namia
намияш	namijas
намызе	nˈamɐza
намыр	namor
намыс	namas
намысан	naːmɑsaːn
намысдыме	nɑmɯzdɛmɯ
намысдымылык	nɑmɯzdɑmɑlɯq
намысдымын	naːmɯzdaman
намыслалташ	namasɫau̯taʃ
намыслалтмаш	namɑsɑvaɫtmaɾ
намыслалтме	namasɫaɫtma
намыслалтше	namasɫau̯tʂ
намысланаш	namɯsɫanaʂ
намысланымаш	namazɫaːnamaːʃ
намысланыме	namasɫɑnama
намысланышан	nˈɑmʌsɭˈɑnˈʃɑn
намысланыше	namasɫanɨtɨ
намыслаш	namɯsɫaʃ
намысле	nɑmɑsɫɯ̞
намыслымаш	nɑmɯsɯɫɯmaʃ
намыслыме	naːmɯslma
намыслын	namazlan
