'	apostrof
negociatiounen	negoˈsjɐsioˈvɪnˈen
negociéier	nɛgɔsijɑjɑ
negociéieren	nʲeɣɔsijɑjɑʁɯn
negociéiers	nɛgɔsɔjɑs
negociéiert	neˈgoˈsijɒˈjɒt
negociéiertem	nɛgɔsjɛjɑtem
negociéierten	negɔsjɛːjatɛn
negociéierter	negɔsijɑːjɑtːɑ
negéieren	nɛgæjaɣɯ̞n
negéiert	neːgəjɑːt
nei	nˈoːj
nei avenue	nˈɔø avnˈy
nei brasilien	nˈɔø bɾazˈiːljən
nei bréck	nˈɔj brˈik
neibau	nˈoibeʊ
neibauten	nojpˈəˈaɪ
neideg	nˈɔøtɜʃ
neidesch	nˈɔːjdˈœʃ
neideschem	nˈɔ̃dˈəʃˈøn
neideschen	nˈɔødˈiːʃˈøːn
neidescher	nɒjdˈiːʃaː
neidescht	nˈɪçt
neiduerf	nˈaɪduːɛf
neiegkeet	nˈɔʒkˈatˈ
neiegkeeten	nɒjoːʃkɾeːtlɒn
neiem	nˈɔɪəm
neien	nˈɔøˈæn
neienshaff	nˈɔøənsˌɔf
neier	nˈɔ̃gˈo
neierbuerg	najaːbuːləʃ
neierdéngs	nˈaɪoʊtɪmkˈ
neierung	nɔjoɣoŋ
neierungen	nˈɔøəgjˌʊŋən
neies	nɔɪəs
neigebuer	nˈɔøgˈaˈbˈˌwˈɛ
neigebueren	nˈaʊgəbˈʊɐən
neigebuerenem	nˈɔøgəbˈʊɐənən
neigebuerenen	nɔxɛbɔxɛn
neigebuerener	nˈɔ̃ɛtgəbˈuʁənˈɑ̃
neigebuerent	nˈɔøgəbˈʏɾbənt
neigemaach	nˈɔjgəmˈaʁ
neigemaacht	nˈɔxkmˈaxt
neigemaachtem	nˈɔøgəmˌɛːɾtən
neigemaachten	nˈɔøgəmˌɛːɾtən
neigemaachter	nˈɔøgəmˈaxtɜ
neihaff	nˈɔøhˈɔf
neihaischen	nˈɔɪaːlˈɪzʃˈøn
neiinfektioun	nojinfeksiˈon
neiinfektiounen	nˈɔøɪnˈfəgzˌiːoːnlˌeːn
neiinstallatioun	najɛnstalasioŋ
neiinstallatiounen	najjɛnstalasjoːnjɛn
neijoerschbal	naːjoːʃpɒl
neijoerschbalen	nɒjoːʃpɒlːɛn
neijoerschbaler	najoːʃpɛlːɒ
neijoerschconcert	najuʃkɔnsɛ
neijoerschconcerten	nˈa-joʃkˈɔ̃sˈɛvən
neijoerschdag	najosʃtɛr
neijoerschdeeg	nɒjoːʃteːʃ
neijoerschempfang	najuːʃɪmpfɑːm
neijoerschempfank	naljoːʃɛmpfˈaŋ
neijoerschempfäng	nˈʌlljʊəsˈæmfˈaŋən
neijoerschfeier	najoʃfajɑ
neijoerschfeieren	najo˩˥ːʃfaɪ˧ːɛɾen
neijoerschkaart	nɒːˈjoːʃgɛrt
neijoerschkaarten	nɒjoːʃkɒrtɒn
neijoerschpatt	najoːʃpat
neijoerschpätt	nɒːˈjuːʃpæt
neijoerschreceptioun	najoːʃɾɪjˈsɛbsiːɾuːn
neijoerschreceptiounen	najoːʃɹˈeɪsɛpstjˌɛ̃wˌnˈ
neijoerschried	najoːʃrɛt
neijoerschrieden	najoːʃkɾedɛn
neijoerschwonsch	najoʃbɔntʃ
neijoerschwënsch	najoˈʃbɯntʃ
neijooschdag	najo˩˥ːʃtɛr
neijooschempfang	naːlˈoːʃɛmpˈfraŋ
neijooschempfank	najoːzɛmfɑŋk
neijooschempfäng	nˈoɪˈoʒjˈumfˈaŋ
neijooschkaart	nɒjoːʃkɒrt
neijooschkaarten	najoːʃkɒrtʃɒn
neijooschreceptioun	nˈˈˈ
neijooschreceptiounen	najoː˧ːɣˈænsɑpˈsɪlɪnɑːn
neijooschried	najoʃriːd
neijooschrieden	najoːʃveːrdˈøn
neiliicht	mˈaɪlˈist
neiluerenzscheierhaff	nˈɔølɔtɾɛntssˈaɪɜhˈɔf
neimaachen	nˈɔjməxɛn
neimaacht	nˈɔ̃e̞mˈʁˈd
neimillen	nˈɔ̃mɪlˈən
neimouch	nˈɛimˈʌvˈəl
neimouchen	lajmɔxɛn
neimouchs	nˈaɪmˈoːs
neimoucht	naimɛut
neimoudesch	maɪbɔvdɯz
neimoudeschem	nˈʌjmˈowdˈiʁʃˈɛn
neimoudeschen	nˈaɪmˈowdˈəʃˈøːn
neimoudescher	najmoldɛʃa
neimoudescht	majmoldøʃt
neiméchs	nˈɛmmˈ
neimécht	majmˈɛst
neiméich	nˈaɪmˌeɪdʒ
neiméichen	nˈaɪməsˈiən
neiméichs	nˈaɪmˈeɪʒz
neiméicht	najˈmˌeːst
neimënster	nˈɔømˌʏnstˌeː
neirodeschhaff	nˈɔːilʁˈodˈiʁʃˈof
neiräich	nˈɔ̃eʁˈaʒ
neiräichem	nˈoːjɣˈæjʃɔm
neiräichen	nˈoːjɣˈæiʃən
neiräicher	nˈɔ̃jɣˈæiːʃa
neiräicht	nɒiːɣɒiːʃt
neist	nˈɔist
neistem	nɔɪstðeːm
neisten	nˈaɪstən
neister	najsta
neit	nˈoɪt
neits	nɔjtɨ
neiufank	najufaŋ
neiwahl	nojval
neiwahlen	nojvaːlən
neiwal	nojval
neiwalen	nojvaliŋ
neizemaachen	nˈɔøtstɛɾmˌɛːxˌeːn
neizäit	nˈɔɪtsˈaɪt
neklosdag	nˈə-klˈoːsdˈɛʁ
nektar	nˈaktˈɛʁ
nelen	nejlə
nenn	nˈaːn
nennen	nˈaŋən
nennenswäert	nˈanənʃvˈɛɾt
nennenswäertem	nanønsvɛrtɔm
nennenswäerten	nˈɔnənsˈɛtən
nennenswäerter	nˈanˈɔntsvˈɛɾtdˈɑ
nenner	nano
nenneren	nanoɣrn
nenneswäert	nanøzpɛjˈat
nenneswäertem	nanøsvɛɾtʃɛn
nenneswäerten	nanøːsfɛrtøːn
nenneswäerter	naspetɔ
nenns	nˈɑ̃s
nennt	nˈɛnt
neodym	neodin
neoliberaalt	neolibərald
neoliberal	neolibera
neoliberalem	neolibiral
neoliberalen	neolibaral
neoliberaler	neolibarala
neologismen	neoloʒismɛn
neologismus	neoloʒismʊz
neologismussen	neoloʒismuzsɑn
neon	neˈjɔn
neonazi	neonatsii
neonazien	neˈonˈatsion
neonsluucht	neˈɔ̃sluʁt
neonsluuchten	neˈanslˈuʁtən
neonstüb	neɑ̃sˈtˈyp
neonstüben	neɛtstˈupən
nepal	nepal
nepales	nˈepˈaɪz
nepalesen	nˈəpalˈeːzən
nepalesesch	nepɒleːzəʃ
nepaleseschem	nepalikosəʃən
nepaleseschen	nˈepˈalˈidˈiʁʃˈøn
nepalesescher	nipalˈeˈzɒˈʃɒ
nepalesescht	nɛpalɛzɔʃt
nepalesin	nepalizin
nepalesinnen	nepalizenen
nephrolog	nˈɛfʁˈɔlˈoːk
nephrologen	nˌɛfralˈoːgɜn
nephrologie	nˈfˈoloʒi
nephrologin	nˈɛfraʊlˈoːgɪn
nephrologinnen	neːɸɾoːlˈoːgɛnˈɑːdən
neptun	naptuːn
neptunium	naptunio
nerv	nao
nerveg	nɛʁvˈøz
nervegem	nˈɛʁvə-gɔm
nervegen	nˈɛɹvəʒˈan
nerveger	nˈɛʁvəʒˈɑ̃
nervegt	nˈɛvəst
nerven	nˈɛʁvən
nervendokter	nˈɛrvəndˈɑktɚ
nervendokteren	nɛrvɨnˈdɔktoɾiːm
nervendoktesch	nˈɛɾvəndɔktˈœʃ
nervendokteschen	nˈɛʁvəndˈɔktəʃˈøn
nervenzesummebroch	nˈɛʁvəntsuːɾzʏmmɛbʁˈɔx
nervenzesummebréch	nɛʁvɛnsəzˈumˈə-bʁˈœʃ
nervesee	nˈɛʁvəse
nerveseeën	nˈɛɾvəzˈeːən
nervesystem	nˈɛʁvsistˈɛm
nervesystemer	nɛrvɛsistɛmɛ
nervlech	nˈɛxflˈʃ
nervlechem	nɛɾfɛløːʃøːn
nervlechen	nɛɾflʃɛn
nervlecher	nˈɛxflˈˈoʃˈa
nervlecht	nɛɾflʊxt
nervositéit	nɛʁvɔzitˈt
nervs	nˈɛxf
nervt	nˈɛft
nervös	nɛʁvˈøz
nervösem	nˈɛʁvˈøːzɔm
nervösen	nɛʁvˈøːzɔn
nervösen houscht	navˈɚs ˈeːn hˈoːʃt
nervöser	nɛɾvˈøːzɑː
nervööst	nˈɛʁvˈøzt
net	nˈot
netmetall	nˈɔtmˈeɪˈtɔl
netmetaller	niːtmɪtːˈaː
netto	nˈɛtˈo
nettoakommes	nˈɑttˈuˈɑɹkɒmˈɛs
nettobenefice	nˈˈtˈʁpˈonˈɔfjs
nettobetrag	nˈatˈɔrbətrˈɛ
nettobeträg	natobesʁˈɛs
nettogewiicht	natoːgəvˈiːʃt
nettogewënn	natʊgɔvɛn
nettoloun	nˈɑtəlˌoʊn
nettoléin	natʊlɛn
nettoverloscht	natʊɦɔɛlʃ
netz	nˈɛts
netzer	natsa
netzhait	natsai̯t
netzhaut	nˈɛtshˈæˈʊt
netzhautofléisung	nˈɛtsˈɛltˈɔfslˈeːzʊŋ
netzhautofléisungen	nˈɛtzˈʌʊrtˈɔfflˈeːzˌɔŋən
netzkaart	nˈɛtkˈaɾtˈ
netzkaarten	nˈɛtskaɾtən
netzwierk	nˈɑtsfɪər
netzwierkentwéckler	nˈatsvɪɾkəndvˈɛkla
netzwierkentwécklerin	nˈɛtsfɛkˈaɪnfˈɛklˈoːrɪn
netzwierkentwécklerinnen	nˈatsvɪɾkanvˈɛkˈlɜɪˌnən
netzwierkentwécklesch	nˈɛtsfˈɛkɪntvˈɛklɛʃ
netzwierkentwéckleschen	nˈatsvɪɾkɪnvˈɛklɪçən
netzwierker	nˈɛtsˈaɪfkˈɑɹ
netzwierkverwalter	natsvɛkvavorto
netzwierkverwalterin	nˈɑtsveːrkvˈɑːrvˈɔltɜrˌɪn
netzwierkverwalterinnen	nˈɛtsvɛɾkfɛɾvˈaʊtɜrˌɪnnɛn
neurochirurg	nˈə-ʁɔsˈeʁˈuʁs
neurochirurgen	nˈəʁˈɔsʁəʁˈuʁdʒˈɑ̃
neurochirurgesch	nuʁɔːʃeʁuʒuʒ
neurochirurgeschem	nuʁˈolseʁˈoʒˈəkˈɔm
neurochirurgeschen	nˈə-ʁɑ̃ʃiʁˈɔʒˈəʃˈɔn
neurochirurgescher	nˈə-vˈoʃeʁˈoʒˈəʃˈɑ̃
neurochirurgescht	nˈəʁɑ̃sˈeʁˈozˈœʃt
neurochirurgie	nˈəʁˈɔːskeʁʁˈ
neurochirurgien	nˈɔøɔˈʃɛʁˈogɛɔn
neurochirurgin	nˈə-vˈoʃeʁˈoʒin
neurochirurginnen	nˈə-vˈoʃˈiʁoʒˈɛnˈan
neurodermitis	nˈəʁudˈteɪmˈite
neurolog	nˈɔːɪʁˈoːlˈoːk
neurologen	nˈɔøroːlˌoːgən
neurologesch	nˈɔøroːlˌoːgˈəʃ
neurologeschem	nˈɔøroːlˌoːgɪʃə
neurologeschen	nˌɔøɾoːlˈoːgɜʃˌeːɾn
neurologescher	nˈɔøroːlˌoːgəʃˌɛ
neurologescht	nojɔvɔlʊkest
neurologie	nøʁologˈi
neurologien	nˌeːvoːloːzˈiːɾn
neurologin	nɔøroːlɔgɪˌn
neurologinnen	nˌɔøroːlˈoːgɪnən
neuropsychiatresch	nˈə-ʁˈopsekˈeetʁˈœʃ
neuropsychiatreschem	nˈœʁopsˈe-kˈatʁʃˈɔm
neuropsychiatreschen	nˈə-psykiˈaʁtʁɛkˈonˈ
neuropsychiatrescher	nˈœʁopˈsˈekˈlˈˈtʁɛʃˈa
neuropsychiatrescht	nˈə-ʁˈopsekˈeeœ̃ntʁˈœʃt
neuropsychiatrie	nøʁˈɔpsɛkˈatʁi
neuropsychiatrien	nˈœʁɔpsikjatʁiɑ̃
neuros	noi̯vos
neurose	nˈɔøʁʌs
neurosen	nojɔvɔsɔn
neurotesch	noːjɾɔtɾeːʃ
neuroteschem	nojɾoːtːɑːʃøːmˈ
neuroteschen	noːjɾɔtɛʃˈøːn
neurotescher	nojɾvtøzˈjɑ
neurotescht	nˈɔørˈoːthˈœɾʃt
neurotiker	nˈɔ̃ˈʁutikˈa
neurotikerin	noːjɾoːtˈiːkɑːrɛn
neurotikerinnen	nojɾotʃɛkaɾɛnãn
neuseeland	noɪzˈeːlˈɑnd
neuseelänner	nojzɛjlana
neuseelännerin	nojseˈlanˈoːvɛn
neuseelännerinnen	nojseˈlanˈalˈʁˈnˈan
neuseelännesch	nojzɛːlːɛnøʃ
neuseelänneschem	nojzeːlanøːʃøm
neuseelänneschen	nojzɛlanøʃøŋ
neuseelännescher	nɔiseiˈlanøˈʃɑ
neuseelännescht	nojzeːleːnøst
neustrien	nojstrɛn
neutraalt	nɔøtˈrˈaːltˈ
neutral	nɔjtˈʁal
neutralem	nɔjtrˈal
neutralen	nojtrˈaʊlˈ
neutraler	nˈɔytɾˈaːlˈlˈa
neutraliséier	nˌɔøtɾalˈizeɪɐ
neutraliséieren	nojtrɑlizajɑrɑn
neutraliséiers	neutralizeias
neutraliséiert	nojtrɑlizeiat
neutraliséiertem	nɔøtrˈˈalɪsɜjˈˈatɛm
neutraliséierten	nojtrɑːlisˈaɪˌaɾtən
neutraliséierter	nojtrɑlizejata
neutralitéit	nɔjtrˈɑlɪtˈɛt
neutronestär	nˌɔøtrˈɾɔnəʃtˈɛɾ
neuvième	nˈoːvjɐm
neuvièmen	nˈɔ̃vjamɛn
neveu	nˈɔ̃vˈɛʁ
neveuen	nˈœfərn
ni	ne
nicaragua	nɛkɑraːgwa
nicaraguaner	nˈɪkˈraɾˈagwˈanˈo
nicaraguanerin	niːkɐɾˈʌgwanˈɔrin
nicaraguanerinnen	nikaraɣwanoɾiŋan
nicaraguanesch	nˈɛkˈˈaːɹagˈanˈə
nicaraguaneschem	nˈekˈarˈagvanˈoʃon
nicaraguaneschen	nˈɛkːaːɹagwanˈʃɔn
nicaraguanescher	nˈikˈaragˈvɒnˈuʃˈo
nicaraguanescht	niːkaɣəgvnguːaˈst
nickel	nˈɪkˈle
nickelallergie	nˈɪkalɔlˈɛɾʒiː
nicolas funck	ŋikɔlˈa fˈunk
nicolas schmit	nikˈɔlɑː ʃmˈɪt
niddelchen	nitøltyyøn
niddelcher	nidilˈtʃo
nidderaanwen	nɪdaˈaːnvən
nidderbrennen	nˈydˈɑbɾˈanən
nidderbrenns	nˈədˈɔʁbɹˈan
nidderbrennt	nˈidɑbɾɑːnˈd
nidderdonwen	nɪdˈadˈonvən
niddereg	nedoˈgəʃ
nidderegem	nitɔgɛlʒoːm
nidderegen	nˈeːtəʁaʒan
niddereger	niːdoˈɣeʒuː
nidderegt	niːdɑːgæʃt
nidderfeelen	nˈydˈafˈiʁ
niddergang	niːdˈəˈgaŋ
niddergank	nɛdaːgaɲk
niddergebrannt	nidɑɣəbranˈd
niddergeknéit	nidagəknəiːd
niddergelooss	nˈɪdɜgˌəlˌoːs
niddergeluecht	nidɒgøʃt
niddergeluechtem	nˈiːdɜgˌeːlʏʃtˌeːn
niddergeluechten	nʲidakɛɾløːʃtɑːm
niddergeluechter	nidakʃtɔ
niddergesat	nidɒːgɒzˈæɾˈt
niddergesatem	nˈyːdɜgəzˈatən
niddergesaten	nidogəzˈaːtən
niddergesater	næɾgæˈzæɾtɒː
niddergeschloen	nidautʃlɔən
niddergeschloenem	nˈiːtɜgəʃlˈoːɾnˈɑːmən
niddergeschloenen	nˈidɜgəʃlˌoːvənan
niddergeschloener	nidɛkɛʃlˈoːnɑː
niddergeschloent	nˈeːdɜgəʃlˈoːənt
niddergeschriwwen	nˈiːdɜgəʃrˈiːvən
nidderglabech	nidɒglaːbːˈaʃ
nidderknéien	nidaknai̯ɦoŋ
nidderknéis	nɪdɑːknˈɛ
nidderknéit	nʲidɑknæːd
nidderkolpech	nidaukou̯t̪bøʃ
nidderkuer	nˈedˈɔʁkˈuɾ
nidderkäerjeng	nidaːkeːrˈʒːŋ
nidderlag	nedaːləɾ
nidderlagen	nɛdalaɣæn
nidderlees	nidˈælˈe̞s
nidderleet	nidaleːt
nidderleeën	nidalean
nidderloossen	nidɑːrˈlɔsɛn
nidderloosst	nædɑːlˈst
nidderléiss	niːdˈænie̞s
nidderléissen	nida˥˩lej˩˥ːsən
nidderléisst	niːdæliːst
nidderpallen	nˈɪdˈaʊpˈoːlən
nidderpallener millen	nɪdɑː pɑlɛ nɑː milːən
nidderréideng	nˈidɑɣˈaɪdˌeɲ
nidderschlag	nɪdoʃlɛr
nidderschloen	nidɔʃloːn
nidderschlot	nædɑːrlæxt
nidderschléi	nidaːʃlejˈ
nidderschléis	nidɑːrʃɑˈs
nidderschléit	nidaːʃleːt
nidderschreifs	nˈɪdɜʃrˈaɪvz
nidderschreift	ne̞dɒːʃxɒːjft
nidderschreiwen	nˈidɜʃrˌaɪvən
niddersetz	nægɑːzɑːts
niddersetzen	nædɑːzætsɑːn
niddersetzt	nægɑːzest
nidderter haff	nʲidɔtɔ haf
nidderträchteg	nedˈɑ̃tˈʁaːʒtˈœʃ
nidderträchtegem	nˈedˈɔʁtʁˈaʒdˈəʒˈə-mə
nidderträchtegen	nˈədˈiʁtʁˈaʃdˈə-ʒˈøn
nidderträchteger	nˈədˈiʁtʁˈaʒdˈiʁʒˈɑ̃
nidderträchtegkeet	nidɒtɾeʃtˈʃkeːt
nidderträchtegkeeten	nˈyðraːtˈrˈaʃtøʃkˈeːtən
nidderträchtegt	nædɑːtræʃtdɒːʃt
nidderwampech	nɛdovɑmpəg
nidderwampich	nɛdaːvampɛjʃ
nidderwampich-halt	nædˈvɑːnpʰeʃhɑːˈhɔd
nidderwolz	nidovolbs
nidderwooltz	nɪdɑːvɔls
nidderwämper halt	nidau̯ vɛn pʰaːd hou̯t
nidderzebrennen	nˈidˈotsuɾbrˈanən
nidderzeknéien	nidɛrtsɛknɛjːan
nidderzeleeën	nidˈatseːlˈeːɑŋ
nidderzeloossen	nidɛtsɛlosen
nidderzeschloen	niːdɜtˈɪʃloːəŋ
nidderzeschreiwen	nˈiːdɜtsuːʃrˈaɪvən
nidderzesetzen	nidɔtsʃɔzatsʰɔn
nidderälter	nidɔɛlto
niddreg	niːdˈiʁˈaʃ
niddrege bluttdrock	nˈɛdʁ tʃˈə blˈʊ tʁˈɔk
niddregem	nˈidʁʒɔm
niddregen	nˈidʁəʒˈɔn
niddreger	nitðoˈlæzʒˈɑ
niddregt	nitɪkøʃt
nieft	nˈɪft
nieft den neien autoen, stoungen och zwou al karen	nˈɪɾft dˈˈøː nˈɔøən ˈaʊtoːvən ʃtˈʏŋən dˈiː tsvˈoː ˈaɾkɾɜn
nieftenaner	nˈɛvdnˈɛrnˈa
niefteneen	nˈefdˈɛnˈim
nier	nˈɪɹ
nierebecken	niːʁ˩˦ebˈakː
nierebeckenentzündung	nˈɪɾəbˈɛkənˈantzˈɵnˈduːŋ
nierebeckenentzündungen	nˈɪɾabˈakənˈantsˈyːndʒən
nierekollik	nˈiːrəkˈɔlig
nierekolliken	nˈiːrəkoːlˈɪçan
nierekriibs	nˈəʁɛkʁˈiːps
nierekris	nˈəʁɛkʁˈeʃ
nierekrisen	nˈɪˌʏɾəkɾˈiːzən
nieren	nˈiːɾən
nierentransplantatioun	nˈirˈɛntrˈɑnsplˈantˈasɪˌɔn
nierentransplantatiounen	nˈirˈɛntɣˌɑnsplˌɑntasjˈoːnən
nierespezialist	nˈiːɾəzpˌətsiːˈɑlɪst
nierespezialisten	nˈiːɾɜʃpˌetsɪˈalɪʃtən
nierespezialistin	niːɾaʃpˌetsɪˌalɪstɪŋ
nierespezialistinnen	nˈiːrəʃpˌeːtsɪˌɑlɪstənˈan
nieresteen	nˈiːɾəʃtˈeːən
nieresteng	nˈeʁˈaʒtɒɲ
niereversoen	nˈiːrəˌyːbɜzˈuːən
niers	neɪˈʌs
niersercher	nˈiːzɑʃɑː
nierstoffräich	nˈɪçtdoːfrˈaɪç
niert	nˈe
nieschen	nˈɪsjɛn
niesercher	nˈiːzɑʃɑː
niess	nˈeəz
niessen	nˈɪɹzsˈʌn
niewebaach	nˈɪvɚbˈɛx
nieweberuff	nˈɛɾvəbərˈʊf
nieweberuffer	nˈɛvɛbɛrˈufa
nieweberufflech	nˈɪɾvˈɛɾbɜɔflˌaʃ
niewebeschäftegung	nevbaʃaftdˈiʒum
niewebeschäftegungen	ˈɪnzəlvˈɛɾbəʃˈafˈtˈʏʒʊŋən
niewebäi	nivɛɾbei
niewefach	nˈɪfəfˈax
niewefro	nˈɛvəfrˈoː
niewefroen	nˈɪfvˈɔɾn
niewefächer	nˈiːɾvæfæʃɑ
niewegaass	nˈɪfɚgˌɑs
niewegaassen	nˈɪfgˈasən
niewegebai	nɛvɛgəˈbɑːj
niewegebaier	nˈɛvɔgɔbˈɐɪɑ
niewegeräisch	nˈɛvɜgərˈaɪʃ
niewegeräischer	nˈɛvrgˈˈʁˈaʃˈa
niewegeschicht	nˈɛɾvəgəʃˈɪʃt
niewegeschichten	nˈɪɾvˈɛgˈɛʃɪʃtən
niewegleis	nˈɪfɚglˌɔys
niewekäschten	nˈɪɾvɪkˈɛstən
niewelaanscht	nˌiːvəlaʃt
niewen	nivˈe
niewenaarbecht	nˈɛɹvənˈæbːʌʃt
niewenakommes	nʲɛʋɛnɔɾkɔmɛs
niewenausgang	nʲivənɛwzgaŋ
niewenausgank	nˈɛɹvənˈʌysgˈɑŋ
niewenausgäng	nˈɛvənˈʌuskˌaŋ
niewendrun	nˈɛvəndˈaʊn
niewenerscheinung	nˈɪɾvənˈaʊsʃˌaɪnʊŋ
niewenerscheinungen	nˈɪɾvənˈaʊsʃˌaɪnʊŋən
niewenhodenentzündung	nˈɛçvɛnhˈoːɾtənˈanttsʏndʊŋ
niewenhodenentzündungen	nˈɛçtvˈɛnhˈoːrðənˈɛntsˈʏndˌʊŋən
niewent	nɛɾvɑnd
niewentenaner	nivandɔnana
niewenteneen	nˈɛvəndˈɛɹneən
nieweprodukt	nˈɛvpʁo'dˈukt
nieweprodukter	nˈɛvprʁˈˈodˈuktˈa
nieweraim	nˈɪɾvɜɾˈaɪn
nieweraum	nˈɛvɜˈɾaam
nieweroll	nʲavɨɣoɫ
niewerollen	nˈɪfvˈɑɣˈoɫɛn
niewesaach	nˈəvəzˈɑː
niewesaachen	nˈɪfəzˈaxən
niewesall	nˈɪɹvɚzˌɑl
niewesaz	nˈɛvɐzˌats
niewestrooss	nˈɪɾvəstɾˈoːs
niewestroossen	nˈɪçtvˈɛɾstɾoːsˌɛn
niewesächlech	neːvɒzˈzaːʃlɒʃ
niewesächlechem	nˈɛvɛzaʃlˈɛʃɐm
niewesächlechen	nˈɪfʁzɑʃlʃɑn
niewesächlecher	niːvæzæʃˈlæʃɑ
niewesächlechkeet	nivˈezˈaʃlɛʃkejˈit
niewesächlechkeeten	nˈɪfɛzˈaʃlɪʃkˈeːtən
niewesächlecht	niːævæzæʃlaʃt
niewesäll	nˈɪçtvɜzˈal
niewesätz	nˈoːavzats
nieweverdéngscht	nˈɛvɜfɔɾdˈɛŋʃt
nieweverdéngschter	nˈɪɾvəfɛɾdˈɛŋstə
niewewierkung	nˈiːɾvˈɑviɾkʊm
niewewierkungen	nˈiːɾvˈɛɾvʏɾkʊŋən
niger	n˩˥ːiː˩˦ʑɥœ˧˥
nigeria	nigeɾia
nigerianer	nigeˈrjana
nigerianerin	nˌiːgərˈjɑnɔrɪn
nigerianerinnen	niːgeːriːjnɑːg�nɑːn
nigerianesch	nˌigˌeˈriˈanˌiˈʃ
nigerianeschem	nɪʒɛʁˈjɑnɛʃˈon
nigerianeschen	nˈʒʁˈiɑ̃ɛzsˈɔ̃
nigerianescher	nˈʒʁˈaʁˈnˈəʃˈɔ̃
nigerianescht	nˈiːɾˈhæriːnˈɑːʃt
nigrer	nˈigɾo
nigrerin	nˈɛgɾɑːrɪn
nigrerinnen	nˈeˈgʁɑʁɛnˈɛn
nigresch	nˈeˈʒrˈɒʃ
nigreschem	nˈigrəʃˈɔn
nigreschen	nˈɪgɾəʃˌoːn
nigrescher	nˈigɑːʃɑː
nigrescht	nɛgɾoʃt
nihonium	neonjum
niichter	nˈiʃtˈo
niichterem	nˈiːˈstˈɔrən
niichteren	nˈiːʃtˈoːɾɛn
niichterer	nʲiːʃtɑːgɑ
niichtert	nˈiʃtɒt
niklosbierg	niklosbˈiːlʃ
niklosbärig	nˈesˈəpˈɛʁiʃ
niklosdag	nˈəsˈoːstˈɛɹ
niklosfeier	nˈɛkloʊsfɪjɛɾ
niklosmaart	nˈəsˈlˌoːsmˈɛʁ
nikotin	nikodin
niksen	nɪksɔn
nilgäns	nˈiːlgˌanˈts
nilgänsen	nˈiːlgˈanzən
nilpäerd	nˈɪlpˈeːɾt
nimm	nɪ̞m
nimools	neːmɔːlˈts
ningsen	lŋsen
niob	nio
niobium	neobɪjum
nirwana	nɛrvɑːnˈa
nisch	nˈɪç
nischen	nˈɪçən
nisendaller haff	nˈɪs dˈiː dɑːlˈlɑː hˈaft
nitrat	nitʁˈaːt
nitraten	nˈə-tʁˈatən
nitrater	nətratˈa
nitt	nˈɪt
nitten	nɪ̞tˌɔn
nitts	nˈɪts
niveau	nivˈo
niveauen	nˈɛvɔlˈ
nivelléier	nivɛllɛjːa
nivelléieren	nɪvɛleːjɑvɑːn
nivelléiers	nevalias
nivelléiert	nivɛllɛjad
nivelléiertem	nivɛlɛjɑːtˈam
nivelléierten	nɪvɛlljɒtɒm
nivelléierter	nɛvɛllɛjɒtɒ
niwwel	nɪvɛl
niwweleg	nˈəvˈɔləʃ
niwwelegem	nˈəvˈɛləʒˈɔm
niwwelegen	nˈɪvəlˌɔxˈiɛn
niwweleger	nɪvˈɛləʒˈa
niwwelegt	nɔwɛlɔst
niwwelluucht	nˌɪvɜlˈɔ̃xt
niwwelluuchten	nˈɪvɑːlˈuxtoːn
no	nˈo
no an no	nˈoːɪm
no der aarbecht	nodɑː abɑːst
noaafs	nˈoʊˈæfs
noaaft	nˈoːˈæft
noafen	nˈoˈaɾfən
nobauen	nˈuːɾbˈaʊən
nobaus	nˈobˈaʊʒ
nobaut	nˈobˈaʊt
nobehandelen	nˈuːɾbəhˈandələn
nobehandels	nobɛhɑˀŋdɯlt
nobehandelt	nˈɔbɜhˈandəlt
nobehandeltem	nˈubəhˈandəltən
nobehandelten	nˈubˈɑːhˈandˈøːltən
nobehandelter	nˈoːbəhˈaŋdəltˌɔr
nobehandlung	nˈɔxbəhˈandlʊŋ
nobehandlungen	nˈɔbøhˈandlʊŋən
nobel	nˈoʊbəl
nobelem	nˈoːbəlˌm
nobelen	nˈɔbəlˈɛn
nobeler	nˈɔbəllˈɔ
nobelium	nobeljum
nobelt	nˈɔbəlt
nobestallt	nˈuːɾbəʃtˈɑːlt
nobestalltem	nˈuːbˈɪʃtɑːltən
nobestallten	nˈuːɾbəʃtˈɑːltən
nobestallter	nˈuːɾbəʃtˈɑltdˈɑː
nobestellen	nˈuːɾbəʃtˈaˈlən
nobestells	nˈuːɾbəʃtˈaltz
nobestellt	nˈɔxbəʃtˈalt
nobezils	nˈoːˈɛtʃɪts
nobezilt	nˈuːɾbətsˈɪlt
nobezuelen	nˈuːɾbətsˈøːlən
nobezuelt	nˈuːɾbətsˈøːlt
nobezueltem	nˈuːɾbətsˈœltdˈan
nobezuelten	nˈuːɾbətsˈœɾtdˈɛn
nobezuelter	nˈuːɾbətsˈyːltdˈɑːɾ
nobless	nˈoʊblˈæs
noblesse	nˈoʊblˈɛs
nobléien	noblejan
nobruecht	nˈoːbɹˈuːʃt
nobruechtem	nˈoːbɾˈʏstən
nobruechten	nˈobˈaʏsʊtən
nobruechter	nˈubɾˈʃɪtˈa
nobréngen	nuːbɾˈɛŋən
