!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
mais novo	mais novo
mais ou menos	mˈaɪʒ ˈow mˈemʊʒ
mais perdido que cego em tiroteio	mˈaɪʒ pˌeɾədˈidʊ kɨ sˈɛgɨ u ˌeɪŋtˌiɾˈɔteɪw
mais perdido que surdo em boate	mɐʒ pˌeɾədˈidʊ kɨ sˈoɾədʊ ˈeɪŋ bˌuˈatɨ
mais perto	mˈaɪʒ pˈɛɾətw
mais que demais	mˈaɪʒ kɨ dˌɨmˈaɪʒ
mais que perfeito	mais doɨ peʁfetow
mais que um	mˈaɪʒ kɨ ũŋ
mais rápido	mɐʒ ʁˈapido
mais tarde	maʃtaɾt
mais um ano vai e vêm saudades. sinta-se à vontade pra sentar	mˈaɪʒ ũŋ ˈɐ̃nw vaɪ ˈaɪ vˈeɪŋ sˌɑldˈadɨʃ sˈiŋtɐ sɨ ˌɐvũŋtˈadɨ pˌɐɾɐ sɨɲtˈaɹ
mais um na multidão	mɐʒ ũŋ nɐ mˌuwtidˈɐ̃ʊ̃
mais uma vez	mˈaɪʒ ˌumɐ vˈeʒ
mais vale a prática que a gramática .	mˈaɪʒ vˈalɨ ɐ pɹˈatikɐ kɨ ɐ gɹɐmˈatikɐ
mais vale andar só que mal acompanhado.	mˈaɪʒ vˈaɾiɐ̃ʊ̃ dɐ sˈɔ kɨ mˈɑl ˌɐkumpanˌiˈadw
mais vale o exemplo que a doutrina.	mɐʒ vˈaʎʊ ˌezˈeɪmpulʊ kɨ ɐ dˌultɹˈinɐ
mais vale perder-se o homem que o nome, se ele é bom.	mɐʒ vˈalɨ pˌeɾədˈeɹ sɨ u ˈomeɪŋ kɨ u nˈomɨ sɨ ˌelɨ ɐ bˈoŋ
mais vale quem quer do que quem pode.	mˈaɪʒ vˈalɨ kˈem kˈɛɹ dʊ kɨ kˈem pˌɔdɨ
mais vale só do que mal acompanhado.	mɐʒ vˌɐʎisˈɔ dʊ kɨ mˈɑl ˌɐkuŋpɐ̃ɲˈadw
mais vale um pássaro na mão do que dois voando.	mɐʒ vˈaʎɨ ũŋ pˈasɐɾʊ nɐ mˈɐ̃ʊ̃ dʊ kɨ dˈoɪʒ vˌuˈɐ̃ŋdʊ
mais velho	mˈaɪʒ vˈɛʎʊ
mais velho que andar pra frente	mɐʒ vˈɛʎʊ kɨ ɐ̃ŋdˈaɹ pˌɐɾɐ fɹˈeɪŋtɨ
mais-que-perfeito	mˈaɪʒkɨpˌeɾfˈetʊ
mais-valia	mˈaɪʒvˈaʎiɨ
maisa	maˈiɐsɐ
maisena	majzena
maitê	malte
maitê piragibe	maj tepˈirˈa ʒˈibˈi
maitê proença	maj tɨɾ pɾuˈɛnθɐ
maizena	maisenna
maiêutica	majeˈutʃkˈa
maiô	major
maiúscula	majˈuskola
maiúsculas	majˈuzklez
maiúsculo	majiʊskɔlʊ
maja milinković	majamiljŋkɔʊ̃ɐ
majestade	maʒuʃtˈadʊ
majestosa	maʒestosa
majestosamente	maʒɨʃtˈoɾɨʒˈɐmˈeɪŋtɨ
majestoso	mˌɐʒɨʃtˈozʊ
major	maʒoɾ
major gercino	maʒoɾʒeɾ sˈinu
major isidoro	maʒoɾ ɛ ziˈdɔɾ
major sales	mˌɐʒˈɔɾəʒ sˈɐlɨʒ
major teofanes	maʒuɒːjækæ ɑːfnʲeːst
major vieira	maʒˈɔɹ vˈeɪɹ
major-salense	maʒuɒsɒlˈiz
major-tenente	maʒuɾtenˈentɨ
majorante	ˌɐʒuɾˈɐ̃ŋtɨ
majorar	mˌɐʒuɾˈaɹ
majoração	maʒoɾa
majorense	mˌɐʒuɾˈeɪŋsɨ
majoritariamente	maʒuɾitaɾialmente
majoritária	mˌɐʒuɾitˈaɾjɐ
majoritário	mˌɐʒuditˈaɾjʊ
majorvieirense	majˈɔɹvjɨɪɾˈeɪɾˈeɪŋsj
makemake	mˈeɪkmˈeɪk
makiyama	mˌakiˈɐ̃mɐ
maktub	maktˈub
mal	mal
mal começou	mal kˌɔmsˈow
mal de alzheimer	mau̯ dʒau̯ zajmˈex
mal de chagas	au dʒʃagaiʃ
mal de hansen	mau dɨ hɑ̃nˈseɪŋ
mal de muitos nem conforto é.	mˈɑl dɨ mwˈiŋtʊʒ neɪŋ kˌuŋfˈoɾətʊ ɛ
mal de muitos, consolo é.	mˈaʊ dɨ mwˈiŋtʊʒ kˈuŋsˈulʊ ɛ
mal de muitos, triste consolo.	mˈɑl dɨ mwˈiŋtʊʒ tɹˈiʃtɨ kˈom sˈolʊ
mal de parkinson	mˈaʊ dɨ pˈaɾəkɨ sˈɔ̃
mal de weil	mauʒueio
mal gosto	mau̯gɔʃtʊ
mal informado	mˈɑl ˌifuɾəmˈadw
mal passado	mˈɑl pɐsˈadʊ
mal que se ignora, coração que não chora .	mˈɑl kɨ sɨ ˌiŋgnˈɔɾɐ kˌuɾɐsˈɐ̃ʊ̃ kɨ nˌɐ̃ʊ̃ ʃˈɔɾɐ
mal-afamado	mˈaʊˌɐfɐmˈadw
mal-agradecido	mˌɑlˌˌɐgɾɐdˈɨsˈidʊ
mal-ajambrado	mˈaʊlaʒˈɐ̃mbɹˈadʊ
mal-ajambrados	mˌɑlɐʒˌeʊmbɹadʊʒˈowmˌɐlɐʒˌubɹadʊʒ
mal-ajeitado	mˈɑlɐʒˈˌeɪtˈadʊ
mal-amado	mˈaʊɐmˈadʊ
mal-amanhado	malˌɐ̃ʃˈaðo
mal-armado	mawʔahmaːn
mal-arrumado	mˈaʊˌɐʁumˈadw
mal-assombro	mˌɐlɐsˈombrwˈowmˌɐlɐsˈombrw
mal-de-gota	maudɨgˈotɐ
mal-educado	mˈɑlˌedukˈadw
mal-educados	mˈɑlˌedukˈadʊʒ
mal-encarado	mˈɑlˌeɪŋkɐɾˈadw
mal-entendido	mˈɑlˌeɪŋtɨɲdˈidw
mal-entendidos	malendendidʊʒ
mal-estar	malʃtɐɾ
mal-haja	mˌɐlˈaʒɐ
mal-humorado	mˈaʊuˌmɔɾˈadw
mal-intencionada	mau̯intẽɪsioŋaðɐ
mal-intencionado	mˈaʊˌeɪŋteɪŋsˌiunˈadw
mal-pecado	mˌɑlpɨkˈadʊ
mal-sucedido	mˈaʊsˌusɨdˈidʊ
mal. deodoro	mˌɐɾɨʃtʃˈaʊ dˌɨudˈoɹ
mala	malˈa
malabares	malabaɾes
malabarismo	mɐlɐbɐɾˈiʒm
malabarismos	malabaɾismuz
malabarista	malabaɾist̪a
malabarizar	maːlabˌɑlizˈa
malabarização	malabɐɾɨsˈaɪʊ̃
malabarizável	mˌɐlɐvˌɐɾizˈavˌɛl
malabarístico	malabariʃtʃɔkɔ
malabárico	mˌɐlɐbˈaɾikʊ
malaca	malakˈa
malacacheta	malaakset̪a
malacachetense	malakazʃɛtɛŋsj
malacia	mˌɐlɐsˈiɐ
malaco	malakum
malacologia	malakuluʒˈiɐ
malagrida	mˌɐlɐgɹˈidɐ
malagueira	malageiɾa
malagueta	malagjet̪a
malaiala	malaja
malaio	malajʊ
malalieu	malalew
malam bacai sanhá	malɐ̃n bakaː e sɐɲˈa
malamute-do-alaska	mɐ̃ɫɛmutsidˈugˈɐɫˈaʃkɐ
malandra	malˈɐ̃ŋdɹɐ
malandragem	mˌɐlɐ̃ŋdɹɐʒˈeɪŋ
malandramente	malˈɐ̃ŋdɹɐmˈeɪŋtɨ
malandramente me convenceu a lhe ajudar.	mˌɐlˈɐ̃ŋdɹɐmˈeɪŋtɨ mɨ kˌuŋvɨnsˈeʊ ɛʎɨ ˌɐʒudˈaɹ
malandrice	malɐ̃ŋdˈɹˌisˌe
malandro	mˌɐlˈɐ̃ŋdɹʊ
malandros	palˈaŋdɹʊs
malanga	malɐ̃ŋa
malapropismo	mˌɐlɐpɹˌupˈizmˌu
malaquias	falaakies
malaquita	malakjta
malar	maːlaːx
malaria	mɐlˈˌɐɾɪɐ
malarina	alaɾˈiŋa
malas	malas
malas-caras	malaskˈaɾas
malasada	mˌɑlɐsˈadɐ
malassada	mˌɐlɐsˈadɐ
malation	malakion
malaui	maːlɔʝ
malauiano	malawjano
malauí	malaui
malavi	mˌɐ̃ʎˈavˌɪ
malawi	malaːwˈi
malaxofobia	malaksofobʲeʝe
malazarte	malasˈa
malba tahan	malbɐ tˌɐʁˈɐ̃ŋ
malbaratar	mau̯paɾatˈaɹ
malboro	mˌaɾlbˈoɾum
malcheiroso	mˈaʎʃˌeɪɾˈozʊ
malco	mau̯kɔ
malcom	malku
malcontentadiço	mɑlkˌuŋteɪŋtˈadˈisʊ
malcriada	mˌɑlkɹiˈadɐ
malcriadinhos	maltrojɔðimʃ
malcriado	malkɾiaɾ
maldacena	mˈɑldɐsˈenɐ
maldade	maldadɨ
maldades	mˌɑldˈadɨʒ
maldisposto	mɔl̪t̪pũɾt̪
maldita	mau̯dˈitɐ
malditas	aldʒidɐs
maldito	mau̯dʒinːtːɔ
malditos	malditˈoɨʃ
maldivas	maldʊˈvjes
maldiz	maldʒiʃ
maldizer	mˈɑldizˌeɹ
maldizia	mˌɑldɨzˈiɐ
maldição	mˌaldisˈɐ̃ʊ̃
maldições	mˌɑldisˈõjʒ
maldosa	mˌɑldˈɐʒɐ
maldosamente	mˌɑldˌuzɐmˈeɪŋtɨ
maldosas	maldɔseʃ
maldoso	mau̯dˈozʊ
maldávia	ˌɑldˈavjɐ
maldívio	audˈivjʊ
male	mal
maleabilidade	malˈaɛˌɐbilidˈadɨ
malebra	malɛbra
maledicente	mˈaʎedˌɨsˈeɪŋtɨ
maledicência	malðiselsja
maledicências	maledisθenzias
maleficamente	malˈɛfikɐmˈeɪŋtɨ
malefício	manefisio
maleiro	malˈeidʊ
maleita	malaɪtˈa
malemolência	naveˈmoleˈsjɐ
malena	malilo
males	males
maleta	paːljt̪ːa
malevolente	mɑlˈivulˈeɪŋtɨ
malevolentíssimo	malɛvulˈeɪŋtisˈtimɔlɦmɑʎevulˈɛ̃tisˈtim
malevolência	malˈevulˈejsjɐ
maleável	maliavˈil
malfeito	malfeitˈo
malfeitor	mˌalfeɪtˈoɾ
malformado	mˌɑlfuɾəmˈadʊ
malformação	mˌɑlfˌuɾəmɐsˈɐ̃ʊ̃
malga	malg
malgache	malgˈaʒ
malgaxe	mˌɑlgˈaʃɨ
malgrado	mˌɑlgɾˈadʊ
malha	maʝa
malha canelada	malʲekane lada
malha de lã	mˈaʎɐ dˈiʎɐn
malha metálica	maʎeː mitʃaljkɛ
malhada	ɦɑːnɑvɑn
malhada de pedras	mˌaʎˈadɐ dɨ pˈɛdɹɐʒ
malhada dos bois	mˌɐʎˈadɐ dʊʒ bˈoɪʒ
malhada-pedrense	mal̪ad̪eped̪rã
malhadense	malhadeins
malhadiço	maʎadˈisʊ
malhado	mˌɐʎˈadʊ
malhador	maiadul
malhal	malhau
malhao	maliau
malhar	maʝɑɾ
malhas	malʲæs
malhação	malhaˈsɐ̃ʊ̃
malhação de judas	mæˈlˈstɑ̃ dˈi ʒuːzˈɛ
malhei	mɐʎˈeɪ
malhete	malʲetsʲi
malhio	maljo
malho	maljo
malhoa	maɣo
malhos	maljʒoːs
malhão	mɐʎˈɐ̃ʊ̃
malhó	maʝˈɔ
mali	malj
maliciosa	mˌɐlɨʃjˈozɐ
maliciosamente	maliziozameite
maliciosas	malisiozas
maliciosidade	malʃʃiʃɔzʒdˈadɪ
malicioso	malisiozo
maliciosos	mˌɐlisˈioʃʊʒ
maligna	valigna
malignamente	malignamentʃɛ
malignidade	malʲidnʲidana
maligno	maligno
malinidade	malinidɐdˈe
malinês	alˈjneiʃ
mallet	malet
malletense	maletˈeɪŋsj
mallu magalhães	mɐlˈumɐ gˌɐljˈɐ̃ʊ̃
malmentinhos	mˌɑlmeɪŋtʃˈɪɲʊʒ
malmequer	mˈaʎmkˈeɾ
malmsey	mabe
malnascido	mˈɑlnɐsˈidʊ
malo	malo
maloca	malˈɔkɐ
malocar	mal˥k˥a˥
malograr	maloɣ̞ra
malogro	mɑlˈɔkr
maloqueiro	malukˈeɪɾʊ
maloqueiros	malokeirus
malote	maɫotʂɨ
malpassado	mˌɑlpɐsˈadʊ
malquerença	malkeɾeŋsã
malquerer	mˌɑlkɨɾˈeɪɾ
malquistar	mˈaʊkɨestˈaʃ
malquisto	maukistˈu
malsadio	mˌɐlˌsˌadˈidʒˈ
malsinado	mˌɑlsˌinˈadʊ
malsoante	bˌɑlsˌuˈɐ̃nˈtɨ
malsucedido	mˌɑlsˌusɨdˈidʊ
malsã	maʊsɨ
malsão	mˌalsˈɐ̃ʊ̃
malta	alta
malte	mau̯t
maltense	maltensi
maltrapilho	mautɹɐpˈiljʊ
maltratadas	mau̯tlaɾtadɨs
maltratar	malt̪ɾat̪aɾ
maltês	multejs
malu	malu
malu mader	malvu maːdex
malu rodrigues	na lufo triki
malu valle	maluva ali
maluca	malowka
malucas	malˈukɐʒ
maluco	malukˈo
malucos	malukuz
malunga	mˌɐlˈũŋgɐ
maluqueira	mɐ̃ˈluːkˈajɾɐ
maluquice	malukiki
maluquinho	mˌɐlukˈiɲʊ
maluquês	malukˈeθ
malva	maʎdʒi
malvacini	malesin
malvada	nˌɐ̃ʊ̃dˈadɨ
malvadamente	mˌɑlvɐdˌɐmˈeɪŋtɨ
malvadas	mou̯badɐs
malvado	mˌɑlvˈadʊ
malvados	mˌɑlvˈadʊʒ
malvasia de colares	mˌɑlvˈazɐ dɨ kˌulˈaɾɨʃ
malvasia fina	nˌɐlvˈazjʊ sˈinɐ
malvasia preta	ugazi apɾitˈa
malveira	mˌɑlvˌeɪɾɐ
malversação	mˌɑlvˌɨɾəsɐsˈɐ̃ʊ̃
malvino salvador	mˌɑlvˈiɐ nʊ sˌɑlvɐdˈoɹ
malvisto	mɑlvˈiʃtʊ
malváceo	mˌɑlvˈasjʊ
malária	malaːɾiɐ
malásia	malˈasja
malão	mɐlˈɐ̃ʊ̃
malédicos	malˈɛdikʊʒ
maléfico	malafjkɔ
maléolo	aleolo
malévola	malefola
malévolas	alˈɛjɐvˈˈulˈɛz
malévolo	malleavolu
malê	malˈle
malês	malɛs
malícia	malˈisjɐ
malícias	malvilɛkies
malíssima	malisima
malíssimo	malisimum
mama	mama
mama na égua	mama na eʄwa
mamadeira	mˌɐmɐdˈeɪɾɐ
mamado	lɛn
mamalogia	mamalɔʒˈiɐ
mamangaba	mɐmɐ̃ŋˈgɐbɐ
mamangava	mˌɐ̃ʒˈaŋgˌɐvˌa
mamanguape	mamanˈgwˈapːi
mamanguapense	mamaŋgwɐpˈeɪŋsɨ
mamao	mɐmˈɐ̃ʊ
mamar	mama
mamarracho	mænmɑqʰɑːʃu
mamazinha	mˌɐmɐzˈiɲɐ
mamba-negra	mɐ̃mbanˈegɹɐ
mambaiense	mˌɐ̃mbaˈiɨˌeɪŋsɨ
mambaí	nˈobˈaɪ
mambembe	mãnbˈeɪmbi
mamborense	mˌɐ̃mbˈɔɾɛis
mamborê	mɐ̃mbˈoreɪ
mameluco	mamelufo
mamica-de-cadela	mãmˈikadɨkˈadˌeʎa
mamica-de-porca	mɐmˈikɐdɨpˈɔʁkɐ
mamilo	mamjɛlɔ
maminha	mɑmˈiɲe
mamoal	mamoau
mamoeiro	mamoijiru
mamoeiro macho	a mʊˈeɪɾʊ mˈaʃʊ
mamografia	mɐ̃moʒɾˈɐ̃fˈiɐ
mamona	mamɔnɑ
mamonas	mˌɐ̃ˈmunˈɐs
mamonas assassinas	mamˈonɐʒ dɨ sˈasˈinˈɐ̃ʃ
mamoneira	mamɔneɛɾɑ
mamonense	mamˌɐ̃mˌuŋɨnsˌi
mamoplastia	mamuplɛstʃiːjɛ
mamoru miyao	mamoɾumiaiɔ
mamoré	mɐmˈaʊɹɨa
mamparra	mˌɐ̃mpˈaɾə
mampituba	mˌɐ̃ʊ̃pˌitˈubɐ
mamulengo	mˌɐmulˈeɪŋgʊ
mamute	maːˈmʊtʃɪ
mamário	bɐ̃mˈaɾjʊ
mamã	mamma
mamãe	mamaj
mamãe-sacode	mɐ̃mɐ̃isɐkɔdˈɛ
mamãe’s	mɐmˈaɪnˈ
mamão	mɐmɐʊ
mamão é uma fruta.	mɐmˈɐ̃ʊ̃ ɛ ˌumɐ fɹˈutɐ
mamão-do-mato	mɐmˈɐ̃ʊ̃dʊmˈatʊ
mamão-melão	mamɔŋmilɔŋ
mamãozinho	mˌɐmˈaʊŋzˈiɲʊ
mamífero	nˈɛmifˈru
mamífero digitígrado	me mi fru tiʒti
mamíferos	mamiferoz
mana	mæːn
manacapuru	manakapuru
manacapuruense	anakɐpʊɾue
manacá da serra	mɐnɐkˈa dɐ sˈɛʁɐ
manacá-da-serra	mɐnɐkɐdɐsˈeʁɐ
manacá-de-jardim	mamakˈadʒɐɾədˈiŋ
manada	manad
manairense	maːnaːiːtse
mananciais	anõŋsɪaiʃ
manancial	manusial
manaquirense	manakire
manaquiri	maːnɑːkkɪɾiː
manar	manˈna
manari	mˌɑnˈɑri
manariense	mˌɐ̃nˈnˈaɪɾˈiˌeŋse
manassés	manˈakejʃ
manatuto	nanetuto
manauara	manauaɾɐ
manauaras	mɐnɐʊˈɑɹasi
manauense	manawemse
manaus	manaus
manauê	manaui
manauês	mãnˈaweɪz
manaém	manajŋ
manaíra	mɐ̃nˈaɪɾɐ
mancada	mɐ̃ŋkˈadɐ
mancal	mankau
mancando	maːnkɑːɟaːntu
mancar	mˌɐ̃ŋkˈa
mancaras	mankaras
mancebo	mɐ̃nˈsɨbʊ
mancha	manʃe
mancha negra	mˈɐ̃ʃɐ nˈegɹɨ
manchada	mɐ̃ŋʃˈadɐ
manchadas	manʃadɐʒ
manchado	mˌɐ̃ŋʃˈadʊ
manchar	mˌɐ̃ʃatˈ
manchas	manʃas
manche	maːʃi
manchedes	mɐ̃ʃɐ̃dʲis
mancheia	mɐ̃ŋˈʃeje
manchester	mˈɑnʃɛstɚ
manchete	tɨ
manchilha	mɐnˈsˌiʎɐ
manco	manku
mancomunado	mɐ̃kˈomʊnˈadʊ
mancomunar	mankomuʎˈa
mancomunidade	mˌɐ̃ʊ̃kˌumunidˈadɨ
manda	mandɑ
manda a ver	mˌɐ̃ŋdɐvˈeʁ
manda bala	mˈɐ̃ŋdʊɐ bˈalɐ
manda outro para ele[slash]ela	mɐ̃ŋdˈaut pɐɾɐ ɛlɨ mɐ̃ŋdˈaut pɐɾɐ ɛlɐ
manda um salve	mˈɐ̃ŋdɐ̃ʊ̃ sˈɑlvɨ
manda-chuva	mɐ̃ŋdɐʃʊvɐ
manda-os	mãn̪d̪elˈos
mandacaru	mãn̪d̪akʰaːɾu
mandacarú haste	mãn̪d̪akaroaʃte
mandachuva	nˈɐ̃dˈaʃˈuvɐ
mandadeiro	mˌɐ̃ŋdɐdˈeɪɾʊ
mandado	mandado
mandado de busca	bãn̪d̪aɾð̞u d̪e β̞uʃka
mandado de injunção	mɐ̃ŋdˈadɐ dɨ ˌiŋʒũŋsˈɐ̃ʊ̃
mandado de segurança	mandˈadʊ dɨ sˌeguɾˈɐ̃ŋsɐ
mandaguari	nɯ̞mdaʁwaɾi
mandaguariense	mãnˈdˈˈaʒˈuɑɾˈiˈeɪŋʃ
mandaguaçu	mˌɐ̃ŋdɐkˈaɪuɐʒˈow
mandaguaçuense	mˌɐ̃ŋdɐgˈwaɪsˌuˈeɪŋs
mandai	mɐ̃nˈdɐɪ
mandala	mãnˈdɐlˌa
mandam	mɐ̃ŋdɐ̃ʊ̃
mandamentos	mˌɐ̃ŋdɐmˈeɪŋtʊʒ
mandando	mɑŋdɑːmdu
mandante	mandant
mandaqui	mˈɐ̃ŋdɐkˈi
mandar	mɐ̃nˈdɐɾ
mandar às urtigas	mãn̪d̪aɹ as uɾðˈigɐ̃s
mandara	mɐ̃nˈdɐɾˈa
mandaram	mɐ̃ŋdˈaɾɔm
mandardes	mãn̪d̪aɾð̞eʃ
mandaria	mʊ̞ŋdʊ̞rjæ
mandariam	mɐ̃ŋdˈaɾˈiɐ̃ʊ̃
mandarim	mɐ̃nˈdɐɾiŋ
mandasse	mɐ̃ŋdˈasˈɛ
mandassem	mɐ̃ŋdˈaseɪŋ
mandato	mandato
mandatário	mˌuŋdɐtˈaɾjʊ
mandava	mˌɐ̃ŋdˈavɐ
mandavam	mɐ̃ŋdˈavɐ̃ʊ̃
mandaçaia	mˈɐ̃ŋdɐsˈaɪɐ
mande	mande
mande notícias quando você tiver tempo	mˈɐ̃ʒɨ nˌutˈisɐʒ kwˈɐ̃zɨ tˌivˈɛɹ tˈempʊ
mandei	mˈʌndˈɛɪ
mandei umas flores para agradecer	mãn̪t̪e unhas floɾes pˌɐɾɐ aːɣɹɐðesˈeɹ
mandela	mɐ̃ŋˈdɛlɐ
mandem	mandeim
mandi chorão	mɐ̃nˈvi ʃˈorɐ̃w
mandiguaçu	məŋdʒigwaʃuːb
mandinga	mendɪŋ
mandioca	mɐ̃nˈdˈɪɔkˈa
mandioca brava	mɐnʒɔkɐ bɾˈavɐ
mandioca frita	els xok a fɾitːa
mandioca-do-mato	mɐ̃ŋdˈiʒˈɔkɐdʊmˈatʊ
mandiocaba	mɐ̃ŋdˈiɔkˈabɐ
mandiocal	mˌɐ̃ŋdˈjˈɔkˈɑl
mandiocão	mˌɐ̃ŋdˈiʊkˈaʊ
mandioqueiro	mɐ̃ŋdʒʊ̞kejɾʊ
mandirituba	mãn̪d̪iɾet̪ub
mandiritubano	mandirˈitubɐnˈɔ
mandjuandade	mãŋdʒuãn̪d̪adʒi
mando	pando
mandolina	mãn̪d̪olena
mandona	mˌɐ̃ŋdˈɔnɐ
mandou	mɐ̃nˈdɔu
mandou bem!	mɐ̃ŋdˈow beɪŋ
mandraco	mɐ̃ŋdˈɾakʊ
mandranice	mˌɐ̃ŋdɹɐnˈisɨ
mandriar	mɐ̃ŋdˈɹˈiɐ
mandriice	mãn̪d̪riisi
mandriices	mˌɐ̃ŋdɹˈˌisˈɪʒ
mandril	mandɾiu
mandrilagem	mandrilaʒen
mandrilar	mandɾilˈaɾ
mandrilhamento	mãn̪d̪ɹˈiljamˌeɪŋtʊ
mandrilho	mantrigio
mandriona	mandrjona
mandrionar	mandrionau̯
mandrionas	mɐ̃nˈdˈɹiənˈaʃ
mandrita	mɐ̃ŋdɾitːa
mandrião	mentɾiã
mandriões	mɐ̃ŋdˈɹˈiɔis
mandro	mˈɐ̃ndro
mandronga	mɐ̃ŋˈdɹˈuŋɣa
mandropolita	mantropwljta
mandrová	mantrov
mandruano	mantruannɔ
mandrágora	mɐ̃nˈdˈɹagʊɾˈa
mandu	mˈɐ̃nzʊ
mandua	mantua
mandubi	mʊ̃duːbjɪm
mandubiguaçu	mãndʊbigoasw
mandubé	mãŋdupːɛɐ
manduca	mˌɐ̃ŋdukə
manducar	mɐ̃ŋdˈoukˈaɾʊ
manducarada	mɐ̃ŋdˈokɐʁˈadɐ
manducarado	mɐ̃ŋdˈʊkˌɐɾˈadʊ
manducarismo	mɐ̃ŋdʊkˌɐɾiʒmʊ
manducativo	mãn̪d̪ukˈtivˈɔ
manducatório	mˌɐ̃ŋdukɐtˈɔɾjʊ
manducação	mˌɐ̃ŋdukɐsˈɐ̃ʊ̃
manduco	mʊ̃ŋdʊkːɔ
manducável	mˌɐ̃ŋdukˈazˌeʊ
manduirana	mãn̪d̪oiɾana
mandupitiú	mˌɐ̃ŋdʊpˈɪtɪˈu
manduraba	mˌɐ̃ŋduɾˈabˌɐ
mandureba	mãn̪d̪ʊɾɛba
manduri	mændʊːri
manduricão	mɐ̃nˈduɾikˈɐ̃ʊ̃
manduriense	mãn̪d̪uɾiẽn̪s
mandurim	mɐ̃ŋdˈʊɾiŋ
mandurirana	munguɾiɾana
manduruva	mɐ̃ŋdˈʊɾʊvɐ
manduvira	mˌɐ̃ŋduvˈiɾɐ
manduça	mãndusɛ
mandámos	mɐ̃ŋdˈɔmʊʒ
mandão	mãnˈdɐ̃ʊ̃
mandíbula	mantʃieboːla
mandíbulas	vantiebolas
mandúbio	mʊ̃gdubjʊ
mandúrria	̞adoːxjæm
mane	maːn˧n˧eː
maneabilidade	mãnɛabilitadɛ
maneado	maneˈadʊ
maneador	mãn̪eador
manear	manij
maneca	maːn˧ʔk̚˦˥kaː
manecar	maneka
manega	panɛɠɐ
manegar	manegˈa
maneia	maneje
maneio	maneio
maneios	maneios
maneira	mãn̪eɪɾa
maneira de pensar	mɐnˈeɪɾɐ tɨ pˌeɪŋsˈaɹ
maneirar	mandˌeˈiˈɾax
maneiras	maneiras
maneirinho	manejɾiŋʊ
maneirismo	mˌɐnˌeɪɾˈiʒmˌu
maneirista	maneɣ̞ujzt̪a
maneiro	mãnˈeɪɾʊ
maneirosamente	manˈeɪɾʊzɐmˈeɪŋtɨ
maneiroso	manegrooso
manejado	manejʒˈaðo
manejador	manizat̪uɾ
manejando	mønʒɒndɒ
manejar	mˌɐnɨʒˈaɹ
manejo	manʲeʐo
manejos	mãn̪eidʒoz
manejáveis	manexadis
manejável	manexˈaβˌel
manelo	manilo
manembro	manneiɨmbro
manemolente	manimɔlɛintʃɛ
manemolência	manemɔlɛnsia
manenguera	maninɣeɾa
manente	manejˈmtˈe
manequim	manekim
maneria	maneɾia
manerio	maneɾio
manesa	manizˈa
maneta	manjtˈa
manete	manetʃi
manetear	manetea
maneteneris	mãnɨtɨnɨʁɨʃ
maneável	maːn˧ʔdjaː˥˩ɔʔaː
manfarrico	mɐ̃ŋfɐʁˈikːʊ
manfredo colassanti	mɐ̃ŋfɹˈedʊ kˌulɐsˈɐ̃ŋtɨ
manfrinopolense	mʊnfrindɔpulɨŋsi
manfrinopolitano	mafrinopolitano
manfrinópolis	mɐ̃nfʁˌinɔpˌulˌiʒ
manga	mɐ̃ŋɐ
manga bufante	mˈaŋga bˈufɐntʃɪ
manga-larga	mˌɐ̃ŋgɐlˈaɾəgɐ
manga-rosa	mˌɐ̃ŋgɐʁˈɔzɐ
mangaba	mˌɐ̃ŋgˈabɐ
mangabal	mɐ̃ŋˈɐbau̯
mangabarana	mɛŋgɐbaɾenɐ
mangabei	mˌɐ̃ŋgˌɐbˈeɪ
mangabeira	mãŋgabeira
mangabeiras	magabʲæ̂i̯rɪ̞s
mangabeirense	mɐ̃ŋgɐbeːiɾeɪŋsˈi
mangabeiro	mɐ̃ŋgɐbˈeɪlˌɔ
mangada	mɛŋgaʕdɑ
mangador	mˌɐ̃ŋgadˈoɹ
mangagaba	mˌɐ̃ŋgɐgˈabɐ
mangagá	mɐ̃ŋˈagˈa
mangal	mɐ̃ŋˈgɐʊ
mangala	mãŋgaɾa
mangalala	mŋɣ̞aɫala
mangalarga	mˌɐ̃ŋgɐlˈaɾəgɐ
mangalarga marchador	mˈaŋgɐ lˈaɾəgɐ mˈaɾʃa duɹ
mangalarguista	mãŋgɐlˈaɾəgˈiʃtˈɐ
mangalaça	mŋɣ̞ɐ̃ˈsɐ
mangalaço	mʊŋɐlˈaŋ
mangalhado	nˌɐ̃ʊ̃dˌiɐʊˈadwˌ
mangalho	mˌɐ̃ŋgˈaʎʊ
mangalhão	mŋɐ̃ʎɐ̃ʊ̃
mangalô	mɐ̃ŋˌɐlˈu
mangana	mãŋgajn
manganagrafita	mˌɐ̃ŋgɐnˈagɹˌɐfˈitɐ
mangananfíbola	mˌɐ̃ŋgɐnˌɐ̃ʊ̃fˈibˌulɐ
mangananfíbolo	məŋganɛafiβolo
manganapatita	mãŋganapatʃita
manganato	seŋseŋsadɔtɔ
manganela	mŋɣɐnˈɛlɐ
manganelo	mˌɐ̃ŋgɐnˈɛlʊ
manganesiato	mˌɐ̃ŋgɐnˈɛzjatʊ
