!	tɕam˧˧tʰaːn˧˧
"điện ảnh"	bjˈɛ̃
quần dài	ŋuən˧˧saj˥˩
quần jean	wɔːn˧˥tɕiːn˥˧
quần lót	uən˨˩lɑ˥k
quần lót dây	kwan˨˩laːk˥ fjɑŋ˧˧
quần lót nữ	kwn˥˥ lɔt̚˥˩hŋ˥˥
quần lót tam giác	wuən˨˩ lɔːk˥ tãːm˧˥ dɛː˧˥
quần ngắn	əŋ˧˧ nŋ˧˧
quần short	uːɾn ʃɔɾt
quần sì líp	wɔːŋsiːrp̚
quần sóoc	kuaŋ˨˩ʂá˥˧
quần sóoc tây	koən˧˧ sáp˦˥ tɐj˧˥
quần sọt	wɤ˨ʂa˥˩
quần thun	ũŋ˨˩n˥˥
quần thể	kũã˥˥ tʰæ˨˩
quần tây	uən˧˥tai˥˥
quần tất	uəŋ˨˩ta˥˩
quần vợt	kua˥˥an˥˧ba˥˧
quần xã	qun˧˧ saː˧˧
quần yếm	wˈʌn ɪn
quần áo	kuɔ˧˧nau˥˩
quần áo bảo hộ	kuən˧˧ ɑ˨˦ u˧˧ pau˧˧ hɔ˨ˀ˩
quần áo nam	wɤŋ˨˩˦ ɑu˥˩ nam˧˥
quần áo ngủ	wən˥˧ uən˥˧
quần áo nữ	quən˧˧ ɑw˧˧ nɯə˧˧
quần đùi	uaŋ˥dʰua̯j˥
quần đùi	nwɤŋ˨˩ dɔj˧
quần đùi lót	quan duːj na
quần đảo	uən˧˧ dǎ˧˧
quầng	wãŋ
quầy	wˈaɪ
quầy báo	kua˧˧ bâːl˥
quầy hàng	wˈaɪ hˈɛŋ
quầy rau củ quả	kʰw˧˥sā˥˥ʊ˥˨ kuɔ˧˧kwa˨˩˦
quầy vé	kua˥˥l˧˥ ve˨˦
quẩy	wˈaɪ
quận	wˈʌn
quận ba đình	wan˧˥ ba˥˧n
quận hoàn kiếm	wan˨˩hwan˥˥kʰim˥˥
quận trưởng	wɤn˧˥ juː˧
quận tây hồ	wan˨˦te˥˥ hɔ˥˥
quận đội	wŋ˧˧ dɔ˧˧i˨˩˦
quật khởi	wˈʌtkhˈə
quặng	wɑŋ˧˥
quẹo phải	wɛːu˥˧faj˨˩
quẹt	uet̪
quế	kwa
quệt	wɒt
quỉ	uɤ˧˥
quốc	puː
quốc ca	pˈukːa
quốc gia	kuk zaa
quốc hoa	ua˥˩k˥hɑ˥˥
quốc hội	kʷak˥ hɔ˨˩˦
quốc khánh	tsuɔ˥˧xan˨˩˦
quốc kì	wokːi
quốc kỳ	kˈukki
quốc lộ	nˈuːtlaˈ
quốc ngữ	huk nʏ̞ŋ
quốc ngữ (國語)	quk˨ˀ˩ nɤ˧˧
quốc phòng	waq fan
quốc phục	kɔːkvʊ
quốc sử	wakse
quốc tế	kuɔ˧˧k˥ tʰɛ˨˦
quốc tịch	kwˈɑtˈat
quốc đại	wˈʌt nˈaɪ
quỳ	wˈeɪ
quỳ gối	dwi goj
quỳ lạy	tsiŋ˨˩lai˨˩˦
quỳ xuống	kui˥˧swɑŋ˨˩
quỳnh	wɤn
quỳnh dao	win˧˧ siaː˧w˧˧
quỳnh dung	tsŋ
quỳnh tương	tˈɛstˈe
quỵ	koɪ
quỷ	hue˨˩˦
quỷ kế	wee ke
quỷ quyệt	wˈi wˈeɪ
quỷ quái	wˈaɪ
quỷ sứ	wˈi sˈɪlə
quỷ thuật	kui˥˧tsʰt˥
quỷ thần	u˨˩˦i˨˩˦ tʰau˥˥
quỹ	˥˥gwɤ˧˥
quỹ bảo thọ	j˧˥ tɑŋ˨˩˦ hɔ˧˧
quỹ đạo	tui da
r	ð̞ɾɒ
ra	dˌiːzə
ra bắc	ɾaːba
ra dáng	rɑːzˈɑːn
ra giêng	bˌaʎˈaɪəzm
ra hiệu	pl˧e˨˩w˧˥
ra hồn	raːhl
ra khỏi	rɛː˧kʰaj˧
ra khơi	ɾɑhˈɑj
ra khỏi	rɛːkʰɔːj˧
ra làm sao	zaːb laːm saːw
ra lệnh	aːlˌak
ra mồ hôi	dramˈoːˈjhoi
ra mặt	domat̚˨˩
ra mắt	rɛːm˧t
ra ngoài	raːŋoj
ra nước cốt	raː nɔːkɔp
ra sao	raː˧˧ saːw˨
ra sau	drɛsau
ra sức	rˈɛʃ
ra trò	retro
ra tuồng	ɾaːto
ra viện	raː˥˩ ve˧˧an˥˩
ra về	zaːve
ra xa	resa
ra đi	raː˧ːniː˩˩˦
ra đi ô	dˈɾɒ dˈi ˈɔ
ra điều	raː ɗiːu˧
ra đón	a d̪a
ra đời	ɾɛda
ram	klam
ran	la
ran rát	bɾˈeɪt
rang	re
ranh con	ɾɑːnˀ kɔːnˈ
ranh giới	rən˧˧ zɤ˧˧j˨˩˦
ranh khôn	ɾɒn hˈoʊm
ranh mãnh	ɾʌn ɛmˈɑn
ranh vật	ɾʌn waˈb
rao giảng	raː˧lsean˨˩
rao truyền	re̞wt̪ro̞iŋ
rao vặt	raːwˈavˈa
rau	bɐu
rau bina	raːubiːne
rau bró-ko-li	ɹˈaʊ mɪɹˈɑkəli
rau cỏ	lau̯ kɾot̪
rau củ	tɤ˧˥
rau diếp cá	ʔraː˧
rau húng quế	au̯hũŋ˧˥ wœ̃˧
rau kinh giới	ralpinoxoi
rau lê	ˈaʊ lɪŋ
rau muối	rau˧˧ buːj˧˧
rau mùi tây	rau̯m˨˩ut˦ai˧˧
rau muống	zau˧˧mũən˧˧
rau mùi	ˈgɐu bˈoj
rau mùi tây	zau̯ bwjtaj
rau ngò	lau nɔ
rau nào sâu nấy	raː naːw saːnaːiː
rau ram	krauram
rau răm	bɾau̯ ram
rau spinách	brˈaʊz ðə bˈinɚ
rau xanh	raːʋ˧san˧
rau xà-lách	rɑːv sɑhɾæg
rau đay	ruːɖɐj
rau đậu	brau̯nau̯
rà rẫm	ɾɑːrɯm
rành mạch	tài̯ŋ˨˩ maɪ˥˩kɔ˧˥
rào	dˌiːzˈaʊ
rào chắn	râu˧˧ kãŋ˧˧
rá cơm	bˈɪs pˈa
rác rưởi	zɯək˨ˀ˩ zɯəj˧˨
rách mướp	rɑt˥ mɯːk˥
rách rưới	rkˌɾuːj
rách toạc	rɤt˦˥tɔːk̚˦˥
rán	lˈan
ráp chữ[slash]số thích hợp	rɑp˥˥ tʃɯə˧˧ so˨˩˦ tə˧˧ tʰəp˨ˀ˩
rã họng	raːˈsm
rã rời	da aːrɑj
rãnh biện	raɪnˈbiːn˧
rả rích	varɪ
rảnh tay	rãn˨˩tài̯˩˦
rạp hát	raːqaːt
re	zˈɛɾ
released	ɹɪˈliːst
reng	bɛn
reo	drɛo
rèn luyện	bɹˈæŋ kɹiː
rẻ	rʒˈɛ
ri	zˈi
ria	zˈiːɾ
ria mép	rɯ˧˧
rima thanh vy	gˈiː mˈɑː tˈænvi
riêng	ʒɾiːn
riêng biệt	ziən˧˧ bi˧˨at˦
riết rồi	rˈɛːkˈlˈɔːɪ
ro	zɑː
roi	bɾˈaɪb
rong	ɾɑŋ
rong biển	zom˨˦ biən˨˦
rong ruổi	rɔjˈ
róc rách	roɣ˨˩ra˥˩
rót giữa	raɾ zɪˈɾɑː
rót hết	ɹɒt hˈɛd
rót đầy	rɔːt˥nʔt̚˨˩
rõ	sˈa
rõ ràng	lœ˨˩˦ tsu˧˥
rõ.	sˈa
rọi sáng	raːi˨˩ sen˨˩
ru	zoː
rung	zum
rung rinh	nˈoːnbim
rung động	rũŋm˨˦ dɑŋm˨˩˦
ruồi	roj
ruồi muỗi	rɔj˨˩ moj˧˧
ruồi nhỏ	rɔj˨˩ɲa˥˧
ruồi txê-txê	roj˧˧sæːd˧˥sæːd˥
ruộng	rˈɔ
ruộng cây lanh	hɔːŋ˥˩ʔk̚˦˥l˧ɑn˥˩
ruộng dưa	rɔŋ˧˥ jɤ˥˩
ruộng muối	lũ˨˩aŋ˥˩ mu˥˩j˧˥
ruộng đất	roːˈŋˌ nˈat
rùa	roːɑ
rút hẹp	lo
rút ra	dʊɣ raː
rụng	rɔŋ˧˧
ruốc	vo
ruồi	zwaj
ruồi trâu	rɔj˨˩ tsɔ˧˧
ruồng	ruɔnˈ
ruồng bỏ	rʊŋ˨˩˦mɑː˧
ruộng	lʊŋ˨˩˦
ruộng lúa	zo lˈoːvɜ
ruột chì	n˧ot̚˨˩ʰt̚˨˩
rà soát	ɾaːʃɑk
ràn	rˈæŋ
ràn rạt	rˈægˈɛ
ràng	ræn
ràng buộc	ɹˈæŋ bˈoʊl
ràng ràng	ɹəŋ ɹæŋ
ràng rạng	n˧
rào	brau̯
rào cản	ˈaʊ kaɪŋˈ
rác	ɾɛ
rán	ɹˈeɪ
rán sức	reɪst
rán xem	rˈaɪn sˈeɪm
ráng	ɹˈeɪn
rát ràn rạt	ɟʝok dʒak
râm	ʈɑm
rân	bran
rân rát	ʁˈɛn vɛˈa
rân rấn	brãn β̞ɾau̯
râu	zəʊ
râu mép	zɛlmeθ
rầu lòng	rɔ˥˥lam˨˩˦
rầu rĩ	zau̯r̥ːiː
rất	lœɾ
rất hân hạnh	zət˧˧ hən˧˧ haj˧˧
rất mạnh	la man
rất nhiều	rˈot nɪwˈ
rất vui mừng được gặp anh làm quen	zăt˧ voj˧ mɯəŋ˧˧ dɯək˨ˀ˩ găp˨ˀ˩ ʔ an˧˧ lăm˧˧ kwɛn˧˧
rất đông	nwnt̪
rậm lời	rˈamlaɪ
rậm rạp	n˩˩˦am˧daː˧
rập khuôn	tɛpɔ̃
rã rời	raaraj
rãnh	ʐan˨˩˦
rèm	ɾɐːm
rèn	rɛ̀ɲ
rèn luyện	femliːn
rê	zˈe
rêu	bɪl
rìa	ɾeːˈɪɑ
rìu	ru
rón rén	rɔːŋˈɹæn
rót	dʒoːs
rô	sɔː
rôma	ro˥˩maː˧
rồi	rɔj
rồi đây	roiˈdej
rồi đời	rɔj˧˨ da˧˧j˧˧
rối chằng	loj kaŋ
rối lại	loːn˧˧laːj˨
rối loạn	bɾɔːn
rối loạn ám ảnh cưỡng chế	loj loŋ ʔaman˧˧ kɯəŋ˨ˀ˩ je˧˧
rối rắm	ɾʊɫ gɾˈæm
rối tung	rˈɔɪ tˈu
rốt cuộc	ɾɔːt̚˨˩kɔːk̚˦˥
rỗng tuếch	ɾauːnˈ tˈɔ
rộng	loːp
rộng rãi	rɔːŋ˧rai˥
rõ	zˈɑ
rõ ràng	ɾaː ɾaːjɛn
rõ rệt	ʁɔ˧˧ ˧˨lw˧˧
rùa	lˈoːɹ
rùng rợn	rʊŋ˨˩˦ ɾan˧˥
rút ra bài học	r˧˩ut˦˥ ɾe˧˩ baːj˧˩ hɔk˨ˀ˩
rút tiền	rn
răn dạy	răŋ˧˧ jài˧˧
răng	ʐua̯
răng hàm	tsaŋ˥˩ham˥˥
răng khôn	rʌŋˈhoː
răng nanh	rʌŋˈnɈɔː
răng rứa	zənzi
rắc rối	raɣloj
rắn	mh
rắn mối	ɾæŋ mˈɔɹn
rũ	zoː
rũ bỏ	ʒˈu ˈu pˈa
rơ	zˈa
rơi	aj
rơi vãi	rɤːˈʔai˧vajn˧
rơi xuống	rˈaɪzɚ
rơm	rɯ̞m
rơm rạ	rəm˨˩ra˨˦
rư	zˈɯ
rư sư	ruːʃuː
rương	rɯəŋ˨˩˦
rườm rà	brɛ̀ɐ̀ˀ
rường cột	ʔkʰt̚˨˩
rướn	bˈɾˈyn
rượu	rəʊ˨˩˦
rượu chè	tri utse
rượu mạnh	hɔ˧˥mǎn˨˩
rượu mùi	lɤ˨˩˦ mu˧˧j˧˧
rượu ngang	ruβ̞ŋẽm
rượu ngọt	lɤ˧˧ ŋa˥˧˧
rượu nho	rə˧˥u˥˩ɲɔ˧˥
rượu quỳ	drɪ̞ɣʊk kʏei
rượu vang	lɔːlɔːm˨˩˦
rượu xít	rɛusip
rừng	ɾɯ̞ŋ
rừng rú	tɛu˨˩˦ u˨˩˦
rừng trồng	roplom
rửa	ra
rước	lo
rưỡi	ʒʁˈe
rượu	ʐɤ
rượu ba kích	ruː˧˧ bˈɛ̄ːn˩˩˦ tˈipː˩˨
rượu bia	ɾɾˈokvˈil
rượu brandy	ruːpɹnˈdi
rượu bàu đá	ʒiəw˧˨ ma˥˩w˧n˩˧ã˥˧
rượu cava	rɯ˧˧ ka˥˥ va˥˥
rượu chupito	rˈiwˈˈtoʊ˥˩pi˥˧tɔ˧˧
rượu cocktail	ri˧˨au˧˧ kup˦˥ tai˧˧
rượu cẩm	dɤ˧˥ kɑm˨˩˦
rượu khai vị	zɯə˧˧ w˧˨kʰai˥˩ vi˨˦
rượu lậu	ɛːl˧ou˨˩
rượu lễ	zɯə˧˧ u˧˧ le˨ˀ˩ʔ
rượu mạnh	ɪ˧˧ə˧˧ mɐŋj˧˨
rượu oporto	hɔː ɔːpɔːk˧ toː˧
rượu porto	ɾɨː˩˦ ɦuː˧˥pɔː˧˥tɔː˥˩
rượu rum	ʐɤ˨˩˦ʐɤŋ˥˥
rượu sâm-panh	ʔw˧ʃa˥m˥˩pan˧
rượu thuốc	ʁˈiə tˈu
rượu trắng	ru˨˩tɕaŋ˨˩
rượu vang	rũ˧˨ fan˥˩
rượu vang có ga	rɯˈv an ko˥˩ː gaː˧ˀ
rượu vang đỏ	rɤw˨˩˦ vang˧˥ ˨da˧˥
rượu vang đỏ giá bao nhiêu?	rɯəw˧˨ vaːn˧˧ dɔ˨˦ dɑ˧˨ zaː˧˧ pa˧w˧nɲiu˧˧
rượu wisky	wˈɪski
rượu đế	rou̯ dej
rạch	rakˈtʃok
rạch giá	rãt̪ʝa
rạn	llai˧˥
rạn nứt	rãŋ˨˩ nɤt˦
rạn vỡ	aːˌiːn˥˥vˈaː
rạng rỡ	raːŋ˨˦ zɤ˧˧
rạo	rm
rạp chiếu phim	drɛ̀ʁkʰʔfb
rạp hát	zˈaːhˈat
rạp phim	ɾɑfˈfˈim
rải rác	rai˥rak̚˨˩
rảnh	zãŋˈ
rảnh rỗi	raniɾoi
rảy	raˈj
rấn	bɾˈaʊn
rấn bước	rən bɯ̞
rấn sức	lœ̃n sœp
rất	zət
rất giỏi	rɤk˧˧ zaːj˧˧
rất gần đây	rat˦gɔndaj˧
rất khó	rɑt˥xa˧˥
rất mệt	rɯ̞kmart
rất ngon	ʒarnoɾn
rất ngon!	rotn˩˥ːɔ̀n˥˩
rất nhiều	răt˨˩ pə
rất vinh dự	trat ʋɛndʒl
rất vui đước làm quen với anh	rɤk˨ˀ˩ vuɪ̯t˨ˀ˩m˧ lɑm˧˧ kwɛn˧˧ vɛː˧ ʔan˧˨
rất vui được gặp bạn	raajful˩˦eɾbaːl˧l
rất vui được làm quen	z˧t˦ vuj˧˧ dɯək˨ˀ˩ laːm˧˧ kwɛn˧˧
rất vui được làm quen với chị	zət˧ vuj dɯək˨ˀ˩ laːm˧˨ kwɛn˧˧ vɤj˧˩˨ tʃi˧˩˨
rất đắt	rʊ̞θ nãt
rần rần	rˈʌn ɹˈʌn
rần rật	raːm˧˥raː˧˥
rậm	zˈɒt
rận	rør˨˩
rận chim	ɣɾˈanˈtˈvˈɛ
rận chó	rˈaŋɟːa
rận cá	la nu k
rận gà	bən ɣ̞aː
rận mu	la mˈu
rận nước	rʌnˈkeʝ
rắc chông	răk˨˩ tʃɔŋ˧˧
rắc rối	rɑk˨˩ rɔ˧˧
rắm	dʒoːm
rắn	san
rằng	sãŋ
rẻ	zæː
rẻ hơn	rare˧n˧
rẻ tiền	rẽː˥˩ tʰeːn˧˥
rẽ	rɛ
rẽ phải	ɹˈɛfˌaɪn
rẽ phải tại đèn đỏ tiếp theo	rɤ˧˧ ʔf˧˧aːj˧˧taj˧˨ dem˧˧ dɔː˧˨ ti˥˩p˥ tʰeoʔ˧˧
rẽ trái	ɾˈɛtˈtʃˈaɪˌ
rẽ trái tại bảng dừng	rɛ˨˦ ʔ˧˧ trâi˧˧ tài˧˩˨ bãŋ˧˨ ng˧˧
rể	zˈe
rễ	rɛ
rễ tre	rɛː˧etʃeː˦˥
rối	rˈɔ
rối loạn	rɔːjˈlɔːan˧
rồi	ɾˈɔj
rồi đây	lɯəj˧d˨aj˧
rồng	aɾˈɑŋ
rổ	ʂɚ˨˩˦aʊ˥˩
rỗi	zoi
rỗng	sɔm
rỗng không	auɣ̞ãn̪t̪sau
rỗng tuếch	rău˧˧ tuɔj˨˦
rộng	so
rộng lượng	rɔ̀ŋ˧˧ lɤ˨˦˥
rộng rãi	rɔŋ˧˧ rai˨˩ʔ
rớt	ʁɤːt
rời	zˈaɪ
rời khỏi	rɤːxâːj˥
rụng	la
rủ	nɤ
rủi ro	rur˥˩raː˥˩
rứa hà	rɤ˨˩˦ɕ˥
rừng	zɐ̃ŋ
rừng nhiệt đới	rɯ̄ːm˧˧ diːt˦ dɤ̆j˥
rừng!	rm
rửa	ɾɛ
rửa bát	zɯə˧˧ bat�t˦˥
rửa chén	ʐɤ�ɑ˥˩ten˥˥
rửa mặt	plɤ mˈat˦
rửa sạch	zɯə˧˧ sak˨˩
s	tʃa
sa	sˈa
sa mạc	ʂan˥˥ maɪ˥˩
sa pa	sap pa
sa sung	saːŋ˨˩
sa thải	sa˥˩tʰaʔ˨
sa đọa	sã˥˥Ĕ˨˩a˧˧
sa đéc	sənde
sai	sˈaɪ
sai áp	fʃajʔap
sai bảo	saj˥˥pɑʊ˨˩˦
sai biệt	ʂajbʲir
sai cử	saːi˧˧ kɯ˧˧
sai dị	ʂa˥˥jɛ˨˩˦
sai hẹn	saj˥˥hian˨˩
sai khiến	sajn
sai khớp	sai˥˧fɔː˧
sai lạc	ʃaːjˈlˌaːt
sai lầm	ʃaj˧˧ lam˨˩
sai lầm	sai̯lam
sai lầm lớn nhất của lòng trắc ẩn.	saj˧˧ lɤm˧˨ nən˧˧ ɲət˦˥ kʰuə˧˩ lɔŋm˧˧ cɑk˧ ɤn˧˧
sai phái	ʃaːjˈfˌaːjˈ
sai phạm	ʃaːj˥˩fɑːm˥˩
sai quả	ʂɑ˥˥i˥˧ wa˧˧
sai rôi	jes kʰiːlæp ʃuː piːl ʃuː piːl
sai rồi	sai˧˧ roj˧˧
sai trái	ʃl̪aːl̪ tˈrɑːsˈɛ
sai ước	ʂa˥˥
saigon	saiˈgo
san hô	sˈaɪn hˈɔ
sang	ʃˈeɪm
sang (male name)	hˈaʊ ˈlɔːŋ hˈæv jˈu bˈɪn hiːɹ
sang [male name]	sæˈŋ
sang bên	sŋbən
sang năm	ʃaːn˧laːm˧
sang trọng	sɛ˥˥ dʒɑŋ˨˩˦
sang trọng	sanʒan
sanh sản (生產)	ʃanʃan
sao	sau
sao băng	sau̯p anu
sao bắc đẩu	sa˥˩pak˨˩ra˨˩ʔ
sao chép	saːw˧˧ tsʰɛp˨˩
sao chổi	saːu˧˨ tɕɔj˨˦
sao cũng được	sauˈ dˈə
sao diêm vương	sa˥˩w˧˥sɯ˥˩mən˧˥ʂɑŋ˥˩wu˥˩mɕjɛn˥˥
sao hôm	sau˨˩hoŋ˥
sao hải vương	tʃa˥˥hɑŋ˨˩˦ tʰu˥˩
sao hỏa	sau˥˥xwa˧˥
sao kim	saːwˈkŋ
sao kê ngân hàng	sɛːvˈgeːŋ˨ ŋ˥˥hɪŋ˥˥
sao lãng	se˧˧ lam˨˩˩˦
sao mai	zau̯maj
sao mộc	tʃaːm˧ap
sao nhãng	ʂau̯nʲa
sao nó bảo không đến?	saːo nɔ˧˧ bàu˧˨ xɔŋ˧˧ den˧˧
sao thiên vương	sau̯˧tʰi˧˥fuː˧
sao thổ	sɔːtˈhoʊ
sao thủy	senɾui
sao tỏ	sau˥˥ tɔ˧˧
sao trăng	sau˨˩trăŋ˧˧
sao vàng năm cánh	sɛ˥˩l˧ʔvɛːŋ˨˩˦ nɤm˧˥kɛ˧˧
sao vậy	saːveː
sao vậy?	saːu˧ vaj˧
sao đấy	sã˥˥ lej˧˨
sapa	sˈapˈɛn
saravan	sa˨˩raː˧ban
sau	sau
sau cùng	saˈɔ̃oˈ kʊŋ
sau khi	sau˥˥ heɪ˥˥
sau khi học xong tôi sẽ đi tới ngân hàng	sau˧˧ kʰi˧˩˨ hɔk˨ˀ˩ sɔŋm˧˧ tɔj˧˥ sɛ˧˧ di˧˧ tɤj˧˩˨ nɤn˧˧ hiən˧˧
sau một thời gian khá dài	sau˧˧ mɔːt˧ tʰɤ˧˥ zɛː˧˧ as˨ˀ˩ laj˨ˀ˩
sau này	saˈwˈnˈgdʑyˈt˥
sau vụ	sãŋ˥˩pɔ˥˥
sau đó	saːo˧˧da˧˧˧
sau đó tôi về nhà	sau˧˧ da˧˧ toj˧ ʋe˧˨ ɲe˧˥
sau đây	saːuːˈdɐɪ˧
say	sɐ̃i̯
say mê	sajˈmæn
say núi	zˈaɪ nˈɔx
say sưa	ʂɤ˥˩
say đắm	ʃaːiːdam
sài kinh	sajn˩˩˦
sài lang	saj˧lɛːŋ˧
sài phí	saːɪ˧phɪː˧
sàng sảy	sɛːn˥sɐiː˧˥
sành nghề	ʈʰan˦˥ɛːʔ
sành ra	san˩˩˦ra˥˩
sành ăn	san˩˩˦ an˩˩˦
sào	sau
sách	wˈɛˈuˈ
sách giáo khoa	ʂat˥˩sɛ˥˩ɛw˧˥kwa˥˥
sách học	sat˦ hau˧˧
sách hướng dẫn	sat˦ hɯəŋ˧˧ zan˧˩˨
sách khiêu đâm	ʃaːtsʰiːv dam
sách lược	ɕak˦˥ lɤ˨bk˦˥
sách mòng	ʃatman
sách một tập	kʃat˨˩mot˨˩tʃap˨˩
sách nhũng	sot˦ nŋũŋ˧˧
sách to	tɕakdɑŋ
sách tự học	ɕak˦˥ tɤ˧˥ hoʔ˧˧
sách vỡ lòng	sat˦ vɤ˧˨ ɤ˧˧ lɔŋm˧˧
sán kim	sẽŋ kĩːm
sán lãi	sɛ̃ˈlaːi˨˩
sáng	zæn
sáng bạch	tsɛn mˈat
sáng choang	sǎŋ˨˩˦ʈʂwan˥˥
sáng dạ	sæŋˈgjæˈ
sáng mai	saŋsma
sáng suốt	saɪn zu
sáng tỏ	sen˥˥tɑ˨˩˦
sáng trí	seŋ tɹiː
sáng ý	sɛː
sánh đôi	san˩˥ˀ doj˧
sáo ngữ	sáu˥˧ gɯəŋ˧˧
sáp	sap
sát nghĩa	saːqniː
sát sinh	sã˥˥sø˧˧i˧
sát trùng	aːt̪s̺aum
sải tay	tsǎːi˧˥ tɐi˥
sản khoa	sã˥˥ kʰan˥˥
sản phụ	seŋ˨˩fʊ˨˩
sản xuất	sãn˥˩ sup˨˩˦
sảng khoái	sai˨˩xwa˥˥
sảng sốt	san˩˦sioŋ˨˩˦
sạch mắt	sˈɛtmɛk
se	sˈe
sen	sæn
senkaku	senkaau
seo	siau˥˧
seo cờ	saˈseŋkaɹ
seo gà	seʎgˈar
séc	sˈɛk
sẽ	sˈeɪ
shuffle	sˈɛvən
si	fˈi
si mê	tiː me
si ngốc	si˧˧ ŋɔːp˨
si tình	siː tən
sidewalk	saːiːtwɑːk
sieu chip	siau˥˧tsĩ˥˥
sihanoukville	sì˧˧haː˧˨nuk˨˩ʔin˨˩
singapore	sĩŋgəˈpɔː
sinh	sɛn˩
sinh con	ʃɪˈnɪkɑːn
sinh cơ	tsɛ̀aː
sinh dục	ŋ jo
sinh hoạt	sin˥˥hʰe˧˧
sinh hóa học	sian˨˦ hã˨˦ hɑũ˨˦
sinh học	sin˥˥ tʰau˧˧
sinh học!	ʂən˥˥hɑː˨
sinh hoạt phí	sĩ˥˩
sinh học	sɪŋ˨˩hɑũ˨
sinh học biển	n˥˩hk̚˨˩ bi˧n˧˧
sinh khoáng	sən˥˥kʰu˨˩˦an˥˧
sinh khối	kʰoː˧˥
sinh lý học	sən˥˧ lɤj˧˥ haʔ˨
sinh lợi	ʂən˥˥laɪ˧˥
sinh nhiệt	ʂɛ˥˩lʲn˥˥ nʲet˥˩
sinh nhật	sɪŋ˥˩n˧t̚˨˩
sinh nhật	ʂən˥˥natʰ
sinh quyển	sən˥˥guən˥˥
sinh quyển	sĩ˥˧ quen˧˧
sinh ra	ki mˈaːtˈ
sinh sản	nŋ
sinh sản	sɪnˀˀsæː˧˥
sinh trưởng	sin˨˩tioŋ˨˩
sinh tố	siltɔː
sinh viên	ʃɛŋ˨˩˦ tsiən˥˧
sinh viên!	ʃɛnʋiːn
sinh vật	ðæn væˈb
sinh đẻ	sɪn˥˥dɛː˥
sinh đôi	sən˥˧ doj˧˧
sinh động	tɕiən˥˥
siêng	ʂɤŋ˥˩
siêng năng	sij˥˩ɛn˧˥ŋ˥˩nʰa˥˥ŋ˥˩
siêu	sˈil
siêu anh hùng	siŋ˨˩ an˧˧hŋ˧˧
siêu giàu	siw˧˧ zau˧˧
siêu kính hiển vi	tsiː˨
siêu phẩm	siu˥˧fa˥˧
siêu thị	siu ti
siêu việt	tʃiu˨˩ via˨˦
siết	fˈiːɾ
so	sɔː
so sánh	sɑːn
so sánh	sã˥˥sã˥˥
so với	tʃoˈvɑbɯx
soi gương	ʂu˨˩˦
soi mói	soj˨˩ moj˧˥
soi sáng	baːlˈɛndə baʊ
son môi	ɑʊn˥˩mais˨˩
song	saːmi
song phương	sɔŋm˨˩ fuːəŋm˧
song song	sau̯˨˩sau̯˧˧
sò	sɑː
sò ốc	sɔ˥˨ ɔk˨ˀ˥
sò điệp	niəp˨˩
sòng bạc	sau̯ maː
sóng	sɐm
sỏi	sɑw˧˧
soạn	swan˥˥
streichholzschächtelchen	kãm˧˩˨ən˧˧pan˧˧zʌt˧˥ɲɪw˧˧
stuffy air	stˈɑfiɚ
su	sˈoː
subsistence	əsæbsæstˈɛns
sung sot	sũŋ˨˩˦kioɾ˨˩˦
sung sướng	sˈoː sˈoː
sung sướng	ʂɤŋ˥˥ʂɤŋ˥˥
suy	θɹiː
suy giảm	su iːjˈam
suy giảm	syizem
suy giảm miễn dịch	sy˧˧ zaːm˨˩˦ miən˧˧ diɐt˧˨
suy luận	syː yˈlɔːt
suy nghĩ	ʂɚ˨˩˦ nɛ˧˥
suy nghĩ chân chính	sy˧˧ nɛ˧˧ kan˩˩˦ tɕĩŋ˨ˀ˩
suy nghĩ tích cực	sjˈiniˌ tik˦gʌk˥
suy nhược	tɕʰy˥˩ i˥˩njoʊ˨˩˦
suy ra	sˈi ɹa
suy thoái	si˥˧tʰua˧˧
suy thế	ʂɚ˥˩ i˥˩tʰɛ˧˥
suy thể	ʂɚ˥˩ i˥˩tʰæ˨˩˦
suy tim	sɹˈim
suy tư	suːi˧˧tɤ˧˥
suy tưởng	swˈi dˈo
suy đồi	tʃʰi˥˧dɔːj˨
suất ra	tsʊp bɾɑbɑ
suôn sẻ	tɕʰw˥nʃɛ
suốt chỉ	so tsenaki
suýt	sui
súc nghĩa	ʃu˥˧ qɛ˧˥
súc vật	ʃufan
súng	sõŋˈ
súng cối	sũŋ˥˧ ko˥˧˧
súng cối xay	ũŋ kɔ˥˧ʔ sei˧˧
súng lục	suŋm˧˧
súng trường	sɔŋm˧˧ kɔ˧˧ ʔɤ˨˦
suất	ʃtʃɔbɨ
suối	soj
suốt	sɔːt
suốt ngày	ʃ˥˩t˦˥ nɤj˧˧
sy	sˈi
sà rông	saːram˨˩
sài gòn	saːi˨˩gɔːŋ˨˩
sàn	sãn˥˥
sàn nhà	saˈɲa
sàng lọc	sɛːŋ˥˧laːw˧
sách	sɛːk
sách báo	sap˦˥mau˧˧
sách dưới dạng audio	ʂɤŋn˥˥y˥˩ jɛn˨˩˦pɔ˥˥li˥˩
sách giáo khoa	sã˥˥ tʁaː˧˥
sách nhiễu	sɛk˨˩n˧
sách trắng phòng vệ	sat˦˥ tsʰaŋ˧˧ fɔŋ˧˧ vẽː˩˧
sách vở	f˧
sáng	san
sáng chế	sãn˨˩tɕɛ˧˧
