-ին	ɪn
երիտասարդական	ieɾet̪ẽs̺saɾð̞akãn̪
երիտասարդը	jeritasaˈrtə
երիտասարդների	érikɑsɑɾtnéli
երիցուկ	jæɾʲitsʏk
երկաթ	ɟəɾqɑt
երկաթբետոն	dʒypdɒtsdodoŋ
երկաթեղեն	éɾkɑtʰɑɢɑn
երկաթուղի	je̞ɾkɒˈeɒˈɒlˈ
երկար	jeɾkɑɾ
երկար չէր	jeɾkɑr tʃʰeɾ
երկար մնալ	jetoploba
երկարակեցություն	jeɾkɑɾɑjketsʲutʃjʊn
երկարաճիտ կոշիկ	éɾkɑrɑtʃʰijt kəʃiŋk
երկարաճիտ կոշիկներ	éɾ kɑɾɑdʒítsʰ koɾʃíkn eɾ
երկարել	jezkarolʲ
երկարություն	jɛtaːrutʃim
երկինք	ɛrkiŋ
երկինքը	bizkøz
երկինքն	ɟʲɛrˈtɕinko
երկիր	multimi
երկիրը	jeɾtjɾe
երկիրն	jɛkːiːrɛ
երկիւղ	ɟɛrkʲuɣ
երկկողմ	æɾkɔŋ
երկյուղ	ɛrˈkeːw˧
երկնագույն	æɢnɑguɛn
երկնային	zæɾknæin
երկնքի	ɪ̞ɾtæntʃɪ̞
երկու	jæku
երկու հարյուր	eɾkɔhaɾɯɾ
երկու անգամ	jæzkɔːnkɔːn
երկու հարյուր	mʏ̞t̪tʰʊ̞vʲaɫdʑi
երկուական	eskˈoˈeɣaˈ
երկուշաբթի	ɢerkuːʃɑbti
երկչոտություն	kʲirkətʃotʊ̞tʃun
երկրաբանություն	jɛkrabɑnusjum
երկրաշարժ	jæˈgɑʊʃaː˧ʃ
երկրի	ɪ̞ʲɪrtʊ̞ɪ̞
երկրների	jeːrkʌrneːriː
երկրորդ	jeɾbɾɑːrd
երկրում	gɛptʲɪræm
երկրպագել	kelkəlpagai̯l
երկրպագուներին	jɛrkɛrpaːɫɯnɛrim
երշիկ	ɪˈeʃiːt
երջանիկ	ɛrdʒɐnˈik
երջանկություն	jɑdʒaːnkutsun
երվանդ ոսկան	jeɾvɑn boskɑn
երևա	kjeːreven
երևալ	geɾepoɦe
երևակ	jeɾɛvɑk
երևակայություն	jeɾevaqaːjɯtʃɯn
երևան	jæɾævæn
երևաց	jɛreːbaːts
երևելի	jɛrɛbɪlˈiː
երևի	jurebi
եւ	ljˈe
եւս	jevas
եփել	jæpˈæn
եփրեմ	jɛprɛm
եք (դուք եք)	e̞k
զ	zˈa
զայրացկոտ	zɑːrɑːsgoːd
զանգ	zaŋk
զանգակատուն	zɑːnqɑqabtoːˈn
զանգահարել	laːmgɾɑːbɣɑːre
զանգել	zˈaɪŋə
զավեն	zavɛn
զարգանալ	zərgnɑl
զարգացման	zæɾgatʃman
զարգացումն	zəːrgətˈsum
զարկերակ	zaɾkirak
զարհուրանք	zɑːrhoːrɑːn
զարմանալ	saɾˈmɑnɑˈl
զարմանալի	pia
զարմացնելով	zɔrmɑːtsnɪlov
զբաղեցնել	kɯ̞sbaɢɯ̞snɛl
զբաղմունք	zpɔːkmˈu
զբաղված	bɑːrbɑːts
զբաղված է	sgaːrvˈat˦sa
զբոսնել	zbˈoʊθnˈeɪls
զգաստ	zgɒst
զգացել	skˈatəl
զգույշ	zgˈuʃ
զգուշացնում եմ	skuʂat snowɛ
զգուշացում	zguʂatsum
զեղչ	zˈɛrtʃˈɔ
զեփյուռ	zʌpˈor
զզվելի	zazɛle
զզվելի բան	tʃãzəvˈɛlibˈaːn
զըրույց	zrwɨts
զինծառայողը	zimzɑˈrˈɑjɔjˈmɑn
զինծառայողին	zijntsʰɑrɑjɯɣiŋ
զինվորական	zimˈgˈoɾakˈan
զմյուռնիա	sɪ̞mjuɫtɯ̞njɑɾ
զննական	zɯnˈnɑqan
զոհ	go
զոհ է	soːsoː
զոհել	tɛnsopˈi
զովացուցիչ ըմպելիք	zoʋɛtutsʲitʃ ɛmpɛɾlik
զորախաչ	zæɾxɑtʃ
զուգագուլպա	sˈuːgakulpa
զուգահեռ	sugaher
զուգատիպություն	zugavʲiputzʲomʲa
զուգարան	zukrɑn
զուգարան գնացի	ˈaɪ bˈɪŋgəlzˈɑ ˈænd ətˈɔɹ
զուգընկեր	zʏgɪ̞nkær
զույգ	zˈut
զույգ ե	soj ke
զույգեր	zɔːjkæɾ
զույգը	zˈukˈa
զուսպ	zesp
զուտ	zˈut
զսպված	sˈɑspfˌatˈsˈ
զվարթնոցի	zvaːtnɔtsi
զվարճալի	zvarɟʰanɨ
զվարճալիք	zɯvɑntʃɑɫɯ
զրկում	sarkum
զրկվել	zəkˈtiː
զրույց	zrʊˈits
զրույցների	zrutsʲneɫʲi
զրուցակից	zrɔtsˈakits
զրուցել	zrʊtsɛl
զօր ու գիշեր	zæɾʊː gi ʃeɾ
է	e
էգուց	ɛkˈut
էդպիսի	ˈɛtpˈeˈɕi
էթիկա	etʃka
էթիկական	etʃikakam
էթնիկական	ɛsnikɔˈkɔm
էժան	dˌiːzəm
էին	ˈeɪm
էիր	ˈeːgɪr
էիք	eɪt
էլայջա վուդ	e̞lʒɒː vwt
էլեկտրագնացք	e̞le̞kːtægʲɪnæt
էլեկտրակայան	ẽlɛktätajɑn
էլեկտրական	ɛletʃatˈan
էլեկտրական շարժիչ	æ̹lʲɪktʲɑkːænʏ̞ʃärʒɪ̞tʃ
էլեկտրականություն	ɛlektɾakɑnau̯tsioŋ
էլեկտրասարք	ælʲtæzsɑːr
էլեկտրացանց	ˌelɛktɾˈatsˈaɪndz
էլեկտրաքարշ	e̞ɫekzɒˈtɒɾˈ
էլեկտրիկ	ælʲɛktʲɾɪk
էլեկտրոկան	əlˈɛktɾokˈan
էլի	nˈoʊ
էկոլոգիական	ekoloɣ̞iakan
էկրանավորել	ekgrandavorel
էկրանավորում	etɾaɛnɾavorum
էկրանից	etɾamis
էմբլեմ	ɛmblɛn
էմի	emi
էութիւն	ɛɔtʃn
էպիգենետիկայի	ɛpiɟɛnɛtikaj
էպիգենետիկան	epigeneˈtikan
էպիգենոմը	epgenoma
էպոս	pos
էջ	ˈɛ
էջեր	ˈeɣiʒ
էջմիածին	esmˈˈaˈtsiŋ
էջում	edʒum
էստոնական	estontʃapelistone
էստոնացի	estonjatsi
էստոներեն	aˈstonˈeɾen
էստոնուհի	estˈonˈohˈi
էստրադային	estratajn
էվակուացնել	oˈvakoˈætsmˈɛl
էվոլյուցիայի	ɛvˌɑlusˈiaɪ
էրզրում	ˈɛɹzðəɹuːm
էրիս	polis
էրոտիկ	ɾɒtɒt
էքսկավատորավար	ekstavɑtɔɾɑvaɾ
էքսկուրսավար	əkʰəzɑbaːr
էքսպեդիցիա	əkˈspˈidiˈtˈsiŋ
ը	tut
ըմբշամարտ	imʃomart
ըմբռնել	ambɯrnɯl
ըմպան	mˈpɒn
ըմպել	ɛmpal
ըմպելիք	wpɛlik
ընդգրկել	anqɯ̞rkæl
ընդգրկում	antɯkʊ̞ʃkʊ̞ŋ
ընդգրկված է	nʲa dzʲe rikvaʲtsɨ
ընդդիմանալ	lað̞imal
ընդունարանի աշխատող	la donɑːrɑːnʲi ʔə ʃxatʰoq
ընդունել	antʃomɪn
ընդունելի	ŋtˈvˈnˈælɪt
ընդունելով	antˈɔ̃alˈof
ընդունիչ	ænduɪ̯nɪ̯tʃɪ̞
ընդունիր	antunit
ընթանալ	antˈɑnəl
ընթացքին	ntratsʲːin
ընթացքում	antˈatskˈum
ընթեռնելի	antɪrnælɪ̞
ընթերցանություն	ɑntéɾtsʰɑnutʰjún
ընթերցել	lanttɛrtsel
ընթրել	əntræl
ընկալել	ankaj˧ln˩˩˦
ընկեր	ˈaɪmgˈɛd
ընկերակցություն	ãn̪kæɾɑksutʃum
ընկերանալ	ɐ̃ŋkɛrɑnɑl
ընկերն է	anˈtʃeʃne
ընկերներ	ãn̪t̪eɾnaz
ընկերությունների	ænkakhirutsiːvneɾi
ընկնել	anknl
ընկնելով	laknallof
ընկույզ	antkɔz
ընձուղտ	ɔmsʊxt
ընչաքաղց	ɪntʃakraks
ընտանիք	ɛntaːnik
ընտանիքներում	ãn̪t̪aːnɪt̪næɾˈum
ընտելացնել	latʃˈaʃdˈiʁkˈomptˈesˈtʃˈɛstʃɔnˈlalˈlɛʁdˈ
ընտրել	entrɛn
ընտրելը	antrˈelˈiː
ընտրեն	aːnˈtɾˈɛn
ընտրյալ	antɾeal
ընտրողաբար	æntrøːgɣɑbar
ընտրվել	ant̪eɾð̞el
ըստ	tˈɪs
թ	tʃto
թագ	tʃaːd
թագավոր	tɑkɑvɑr
թագավորներ	tɑkɑvoɾnejɾ
թագավորության	tɑkɑvɑɾˈtɛzəɑn
թագուհի	pa˥˥gɔ˧˥
թաթ	fˈat
թաթեր	qɑtɯ̞r
թաթիկ	tatʃik
թալին	tæˈlin
թախտ	tɔ
թակարդ	kʰauːkˈɑɾt
թակել	pɑkˈet
թաղել	tauɾ
թաղված	tâɢɨbatʰ
թամար	tɑˈmɑˈr
թամարը	ɑmɑro
թայֆուն	tɒːjˈfuːn
թան	tɔj
թանապուր	tʰanapul
թանաք	tɑnɑk
թանկ	tʰɔ̀ŋ
թանձր	kaŋzɯr
թաս	kʰas
թատրոն	patʁom
թարախ	ɑːnɑːx
թարգմանություն	kʰæzkʰæmɑnuːzˈl
թարթիչ	tɑrtʰetʃ
թարխուն	kʰaːrkun
թարմացնել	tʰaɾmɑtsiŋɛ
թաց	tʰadz
թափած	papak
թափանցել	kavntseɬ
թափանցելիություն	tʰapantseleiutʰiun
թափանցիկ	tapãntsʲik
թափանցիկություն	tʁpɔ̙tʰkwtɔe
թափառումներից	tʰɑpʰɑəɾumnéɾiːtsʰ
թափել	tɔ̙t̚l
թաքնվեցի	taknʲabonasi
թաքցնել	kaktimæl
թաքցնում են	tak tsɔ moment
թբիլիսի	tabelljse
թե	k
թեթեւ	tɔtɔb
թեթեւ ատլետ	nˈoʊ nˈoʊ nˈoʊ sˈiːləs ˈænd mˈɑːl ˈɔfɪq
թեթեւակի	tˈatˈɛvɐki
թեթև	tʰɛtʰɛ
թել	tˈɛn
թելադրել	pəsjˈuənjˈuən
թելադրություն	tʰɛladrutsːuŋ
թեմաներ	tʃlɛnmɔnɛv
թերթ	tˈɛrt
թերթին	tɾɾinˈtin
թերություն	tʰabɯne
թերությունները	kʰæːrʲtsʲænnejɾe
թերևս	kĕrenasɕi
թեւ	tʰɛ
թեւք	tɛfˈk
թընդալ	səndˈɑv
թթու	sat˨
թթված	kə˥˩tmɑ˥˩
թթվասեր	tʃatfɒtsɒr
թիավար նավակ	tʃiɛ moɾ na moɢ
թիթեռ-փողկապ	tˈiːtərpˈoːχgap
թիթեռնակ	tʰiʰthɛrnɑk
թիմ	akestas
թիվ	tˈi
թխանալ	kʁɑnˈal
թխել	kən˥˥xan˥˩
թղթակից	tɯ̞xtɑkʲits
թմբկաթաղանթ	tʰəmpkɑtʰhɑχɑnt
թմեր	tʏ̞mɛr
թշնամի	tʃiʃneːmi
թշնամի է	kɛʃnami jɛ
թող	okʰʁwa
թողե՛ք	pˈoˈʁˈɛk
թողնել	tɒgnɒl
թողնում էին	tʁnˈomɛnˈ
թոնիր	toniʒ
թոշակառու	tʃoʃaːkaɾuː
թոռ	pɔː
թոռներ	tʰurneʃ
թովմասյան	tɔvˈmɑːsjɑn
թովմասյաններ	tʊ̞vmæsjɑnær
թովմասյանները	tɔvˈmɑsijɑŋneɾe
թովմասյանների	tʃiːzimˈasjɒnmˈɛɹi
թորել	poɾl
թորոս	tɔros
թուզ	tˈuz
թութ	tut
թութակ	tutˈak
թութխալյան	tutrˈˈalˈan
թուլանալ	tʃoˈlɒnɒl
թուլություն	tʃiːzitʃiːzi
թուխ	tɔx
թուղթ	tɔʁt
թումանյան	tʃiːzimænjɑːn
թույլ	tˈoːɪl
թույլ տվեք այս մեկը հյուրասիրել	tsʰuɫ tové ɑjs mékə hiɾɑsíɾél
թույն	tsuːŋ˥˧
թունավոր	koːnɔːbɔr
թունավորվելու	tʃiːzinɒːbɒːɾlɒː
թուշ	tʃu
թուրքերեն	tʊ̞lkɪ̞rˈɪ̞n
թուրքիա	turkija
թուրքիայում	tʰuːrkiaɪ̯
թուփ	tɔp
թոք	tɔk
թռիչք	kɫuːt
թռչել	tərtʃɛ
թռչեն	tʃɛntʃɛŋ
թռչուն	tərtʃɔn
թռչուններ	trtʃunɛr
թռչունների	tʃumɛri
թռչուններին	tərtʃɔnˈnɛrin
թռչվել	tɾˈutʃɚvɛl
թվաբանություն	tɔwɑbɑːnutʃɔm
թվալ	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
թվեր	tsʲvʲerʲ
թվի	kəviː
թվով	tˈvɔf
թրջվել	tɒrtʃpˈɒl
թփեր	tɒpˈeʃ
թփուտ	tˈapˈtˈ
թևատակ	tɛmataːk
թևնոց	tɛrwmɔts
ժ	ʒˈɛ
ժակետ	ʒˈɛnˈkˈt
ժամ	ʒɒm
ժամագործ	ʒɑmɑːkɔʁˈt
ժամադրություն	ʐamadratsʲon
ժամակարգ	ʒɑmɑqɑʂ
ժամանակ	ʒamad
ժամանակ է	sɑmɑnaːti
ժամանակ չկա	ʐamanaktʃka
ժամանակակից	ʐamadzʲekakʲets
ժամանակավոր	samənaːkavor
ժամանակը՝	lamanatə
ժամանակներ	ʒamɑnaːtmɛr
ժամանակներից	ʒɑmɑnɑknéɾítsʰ
ժամանցի	ʒˈɑ̃anθi
ժամացույց	iːrmatsʏ
ժամը	ʐama
ժամը քանիսի՞ն ենք հադիպում	ʒɑmɛ ka˥˩ːnɛsɛ ɛn kʰanˈdɛpo˥˩ː
ժամը քանիսի՞ն եք սպասարկումն ավարտում	ʒɑmɑkʰɑnɯsʲinɯks pɑsɑɾɟum nɑvɑrtum
ժամին	am
ժամկետային	ʒɑmkʲɛtɑjˈin
ժանգ	ʒʌŋk
ժապավեն	nˈoʊnˈoʊnˈoʊsˈiːləsˈændmˈɑːlˈɔfɪq
ժառանգորդներ	ɾɑŋgɾteɾ
ժեստեր	ʒɛstɛr
ժեստերի	ʒɛstɛːri
ժիլետ	ʒelˈɛt
ժիր	ʒiɾ
ժլատ	ʒʊnˈat
ժողով	zobov
ժողովածու	ʒɒvɒvatsʃɒ
ժողովել	ʒˈˈʒˈʁovtˈ
ժողովըրդավորություն	ʒæhʊɾtɑbɑːrˈtʃæm
ժողովուրդ	ʒoɣoˈrð
ժողովրդավարական	tuɾutɑβɑ
ժպտալ	ʃɛpta
ժպտերես	ʒyptˈɛlˈs
ժպտում է	ʒəptˈuma
ի	ine
ի լռելյայն	il ɾeˈljaj
ի՞նչ	eɪŋtˈe
ի՞նչ արժի	int̪sorð̞sj
ի՞նչ է կաքավասարը:	ki ɲɛkɑ kawasaɫe
ի՞նչ է պատահել	ntʃɛ pa ta hɛl
ի՞նչ է քո անունը	iːn tʃe̞ kɑːnunæ
ի՞նչ կարող եմ գնել քեզ համար	iŋtʃ kɑɾóχ em gnél kʰɾes hɑmɑ́ɾ
ի՞նչ կցանկանաք	ɛn tʃiq tʃɑŋkɑnɑk
իբր	iːpɔl
իզուր	izuɾ
իզուր է	izyɾe
իզուր չէ	iʒuɾ tʃe
իմ	im
իմ անունը վարդան է	neyni muˈdak kæn
իմ գնման հետ ինչ-որ բան սխալ է	im gɯnmɑn hɛtɪ̞n ʃʊ̞ɫbɑn sɯ̞χɑ ɫæ
իմ հաշվից ավելի շատ գումար է պահվել	em hɑʃvijts ɑvɛli ʃɑtgu mɑrɛp ɑhvɛl
իմանալ	numanala
իմանալը	imanala
իմանալով	immanallof
իմանան	imanam
իմանաս	imna
իմաստ	imˌastˈ
իմաստով	imasto
իմաստությունն	iːmˈʌstˈɪtən
իմաստուն	imast̪o
իմացեք	imapse̞k
իմացող	imˈatso
իմն	imˌɛn
իմն է - its mine	imne imne
ինը	ʔiːn˩˩˦am
ինը հարյուր	imnaħɑlɯn
ինձ	ins
ինձ դա դուր է գալիս	ʲins d dùrʲɛ̀i̯ gài̯lʲis
ինձ դուր է գալիս ձեր ծիծաղը	ins duɾ e gɑlis ɛrtsi tsɑkɑ
ինձ համար միևնույն է	iŋs hɑmɑr mʲi ev nʏjne
ինձ ճշգրիտ գումար է հարկավո՞ր	ínsʰ dʒʃkʰəɾít kumɑɾ e hjɑɾkɑvoɾ
ինձ շտապ տեսակցություն է անհրաժեշտ	ntʃʰ tɑbt ej sɑktsʰətsʰjúŋ e ɑŋdɑʒéʃt
ինձ տոպրակ է անհրաժեշտ	ʲimstɔb prakɛan hærʲɛʃtɛ
ինձնից վճարում պահվելու՞ է	insnits vtʃɑːrʊːŋ pɑːɣvɛɪlɔːjə
ինն	iːn˥˩nɑː
ինն հարյուր	ilnɛ eɾejeɾ
իններորդ	jneɾɔft
իննը	es
իննսուն	iːnɯzˈsun
ինչ	dʒɪntʃ
ինչ խոսք	dʒuʃtʃɔsˈk
ինչ որ մեկը	tʃiŋtʃ vort meːtɔ
ինչ-որ բան	ĩːtʃ bˈaɾbˈan
ինչի	entˈe
ինչի՞	ˈɛntjˈu
ինչն էլ	intʃɛ
ինչու	intʃu
ինչպե՞ս	intˈepˈe
ինչպե՞ս եք	ntsʲpɛ rɛsɛk
ինչպե՞ս է այս միջոցը կիրառվում	us pɾɛsɛ iz mitʃɛl sɨkiɾ aɾbwm
ինչպե՞ս էին	unʃ pɛzɛsjɛn
ինչպես	dʒintʃpɛst
ինչպիսի առաջարկ	ʲintʃ pʲisʲar atsʲaʐk
ինչպիսին	intʃpisɪm
ինչպիսիք	ænʃbʲeʂk
ինչք	in�ɣ
ինչքան	iːntˈk
ինստիտուտ	institˈut
ինտեգրացիոն	intɛgrɑtʃɐ
ինտերնետային	teˈnˈteˈnˈ
ինտերնետի	int̪eɾnete
ինքն իրեն	ɪ̞nqɪ̞n jɪlɛn
ինքնագործունեություն	ĩnkənoːgoɾtuneut̪un
ինքնաթիռ	ĩːnkinaːtʰiːr
ինքնակամ	inknokɔm
ինքնակենսագրություն	inknˈaːtˈkansargɾuːtˈun
ինքնահաստատվել	ənknˈahˈastatvˈɛl
ինքնահոս	inknahos
ինքնաշարժ	inknˈaʃaɾʃ
ինքնապաշտպանություն	inknɛnɛpɑʃpɑnɔtsɛ
ինքնասպան	nɒːspn
ինքնավստահ	ɛnklˈɑːvəsdˈɑː
ինքնատիրապետում	ĩnknopiɾapetõŋ
ինքնարժեք	kʲɪnkʲiːnɯːʁk
ինքնաքննադատություն	nʲindʊ̞kjɯ̞mʊ̞nɑtdɑtutʂɯ̞n
ինքնին	iːnˈkniːm
ինքնյակ	iːnkˈniːˈlɑːk
ինքնորոշում	ænkʰɯnɑrɑʃu
ինքս	jnkɛs
ինֆարկտ	infˈarktʊ
ինֆորմացիայի	infɔrmatsʲɑj
իշխանազն	ʃxɒˈnɒzmuˈ
իշխանության	iʃxanotsijan
իշխանությունները	iʃkɒnˈutʃiŋˈnɒvɒ
իշխանուհի	ʃkɐnʲːuj
իշխել	ʃaχe̞l
իշխելու	aʃualʊm
իջնել	etʃne
իջևանի	idʒevoni
իսահակ	ʃtʃɒhɒt
իսահակը	kisˈtɑhɑˈhɑ
իսլանդերեն	ɪsˈlɑːndɪɾˈn
իսկ	ik
իսկապես	kɑfˈe
իսկապես գնահատում եմ	ɪskapɛts gnaɦɑtumɛm
իսկություն	dɪskutseŋ
իսպաներեն	ɒːsmuaːnhæmæn
իսրայել	ɪsrɑːɛl
իվանյան	tlʲa˥˩vja˩˥ːlʲam
իտալերեն	t̪aljð̞in
իտալիայում	itˈaːliˈɑjˈum
իտալիան	italjan
իտալիացի	ipalˈʁˈtsi
իր	li˥˩
իրագործել	iɾagɔɾtsẽr
իրագործելի	iɾagoɾts̺ale
իրագործվել	iɾaːgóɾtsʰfél
իրադարձություն	iɾadaɾtʃɯinfanadʒin
իրական	iːrakːɑn
իրականանալ	akɑnɑnɑl
իրան	iɾam
իրանահպատակ	iːɾanaːhoʋaːtɑk
իրանցի	lasi
իրավաբան	ɦaraβ̞abaɾ
իրավապահ	dʒoː˨˩aː˧˥paː˧˥
իրավասության	iɾaːɒːsutsʰjɒːn
իրավասություն	irevɑstʃuʲtsʲun
իրավասություններ	iɾaˈvasitsymr
իրավիճակ	hʲiɾaːbʲitʃak
իրավիճակի	iːɾaːnitʃəɑːkiː
իրավունք	niː˧˥da˧˥mum˧˥
իրավունքներ	iɾaːbunkənær
իրատեսություն	iɾɑtɑsʰutʃʰjʊ̞n
իրար	iːraːʒ
իրար հետ	ɾɑːr hˈe̞d
իրարից	iɾaɾis
իրացում	iɾatsʊm
իրեն	iːlən
իրենց	iːlɪnt
իրիկուն	ɾɛ
իւղաներկ	jˈuˈɑnˈɛɹ
լ	tiuŋ˨˩
լալ	nˈaɪ
լակոտ	lakot
լահմաճիւն	lamadʒo
լամպ	laːm
լայն	lˈaɪŋ
լանջ	lɔnʒ
լաստանավ	læstæˈnæf
լավ	uv
լավ է	lave
լավ էմ	navɨm
լավ չէ	laftʃe
լավանալ	laβ̞amal
լավաշ	naβaʃ
լավատեղյակ	labat̪eɣ̞iak
լավացնել	labatsˈnˈɑl
լավություն	lavukɨm
լատինական	ləpɨnakon
լացել	n˧
լացի	lˈɑtsi
լեգալ	mɛgaːr
լեգգինս	legins
լեգենդար	lɛkɛndaːr
լեզու	fɛzˈu
լեզուներով	laesð̞uneɾoβ̞
լեզվաբան	leslabˈan
լեզվաբանություն	lesfaβ̞anot̪s̺um
լեզվական հնչյուն	lˈɛts wˈɔk ˈɔn hˈɚn ʃˈut
լեհերեն	lahɪ̞ðɛn
լեղապարկ	lerapaɾk
լեյբորիստական	liborisakon
լենդելի	landəlɪd
լենել	lɛnɛj
լենինական	laniːn˧kaːn˩˩˦
լեռ	læɾ
լեռը	lera
լեռնագործ	lərnakɔɾ
լեռնադահուկային հանգստավայրում այցելուները հնարավորություն ունեն սովորել և սահել տարբեր բարդության դահուկային արահետներով:	lənadɑhukɑjn ɑŋkstɑvɑjɾum ɑjtʰélaŋjeɾə nɑɾɑvoɾutsʰúm nəsóvoɾél jevtsɑ́jl tɑɾbʰeɾ bɑɾtʰjɑ́ŋ dɑhukɑjn ɑrɑjpnjeɾij
լեռնային ղարաբաղ	lær næjɪ̞n qɑrɑbɑq
լեռնանցք	nærmeg̞ã
լեռնաշխարհ	lɒɾnɒʃqɒɾ
լեռներ	læɾlæʃ
լերկ	mˈɛd
լեւոն	labon
լեւոն աղասյան	ˈlvɔn ˈaːʊˈazjɔn
լիազորել	nazɔrɛn
լիանալ	lʲeaːn˧aʎ˧
լիարժեք	ljarʒɒt
լիլիթ	lilˈit
լիլիթ հարությունյան	lʲilʲð ʂorutʲe nʲan
լիկվիդացիա	ləkibˈatsijˈ
լիկվիդացնել	ləukːidap˥sŋeɪn˧
լիճ	lˈitʃ
լիճը	plˈitʃɚ
լիմիտավորել	nˈoʊnˈoʊnˈoʊsˈiːləsˈʌnɛnˈɛ
լիմոն	lumɔn
լիմոնադ	lˈɛmˈanˈɑt
լիմոնից	lˈɛɒmɔnˈɛt
լինդ	lɛ̃g
լինեի	liːneji
լինելու	linelo
լինեն	lˈɪnˈɛn
լինի	leni
լիտվացի	jʊŋ˨˩˦joʊ˨˩˦ttnjɛn˥˩
լիտվերեն	lid̪bẽren
լիցքավորել	litskabˈoːrɛl
լիւն	luːn˧
լիքը	lʲikːæm
լծորդ	tʃiːzitʃiːzitʃiːzi
լճակ	nətʃak
լճաշեն	lat̪ˈas̺ẽn
լճեր	nɛtɑʃ
լյարդ	dˈiːˈɑːɹt
լոգարան	loɣ̞aɾan
լոլիկ	lwlk
լողազգեստ	noˈʁɑzgɛst
լողալ	loɣ̞ɑl
լողավազան	faː˧˥tsɐn˨
լողափ	loːʁap
լոր	la
լորի	loːɾi
լորտու	lɔrtʊ
լուծել	nˈiːtən
լուծույթ	lutsuit
լուկաշենկո	lˈoːkəʃanˈkɔ
լույս	lwˈis
լույսը	lwˌɛsɛ
լույսի	lujsʲi
լուսաբաց	lusabats
լուսաբեր	tusɑːblˈak
լուսամփոփ	ləsˈɛ̃pˈɔ
լուսանալ	losɔ̃ˈal
լուսանկար	mʲansʲanɨkar
լուսանկարել	lʊ̞sɑnɯ̞kɑrɑl
լուսանկարիչ	losaːnəkaːrlɪtʃ
լուսանկարներ	lusanəkaːrnaʃ
լուսավոր	luːsavˈɔt
լուսավորել	luːsaːorɛn
լուսավորելու	luːsɑːvoːrɛlɔ
լուսաքողարկում	lusɑkʰɑfɑɾkʰum
լուսին	luːsˈin
լուսինը	elkinkə
լուսնթագ	luːsəntˤɑvɣu
լուր	nˈuːɹ
լուրեր	loɾaʃ
լուրերին	luɾaelĩŋ
լուրը	nˈoʊnˈoʊnˈoʊsˈiːləsˈʌnɛnˈɛ
լոքո	noko
լպրծուն	lapeɾtsun
լռել	laːrɑːl
լռելյայն	nˈorellˈajn
լռության մատնել	dwtsʲiʔanmɛnul
լռություն	lˈɛrɔsˈin
լսել	lˈɪsən
լսելը	leθelo
լսելի	laːsaːliː
լսի՛ր	ləsi˥˩
լվալ	nˈoːhˈəl
լվացարան	novvɒtsʰɒɾə
լրագրող	laˈɾaːgɾo
լրագրողներ	lˈɾagrˈɔvnir
լրագրողների	ləɾɑgɾoːɣnəɾi
լրատվական	gɛraːtvɑkɑn
լրացնել	lɛratsnɛl
լրացնելով	bratsʲmɛloq
լրացնում	jʌjˈsɤˈɔlˈɛtmˈɑːlzɚtˈændmˈɑːlzɚtˈændmˈɑːlzɚtlɪŋdʒˈɔlfɔːstˈɛsmˈɑːlzɚt
լրացում	laɾatsʊŋ
լցնելի	laʃmele
լցուել	lˈɛtsvˈɛl
լցված	nˈɛtslˈæt
լցվել	lˈɛtsvˈɛl
լցվել էր	let svele
լցրեք	lətʰsrɛk
լքել	lakel
լքում են	loko men
լևոն արոնյան	ɫɛβ̞on aɾaɲan
լևոն տեր-պետրոսյան	le vˈon tˈeɾpe tɾˈosja
խ	χʰæ
խաբեություն	xˈbˈiuːtun
խաբս	hɒts
խալի	χɑli
խալխծիլնիկ	χäɫɑðzʲiːnliksɑrnɑrɑn
խաղ	aɣ
խաղալ	qɒgɒl
խաղալիք	hɑːlɪk
խաղաղություն	χɑqeɣudzum
խաղաղվել	χɒqɒqmæˈl
խաղաղօվկիանոսյան	χɒˈɒhɒvkɒnˈɒʃɒˈm
խաղարկություն	χʊ̞ʁːaɾkutʃuŋ
խաղարկում	kʊ̞ŋkʊ̞
խաղացանկ	hɑːkɑːˈtʃɑŋ
խաղող	aɛ
խայտաբղետ	ɣˈɑjtabəɣˈe
խանձվել	χɒndzɒˈɾl
խանձվել են	χanz wɛjlɛn
խանութ	χɑnˈud
խանումը	xɒnˈumɒ
խաչատրյան	χätʃaːtɾiːʝɒːn
խաչբառ	xɑtʃbɑːr
խաչել	aːtʃə
խաչմերուկում	χɑtʃmæɾúkúm
խաչքար	xadʒkɑːr
խառը	tʃara
խառն	χɑr
խառնաշփոթ	χɑrnaːʃepɔt
խավարից	χɑvɑrɪt
խավրծիլ	χoːvɯˈɾˈɑsidɾ
խարտոց	hɑɾtótsʰ
խափանման	xɑbˈhɑlmen
խելառ	ɣ̞jælɑːr
խելացի	xælˈɑtsi
խելոք	χæloːk
խեղդել	sok˨tɕʰo˧˧
խեղդվել	qɯ̞χtɯ̞pɑɫ
խեղճ	hok
խենթ	ɣent
խենթ ու խելառ	xɛntu xelaɾ
խենթանալ	χentanal
խեցգետին	χʃkɛtiːn
խիզախություն	ɣ̞is̺axoet̪ion
խիտ	xˈu
խլանալ	xlɑːnɑl
խղճալի	xɯ̞χʃaːnʲeu
խմբագիր	χɒmbˈɒdiˈdʒɒ
