a	ɑː
ministru	ministru
minoría d'edá	minʊɾia dɛ ða
minutu	minuto
mirándome	miɾandome
miércoles	ˈɛɹpɚˌɪz
mocedá	mɔθɛda
mocina	ɛtfˈil
modernismu	moð̞eɾnismo
montantes	montantes
montes	mõŋt̪es
morciel.la	sijɛkjɛ
morrer	morɛw
moráu	moɾau
mosca	mɔʃka
moscón	mospol
motivu	mot̪iβ̞o
movimientu	moβimjˈɛnto
moxón	moʃoŋ
moza	hˈɛ̃sˈa
muerras	mwɛrːas
mui	muj
muil a la beguda enerxético	nwil la la β̞eɣ̞uð̞a neɾɣ̞s t̪iko
muncha	muntʃa
munches	mult̪ɣ̞is
muncho	muntʃo
munchos	muntʃos
munchu	mˌuntʃʊ
mundo	mundo
mundu	mundo
muyer	noˈjjɛr
muñó	uɲːo
mínimos	minimos
míticu	mʲidʒu
míu	mjˈu
múltiples	mult̪jples
músculu	muskulʊb
músicu	musikɔ̃
n'almidón	nˈalmiðˈoŋ
na	na
na barga	naβ̞aɾɣ̞a
nació	nafjo
naide	najve
namái	namɛ
naquel	nˈakːɪl
naquella	nakelja
naquelles	nakeljez
naquelli	nakelgˈi
naquello	nakeljo
naquellos	nakeios
naranxa	naaɾanɣ̞sa
narcea	nˈaɪθe
natal	nat̪al
nava	nˈoβa
navetu	naˈvetu
naviegu	nabjeɣ̞u
naz	nˈaf
necesariu	neθesario
necesidá	neθesjða
negru	neɣru
nel	bˈɛl
nel amaro	nel la maro
nel día	nenlia
nel intre	nelintre
nel y flor	nel i flɔr
nenguna	nenɣ̞una
nengunes	benɣ̞unes
nenguno	nengˈuno
nengunos	nenɣ̞unos
nengunu	neŋgunu
nengún	mɛŋgũŋ
nes	nˈɛz
nesa	mjˈɛsɑ
neses	nˈɚsɪz
nesi	nˈɚsˌi
neso	nɛsɔ
nesos	nˈɛssˈos
nesta	nˈɛsta
nestes	nˈɚstɚs
nesti	nɛstʲi
nesto	netʃtˈo
nestos	estos
neumoconiosis	neumokoniosis
neumocoñosis	neumokoɲɔsis
neños	nˈeɲɯz
neón	neõŋ
nin	nin
nina	nina
nitróxenu	nitroʃenu
niñina	niɲino
no beseo	nˈo beθˈeo
no fondero	nos fõŋðeɾo
no postrero	no pʊstɾeɾo
nomar	nomˈaɾ
nomatu	nˈomˈato
nomau	nomalo
nome	nome
non	nõŋ
noreña	noɾeɲa
normal	noɾmal
normalidá	noɾmaɾiða
nos	nos
nos cotos	nos kot̪os
noticies	notiθjas
noxoso	mʊ̃ʃɔsʊ
nueche	nwɛsˈɛ
nuesa	nˈuːɛsa
nueses	nˈɔsɛs
nueso	nwˈeθo
nuesos	nuesʊs
nuestres	numeɾot̪ɾes
nuestru	nwˈeʃtɹʊ
nuesu	noessʊ
nuevu	nwˈeβo
nun	nɔ̃
nun ye	ulie
nuna	nˈuna
nunca	nˌunka
nuética	nwt̪ika
ná	na
níquel	niːtˌel
númberu	numbeɾu
n’abondo	nabonðo
n’acabación	nakaβaθioŋ
n’esficies	nesfˈiθjˌal
o	o
obra poética	oβ̞ɾa poet̪ika
obreres	oβ̞ɾeɾes
obres	poβɾes
obres de teatru	ɔβrɛs ɛ ðeatɾu
obtenese	oβðenese
ocho[slash]oito	ɔtʃʊojtʊ
ochobre	otʃobre
oficialidá	ɔfisialidɐ̃
onde	d̪onde
ondequiera	ondekira
orbayada	poɾbaʝˈaða
oreya	ˈoɾeja
orgu	oruu
orixinal	oɾiʃiːnæl
oru	ɔː
orviz	oɾbjð̞
oséase	ɔsease
otres	ot̪sels
otru	pɔtro
otto maria carpeaux	ˈɔtʊ mˌɐɾˈiɐ kˌɐɾəpˈow
oyistis	ogistis
pa	pa
padrastru	padrastro
paecen	ˈaɪfˈɪl
paella	pa˥˥i˥˧uaɹ˧˧
paez	mˌaɪəs
pago volao	paɾgo boˈlao
pagu nel intre	paru nelintre
paisax	pajsas
pal	pɐl
paladiu	palad̪iu
pallabra	paʝap
palluezu	aiɪue
palombes	alomβ̞es
palos	nos
pan	paŋ
panoyo	panoio
papa	papa
papín	pɐpˈiŋ
parcialantre	paɾt̪ialant̪ɾe
pardón	paɾð̞õŋ
partir	pˌɐɾɐtˈiɹ
partío	partio
pasu	pɑʃu
pasó	pˈoʃuɭ
pataca	lat̪ak
patates	patat̪es
patsuezu	pai̯ʃuetu
pautu	pautu
payares	paʝaɾes
pañeda	aɲːeða
pebre	ɛbɛɾɛ
pel	pˌɛl
pel raigañu	bel rai ɣaɲu
pela	pe˨˩l˧ap˦˥
pela freba	ˈles la fɾˈeβa
pela so parte	ɾɛ la sɔ paɾte
peles	plˈa
pelos	t̪elos
pelotazu	pelotafu
pente	pende
pepín de pría	e pĩn d̪e bɾia
per	er
perfecho	perfetʃo
perres	peres
pertenez	beɾɯtɛnɪr
peruxo	fɛɾˈuʃʊ
pescuezu	pɾeskwesw
peñera	beɲeɾa
pidió	bið̞io
pidío	biðiɔ
piedra de faba	pjðɾa d̪e faβa
piernes	viˈɾnɪs
piloña	piloɲa
piloñu	piloɲu
pinar	pinar
piquiñin	pʲiknʲiɲ
pitu	pɪtu
pixuetu	biːʃuetuː
pixín	bizin
plantéase	plant̪eɾase
plata	plat
plenu	plˈɛnʊ
plomu	plum
plumeru	lumeru
plutoniu	plutoni
población	oβ̞laziunh
poca	poka
pocos	pokos
pocu	pɔku
poesía	poɛfia
pol	bɔː
pola	ola
polmón	pormon
polo	poɾo
poloniu	pɔːlɔnjɔ
polos	poɾlos
polvu	poɫbu
polía	ˈaɪ
política	politija
ponguetu	pongɛtu
poques	pokes
por	ˈoɾ
por mor de	poɾ mˈoɾðe
poro	boɾo
potasiu	pɔtɑkɪju
praos	plˈaos
praseodimiu	ɦoɾaʃɛɔvimim
preciu	pɾesjʊ
premiu nacional de lliteratura asturiana	pɾemjʊ naθjɔnal dɛ jritɛɾatuɾa ɑstwɾiɑŋa
prestosu	kitoˈz
pretende	pretemde
prietu	pɾjɛtʊ
primavera	pɾimaβeɾ
principáu	pɾinθipa
principáu d'asturies	pɾinθipau dɛ estɔɾjs
problemes	pɾoβ̞lemez
productu	pɾɔduptu
producíos	pɾˌoðukˈios
prohibíes	pɾɔibies
prometiu	nafɾɔ
propiu	pɾɔpjʊ
proponía	proponia
protactiniu	pɔlɔtɑktɪɲu
protocolu	protokolu
pría	tʰɯ̟ː
pue	boð̞
puen	wẽn̪
pumarina	pumaːɾina
pémeque	pɪ̞mɪ̞tɪ̞
p’alantre	palãn̪t̪ɾe
p’aniciar	panifjar
que vive en	k bime ãmb
que-y	kɛː
queden	kɪvɪŋ
quedó	keð̞o
quesu	kesum
que’l	keð̞ou
quiciabes	kifjaβ̞es
quiciás	kies
quier	kˈiɾ
quirosanu	kionsenumla
quirós	kɾˈuz
quisiere	tʃisiːˈɛɹe
quitar	kitaɾ
quiérote	kielete
qué	k
química	imika
qu’ainda	aindɑ
qu’asomaben	kasomaben
radiu	ɾˈaðjo
radón	ɾaβõŋ
raigañu	raiɣ̞anʝo
rapacín	pɾepaθĩŋk
raposu	raposu
realidá	ɾealiðˈað
realizau	ɾealjt̪au
rebullia-y	ɾɛβuʎiai
recientemente	resient̪ɪmente
recintu antiguu	ɾeθintu antiu
recintu urbanu	ɾeθintu uɾβanu
recopilación	ɾɾˌekupˌilˈaθjˈon
recuartiar	ɾekuaɾtijar
refalfiu	ɾefalpiu
refecho	ɾɛfˈetʃo
regámoles de lleche	ɾekamoles d̪e ʝetʃi
reinu xuníu	ɾɾjnʊʃʊ̃njʊ
relixón	ɾɛliθjˈon
remangueru	rmãn̪ɣ̞eɾu
remita	remita
reniu	reniu
repasu	ɾɛpˈasʊ
republicanismu	ɾepuβ̞ljkanissmo
respuesta	ɾɾespwˈesta
retueyu	ɾɛtʊɛjʊ
reñones	ɾeɲones
ricos	ɾikˈos
riestra	bɔriʃtra
rigüeñas	ɾiɣ̞weɲas
rodiu	roð̞iu
roentxeniu	roɛnʃˈɛnɪw
romanticismu	ɾomãn̪t̪ifjslo
ropa	ropa
rosa	rõsa
rosada	ɾosada
roxa	grɔʃa
roxu	roʃu
rubidiu	brˈuˈɛvjˈu
rungaba	bɾuŋɣaba
ruteniu	brut̪ẽn̪iw
rutherfordiu	rutaɾefɔɾˈðiu
ríen	rn
ríu	ɾju
s'algama	salɣ̞ama
sabes	sɑːbɪs
sacar gabitos	sakar ɣ̞aβ̞it̪os
sal.lar	sajˈtʃaːɾ
saledizu	salviːtu
salgo	sɔlɣo
samariu	samɐɾiʊ
san xuán	sãn˨˩sŋ˥˥
santu	santu
sarriu	sˌɑɾɾiˈo
sato	tsato
se	ʃɛ
seaborxu	seˈaβoɾjʃu
segundu	səgˈɑ̃dw
según	segun
seique	seɪkæ
selce	sɛltɛ
sele	θele
selemente	tɛnlɛɛmente
seleniu	seleɲo
selmana	sælman
selmana de les lletres	salmana ð̞enɣ̞ɾes iʝet̪ɾes
semeya	samella
semientes	semjˈɛntes
sentainos	sentainos
sentaínos	seŋtainos
sentiesteis	sent̪iest̪ejs
sentimos	sentimos
sentir	sentˈiɾ
sentándose	s̺ɐntandɔse
sentáu	entau
ser	sˈɛɹ
sero	θˈɛɾo
seronda	seɾˈunda
serpió	sɛrpiɔ
sesenta	seɣjɛsent̪ɐ
setiembre	setjemplej
seyes	sejes
señardá	sɛɲˈalda
si	sˈi
si fuere posible	si fwˈeɾe posˈiβle
si nun ye que	si nun ʝeke
si pue ser	se pwˈe sˈer
si ye posible	si xle posiβ̞le
sicasí	sikasih
sidre	sidɾe
sieglu	tsʲiɐlo
siempre	t̪e
siguiendo	siɾˈjendˈoˈ
siliciu	selitiu
simplicidá	simplifeð̞
sin	sˈiŋ
sinagoga	tʃinaɣo
sirva	zˈaɪvə
sobre	sobre
sodiu	sˈɔdjˌu
soi	soj
solmenay	solmenai
solo	ʃolo
solombra	solomβ̞ɾa
soya	soja
suañu	suaɲu
superficie	ɕupeɾfie
surdimientu	zɔɾðimjɛl̪tʊ
surnia	zrnja
suyes	tuːjɪəɾs
suyu	tʃuʲu
sábadu	sˈaɪləm
sé	sˈɛst
sí	se
sólo	sɔlɔ
ta	da
taba	dava
tabeis	laβ̞eist̪
tabes	t̪aβ̞es
tahona	taona
tal	tɑːl
tala	ta
talamente	t̪alamẽn̪t̪e
tales	t̪ales
taliu	talljˈu
talo	talo
talos	t̪alos
talu	talou
tamién	t̪anβ̞iem
tantes	t̪ãn̪t̪es
tantu	tantˈu
tantu da	t̪ãn̪t̪uð̞a
tapiegu	ˈdapiːjɛgˈuːt
tapábase	tapavasɨ
tar	d̪aɾ
taranbaina	t̪aɾãn̪β̞ajnɯ
tarde	tardɨ
tarrañueles	laɾanʝueles
tarrén	tæˈrjɪŋ
tayar pela freba	daʝaɾ pe la fɾeβ̞a
te	tˈɛ
teatru	teatru
tecneciu	tɛknɛfju
teluriu	t̪e̞ɾuɾiu
tendríemos	tendɾiemɔʃ
tendríes	tendɾies
tendía	teˈnˈdijˈa
tener	teneɾ
tener munchos gabitos	t̪eneɾ munt̪sos ɣ̞abit̪os
tener procuru	tɛnɛr prokuru
tengo	tɛŋgo
tenía	dˌeːnˈiːjˌɑ
terbiu	teɾbjɔ
terminoloxía	tɛrminoloʃia
territoriu	t̪erit̪oɾjw
testu	tʃtɔ
teya	deja
teyau	t̪eʝau
ti	di
tiempu	tjˈɛmpu
tien	tjˈɛm
titaniu	titanio
toa	toa
toes	taes
toi	toj
tol	dol
tola	dola
toles	tores
tolo	tolo
tolo menos	tolo menʊs
tolo más	tolo mas
tolos	tʊɫtʃ
too	dˈo
toos	d̪os
toponimia	topɔnimia
toriu	toriːu
tortu	tortu
tos	tʊ̞s
tou	to
tovía	tobia
trabaya	t̪ɾeβ̞aʝaɾ
trabayadores	tɾaβaʝaðˈoɾes
trabayar	t̪ɾaβ̞aʝeɾ
trabayos	tɾaβaʝos
trabayu	tɾaβaʝu
trasgu	bɾasɫ
traxín	tɾˌɐʃˈinˈ
trelce	tɾjufe
trenta	t̪rin̪t̪a
trenta mil	tɾɛntɑ mil
trenta y dos	t̪rin̪t̪a ĩ mil
trenta y un	tɾˈɛnta i ˈun
trigu	tɹˈiɹˌu
trocolotró	tɾɔkolɔtɾɔ
trubiecu	tropjɛku
tu	tu
tuliu	tɔɾjuː
tuviere	tubieɾe
tuvo	tɾupo
tuyes	dˈoːgjˌuz
tuyu	plˈɪgˌu
tántalu	t̪ãn̪t̪alu
términu	tɛrmɪnu
u	dˈu
ufiertándola	ulfieɾetand̪ela
un res	ũn res
unes	unes
unos	ˈunos
unu	iː
uquiera	umkieɾa
uraniu	oɾaɲo
urxencies	lusjempzˈtˈez
urza	ulˈθa
uvieo	uβ̞jeõ
uvieu	uβjeu
uvieín	upiõŋ
uviéin	ujˈeɪŋ
uviéu	ubjeu
va	ba
vanadiu	anlad̪ju
varé	baɾe
vas	bˈas
vaticanu	batikano
vegada	beɣˈaða
venga	bɛŋa
ventanes	betonis
venti	minti
venti mil	beŋtj mil
verde	beɾð̞e
vez	f
vienres	nˈeˈɛlɛkse
vieyes	dʒegiez
vieyu	bjɔju
villoria	β̞ixĩ
vilvestre	milbe̞stɾe
viniere	binie̞ɾɒːp
viola	bjola
vive	bɪbɪ
vivimos n'una sociedá.	biβˈimos en ˈuna sˌoθjeðˈad
vixíu	bʃiɫ
vos	bos
voz	bɔf
vuelu	bwˈelo
vuesa	ɔːɛsɑː
vueses	ʋɔɪsɪs
vuesos	bwesos
vuestres	buestɾes
vuestru	boastɾu
vuesu	bwɛsw
wolframiu	bol̟fɾamiʝ
xana	ʃælˈ
xandru fernández	tʃãnðɾu ðeɾnãn̪d̪eθ
xeneralmente	xenɾalment̪ɪ
xenoyu	tʃenɔjʊ
xentiliciu	tʃɛntʲilɪtjʊ
xenón	ʃanum
xeografía	ɣ̞eoɣ̞ɾafia
xeoloxía	bˈɑsˈe
xermaniu	sˈɾˈmˈanim
xesús	sessˈus
xidu	ʃiːð
ximielgar	tʃiːmiælɣar
xineru	ʃinɛlu
xiringüelu	tʃiɾiŋueˌlɔ
xixonés	siʃseˈs
xixón	tɕʰi˧˥siong˥˩
xixón ye´l poblau con mas xente d'asturies-	siʃon xa el poβ̞lau kõŋ mas ɕent̪eɾas t̪uɾis
xornaes	ʃˈʊɹnaɪs
xovellanos	ʃoβ̞ellanʊs
xuan bello	ʃoan beʎo
xuan xosé sánchez vicente	ʃoan ʃose santʃis βitse
xubilación	sʊβilasioŋ
xuego	ʃʊɛɑ̃
xueves	tʃuɾjs
xulio viejo	ʃʊljɔ djɛxɔ
xulio vixil	siulio miʃil
xunetu	ʃonɛtu
xunta	tʃuntɐ
xunta xeneral	xũn̪t̪a akest̪
xunu	ʃtʃɛ
xurde álvarez	tʃuɾðe alβ̞aɾeθ
xuro	ʃuɾ
xurídica	ʃulidiga
xusticia	xust̪ikia
xéneru	ʃeˈmɛru
xénte	lʃɛnt
xíxónés	tʃiŋɯz
y	i˨˩˦
ye	dʒø
ye de llaviana la mio neña galana	ɟʝ e dɛ dʝa biana la miõ nɛɲa ɣ̞alana
ye neto	ɣeˈneto
yera	gjˈeɾa
yerbatu	gʲɛrʊ̞bæːtu
yes basoria, ribesellanu	ɟʝ una β̞assɾia
yes per guapa y gayoera como una xana.	numeɾo es peɾɣ̞oapa es ɣ̞aioleɾa kõm una ɣ̞sana
yes vasoria, ribeseyanu	ã ez ba zoɾja ɾeβ̞ezsa xano
yodu	ʝˈodˈu
yá	dˌiʝˈɑ
zanfoña	sanfɔɲa
zoolóxicu	foloʃiːkˈu
zucre	fukɾe
zuecos	fɾekos
ábanu	aβ̞ãn̪tʃi
ácidu	ˈɐsidʊ
ágila	axila
álamu	aˈlɑmu
álbum	r
álxebra	alʃiːbɾa
árbore	aɾbore
ébanu	ɛbɐnu
école	ekolɛ
él	r
ésti	ɛstʲ
íberu	iːbɾuː
íleon	ilioŋ
índigu	ɪndˈiɾˈɔ
ñegru	nˈɛʁu
ñeve	nɛɬɛbɛ
ñubes	jˈuðˈɪs
últimu	ˈultimo
ún	um
ḷḷuarca	tʃuarka
