'ਕਿਰਨਜੀਤ ਕੌਰ ਵੋਹਰਾ	kʌrəndʒiːd kɑːr bəɣuːrɑː
ਥੋੜ੍ਹਾ ਬਹੁਤ	tɔ̞ɾɒː bɒːd
ਥੋੜ੍ਹੀ	tɔ˥˥li˥˩
ਥੰਮ੍ਹ	tɐ̃mmˈɯ̞
ਥੱਕਣਾ	t̪kɾaː
ਥੱਥਾ	tʰɐt˥ʰaː˥˩
ਥੱਪੜ	tʰapɐn
ਥੱਲੇ	t̪e̞le̞
ਦਇਆ	daja
ਦਇਆ ਆਉਣੀ	dæjˈɑ ɑnʝ
ਦਇਆ ਕਰਨੀ	daia kaɾni
ਦਇਆ ਪੂਰਨ	ɖaɪ̯a poɾən
ਦਇਆਵਾਨ	ɖɑjɑːvɑːn
ਦਈ	daj
ਦਖਲ ਅੰਦਾਜ਼ੀ	dakl ɑndɑːzi
ਦਖ਼ਲ	dakˈaj
ਦਜਲਾ	dadʒəˈlɑ
ਦਫ਼ਤਰ	dæxteɾ
ਦਫਾ	dafˈa
ਦਬਕਾਉਣਾ	dbqona
ਦਬਾ	dab
ਦਬਾਅ	ɖəˈbɑː
ਦਬਾਅ ਅਧੀਨ	dbʔaːtˈiːn
ਦਬਾਅ ਪਾਉਣਾ	ɖəbaː pə ʋɳaː
ਦਬਾਉ	dˈeˈabːɔː
ਦਬਾਉਣਾ	dbona
ਦਬੱਲਣਾ	dbʃɳaː
ਦਮ	am
ਦਮਦਮਾ ਸਾਹਿਬ	d̪md̪mɑː sɑːɦɪb
ਦਯਾ	dɐja
ਦਰ	dˈar
ਦਰਅਸਲ	dˈarˈæsæl
ਦਰਖਤ	d̪əːraːt̪
ਦਰਖ਼ਤ	d̪i̞ɾˈakt
ਦਰਖ਼ਾਸਤ	darχast
ਦਰਜ	ˈdɒɾdʒi
ਦਰਜ ਕਰਨਾ	daːrdʒiː kaːrnɐ
ਦਰਜਨ	daɾgen
ਦਰਜਾ	dˈæɾdʒɑ
ਦਰਜਾ ਹਰਾਰਤ	ɖəɾgə haɾaːrat
ਦਰਜਾਬੰਦੀ	d̪aːrdʒaːbəndi
ਦਰਜੀ	darʒi
ਦਰਜੇਵਾਰ	ɖərdʒeːwaːr
ਦਰਦ	ˈdɒrd
ਦਰਦ ਕਰਨਾ	daːrˈdi kɒˈɾna
ਦਰਦ,	dˈɑɾt
ਦਰਦਨਾਕ	dˈaːɾdnaːk
ਦਰਦਿਲਾ	d̪aɾð̞ela
ਦਰਬਾਰ	ɖɑːɾbaːɾ
ਦਰਬਾਰ ਏ ਖਾਲਸਾ ਲਾਹੋਰ	darwaːrai̯ kʰaːl sɑlɑhɑr
ਦਰਮਿਆਨ	ɖəɾmjaːn
ਦਰਵਾਨ	dɑːrʋɑːn
ਦਰਸ਼ਨ	darʃen
ਦਰਿਆ	dˈɾɪjaː
ਦਰਿਆਈ ਘੋੜਾ	dre̞jɑi koːˈra
ਦਰਿੜ੍ਹ	drɪr
ਦਰੁਸਤ	dˈɛɾɔst
ਦਲ	dɑːlɯ̞
ਦਲ ਬਦਲੀ	ˈdəl bad̪əliː
ਦਲ਼ੀਏ ਦਾ ਖਾਣ , ਫ੍ਹਲ਼ੇ ਤੱਕ ਜਾਣ	t̪ɾljeːd̪aː kʰɑːɳ ɸɽle tɐk ɟa
ਦਲਾਲ	dlaːla
ਦਲਿੱਦਰ	ðæliːtːər
ਦਲੀਲ	daliːl
ਦਲੇਰ	dɛleːeːr
ਦਲੇਲਵਾਲ਼ਾ	dlɛlʋaɻa
ਦਵਾ	doaː
ਦਵਾਈ	ɖʊɑːiː
ਦਵਾਈ ਦਾਰੂ	ɖʊaːiː dɑːɾuː
ਦਵਾਈਆਂ	doaɲo
ਦਵਾਉਣ	dʋaːɳ
ਦਵਾਤ	dɔvaːt
ਦਵੇਗਾ	d̪ʱaːɾeːgɑː
ਦਵੰਦਵਾਦ	dʊandʊad
ਦਸ	dˈas
ਦਸਖ਼ਤ	dashˈt
ਦਸਤਕ ਦੇਂਦੀ	ɖəstk dndiː
ਦਸਤਕ ਦੇਂਦੀ ,ਰਹਿਮਤ ਉਸਦੀ	dastok d̪e̞n̪d̪iː rɛmə toː oːd̪iː
ਦਸਤਖ਼ਤ	dastxat
ਦਸਤਾਵੇਜ਼	dˈɛsttˈaˈweːzˈ
ਦਸਤੂਰ	dastˈuɾ
ਦਸਤਖ਼ਤ	dɑstɑqat
ਦਸਵੰਧ	dɐsʋɐnːtː
ਦਸੂਹਾ	ðæˈsæˈr
ਦਸੰਬਰ	ðəθamber
ਦਹਾਕਾ	daka
ਦਹਾੜ	d̪ɦɑːɽ
ਦਹੀਂ	ulˈdɑmɪn
ਦਾ	da
ਦਾਅ	da
ਦਾਅ-ਪੇਚ	dapeːtʃ
ਦਾਅਵਾ	dava
ਦਾਅਵਾ ਕਰਨਾ	d̪aːʋɑː kɐrn̪
ਦਾਇਰਾ	dai̯ra
ਦਾਇਰੇ	daːiːre
ਦਾਊਦ	dauːd
ਦਾਖਲਾ	daːxla
ਦਾਖ਼ਲ	daːkʰəl
ਦਾਖ਼ਲ ਕਰਨਾ	daːkʰəl kɐrna
ਦਾਖ਼ਲਾ	daːxla
ਦਾਗ਼	dak
ਦਾਜ	dˈa
ਦਾਣਾ	dɑːnə
ਦਾਤੀ	dat̪i
ਦਾਦ ਦੇਣੀ	dˈəːd dˈeːni
ਦਾਦਕੇ	taːdkeː
ਦਾਦਾ	dada
ਦਾਦੀ	dadi
ਦਾਨ	aːn
ਦਾਨੀ	dˈæˈniː
ਦਾਬਾ	daba
ਦਾਰਸ਼ਨਕ	dɑrʃnəkə
ਦਾਰੂ	daːruː
ਦਾਰੂ ਸਿੱਕਾ	d̪ɐːɾʊ sɪkːəː
ਦਾਲ	dɑːl
ਦਾਲ ਮੱਖਣੀ	dlaːl mkːɳiː
ਦਾਸਤਾਨ	daːstɑːn
ਦਾਹਵਤ	daːvət
ਦਾੜ੍ਹੀ	daːriː
ਦਿਆਲ	ɖɪɑːl
ਦਿਆਲਤਾ	ðialtä
ਦਿਆਲੂ	dˈɛstlˈu
ਦਿਉਰ	dˈeˈɔɹ
ਦਿਓ	tio̞
ਦਿਓਰ	dˈɵɾ
ਦਿਖਣਾ	d̪ɪkʰɖaː
ਦਿਖਾਉਂਦੇ	nekɔːnˈde
ਦਿਖਾਉਣਾ	dkhauɾa
ਦਿਖਾਵਾ ਕਰਨਾ	ɖəxːɑːvɑː kɐɾnə
ਦਿਦਾਰ	d̪əd̪aːr
ਦਿਦਾਰ ਕਰਨਾ	ɖɪˈd̪əɾ kɐɾnə
ਦਿਦਾਰ ਦੇਣਾ	ɖd̪aːr ɖeːɳaː
ਦਿਨ	dæn
ਦਿਨ ਛਿਪੇ	denitʃepe
ਦਿਨ ਡੁੱਬੇ	ðenɖ bbe
ਦਿਨ ਰਾਤ	dnɾat
ਦਿਨੇ	ene
ਦਿਨੇ ਤਾਰੇ ਵਿਖਾਉਣੇ	dɪɽe taɾeː wəɣoːɳe
ਦਿਮਾਗ	t̪eːmaːg
ਦਿਮਾਗ ਖਾਣਾ	t̪əmɑːg kʰaːɳa
ਦਿਮਾਗ ਚਕਰਾ ਜਾਣਾ	t̪ɪmɑːg tʃkɾɑː dʒɑːɳɑ
ਦਿਮਾਗ ਚੱਟਣਾ	t̪emɣ tʃʈʈeɳa
ਦਿਮਾਗ ਦੀ ਸੋਜ	ðɪmɑːg ðiː sɔːdʒ
ਦਿਮਾਗ ਲੜਾਉਣਾ	t̪emɑːg ləɽoˈʱoˈnɑ
ਦਿਮਾਗ ਹੋਣਾ	ɖəmaːg ɦoːɳa
ਦਿਮਾਗ਼	ɖimˈɑːg
ਦਿਮਾਗ਼ ਵਿੱਚ ਬਠਾਉਣਾ	t̪ɐmaːɾeːg tʃkeː tʰoːɭɑː
ਦਿਮਾਗ਼ੀ	tɾəmɑːtjiː
ਦਿਮਾਗੀ	t̪eːmaːqee
ਦਿਮਾਗੀ ਕਮਜ਼ੋਰੀ	ɖəmaː geː kəmzori
ਦਿਲ	dɛlˈtˈ
ਦਿਲ ਉਕਤਾਉਣਾ	dæl ɒgtaˈnɒˈnɒ
ਦਿਲ ਉਚਾਟ ਹੋਣਾ	d̪ælʔ utʃaːʈ ɦoːnɑː
ਦਿਲ ਦੀ ਬਾਤ	dˈɪlːɪbaːtˈ
ਦਿਲ ਲਾਉਣਾ	daːliː laːʋɳaː
ਦਿਲ ਸ਼ਿਕਨੀ	dlʃkˈni
ਦਿਲ ਸ਼ਿੱਕਨ	d̪əlʃəkːən
ਦਿਲ ਸੜਿਆ	ɖɛl səɽːɑ
ਦਿਲ ਹਿਲਾਊ	ð ð̞e̞l helau
ਦਿਲਗੀਰੀ	d̪ɛlgiːri
ਦਿਲਚਸਪ	deltʃasp
ਦਿਲਚਸਪੀ	ðˈɛltʃəʃpˈi
ਦਿਲਚਸਪੀ ਲੈਣੀ	dltʃtʃj ljlni
ਦਿਲਜੀਤ ਦੋਸਾਂਝ	d̪ɪlˈdʒɪt̪ duː sɑːnʒ
ਦਿਲਦਾਰੀ	ɖəld̪aːriː
ਦਿਲਰੂਬਾ	dloːroba
ਦਿਲਸ਼ਾਦ	dɨʃadɨ
ਦਿਲਸੋਜ਼	delsɔz
ਦਿਲਾਸਾ	dˈəlafˈa
ਦਿਵਾਨਾ	diːvɑːnɑː
ਦਿਵਾਨੀ	diːvneiː
ਦਿਵਾਲੀ	ɖɪˈvɑːliː
ਦਿਸ਼ਾ	d̪ɪˈʃɑː
ਦਿਸਾਵਰ	d̪ʱɪsäːʋɪr
ਦਿਹ	b
ਦਿਹਕਾਨ	d̪eːkɑːn
ਦਿਹਾਤੀ	ɖɪ̃ːhäːtːiː
ਦਿਹਾਰ	d̪iːt̪aːr
ਦਿਹਾੜਾ	d̪iːhɑːɽɑː
ਦਿੜ੍ਹਬਾ	dɐɖʈa
ਦਿੰਦਾ	dandə
ਦਿੱਖ	ˈdeːkː
ਦਿੱਤਾ	diktat
ਦਿੱਬ ਦਰਿਸ਼ਟੀ	dab t̪e ɾɪʃti
ਦਿੱਲੀ	belˈi
ਦਿੱਲੀ ਏਅਰਪੋਰਟ	diliːɾˈpɔːɽt
ਦਿੱਲੀ ਸਰਕਾਰ	ɖɪlˈliː sɾkɑːr
ਦਿੱਲੀ ਸਲਤਨਤ	ðilˈli ˈsʌlətə nəˈtən
ਦੀ	diː
ਦੀ ਸੰਭਾਲ ਵਿਚ	ðesamβaɾa al β̞eʃtʃo
ਦੀਆਂ	d̪i̯a
ਦੀਦ	diːdˈe
ਦੀਦਾਰ	diːd̪aːr
ਦੀਨ	d̪iːn
ਦੀਨ ਦੁਨੀਆ	diːn donia
ਦੀਨਾਨਗਰ	ðiɳanagər
ਦੀਪ	diːp
ਦੀਵਾ	d̪iːʋaː
ਦੀਵਾਨਾ	diːvɑːn˩˥naː
ਦੀਹਦੀ	dnd
ਦੁਆਰਾ	dwara
ਦੁਆਵਾਂ	duːavˈɛ̃
ਦੁਕਾਨ	duːkɑːn
ਦੁਖ	dˈɔk
ਦੁਖਾਂਤ	dokʰɑnt
ਦੁਚਿੱਤੀ	akest̪
ਦੁਨਿਆਵੀ	d̪ʊnːiːɑːʋiː
ਦੁਨੀਆ	dˈə
ਦੁਨੀਆਂ	d̪ʌnjɑ̃
ਦੁਨੀਆਂਦਾਰੀ	d̪ʊnjɑːdɑːɾiː
ਦੁਨੀਆਦਾਰ	d̪ʊnɪəːdɑːr
ਦੁਨੀਆਦਾਰੀ	ɖʊˈniːədɑːɾiː
ਦੁਪਦੇ	dopəde
ਦੁਪਹਿਰਾ	dupˈɛra
ਦੁਪਾਸੜ	ɖuːpäːssəɽ
ਦੁਪੱਟਾ	t̪uːpʈːaː
ਦੁਬਾਰਾ	ɖoːbäːɾäː
ਦੁਬਿਧਾ ਵਿੱਚ ਹੋਣਾ	dʊbɪdɑː ʋitʃ hɔːɳe
ਦੁਮਾਲਾ	dumala
ਦੁਰਘਟਨਾ	d̪ʊrkʊʈnaː
ਦੁਰਭਾਗ	dɔɾəpˈaɣʊ
ਦੁਰਭਾਗ ਵੱਸ	dormaagvas
ਦੁਰਭਾਵਨਾ	dorpaːvna
ਦੁਰਮਤ	dormat
ਦੁਰਲਭ	dɒɾnˈlɒbˈi
ਦੁਰਵਰਤੋਂ	dˈɔʁmaˈʁtɔ̃
ਦੁਰਵਿਹਾਰ	d̪ʊrʊviːɦaːr
ਦੁਰਾਚਾਰ	d̪ʊɾäːtʃäːɾ
ਦੁਰਾਡਾ	dˈʊˈɾaːɖdə
ਦੁਰਾਹਾ	dɾɑːeːhɑː
ਦੁਰੁਖਾ	dˈɔ̃ekˈa
ਦੁਰੇਡੇ	durede
ਦੁਲਾਵਾਂ	zəˈlɑːmɑːn
ਦੁਲੈਂਕੜ	d̪ʱɪkəɾ
ਦੁਲੈਂਕੜੇ	dolekˈɾe
ਦੁਲੱਤੀ	dʒʁlatˈe
ਦੁਵੱਲਾ	d̪ʊːlːə
ਦੁਵੱਲੇ	dʊːɭeː
ਦੁਸ਼ਟ	dˈoʃite
ਦੁਸ਼ਮਣ	dʊˈʃmɑɫ
ਦੁਸ਼ਾਲਾ	dʊʃaːnlɑ
ਦੁਹਰਾਉਣਾ	d̪ʱɾaːvɳaː
ਦੁਹਾਈ	duhʁaj
ਦੁੰਬ	dˈɒmb
ਦੁੰਮ	dˈɔm
ਦੁੰਮ ਛੱਲਾ	doːm ʃalla
ਦੁੰਮ ਦਬਾ ਕੇ ਨੱਸਣਾ	dmmd baːkʰe nə sɳa
ਦੁੱਖ	dɔkˈtˈ
ਦੁੱਖ ਦੇਣਾ	dɔkˈdeɾna
ਦੁੱਖਾਂ	dˈɔkˈœ̃
ਦੁੱਧ	dɒldi
ਦੁੱਧ ਦੀ ਰਾਖੀ ਬਿੱਲਾ	d̪ʊd̪ʱiː rɑkʰiː mɪlˈla
ਦੁੱਧਾਧਾਰੀ	daːtaːriː
ਦੂਜਾ	dˈutʃa
ਦੂਜਿਆਂ	udˌiˈˈɛn
ਦੂਜੇ	akest̪
ਦੂਜੇ ਦਹਾਕੇ ਤੱਕ	ɖʊdʒe d ɦək keːtəq
ਦੂਣ	dˈun
ਦੂਣ ਸਵਾਇਆ	doːn sɑʋɑːjə
ਦੂਣਾ	dˈuna
ਦੂਣਾ ਕਰਨਾ	ɖuɳaːn kɾna
ਦੂਰ	dˈuːɾ
ਦੂਰ ਅੰਦੇਸ਼	d̪uɾ ẽn̪d̪eiɣ̞s
ਦੂਰ ਅੰਦੇਸ਼ੀ	duːran dˈeːʃi
ਦੂਰ ਕਰਨਾ	dˈuːr kaʁˈna
ਦੂਰ ਤੱਕ	doːr pək
ਦੂਰ ਦਰਾਜ	doːr dɪ ɾaːdʒ
ਦੂਰ ਦੀ	duːɾdi
ਦੂਰ ਦੀ ਨਜ਼ਰ	doːrˈdiː nazər
ਦੂਰ ਦੀ ਸੁੱਝਣੀ	doːr diː sʊdʒɐɳiː
ਦੂਰ ਵਰਤੀ	duːr ʋɐɾt̪iː
ਦੂਰਦ੍ਰਿਸ਼ਟੀ	doːrdʁistˈi
ਦੂਰੀ	duːɾiː
ਦੂਰੋ ਦੂਰੀ ਹੋਣਾ	doːrɔː doːriː ɦoːɳoːʔ
ਦੂਰੋਂ	duːron
ਦੇ	dɛ
ਦੇ ਕੋਲ	dˈeɪ kˈɔl
ਦੇ ਖੱਬੇ ਪਾਸੇ	de kʰbe̞ bɑsˈre
ਦੇ ਪਿਛਲੇ ਪਾਸੇ	ʋeː bt̪ʃleː pɑːsẽː
ਦੇ ਵਿਰੁੱਧ	deβ̞ɾɯd
ਦੇ ਸੰਗ	dɛːsand
ਦੇਖ	dk
ਦੇਖਣਾ	d̪eːkʰɳaː
ਦੇਖਦਾ	dəkʰdaː
ਦੇਖਭਾਲ	dekpal
ਦੇਖਭਾਲ ਕਰਨ	d̪ekɐbaːɻːk kaːɾɨn˩
ਦੇਖਿਆ	de˨˩kʰa˥˥
ਦੇਖੀ	dˈoski
ਦੇਗ਼ ਤੇਗ਼ ਫ਼ਤਹਿ	d̪e̞k t̪eɣ̞ fat̪e
ਦੇਣਦਾਰ ਹੋਣਾ	ɖeːɳ daːr ɦoːɳa
ਦੇਣਾ	dˈeːnˈ
ਦੇਰੀ ਲਈ ਮੁਆਫ਼ੀ	ɖeːriː ləiː ˈmɑːpiː
ਦੇਵਣ	ˈɛːvən
ਦੇਵਤਾ	ɖɛːvt̪ɑː
ਦੇਵਨਾਗਰੀ	dɛɛvnaːgri
ਦੇਵਾਂਗੇ	ɖɛʋaːngɛ
ਦੇਵੀ	devi
ਦੇਵੋ	devo
ਦੇਸ਼	dˈeʃ
ਦੇਸ਼ ਵਿਦੇਸ਼	tɛːʃɛ bdɛːʃ
ਦੇਸ	beːs
ਦੇਸ ਵਾਸੀ	deːsʋɑːsiː
ਦੇਸ਼	bɛʃ
ਦੇਸ਼-ਨਿਕਾਲ਼ਾ	ɖeʃnkɑːlɑː
ਦੇਸੀ	deθi
ਦੇਸੀ ਘਿਓ	ðesi kew
ਦੇਹ	be
ਦੇਹਰਾਦੂਨ	ðeɾadun
ਦੈਂਤ	te
ਦੈਵੀ	daːvi
ਦੈਵੀ ਘਟਨਾ	d̪aːvi kəʈːɑ
ਦੋ	dˈo
ਦੋਆਬੀ	teabi
ਦੋਖ	dok
ਦੋਖੀ	doki
ਦੋਗਲਾ	doːgla
ਦੋਜ਼ਖ਼	doːzɨk
ਦੋਰਾਹਾ	dɔraː
ਦੋਸ	dˈos
ਦੋਸ ਕੱਢਣਾ	doːs kʌɖɖɐɳa
ਦੋਸ ਦੇਣਾ	doːs d̪eːɳaː
ਦੋਸ ਪੂਰਨ	d̪os uːrən
ਦੋਸ ਮੁਕਤ	dɒsmɒqtˈi
ਦੋਸ ਰਹਿਤ	doːs ɾəɦːt
ਦੋਸ ਲਾਉਣਾ	doːs loːna
ਦੋਸਤ	d̪oːst
ਦੋਸਤਾ	dosta
ਦੋਸਤਾਂ	dɔstæ
ਦੋਸਤਾਨਾ	d̪os̪t̪aɾna
ਦੋਸਤੀ	d̪oːstiː
ਦੋਸਤੋ	dosto
ਦੋਸ਼	dʊʃ
ਦੋਸ਼ੀ	doʃi
ਦੋਹਰਾ	dora
ਦੋਹਾ	doːse
ਦੋਹਾਂ	doːeːtʃ
ਦੋਹੜਾ	dɔːɾaː
ਦੌਰ	dɔɾ
ਦੌਰਾਨ	dɒːɾaːn
ਦੌਲਤਪੁਰ	dlt̪pər
ਦੌੜ	dɑːr
ਦੌੜ ਜਾਣਾ	dɑːr dʒaːnə
ਦੌੜ ਭੱਜ	daɾpɐdʒ
ਦੌੜ-ਭੱਜ	daɾpɐdʒ
ਦੌੜਨਾ	dɑːrnə
ਦੌੜਾਕ	ˈdɑːɺaːqa
ਦੌੜੀਆ	doriːa
ਦ੍ਰਿਸ਼ ਚਿਤਰਣ	ðrˈeʃtʃ tʃˈe tɹˈan
ਦ੍ਰਿਸ਼ਟੀ	d̪ʱɾɪst̪iː
ਦ੍ਰਿਸ਼ਟੀਕੋਣ	gɾiːstiːkɔːn
ਦ੍ਰਿਸ਼ਟੀਗੋਚਰ ਹੋਣਾ	ð̞ɾɪʃʈiː gʊtʃɐɾ boːɽɭʱɑː
ਦ੍ਰਿੜ੍ਹ	dreɖ
ਦੰਗ	dˈaŋ
ਦੰਗਲ	dæŋgalˈ
ਦੰਡਿਤ	ð̞ɳɖt̪
ਦੰਦ	dand
ਦੰਦ ਖੰਡ ਤਟ	d ɖa khana taʈ
ਦੰਦਾਸਾ	dandasa
ਦੰਦੀ	dnd̪i
ਦੰਦੋੜਿੱਕਾ	dandorika
ਦੱਖਣ	dəqon
ਦੱਖਣੀ	daːkːʰælɪn
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	kʰɳiː əfɾiːoin χɛɳjɑːɸɾiːθka
ਦੱਖਣੀ ਕੋਰੀਆ	təkːʰriː koːriːaː
ਦੱਖਣੀ ਤਰਾਵਾ	d kʰniː t̪əˈɾɑːɦt̪
ਦੱਖਣੀ ਸੁਡਾਨ	d kʰɳiː sʊɽɑːn
ਦੱਖੂਦਾਣਾ	dakˈuːdaˈnɑ
ਦੱਦਾ	dˈeːdˈa
ਦੱਬਣਾ	ɖbːɳaː
ਦੱਸ	dˈaz
ਦੱਸਣਾ	tdasˈɳa
ਦੱਸਾਂ	dˈasˈe
ਦੱਸਿਆ	dˈʌsˈeˈ
ਧਨ	t̪anɯ
ਧਨ ਜੋੜਨਾ	taːn ɟʉɾna
ਧਨ-ਦੌਲਤ	tãnntolatɛ
ਧਨਵੰਤ	ɾaːnamant
ਧਨੀ	təni
ਧਨੌਲਾ	tanalla
ਧਮਕਾਉਣਾ	tɨmkoːnˈa
ਧਮਕੀ	tampɛ
ਧਮਾਕਾ	tamaka
ਧਮਾਲ	taːmɑl
ਧਮਾਲਾਂ	taːmaːlaː
ਧਮੱਚੜ	təmətʃːəɺ
ਧਰਤੀ	taɾtjl
ਧਰਨੇ	tarnɛ
ਧਰਮ	tarmɯ̞
ਧਰਮ ਅਤੇ ਰਾਜਨੀਤੀ	taɾma dɛɾa ɛznitɪ
ਧਰਮ ਦਾ ਸਿਆਸੀਕਰਨ	taɾamdɐse ɐsˈi kɐɾnˈa
ਧਰਮ ਮੀਮਾਂਸਾ	taɾmə-mi m-anˈsa
ਧਰਮਕੋਟ	t̪ərmqoːʈ
ਧਰਮਗੁਰੂ	tərmɣrw
ਧਰਮਾਂ	tarma
ਧਰਮੀ	tvar
ਧਰਾਤਲ	t̪aːraːt̪l
ਧਰੂ	təɾˈuv
ਧਰੂਹਣਾ	ta˩˥ːruːna
ਧਰੇਕ	tɐɾeːk
ਧਾਉਣਾ	tɑɫnɑ
ਧਾਤੂ	tattu
ਧਾਮੀ	estam
ਧਾਰ	taːr
ਧਾਰਨਾ	taɾna
ਧਾਰਨਾਵਾਦ	taːrnaːvaːt
ਧਾਰਨਾਵਾਦੀ	tarnaːbad̪i
ਧਾਰਾਵਾਂ	ta˩˥ːraː˧maː
ਧਾਰੀਵਾਲ	taːɾiːwaːl
ਧਾਲੀਵਾਲ	t̪aːliːbal
ਧਿਆ	tʃiːziaː
ਧਿਆਨ	tian˨˩
ਧਿਆਨ ਦੇਣਾ	t̪i an̪d̪e̞ɳaː
ਧਿਆਨ ਨਾਲ਼ ਸੁਣਨਾ	t̪ĩːŋaːɳaːɭ suɳtaː
ਧਿਆਨ ਰੱਖਣਾ	t̪jɑːn̪ ɾəkʰɳaː
ਧਿਜ	tˈedjʊ
ਧੀ	ti˥˩
ਧੀ ਭੈਣ	tiːppːeːn
ਧੁਨ	dˈœ̃nˈɛ
ਧੁਨੀ	t̪unĩːm
ਧੁਪ	top
ਧੁੜਕੂ	tˈɒkʊ
ਧੁੜਕੂ ਲੱਗਣਾ	təɺkʊː ləgɳaː
ਧੁੰਦ	tondɯ
ਧੁੰਨੀ	tʊ̃ːn˩˧iː
ਧੁੱਪ	tˈop
ਧੂਰੀ	tʊri
ਧੂੜ	tˈuɾ
ਧੂੜ ਉਡਾਉਣੀ	tʊɾˈɛ ʊ dɑŋˈɾiŋ
ਧੂੜ ਉੱਡਣੀ	toːɾʲ ʊd̪ɳiːm
ਧੂੜ ਪੈਣੀ	tʊr pɛːniː
ਧੂੜਨਾ	ˌɐˈuɾnɐ
ਧੂੜਾ	t̪uɾa
ਧੇਲਾ	fˈela
ਧੋਖਾਧੜੀਆਂ	tˈoːkχʌtədʒaː
ਧੋਖੇਬਾਜ਼	tok˨eˈbɑːlˈzɯ˨
ਧੋਬੀ	tobi
ਧੋਬੀ ਦੀ ਠਾਹ ਠਾਹ...ਕਿਸੇ ਲਈ ਧੌਦਾ ਕਿਸੇ ਲਈ ਧ	toː biːdiː ʈhɑː ʈhɑ̃ kʰeːseː liː t̪oːnd̪aː kʰeːseː liː t̪oːnd̪aː
ਧੋਬੀਆਂ ਦੇ ਆ ਗਏ ਚੋਰ ਲੁੱਟੇ ਗਏ ਹੋਰ	t̪oː bi̯ɦan d̪eː ɦaːge ʃoːr luʈə d̪eː ɦoːr
ਧੌਂਸ	dˈɑːnˈs
ਧੌਣ	tɔ̃nˈɔ̃
ਧੜਕਣ	taɺkəɳ
ਧੜਾਧੜ	t̪iːn̪aːl̪t̪əɽaːt̪ɽ
ਧੰਦਾ	tɑnda
ਧੰਨ	tan
ਧੱਕਾ ਧੋੜਾ	taka tɔɾa
ਧੱਕੇ ਨਾਲ	t̪ɐkːɛː naːɭ
ਧੱਕੜ	t̪ɐkːɐɖ
ਧੱਦਾ	tˈata
ਨਕਦ	nakaðə
ਨਕਦਰਾ	naqɑdˈra
ਨਕਲ	nʌkəl
ਨਕਲ ਉਤਾਰਨੀ	nəkəl ʔut̪ɑːɾniː
ਨਕਲ ਨਵੀਸ	nakal na β̞jˈz
ਨਕਲ ਮਾਰਨੀ	n̪əkəl maːrniː
ਨਕਲ ਲਾਉਣੀ	nəkəl ɭɑoːɳi
ਨਕਲਚੀ	nakal
ਨਕਲੀ	naklˈi
ਨਕਲੀ ਲੜਾਈ	nəkːliː laɾai̯
ਨਕਲੀਆ	nəklia
ਨਕਸ਼ਾ	nakˈsa
ਨਕਸ਼ੇ ਕਦਮ	nʊ̞kʃɪ̞j kadɐm
ਨਕਸ਼ੇ ਕਦਮਾਂ	naːkɯʃeː gd̪əmaːr
ਨਕਸ਼ਾ	nakʃa
ਨਕਾਮ	nkaːm
ਨਕਾਰ	nkɑːr
ਨਕਾਰਨਾ	nakaːrna
ਨਕਾਰਿਆ	nkaːriːa
ਨਕੇਲ	akeeːl
ਨਕੇਲ਼	nɐˈkeːl
ਨਕੋਦਰ	naqodˈðaʁ
ਨਖਰੇ	nakʰre
ਨਗਰ	nagr
ਨਗਰ ਕੀਰਤਨ	nəgər kiːrt̪n
ਨਗਾਰਾ	nːɣɑːɾɑː
ਨਗੀਨਾ	navina
ਨਗੂਣੀ ਦਲੀਲ	nʁonʝ d̪e liːl
ਨਚਾਰ	natʃaːr
ਨਜ਼ਦੀਕ	næsdiːk
ਨਜ਼ਰ	næˈðæɾ
ਨਜ਼ਰ ਆਉਣਾ	nˈoːvɛr ɑnˈa
ਨਜ਼ਰ-ਅੰਦਾਜ਼	nzərɑndɑːz
ਨਜ਼ਰ-ਅੰਦਾਜ਼ ਕਰਨਾ	nəzər ənˈd̪ɑːz kəɾnə
ਨਜ਼ਾਰਾ	nzɑːrɑ
ਨਜਾਇਜ਼ ਸਬੰਧ	nɛdʒaːr ɑdʒɑsɑbãn ðo
ਨਜਿੱਠਣ	nəidʒitʃn
ਨਟਖਟੀ	nat̪kʰət̪iː
ਨਤਾਕਤਾ	natalta
ਨਤਾਕਤੀ	nataːkɔt̪iː
ਨਤੀਜਾ	net̪itʃe
ਨਤੀਜਾ ਕੱਢਣਾ	nat̪iːdʒɑː kɐɖɐɳaː
ਨਦਾਨ	nadaːn
ਨਦੀ	nað̞i
ਨਦੀਨ	nð̞iːn
ਨਨਾਣ	nˈaːnə
ਨਪੁੱਤੀ	ɪˈdˈftˈi
ਨਬਜ ਵੇਖਣੀ	nɑbʒʉ beːkʰni
ਨਬਜ਼	nabz
ਨਬੀ	nˈɛbːi
ਨਮਕੀਨ	namkeːn
ਨਮਾਜ਼	naːmɑːz
ਨਮੀਬੀਆ	nːəmiːbijə
ਨਮੂਨਾ	namuna
ਨਰ ਨਾਰੀ	nəɾɾiː
ਨਰਕ ਬਣਾਈ ਰਖਦਾ ਹੈ	nrqonaːi rax da haɪ
ਨਰਗਸ	nargas
ਨਰਮ	nəɾm
ਨਰਸ	naɾs
ਨਰਸਿੰਘ	nˈɑɹfˌɪŋ
