adidas	ɑdiːdˈas
ryšk	rɛʃk
ryšte	rɯ̞ʃtæ
ryšvə	rɨsˈva
ryšvəxor	rʲʃvaxoɾ
ryšvəxorəti	rɛʃɨvaxoˈraʲi
ryšxand	rʃxɔ̃d
ryžande	rɛˈʒande
ryžie	rʏʑˈde
ryžolə	rʊ̞ʒrɑɫɑ
ryžoləjn	rɛʒulaɲ
rə	aɾa
rə-rə	raɾa
rəbədə	ɾabada
rəd be	rad vɨ
rəd karde	ɾɒtkaˈɾde
rəftor	raftur
rəftorəti	ɾaftuɾati
rəfə	lafa
rəhbər	ɾɑhˈbɑr
rəhbərəti karde	roħpɾtʃ kɑːɾdɛ
rəhm	rˈahm
rəhmdyl	ɾɑːmdɯl
rəhmin	rɑːmɪn
rəhmət	rɑhmɑt
rəhmət še	ɾahmæt ʃˈe
rəhmətin	ɾahmatiːn
rəhmətšə	rɛxmatʃa
rəis	ɾɑːs
rəjhon	ɾɑjhɑn
rəjnə	lajna
rəjon	rajun
rəjət	laˈjˈat
rəkkos	ɾakːos
rəme	rame
rəq	rˈɛg
rəq-rišə	ɾɣliksæm
rəqbərəq	rɑqbaˈraq
rəqbərəq be	rɑq bə raːq be
rəqəm	ɾˈɑɣˈæm
rəse	aɾɑːsˈe
rəve	rabe
rəvo	ɾamu
rəvoš	raːvˈʃ
rəvošin	ɾabˈoʃiːn
rəxe	rɛkʃɛ
rəz	naza
rəzo	razo
rəzə	nɑːzə
rəš	rˈæʃ
rəšt	ɾʃt
sa	sˈa
saat	sɑˈɑt
sadyq	sɑdɯk
sadyqin	tʃɑdɯqin
sal	ʃɒl
sangin	sɒngɾiˈn
sard	sˈɔɹt
sardon	saɾˈdun
sardonə	sɑːɾduna
savdy	savdɨ
savet	sɑwɛt
saxt	sɑːt
semon	sˈmon
senat	sˈenˈɑt
sentjabr	sɛnˈtjɑˈbɯɾ
ser	sɛr
serbija	sɛɾbɪɐ
si	sˈi
sigəret	tsigaret
sijo	siu
sijolo	sijɯlo
sijomazg	sʲiu̯mosk
sijonəq	sjuːnˈaːg
sin	sɛ̃d
singapor	simapuɾ
sinov	sinuv
sipi	sipi
sipər	sipɛʁ
sojə	suja
sojəti	sʊˈiɑːti
suf	suf
suk	sˈuk
suluk	sylyk
surə	sʏlæ
sute	sʏtɛ
sy	sɯ̞
symbə	sɯ̞mba
symbə-lulə	sɪ̞mbʲɪlɪ̞ɫæ
symə	sɯˈma
syndynie	səndniːjˈɑ
synči	sɯ̟ᵝndʑɯ̟ᵝ
sypə	pˌa
syq	sˈɛʁ
syraf	srɔf
syre	sɪrɛ
syrəcəkkə	sɯrɑtʃakːa
syrəcəkkə je	srɛtʃak kaʒɛ
sıpə	spa
sıpə kinə	sɐpətʃnɑ
sıtəmurdov	stˈaˈmˈurdov
sə	sˈa
səadət	sˈaːdat
səadətin	saudˈaːtɪn
səb	sˈab
səb varde	sˈb vˈɑːreˈde
səbarz	sˈbɑːɾz
səbarzi	sæbɑːrziː
səbarzəti	sbɑːrzati
səbr	ˈsɑbɯɾ
səbrin	sabrˈin
səbyr	ˈsabɯɾ
səbəb	sˈabˈab
səbəbin	sʃababɪn
səbəbkor	sˈɐbɑbkˈuʃ
sədo	sadu
səq	sˈɑːg
səqynie	sɐˈgɐnɪ
sər-redaktor	sarredɑktoɾ
sərvoz	sɾuːs
sərvət	sæɾvæt
səvarde	sɑvɑːɾde
səvaçte	sɒvɒʃte
səvašte	sobɒːʃte
səvijə	saβ̞jã
səvob	saˈvup
səvobkor	savobquˈr
səvobkorəti	sˈbubqɔrɑti
səvod	savˈud
səvodin	savodin
səvord	sɔːɾt
ta	tˈɑ
ta karde	tɑkɑɾdæ
tabut	tabut
tad	tɒd
tadi	tɒdi
tadibəsə	tadʒbˈaːsˈa
tadibəsə be	tˈɔdɨ bɐ sɐbˈeɹ
tadili	tɑːdʒliː
tajland	tˈaɪlˌɑːnd
tajə	taja
tambuə	tɑmbɯ
tang	tɔŋ
tangəru	toŋgaɾu
taqars	tɑːgɑːrs
tar	tɒɾ
tarse	taɾse
tasyb	tɛˈsæb
tasyb karde	tɒsb kɒɾde
tasybin	tˈˈasˈɛbiŋ
tatari zyvon	tɑ tˈɑːɾ ˈizdɪvˈun
tataryston	tɑtɑrɑstʊn
tavzy	tɒːzɒː
tavzy kəše	tɑˈvzi kɑˈʃɛ
taxtə	tɑxte
tel	tɪl
texnika	tɛxnɪka
texnikə	tʁnika
tifang	tyfˈong
tifang qande	tˈə fˈɔ̃k ʁɑ̃dˈɛ
tifangi	tivɔ̃gˈi
tifil	tˈɛvjˈal
tifili	tˈˈvjˈlˈ
tijon	tɨlˈnˈo
tijoncə	tijˈʌntʃɛ
tikə	tika
tikə-tikə	tikatika
tikəj	tikˈaj
tikəmon	tikamɔn
tikəvynəj	tʰiːkav˧˥an˧aːj˧
tilik	il
tilsim	tˌilsˌimˈ
tilsimin	tilskemˈinˈ
tilə	tila
timsah	tiːmsɑh
timsol	tʃiːmsɔl
ting	tʃiŋ
ting karde	tiːn kɑːɾdæ
tir	dr
titə	tˈita
tičorət	tʒʊɾɑt
tičorəti	tʒuɾætj
tiši	tiʃˈe
tiši že	tiʃidʒe
to	vˈɚ
tobə	toˈilba
tofiq ilhom	tˈoˈfˈqɨlˈhˈum
toik be	tuk pe
toiči	tojidʒi
tojki	tʊɪ̞kʲi
tokio	tɔkjoʊ
tokkə	tukːa
toknie	tuknjɛ
tolyši	tɔluʃy
tolyšə zyvon	tʊɫʊ̞ʂ æzʲɪvɔnʊ̞
tolışıston	tʃolɨʃɪstɔːn
toləšə	toðæʃa
ton	tɔn
top	tˈɔ̃
toqi	tʊɫgi
toqə	tʊɣæ
toqəryšt	toˈgæɾiːʃt
tor	tuɾ
toraqaj	toɾagaj
torbə	tʊɾbæ
torci	tʊɾtʃe
torə	tʊra
torəboft	toˈrɑbuːft
tos	tɔz
tosnie	tʊ̞spavʲerɪɫa
tosponie	tʊspuɲi
tosə	tʊsˈa
tov	tɔv
tov doe	tuk tuj
tov ome	tɔvu me
tovin	tɔvɪn
tovnie	tˈuvnjɛ
tovol	tovuɫ
tovyston	tovɨstoˈnuˈ
tovystoni	tˈuvɛstˈoni
tovə	tova
točikiston	tɔdʒukistɔn
točir	tɔdʒir
točiri	tɒdʒiɾiː
točirəti	tʃiːˈɾti
toše	toʃe
tožnie	tuʐpavʲerɨɫa
tožə	tuʒa
tožədən	toʒadan
tu	tˈø
tuk	tˈyk
tul	tyl
tulin	tylˈjn
tum	tym
tum-tojfə	tˈənˈətuˈopˈœʁ
tumo	təmˌɛ̃
tumo be	tˌumˈobe
tumo karde	tʏ̞mːʏ̞ qɑɾdæ
tumə	tymˈa
tunel	tynɛl
tuti	tʃiːtʃiː
ty	tˈɛ
tyk	tɯ̞k
tyke	tʏkˈa
tyklə	tɯ̞kɫɑ
tykne	tɪ̞knʲe
tyle	tølɛ
tylovnie	tʃiːzieːn
tylə	tylˈa
tymon	tɯ̞mon
tymonciəti	təmunʧadʒ
tymoni	tɨmuu̯pavʲerɨɫa
tymonəboft	tɪmuːnaboːft
tymonəbofti	tɪmuːnaboːfti
tymən	tɛman
tyməni	tʰɯ̞mɑnʲi
tynd	tɐ̃nd
tyndi	tɛnˈdʲi
tyndie	kəndiː
tyni	tɛni
tynyq	tɯ̞nɯ̞χ
tyr-tyr	tɾˈtɾ
tyr-tyr karde	tɯɾtɯɾ kaːɾdɯ
tyraktor	tɾaktɔr
tyraktori	tɾaktɔli
tyri	tɔri
tyringə	tringo
tyrk	tʏɾk
tyrki	tʌɾki
tyrkməniston	tərkmai̯nstoŋ
tyrkyməni	tərkemanːi
tyrnie	tʲɛrnʲa
tyrusik	tʁrsɛk
tyrš	tɯ̞r
tyrši	təɾˈsi
tyršin	trʃin
tyršə	trʃa
tyršəng	tɪ̞rʂæng
tyvoq	tɛvoɣ
tyvoqi	tʊwɔdgi
tyvoqəti	teˈvoɣeti
təhlukə	teˈɾˈʁˈkʰe
təhsil	tɑːˈsɪl
təhvil	tɒːvjl
təhvil doe	tɑːvɪl doj
təjf	tˈaɪf
təjli	tʰˈɛli
təjədast	te̞jædɒːst
təjəčif	tˈʰaɪjɑdʒif
təkon doe	tak hunduɪ
tənho	taːnˈho
tənhoəti	tɑnˈhʊɑtːi
tənyk	tɒnɔk
təpə	tapa
tərčumə karde	tæɾʒuːm kɑːɾde
təsdyq	tastɛq
təsdyq be	tˈɛstə bˈɪd
təsdyq karde	tɛstɪk qɑrdɨ
təslim karde	tɒsliˈm kɒɾde
təsvir	tʃiːzitˈɑːstʃɛvɛr
təsvir doe	tɑsˈviɾ doje
təsvir karde	tɑsˈvæɾ kɑːɾdɛ
təsviri	təsˈfiɾi
təsə-vəsə	tɑːˈsɑvɑːsɑ
təsək	tasˈak
təsəki	tˈɛstʃ
təsərrufat	tɔsɛrɔfɔt
təsəvvur	tøsˈɑmvøːr
təsəvvur karde	tɛsɛvˈur kaɾde
tətur	tatˈuʃ
təturə byzang	tʃiːzi rɛpɪ zɪng
təvə	tɔvɛ
təvən	tɑːmɑːn
təčhiz	tæʒiːs
təčhiz be	tadʒiz b
təčhiz karde	tæʒiːz kɑːɾdæm
təčrubin	tadʒrubiŋ
təčrubə	tʃodʒɔrba
təši	tæʃiː
təši be	tæʃiːbe
təšjən	tɕʰjɛ̀ɲn
təšjəni	taʃjɑːniː
təškil	tɑʃkɪl
təškil be	tæʃkiˈl be
təškil karde	tɒʃkiˈl gɒrdɒˈ
təškilot	tæʃtiːlɔt
təškiloti	tæʃkiːlɒtiː
təšviš	ˈtæʃmiːʃ
təšviš dəše	tʃæʃ beʃ dæʃhæ
təšviš egynie	tˈæʃ vɪʃɛ gɛɛː
təšəkkur	taʃˈakkʊr
təšəkkur karde	taʃˈakkʏɾ qɑɾdɯ
u	fˈ
uels	vˈɛls
ukrajna	oˈkɾojnɐ
umbə	ba
umdəvo	umdabu
universitet	yniˈvɛɾsitet
unuz	ynˈøz
urugvaj	ʊɾuːgoɪ
urusi	bˈɯɾˈɯsi
utoq	butˈɔʁ
uvəzilə	ʊɾɑzɯlɑ
uzbəki zyvon	uzbaki zivun
va doe	vo duj
va karde	væˈkæɾde
vag	bog
vahid	vˈɑːd
vang	vˈɔŋ
vangin	maːnˈgin
vango	mɔŋgu
vangvyž	vɑŋgɯbɯʃ
vangyvos	vˈɒngvˈoˈs
vaqe be	væɢe be
vardəcu	vɑɾdæɾʃu
varz doe	vorɨsduj
varzynie	varzni
vat karde	væt kɑːrðe
vate	vɑːte
vavaz	vævɑz
vaxt	bˈaɾt
vaxtədə	vˈoːxtoˈda
vaz	vˈɑz
vazəru	vozɒˈɾu
vašington	wɒʃɪngtʊ̞n
vašte	væʃtæ
ve	v
vedrə	β̞ed̪ra
vejl	vˈɛl
vek	vˈɛk
vel	vˈɛl
venter	mendeɾ
venčevu	benʒebu
verdy	merde
verdyq	merd̪iq
verə	vˈɛra
vev	vˈɛ
vezə	vɛzɑ
veəzyn	veazɯn
vi	vˈi
vijetnam	vjetnɔm
vijəvon	vˈiavun
vijəvon karde	viˈjævun kɑɾde
vikə	nika
villə	vˈɪlːɑ
villə karde	vilˈla kaɾde
vilojət	mɪlojɑt
vinde	bʲindæ
vindemon	β̞jnt̪un
vint	vˈɪnt
viriski	biz
viriski doe	beˈrɪski duːj
viriskin	bireskɪn
viron	vˈˈɛɾˈoːnˈ
vironə	viˈruna
vis	bˈis
vist	vˈɪst
vite	vite
vitovnie	vitʃɛnˈniː
vivələ	vɯ̞vaɫɑ
viz	vˈiz
vizə do	vizadəˈo
višmandə	beʃmondɑ
višə	vɪʃɑ
višə suk	miʃaˈsˈuk
višə-dašt	viːʃɒdɒʃt
viždon	gyʒˈduːn
viždonin	viːʒˈdɒnin
viəndy	vjande
viəndy karde	biʔɒndɒ qɒɾde
vo	vo
vo ekarde	voje kaːrde
vo gynie	vugˈnii
vo lyve	voɫɯ̞wɛ
vo že	voʒɛ
vohidəti	vojdɑtˈi
voj-voj doe	vojvoj dolo
voj-voj harde	voj voj haɾde
voje	buje
voləj	wulɑj
voni	bony
voni karde	bu nikaɾde
vonə	buɫna
vonə varde	vona vaɾde
voqande	buʁɒnde
vose	vosɛ
vositə	vosɛk
vote	vˈote
votə	butˈa
vovəžə	buʁaʒa
vočib	vo˩˥ːdʒip˥˩
voš	vˈuʃ
vošnie	voʒnˈe
voə	vˈa
voəbučə	voabʏdʒaː
voəžən	voaxadʒɑn
vrədə	vrata
vurmə	bʏɾmɑ
vuru	bœrœ
vuršyvonie	ðurʃɛbˈoniː
vuršə	vurʃa
vučud	vuzˈut
vyl	wɪl
vylo be	vɨɫu be
vylo karde	vɯ̞ɫʊ̞ kɑrdɯ̞
vyni	vˈeˈni
vyniə hyl	vɨ pavʲerɨɫa jaɣɫ
vyrty-vylo	bɔɾtɪvulu
vyrty-vylo be	vɯ̞rtɯ̞wɯ̞ ʊ̞ɫʊ̞bɯ̞
vyrty-vylo karde	vɯˈɾtɯ vˈolʊk haɾde
vyrə	vara
vyz-vyz	vˈɑzvˈɑz
vyz-vyz karde	voz� toz kaɾde
vyzm	uzum
vyzmə	vˈʒʒmˈɑ
vyzzə	vˈɛzə
vyš	vˈɛʃ
vyšk	ʃk
vyškie	lɐʃkɛjw
vyž-vyž	vɨʐvɨʐ
vyž-vyž karde	vʏ̞zʏ̞ʏ̞ʂ kɑɾdæ
vyžg	vˈɛʒk
vyžnejon	vʌʒnˈeˈon
vyžnie	vɯ̞ʒnɪ̞
vyžor	vɑˈʒuɾ
vyžə	vɨʐa
vırdyš	væɾdʃ
və	vˈa
vəbəzijod	vˈabˌɐziˈudʒ
vəbəzijodi	vabazioːdi
vəcə	vatʃa
vədə	mædæm
vəfo	vavˈo
vəfojn	vˈˈafˈoːjn
vəhdə	bɑhˈtæm
vəhdə doe	bɐɦtɨ dˈoɪ
vəhdə se	mɑhˈdɑ se
vəhdənə	væhˈdænæm
vəhišt	vˈaˈiʃtɨ
vəjku	vˈaɪkʊ
vəju	maju
vəjə	baja
vəkil	vækˈil
vəl	vˈal
vəlejbol	paˈɾˈɛgu
vəlokə	ɛɫɔkɐ
vəlvələ	mænvæˈɾa
vən	vˈan
vənči	manʒi
vənčin	mændʒiːn
vənəšə	vanˈɑʃa
vəo	vao
vəomə	vˈɑumˈɑ
vəq	vˈax
vər	vˈaɾ
vər-vər	væɾˈvæɾ
vərdyš	vɒˈɾdɒʃ
vərdyš karde	voɾdʒ qɑːɾde
vərrə	varra
vərrəjn	varajn
vərrəmə	β̞aɾɾama
vərəm	vˈaɾɐmʊ
vərəq	bˈaɾaɣ
vərəvurd	vˈaɾɐvˌuɾəd
vərəvurd karde	vara vʏrt kʰɑɾdɛ
vəs	vˈas
vəsijət	væsjæt
vəsiqə	væsˈʁa
vəslə	væsla
vətən	vætˈvɑ
vətənšivən	vætanʃiːvɑn
vətənšivəni	vætænʃiːvæniː
vəx-vəx	vˈɒxvˈoɾˈ
vəx-vəx karde	mɑɦmɑk gɑːrde
vəxe	væˈxe
vəzarat	vzɾɑt
vəzifə	mozva
vəzijjət	væziːt
vəzir	væziːɾ
vəzirəti	væzɾtʰiːv
vəzəx	mæzæx
vəč	vˈadʒ
vəš	vˈaʃ
vəš doe	vˈaʃ dˈoɐ
vəš gəte	væʃgɑtæ
vəše	vˈɒʃe
vəši	vʃiː
vəšjən	vˈaʃjɒn
vəšəg	vaʃak
xahiš	ɦɑjˈʃ
xahiši	χɑːˈʃiː
xain	aɪn
xainəti	χajnati
xainətkor	χɑjnɑtkor
xainətkori	χɑjˈnɑtkʲeɾiː
xainətkorəti	χɑjˈnɑtkæɾɑti
xali	hɑli
xaliq	χɑlɪq
xalis	ɦɑlɛs
xalə	kɑlɑ
xan	xon
xana	xɔnɔ
xandi	kʰonˈdiː
xandi karde	χɒndiː kɒɾde
xandəx	hˈɑ̃dˈavˈ
xanym	xɑˈnɯm
xanəcu	xɑːnɑːtʃo
xaral	ɑɾɑl
xarič	çɑːristʃ
xariči	xɑːɾe̞ʒiː
xarč	xorʒ
xavzə	χɑːvze
xej	xɛi
xej karde	xe̞j kɑːɾdɛ
xejzon	ɢajzɔn
xejzoni	ɣɛzɔni
xezon	ɣɛzum
xezonomženə	xe̞zənɒːmʃɛnɛ
xing	hˈɪŋ
xolicə	xolɛtʃa
xonə	xuna
xonə-xonə	xonaxona
xorvatija	xʊɾoɑtjeː
xos	xʊʃ
xosqand	koʃkɑˈnˈd
xun	xuːn
xycə	xatʃa
xydmət	xdmɑt
xydmət karde	χædmæt kaːrdæ
xydo	χəˈduː
xyfət	xafʔəd
xyfət karde	xtʰoːtgɑːrde
xylik	xəlˈjɪk
xymb	χmba
xyryš	ɣeˈræʃ
xyvand	ɣ̞ævɒːnd
xyvandi	xo
xyz	z
xyšəvand	xʃaːˈvɑːnt
xyšəvandi	ɣeʃoɑndi
xəbis	xabɪs
xəbisəti	χɑbˈɪsɑˈti
xəbə	xabə
xəbə doe	xabadˈo
xəbə rosnie	xabɒˈɾuːsnˈie
xəbə se	χbæˈsæ
xəbə varde	xɑbɑ bɑːrde
xəbə voqande	xɑbɑ v qɑmˈde
xəbədo	χbdo
xəbədo be	xabadu b
xəbədo karde	xɑbɪd v kaɾde
xədym	xadˈm
xədyməti	ħadmati
xəj	xʰʰai
xəjli	xajli
xəjlək	xajˈlɑk
xəjotə	xajotɑ
xəjr	xɛɾ
xəjrin	xæjɾiːn
xəlləč	xælɒdʒ
xəlq	xal
xəlqə məčlis	χɑlʁɑ mɛtʃlis
xəlvor	avˈor
xəlvət	xavˈt
xələt	χɑvæt
xəmet	χæmˈt
xəmut	ʁamˈt
xəmən	χɛmmˈnɑnd
xəmənəku	χamnɑˈku
xəmənəčo	hemanɑndʒo
xənčil	χanˈdʒiːl
xənəzil	xanaziʁ
xəpo	xʊ̞pɔ
xəritə	χɾiːtæ
xərob	xarˈob
xərob be	xarub be
xərobə	xroba
xərobə be	χaːrɔnˈbɑr be
xəsis	xæsis
xəstə	xɑsta
xət	xɑt
xətkəš	xatkaʃ
xəto	xatʊ
xətokor	xatukur
xətonok	atunˈok
xəz	xaz
xəzinə	xazinʔ
xəziri	ɣ̞ɒːz
xəzon	xɑzɔn
xəzon be	ʒazum be
xəzoni	xɑzˈvni
xəzpuš	xaspˈoʃ
xəzpuši	χɛspʃiː
xəzpušəti	χɛspoʃati
xəzpušəti karde	xasˈb pə ʃatiː kɑːɾde
xəzəl	xæzæl
xəzəl be	xazal be
xəčolət	χædʒælat
xəčolət kəše	xdʒoːlæt kʰæʃiː
xəš	xæʃ
xəšil	xʃiːl
xəšxoš	xʃχʃ
xəšəm	xæʃæm
xəšəmi	xæʃhæmi
yešik	jɛʃiːk
ym	ˈɔ
ymon	ɑ̃u
ymruž	ɐ̃mbɾˈwʒ
ymvrə	ɐ̃ũŋwɾa
yqyn	ɯ̞ʁɯ̞n
ystansijə	plˈɑstɪkɪ
ysə	vˈɛˈsˈa
ysənə	ɑsɑnɑ
ysət	ɔsɑt
ysətnə čəmat bənəj navkonəni ko kardedəni, ysət texnikə heste.	ʔɪk nædʒæmɑt be næˈrige kɔːnæni koːkɑːr ˈdeːdɑːni ɑsd tæxniːki heʃte
yvrə	ɨvra
yvrədə	ɨvrada
yvrəž	ɛβɾaʃ
yšty	æʃte
yštə	bɪst
yštən	aʃtɑn
yštənbəsə	mæʃtænbæsæ
yštənbəsəjnəti	aʃtɑnbaːsaːjnaːti
yštənəpər	aʃtɑnapɑɾ
za	za
zambul	sambˈɛl
zambuləko	zɔmblako
zang	zɔŋ
zangulə	zɒngulɒ
zangələ	zɒngala
zardinə	zɑːrdine
zardəvəz	zɑːɾdɔːbɑːz
zave-zave karde	zɑːbɛzɑːb kɑːɾdɛ
zerən	zɛran
zevel	zɛvɛl
zibil	zˈibɪl
zibəl	zibˈal
zibəl barde	ziːbæl bɑːrde
zidd	zˈid
zidd be	zʲidbe
zijod	zjʊd
zijod be	sjˈud be
zijod karde	ziːrd kɑɾde
zijodə	zjudˈa
zijofət	zjˈʌvˈat
zijofət karde	zjævæt kaːɾiː
zijon	zˈɛnˈo
zijon že	zʲiʊ̞ŋʒʲɛ
zijonin	zijˈɔnɛn
zijonkor	zʏ̞nkʊɾ
zijonkorəti	dʒuːnkoːˈrɑti
zijorət	ziːɒɾˈat
zijorət karde	tʃiːfɾɒt qɒɾde
zijələ	zjala
zik	zˈik
zikkə	zˈikːa
zikkə že	zɪkˈaʒɛ
zil	zˈil
zilkoko	zilkoko
zillət	zjlˈat
zin	zˈin
zin karde	sinˈ kaːrde
zindonxon	zjˈɪmdnɔxun
zing-zing	zɪŋzɪŋ
zinoləton	zinˈuˈlɑˈtun
zinə	zina
zir-zəbər karde	ziːr zɑ bæɾ kɑːɾdæm
zirək	zjræk
zizə	dʒiza
zišango	zʒʒˈɑ̃go
zišangonə	zʲiʂalona
zol	zul
zomin	zɒmin
zomo	zumˈo
zor	zɔɾ
zor-zor	zurzur
zor-zor bəme	zʊɾˈzʊɾ bɛmi
zorəti	uzurati
zoə	zwˈa
zoəti	zʊˈtʃɑː
zu	zˈ
zudo	zˈudˈo
zukkə	sukːa
zukə	dʒˈɛkˈa
zulfiqar əhmədzodə	zlfiːɣaɾɑ ɑhmɑn zɑːde
zulm	zʏlym
zumand	sə-mˈɑ̃d
zumand be	zumˈɔ̃t bˈɛ
zumand karde	ʒimɒn kɒɾdi
zungə	zʏ̞nˈgæ
zut	zʏ̞t
zuze	zøzɛ
zyklə	zˈkla
zykom	zəkɔm
zykot	zˈɛkuːt
zykotə moj	zakutˈɑmˈʌj
zyl	zˈɛl
zylf	zʊlf
zylmot	zɯ̞ɫmu̯t
zym-zym	zəmˈzəm
zym-zym karde	tsimzɯm kaːrdæ
zymbynie	zɯ̞mbɯnɪ̞
zymbə	zɯ̞mbä
zymhor	zɯˈmhuɾ
zymyston	zˈɑmɪstˌom
zymystoni	zˈɑmɪstˈoˌni
zyne	zˈne
zyng	zɐ̃ŋ
zyngin	zəngin
zyno	zɯnum
zynčə	zɯ̞ndʒɑ
zynəj	senai
zynəjn	zajnajn
zynəndə	zɯnɑnˈda
zyr	zɯɾ
zyr karde	zɯɾ kaːɾde
zyre	zrɛ
zyrie	zrjɛ
zyrnie	zrnʲe
zyrno	zrnʊ
zyrrə	zrɑh
zyvon	zɯvon
zyvonəzyn	zˈɛvonɒzəm
zyvonəzynəj	sɪɫunazɪˈnɑi̯
zyz	zˈɪz
zâ	zɛ
zəfəron	zˈfæˈrʊn
zəgə	zˈɑːgə
zəhlə	zɑhɫɑ
zəhlə barde	zæɾd bɑːrde
zəhmət	zɑhˈmɑt
zəhmət kəše	zæmɑd qɑˈʃe
zəhmətəkəš	zˈɑhmətˈakəʃ
zəhr	zɑhˈr
zəhri	zɑhˈri
zəhrimor	zɑhˈriːmʊr
zəhrimori	zɑhˈriːmɔːriː
zəhrin	zɑhˈrɪn
zəhrini	zæhˈrne
zəif	tsˈaɪf
zəif be	zajf bɪ
zəifi	zˈaɛv
zəifəti	zˈaːʔiːn
zəli	zˈaːli
zəlipešt	zælpeʃt
zəmin	zæmiːn
zəmonə	zæmˈvne
zəmonət	zɑmɔnat
zənd	zˈand
zənd karde	zænd kɑːɾdæm
zəngələ	zɑŋgɑˈla
zəngələguš	zæŋgɑlgˈuʃ
zənči	saːndʒiː
zənčir	zaːnʒiɾ
zər	zɑːr
zərbə	zæɾbæ
zərif	zʌrˈiːf
zərofot	zæɾvɑːt
zərofət karde	zæɾfatt kaɾde
zərofətci	zrvotʃe
zərəl karde	zæɾl kɑːɾdæm
çe ğəşənqe, çe şine tolşə zıvon	tsə ɣæʃɑndʒe tsə ʃinɑ tʃiːzi tʃiːzi fɔn
çokoj	tʃuɾkoɾʃ
čadə	dʒɑːdæm
čamaxtə	dʒɑmɑqtɑ
čang	dʒoŋ
čang karde	dʒɒːm qɑːɾbe
čar	dʒɑːr
čarci	ʒɒˈɾˈti
čarəkə	dʒɑːɾɑːkə
čebend	dʒebæmdi
čejran	dʒˈɛjˈɾon
činojətkor	dʒenɔjatekoɾ
čojli	dʒojli
čojlin	dʒojlin
čojlinə	dʒojlina
ču	dʒˈu
čuri	ʒyɫe
čyl	dʒoː
čyn	dʒiŋ
čyvon	dʒivun
čəftərəzə	dʒæftdˈɾæzvɑːr
čəjmə	dʒɒjmɒ
čəl	tʃau
čəld	xˈalˈd
čəlləq	dʒɑnˈdɑːg
čəlləq be	dʒɑllɑq be
čəlləq karde	dʒælˈdɑh kɑːr de
čəlv karde	dʒalf kaːrdɯ
čələsə	dʒɑɫɑsɑ
čəm	dʒen
čəm be	dʒen bɪl
čəm karde	dʒem kaːrdi
čəm že	dʒaːmdʒe
čəmat	ʒæmɑt
čəmdək	tʃɛmdɑk
čəmi	kemi
čəmjəti	tʃæmˈiːˈtiːn
čəmom	dʒɑmuːm
čəmə	dʒama
čənnət	tʃɛnnæt
čənnətməkon	tʃaːnnatʰnɑɟuŋ
čənub	dʒaːnˈub
čərgə	dʒarˈgɒ
čərgəjn	tʃaːrkaːjn
čərəjan	tʃɒːɾɒːjɒːm
čəv	dʒav
čəvob	ʒɑˈvɯb
čəvobdo	zavobdu
čəvəhirət	ʒvɑhiːɾæt
čəzirə	dʒazirɑ
čəzo	tʃaːzʊ
šair	ʃɑːir
šairi	ʃɐˈɛri
šairəti	ʃɑːiːrɑːti
šalpə	ʃalpa
šambə	ʃamˈbˈa
šande	ʃɑndæ
šango	ʃɔŋgɔ
šangonə	ʃɒngˈɒnˈɒ
šangovə	ʃoŋgoa
šangovəsə	ʃoŋvvˈɒsə
šap-šap	ʃɒpʃɒp
šap-šap karde	ʃɒp ʃɒp kaɾde
šar-šar	ʃˈɑɹʃˈɑɹ
šar-šar karde	ʃaːrʃaːr kaːɾde
šartuk	ʃɒˈɾtʃik
šartuk kuje	ʃɒˈɾtyukˈqøɒˈ
šartuki	ʃɔɾtuki
šatə	ʃɒta
šav	ʃap
šave	ʃoˈðe
še	ʃˈɛ
še-omə	ʃauma
še-omə karde	ʃoːn kɑːrde
šebə	ʃˈɛb
šeer	ʃeːr
šej	ʃe
šejpur	ʃepyɾ
šejpuri	ʃeɣpiɾi
šekel	ʃekæl
šekeli	ʃekali
šep	ʃɪp
šepi	ʃɛpʲi
šesty co	ʃestɪ tʃo
šesty dy	ʃˈɛst dˈø
šesty haft	ʃɛst hɑːft
šesty həšt	ʃɪsthæe̞ʃt
šesty i	ʃɛstɛ i
šesty nəv	ʃɛstʰiːnap
šesty penč	ʃɛsˈtɪpɛndʒ
šesty se	ʃɛstjsɛ
šesty šəš	ʃɛstʃæʃ
ševək	ʃɛvæk
šin	ʃˈin
šinəf	ʃenˈaf
šivit	ʃivit
šivən	ʃiβan
šivən karde	ʃiːven kɒɾde
šišə	ʃu˨˩˦ʃa˥˥
šo doe	ʃˈutai
šotlandiə	ʃutɫɑŋtʲi
šure	ʃyɫe
šykast	ʃkɐst
šyng	ʂɛŋ
šyp	ʃɨp
šypi	spi
šyq	ʃˈɛx
šyšte	ʃɯ̞ʂtæ
šəft	ʃæft
šəhryvand	ʃɒhɾˈivɒndi
šəhryvandəti	ʂɛgrɨwɔndotɕi
šəqləkužə	ʃaʁˈlokytʒa
šəqləse	ʃaʁlasˈɛ
šəqləzuzə	ʃɛɢlʊdʒʉzæ
šəqol	ʃɑgʊ̞ɫ
šət	ʃˈɑt
šəvpər	ʃafˈpar
šəvšyq	ʃau̯sˈɛʁ
žang	ʒɔng
žang varde	ʒɒnguaɾde
žangin	ʒˈɑŋgɪn
že	ʒˈɛ
žeci	ʒɛgˈti
žen	ʒen
ženə	ʒˈɛnə
žij	ʒˈij
žimon	ʒˈmɔ̃
žin	ʒin
