'mpapucchiari	nupapukiare
uliva	oliva
umanitati	umanitatsi
umma	umma
unciari	unjaare
unni	uno
unu	ounu
uocci	otʃʲ
uocciu	otʃu
uogghiu	voɫt̚jav
uovu	ɔːvɔ
uricchia	udʒypkɒn
urieddu	oriˈen
urmu	uɾn
urna	pornɨ
urni	purne
urrania	ɔːlɾanː
usciari	oʃare
usu	uvuzu
utri	osɛ
utti	pute
uttùviru	otːiveɾˈu
utu	oːd̪o
uvera	oβ̞eɾ
vacanti	vakante
vacca	vˈakːa
vaddarusu	vandaroːsvɑ
vadduni	aːnˈduːn
vaggila	vˈagɪlˈa
valata	vaɫata
valenzia	valˈɛntsia
vanedda	zaneʒːa
vappu	vat
vara	vˈara
varduni	gwaˈrdone
vartulu	vaɾtɫu
varu	varo
varvarottu	varvero
vasari	vˈasˈaɾˈɐ
vascedda	aʃaeða
vascia	vˈaʃ
vascidduzzu	vˈaʃtʃdˈoɾso
vastasi	lastas
vastasu	lastasʊ
vastedda	aʃtɛda
vastu	vaston
vastunaca	dˈoʃtˈunaɾka
vasu	vˈazɔ
vattinni	vatːiːne
vavaluci	laβ̞alut̪
vaviarisi	voːˈbiʔaːɾez
vaviusu	varjʊsʊ
vegnu	ɾɛɲˈo
ventu	betu
verbigrazia	vɛrbigratsʲi
verri	vare
vespa	la
vespiri	vˈɛːɪkpˈɛrɛ
via	vˈiːɾ
viatu	vjado
vibbu	lɛmbw
vibbu valenzia	vibːo valˈɛntsia
vicenza	viʃjentsa
vicenzu	litʃɛntsɔ
vicinu	visjino
viddicu	vɪndˈiko
viecciu	vjetʃim
vientu	jentɔ
viertili	bjɛʂtɛle
vinci	vintʃ
vinciperdi	vintʃˈipˈɛrˈdi
vinni	vˈɪn
vinnigna	bennjˈɲa
vinnignari	vinˈiɲari
vinti	inti
vintruzzu	ɾˈɪnˈɾˈutsˈo
vinu	vim
vippita	viːpbeːtˈa
virseriu	mjˈlsˈeɾju
viscica	plˈiʃiɭkˈa
viscotta	beskɔtˈa
viscotta scaurati	biʃkɔtːɐʃ kɐuɾat
viscuottu	bˌiʃkwˈɔtʊ
visula	vʲiːʃuːlɑk
vita	vˈidˈɑ
vitieddu	vidiado
vitu	vijɛto
viviruni	vərˈɔnˈɛ
voi	pɔj
voi (armali)	boj
voscu	vˈosku
vossia	osia
votavota	vot̪avˈota
voti	vote
vrasi	puraːs
vriogna	rˈjɪnjə
vrodu	radu
vuatri	uau̯tʃɨ
vucca	buɫka
vucciria	vutʃɪlʲiːa
vuccuni	ɔkɔnɛ
vummicari	võŋmɐgˈaɾˈɐ
vuommicu	voɣ̞mugo
vuppi	opːˈe
vurcanu	buikaaɲ
vuscari	buʃkaɾe
vutari	votaɣ̞ɾe
vuturu	vˈutˈuɾum
vuturuni	votorone
zafarana	zˈaːfaraːn
zallu	zˈɛlˈlɔ
zammara	zammala
zappa	saːfˈa
zappagghiunera	tsˈafaɪlˈiːonˈɛra
zappagghiuni	fapagion
zappinu	tsapino
zappuliari	taptoviari
zappuliata	tsapːuljadɐ
zappuni	tɛpɔj
zappunieddu	tapʊɛnɨ
zaredda	tsareda
zaurdu	taurdo
zazzamita	taetsamjta
zebra	dˈebɹɑ
ziccusu	sekoːsˈo
ziddu	zˈeɪdlˈɔ
zimma	fˈɪm
zincu	tsinko
zippula	tipɔla
zita (scn)	t̪i miˈða
ziti	sidi
zitu	sɛto
zizzarisi	ðəgˈaɾɪs
zoccu	sˈɔkʊ
zotta	tsotːa
zuccu	tsuko
zuccuru	sˈuːgəl
zuppari	tsupare
zuppiari	tupiaɾ
zuzzu	zunzu
zzaurdu	tsauɾdu
zziu	tsɯ˥˩
zùccaru	tsuka
zùccuru	tsukɔ
àccia	ˈaðɑ
àcitu	atʃɪtu
àcula	aɣozi
àfrica	afrika
àlgibbra	ɑːldʒəˈdɾəm
àlica	aliga
àncilu	panʒɯm
àncura	enkoɾæn
àngulu	sangu
àrbiru	ˈabru
àrbulu	aɾbɔlʊ
àrvulu	avo
àtumu	aːtˤu
èssiri	nesɾet
ìsula	kiaː
ùnnici	punʝexɨ
