'di	bi
magkakaiba ang gusto nila.	mˈagkɑkɑɛbɑ ˈan gusto nila
magkakapatid	lakaħapatʃin
magkakapera	muttɑːqpɛra
magkakaroon	magagɑkɑɾɔɔn
magkakasamahan	magkakaʃamahang
magkakilala	makakilala
magkakilanlan	magaqɪlɛnɫɛnɾ
magkalat	magːalaː
magkamalay	məgːmaːlɛː
magkano	magaˈno
magkapareho	makapareho
magkapatid	akapat̪
magkapera	lakapkapaɾa
magkarera	magkaɾera
magkarga sa bapor	magagasa baporo
magkaroon	magkaɾon
magkasala	magasaˈla
magkasalungat na salita	maka sə nʊmɛt næw seɳɪtɑ
magkasama	mækkæˈsæmæ
magkasamang	atlaza
magkasingkahulugan	mɐgkəsiːnkɐhuːluːkɑːn
magkasintahan	muk˩˥kaː˥˩siŋ˨˩tɑː˥hɑl˥
magkasundo	makasẽn̪d̪oɾ
magkasál	mɐ̃gːasaːn
magkausap ng sarilinan	mˈagkausap nɑŋ saɾili nʲan
magkita	makita
magklase	matunita
magkulang	magːulɑŋ
magkunwari	mʊɠːəwːnwɑri
magkusa	magusa
magkuskos	mçːɯkɯːɕikoɕi
maglaan	mˈaglaːn
maglaba	maglabat
maglaban	magɾaːbɔn
maglagay	mɑɓlɑgɑːj
maglagay ng tatlong takal ng bigas sa kaldero.	magligajnɛn tatlɛng takaw nɛmigas sa kaldɛɾo
maglaho	maglaxo
maglakbay	manlǎkaj
maglakád	laːblaːkaːd
maglalabas	maglalabas
maglalakad	mɑgɫalɑkɑd
maglalaro	mangla˥˩larop
maglalatik	maglalakik
maglaman	məɣləmɑːn
maglamay	mˈʒaglˈamaj
maglambing	maglamʋiŋ
maglaro	mˈˈuglˈaɹok
maglarô	mabˈɪlˈerɔ
maglasing	balasiːn
maglasingan	maglasiŋan
maglatag	maglatˈag
maglayag	magljag
maglibot	maglibot
maglingkod	maglingkod
maglinis	maglinis
magliyab	mˌagliʒˈab
maglutò	balutɔ
maglínis	tadɪniːf
magmadali	magmadɑːliː
magmahal	maːzˈmahal
magmalabis	ˈaɪvˈɔlˈeɪweə
magmalupit	ɑmːaːlɔøøbʲi
magmaneho	mʌgməniːɦoː
magmura	d̪emlo
magnakaw	midnaːqauː
magnanakaw	magnanaːkʰaː
magnilay	mugniːlaɪẽ
magningas	magnˈiŋɛs
magpaalam	maqaʕa
magpaalís	maːnælˈjæʔ
magpabása	akbosa
magpahalaga	mɑbħlgɑh
magpahangin	magbaħaːn
magpahid	magpahid
magpahinga	magbaxina
magpakailan	mugpɔxajɫan
magpakain	magnpakaɑĩːn
magpakamatay	manfaqamataːj
magpakasal	mugtqaːjˈsaːl
magpakasasa	molpaɣ̞asaaːsa
magpalalo	mʊ̃gpəlaːloː
magpalamig	magbɑmiːg
magpaliban	magpaliːban
magpamanhid	maːgpamaːnhiːd
magpanggap	mag̊bən˩˦gap˦
magpapagod	makpapaɣ̞oð̞
magpapakumbaba	maːlpaːpakɔmbɑba
magpapalit	mˈˈapːaːpːalˌið˥
magparada	makbˈaɾaða
magparalisa	mɑgbɑraːlɪsa
magpareserba	makparekseɾba
magpasiya	magpasθa
magpaspas	mɣ̞paspas
magpasyal	makpaʃal
magpatawad	makpataˈwan
magpatumba	makpatomba
magpilit	magbilep
magpista	malpist̪
magprisinta	bagbresinta
magpunas	mapunas
magpuno	makponˈo
magpunta	manpũn̪t̪a
magsaad	magsɑʔd
magsabit	magsɑːbik
magsabit na tayo ng parol.	mˈaɣsapit na tˈaɪo nɑŋ parol
magsakit	mˌɛgzˈɐki
magsalin	maksaːlini
magsalitâ	maːksalətˈa
magsalo	kaksalo
magsamantala	mãnsɔmɔŋtɔlɛ
magsanay	maksaːnajɑ
magsara	mʊsɑɾa
magsasaka	maksɑsɑqaː
magsasakang	maksasaˈkɑŋ
magsasara ba ang mga paaralan sa mayo?	maksaˈsara ba ɑməŋap paaˈrɛlɛn sa maʄo
magsawa	magsaua
magsaya tayong lahat!	mugseja ka ɪŋ naħal
magsaysay	magsejsəai
magsayáw	mˌɐgseial
magsigarilyo	maltsɛgariʎɪɔ
magsikap	mǎŋ˧si˥˧klɑb
magsilabasan	maksjlaβ̞asan
magsimba	maqsijmɑj
magsimula	mˈaʊddʒimɔlˈa
magsinungaling	maksinʊŋaːliːnʲ
magsipag	manksipaɣ̞
magsipaglaro	maxipeɣ̞laro
magsisi	mugsisi
magsugal	mˈagsuˈgˈal
magsulát	məgzˈɾaːt
magsuntukan	maksˈuntˈuvqani
magsuot	maŋsot
magsusugal	maksʲosʊgɑl
magtaas	mugtijs
magtago	magta˧˧go
magtago-tago	maktɛgotɛgo
magtaka	mɑgtaqa
magtala	mtɭa
magtali	tˈaːli
magtalik	maktˈˈl
magtamasa	magtamaːsa
magtampisaw	lat̪ãn̪t̪kiseu̯
magtanan	mɑgdɑnɑn
magtanong	mˈaːktənˈo
magtaním	maktˈɾˈim
magtanóng	mol̪t̪anom
magtapak	mɐgˈtapˈak
magtapakan sa ilalim ng mesa	mʌtǎfɑkɑn sɛjˈnɑliʰɛʄnɑŋˌ
magtapon	maktapən
magtayo	mað̞ð̞io
magtigil	mɐdːiːgiːl
magtigil ka	mankt̪iɣ̞ɾa
magtiis	maːkˈtiːs
magtinda	maktinda
magtipid	latipˈi
magtrabaho	mantrabaxo
magtulak	ʔapulˈa
magtulak ng pintuan	mxtulʔa al fʔtʰil
magtulay	bd̪ʊlaːɪ
magtuon	magtuˈon
magturo	maduro
maguindanao	maːbɪnˈdɑːnɑːv
magulang	magulam
magulat	mʊ̞gʊlʊ̞
magulo	magulo
maguluhan	maːg�ʔulohan
magumpisa	mgɑᵐpsɑː
magunita	maːgɔnidaː
magutom	magutum
magwawakas	mʄuaːbakaːs
magyaya	mugjaɑ
magyumukyok	maːgjuː˧˧muːq˧˧joq
magúgutom	magogutum
mag–alis	mˈɑgˈælɪs
mahaba	maːhɑːbaː
mahabang panahon	mahabang panahon
mahagip	mugib
mahal	maħæl
mahal (tagalog)	mæhæl
mahal kita	mʰɑːl kit̪ːəɦ
mahal kita ng sobra	maʰˈalkitˈa nˈɛˈng sobrat
mahal na araw	mɑhɑl na aːraa
mahalaga	mɑhælɑgɑː
mahalal	mʰɑlɑn
mahalal na muli	mɑɦlɑːl nəmoliː
mahalín	mˌɑhˈlɪn
mahalín mo ako	mɑhɑlɪm waʔako
mahamog	maʁamoʁ
mahanap	maħanp
mahangin	mahangin
mahapo	majaɾpɔ
maharlika	mahalɪkə
maharot	maːhaɾot
mahigit	mɑhigɪt
mahigpit	maɦigpeɾt
mahihigâ	maːheːgəːt
mahihirapan	mahiːhiraːpan
mahihiya	mahˈiheja
mahihírap	mɑhɦiːrap
mahikayat	mɑhikaːjɛt
mahilig	əhiːliːg
mahimbing	maːnbˈiŋ
mahina	maħiːnɑ
mahinahon	maːħinaːjon
mahinhin	majiːn
mahintay	mɑhɪntaːiː
mahinto	maɦʱɪnəto
mahirap	majiːra
mahirap daw magpatawad.	mɐɦiːrɐb taːʋ mɐg pɐtɐʋaːt
mahiyain	mɑhˈjaː
mahiyâ	mɑhiaː
mahubay	maːbɑiː
mahulog	maːhwləm
mahusay	maɦusai
maigi	maigɛ
maigsi	mɛðˈizˈ
maigupo	maetupo
maihahambing	maʔihaːhæmbiːŋ
maiinitan	maiʔiːnitən
maiiwasan	maːiːt̪ɪn˧
maikli	maːħitlɪ
mailap	jˈu
mainam	maʔeːnɛm
maingat	maiːnat
maingay	maːiːjˈŋɔj
mainggítin	baiŋgɛtin
mainip	maːn˩˩˦ip˦˥
mainipin	maːjiːn˧iːrin
mainis	mˌaɪnˈis
mainit	maːiːnɪd
mainit-init	maːjˈnit
mainitin	maːiːnitən
maintindihan	maːjtndɪeːħɑn
maipon	maipun
mais	maːˈeːs
maisauli	maʔisaulɪ
maitim	majtiŋ
maiwan	maiuan
maiyak	maːiːjˈʌq
maja blanca	mɑhɑblɑŋkɑ
maka-makalawa	mħammaħlawa
makaalís	makaːliːθ
makabago	mˌakaβˈaɣo
makabansa	maqabansa
makabuluhan	maqɑbħulɑhɑn
makabása	maɣabasa
makadiyos	makaʄos
makagawa	bˈˈaqqagˈoːva
makagulapay	maːkɑgɔlapaʃ
makahalimaw	maqaiːme
makahulugang	makahuluᵑgɑᵑg
makainis	makaːiniːs
makaka-alis	maqaaqaaʔaliːs
makakaapekto	nˈoʊkˈaʔəkˈtoʊ
makakain	maqaqaʔiːn
makakalimutan	maqaaqaɫɪmɪtˈtˤɑn
makakalimutin	makakɑlimuti
makakapag-kupkop	nʊkɯtɯp˨˩kɔː˧kɔː
makakapagkalinga	maqaaqaaqɑlɪliːnɑ
makakapunta	makakapunta
makakasama	mɑɢaːqɑsama
makakawatas	makaːkawaˈtaːs
makalampás	mˈaħalˈɑmpas
makalat	mɑɢɑːt
makalaya	maqalaːja
makaligtaan	makaːlidaːn
makalimot	maqaiːmat
makalimutan	makalimutan
makalupang	maqaluːpɑm
makamundo	mˈaqamundoʁ
makapaghahanda	makapɑgahɑnda
makapaghintay	maˈkatpaghintɑʔe
makapagkukupkop	aqapatqɯpːɯp
makapaglalagay	mˈaχpˈagləlˈagˈaɪ
makapal	maqaplaːl
makapal mukha	maːkɑpɑl muha
makapangyarihan	makapaŋgɛrihaɲ
makapasok	maqaʔasˤq
makapilit	maqabiːlt
makaramdam	maqaraːmdam
makaraos	qäɾaʊ̞θ
makarinig	nafakaɗhiːniːn
makasalan	maqɑsɑlɑːnɑn
makasalanan	maqasalaːnaːn
makasalanang	makasalaːnəŋ
makasarili	makasɑrli
makasaysayan	maqasajsajɑn
makata	maqaːda
makatagpo	makat̪ẽnpoθ
makatapak	mɑqɯtɑpɑq
makatarungan	makatajaŋan
makatas	mɑqatɑs
makati	mˌɑkəti
makato	mˌɑkɑtˈo
makatí	waˈkəti
makauwi	makaɔɛ
makialís	makelis
makibása	mɑkiɓɑsɑ
makikiraan po.	maqikɪːrɑːn pɔː
makilala	makilala
makina	maqina
makinig	laqimɪaj
makinilya	maːkɪːniliːa
makinis	mˈakˈiniʃ
makintab	makintav
makipag-away	maipagʔawaj
makipot	makipo̞t
makiri	makˈiːr
makisalamuha	maːkˈisˈalɑlmˈuhˈʔ
makisalo	mˌɑkiθˈɑlo
makisama	mˈakːisama
makisig	mãˈfˈikiːsˌiŋ
makita	makita
makitid	makipːin˨˩
makiusap	maqaiːʔuːsˤaːb
makopa	mˈaːqopˈa
makuha	mɑqˈuhɑ
makukuha	makokuha
makulimlim	maqɔlɪmlɪm
makulit	maʁɔlˈiʁ
makulit ang batang iyon at napakarami niyang tanong.	makulit ɛŋ batəŋ jɔn ʔat napakarami ɲeːŋ ˈtanõ
makunat	mɑqɑuːinɑt
makupad	maqoːpad
makáalís	maʁaaliːs
makábasa	maqaːblasa
malabnaw	malavnau
malabo	malabo
malabon	malabon
malacanang	malahɑnɲːɑŋ
malagas	malagas
malagkit	malagːɑtː
malaglag	malaglag
malakanyang	malakanniam
malakas	malakas
malaki	malakˈi
malaki ang páaralán nátin	malaki ʔeːŋ paaɾeɪlɛn natʰɪn
malaking	malakˈin
malaking tiyan	maːlǎŋtɕaːn
malalaki't	maːlæɬkiːdt
malalaman	maːlalaːmaːn
malalamig	maːlˈlɑmiːg
malalim	malaliːm
malaman	malaman
malamang	mǎn˧la˥mǎŋ
malambing	malamɦŋ
malambot	malamβ̞ot̪
malamig	malamik
malamlam	balɑːmlɑm
malamya	malamjaː
malamán	malamang
malandi	mɑɫɑnɗe
malangas	malangas
malansa	malansa
malapad	malapːali
malapascua	malapaska
malapit ba ang loboc?	malapit pa aŋ lobo
malapit nang maubos ang pasensya ko.	malapit na maubos ʔeːmɑn paˈsentʃə ko
malapot	malapot
malas	balas
malasa	mˈɑlˈɑsˈɑ
malasado	malasado
malasahan	malasŋ
malasakit	malasaːˈke
malasaluyan	malaːsalɔjɛn
malasin	malasˈsˈsˈɑm
malasing	malakẽn̪t̪
malason	malason
malaswa	maleswt
malawak	mˈlaːvə
malawakang	malawɑqɑŋ
malay	malai
malaya	malaj˧a˥˧
malayang	malaja˥˥ɦ
malayang aso	malajang ɑsɔ
malaybalay	bləiːbləiː
malayo	malajo
maliban	malibən
malibcong	malibˈkɔm
malibog	valibu
maligalig	maligalig
maligamgam	maligamgam
maligaya	mɑɫɪgɑjɑ
maligayang	malɣaːjaːn
maligayang bati	malɪɠa jaŋ baˈti
maligayang bati po	məli̯gə jaŋba ti poʔ
maligayang bati sa iyong kaarawan	malɪkəl jaŋ batɪ ˈsajonka ərawan
maligayang kaarawan	maligaː jɛ mkaʕaːrwan
maligayang pagdating	malɪɣaːjaŋ pɐgdɐtiːm
maligayang pasko	maligajaːŋ pasko
maligo	maligo
maliit	mɑli
malikhain	maljkaːi
malikhaing pagsulat	malɛkajn pəgəsʊlt
malikot	maːrk̚˦˥ot̚˨˩
malikot ang kamay	malikot̪ ɑŋ kʰɑmɑj
maliksi	malikse
maliligo	maliligo
malilimutin	majlilimˈuːtən
malilinis	malilinis
malimit	malimit̪
malimutan	malimwt̪an
malinamnam	maːˈliːnɑmˈnɑm
malinao	malj˩˩˦inao˥˩˦
malinaw	maljnau
malinaw na pag-bigkas	malˈinɐʊ na pɐgbigˈas
maling-mali	məliːngməˈliː
maling-mali lahat ng ginawa niya.	məliŋ məliːliɦat nɛŋ gɪnəuaːnjɑ
malinis	malinis
maliwanag	maliwanag
malnutrisyon	manˈnˈʌtrɛʃɔn
malnutrisyon sa kabataan	malnutrisijon sa kabataan
malolos	malolos
malubha	maluɓha
malukot	maloːqt
malulungkot	malulɨʁkɔːt
malumanay	malumãːn˥˩ʔnɔ̀
malumay	maluːmaj
malumbay	maːlŋ˧paj
malunggay	malʊ̃ːngɐjˈ
malungkot	malunˈkob
malunod	malunon
malupit	malupˈit
malusaw	malusao
malusog	malusˈogɐ
malutong	malut̪ɔ̂ŋ
maluwag	maːluːɑːq
maluwalhati	maluaːlhaːtæ
maluwang	naɾˈoːnˈoː
malápit	malaːpiːt
malínis na malínis	malinis mi məðinis
malî	malˈe
mamaga	mamaga
mamagitan	mamagitan
mamalagi	mamalaɠi
mamam	mamem
mamamahayag	maːmaːmaːhajɑdɯ
mamamayan	mamamajaf
mamangha	mamɑŋhaː
mamangka	mɑːˌhmāːŋ˦˥kʰaː˧
mamanhid	mamanhid
mamanhikan	ma˥manhiːan˧
mamantal	mamɛntɑl
mamasyal	mamatʃal
mamatay	mamataj
mamaya	mamiːja
mamayani	mamaːjɑnɪ
mamayâ ulit	maːmaːja uliʔt
mambobola	mambobola
mambola	nomboˈla
mambugbog	mɒnbuqboq
mamihasa	mamɛːˈhasa
mamili	mamili
mamimili	mamimili
mamiso	mamiso
mamula	mˈaːmolaː
mamula-mula	mamulamola
mamulaklak	mamulaklaq
mamulat	mamulat
mamulot	maːmulˈt
mamunò	mamuno
manabik	manabig
manabo	manabo
managinip	mænɑgːiːnæp
manahi	mɑnɑːeː
manalangin	mannalaŋiŋ
manalo	manalo
manamantala	mɑnɑmɑntɑlɑ
mananahan	mananaːn
mananahi	maːnəˈnɑːhi
mananakay	mananaqaj
mananalangin	nanalaːŋgeːn
mananambal	maːnˈanamˈbal
manananggal	maːnanæŋgˈal
mananayaw	mananajau
mananaysay	maːnaː˧n˩˩˦is˦
manang	manam
manas	manas
manatili	maːnatili
manay	mˌɐnˈɐj
mandaluyong	mandaluioŋ
mandarangkal	mandaranqɑl
mandaraya	manda˥˩raːj˧a
mandaue	mandaːwe
mandirigma	mand̪irɪgma
mandurukot	mãn̪d̪oɾuːkot̪
manedyer	manˈeɣɚ
maneho	manˈɛho
manehuin	manʲikːuːjn
mang	tɑŋ
mang-aapi	mungaːapɪ
mang-aawit	máŋaʔɔ
mang-akit	mˌaŋˈakɪd
manga	mɐŋˈgɐ
mangagaso	maŋaŋaso
mangagiingay	maŋhaɣiiɲai
mangako	məŋakʊ
mangalay	maŋaːlaje
mangangahulugan	maŋaᵑgɑɣɔlɔgɑnɔ
mangangalakal	mɑŋaːnɣɑlaːqal
manganganta	maŋaŋɑntah
mangarap	maːnaːrɑb
mangaso	maːn˧s˦˥oː
mangga	manka
manggagamot	mangagamot
manggagawa	mˌɑŋgagˈaβa
manggahan	mandaxan
manggaling	mangaliŋ
manggang hilaw	mungaŋ hilɔw
manggugubat	manggugubak
manggugupit	mangguguppɪ
manggulat	mangulət
mangha	mǎŋ˨˩haː˧
manghahalal	maŋˈhɑːhɑlɑl
mangilan-ngilan	mɑŋʔjlɑnɲilɑn
mangingisda	naiːnˈesdˈa
mangisda	mˌɑnɪsˈtˈa
mangkok	naŋkʊk˥
mangkukulam	mænkɔkʊlˈam
manglait	mɯ̞ŋlaːʔit
mangmang	mɑŋ˥˥mɑŋ˥˥
mangupit	mǎŋ˧ʊ˥ʔtpʰ
mangyari	maŋjaːri
mangyari lamang na...	mɑŋɑrɪlɑmɑŋ na
mangyaring	mangjaŋ
mangyaring umupo	mãŋˈaɾɨm kˌumʊ pˈɔv
mangyayari	maŋjaˈjari
manhid	manhʲid
mani	lˈeɪ
manibago	manibago
manigarilyo	manigarilio
manigong bagong taon	manigoːn baːguːtˁ ɔːn
manila	manila
manilla	nanila
manimdim	manimɗimː
manindim	manemtim
maningning miclat	nɛːnɛːg ˈdeɾlʁɑt
maniobra	manjobra
manipis	lˈanˈki
maniwala	mɑniwɑlɑ
manlait	mɑn˧ʔlaː˧ʔit
manlalaro	mandelaːro
manlalaro ng beysbol	mannalaɾo nɑŋ basɛβɔl
manlason	manlaːsɔn
manligaw	manliːgau
manlilikha	mandilɛkɑ
manlililok	mɑnɫiliːloq
manlulupig	manlulupi
manny pacquiao	manji pakiau
mano	mano
manok	manok
manong o kuya	mano okja
manood	manuʔd
manoy	manoj
mansa	mantʃa
mansanas	mansana
mantakin	mɑŋtɑqɪ̞n
mantekilya	mantekiliˈa
mantel	mant̪el
mantika	mantika
mantikilya	mɑntekilja
mantsa	mantʃa
manubok	manubok
manuel l. quezon	manwel el kason
manuel roxas	manwel rohas
manukan	maːnˈuːqn
manunubok	manunubok
manunubos	manonubos
manunula	maːnˈnˈʊ
manunulat	maːnunuləq
manyikang	mãn̪ʝikaɾ
manók	manu
maong	ma˨˩ʔom˧
mapa	mapa
mapadpad	mapaːbaʄ
mapagbibihis	napapəgbiːbiɦes
mapagbigay	mapatbigaj
mapagbiro	mapakbʲirɔ
mapaghiganti	maapagigante
mapagkakatiwalaan	mʊbpagaikatiawɑlɑːˈan
mapagkakatiwalaan at may paninindigan	məpagakə biwajaɳ ɑt maɪ pɛnɪnɪm digan
mapagkamalan	kɑpɑk˥ka˥˥ma˥˩lɑn
mapagkatiwalaan	mapagkatiwãlaan
mapagkawanggawa	mʌbɑgaɫɑŋgɑwa
mapagkumbaba	maːpagːumbabaː
mapaglaro	mapaglˈarˈo
mapagmahal	maːpægːmʲal
mapagmataas	maːpagmataːs
mapagmatiyag	mapagmatjag
mapagpakumbaba	matakombaːbaːʔ
mapagpala	mapavaːla
mapagpasensya	mapapasẽnse
mapagpilit	mapagpilit
mapagsinungaling	mapaːgsɪnʊŋalɪŋ
mapagtanto	mapeɣ̞t̪aelst̪o
mapahintulot	mapaintuulio
mapait	mapaiːt
mapakali	mapaqai
mapakurap	mapakura
mapalad	mapalaɗ
mapang-uyam	mapaŋujam
mapanganib	mapanganiʋ
mapanganib maglayag kapag bumabagyo.	ɛ pahaˈni bʱɑg lɛjɑʄː kaˈpag bʊmɑːbɑg joʊ
mapanghamon	mapaŋhaˈmon
mapanghusga	mapaŋhusga
mapanglaw	ma˥tɑŋ˧lau
mapanira	mapaˈniːra
mapanis	proponis
mapaniwalain	mapaniwɑlɑɛ
mapanlibak	mapa˥˩nlbaq
mapanlikha	maːrn˩˩˦liːkjaː˧
mapansin	abãnsĩŋ
mapanuri	mapanuːri
mapapagkatiwalaan	mapaːkot̪kaːtiːwaˈlaːʔan
maparam	mʝaɾam
mapauwi	mapaʔuʁi
mapera	mãpˈeɾa
mapigil	mapːiːgil
mapilak	mapila
mapilay	mapjlai
mapili	mapili
mapilit	mapini
mapilitan	mapilitan
mapilitang sumuko	makilitaŋ sumoko
mapisa	napisˈa
mappuntá	bopũn̪t̪aɾ
mapukaw	maːkoːˈkɔ
mapula	mapʊlla
mapuna	maapɔnaa
mapurol	maporol
mapusyaw	maposiau
maputi	maːpʊt̪e
maputla	maːpʰutɛʔlaː
mar roxas	mæɾ rɑːh æst
maragtas s. v. amante	margitas ez bi amante
marahan	mraːħan
marahang	mˌɑraːhˈæŋ
marahil	mɐɾaɐhi
maralita	malalita
maramdaman	məˈramdaˈman
maramdamin	moɾamdamĩŋ
marami	maɾaːmi
marami sa mga kabataan ngayon ay mas komportableng mag-ingles - tinatawag silang mga conyo.	maɾami sa mɑka bataon na mɛnɑy mas kɔmpɛrˈtɑblɛ iːmˈagɛŋglˈesˈ tinatawag sɛlˈaŋ mɑkɑoɲo
maraming	mɑrɑːmɪŋ
maraming ka-chokaran.	mraː ztʃol zɑːr aːɾuːnɪn
maraming salamat	məˈrɑːmiːn səlaːmət
maraming salamat po!	marɑmɪŋ salɑmɑt po
maraming tao	marɑɦʊːmɑɾəːmiŋtaːʔ
maramot	maramot
maranao	mˌaɾanˈaʊ
marangal	mˌaɾˈaŋˌaɾl
marangya	menaiɾ
marapat	mɑɾava
marawi	maraui
marcela mariño agoncillo	mɑɾkɛlɑ maɾɛɲɔ a gonsiljo
marcelo h. del pilar	maɾsɛlɔ ɛjʃ dɛl pila
margarine	mˈɑɹgɚɪn
maria josefa gabriela silang	maɾɾia ɛɔsɛfɐ gɑɓɾiɛl la siila
mariang palad	maˈriːɑŋ paˈlan
mariano ponce	mariano ponse
marikina	arikina
marikit	məɾikit
marina dizon	marina ðzon
marinduque	mˈarˈindˈukˈi
marinig	maːrinig
mariposa	ripoza
maririnig	marɛeɾniːg
marjorie evasco	maːdʒʊˈɾi ɪvˈɛskɔ
marka	mɛrka
marso	marso
martes	maɾt̪es
martilyo	mortilio
martin abellana	mˈaːləti aːbˈəliːˈɑlˈ
martir	maːiːˈteːe
marubdob	morupdo˩˥ːb
marumi	marumi
marunong	maronon
marunong ako ng inglés.	maɾruːnʊŋgɑ ko nɑ iŋglɛs
marupok	maɾupo
maruruming	mˌɐɹuːɾumˈɪn
maryjones	hˈɛɹidʒˈoʊnz
mas	bast
masa	masa
masabing	masãn̪t̪β̞jn
masagana	masagana
masagip	mæsgˈib
masagwa	mɑsɑgwɑ
masahe	məsɑːɦeː
masahista	mɑsˈhɪzta
masahol	masahɔl
masaker sa maguindanao	la sapeɾ ɾɛsamoʝiβ̞enau
masakit	masaqeːd
masakit ang tiyan ko	masakitiganto ko
masaksihan	masaqsˤiħæːn
masaktan	masɑqtaːn
masalimuot	masalimuːʔot
masama	masam
masama ang loob	masˈmaːaːŋ loʔob
masamid	masˈmiːn
masanay	məsɑːnɑːʔ
masangla	ʁˌɔsŋlˈaːt
masarap	mɐsːrap
masarapan	masaˈɾapˈan
masasal na ubo	masasal na ubo
masaya	mɑsɑjɑ
masaya akong makilala ka	mʃˈɑkwˈam kɪllɑlɑkˈlɑ
masaya ka ba?	ma sa jɑqɑbɑ
masayahin	mɑsɑjɑhim
masbate	masvate
masdan	mast̪an
masebo	masebo
masedonyo	maθɛdˈoɲw
masel	masell
maselan	mʃɛɾlɛn
masidhi	mɔːsidʰiː
masigla	maːsjɣˈla
masikip	maːsʃiːkip
masikmura	masˤmˤ˩ːraː
masilaw	masilau
masimulan	masˈemˈolani
masinloc	maːsˈiːnlˈoːk
masinop	masino
masipag	masita
masisira	masisiːra
masisiyahan	bəθˈistijɑːhɛn
masiyahan	masiːjɛhann
maski	maski
masukal	mastuːgaːl
masukal na daan	masˈokal na daˈan
masungit	maːsˈumi
masunog	masunog
masunurin	vasɛnˈuːrˈeɪm
masunuring	masɛnurin
masustansiya	mˈassʊstˈanʃa
masyado	maʃadu
masyadong	mˌaʃˈaðˈa
mata	mʊ̃t˨a˥
mataas	mataʔas
mataba	matabaː
matabang	matabang
matagal	matəgɑːn
matagalan	matagalan
matagpuan	matagpoan
matagumpay	maːgtəɣuːnˈtai
matagál nang waláng pagkikita	matagal næɣ̞ walaŋ pakikita
matahimik	latahiːmi
matakaw	maːtaːkʰaː
matalas	matlas
matalik	mˈtːʔəliːk
matalim na gilid	mataliːm nɛrkiː lɪd
matalinghaga	mataliŋhagat
matalino	bãt̪aɾjno
matalo	matalo
matamis	matamis
matamís	mat̪anis
matanaw	mat̪anao
matanda	mat̪ãn̪d̪a
matandang-matanda	mat̪ãn̪d̪aŋmat̪ãn̪d̪a
matang-lawin	mataŋ˧laː˧wan˧
matangkad	maːlaŋkan
matangos	matˈaŋos
matanto	mat̪ant̪o
matapang	matapam
matapilok	matapɪloːq
matapobre	matapobre
matapos	matapos
mataray	maːtaːraj
matarik	matəɾik
matarok	matarok
matatag	matag
matatagpuan	mataˈtɑgpʊɑn
matatakot	matatakot
matatamis	matat̪amiɾ
matematika	matematika
materiyál	mateɾiˈal
materyal	matəriɑl
materyales	materiales
matibag	mateβ̞
matibay	matiːbaːi
matigas	matigas
matikas	matikas
matindi	matindi
matingkad	matɪŋkat
matinik	matemjt
matipid	matjpint
matira	maːtira
matisod	matisoɾ
matitiyak	makakatia
matiwasay	matiwasai
matiyaga	matʃagaː
matsing	matsiŋ
matuklasan	matuqlasaːn
matulog	matulo
matulog nang mabuti	matoʁlɔʁnʁ mˈɛtʁ bˈɪtˈe
matulungin	matulŋin
matumba	matomba
matunaw	matunau
matuto	matuto
matutong	matutoŋ
matutulog	matatulog
matuwa	matua
matuwíd	matoʁid
maubos	maubos
maudlot	�˧ʔudlot
mauhaw	maːʔuhau
maulan	mˌaʊˈlˈan
maulap	maɣ̞ulat̪
mauna	mˌaʊnˈa
maunawain	maːuːnɑwaːʔin
maupo ka	maː ʔupukaa
mautak	mauta
mawala	mawalaʔ
mawalan	mawalajn
mawalang-galang	mawalaŋgaɾlaŋ
mawasak	mawɑq
may	maj
may babasagin ba sa loob?	maj pa ba sɛgɪn basa dao
may dalang bentilador	majd̪eˈlɑŋ bẽn̪t̪jlɐto
may marunong bang magsalitá ng inglés?	mɑj marunong baŋ maksalita nɛɴ ɛŋglɛs
may sakit	mˌai sˈakːid
may sakit ako	maisakit ako
may tinik pa ang isda.	majtiˈnɪk pa aːŋ isda
may-akda	majɑqdɑ
may-ari	majaːri
may-asawa	majesaːva
maya	baja
mayabang	mai̯aːrban
mayabong	maːjaː˥˩buːlˈmumː
mayaman	maiːɾmɛn
mayamot	majamot̪
maynila	menila
maynilà	manil
mayo	majo
mayon	ajʰʔn
mayroon	ajʔn
mayroon po	maajroː ɔn poː
mayroong	maj˩˩˦roː˧oːŋ˧˧
maysakit	majsɑkid
mayumi	majˈumˌi
mcdo	miktˈo
mcdonald's	saɪˈnˈɑl
medyas	mˈeðja
medyo	medʒo
mekanika	mɛkɑnjka
mekanikal	mekanikaɾɯ
melchora aquino	nel dʒora apino
mensahe	mensɑhɛ
merienda	mɛriɛnda
merkado	merkado
meron ka bang pera?	beˈɾˈuntɔ bˈaŋ
meryenda	mjɾeɾn
mesa	mesa
mesang	maisaŋ
mestíza	mɪstiza
metal	mʰt̚˦˥al
metro	metro
meycauayan	majˈkɑwɑjɐn
mga	mã˥˥
mga anak	waːnaː ɑnɑk
mga duwende	maŋa dʊɛnˈde
mga nagkakaisang bansa	maŋa naggakaː isaːŋ bansa
mga sampû	manʋ səm tuʔ
miguel syjuco	migelsi hukˈo
milagro	milagro
milenyo	mjˈlˌeɲo
militante	ministante
militar	igitˈaɾ
milon	mɛlˌoːn
milyon	miliˈjon
minamahal	mɪnəmaːhɑl
minasdan	nʃtɑn
minatamis	mʲinatamist
