0	nɔla
sigurno	sjɛnguɾnɔ
sijarinska banja	sɪˈarɪ skabai
sijelo	sieːlˈɑp
sijeno	sˈiɐ
sijera leone	sijɛɾa lɛɔne
sijeći	sijɛtʃip
simptom	sɪmptɔm
sin	seən
sinagoga	sinagoga
singapur	sʃŋgɐpˈur
sinoć	senˈʌtʃ
sintaksa	sɪnˈtaksˈa
sir	siv
sirija	sˈiɾjɐ
siromah	sɪrɔmax
sistem	sˈɪstəm
sit	sɪt
sitno	sipno
siv	sˈiv
siva	siva
sivi	sɛ
sjajna	fˈa
sjajnost	sianoi
sjeban sam	sɪ abˈantsa
sjedi	sjˈedi
sjedinjene američke države	zjɛdinʲa na ɛmeˈritʃkɛ dɤrʒɛvɛ
sjeverna koreja	sʲi e̞ve̞rna korɛja
skejtbord	skˈɑskˈɛbˈolˈɛ
skender vakuf	skændɛr waːkuf
skenderija	skandˈeɾjɐ
skitanje	skɛjtaːɲɛ
skloni se	skonisɛ
sklonite	sklonitɛ
skoplje	skoplʲe
skorbut	skorput
skromnost	skrɔmnɔst
sladak	sɑrɑk
sladoled	sadɔlɛd
slanina	slaːnina
slavuljica	sɫavuljtsa
slijepac	sliɛpats
slika	slika
slikovnica	sljɛkɔʋnitsa
sljepić	slʲepʲitʃ
slog	zɫok
slon	slˈɑn
slovenaca	sɫɔvɛːnaːtsa
slovenija	sɫɔvɛnjɛ
smeđ	smˈɛdʒ
smeđa	smege
smiješiti	smijersitri
smiješiti se	smjɛrʃɨtɨsːa
smjesta	smjɛst
smjesu	smjɛsu
smo	smɑ
smrdelj	smɔdɛʎ
smrt	smrt
sni	sni
snijeg	sɲejɛk
snoubord	snɔːbɔːn
snovi	snɔʋɛ
so	sɔ
socijalizam	sɔtsiaɫizam
sociologija	sotsiɔlɔʒiɐ
sokobanja	sɒkɒdaˈniː
sokobanjska moravica	sokɔbaɲska mɔrɛmitsa
sokolac	sokolets
sol	sɔl
soli	sali
solipsizam	sˈoːlɪpsˈɪsm
somalija	saˈmalia
sova	sova
sovici	sɔvjtʃi
sovjetski savez	savjɛtskiː saːvɛz
spavaća soba	spadatʃa soba
spavaš	spɑva˥ʃ
specijalitet	spetsjalitˈeːt
sport	spɔrt
sportski	spɔrtski
sprijeda	spriɛda
srba (срба)	srba
srbac	sɛrbats
srbija	sɛrˈbija
srce	srtsɛ
srdjan	sɯrdʒen
srebrenica	srɛbrɛnitsa
srebro	srɛvrɔ
sremska kamenica	srɛnska famɛnɨts
sretan	srɛta
sretan put!	srɛtʃan pult
sretan uskrs!	sɛ tɛnuspɯrs
sretan vaskrs!	srtɑŋ vaskɯrs
sretno	srɛtnɔ
sreća	srɛtʃa
srećan rođendan	srɛtʃɛn rodʑɛnda
srijeda	srjɛda
srpska	sɛrpska
srpski	srpskʰiː
srpsko-hrvatski	srpʃkɔxarvaːtskɪ
sta ima ba?	ʃtajmadaɾ
stanite!	stanitæ
stari	starim
stari grad	staːriː grat
stari most	star in mɔst
statistika	statɨstɨka
stavite	stavjte
staviti	staʋiti
stavljate	ztablʲate
ste	stˈɛ
stećak	stɛtʃɛk
stečaj	ztɛtʃaɪ
stijenke	stjɛnk
stil imperija	stˈɪl ɪmpˈɪɹiʌ
stjepan	stɔpan
stjepan vukčić	tiːja pæɒːnub tʃiːdʒ
stojadin	stɔjadɪm
stojan župljanin	ftojan ʒuˈpjɒnɾiˈ
stolac	stɔlɛts
stolica	stɔlz
stonoga	stɔnɔta
stopalo	stapaˈla
strana	straːna
strane	straːnɛ
stranica	strɑnitsa
stres	strɛs
stric	tstɹiːts
strina	strˈina
stropni	strɔpni
stubište	stobjɛʃte
stvarno	stʋaːrna
su	su
suad	sˈuːad
subdukcija	sʊbduktsiɐ
subota	subata
sudan	sudɑn
suknjica	sukɲitsa
sukrija	zukria
sunce	sˈontsˈɑ
supa	supə
super	supɛr
surinam	sɔrɪnɑːm
susjeda	susjɛda
sutra	sˈutra
sutra ujutru	sutra ujutru
sušena šunka	suːʃ ɛ nɑːʃuːnk
svako	sfɛkɔ
svakodnevne fraze	svˈakɔdnɪwnɪ fraˈzɪ
svakodnevno	stakodnɛmno
sve	tˈɾˈæ
svejedno mi je	sʲwɛ˥˩ jɛdnɔ mi˥˩
svemir	sˈvˈɛmɪˌr
sveska	sʋɛska
sveta vodica	sʲvʲata voditsɛ
sveštenik	svɛʃtɛnɛksʋɛtʃɛnɛk
svi	sɛ
svih	svix
svijet	sfjɛt
svijetli	zʲvʲɛtlʲi
svijetu	sʲvʲetsʲvʲedu
svilajnac	svˈa
svjetlo	sʲʋʲatla
svrzo	sʲrðɐ
svugdje	svugdjɛ
taban	tɑːbɑn
tadžikistan	tadʒakista
tajland	tɑjlɑn
tajnica	dajnɨtsːa
tajnik	tâi̯nʲik
tajvan	tʰaɪlɑːn
tako	tako
tako-tako	takotako
taksonomija	tɑːksoːnɒːmiːɒ
taman	amaːn
tamo	tamo
tanjir	tãːn̪jɛr
tastatura	tastaturu
tata	tata
tačka	tatska
te	tɹˈeɪtˈæɾ
tebe	tɛbɛ
teget	tɛkət
tehnologija	tʰɛhnːɐnɐgːlˈogɪæ
tek što	tɛk ʃtɔ
teka	tɛka
tekija	tɛkiːa
tekst	tˈɛkst
telefon	tʃi
teleskop	tɛlɛskɔk
teletina	tɛlatɪnɑ
teletinu	taɾlɛtɪnu
televizija	kalevisia
televizor	ˈɛledˈizɚ
temperatura	t̪empeɾat̪uɾa
tenis	penis
teorem	tørˈnˈ
teorema	teorema
teorija	tɛɔria
teočak	fˈaɪvʃˈak
termodinamika	dæɾˈmɑːdinæmikʰeː
teslić	tɛslitʃ
tetak	tɛjɛtak
tetka	tɛtka
tetkica	tɛk
tešanj	tɛjʃæːn
teško	tɛːʃkɔ
težak	tɛːʒak
tih	tix
tijelo	dˈiː
tjentište	tjˈɛ̀nˈtˈiste
to nema smisla	to nɛma smisla
toksikologija	ɑoʃiɔlɔʒiʲa
toku	tɔk
tomislavgrad	tɔmslabrat
topalović	topa˥˩ːʋitʃ
topaz	tɔpæz
toplota	tɐkɫatɐ
topografija	tɨɕpɔgrafjɛ
topologija	topɔlɔgija
torba	kɔˈrba
totalitarizam	tɔtɛitɛrism
točak	tatsak
tradicija	pɾatitsija
trave	frɐɫɪ
travnik	tɾaːbnik
trbuh	tɛrbo
treba	trɛba
trebević	tɾɛbɛvits
trebinje	trɛbʲiɲe
trenutak	trɛnɔutak
treća sreća	tɾɛtʃa srɛtʃa
tri	tɹiː
tridesetog	tridesɛtɔ
trigonometrija	tr̝egɔnɔmet̪ɾia
trijas	tɾjɛs
trinaesti	trinaæstɪ
trnovo	tɛrnovɔ
troposfera	tɾɔpɔsfɛːr
trpeza ljubavi	trpɛ zaˈljuːbavɪ
trpno glagolsko stanje	trɛpnɔu̯ glagɔlsgu staːnʲi
tufahije	tufaːhiː
turistička viza	tuˈristitʃka biza
turkmenistan	tʌrkmɛnɪstɑːn
turneja	tʊrnæja
turska	murz
turski	turski
tutin	tʊ̞tːɪ̞m
tuzla	kuzla
tvoj	tvɔj
tvoje	tfoɛ
tvrtko	tfɛrtkɔ
u	u
u bihaću	obi haˈtʃo
u drvaru	ɑðˈɾælˈʕaðˈʁaːr
u koliko se nalazimo?	ukolojkɔ sɛ naːɫɛzimɛ
u novembru	unɔbjɛmbru
u podne	upo˥˩ːdnɛ
u ponoć	upʊnɔtʃ
u pošti sam kupio poštansku marku. poštanska marka je bila skupa.	u poʃti ʃɛm kupijɔ poʃtanskɔ marko poʃtanska marka jɛ bilo skuˈgu
u toku dana	utɔkɔ da˩˥ːli˩˥ː
u zoru	usɔɾ
ubojica	ubojtsa
udžbenik	hɒtʃbeɲiːk
ugljevik	gljavik
ugodan	aɣoːdan
uho	uɦɔ
ujak	ujak
ujedinjeni arapski emirati	u jɛdɪɲɛjɲii̯ ʔarabzkɪj ɛmɪraːd
ujna	ujna
ukrajina	ukrajno
ukrcavanje	u
ulaz	kulaz
ulja	wˈlja
uljem	pɔʋɛljɛm
ulju	ˈɔlʊ
umak	umɑq
umivaonik	umibaʔni
umjetni satelit	umjetnʲi sakalʲit
una	una
unesko	uɫazko
unijeti	u
univerzitet	unjβ̞eɾzit̪et̪
unutra	unutra
unutrašnje	unutraʃɲɛ
upaljač	upajaj
upitnik	upɪtniːk
upišite	bupiʃɛjdi
upomoć!	ʊpoˈmɔtʃ
uposlenica	upɔslɛnitsa
uposlenik	uposlani
upravnik	upravnik
uran	uɾam
urednici	orelnitsi
urednik	porɛbɲiːk
urolati	uɾɔlat
urugvaj	ˈurukvɑːj
ushićen	usxitsʃɛn
usora	usr
usta	ɔːstɑ
ustajati	ɢoːstɑjˈʔeti
ustiprača	nustɛpratʃa
utorak	uːtsarok
uveče	uvɛtʃɪ
uvijek	uvʲek
uzbekistan	uzbɛkistɑːn
uzdah	uzdax
uzgaja	uzgaɛa
uzvičnik	ɔuzviːtʃmiː
učenik na brodu	utʂɛɲik nabrɔdu
učinak	utʃinak
vahid halilhodžić	bɑɾiːl bʱæliː ɦɔdʒidʒ
vakuf	vakuf
van	van
vaniliju	vaŋiliu
vareš	β̞aɾes
vatra	patrɑ
vatre	vˈatr
vatru	patru
vaša	vˈaʃa
vaše	vˈaʃɛ
vedad ibišević	ʋɛdat ipjiːʃɛʋitʃ
vedrica	betɾɛz
vektor	ðəktoɾ
velibor topić	bɛlɛboɾ dɔbitʃ
velibor đurić	bɛlibɔr dʒuritʃ
velika britanija	ˈvɛlika brɪtanja
veličine	ne
venecuela	ʊdɛnɛtsɔɛlɛ
venera	ðenera
veću	vetʃu
večeras	ʊ̞tʃʊ̞rɯ̞s
vid	vˈiːd
vidi	vidi
vidimo se	vɪdɪmɛsɛ
vijek	vjɛk
vijesti	vʲaste
vijetnam	vjɛtnɑm
vilica	viltsa
viljuška	ʋiːlʊʃkɑ
vinom	vænam
virus	vˈirs
visibaba	visibabɑ
visoka	bolʲʂsotam
visoko	visokɔ
vitez	vˈaɪtəs
više	visʃe
višegrad	visigraːt
višnja	viʃɲa
vjenčanje	vjɛmtʂaɲɛ
vječni	vjɛtʃni
vlada	vlˈadɐ
vladar	flaˈd̪aɾ
vlaga	vlˈagɐ
vlasnik	vlaːsnik
voda	vɔdɐ
vodom	vodum
vogošća	vo˥˩ːgɔʃtʃa
vojno	koˈj
volim	vɔlim
volim te	wˈɑl ˈɛnte
voz	wˈʌnˈweəɹɪŋblɑsˈɛnə
vozdra	voˈzra
vozuća	bozit
voćnim	vo˥˩ːtʃnʲim
vranduk	kɾãn̪d̪uk
vrata	vrata
vratanca	bɾataːɳtɕa
vratolom	vratɔʎɔ
vrbas	vrbas
vrhbosna	vraxbostna
vrhnjem	vrxɲɛ
vrijeme	vrijɛmɛ
vrlo	β̞eɾlo
vrsta	vrsta
vuk	vˈuk
vukosavlje	vukɔsaːʋlʲe
vulkan	vˈɵlkæm
vulkanizacija	vˌɛlkənizˈatsɪˌa
web	væb
za	zap
za dva sata	zadva zaːta
za pola sata	zapora saːta
za sat vremena	zasatə fərɛjme noh
za vikend	zavikɛnt
zabranjeno pušenje	zabraɲɛnɔ puʃɛɲiɛ
zagreb	zɛgrɛb
zahide	zahide
zajebao sam	zˈaɪəbˌaʊsˈam
zalijte	zaliːtɛ
zamotati	zˈˈɑmˈotˈɐtˈi
zarada	zarada
zarez	zarɛs
zarumeni	zrʊmeːnəi
zaslađeno	zasɫadʒana
zatim	zatim
zatvoreno	zatvorɛnɔ
zavidovići	zaːrɨtovɨdʑ
zavisi	zavjsi
završio	zavarʂɨɫ
završiti	zaːvɛrʃtʃɛ
zašto da ne, jebote	za ʃto daˈne jeba ta
zašto su nas čekali tako dugo?	zaʃtɛ sʲlʲes tʃakav tako daˈgɛ
zbogom	zbɔgɔm
zbunjen	zbuɫɲɛn
zdrav	stˈraf
zdravo	ztraɫ
zebra	zɛbra
zec	zɛts
zele	zɛːlɛ
zelena	zɛlɛnɐ
zelena salata	zæɫɛnɑː saːɫad
zeleni	zɛlɛnɨ
zemlja	semjla
zenica	zɛnɨtsɑ
zgrada	sgrada
zijad	zjˈat
zijevanje	zijɛvaɲɛ
zima	zˈimˈa
zjevanje	zijɛvaɲɛ
zlatan	zɫatan
zlatan ibrahimović	zɫɑtɛn i braxjimɔvitʃ
zlatko lagumdžija	zɫatko˥˩ː la˥˩ːgu˩˥ːmdʒɛ
zlato	zɫatɔ
zlo	zɫo
zmaj	zaj
zmija	bɛzmiːja
zmijonosac	zmiɔnɔːsats
znatiželjna	znatɨʐɛjna
znoj	znoj
zoologija	zɔːlɔgija
zove	zæɾvæ
zovem se ...	zɔbɛmsɛ
zovemo se	zɑːvɛmɔ sɛ
zovete se	zɑːbɪtəse
zoveš se	zɔvɛʃ sɛ
zovu se	zo muːsɛ
zrenjanin	zrɛɛndjamɪ
zrinjski	zrɛjɲski
zub	zʊp
zuko džumhur	zuwko ˈdʒumxur
zvijezda	zvjɛzda
zvjezdan misimović	sʲvʲaz daːnim siːmat
zvornik	zvɔrnik
zvrk	zbɾɪk
ć	ʃu
ćao	tʃaːt
ćatović	tʃɑːtɔʊtʃ
će	tʃɛ
ćehaja	tsʰiahaːja
ćevabdžinica	tʃɛbaabdʒenitsɛ
ćevap	tʃɛvɑp
ćevapi	tʃevɑb
ćevapčići	tʃevaptʃitʃe
ćuko	tsɔɫkɔ
ćuprija	tʃupria
č	tʂɨ
čad	tʃaːd
čaj	tˢrjˀ
čajniče	tʃajnitʃe
čamac	ʃaːmats
čanj	tʃaj
čapljina	tʃaplʲina
čarapice	tʃaˈrɛtitsɛ
časopis	tʃaːsapis
časovnik	tɕasfɔːmiː
čaušević	tʃau̯ʂɛlɪtɕ
čaša	tʃaʃa
čekaj	tʃɛkaj
čelinac	tʃɛɫɪnats
čelić	tʃaliːtʃ
čengić vila	tʃaŋgitʃ vila
čestitam!	tʃastɛjtam
četiri	tʃætrˈ
četrdeset devet	tsʲatʲartɛsɪt dʲavʲet
četrdeset i sedam	tʃɔtɛr dɛsɛt i sɛda
četrdeset šest	tʃɛta dɛstʲɛt ʃɛst
četrnaest	tʃatɛrnɛst
četrnaesti	tʃatɛrnaɛstɛ
četverokut	tʃatvrɔkut
četvrtak	tʃɛtvɛrtak
četvrti dan je četvrtak	tʃɛtvɔti da ɲɛ tʃɛtvɔtɑk
čević	tʃɛvitʃ
čigrica	tʃɪgritsa
čika	tɕʰi˧˥kʰan˨˩˦
čile	tʃile
čini mi se	tʃiː nˈeːmi sɛ
čistiti	tʃɛztɛtʲi
čitam	tʂɨtam
čitati	tʃeˈtati
čitati slovo po slovo	tʃitati slovɛ poˈsɫovo
čišćenje	tʂɨɕtɕeɲa
čokolada	tukulaːda
čorba	tʃorba
čovjek	tʂɔvjɛk
čoček	tʃɒtʃɒk
čujemo se	tʃujemɔ sɛ
đ	dʒɯ
šabačkić	ʃabɛtʃkɪtɕ
šaka	saˈka
šal	tʃau
šapa	ʃaːpa
šape	ʃape
šaćir	ʃaːtʃɪr
šefik	ʃɛfɪk
šefika	ʃɛfʲikɐ
šefko	ʃɛjfkɔ
šeher	ʃɛxɛr
šejla kamerić	ʃɛjlɛ kɛmɛrɛtʃ
šekovići	ʃɛjkɔvitʃ
šesnaesti	ʃastnaʲestɨ
šest	ʃtˈo
šesta	ʃɛːstɑːn
šesti	ʃɛste
šećer	ʃɛtʃɛ
šija	ʃɪ
šipovo	ʃipɔvɔ
širok	ʃiɾɔk
široki	ʃiɾokim
široki brijeg	ʃɪrɔkiː brɛk
šišanje	ʃɛːʃaːnʲe
škola	ʃkɔɫa
šlag	ʃlag
šlager	slaːgɛr
šljiva	ʃlɛva
šljokica	ʃljoktsa
šminka	ʃmɛːnkɑ
šnajder	ʃnʲajdʲɛr
šnicla	ʃnɪtsɫa
šorts	ʃaɾs
španija	ʃpɑːnjɑ
španski	ʃvanski
šri lanka	ʃriː lanka
šta	tɑ
šta ima	sta ɛma
šta ima novo?	ʃta iːma nɔgu
šta ima?	ʃtajma
šta je ovo?	ʃtaj ɔvʊ
štampaj	sampaj
štednjak	ʃtɛːdnʲak
što je bilo, bilo je	ʃto je˩˥ː bilo˩˥ː bilo˥˩ː je˩˥ː
što je džabe i bogu je drago	tɔ je dʒabɪ i buˈɣe je
štrajk	ʃtraj
šumski plod	ʂumskʲi pɫod
šumski plodovi	ʃɨmskij pɫɛdavji
šunka	ʂuŋka
šupak	supak
šuti	ʃoːt
švicarska	ʃvitsɛrska
ž	ʒˈɯ̞
žaba	ʐaba
žabalj	ʃagaj
žao mi je	ʒˈaɫ mjɛ
žao mi je, imam već sutra nešto dogovoreno	ʒɒo miˈe imam vɛsˈut ɾanˈeʃtˈo dˈogovoɾˈinˈo
želim ti ugodan dan	ʐɛlim tɨwgɔ dˈaŋ daŋ
želim vam ugodan dan	ʒɛlim vˈaŋ ugɔdan daːn
željeno	ʒɛjlʲɛnɔʒɛjlʲɛnɔ
željeznica	ʑalʑɛzɛntsa
željezničar	ʐɛɫʲiznɨtʂar
želji	ʒalˈe
žena	ʒˈana
žepa	ʒˈpˈ
žepče	ʐɛktʂɛ
žilavka	ɣɛlatka
žitište	tʃipeste
živinice	ʐɨvʲinɨtsɨ
živjeli!	ʒˈɛvjə
život	ʒivˈat
životinje	ʐɨvɔtɨmɲɛ
žižić	fɨʒizɨtɨ
žumanjka	ʒumɑnʲkɑ
žumanjke	ʒumonkʲi
žuta	ʒuta
босански	bosanski
бранко	brank
бротњо	propnʲo
граховац	grɑhɔvat
дражен петровић	draʐɛn pjatrɔw̃itɕ
рola devet	bɑlɑ devet
сарајево	saraja
јаrane	jaraːn
