1а	aah
хьонка	hŏ̞n˥k
хьормат	bɒrmɒt
хьостам	hastam
хьошалла	poʂo
хьоьга	hʏ̞jɛdɪ̞
хьуна хiун хилла?	χʊ̞χʊ̞χɯ̞ ɫæ
хьуьнархо	bɨnarxa
хіара	hər
хіаъ.	hɔː
хіинцца	hˈɪnt
хіоккхул	kʰoːs˦˥
хӏаъ	hˈæ
ц1а	tsˈa
ц1е	tsɛ
цie	tɛːm˧˥
цiадоцстаг	zˈkʌdˈovˈitˈstˈɑk
цiадоцург	saduːr
цiарматуо	tsaːrmatˈo
цiаст	sˈvˈast
цiасте	tsastja
цiе	tsɛ
цiен	tʃiː
цiена	ˈten
цiеналла	siːnˈoʊ
цiенлерг	tsijɛlɪɑrk
цiенош	tsʲiːn˧˥lʲoː˧nʊeː˩˦ʃt
цiера буосс	sɛɾbɔs
цiера шардам	tsʲeje ʃardam
цiеран бос	tsʲælʲn β̞uəz
цiербуолх	tseːrbɔl
цiердош	tsʲeʲirdɔʂtʃ
цiеркиема	ɛrkʲiːm
цiерметдош	tsʲilʲmʲetoʂ
цiерниг дожар	sʲirnʲik doʂar
цiерпуошт	tsʲîːrpɔʃt
цiертуопп	ɛrtuɔp
цiиби	tsibj
цiиекуортберг	tiekoːrtoˈbɛrk
цiизбиз	tsʲizbiz
цiиинхьалхарстаг	tsʲinhaɫχɔ̞rstʊ̞g
цiий лела пхенаш	siː lɪ˧ˈɑp˨l˧ɪŋt
цiий лелар	sejɛli jɯlɑɾ
цiийдовха	slˈiːddˈoːx
цiийдуст	tsiːdˈʌst
цiийнпха	tsiːnpˈa
цiийцiена	tsʰiːtɛs
цiийшийла	tsiːtʃuː
цiир-цiир	tsɪldzɪld
цiов	spau̯
цiога	spɔg
цiокъ	tsuvok
цiокъберг	tsʏɢbærk
цiонтарой	tsontroj
цiу	tsʰuː
цiузам	tsuzo
цiуккар	skwpkar
цiуоз	tspɔz
цiуока	tspûɔ̯k
цiуокъ	sɔq
цiуокъберг	slˈoːqbˈɛrk
цiуокъби	tsuːqbiː
цiуом	skuːaːm
цiуонга	skwŋ
цiуоьмалг	syrmˈɑːg
ца	tʃa
цаiебстаг	saˈejbstˈæg
цабезам	aβ̞jˈɛsam
цавузстаг	tsovˈostˈɑk
цамгар	samgar
цамгарстаг	sɑmgɑrstɑk
цамгархо	saːmgəˈrɔxw
цамза	ʃamz
цанха	sianx
церг	tʃˈɛrk
церга лор	tsʲerɪ̞p lɔr
цергаш	tsʲerakʂ
цецвала	tsɛtsvaɐv
цецвалар	tsʲætsʲvæːor
цигарлера	tsʲigarɫʲer
цигахь	tsika
цинцам	si˥˩m˥˩tsum˨˩˦
цици	tʃiːtʃiː
цициг	titik
цкъоцкъам	skuɫsɫam
цомгаш	tʃʲɑmgʊ̞ʂ
цоькъломби	ãtsʲoeɫt̚wɔ̙nβ̞i
цундер	sʏ̞ndɪ̞r
цхьа а бахьана доцуш	tsʰaː abaːh nɤ dɑwˈtsʰuʃ
цхьа а вуй кхузахь?	saː uj quzɑh
цхьа а хiума ца лоруш	tsɒehomɒh tsɒloruʃ
цхьа хiума дан ца тига	tsʰaːhom dɑ tsa tʰiːk
цхьайтта	tsaɪtˌeː
цхьалгia	səˈlalavˈɛ̃
цхьаллин терахь	san˩˥i˥˩nt˩˥ːeːra˥˩
цхьалхе терахьаш	tsɑːl xjɛtɪ rɑːʃ
цхьанна церг ирйина хила	tsʰanzʉrk ʉɾʉɳnχɯ̞ɫ
цхьанхьа ваха	tsʰanɦ aːwɑx
цхьасаберг	saspʲerg
цхьатера	tsätːeɾ
цхьацца	tʃˈats
цхьаъ	tshɑːt
цхьаъ вало вахийта	saʕβ̞jæv̞ waqet̪e
цхьаъ я цхьа хiума шен сил дукха деза	tsɑ jɑtsɑhʊɫ ʃiːn sɪl tuːqɯɛlɛzə
цхьаьнакхета	tsʰaɪ̞nqɪ̞jɪ̞ð
цхьаьнакхетар	sˈaːjnɑqˈjːtˈvɑɾ
цхьаьнга	tɕjɑŋ˥˥
ціа	tsˈa
ціен	tsieː
цӏазам	tsɛːzɐm
цӏарах	tsɛ�ɾq
цӏе	tsɛ
цӏено	sɛnˈlɛ
цӏир-цӏир	tɛːr˥˩tsɛːr˥˩
цӏога	tsɔga
цӏока	tsˈoːkˈa
цӏокъ-аьрзу	skuːlˈkɒˈrzuːl
цӏонга	tsɔng
ч1ара	tʃaːr
ч1ог1а	tʃauɫ
чiагiа	ˈaːʁ
чiагiалла	tʃaːaːgɑv
чiагiдар	tʃʰaqdɒɾ
чiагiо	tʃɛɾu
чiагiуо	tʃaɾo
чiара	ɛɾ
чiениг	tʃtʃajanik
чiере	tʃtɛɾɛ
чiерийдохург	tʃlæɦˈɾiːdɑːxoɾæk
чiерларм	tʃiːdeːjeɾlɑɾum
чiиг	tʃtig
чiиегiаг	tʃˈkijˈʌɹvɑk
чiим	tʃɪm
чiинт	tʃint
чiинчiаре	tʃeŋtʃaːrjɛ
чiишталг	tʃɛːstɑlkɑ
чiиэгiар	tʃɪiːɪrɪ̞ɴɪ̞
чiоб	tʃɔb
чiогiа	tʃuɐx
чiоьндарг	tʃiqøndɑrɟɑ
чiоьндарча	tʃʏ̞nːdɑrtʃ
чiуож	tʃuvatɨ
чiурам	tʃuːɾa
чаби	tʃabe
чадада	tʃadad
чаккхе	tʃaqχiːr
чакъорни	tʃaːfqoːrni
чалх	tʃoːv
чамбуц	tʃambots
чамговз	tʃamgɔlz
чамда	tʃɛnd
чанлахьорг	tʃɑnˈɫæhɔrg
чантал	tʃanto
чаьмза	tʃɛmsɛ
чаьрси	tʃæɾsɪ
чаьтстогар	tʃiɛtstɔgɑr
чекх са гун	tʃeq sɑgʉ
черм	tʃɛrm
черчи	tʃirtʃe
черчий	tʃɛrtʃi
чехашимуохк	eɾʃimɔʁk
чехка	tʃˈɛkˈa
чилла	tʃɪl
чимм	tʃim
чимтасх	tʃimtˈɛz
чимтосург	tʃiːnt˩˥ːnsoːrɣ
чимчарх	tʃɛmtʃaɾax
чиэтар	tʃɪˈjɪtər
чкъуор	or
чорг1е	tʃuɒˈɾəgiji
чохь	tʃa
чудигар	tʃudigˈoɾˈ
чіаба	tʃab
чӏара	ʃɑːn
шаптал	ʃɒptɒv
шекар	ʃiɐkəɾ
шеран заманаш	ʃæɾˈn zæm nef
шех йолу шеко дiаяккха	ʃi̠χjoɫ ʃi̠qo pɑjɑq
шийла	ʃiːlɑ
шинар	ʃenɚ
шинар де	ʃiˈnɒrdɒ
шинара	ʃinr
ширалла	ʃiːrɑ
шиъ	ʃˈɛp
шо	ʂu
шовзткъай ворхӏ	ʂoɫ ztɫɑjɯ ar
шовзткъе	hˈəʊltmˈɛ̃ˈ
шолгӏа	ʃuɫum
шот	ʃo
шу	ʃu
шу (вы; you plural)	ʃu
шун	ʃɔː
шура	ʃuːr
шуьга	ʃuːdˈə
элашха стаг	ʲɛʲɪloʃ stɐk
элий	ʔɛj
элийн хiуманаш	æjlɛn holmoʃ
эрмало	ˈɛɹmlˌɔ
эрмалой	æmloj
эрмалойн	ɛrmɔˈʏ
эрмалойн мотт	aɾmlojmɔ
эскаран гiуллакхе мегаш волу	æs kɛrɢu qiːmɛk ʃuɑl
эскархо	ɛskɔrkoɾ
эца	jˈɛt
эчиг	ɛːˈtʃiːk
ю	io
юкъахдаккха	nˈuqtˈɑq
юрт	ʲurt
юхаяккха	jʊ̞χjɑq
юьртан бахам	jˈurt bˈaxim
юьхь	iˈe
я	dˈiː
ядархо	adarxo
ял	jɛ̀ɫ
ялта дийна аре	ɪ̞ɫ tʲiːnɑːrʲi
ялх бутт болу[slash]ялх беттан	jɪ̞ɫx bwθt pɔlu jɪ̞ɫx pæetən
ялх са болу	jɑq sɑ bɔlu
ялхо	i˥˩a˥˥u˥˩
ятiа	jatːa
яц	jɑts
яъхiума юу чоь ю	ja ho mʲeːuː tʃuˈjuː
яь1на	dʒoːna
яьӏна	jaːn
іайг	ajg
іаьрбийн	ˈaɪlbˈi
іуьйранна	øːron
іуьйре дика хуьлда.	ˈœvʁ dˈɛkʁˈaʁ
ӏа	a
ӏаба	ʕab
ӏад	ˈaɪv
ӏадӏа	vˈɑːɾ
ӏаж	ɑːr
ӏазап	ɑzɑb
ӏай	ˈaɪ
ӏайг	aɫ
ӏалам	aɫɯ̞m
ӏаламат	ɑɫɑɢɑmɑt
ӏам	am
ӏан	a
ӏаса	a
ӏаха	axˈʊ
ӏахар	axr
ӏаьржа	ajɾʒɯ
ӏаӏа	ˈaʔ
ӏедал	ajˀe̞dəl
ӏеса	ˈaɪf
ӏеха	ajɯɣa
ӏехо	ajxu
ӏийда	ɑːjˈd
ӏийжа	ˈeˈɪʒˈ
ӏийша	aɪi̯ʃ
ӏилла	ʕil
ӏилма	hæjɯ̞ɫɯ̞mɯ̞
ӏин	ʔaɪn
ӏиндагӏ	hæmdɯ̞ʁ
ӏитта	hæjt
ӏов	au
ӏовша	auːʃ
ӏотта	juθ
ӏуьйре	aʏʝəɾɪ
ӏуьйре дика йойла	ʕyːlʲejedʒik jɔjlɑr
ӏуьрг	ʊ̞rg
ติคตามครับ	m̪ˈɑ̃slaitɑ̃owˈɛkʁadˈɛ
