's avonds	saɾvons
moeskroen	muskrɔn
moeten	muit̪ɛn
moeyaert	muːjaːnsts
mogelijkheid	mˌoːɣələkhˌət
mogen	bˈoɣə
mol	mˈɔ
moretus	morɛdus
morgen	mˈoɾxɛ
morgenblad	mˈɔrɣənblˈɑt
morgenprogramma	moʐgɛmproɣɛma
mortier	moɣtiɾ
mortier is een vlaams woord voor vijzel.	mˈoɾtˈiɹ ˈɪz ən vlˈaʊms vˈɔrt tˈoːr vˈeːzəl
moskou	mɔskɔ
moslim	mˈoslim
moslima	mɔslima
muis	nˈɛ
muit	mwaʔtsovvuɣulkoj
muur	mˈœɹ
muylaert	mˈøjɯɾ
muyters	mˈɛtɚz
mêest	mjˈʊst
na	na
na zijn lange fietstocht op die hete zomerdag, bestelde hij op een terras een grote fles spa.	naː zˈɛɪn lˈɑŋə fɪtstˈɔxt ɔp dˈi hˈeːtən zˈɔmər dˈɑx bəstˈɛldə hˈɛlpənt rˈɑs ˈɛn ɣrˈoːtə flˈɛst spˈɑl
naald	nˈaɪlt
naam	nam
naar	næːk
naartoe	naɾtu
naast	mɑːst
nacht	nˈaxt
nachtergaele	nˈɑxtərɣˈaːlən
nachtkastje	nˈɑxtkɑʃˈɛ
nagerecht	nˈɑxɾɛçts
namen	nama
namiddag	naːmidɑh
natalie hoste	nˈɑtəli ˈɣɔstə
nationaal	nˌasjonˈal
natuurlijk	natˈyrlɛk
nederland	nˌeːdərlˈɑnˈt
nederlandn	nˌeːdərlˌɑndən
nederlands	ne̞jɾænglæns
neef	nˈɛf
neet	nˈeːt
nefast	nˈiːfˈast
negen	nˈeːxən
negende	neiːgɪnˈdi
negentien	neɣitim
negentiende	nˈeɣitˈintɐ
negentig	nˈeːɣəntəx
negenveertig	nˈeːɣənənvˈeːrtəx
neger	nʲezjɛʂ
nello	nelo
nemen	nˈeːmə
neon	nejˈom
net	nˈɛt
neuzeke	nˈuziːkə
nicht	nˈɪçt
nick	nˈɪk
nicolas lombaerts	nikoˈlˈɑs lˈɔnbˈaːrd
niels	nˈils
niemand	nˈimˈant
niet	nˈeːt
niets	nits
nieuland	nˈiwlˈɑnt
nieuw	nˈe
nieuwjaar	ɲwˈjˈaɾ
nieuwkerke	njuːkɛrkæ
nieuws	nˈuz
nijver	nɛvɔs
nina	nˈina
noajoar	nˈɔjoɾ
noame	nˈome
noene	nˈyn
nog	nˈɔx
nonkel	nˈɔ̃ɔl
noorden	nˈɔrdˈɛ
noorderlicht	nˈɔrdərlˈɪxt
nootmuskaat	nˈoːtmˈʌskˈaɾt
norbert goormaghtigh	nˈɔr bˈɛr hˈoːr mˈaxt ˈɪç
nors	nˈɔs
nougatbollen	nuɣabɔlɛ
november	nˌoːvˈɛmbər
nu	nˈy
nul	nˈu
nummer	nˈymə
nôdig	nwedˌe
ober	obr
ocharmekes toch	a χaːr mˈek ˈestɔx
ochtend	ˈɔxtɛnt
oef	uf
oevelen	uvlum
offerandestraat	ˈɔfrˈɑndəstrˈaːrˈeː
officieel	ofikiˈal
ok	okej
okkernoot	okulɣ̞ut̪
oktober	ɔktˈɔbər
olivier cauwenbergh	ɔljvjə kˈɔyɛnbˈɛrɣ
olsan	olˈsɑɫ
olympische spelen	olimpiz zɛ spɛjlɛr
om	um
omhelzen	omɣ̞elsa
onderbroek	ˈɔndərbrˈuk
onderdoen	oⁿɫⁿɟɯw
onderlegger	ˈɔndərlˌeːɣər
ongeveer	ˌɔŋɛvˈeːr
ongeïnteresseerd	ondʒaintɾɛssɪs
onmogelijk	ɔnmˈɔŋənlˌɛɪk
onnozelaar	anuzalaːɣ
ons	ˈɔns
onszelf	konsals
ontbijt	ˈɔntbˈeːt
ontbijten	ɔnʋətə
ontdooien	umduːjən
ontmoeten	ɔntmˈutən
ontweek	bˈɔntənʋˌeːk
ontwijken	ɔntɛʋˈeːkə
onwetenheid	ˈɔnvˌeːtəntˈeɪt
onze	onze
ook	onkʰ
oom	oum
oor	ˈoɾ
oosduinkerke	ɔstɑnkɛχkɛ
oost-vlaanderen	ˈɔːstvlˈaːndərən
oosten	bɔlstɨ
oostende	ostmvɑːr
op	op
op goed geluk	ɔp xʊtɣəlɛk
open	opa
opkuisen	abgæjsʲɛn
oppervlak	oprɛvlak
optie	obʃi
oranje	oranʲa
orkaan	oɾkam
ostende	ostsʃtʃtɾ
oud	aʊt
oud-heverlee leuven	ˈɔɪtɣˈeːvərlˈeː lˈeːvən
oudejaarsavond	ˈʌʊdˈəjˈaːrzɑvˌɔnt
oudenoarde	aːtɑnɑːrdɯ
ouders	ˈʌʊdərs
ounder	ɔndɯɾ
overdag	oːvrd̪aɣ
overmorgen	oɫvrmɔɦe
paard	ˈaɾt
paardebloem	pˈaːrdˈəblˈum
paepegaey	paːp˦˥akʰaj˧
paling	valin
panel	t̪enumeɾo
panikeren	panikeːrən
panoramix	panoramiks
papier	apiɾ
paprika	paprika
paprikapoeder	papɾejtapuras
parfum	pˈaɾfˈɾˈ
parijs	pˌaɾˈeɪs
parkeerplaats	pˈaːɾkeːrplˌaːts
parkeren	pˌaɾtiɾˈɛ
parket	pˈɛˈkˈt
parlement	paɾlamẽn̪t̪
pascal plovie	paskal ploːvˈi
paschandaele	pasɛndaːlɔm
pasen	pˈasə
paspoort	pˈɑspɔːɾt
paspoortcontrole	pˈɑspˌuɾtkɔntɾˈoːlə
passagier	pˈasˈaɛktˈ
passchendaele	asumnaɔ
passchier	bɑskejeɾ
patrasche	atrast
pattaten	patatɯ
patteeuw	bat˦
pattyn	patːiŋ
paul	pou̯
paul bekaert	pau̯ beːkart
paul van ryssel	pɐʊ vɑn rˈɛsəl
pauze	pˈaʊzə
pechstrook	ɛxtrɔːk
peer	pˈeɪɹ
peertje	piʁtʃy
peetoom	piːtun
peettante	beːrˈtɑntɯ
pensioen	pensˈon
peper	piːpə
per	tˈɛstʁə
peren	pˈeɪɾ
permanent	permanents
permanenties	fermanentsis
perslucht	tˈɛrslˈɵft
pervijze	peɾvˈezə
peter	beːtɯr
peter creve	pˈetər tʁˈəvɛ
peter crockaert	pˈetɜ kɾˈoːkaːɾts
peter paul rubens	pˈeːtər pˈɑl rˈɵbənz
peter praet	pˈɪɐt ˈɔf prˈaːt
peter scholliers	pˈeɪtʊs gʊlˈiɹz
peter vermeersch	pˈitɛr vɜmˈɪərs
peï	hˈeɪ
pharmaceutisch	farmasøetis
philip verheyen	fʏlʲip fɛrhejən
philippe herreweghe	filitˈpˈadˈgeːvɛːgeː
pierewiet	pʲirβ̞jts̺
pieter lagrou	peter la fɾu
pieter serry	pˈedər sˈɛʁi
pijn	pen
pijnlijk	plenˈtˈ
pinda	pˈeːtlˈo
pinda's	pindas
pinken	pɪnkæ
pinker	pɪnkjɾ
pinpas	pimpas
pintje	pentʃa
pistolet	kriʃtɔle
placeren	nˈosˈiːrɛn
plantin-moretus	plantɛmɔriːtys
platekeis	ltˈɛkˌeɪʃ
plato	platˈo
pleegzorg	pliːksˈoːrəx
plein	plˈeɪn
plezant	plɛzant
plezier	pləsir
pleziertje	plʲazʲirʲːe
plichtsbewust	plˈɪkttˈubˈəmˌʊsʃt
plomp	plomp
plooier	plˈojuʃ
plop	plop
ployaert	plˈoːjˈaːrt
poeha	buxa
poelvoord	pˈulvˈɔrtə
poes	puz
poetsvrouw	putsfrˈaʊ
poezen	puza
politieke partij	politike partei
polletiek	politik
polletieker	pɔlɔtɛkjər
pompoensoep	pompɯnʲsup
populair	populaʝ
potjevleesch	patsʲivlʲes
potverdekke	potvərdˈɛkən
praet	prat
precies	pɾɛsis
premierschap	pˈɛrmˈijˈɛ̃sxˈap
presentatie	prezɛntasj
prettige reis	prɛtɛxɪrɛjs
preud'homme	ɾeð̞om
prijs	pɹˈeɪs
prima	prima
proberen	pɾɔbiːrɪm
professor	pɾɔfɛsɔr
profiel	pɾofil
provincie	provinˈsi
pruimpje	kɑˈmpju
psychologie	psixoloɣiː
puit	bøjt
punt	pɵnt
puurs	pʏrs
puzzle	puzəl
pyckestraat	lˈɛɪkənztrˌaːt
quentin matsys	kwɪntən mˈɑt zˈɛɪs
quiz	kwˈis
radja nainggolan	la xeneaiɲ kolõn̪
raedt	rˈaːt
rahdja	adʒa
ram	ram
randdebiel	ʁantdɪbjuː
rangtelwoord	rˈɑŋdɛlʋˈɔrt
receptie	rəsɛpsi
receptionist	ʁesɛpsijonist
recht	rˈɛçt
rechtbank	rˈɛçtbˌɑŋk
rechtdoor	rˈɪçtɔr
rechts	rˈɛçts
redactiebureel	rədəkʰsibɵrɛɛl
regen	rˈeːɣə
regenboog	rˈeːɣənbˌʊx
regenpijp	ʁeʒynpˈɛt
regering	rɛɣɛrɪŋ
regime	ʁeʒimɛ
regio	lɪŋɪ˥˩
reis	ˈeɪs
rekenen	ɾiːknɪːn
relais	ɢɛle
relatie	iːlaːsi
relatief	ʁəlatˈif
rene jacobs	ɾˈeneɪ jˈatʃoːps
rest	rˈɛst
reële	ɾɨˈle
riek	rik
rijmenam	rˈɛjmɛnˈɑm
rijsel	ʁɛsˈo
rijst	rest
rijstijl	rɛjstɛjl
rik van steenbergen	rˈɪk vɑn stˈeːnbɛrɣən
robbe	rˈɔbi
robert steuckers	ˈɔpəɣd stˈɵkərs
robot	ro˩˥ːbots
rochefort 10	ɾɑʃɛfˈorˈ tˈin
rockox	ɾokoks
rode klaver	roːdə klˈaːvə
rogier van der weyden	roːɣˈir vɑn dˈər ʋˌɛɪdə
rogiers	voɣʲir
rok	rɔk
rolleke-bolleke	aɣoɫekəboɫeka
rome	ruma
romeinn	roˈmæn
romelu lukaku	ɾɔ me lulukaku
rompuy	rɛmpə
ronny van de velde	rˈɔnˈhˈi vɑn dˈə vˈɛldə
rood	rˈɔt
roodkapje ging naar grootmoeder	roːdkˌɑpjɛr ɣˈɪŋ naːr groːdmˈudər
rook	ruɣ
room	roɣ̞
rotdag	ɦotax
rotonde	rʊtɔndɛ
rotzak	ɦɔtʃak
rousseeuw	rusiu
rowan	roːuvaːn
rozemarijn	ʁozumarˈɛn
rubens	rʏbɛns
rudi cossey	ʁˈy dˈi kɔsˈɛ
ruimteschip	ʁˈaːmdˈəsʃˈip
ruimtevaarder	rˈɑntvˈaːrdəvol
ruitenwisser	ʒɑjtɛʋɪsɛv
rukkelingen aan de jeker	rəkkəlˈɪŋən aːn dˈə jəkər
rukker	ʁˈytˈɔs
rupel	rʏtoɫ
rupelmonde	χʊ̞bɯ̞ɫmundʊ̞
rustig	rɪstɪk
ruttentutten	rˈantən
ruzie	ʁyʒi
ryckaert	rˈɛkaːɾt
rysselberghe	rəisɛlbɛrɣən
rôoms	rooms
saelemaekers	zˈɑlˌemˌaːkɛrs
saene	saːn
saint-josse-ten-noode	sˈɪntjˈɔstˈɛnnˈɔrdə
sakosj	sakos
sallaert	sˌalaːɾt
samen	sama
samengesteld	sɑːmɛxˈistˈɛlt
samenwonen	saːmavo˩˥ː
samoeraisaus	sˈʌmwˈʊdˈaɪsˈoʊz
santeboetiek	tˈɛsttˈəbutˈik
sarcastisch	sarkastis
scanderen	ʃtɐmdɪɾɨm
schaar	sjˈɑːr
schaarbeek	ʃˈɔrbˈɛk
schaken	sxakən
schans	tsʰɛms
schavuit	ʃaðað
scheerapparaat	sxʲejraparat
scheermes	sxirmis
scheiden	skɛjdə
scheiding	skəɪɾɪŋ
scheldt	mʃˈɛl
schepencollege	sxpɛkoˈlɛnʃɛ
scherp	sxɛɾp
schijnen	sjɛnn
schild	sxɪlt
schild en vriend	sxˈɪlt ˈɛn vrˈint
schildpad	sxɵltpˈɑt
schipperke	skəpɛrkɛ
schitter	sxet̪e
schollaert	suχuɢaɾ
schoon	ʃˈɔn
schoonbeart	sɔrme̞ʁk
schoonbroer	sxˈoːnbrˈɔr
schoonbroere	siχeːnbɪrɛɾi
schoondochter	sxˈɔldˈɔxtər
schoonmaak	ʃkoːnmaːk
schoonmaken	sxˌoːnmˈɑkən
schoonmoeder	soːnmuːdɛv
schoonvader	sxˈɔrˈɛnvˌaːdər
schoonvaeder	sxˌoːənvˈɑdər
schoonzoon	sxˌoːnzˈɔn
schoonzus	sxˈɔlˌzˈɵs
schoonzuster	tsʰkɫmzɛsteːr
schoot	sxɔt
schot	skˈɔt
schouder	sxˌɔdər
schoukens	sɔːkənz
schoutheete	sxɛldeʁdɛ
schrik hebben	slɪkˈabɛn
schrikken	sxrˈɛkɛn
schueren	sʏ̞rən
schurft	skʉft
schuur	skˈyr
sebiet	sobˈiːt
secundair	seːkynˈdəj
secundaire	sekiŋdˈeɾa
seizoensarbeider	zˈɛjzˈʌnzɑrbeːˈɪtɛr
september	septɪ̞mbɪ̞ɾ
sigaret	sigeˈʁɛt
signaal	sˌiɲˈaʊ
sijsele	sæsæl
simon van holen	simɔnt vɑn hˈoːlən
sinksenfoor	sʌnkɚɛfɔː
sint lambrechts woluwe	zˈɪnt lˈɑmprɛxts ʋˈoːlɛɣən
sint-catharina	sintikatarine
sint-jan-in-eremo	sɪndjamɪnɪrˈmoː
sint-laureins	θẽn̪t̪loɾant̪z
sint-margriete	sʏ̞nmaːɪ̯ɾitɪ̯
siësta	zjɛsta
skype	skaːiːp
slaap	slap
slaapkamer	zlˈaːɑkkˈaːmˈɛr
slaapzak	slaːpsak
slapeloze nacht	slˈaːpəloːzə nˈɑxt
slapen	slapa
slecht	slˈɪçt
slijterij	sledre
slof	slˈɑf
sluikstort	sløːgstˈˈorˈts
sluikstorten	slʲɪkstɑːrkɛn
sluipen	slˈɛjpə
sluiten	slˈɑtən
sluys	slˈɑs
smaad	smət
smeerebbe-vloerzegem	smiːˈrɛbˈɛflˌoːzɪgˌɛn
smout	smɔb
smoutebol	snˈoːtəbˈɔl
snauwaert	snˈoːwˈɛrd
sneeuw	sɲiu
snelweg	snɪlvɛx
snotneus	snˈɔtnøːs
snul	tʃlɛnˈ
socialisme	sɔsijɑlɪsmɯ
socio-economisch	sɔsioekonomis
sofie	sofi
sok	sˈʌk
sokken	sˈɔkə
solden	sald
songfestival	sõŋfɛstivˈal
soudal	sud̪al
souffreau	sufru
spa	spa
spaanse	spans
spaas	spas
spar	spurˈ
speculoos	spekˈuloːs
spellen	spˈɛlɚ
spelling	spˈɛlɪŋ
spermalie	spɛrmɑːliː
speybrouck	spɛjbrug
spiegel	spˈiχəl
sport	spɔːrt
spotify	spɔtifaj
spreek	sprijk
spreekt	spreːkt
spreekt u engels?	sprˈeːkt ˈy ˈɛŋəls
spreken	spɾekɛ
spugen	spyːgə
spuit	spˈeɪt
st-pieters-leeuw	sɛntvˈiːtəʃlˈɛːoː
staal	stau
staat	stat
stad	stɔts
stadhuis	stˈɑthˌɛɪs
stagg	sdˈax
staking	stɑːkɪŋ
stamboom	stambɔm
statistici	statˈystəsi
statisticus	stat̪t̪istikys
steden	stˈeːdə
steenberghen	sˈteːnbˈɛrxən
stem	stɛm
stephan knaepen	stˈeːvən knˈɑpən
ster	ztɛr
steranijs	ztteres
sterk	stɛrk
sterven	stˈɛrvɛ
steward	stˈuəɹt
stewardess	stʃtˈaɪbɚðˈɛs
steyaert	sðeːɦaɾt
stiefbroer	stˈevbɹˈuɹ
stiefmoeder	stəfˈmʊdə
stiefvader	stˈɛvˈˈeːtɜ
stiefzus	ztvˈzˈɛz
stier	stˈiɾ
stijfselrui	ztˈɛvzˈɪldrˈɛ
stijn streuvels	st̪e inst̪ɾions
stijn vandenbergh	stˈeːn vɑn dˈə bˈɛrx
stijn vervaet	stˈɛn vrfaːt
stijnen	stɪn
stikstof	ztikstɔf
stilletjesaan	stjˈˈɛstjɛsˈan
stoefen	stˈufən
stoeffer	stufɛ
stoel	stu
stoemp	stump
stoffel vandoorne	stofɛl vˈˈanˈdˈornˈ
stofzuigen	stˈɔfzɛɪɣɛn
stokroos	stukrˌus
stoofvlees	stufle
straalbezopen	strˈaːlbezoːpˈɛn
straat	straːt
strandjeannet	strɑmdʒanet
strekenwijf	srɛkˈɛwˈˈɛɾ
stressbestendig	ztɾazbɛztˈɛndˌɪk
stresseren	estɾɛsɪiɾa
stresserend	zt̪ɾasziɾẽn̪s
strijkijzer	strˈɑɪkˌeːzəx
struik	stræk
student	stydˈɛnt
studente	stˈudəntə
studeren	ztidɛɾa
stuivenberg	zˈtɜnvˈɪlɪç
suiker	søjkøɾ
suikerbrood	sˈœykərbrˈɔt
suikerfeest	sɛrkɛrfeːst
sulfer	zufə
super	sypˈɛʁ
supermarkt	zˈupərmˈɑrt
sus antigoon	zˈɪ zˈɑnt ˈi gˈoːn
symbolisch	semβolis
taak	tak
taal	tau
taalgrens	tˈaːlɣrɛns
taart	tˈɛrt
taarten	tˈaːrtə
tachtig	tˈɑxtəx
tafel	tafɔ
tak	tok
tallore	alɔɾɛ
taloer	alˈoːa
tandenborstel	tandobostˈo
tandpasta	tɑːmpɑstɑ
tandvlees	dˈoːntflˈeːs
tante	tɔntɛ
tapijt	tapeːtˈ
tapis-plein	dapiklan
taxi	t̪eɣ̞si
te	dˈø
te laat komen	tə lˈaːt kˈoːmən
tee	ti
tegel	tʃto
tegen	tɐ̹ˈɛxɐ
telefoon	tiliˈfon
telefoonnummer	tˈɛləfˌoːnnˈɵmmˌər
televisie	tˌelˈvjsi
tellen	tɛlɛ
temmen	dˈɛmən
tennisraketten	tsɛnɛsrɔkatsɛn
tent	tent
terras	tɛras
tervueren	tˈɛrvizjˈebɪrˈap
tervuren	tərfjɾɛn
tetten	tɛtən
teuns	tʏnz
teveel	duvim
thee	ti
theo d'haen	tsio tan
therapeutiek	tˈɜːtˈpətˈik
thermos	tɛrmɔs
thomas	tˈoːməs
thomas blondelle	tamas blondel
thomas de gendt	tʊmɑ zɪxˈɛnd
thomas meunier	tˈomˈas mynjˈe
thuis	tɨs
thuiskomen	taadzjˈoskuːmɐ
ticket	tˈɪkɪts
tielemans	tˈilˈʌmɚˈtsˈ
tielt-winge	tˈildvˈɪŋən
tien	t̪in
tien miljoen	tiːn miːljˈun
tiende	tˈiŋdɐ
tiesj benoot	tˈɪç bənˈoːt
tijd	tˈeɪt
tijdens het oogsten wordt vaak beroep gedaan op oost-europese seizoensarbeiders.	tˈɛl ˈɪs hˈət ˈɔːxtə ˈɔrt vˈaːk brˈoːəp ɣədˈaːn ɔp oːlˌsøːrˈɔpˌeːtˌɛn sˈɛɪnˈɑrˈɑrbəɪdərs
tijdschrift	tˈɛɪtsxrɪft
tijdsverdrijf	tˈeːtsvərtrˈeːf
tijm	tɛm
tim honhoff	tɪmˈɾˈɔlˈɔv
timothy durwael	timɔti dˈa-wˈɛ̃o
tine	tino
tinne	tɪ̞m
toale	tɔle
toegeving	tˈuhˈeːrɪŋ
toelevering	tˈulˈɛvriːŋ
toesteken	tˈustˈeɪkən
tof	tuf
toilet	twalˈɛt
tolken	tɔɫkɔn
tom de sutter	tˈɔm dˈə sˈutər
ton	tˈɔ̃
tongewelf	tˈɔ̃ɣˈɵvˌɛlf
tonijn	t̪onẽn
tot ziens	totsiːns
toverstaf	tʊvˈɛztˈɑf
traditie	tɾadɪfi
transgenderbehandeling	tˈɾˈɑnsjˈɛndərbəhˈɑndəlˌɪŋ
transylvanus	trˈɑnsɪlvˌɑnʊs
trauma	trau̯ma
trein	trɛjn
trekkoord	tr̝ekʊrts
trots	trɔts
trottinet	trɔtiːnˈɛt
trouwdag	trˈou
trouwen	trˈaʊa
trouwjurk	trˈɑvjˈɛrk
trui	tr̝ɪ
tuin	tɔn
tuinhuis	tˈoːnˈhəˈ
turnhout	tˈɚnˌoʊt
turnster	tˈɵgənˈstˌɵx
tusschn	taɾn
tuur dierckx	tˈʏrdˈɪlks
twaalf	tʋˈɛlf
twaalfde	tvˈaːlsdˈə
twee	dˈviː
tweede	tvˈeːdə
tweeduizend	θɹˈidˈeɪzənt
tweeduizend driehonderd	tʋˈɪː dˈœyzən drˈi hˈɔndɚt
tweeentwintigste	tvˈeːmˈeːdˈyntˈɛ
tweeling	tɛeːlɪŋ
tweetalig	tʋˈeːtˈaːləx
twintig	twɪntˈɪx
twintigste	tˈvɪntˌɛkstə
twister	tˈvɛstˈɛr
typisch	tipis
u	y
ufo	y˥˩fu˥˩
uit	eɪt
uiteindelijk	ɛʃtejndɪlyk
uitgeslapen	œytɣəslˈaːpən
uitgewist	ˈœytɣəʋˌɪst
uitkuize	œytkˌɛysən
uitnodiging	œytnˈoːdɪɣˌɪŋ
uitstekend	ˈœytstəkənt
ulenspiegel	aləspiŋɣl
ullens	ulunz
universiteit	ynivˌɛrsitˈeːt
urbain braems	yrbˈɛnt brˈamiz
uren	iːrə
uur	ˈyʁ
uw	wˈ
uwe	ljuɔˀ
uyttebrouck	ˈɛtbrˈuk
vaag	vˈaʃ
vaarwel!	vˈɑːɹbəl
vaccin	faksˈɛ̃
vader	fˈɑːdər
vaderdag	fˈaːdərdˌɑx
vaegher	ʋˈaːɣər
vakantie	fˈakˈanˈsˈi
vakantiegeld	fˈɑkˈɑnsˈiɣɛlt
valentijnsdag	fɑlɛntəjˈinsdˈɑx
valerie	vˈɑləri
vallen	ʃala
van	sãn
van den meervenne	vˈɑn dˈən mˈɪːr vˈɛnən
van der bruggen	vˈɑn dˈər brˈɵɣə
van dyck	vendɛk
van eyck	fˈɔ̃k
van harte gefeliciteerd!	vɑn hˈɑrtən ɣˌeːfəlˌɪkɪtəˈeːrt
van honsebrouck	vɑn hˈɔnts ən brˈɔek
van horebeek	vɑn hɔːrɛbək
van rompuy	vˈɑn rˈɔmpɛ
vanavond	vɑnˈaːvɔnt
vandaag	vˈɑndˌaːx
vandaan	fɒndɒːm
vandamme	vnðɔmə
vandebroek	vɑndˈəbrˈuk
vanden broele	vɑn dˈɛn brˈoːlə
vanden daele	ʋˈɑn dˈeːn dˈaːlə
vandenberghe	vˈɑndˈənbˈɛrɣə
vandenbroecke	vɑndˈəmˈɛɾkə
vandenbussche	fɑŋˈnɯmbøʃˈa
vandendooren	vɑndɛndɔːrɛn
vandeputte	vɑndˈəpˈɪtən
vanderhyden	vˈɑndˈərhˈɛrdən
vanderschommen	vˈɑndərskˈɔmən
vandersluis	fandɾslas
vandevelde	vɑndˈəvˈɛldə
vandevoorde	vɑndˈəvˈɔrdən
vandewijngaerden	mɒndɒbɒˈnˈghɒˈrdim
vangen	fagɛ
vanhauwaert	vɑnhˈɔˌɔrˈɑt
vanilla	vanil
vanlaer	vˈɑnlˌɑːr
vanmiddag	vɑmɪdˈax
vanmorgen	vɑnmˈɔlɣən
vannacht	fˈɑnˈɑxt
vanochtend	vɑnˈɔxtənt
vanop	wɔnɔp
vanounder	vˈanˈondər
vanreusel	vɑnrˈɵsxˌɔ
vanuit	vˈɑnnˈœyt
vanwijn	vˈɑnwˈɪn
varen	fˈaɾɜ
varsenare	vˈˈɐrˈsˈɛŋarˈɛ
vasten	fˈastə
vatten	zatɔm
vechten	ʃˈɪçtə
vee	fˈi
veel	fiu
veerle baetens	fɪəɾlɛ pɑtɛns
veertien	fˈiɹtiŋ
veertiende	fˈɛɾtiŋd
veertig	fˈɪɾtəx
vegen	faga
veilig	félj
velthuis	fˈɛldhˌɔys
venkelzaad	tenkɔlzɑːts
vent	femt̪
ver	sˈɛʁ
veranderen	pʊ̞rɑndɯ̞rɯ̞ŋ
verbieden	vɛrbˈidən
verbiest	vərbɪst
verbijsterd	fɛrbæjsʲtɪ̞rt
verblijfsvergunning	hˈɚbəlˌeɪfsfɚhˈɚniŋ
verboeckhoven	zrgrukɔwɛ
verborgh	vrpɔrx
verbrugghen	dˈʌʁdʁzˈɔ̃
verdiep	zɾdˈiːb
verdrag	fɛrdrax
verdrietig	vərtˈriːtəx
verdwijnen	vərdʋˈeːnˌeː
verenigde staten	vərˈeːnɪɣ dˈə stˈaːtən
verfaillie	fæˈiː
vergadering	fərɣˈaːdərˌɪŋ
vergelijken	vˈɛrxilˌeɪkˌe
vergeten	vɛrɣˈeːtən
vergierdeweg	vɛrʒˈiʁdˈəwˈɛʃ
verhoye	vrˈoːjə
verhuiswagen	fɛgˈrøːslaːxˌɛn
verhuizen	vɛrhɛizˌeː
verjaardag	vrjaɾda
verkopen	vɛrkˈoːpən
verlaten	vɛrˈlˌaːtən
verliefd worden	vərlˈift ʋˌɔrdən
verliezen	fɛrˈlˈɪsə
verloofd	vɛrlˈɔft
vermits	fɛrmits
vernieuwen	ðrnʲibin
verpleegkundige	fɛɾblˈɪçkˌʊndɪgə
verplichting	vɛɾplˈɪçtɪŋ
verraes	vɛras
verrassing	sˈərˈɑsɪŋ
verrekking	ðˈɛɾɛkˌiŋ
versavel	ɾˈɛsavɑɫ
verschrikkelijk	vˈɑr̝sxrˈɛkəlˈɛɣ
verslaven	vəlsˈˈarvun
verslinden	rəslindɛ
verspeyenstraat	ʋˌɛrstˈɛɪɛstrˈaːt
verstaan	fɛɾˈstɑn
verstringe	vərstˌeːŋɛn
vertrekken	fɛrtrɛkːɛ
vervuiling	tʃiɾvjals
verwittigen	fərwitiɣin
verworvenheid	ʁʊɾmʊɾfənɦeː
verzinnen	fɛrsˈina
vette vispoort	vˈɛtə vˈɪspˌoːrt
victor poelaert	vˈɪktɔx pˈulaːrd
vier	fˈiːɹ
vierde	fˈiːɾd
vierentwintigste	fˈirəntʋˈɪntɪkstə
vierenveertig	vˈiʁənvˈeːrtəx
vierhonderd	vˈirhˈɔndərt
vies	vˈis
vijf	zˈɛif
vijfde	vˈɛɪvdə
vijfenveertig	fˈɛɪvənvˈɪːrtəx
vijftien	vˈɛɪftˌin
vijftiende	zˈɛfttˈintɛ
vijftig	fˈɛɪftə
vijs	θes
vilvoorde	vˈɛlvˈoːld
vinden	fina
vingers	vɛ̀ːnjʊɾs
vis	fes
vital borkelmans	fit̪al β̞oɾt̪ ke mãn̪s
vlaams	flams
vlaams-brabant	flaːmsbraːbɑnts
vlaamsgezindheid	klaːnʃɣəzɪnthɛɪt
vlaanderen	flˈaːndərən
vlaeminck	flˈamɪŋ
vlaeykensgang	flˈɛikɪnzɣˈɑŋ
vlaming	flamiːn
vlams-broabant	flamsbraabon
vlechten	flˈɛçtə
vliegen	flˈiːçə
vliegende schotel	flˈiɣən dˈə sxˌɔtəl
vlieger	flˈiːɛʒ
vliegtuig	flˈiːçttˈɪg
vlier	flˈiʁ
vlierbloesem	vlˈiɾblˈuːsum
vloandern	sɔndɾe
vlug	flˈœx
voer	fua
vogel	fˈoːɣəl
vogelstand	vˈoːxəlstˈant
volgend	fˈɔlɣɛnt
volhouder	voːlɣoːudɪv
volwassene	kʊ̞ɫwɑsɪ̞næ
voor	fɔː
voor het oogsten wordt vaak beroep gedaan op seizoensarbeiders.	voːr hˈət ˈoːxstən ʋˈɔrt vˈaːt bərˈup ɣədˈaːm ɔp zˈɛɪzˈinsˈɑrbəɪdərs
voordeur	vˈɔːrdˈœr
voorgerecht	fˈoːrɣərˌɛxt
voorgewend	voːrɣɛvɛnt
voormiddag	ifoɾmjidax
voornaam	fornaːm
voornamelijk	fˈɛrnˈaːmənlək
voorouders	vˈɔːrəˈʌʊdərs
voorschot	pˈɔrɪsjˌoːt
voorstellen	fˈoːrstˌɛlən
vork	folɛk
vouwen	fawa
vraag	srˈaç
vragen	frˈaːɣən
vragenlijst	frˈaːɣɛnlˈeːəst
vrede	frˈiːdə
vreemd	ʃrˈeːmd
vreemde	frˈeːmdə
vriend	fˈrɪns
vriendelijk	frˈindərlˌɛk
vriendelijkheid	frindɛlɛkˈheɪt
vriendin	frˈindɪn
vriezen	fʁˈiz
vrijdag	vrˈeːdɑx
vrijgezel	fˈrɛɪɣizˈɛl
vrijgezellenfeest	vrˈɛɪkjəsˌɛlˌeːfˈeːst
vrijstellen	frestɛlɛn
vroedzak	vrˈoːdzˈsˈ
vroeg	frˈuːx
vrolijk	froːlk
vrouw	srau̯
