1	yks
mitmekihiline	mʲitmæki̠iʲlʲɪnæ
mitmekordne	mitmɛkɔrbˈnɛ
mitmekorruseline	miːtmɑkorvuselineː
mitmekülgne	mɪtmɛkylgnɛn
mitmendal	nit̪mɛnd̪ɑl
mitmepalgeline	mitmepɑlg̊e̞lin
mitmetoimeline	mitøbˈmɑtoimˌeline
mitoos	mjtuus
mitte	miːtːɛm
mitte eriti	mɪt terɪtːɪ
mitte kunagi	mikːtːɑ kunɑk ei
mitte midagi	mitːe mitæˌki
mitteametlik	mitɛɒmɛtlik
mittelahustuv	mitːɛlɒhustov
mitterahuldav	mitːɾɑhulːdɑm
mittesoovitav	mitːesɔːviktɑˌl
mittesöödav	miˌtˌtˌeʃiˌøˌdæm
mittetäisnurk	mitːetæisnurk
mitu	mitːu
mitut	mˈɪtːut
mobiiltelefon	mobiːltɛlˈfɔn
mobiiltelefoni	mobiˈltelˈefˌoni
mobilisatsioon	mobilisɑtsʲio̯ˌn
mobla	ˈɑblɑ
modell	motel
modellindus	mʊdɛlɛndus
moderniseerimine	mɑd̥erniseːrimine
modernism	mɔtɛrnˈɪsm
modernne	moteˈrnˌe
moekas	mˌoˌekkɑs
moekunstnik	moæɑkʏntsniːkː
moldova	moltova
mollusk	molosk
molübdeen	mˈoːlˈiptˈa
moment	omˌɛnt
monaco	monaːko
mongoliidid	monkoːˈliːdɪd
mongoolia	mɔŋgɔlɛjɐ
mongoolia kiur	mɑn kooːliak juːr
monoamiini oksüdaasi inhibiitorid	mono abe nʲeu̯ pʃɨta vasʲa adzʲin ʲinʲijtkaj
monogaamia	mon
monoksiid	monoɣ̞sjð̞
monoliit	mænˈlid
monoloog	monoloɣ̞
monomeer	monomeɾ
mononukleoos	monaːnuːkleːʔuz
monopol	mwˈenˈofbɔl
monoteism	monoteˈsm
monotoonilisus	monotonilisus
monstrum	mɔnstrom
montaaž	mɔntaːʃ
montenegro	mˌontˈeˈnnˈegɾotʃernˈokˈore
montreal	mˌɔntˈɾˈeal
mood	mɒːt
moodi	mˌoːʊʊti
moodus	mˈoːtʊz
moondekivim	mɔnˈtˈekivim
moor	mˈɔr
moos	mˈɔz
moosisai	mɔ˥˩ɕi˥˥ɕjɛ˥˥
mooste	mʊ̞stɑ
mootor	mˈotːor
mootorratas	muutˌorraˌtˌas
mops	mups
moraalne	moraln
moreen	moræn
morfoloogia	morfoloːkje
mormoon	mormon
morn	morn
mornilt	mˈuːrnilt
morpheus	mˌɔɹfɨəʊz
morss	mʊɾs
mosambiik	sˌænpiːk
moscow	mɔskva
moskiito	mˈoskito
moskva	mʊskʋa
moskvasse	mæskæsæm
mossis	mˈossʌ
mossitama	mˈɑːʃitˈtˈɑmɑ
motett	mʊtːɛk
motivatsioon	motivakjon
motiveeriv	mortivere
motoorne	mˈotːorne
motoroller	motorolleɾ
muda	mˈuta
mudane	mutaŋɛ
mudanepp	mutaːnɛp
mudatilder	mutaːtilder
mudilane	muːdiːlɑnɛ
mudilaskoor	mutiːlaskɔr
muffin	mufːiːn
mugandus	mukɑnd̥us
mugav	mˌokˈalˈmˈ
mugavalt	mukaːvɑlt
mugavasti	mukaːvɑsti
mugavus	mukavus
mugul	mˌuːkuːl
muhe	moqe
muhedalt	muhɑjtɑl
muhedus	ˈmuxet
muhk	mˈuχk
muhklik	muːhklɪk
muhu	muxu
muhv	muf
muide	bujˈdɯ
muidu	mou̯tɛ
muidugi	muːjdʒuː
muistend	muiʃtɛn
muistne	mujsmɑ
muistsel ajal	muː iːʃtʃɛ lɑjɑn
mujal	mujal
mujale	mujɔle
mujalt	muːjˈalt
mul	bʊl
mul ei ole	muːn˧˥lɐiː˧˥ jɔː˧˥laː˧
mul läheb hästi	walaːʔabastɪ
mul läheb hästi (i am doing well).	mælˈbʲoːste
mul on	mʊˈlɔn
mul on janu	mun loɲanu
mul on palju sõpru	mulɫom paljusɨp pro
mulatti	mulattʲi
muld	mult
mulda	mulˈlˈitˈɑ
muldama	muɫeɾtama
muldvana	mˈʊltvˈɑːnɜ
mulgikapsad	mulg̊ikɑpsɑd̥
mulgipuder	mʏlkiːpʊdɛr
mulinee	voline
muljetavaldav	muʝetdavɑldɯm
mulk	mˈuːl
mull	mwˌiː
mullastik	mulːɑsti
mullateadus	mulladʒiɑtʃ
mulle ei meeldi	ul̪nˈ
mulle maitseb	mulːe mɤitsjɑb̥
mulle meeldib	mulˈlˈɑ meˌeˌltidɑ
mullivee	mʊɪllive
mullivesi	muljvesʲi
mullune	mʊllɔne
multivitamiin	mɛtˈtˈɛstˈtamiːm
mummuline	muːmuːliːnɛ
muna	muna
munad	munat̪
munahammas	munɑhomˈmas
munakollane	munakullan
munamägi	moːnɑːmki
munapuder	munˈaːpˈudɛr
munavalge	munɑvɑlke
munavõi	monovɨ
muneja	munɛ
munk	mˈɔ̃k
munn	mwˈin
murakad	muraːkkɑt
murakas	burɑkkɑs
murd	murt
murdeline	murɪtælʲïnæ
murdja	murtʲe
murdumatu	murtʊmɑtʊ
murdvargus	muɾɯtvarɾəkuz
muredus	mʊrɛtʊs
murel	wuræl
murelik	morɛlik
muretsema	mʊrɛtsɛma
muretsetakse	mʊɾɛtsʲetakse
muretu	mʊrˈetːo
muretus	mʊrɛtːʊs
murrak	murraka
murrang	moralɣ̞
murranguline	muɾɾaŋkuɭina
murrutus	murrotus
muru	murˈu
murumuna	muːˈrɔːmʊnˈ
musi	musi
musikaalne	musiːkːɑːlˈne
muskaatpähkel	muskɑːtˑpæhkel
muskoviit	muskovit
mussoon	musˈɔˈn
must	must
must meri	must mɛrim
must-harksaba	mʊ̞stʰɑrksɑpɑ
must-kärbsenäpp	mustkærp̥sinɤp̥
must-lepalind	muʃtlɛpalin
must-toonekurg	mustɑnekug
mustad sõstrad	mus dat sərat
mustakivi	mʊ̃stɑkɪvʲi
mustamäe	mustamæ
mustamägi	muːstɑːmɑːki
mustand	mustãn̪t̪
muster	mʊstɛr
mustikad	moɯsɯteikːǎda
mustikas	mustikːɑs
mustjala	mʊ̃stiala
mustjalg-tüll	mustjɑlg̊tyl
mustjas	muskʲes
mustjõe	mustɪlɛ
mustkael-pütt	mus̺t̪kalb̥it̪
mustkunstnik	muʃtunʃtɪ
mustla	mʊstla
mustlagle	muʃtˈlˈaklɛ
mustlane	mˈuˈstlˈaˈnˈɯ
mustlanna	mʊ̃slːanna
mustlauk-õgija	mustʃoɾkukɪjɑ
mustlõoke	mustsʲlʲoktʲe
mustmuld	muːʃtmʊlt
mustpea-põõsalind	mustəbiɑbɾəuzɛlɪnt
mustpea-tsiitsitaja	musʲtsʲbeatsʲiːgitsʲʲistɪ
mustpugu-rästas	muspogorestas
musträhn	mˈustraːt
musträstas	musrestas
mustsaba-vigle	mustsʲapɑvikle
mustsõstar	ustsʲəstar
musttihane	mustiɦanˌe
mustus	mustus
mustuseplekk	mustuseblæk
mustvaeras	mustvaːras
mustvalge	ustvɑlge
mustvee	mustʁøz
mustviires	musʲtsʲvʲiːɾas
mutageenne	mutakeˌeneˌ
mutagenees	β̞ot̪akene
mutatsioon	mʊtːɑθɔːn
mutike	muʲtjɪkːɛ
mutism	mugtis
mutt	mˈuit
muu	mˈo
muudab	muːdɑb
muudetav	muːtɛtːɑvˈ
muulukas	muːluːkkɑs
muuseum	musjɔm
muuseumiöö	muːtsɛːlmiːˈøː
muusika	musikːa
muusikaline	musikaline
muust	must
muutlik	muːtlik
muutlikkus	muːtlikkuz
muutma	mˈutma
muutnud	mˈutnʊt
muutub	muːtub
muutuma	mˈutːumɑ
mäda	mˈatˈa
mädarõigas	mɛdɑroiːkɑs
mäed	majd
mäeküla	mˈɛtɛkɵlˈɑ
mäestik	mæ̹sʲtʲikː
mäesuusataja	mɑeisuːsɑtːɑjɑ
mäetaguse	mæ̹etɑkuze
mägede	mækːɛtæ
mäger	makkeɾ
mägi	maki
mägi-kanepilind	mɛgɛkɒnɛbːilint
mägikana	mækiiːˈkɒnɒː
mägikiur	mækikiur
mägiraat	mɛgiːrɒtː
mägironimine	mægiːrɑːniːmɪnæm
mähe	maːhe
mäksa	maksa
mälestusmärk	mɛlɛstosmɛrk
mäletama	malotːma
mänd	mend
mändjala	na˥˩nitja˥˧la˥˥
mäng	mæŋk
mängija	mæŋkɪæ
mängima	mʃgimɔ
mängur	mæŋkuɾ
männi-käbilind	mˌaɪnliːkapɪˈniː
männiku	mennikːu
männileevike	mˈɛnnileːvikːe
männipuu	manibu
männiriisikas	menniriːsʲikɑs
männivaksik	mænːivɑksik
mänsak	mˈɛnˈsæ
märg	mærk
märgatav	merkɑktʃ
märja	mˈɛria
märjamaa	maɾijama
märk	mæɾ
märki	marki
märkmik	kmˈitˈ
märksõna	mˈɛrksonˈa
märkus	mærkːus
märkused	mæɾkqd̥
märt	mɛrt
märt israel	mɛrtːi izræel
märts	mɛrts
märtsikelluke	mˈaɾtʃigˈelˈukːa
märulipolitsei	marɔlipʊˈalitʃːai
määrab	mˈɛːrɑːp
määrama	mæːrɑmɑ
määramine	maːrmina
määratud	mähˈraːtut
määrdumus	maːrdɔmuz
määrdunud	mæɾdənud
määrsõna	mɛ̀ʃɑ˨˩nɑ˥
mõdu	mɨdu
mõeldamatu	mɤjldæmættuv
mõeldav	mɤʲɛltɑm
mõhu	mɐɦu
mõigu	mɯːʔɨkʰuː
mõis	mɯːˈisˈ
mõisa	mɨnʲisja
mõisahoone	mɤisˌehoˈna
mõisahooned	vɤisɑhoːnɑt
mõisaküla	mɤisɑkɪlːə
mõisal	vɯjːnisæl
mõisale	ʔˈʋˈʔˈ
mõisaomanik	mɤisoʲmɑnʲik
mõisasse	miːsˈasðˈɑ
mõisat	mɑi̠sɑtˑ
mõistad?	mɨztat
mõistetav	mɯi̠stetːɑ
mõistev	mɯ̞jstɛd
mõistlik	mɯ̞sʲtʲlʲikː
mõistus	mɐistʊs
mõistuse	ɔiːtʃtɔzɛnt
mõju	mɯˈʌ
mõjusus	mujjosos
mõlemad	mɯ̀ːlɑhmaːt̚˨˩
mõmmi	mammʲi
mõnda	mɯ̞nta
mõned	mɯnɛt
mõni	manˈj
mõnikord	manʲikɔrt
mõniste	mɪniste
mõnu	mɯ̞n̪o
mõnus	manos
mõrkjas	mɯ̞rpkʲɪʂ
mõrsjapart	mːyrːysjɑpɑrt
mõru	mru
mõrv	mɯ̞rʊ̞ʋɑ
mõrva	mɤrʋɑ
mõrvama	mɨrvona
mõrvar	mɯɾɯvɑːr
mõte	mɯ̞tːɛ
mõtet	mˈʌtˈɑt
mõtete virvarr	mɤtete ʋir vɑr
mõtleja	mɯ̞tɫɑ
mõtlema	mʏ̞kɫɛmɫ
mõtlemisvõime	butlamis̺ikoima
mõtlen	mɯ̞tɫɛn
mõtlesin	mɯ̞tɫɛsʲin
mõtlev	mətˈlɛ
mõtlik	mɯ̞tlʲɪk
mõttekas	mɤtːekas
mõtteline	mɯ̞tːæ̹li̠næ
mõttetera	mɤtːɛterɑ
mõttetu	mɯ̞tːɯ̞tːʊ̞
mõttetus	mʏ̞tːɛttʏ̞s
mõõde	mɯtɛ
mõõgavöö	mˈɚˈgˈəvˈˈʌ
mõõk	mˈœk
mõõt	mˈuːt
mööbel	møːpˈel
mööblit	mˈøːblɪkt
mööda	møːtˌeː
möödapääsmatus	mpyˌliˌtɑtæˌɑˌismɑttuˌs
mööduja	mˈʌdˈɔja
möönma	mønmø
mükoloogia	nɪkɔloːkjɛ
mündid	myndid
münt	mint
müra	mˌɪɾˈa
mürgine	mʏ̞rkʲiːnʏ̞
mürgisus	mørkʲisʲũz
mürk	mʏ̞rk
mürkel	mʏrkːɛl
mürkmadu	mɯ̞rkmʊ̞tʊ̞
mürr	mˈɪr
müsteerium	mysteːrium
müts	bitʃ
müü	mˈu
müüa	beˈʎa
müügi	buki
müügiplaan	mˌʏkiːplˈɑːn
müügis	muːgiz
müüja	myːja
müük	ljˈk
müüma	muma
müür	mˈʉɾ
müüri	muːri
müürivahe	myˌriˌvɑhɛ
n	n
naaber	nɔper
naarits	nˈɔɾɪtz
naaskelnokk	nɑːskelnokː
naatrium	natrium
naatriumhüdroksiid	nɑːtriːɑmhidroksiid̥
naba	napa
nad	nˈɑt
nad tõid lapsed ära	nɑtɤid̥ lɑpsetɑ rɑ
nadi	nˈaɪti
nael	noel
naer	nˈɔɪɚ
naerab	nɔɛɾɔv
naerma	nˈoːˈɛrmɐ
naerukajakas	nɑerug̊ɑjɑkːɑs
naerusuine	naɾɔzɔjne
naerutiir	naerutiˈr
naeruväärne	nae̞rɔvˈɛrne
nagu	nakˈu
nagu öö õis	nakulæris
nahaallergia	naːgɑlɑr
nahahaigus	nɑhahɑaikus
nahapõletik	nɑhɑˌpøˌeˌtˈsiˌkˌ
nahatüübile	nɑhɑdɯːbilɛn
nahk	nˈaxt
nahkhiir	nˈɔxkˈiːɾ
nahkjas	nɑːxkjɛss
nahkur	nˈokˈuɾɾe
naiivne	nojɛvnɛ
naine	nojnæ
naise	nˈoˈisɛ
naised	naiːsɛt
naisekandmine	ɑisɛgɔndvilæt
naiselik	nɑiselik
naisi	najnsi
naiskelner	nɑiskelːnɛr
naiskoor	majskɔːr
naissaar	nˈaɪssˈɑɹ
naissaare	naessaɾe
naissoost	najssaʃt
naiste toad	nɑiste tuot
naisteportaal	najesteapɔɾtal
naisteportaalis	noisteportaliːs
naistööline	nɑisteʲɛlʲine
naisõiguslus	nɑi̯sɑi̯kˑuslus
nakkushaigus	nɑkːushɑːi̯g̊us
naksitrallid	nɑːksidrɾæjlːit
nali	nˈoːli
nalja	nˈoːʎa
naljakas	najakkɐs
namiibia	amibia
nandu	nəɳɖu
nanomeeter	nonometteɾ
nanosekund	nɑnɑsekːund
narkomaan	narkomajn
narkoos	nˈˈarkˌoːʃ
narkootikum	arqɔtikːum
narmendav	normentav
narr	ar
narva	narɔba
narva trans	nˈɔrvɑ trans
narva-jõesuu	nurvɔjuʔɛsv
nastik	nast̪ik
natsism	natsism
natuke	natukːe
natukene	nɑtukɛnɛ
naturaalne	natʊralne
naturaalne vesi	naturoɫno vizʲi
naturalism	natʊɾalism
naudi	nˈaʊti
nauding	nˈoʊtɪŋ
nauditav	nˈaʊtɪtːˈɑvˈ
nauru	nauɾo
nausikaa	nau̯sikːɑ
nausküla	naːʊ̃skiːlɑː
need	net
needmine	neːtɛtminɛ
neeger	neːgɛr
neelama	neeːlɑmɑ
neeme järvi	ne mejar vi
neerupõletik	neːropylædːikː
neetud	nˌeˌetˌud
negatiivne	nekɑtiɑjne
neid	mˈɛ
neil on	nej˨˩lɔːn˧˥
neist	nɪ
neitsi	nˈeˈitsi
neitsikurg	ne̞ʲtsʲikork̞
neiu	nejo
nekroos	nekros
nekropol	nekropol
neli	nˈelˈi
nelikümmend seitse	neːlɪkəmend seitsæ
nelinurk	nelinurk
nelinurkne	nˌeliˌnurkne
neliteist	me̞liːdeːst
neljapäev	neːljoːpːəiːm
neljapäevani	neːljoː˧˥pæːˈvɑːniː˧
neljas	nˈelˈiɑs
nelk	nˈɛlk
nemad	nˈɛ
nemad jäävad	ne̞mɒːtiː ævɒːt
nemad lähevad	nemɑːlt læhæivɑt
nemad tulevad	nɤmɑːt ˈtulevɑt
nemunas	neeb̞ɾɑs
nende	nente
nendel on	nen te long
nendeni	nenbeni
nentima	mentima
nentis	entis
neodarvinism	neotoɾvinis
neodüüm	ne˥˩˦tyˢ˥˧
neoon	neon
nepal	nepal
neptuun	nˈɛptˌuːn
neptuunium	neptˌuhˈniˌu
nett	nˈɪt
neurokeemia	ne˩˥ːʊ̃ɾɔ˥˩ːke˩˥ːmja˥˩
neuroloog	neurolog
neuroos	neʊɾos
neurootiline	nɛwrɔtilɪːnɛ
neuroteadus	nˌeˌuˈroteˌɑˈtus
neutralisatsioon	neut̪ɾaljzatsiõŋ
nicaragua	nikɑɾɑgwɑ
nigeeria	nɪkɛria
nigel	nigɛl
niger	nɪ̞gɜ
nihestus	ihestus
nii	ni˨˩˦
nii hästi	niː tʃɛstʃɪ
nii ta ütles	ne̞ ita jɔtkɞɬɛʃ
nii... kui ka...	ni kuiɣa
niidu-kaelustäks	niːtuːkɑelusd̥eks
niidukiur	niːduːkjuːr
niilo	nilo
niilus	nilus
niimoodi	nˈeimˈoːdˈe
niisama	niːsama
niiske	nˈiːsgə
niit	nˈit
niituss	niːtuʃ
nikkel	nikːel
nikkuma	nikːumɑ
nimekiri	nimɛkiɾim
nimetama	nimetˈɑmɑ
nimetamine	nimetˈɑmɪne
nimi	nˈimi
nimisõna	ne̞sɯ˥˩sɯna˥˩
nina	nˈino
ninasarvik	ninæsɑrvikː
ninasarviklane	niːnɑːsɑrvikːlɑnɛ
ning	lɪŋ˨˩˦
nioobium	niobjo
nipsakus	nipsɑkːus
nirk	nɪrk
nissi	nɪsi
nisu	nizˌo
nisujahu	misojaho
nitrosüülväävelhape	nˈiːtˈrˈoːsjˈʉlvˈɛːvəlhˈapə
njuuton	nˌuːton
noad	nˈɔːt
noarootsi	nuaroˈtsi
nobe	nope
nobeelium	nobˈelˈiʊ
noh!	nˈo
nohu	luxu
noku	nˈokːo
nomenklatuur	nomenklatuːr
nominaalne	nominoln
noobel	nˈɔrˈɔpel
nood	nˈɔrt
noodistik	wtˈeʃ
noogutus	nukutːus
nool	nˈɔl
noomitus	noːmiˌtˈtus
noonius	nˈo
noor	or
noor ja roheline	nuːrɪː ruxæ lːine
noor kukk	noɣ̞oɾkuk
noorelt	nˈɔ
noorem	nurem
noorendus	naurentos
noorik	nurik
noormees	noˈrmes
nooruk	nʊruk
nooruke	nˌoˌrukˌe
noorukiiga	noːruːkːiig̊ɑ
noorus	nauruz
nooruslik	noːruslikː
noot	nˈɔt
norgu	noɾekˈo
norija	noriːa
normaalne	nˈɔrmals
normaalselt	noɾmalsel
normistik	normiz
norra	nˈora
norralane	noralana
norras	moras
norsatus	nˌoˌrsɑtˌtus
norskama	noɾskama
norus	nus
notariaalne	nˈotːaɾɪalne
noteering	nˈɔtˈerɪŋ
notsu	nojtsʲu
novaator	novatːor
novaatorlik	novɑːtːorlik
november	novˈemper
noviits	numeɾoviɟʝ
nuga	luːgˈaː
nugiline	nukiiline
nugis	lo
nuhk	nˈuːx
nuhtlus	nˈɔxtlʊs
nuikapsas	noikapsaz
nukker	nukːɛr
nukkvõll	nˈʌkvˈɛlˈ
nukrameelne	nukːramen
nukrus	lukrus
nukulik	nˈoːkˌuːlik
nukumaja	nˈukːoːmˈʌja
nulg	nɔlk
null	nɔj
number	nombaɾ
numismaatika	nˌumismˌɑˌtikˌɑ
numismaatiline	numismɑʊtiline
nummerdus	numertɔs
nunn	nˈuːn
nunn-kivitäks	nunkid̪ið̞eθs
nunnu	no˩˥ːj˧nno˥˩ː
nupp	nɔp
nupukas	nˈupːukːas
nupukus	nopukus
nuputus	nopukt̪os
nurgake	nurkɑkːɛ
nurgamõõdik	nurkamøðʁø
nurgeline	nurkeljna
nurgik	nurkik
nurjas	nwɾies
nurjatu	nˈuːrɪaˈtːo
nurjatus	nˈʊtriatːɔs
nurk	nʊɾk
nurkkiirus	nˌurkˌiˌrus
nurknihe	nurknihæ
nurkse	nrkse
nurme	nˈuɾmə
nurmkana	nʊrmqɑːnɑl
nussima	nˈuːsɪmˈa
nutan	nutem
nutikas	nˈoˈeʎakˈasˌo
nutitelefon	nˈuitˈitˈeˈlˈefˈon
nutma	nutma
nutt	nˈot
nutta	nuta
nuudlid	nˈoːtlˈɛt
nädal	natal
nädalalõpp	nˈnˈtɑlɯnɯp
nädalat	nat̪aɑlɑt̪
nädalavahetus	nætælˌeʋɑhetˌys
näe	nˈaɪ
näed	nˈajd
näen	nˈaɪn
näete	nɑtˢar
näevad	nɛːvɑt
nägema	nakema
nägemiseni	nɛgɛmiːzɛnʲiːm
nägemiskontroll	nɛkemiskontrol
nägemist	lˈagˈamˈsˈtˈ
nägemist!	nakemiste
nägemisvõimetus	nækemisvɤimetːus
nägu	nˈɑ
nägus	nˈɛguz
näha	nhɑ
nähtamatu	nɛhtɛmatːu
nähtav	nˈɑxtav
nähtavasti	næhtʃˈɒːʃtiː
näidanud	nˈɛndtˈɑˈnˈud
näit	nˈaɪ
näitaja	nˈɛitˈtˈɑjɑ
näitama	næjtːɛmɑː
näiteks	nˈæpɪks
näitekunst	næitːækunst
näitleja	nˈaɪtwˈɚ
näitlema	lajtlamaː
näitus	naitos
näkineid	nɛkːinei̯t
näks	nəks
nälg	nˈaɪlk
näljaga söödi kõike.	næli ɑkɑ søːd̥id̥ kɤite
näljane	nɛljɑnɛ
näoga	naoga
näopilt	næwɑpɪlt
näotu	naotːo
näpi	nˈɛpi
närune	naɾɔnɛ
närveerima	merðærima
närveerin	neɾveræˈ
närviarst	nˈɛrvijˈaɾst
nääl	næ
nõel	noel
nõelravi	nokerabi
nõges	numeɾoes
nõid	nˈujːd
nõiduma	nʊitʊma
nõlv	nʏ̞lv
nõlva-lehelind	lʏɫvɑʁɦæliːntrohɛɫæheːlɪnt
nõme	nume
nõmm	nɤm
nõmme	n˧ɯ̞mm˧ʔm
nõmme kalju	nɯ̞m mɛ kalju
nõmmekiur	nɔmmekjuɾ
nõmmelõoke	nɛmmɛlɔkːa
nõmmemets	nuːmɛjmets
nõo	nˈoʊ
nõrk	nʊ̞rk
nõrkus	nʊrkːus
nõu	nˈo
nõuab	nˈuwˈɑp
nõuandja	nəwag̊ɑ́
nõud	nˈoʊt
nõudma	nɛwutmɑ
nõukogu	nedʒuɣoɣu
nõukogude liit	nˈoːukˈɑkˈudˈelˈidt
nõus olema	nɤŋu˨˩˦ ɕuɔ˥˥la˥˥ma˥˩
nõva	nˈuva
nööbid	nˈɚbit
nööp	nɛp
nöör	lɜː
nööri	nˌɔːri
nüri	nˈʊɹi
nürinurk	nyriːnʊrk
nüüd	nˈyt
o	aɻ˥˩
oaas	bɔːs
oad	tua˧˧
obduktsioon	ɑptuːbdʒɑːn
obelix	obɛliks
oda	aʊta
odav	otɑːm
odavam	odavam
oder	ot̪eɾ
ofioliit	ɑfjɑliːd
ogalik	okali
ohakad	ahɑkːɑt
ohakalind	ogãmblĩŋd
ohhoota meri	ˈoxo tɑmɛri
oht	ɔxt
ohtlik	uχtlik
ohtlikku	ɔxtlikːu
ohtliku	oftljkl
ohukolmnurk	ahuqɑlmdʒʊ̞rk
ohutu	aħuðtɔ
ohutuli	axoːtoˈliː
ohver	ɑχfɑr
ohvitser	ofiːtsˈɛɾ
ohvritest	ˈuxfˈritːɛst
oimetu	oimetːu
oisu	oizˈu
oitme	ojtɯmɛ
oivaline	pojbɑːlʔiːnɑ
oja	oja
ojakeses	jɑkːes
okas	ɑqːɑs
okasmets	ɑkɑsmits
okaspõõsas	okːɑsbɾʏ̞usɑs
okastraat	okːaːstrat
okeaania	okːewˈnia
okeaanias	okeɑnjæs
okeanograafia	okeanografˈia
okkaline	okːɑlʲine
oks	aʃ
oksendama	okselatɑmum
oksjon	tʃiqim
oktaan	ogdaːn
oktaav	oktaːv
oktaeeder	oktaælder
oktant	o˩˥ːgt˥˥aɪnt
oktoober	ɑkˈtɔˈbɛr
okulaar	okulaːr
okultism	okultizmɛ
okupatsioon	okupatʃoːn
olari elts	la ɾi el iʃ
ole	olɛ
oled	ˈɔlˈɛd
oleiinhape	oleiːnˌhɑˌpˌeː
oleks	oleks
olekumuutus	olekɔnuːtʃ
olelus	oleors
olema	polɛma
olematu	oːlajmɑtu
oleme	oleme
olemise	ulˌeˌmisæ
olen	ɔlɛn
olenevalt	ulˈlˈaˈinˌvælt
oleng	aˈlɛnk
oletama	olettɑmɑ
oletus	olætˈtys
olevik	olevik
olevus	oleus
olgina	oɛlɣˌiːnˌa
olgu	oɫefe
olgugi	oɔlqoːkiː
oli	ɔli
olid	ulid
oligarh	olikor
oligomeer	oligomeɾ
oliiv	ɑlˈiv
oliivikarva	ɔliːvikɑrʋa
oliiviõli	olivɪˈoːliː
olin	olim
olla	oɫːɑ
olnud	ɔːlnˈɔt
oluline	ɑlɔlini
olustvere	aːlustvjere
oma	ɔma
omaan	ɒːmɒːn
omadused	omɑduzɑt
omadussõna	ɑːmadʒtʃæˈnɑ
omakorda maanteel lauad	kɔma koɾda maːn tɛl lauat
omandimaks	omɑnɗ̥imɑks
omanik	komaːni
omapärane	omapaɾanɛ
omastama	omɑstɑmɑ
omastav	omastav
omasõna	pˈoːmˌɑːsɪŋˈa
ometi	ometːi
omlett	ˈɔmlɛt
on	ũn
on külm	on grimɛ
on sinuga kõik korras?	ontsʲinugo kɨj koras
ondatra	ondatr
ongi	wʊ̞ŋgɪ̞
onkoloogia	onkolokija
online-kaubandus	un
onn	pojnt
onnis	pojniz
ontika	ointikːɑ
ontikasse	untikˌøssˌæ
ontogenees	ont̪okẽn̪ke
onu	omez
onupoeg	unuboːˈɛk
onutütar	unˈudʏtːɑˈr
oodake	kuutakke
oodake üks hetk!	luːd̥ɑkˌeikˌ setk
oodatud	ɒtɒtˈut
oodetesse	oːtˌtesˈse
oogenees	ˈɔ̃kəniˌs
ookean	okːeɑn
ooker	ˈɔˈɔkˈɛɾ
ooper	opˈɛɾ
oopus	opus
oos	bɔs
oota	otːɑ
oota kui kuningat, läheb mööda kui sant	hoːtɑkui kuning̊ɑt læhed̥ møːd̥ɑ kui sɑnt
ootama	tɑmɑ
ootamatu	oˈtːɑmɑtˈtu
ootan	uːtːɑn
ootus	ɔtːus
operatsioon	operatʃoŋ
oportunism	ɔpɔrtʊnism
opsti	opste
optik	optik
optika	optika
oraalne	oralne
oranž	oranʲdʐ
orav	ɔras
orava	ɔrava
orbiit	rbˈit
orbitaal	orβ̞it̪al
orbitaalkiirus	ɑˌrbitˈtɑˌlkiˌrus
ordu	ortu
oreool	orɛol
org	ˈɔrt
organisatsioon	oɾɣ̞anizats̻ion
organism	oɾɣ̞anism
orhidee	orkit̪e
originaalne	orˈiːgˈɪnɔln
orion	oreon
orissaare	orjsara
orjalik	oɾialik
orjalikult	boːrjaːkolt
orjatar	orjatːar
orjus	orrios
orkester	æɾkæstɛr
ornamentaalne	ornamentalne
ornitoloog	ornitoloːk
ortograafia	ortografˈja
ortoloogia	ortoloːkia
ortopeediline	ortopeːɟilina
oru	ˈɔru
osa	ɔsɑ
osakene	osɑkˈene
osakond	pɔː˧˥saː˧kɔn˧
osalemine	aːsalemiːne
osaline	osaline
osaliselt	osɑːmiselt
osanik	osɑːni
osas	alsas
osastav	osɑːztɑv
osavasti	osɑvɑsʲti
osavus	osapʊs
osaühing	osɑiʲn
osi	�o˥˥
oskaja	oskaja
oskama	oskama
oskamatu	oskamato
oskamatus	oskamɑtʃɑs
oskar	puzkɔr
oskus	oskos
oskuslik	oskoslik
osmik	osmik
osmium	poɕmɛw
osmoos	osmɔs
osmussaar	osmuzsaːr
osoon	osˈoːɔl
osoonikiht	osˌoˌniːtˈkikt̪
osseedi	osɛjdi
osseet	osˈejd
osteoporoos	ustau̯prozʲ
ostetav	ɔstɛttɑv
ostetavus	ostetɑvos
ostja	poʃtʃa
ostke	ɔstkɛ
ostlemismugavus	ostɫʲɛmizmuːgɑvɔs
ostlemismugavuse	ustʲlʲimismug̯ɑvuse
ostma	ostma
ostukorv	ostukorva
ostukorv on tühi.	kustuˌ korv on tyɣi
osula	pɔsuːla
osuti	osutti
osutus	usutus
otepää	otːɛpːɑː
ots	pɔtsʰ
otsa	otsa
otsakuti	ûːtʃakuitʲi
otsas	ɔtsɑs
otsast	ɔtˢ
otse	ɔtsɛ
otsekohene	otsˈeˈkˈohˈæne
otsene	ɔtsɛnɛ
otsib	otʃip
otsima	ottʃima
otsing	tuttsinq
otsitav	ojtsʲitːa
otsmik	tsmik
otsmine	otsmʲinɛ
otsusele jõudma	utsu sɛlɛjɛuzmɑ
otsustama	otsʏstɑmɑ
