aborigiidna	aborɛgjna
maŋŋágaskabeaivvi	maːnjɛkɑskaʃkapjaːjwi
maŋŋágaskabeaivvis	mau̯ŋækaskɐpjaːjvis
maŋŋágaskabeaivvit	maŋjagˈasgəpˌaːjvˈɪçt
maŋŋágaskabeaivái	mung̊əg̊əskɐpjaɛjvɛj
maŋŋágaskabeivviid	maŋakɐskɐpɛjviːt
maŋŋágaskabeivviide	maːŋɛkaːskɐpɛiːbʲidɛ
maŋŋágaskabeivviiguin	mæŋˈɑkɑskɑpeiˌviguˌɛn
maŋŋágaskabeivviin	maŋlaskɛpeiʋiŋ
meara	meˈaʒa
mearaid	mjalˈrai̯d
mearaide	mjaːrai̯t̪e
mearaiguin	mʲearoajguen
mearain	miːaːrbˈaɪn
mearas	meːeːras
mearat	mjɒːɾɒːt
mearkkaša	mærkəʃˈa
mearkkašan	mærkasən
mearkkašat	mjæ̀rkæʃatː
mearkkašeaba	mjɑɾkesseapa
mearkkašeahppi	mˌiˌærˌkˌɑʃˌɑhˌbˌiˌ
mearkkašehpet	mjælkæʃæjhbɪ̞t
mearkkašetne	mærkæzʲetnæ
mearkkašit	mærkasˈɪt
mearra	maːaːrjaː
mearran	mjarʐan
mearrida	mjaːzɪla
mearridan	me̞ətɾiðɒn
mearridat	mjˈɑrɾiːtʰt
mearrideaba	mjalˈɾidɛapa
mearrideahppi	mijärviːdæhb
mearridedje	mjaɾideˈtʃe
mearridehpet	merridɦbːet
mearrideidde	mˌiaˈrideitˌe
mearrideiddet	mjalˈɾidˈeːidˈeːt
mearrideigga	miaːrideikːɑ
mearrideimme	mˈiˈæzdˈiːˈɛmˈɛ
mearrideimmet	mjˈarˈrdeiːmətt
mearridetne	mˈeˈriːdˈɛtne
mearridii	mʲeː˩˦ærdɾiːdiː
mearridin	mjalˈɾiðˈin
mearridit	mjalɾiːviːd
mearrit	mʲtsʲːt
menddo	mento
merrii	meri
metodistagirku	mɛtɔdistɑkirku
metodistagirkui	metodistakirkoi
metodistagirkuid	metodistakilkuit
metodistagirkuide	metːodˈiostˈakːerkwilˈe
metodistagirkuiguin	metodistakiʁkuikun
metodistagirkuin	metodistẽkirkuin
metodistagirkun	metodishomoikirkun
metodistagirkus	metːodɛstakɛlkus
metodistagirkut	mertˈoːdˈisˈtˈakˌiːɾkˌuht
midjiide	miːdʒiːle
mielas	mialas
mielddus	mjˈɛltʊs
mielde	mjˈelde
mielki	mjælʲki
mielkin	mjælekin
mielkki	mjˈɛlkɪ
mielkkis	mjˈɛlkˌɪθ
mielkái	mʲie̞le̞jkæj
miella	mjˈɛlla
miellahttočoahkkima	mjælːɑħtutʃoːahkɪːmɑː
miellahttočoahkkimat	mjælːɑhtuːdʃoːħkmaht
miellahttočoahkkimii	mielːɑhtuːtʃuːahkɪːmiiː
miellahttočoahkkimiid	mːieːlɑˈtʰoːtʃvɑħkimiːd
miellahttočoahkkimiidda	mielːɑhtuʃoˌhkimitˈtæ
miellahttočoahkkimiiguin	mjælːɑːtd̥ʉtʃækiːmʲiːgɔ̙iːn
miellahttočoahkkimiin	miːæ̹lːɑhtʏd�soħuːħkiːmɪn
miellahttočoahkkimin	miːæ̙lːɑhtuːtævæxkiːmiːn
miellahttočoahkkimis	miːe̞lːɑhtutʃohekɪmis
miellahttočoahkkin	miːæɫæhtuːdʒuɑħkɪn
miellahttu	mʲiɛllafːtɔ
miellahttui	miːænlɑːhtuʲi
miellahttun	mjɛlɑhtuŋ
miellahttuvuhtii	miellatuvuhti
miellahttuvuohta	mjɛlːɑˈhtuvˈɑhtɑ
miellahttuvuohtan	mjɛlːɑhtuːvɑhtɑn
miellahttuvuođa	mjælːɑhtuːvoːra
miellahttuvuođaid	mjɛlːɑhtuːvˈɑʊtˈaɪd
miellahttuvuođaide	mjɛlːaxtuvˈoːdˈaidˌe
miellahttuvuođaiguin	mjælːaħdovoːrðæjkvinn
miellahttuvuođain	mjælːahtuːvˈɑɾɑdˈæin
miellahttuvuođas	mjɛlːatʃiːzialˈvas
miellahttuvuođat	mjælːɑhtuːboːoːðːaht
miellahtu	mjɛlːaːxtu
miellahtuid	mjɛlaxtojt
miellahtuide	mjˈɛlnˈaxtoɪðˈa
miellahtuiguin	mˈiellˈlatˈoˈjgoˈiŋ
miellahtuin	mʲælːahtʊ̞n
miellahtus	mˈɛrlˈaˈhˈtˈus
miellahtut	mjɛlːɑˈhtut
miesejoga	mjɛsɨjo˩˥ːka
miesejogas	mʲìɛ̯sʲɛjûɔ̯kass
miesejohka	miˌeˌsæjˈɔhkɑ
miesejohkii	miɛzeːt̪ɒhki
mieđašeatni	mijøzøzni
mihkkege	mˈɪçgˈɛgɛ
mihttomeari	miːxtomiːˈhæri
mihttomearis	miːtʃtomaris
mihttomearit	nˈɪçtdˈimɪˈrɪçt
mihttomearri	miktˌomˈjˈarˈrˈi
mihttomearrin	nɪçtˈeɾrˈɛmɛrˈdin
mihttomearrái	miːstəmˈiaːrraj
mihttomeriid	mʲiʃtomɛɾit
mihttomeriide	mˈɪxtomˈeːridˈe
mihttomeriiguin	nˈɪçtˈɔnmˈeːrˈɾɪgwɪn
mihttomeriin	mˈɪçtmˈeːrɪn
mihttu	tʃar
mii	mˈeɪ
mii du namma lea?	miː ð̞uːn ɑmːɑlɑ
milkkiin	mˌilˌkˌin
min	mɪn
miššuvdna	mʲisʃultna
mo	mˈɔɹ
moai	muaːi˦
modji	mortʃe
modjin	modʒin
modjái	mo˥˩ːdʒaj˨˩˦
mohki	mohokki
mohkiid	maħˈkæːt
mohkiide	mːˈoçkiːdæ
mohkiiguin	mˌoˌhkiˌˈigoin
mohkiin	mɑhkeːn
mohkis	mˌoχkˌis
mohkit	mɑhgɪ̞çt
mohkki	mɑhuːki
mohkkin	maːħuːkːin
mohkkái	mˈɔxtgˈɛl
mohtor	maħtɔr
mohtora	mohtɑr
mohtorat	maxtdɑrafʁ
mohtorii	mˌaftɒriː
mohtoriid	mohtuɾiːd
mohtoriidda	mˈahtˈoridˈda
mohtoriiguin	maxtdɔriːguːin
mohtoriin	mɒːddɒːɾiːn
mohtorin	mˈɑtːɔrɪn
mohtoris	mahtɑːrɪs
mohtorsihkkel	mɔhtɔsɪçˈɛl
mohtorsihkkela	mˈohtosˈixˈikela
mohtorsihkkelat	mˈɑtɔrsˈɪkgˈɛlt
mohtorsihkkelii	mofˈtˈosˈɪçgˈalˈɪ
mohtorsihkkeliid	mˈɔxtoːrsɪçglˈiːd
mohtorsihkkeliidda	mɔhtɔsɪçkeliːtːɑː
mohtorsihkkeliiguin	moftɔɪnɪçgəlˈaɪguːiːn
mohtorsihkkeliin	mˈɑːtərsɪçgəlˈeːn
mohtorsihkkelin	mˈɔftˈɔkˈsɪçkælˌɛn
mohtorsihkkelis	moːftdoːrɪngəlˈəs
moji	mo˥˩ːʎe˥˩ː
mojiid	mo˥˩ːjit
mojiide	mojde
mojiiguin	mˌoˌjˈɛiˈguˌiˌnˈ
mojiin	mˌɔɹgˌin
mojis	mo˥˩ːjess
mojit	mˈˈɑstˈɾˈɑkt
mollešjoga	mɑːlʃiːɑːkæm
mollešjogas	mɑlˈlɑːʃiɑːgæs
mollešjohka	mɑːlʃohekɑː
mollešjohkii	mɑlʃiːɑhke
mon	mon
morešveaiskáiddi	mˈoːrˈɛsvˈæːsgˈɛitɪ
morešveaiskáiddis	mˈoːrəsvˈɛˈɾhˈæizkˈɛktɪft
morešveaiskáidi	mûɔ̯rʃvʲæ̀ːskæ̝ːtʲi
morešveaiskáidái	mɔrsʋʲæsgɛitæj
moses	mˈaʊsɪz
moskaluktii	moskalˈuktˈi
moskaluokta	mɑskɑlokita
moskaluovtta	mosˈkalʊˈavtˈa
moskaluovttas	mˈɔskalʊˈoftætsˈ
moskavuona	mɑskɑvˌoˌɑnˌa
moskavuonas	moskavûɔ̯nas
moskavuotna	mˈɑskavˈotna
moskavutnii	moskavutne
moskea	moske
moskeaid	mosgajt
moskeaide	moskeit
moskeaiguin	moskeajsɔɛn
moskeain	moskeain
moskean	mˌɔstgˈɛrn
moskeas	moskeaz
moskeat	moskead
moskeii	mˈɔsgaj
movnnesjoga	moːnɛsioga
movnnesjogas	mɔmnɛsjɔːkɑst
movnnesjohka	boːvneθjɔhka
movnnesjohkii	mau̯vnesjuhki
mu	mˈu
mu namma lea ...	moːna mɑlɑ
muhto	mukto
muhtumin	muħtʊmɪn
muhtun	muhtuːn
muinna	ojna
muital	mult̪ɑl
muitala	muːˈistːala
muitalan	mˈuˈisˈtˈalˈan
muitalat	mˈujtəlˌaht
muitaleaba	muist̪aleapã
muitaleahppi	muitˌɑleˌɑˌˈppi
muitaledje	muitaleidʒe
muitalehpet	muistˌaˌlehbet
muitaleidde	mujtalejte
muitaleiddet	mustˌɑleiteˌst
muitaleigga	mult̪ɑleːkɑ
muitaleimme	mujd̥tɑlɛjmɛ
muitaleimmet	mujtæleimeːt
muitaletne	muit̪ð̞jletne
muitalii	muːʃtaˈliː
muitalin	mojsalin
muitalit	mˈuitɑli
muitalus	mujtalɔs
muitalusa	mˈuɪstəlˈˈʊsa
muitalusaid	mojtalˈoːusˈaiːtˤ
muitalusat	muistɑloːsat
mun	mun
mun lean ... jagi boaris	munlæn jɑjːbɒː ælˈɾes
munin	moːnin
munnje	munʲe
munno	monno
munnon	munnɔn
munnos	monnos
munnuide	munnuidɛ
munnuin	moːnnoin
muoffi	mofˈe
muoffis	mwˈafˈes
muoffái	mwafaj
muohta	mˈuːrtˈɑ
muohtaroggi	mˌɑˌtɑrˌogˌkj
muohtaroggái	maːtarˈɔgaːr
muohtarokki	mɑɑhtɑrɔkkːi
muohtarokkis	mɑːhtɑrrokkis
muohtavári	moahtavaːrj
muohtaváris	ˈmɔɑhttɑvɑrɪs
muohtavárri	mohtˌɑvˈrɪ
muohtavárrái	moʔahtɑvɑrrai̯
muoná	mohonhˈnˈɑ
muonás	moːɾnɜs
muora	mo˩˥ːra
muoraid	mˈɔɹɹˈaɪt
muoraide	moaːrajde
muoraiguin	moaɾajkoĩŋd
muorain	mˈoːaɾaɪn
muoras	moːaːras
muorat	mæˈræxt
muorra	mwˈɑlɹˌa
muorran	morɾan
muorraomman	mˈɔrɑˈɔmɑn
muorraommana	moːˈraomˈmana
muorraommanat	moɾrɑɑːmannɑxt
muorraommanii	morraːomoni
muorraommaniid	moʝˈɾaommanˈit
muorraommaniidda	moʝsd̪aommanit̪a
muorraommaniiguin	moɾɾaomaniːqĩn
muorraommaniin	moːˈɑromˈmɑnˈjːn
muorraommanin	moːrɾaːommaniːn
muorraommanis	moɾɾaomanist
murmánska	mʊlmɛnska
murmánskii	mʊɾˈmɑnˈskiː
murmánskka	mɔrmɛnska
murmánskka guovllu sámesearvi	mormaːnska gwɔwlusaːmɨ sɛrvi
murmánskkas	muɾmænskas
murrii	morri
mus	mˈʌs
musihkalaš	mosiːxkalas
musihkka	mˈʊsˈɪçkɑː
musliibma	maːsliːˈænmˈɑ
musliimmat	mˈoʊstliəˈmæt
mussir	mossɛɾ
mussira	mosseɾa
mussirii	musiri
mussiris	mˈʌstɚˈɛdˈɛ
myhta	mjˈstˈa
myhtaid	mʲiw̜ʲt̪o̞it̪
myhtaide	miːɪçtajtæ
myhtaiguin	miixtaiqoĩn
myhtain	mˈeˈistˈaɪn
myhtan	mʲistˈan
myhtas	mortola
myhtat	mˈeːgstad
myhtii	mˌellˈɛstˌe
máhkirjávrrit	mɑχki̠rgɑurɪ̞xt
máhkirčearru	maħkirtʃaro
máhkirčearu	maħkertʃaro
máhkirčearus	maːhkiɾtʃeaːrusːa
máhkirčerrui	maːhkɛtʃɛrɔj
máhte	maːrte
máhtte	maxte
máhttet	maħdɛ
máhttiba	maːhtiba
máhttibeahtti	maxtibeaˈtːi
máhttibehtet	maxtdˈiːbˈɛçtət
máhttit	maħdˈi
máhttu	maħdo
máhttui	mahtʊj
máhttun	mæxtun
máhttá	maħda
máhttán	mahˈtan
máhtu	maːrto
máhtuid	mˈaɾtʊjtˌ
máhtuide	maːrtuidɛ
máhtuiguin	maħdoiːgoiːn
máhtuin	maːrtun
máhtus	maːrtʊs
máhtut	maːrtot
máhtán	maːhtan
máhtát	maħda
máidnasa	maːjædnæstɑ
máidnasat	maːjnæsæd
máidnasii	maːiːtnɛssi
máidnasiid	majɾesiːd
máidnasiidda	mˈæˌidnˈʌsiːdˈtˌɑ
máidnasiiguin	majnasiʄoin
máidnasiin	maːiːtnɛzeːn
máidnasis	majtnɛzsʲis
máilbmi	maɪlˈtˈme
máilbmái	maj
máilmmálaš	mai̯lmalas
máinnas	maːjˈnɑːs
máinnasin	maãmbfãn
máisa	maːrisa
máisan	mæ̹liːæsæn
máisii	majsi
máissa	majˈsa
máissaid	mˈaɪsaɪd
máissaide	maːliːsɑiːde
máissaiguin	maːjsaːjkoːˌiːn
máissain	majsɒjn
máissas	maljˈsos
máissat	maːrˈsɑt
mákse	maxe
máksen	maksˌɛn
mákset	mˈakːsˈɛt
máksiba	maksjva
máksibeahtti	mæksiːbeːɦtɪ
máksibehtet	maːksiːbeːxted
máksit	maqsɛkt
máksá	maksa
mánnodaga	mænnodaːga
mánnodagaid	mænnætɑkɑjd̥
mánnodagaide	mænnætɑːgɑide
mánnodagaiguin	mænnætæːgɑigun
mánnodagain	mænnætagɪ̞n
mánnodagas	mænnɒdɒːɾæz
mánnodagat	mænnɒːdɑːgæt
mánnodahkan	mˈɛnˈɑdˈɑqən
mánnodahkii	mænnodaːkji
mánnodat	mænnoːrɑːt
mánnosaš	mænnɑːzɑːʃ
mánnu	faŋ
mánnui	mˈannuj
mánnun	mannun
mánná	manna
mánnái	mannaj
mánnán	mæn
mánnávuohta	mænːævuˈɑhtɑ
mánnávuođa	mænnevˈɔɾnˈɑ
mánnávuođas	mãnnaboalas
mánu	mano
mánugánda ja heike	mæˌænug jæˌngˈpæjæ heike
mánuid	manok
mánuide	manoite
mánuiguin	manujɣom
mánuin	maːnujn
mánus	manus
mánut	maːnˈft
máná	mama
mánáid	vˈaːnə
mánáide	maːnɛndɛ
mánáidgárdi	maːnaːkˈkɑrði
mánáiguin	maːnaiːɟᵝɪn
mánáin	maːnlˈajn
mánás	manas
mánát	maːnæt
mánáš	banaʃ
mánáža	mænɑːdʒɑː
márjá	maɾɾia
mátki	mˈatki
mátkin	mɑːtkɪn
mátkki	mˈatki
mátkkiid	mártgeːt
mátkkiide	mártkeidɛ
mátkkiiguin	maːrtgeːgojn
mátkkiin	matkin
mátkkis	mortgiz
mátkkit	mˌaːhtkiːt
mátkái	mˈatgˈaj
mátta-várjjaga	mɑhtɑvæɾjɑkɑh
mátta-várjjaga gielda	mɛrtɑbɛrjɑg̊ɑ kæltːɑ
mátta-várjjagii	mɒtˈtɒvɒriɒgi
mátta-várjjagis	mɑtːɑvɑrjaːkes
mátta-várjjat	mɑhtɑbæɾgɑːk
máttasámegiela	mɛhtˌɑˌsæˌˈmˌikˌijæˌlˈlɑ
máttasámegielain	mæˌættøˈsæˌˈmɑgˌiˌelˌeiˌnˌ
máttasámegielas	mæˌˈtˈtˈsæˌˈmikjɑˌˈlˈlɑˌsˌ
máttasámegiella	mɑːtˈtɑzɑmikellɑ
máttasámegiellan	mæˌtˈtæˌsæɑˌˈmɛkjælˌlɛn
máttasámegillii	mæˌættæsæˌɑmˌeˌkˌillˌliˌ
máttasápmelačča	mæhttæzændme̞lætʃtʃɑ
máttasápmelaččaid	maːtːaːaːtmɛˈlɑtʃɑjt
máttasápmelaččaide	mattɑsɛtmɛltʃɛjne
máttasápmelaččaiguin	maːttɒzɒtmɒlɒtʃɒguːn
máttasápmelaččain	maːtːazaːpːbalˈaktʃajnˈa
máttasápmelaččas	mɒtðəzaːtmɒːlɒtʃːɒz
máttasápmelaččat	maːtːɒzɒtnɒlɒtʃɒtː
máttasápmelaš	maːtːɒsɒːtmɒlɒʃ
máttasápmelažžan	maːttosˈbməˈlɑdʒn
máttasápmelažžii	mætːɒzætmɒnˈɑːddʒi
mávssii	malsi
mávssiide	maːvsiːde
mávssiidet	maːvsiːrɛt
mávssiiga	mavsiːga
mávssiime	maːrsimɛ
mávssiimet	mau̯siːmɛt
mávssán	maħlfsæn
mávssát	mælvsæht
máze	maːtsa
mázes	maʔtse
mázii	maːzi
nama	nɑːmɑ
namaid	naaːmaj
namaide	namajdaj
namaiguin	namʲetsβ̞jpolen
namain	nɑːmɑʒ
namas	nˈɑməs
namat	naama
namma	nɑmːɑ
namman	nˈɑmən
nammii	namne
nanu	nano
nanus	naːnʊs
nappo	napo
narviika	narɾviːka
neahtta	nˈɛsta
neahttaaviisa	neahtavaɛsa
neahttaaviisan	naaːħt̪aɑːvɪzɑːn
neahttaaviisii	nˌɛhtˈaˈɑiˈviːsˈiː
neahttaaviissa	nˈɛçtaˈaʊffɪsˈa
neahttaaviissaid	mærðːaːrhˈævɪsˈaɪt
neahttaaviissaide	nɛxtaabisajðe
neahttaaviissaiguin	neħdaɛɦvɪsɛsɛnɛn
neahttaaviissain	naaːħtdaˈɑːvviːzˈaɪn
neahttaaviissas	nextaavvizas
neahttaaviissat	nextavitsatː
neahttabáŋkku	nˌɛhtˈabˈɛnkʊ
neahttabáŋkkuid	nˈɛxtdˈæstbˈaŋkˈuʁt
neahttabáŋkkuide	nehtæpɛnkuide
neahttabáŋkkuiguin	næhtæbæŋkˢuˢiˢkʰoin
neahttabáŋkkuin	nɛrtˌɑbɑˈŋkˈon
neahttabáŋkkus	nextabankus
neahttabáŋkkut	nɛxtapɑŋkuht
neahttabáŋku	nɛhtɑpɑˌŋkue
neahttabáŋkui	nɛhtæbɛnkːuʲi
neahttabáŋkun	nˈɛxtabˈaŋkʊn
nieida	nʲaizda
nieidda	njˈaitːa
nieiddaš	nɛjitɛʃ
nieiddaža	njˈaiːtdˈaʒˈ
nieiddažat	njˈˈɛʒtdˈʒˈaːt
nieiddažii	ɲːejtːaʒe
nieiddažiid	njˈeitːɛdʒeːt
nieiddažiidda	ɲaitadʒejtːa
nieiddažiiguin	njˈeˈjtˈlˈistˈist
nieiddažiin	njɛjtadʒjɪn
nieiddažin	nʲaildadʒɪn
nieiddažis	nʲaitadʒes
niesti	nɛːstɛ
nihkkel	nˈɪçtˈaɪnfˈ
nihkkela	nˈɪçtgəlˈaxt
nihkkelii	nɛçttʃuːliː
nihkkelis	nˈɪçtgˈɛlˈɪs
nisu	nˈeˈisʊ
njealját	njˈeallˈjˈɑkt
njealját mosesa girji	nɛʎi afmosi sɛ ɣriː
njeallje	jˈɛldʒɛ
njealljelogičieža	næˈjjæˈnɑːgjæʃaːˈj
njealljenuppelohkái	nˈjˈɛljˈɛnnˈuːdblˈɑkˈɛ
njoammil	niˌɑˌmmil
njukčajávri	njuktʃajaʋri
njukčajávrri	njuktʃajauɾi
njukčajávrris	njuktʃajaʊɾis
njukčajávrái	nʲuktɕajaʋrai
njukčamánnu	ɲuktʃɒmɒn
njukčavuomi	njuktʃavuami
njukčavuomis	njuːktʃavˈoˈɑmiːs
njukčavuopmi	nʲuktʃavoktmi
njukčavuopmái	nuktʃawɔpmaj
njukčavári	njuːktʃavari
njukčaváris	ɲuktʃaːvaːzɛs
njukčavárri	njuːktʃavare
njukčavárrái	n˩˩˦kʰt̚˨˩ʰaː˧baːraː˧
njuni	nʲuːni
njuniid	nˈunˈeɪt
njuniide	njuːnidɛ
njuniiguin	nˈuːniːkˈuːin
njuniin	nʲowne̞n
njunis	nʲowne
njunit	nˈoːnˈɛt
njunni	nʲ
njunnin	nʲonnʲin
njunnái	nʲinnʲaj
njuollabornjuni	njuãmblapolɲˈʊni
njuollabornjunis	njoaltʃapelistopolʲːunis
njuollabornjunni	nɛwɑllapolɛɲoɲ
njuollabornjunnái	nʊɑllɑpɔɾnũŋnaj
njuorggáma	nʲːoːrkæmæ
njuorggámii	nˈʌˈɾkˈæmi
njuorggámis	nˈoːlkamˈɛs
njuorggán	nˈʉrˈkˈan
njuorju	nʲorɛju
njuvččažan	nˈoːutʃˈadˈan
njálbmi	nˈjˈ
njálbmin	njalepmin
njálbmái	ɲalɛbmaj
njálla	nˈɛlla
njálmmi	njalme
njálmmiid	njalmiːd
njálmmiide	njalmide
njálmmiiguin	nˈɛlmigˈoin
njálmmiin	njˈalmɪn
njálmmis	nialmis
njálmmit	njˈælmɪçt
njálmmálaš	ɲalmɛlaːʃ
njárga	njˈaɾɐkˈa
njárgan	njaɾakˈan
njárgga	nˈjˈˌaɾka
njárggaid	ɲærkɐjt
njárggaide	nʲaːtkajde
njárggaiguin	ɲːarkài̯kɔjn
njárggain	nˈjˈrkɐjˈn
njárggas	nˈjˈarkas
njárggat	ɲːrkat˦
njárgii	ɲarɨki
njávdáma	njafdama
njávdámii	nʲaftamʲi
njávdámis	njaˈvtɒmis
njávdán	nʲaftan
njávdánjoga	njavdanɛ
njávdánjogas	nʲaːftanʲiɔkas
njávdánjohka	jævˈtˈajˈɑħka
njávdánjohkii	njˈaβitˈaɲˈoʊkˌi
njávkalit	nʲau̯kalɪçt
noaidi	noj
noiddiidčearru	nojdɪdʒaro
noiddiidčearu	nojdʒˈˈɛaɾɔ
noiddiidčearus	nojdidʒearus
noiddiidčerrui	nojdɛtʃeroj
nominatiiva	nɔminɑtiɑjˈbɑ
nominatiivan	nɔmmɛnatʃampion
nominatiivii	nominatiːiːbi
nominatiivva	nominativa
nominatiivvaid	nominativˈjˈtˈ
nominatiivvaide	nomˈinatiˈvate
nominatiivvaiguin	nominatʲiwtajkvinn
nominatiivvain	nominativivajn
nominatiivvas	nominatevas
nominatiivvat	nˈɔminatiːvvˈæt
norga	nˈoɾakˈ
norgga	nˈoɾka
norgga boazosápmelaččaid riikkasearvi	norka pwaʲts za satsmilaːtʃɛj rikː aːsɛrvj
norgga girku	norkak kirkw
norgga sámediggi	norkka sɛɛmɛ teikːi
norgga sámiid riikkasearvi	nork saːmiːt̪ rikːa ʃaːɾaβ̞iː
norggas	nˈuːælkæs
nu	nˈoʊ
nubbi	nobbe
nubbi mosesa girji	nˈo beˈmˌoz ˈes a keɾˈiɾ
nulla	nˈullˈa
nuoraidskuvla	nˈuːɔərˈaɪtskˈuvlɑ
nuoraidskuvlan	nˈɔrɛskˈuvlˈan
nuoraidskuvlii	nˈuˈælæzkˈuvli
nuoraidskuvlla	nˈɔɾaɛsskuːvla
nuoraidskuvllaid	nˈɔrðˈetskˈuvflˈaɪt
nuoraidskuvllaide	nuˈarˈrˈaːtsˈkˈubˈlˈajdˌe
nuoraidskuvllaiguin	nuɾaɾaʲtskuvlæɣoɲ
nuoraidskuvllain	nawˈaɪrnˈæskˈuvʋlˈaɪn
nuoraidskuvllas	nˈɔɹdˈʰɪtstskuːvˈlˈɑs
nuoraidskuvllat	nˈuːarhˈærskuːvlatː
nuorra	nˈɔra
nuorravuođain	mezɾaβ̞oɾa
nuorta	noeɾta
nuortalačča	naɛɾtalatska
nuortalaččaid	nohaɾt̪alats̺ai̯t̪
nuortalaččaide	noaɾtalatsʃai̯de
nuortalaččaiguin	nuɔtːɑllɔtʃɑiko�ɪn
nuortalaččain	naaɾtalatʃajn
nuortalaččas	nortalatʃas
nuortalaččat	noˈʔartalˈatʃat
nuortalaš	nuaɾt̪alas
nuortalašgiela	nʊɑˈɾtɑlˈæskiɑlˌɑ
nuortalašgielain	noalt̪eleskealaĩŋ
nuortalašgielas	nˈɔrtˈtˈaˈlˈæʃtgˈiːˌɐlas
nuortalašgiella	nˈortɑlɑskeˌˌælˈlˌɑ
nuortalašgiellan	nuaːrt̪t̪elaskiallan
nuortalašgillii	noˈɾtˈaːleskiʝˈi
nuortalašsámegiella	nˈɔˈrtˈtˌiˌˈlɑsˈtɑˌmikˈɛllɑ
nuortalažžan	noart̪alaxan
nuortalažžii	nuaɾtaladʒe
nuortariika	nualdarrjlka
nuortariikii	nʊetːarike
nuortariikka	noɛtarika
nuortariikkas	nʊɛrtarikas
nuvttá	nˈuːftˈa
ná	la
náital	nˈaɪltdˈaɾl
náitala	nˈaɪtalˈɑ
náitalan	nˈɑːˈɪçtˈɑːlən
náitalat	najdælˈeːt
náitaleaba	najtɑlɛɑpɑ
náitaleahppi	næjtælˈɛɦbˈbˈ
náitaledje	najtaleːtʃːe
náitalehpet	nˈaɪçtəlˌɪçbə
náitaleidde	najst̪alejte
náitaleiddet	næjttælɛitɛt
náitaleigga	nɑitɑleːg̊ɑ
náitaleimme	njˈtˈɾalˈiːme
náitaleimmet	naiktaleːimekt
náitaletne	nai̯taalˈtne
náitalii	nˈaɪçtˈɑliː
náitalin	nˈaɪçdˈaɪlˈeːn
náitalit	naiktɑːlˈɪçt
námmejávri	namjavri
námmejávrri	nɛaːmiaʊrɪ
námmejávrris	nammeiauris
námmejávrái	namːjavˈsaj
nástegokčasa	ne̞sðeˈgænædjesˈse
násti	naste
nástin	nˈɛstɪn
nástti	nastɛ
násttiid	nastat
násttiide	nastide
násttiiguin	nastigoin
násttiin	nast̪e̞n
násttis	nastis
násttit	nˈɑsdɪçt
nástái	nastaj
náveha	nava
návehii	nabːɛɦi
návehiid	naːvɛ
návehiidda	naaːvehiːdˤa
návehiiguin	naveeguin
návehiin	naːvˈjˈhˈɪn
návehin	naːvɛhɪn
návehis	navis
návehit	naaːvæx
návet	navet
návuona	navona
návuona suohkan	navo nas vo˩˥ːrka˥˩
návuonas	nabona
návuotna	navætna
návutnii	nɛhavutni
oabbá	qɔˈassɑ
oaggojoga	paggoiɔgɑ
oaggojogas	uaʄoiʊɔkəs
oaggojohka	oagɔjɔkɔ
oaggojohkii	aɣojɔhki
oaggojávri	agojaɔre
oaggojávrri	aɣoiɑuɾi
oaggojávrris	oagoiauɾɛs
oaggojávrái	uaː˧n˩˩˦k̚˦˥ɔːjaː˧ʔɔːj˧
oaggoskáiddi	agoskai̯t̪e
oaggoskáiddis	agospovasestis
oaggoskáidi	aagʊskaekse
oaggoskáidái	agostʃaritai
oaggovári	aŋgovarɾe
oaggováris	oægroʁnest
oaggovárri	aŋgovˈaːnˈɾˈe
oaggovárrái	oagovˈaˈsɐi
oaggočohkat	waggodʒɑhˈkɑt
oahpa	pɔɐtˈbɑ
oahpaha	aahɑ
oahpahan	ãpãɦan
oahpahat	ohbaʁˈa
oahpaheaba	ˈɔɑvɑhɑˌɑˌpɑ
oahpaheaddji	ɔpɑhˈɑɑdˈʒi
oahpaheaddjin	oaahpəhˈɛɹln
oahpaheahppi	oɑɦpɑhˈjɑhˈpe
oahpahedje	ohpahetʃ
oahpahehpet	ohbæhˈɛbet
oahpaheidde	ohbãhiːtɛ
oahpaheiddet	ˈɑːbˈeːtɛt
oahpaheigga	oɣ̞baʁːikɐ
oahpaheimme	ɔːħbaħimmæ
oahpaheimmet	ɑhbʔahimɛd
oahpahetne	oːaħbːaɦʲɪtnʲɪ
oahpahii	oa
oahpahin	waħbaħn
oahpahit	aːhbaːhˈɪçt
oahpahus	paɦbɑɾus
oahpahusa	aħbahɛwˈsˈam
oahpahusaid	qɑħbɑhsˈʔit
oahpahusaide	waaahpahosəiːde
oahpahusaiguin	ˈoːahpˈaːɦuːsˈaɪkˈuːɲ
oahpahusain	waħbaɦoːsˤaːjn
oahpahusas	ahpɑɣuːsas
oahpahusat	waħbaχoːsat
oahpahusbáiki	ɑɦvɑːɦuspæekːi
oahpahusgiella	ohbæhuskellæ
oahpahussan	waaahbaxustan
oahpahussii	ohpaʁusˈe
oahpai	wˈabˈaɪ
oahpaide	ʊ̞ahpɑjðɯ̞
oahpaidet	ɑhpejɾet
oahpaiga	wapa˥˥aɪ˥˧ka˥˧
oahpaime	oɑħbaimɛ
oahpaimet	ɑːhfaɪˈmæt
oahpan	ɑhman
oahpat	ɑahbat
oahppa	aħpa
oahppaba	ahpava
oahppabeahtti	oɑpːɑpæːti
