aai	ajn
बातमी	bäːt̪miː
बाद	bad
बाबासाहेब अांबेडकर	ʋəʋ̞hɑːʃɐɦʰeː əmɾkɾ
बारा	bäːɾaː
बाळ	bˈaɪ
बाळकोबा सांगकामे	baːɾkoː baː ʃɑːn̪ːkɑːmẽ
बाळबोध	bəɺoːɾoːd̪
बाहु	bˌɑːhˈu
बाहुल्या	bawˈja
बाहेर	bäːɦɪr
बाह्य	baːjˈlɔ
बिगरी	bigːɾiː
बिचवा	bˈɪtsˈwa
बिलंदर	blɛnːeːɾ
बिलोरी	loːri
बिस्किट	bɛsˈkɛt
बीभत्स	bibəːt̪s̪ə
बुद्धि	bˈʊtdi
बुद्धिमत्ता	ʋʊdimətˈtaː
बुध्द	butːə
बूड	bˈuʁ
बेपर्वाई	ɓiːpɾʊɑːliː
बेबंद	ʋɪbəndu
बेलगाम	beːlɑgɑːm
बेसुमार	ʋeːsuməɾ
बोंबाबोंब	bˈumdˈaːbˈow
बोळ	buɫ
ब्रह्मा	brəmɦaː
ब्राह्मण	bɾahmɐɾ
भंग	ðəŋgə
भक्कम	ʁʊˈkɑm
भक्तीचा	baktitˈa
भपका	ʋpːq
भयंकर	bʱjnkɐɾ
भयानक	bʊ̞jɑnɯ̞k
भर	bʱoːr
भरजरी	berzari
भरती	ʋəɾt̪iːm
भरीव	bʱɾiːw
भविष्य	bavɪʃːo
भांडं	bʱɑɳɖɐ
भांडण	bʱaɳɖəɳ
भांडत	ɓʱɐɳɖɐt̪
भांडवल	ɓəɳɖʋɭ
भाऊ	bʱɑu
भाऊबीज	bʲɛʊ̞bʲii̯s
भाग	dˈɑːk
भाग्यवान	bʱaːgjɔːaːn
भाजी	bʱg
भाज्या	bdʒaː
भात	bʱɑːt̪
भाता	ɓəta
भान	bʱɑːn
भार	bʱɑːɾ
भारत	bʲaɾɯ̞t
भारतात	ɓəʱɑːɾt̪ət̪
भारतीय	bʱaɾt̪io
भारी	bʱaːriː
भाला	bʱɑːlɑː
भाळ	bˈaɪ
भावसर	ɑːusɯr
भाषा	bʱɑːsə
भिंग काच	biŋg katʃ
भिंत	bintɐ
भिंतीवरचा	ɖintivəɾtsa
भिती	biti
भिन्न	bʱɪnːə
भीक नको पण कुत्रा आवर	biːk nə kɔv ɔɳ kɔtr aaɾ
भीति	biti
भीती	bɦt̪iː
भीमराव	bʲimrau̯
भूत	guːt̪
भूमिका	bumika
भेकड	ʋeːkːl
भेट	bˈeɪt
भेटवस्तू	beːʈʋəsto
भेळ	bɛ
भोंगा	bʱoŋa
भौतिक	bʱoːt̪ikː
भ्याड	bɐ̃ɦäːɽ
भ्रमणध्वनि	braməɳatdʋəɳi
मंगलाष्टक	məŋgəlaːʃtəkː
मंगळसूत्र	maŋgaɟʝsutra
मंडळी	mʌndəɾiː
मंत्री	mənːt̪riː
मंदिर	man̪d̪iːɾ
मंदिल	mannd̪el
मंद्र	mɪndrʊ
मई	me̞
मचूळ	matʃul
मजलदरमजल	mʌzəldərˈmʌzəl
मजा	mˌɐgˈa
मज्जारज्जू	mˌɑdʒɑːrdʒuːb
मत	mˈot
मती	mtiː
मत्सर	mətsər
मधुकर	məd̪ʱʊkəɾ
मधुचंद्र	maːduːtʃəndra
मधुमय	madumaj
मध्य	m̩md̪iːɾ
मन थाऱ्यावर नाही	mən̪ t̪ʰaːɾjɑːʋʊɾ nəɦẽː
मनी	vaːn
मनी वसे ते स्वप्नी दिसे	maniː ʋseː ɖɛ swpniː ɖɪse
मनुष्य	mˈɑnuʃˈa
मनुष्यप्राणी	manuʃpɾɑːɳiː
ममत्व	mamɛtɔ
मर	mˈɔɹ
मरणाधीन	mɐɾɐɳaːɖɪŋn
मराठा	məˈɾɑːʈhɑː
मराठी	mʊɾaːtʰiː
मरी आई	mriːjɑːjɑː
मर्त्य	mɐrˈtɪm
मर्यादित	məɾiːəɖiːt̪
मर्यादीत	mriːɑːʈɪt
मला	mala
मल्लखांब	maːlləˈkraːm
मळभ	mˈɑːləʊ
मवाळ	maːlˈlaːl
मसाला	masala
महत्त्व	mɦt̪w̃
महाग	moːˈad
महापद्म	mɑhɑpɑdmu
महापौर	mɦɑːpɐur
महामहोपाध्याय	mɦɑːmɦʊpäːd̪ʱɐj
महार	mɐhaːr
महाराष्ट्र	moharaztsʊ
महाल	mʰɑːl
मांजराची	manzraːtʃiː
मांडी	mʰɐɳɖiː
माकड	mäːkːɐɽ
माकडचेष्टा	makɽtʃəʃta
मागे	maːɣ̞ɛ
माझी	mɑːg
माणसांकडे	maːɳsaːnkɽe
माणिक	mˈˈɑˈɹlik
माणूस	maːnoːz
मात	mat
माती	matˌi˨
मात्र	mãt̪ɾa
माधुरी दीक्षित	əmad̪ɾi bikʂiːd̪
मान	man
माप	nak
मायाळू	majɛːluː
मार	mˈaɹ
मारा	mˈaɾa
मारेकरी	mˈaːɾegʱːre
मार्ग	mˈaɾʒʊ
मार्गदर्शन	maːrgadarʃaːm
मार्च	maɾtʃ
मालेगाव	mɑːliːgɑːʋ
माळ	mau̯
मासळी	masˈɛ
मासा	masa
मासालेदार	mɑsɑlɛdɑːr
मासे	maːse
माहिती	mˌɑːhˈətiː
माहीम	mɑːæhɪm
मिटूनी	miːtuːniː
मित्रत्वाने	mʲitratɨwanɨ
मी	mi
मीळेल	mɾen
मुंबई	mʊ̃ːbɐiː˧
मुक्तछंद	muqtɑtʃandɯ
मुख	ukˈa
मुख्य	mukːjɔːn
मुद्दाम	mudːam
मुलगा	mulɨxa
मुलगी	mulgiː
मुळ	mug
मुळीच	muit̪
मूठमाती	muːtˈmatiː
मूत्रपिंड	mtˁpˁinˈnɑ
मूर्ती	multi
मेघगर्जना	megʱgəɾdʒənaː
मेळा	mɛ̃˥
मैदान	majd̪aːn
मैनेचा	maj˧˥neː˧˥tʰaː˧
मोठे	mortˈe
मोठेपणा	mʊɾt̪ʰeːpɐɳɑː
मोती	mˈʊtbi
मोत्याच्या	mˈoːtɪəˈtsa
मोर	mˈɔr
मोरपंखी	mʊɾpʊnkʰiː
मोर्चा	morʒa
मौल्यवान	maːʊ̃ːlɑːwan
म्यान	mian
म्हणाले	mɾɑːli
म्हणू	mɦlɔ
म्हणून	maɾuna
म्हातारा	mətaraː
यंत्र	iɛn̪t̪ɾe
यदाकदाचित	oˈiˈɛnˈɛ
यमद्वितीया	jɐmɐdɖʋɪt̪iːɑː
यश	jˈɑʃ
यशप्राप्ती	jəʃbprɑːpʰt̪iː
या भणी	dˌiːzə mˈi
यादी	jabi
यायला	ʂɕiːɕw˧˥ɕfuːɕtuː˧ɕjɛː˧ɕʂɤŋ˨˩˦tuː˧ɕʐɕkuː˧ɕjiː˧
युक्ती	jpti
युद्ध	juða
युद्धक्षेत्र	jʏdːʏ̞kʂɛjtɾɛk
युद्धशास्त्र	judədʒastru
येऊ	au
येतात	eˈtɑːr
योजनाशून्य	ioʄjɔːnɑː˥˩ʃuː˧˥njɔː˧˥
योनी	ioˈni
रंग	pɾaŋgə
रंगला	ɾəŋlaː
रक्त	rˈottˈo
रक्तरंजित	rɑktʰɑrɑŋdʒɛt
रक्तलांछित	rɑttilɑːnkseːt
रक्तवाहिनी	raptavaːhiːnʲiː
रज	redʒa
रणांगण	ʊɾŋu
रदन	ɾadana
रमा एकादशी	rmaː je˩˥ː ka dɐˈʃi
रम्य	brɛnmjʲa
रवाळ	bɾalaj
राक्षस	ɾakʃəs
राखाडी	rkːaɽiː
राखीपौर्णिमा	ɾäːkiːpəɾɳimɑ
राजकुमारी	ɾɑːnʒqɔmaːn
राजमुकुट	ɾaːɟɐmʊkɔɳ
राजवाडा	ɾaːdʒʋaːɽaː
राजवाड्यात	raːdʒewaːɺiat
राजीनामा	radʒinam
रानटी	ɾaːnˈteː
रामजी	ɾɑːmdʒiː
राया	dɾaja
राहातो	ɾəɦɑtoː
राहू	jɛ˨˩˦tu˥˩
रीत	ɾiːb
रे	ɾeː
रेलचेल	ɾɛjlɣeːl
रेषा	rˈɛjʃɑː
रोपटे	ruːtˈi
रोपणी	roːpɾˈniː
रौद्र	rdra
ऱ्हस्व	rasʊla
लक्ष	lˈɑkʃɑ
लक्ष्मण	ləgʂəmɐɳ
लक्ष्मी	ləʃmiː
लक्ष्मीपूजन	ləkʂmipuːdʒən
लक्ष्मीबाई	ləkʃmiːbai
लढाई	ləɽʱɑːliː
लपाछपी	lapaːt̪ʃʊˈpi
लबाड	ləˈbaːɺ
लवंग	avangə
लवकरच	lau̯karəts
लवासा	ɦoas˨aː
लसूण	lasun
लहान	laːm
लांडगा	ləŋɖgaː
लाख	plak
लाग	lˈag
लागते	laːgʊt̪eːlaːgʊt̪eː
लागला	laːglaː
लागली	laːgəliː
लागले	laːgəleːlaːgəleː
लागेल	lagˈeːl
लाज	laði
लाडीगोडी	laɽiːgoːɾi
लाडू	laɽu
लाभलं	lablʊ
लाल	lɑːl
लुडबुड	lulul
लेमनच्या	nɛmɛntʃe
लोक	lˈoːk
वंचित	ʋəntsɛ
वज्रमूठ	watʃeɾomut̪
वट	wɒt
वडलांची आई	ʋə ɭntʃiː ai
वडील	ʋɐɖiːli
वनस्पती	wanətˈspə
वर	bɔːr
वरवंटा	ʋəɾʋəɳta
वर्ण	ʋɐrnəm
वर्णनावरून	ʋaɾəɳːn̪aːʋəɾum
वर्तुळ	uaːrtˢul
वर्षांचा	bɒrʃɒntsɒ
वळू	wɔː
वसंत ऋतू	wasant̪aɾut̪u
वसुबारस	vosˈubaːɾas
वसूल	ʋsul
वस्तरा	oːstəra
वस्तू	ouestu
वहिनी	ʋəiːniː
वाईट	waː
वागणूक	lagrˈup
वागण्याची	tavɾeɑtʃiː
वाघ	vˈɑg
वाघनखे	ʋaːgnəkeː
वाजंत्री	oazantraj
वाजवतो	ʋaːdʒʋtʰo
वाटते	waːɖteː
वाडा	vˈaɪɽa
वाढ	ɫɑːɻ
वाढदिवस	moːaːɺd̪iːnβ̞əsɐ
वाढदिवसाच्या शुभेच्छा	waːr ɖuːsɑːtɕʰa ʃʰʊbɪtʃʰa
वाढू	ʋaːɖʱu
वातानुकूलित	ʋaːt̪aːnkoːlit
वातूळ	ʋˈɑtʊl
वादन	ʋaːɖən
वादळ	uʁaːdˈɔn
वादळी	waːdəaj
वाद्य	ʝːd̪l
वामकुक्षी	voːaːmɔkʊkʃiːn
वायव्य	waːjˈɛvjɑ
वायुवेग	wˈaɪjuːwˈeɪk
वायू	ʋaːjɔ
वार	vaɾɐ̃vaɾɐ̃
वारा	ʋaːraː
वाळा	wa˥˥la˥˥
वाळू	lai˧˥
विकल	ʋikɐlɐm
विक्षिप्त	viːkːʃɪtːʌv
विक्षिप्तपणा	ʋiːkʂɪt̪bɐɳɐ
विचार	ɓiːtʃɑːr
विजार	vizɑːr
विटाळ	tˌiŋˌɐnˈtˈɑvˌɛlə
विडा	ʋiɖa
विद्या	uʝa
विद्यापीठ	vˈɪdəpiːt
विधिलिखित	vidiɫekid
विनासायास	vˈɪnˈɑsˈeˈeˈɑz
विपुल	vipul
विपुलता	ɾɪpulta
विरह	βiːɾəgɾː
विरोध	viːˈɾuːd
विळा	ʁˈyːtˈa
विळी	ɯɾi
विवाह	d̪ɪbɑːɦə
विशेष	vˈisˈɛst
विश्वसनीय	vɪːʃʋɛsɛnˈiːr
विषय	oi̯se̞
विषयासक्त	ʋiːɕjjɑːjɑːs̪t̪t̪ə
विष्णुपंत	vɪʃnubɛnd
विस्कळीत	bizkˈaːtˈ
विस्तव	liftaw
विस्तीर्ण	ʋist̪iːɾɐn̪
वीज	vˈiz
वीर	vˈiːr
वीस	vˈiz
वृंद	rɪndə
वृक्ष	brʊkʃo
वृत्त	fʁˈtˈˈ
वृत्तान्त	tɒˈnˈdɒv
वृत्ती	wrutsi
वृषण	ɾuːnʃɐ̃ːn
वेताळ	bi˧˧tɑ˥˥l
वेरूळ	ʋeːroːl
वेळ	vˈeː
वैज्ञानिक	waːjˈdˈnɑːnɛk
वैपुल्य	ʋajpoːljɑ
वैभव	ʋæjbʱɑ
वैरी	ʋəiːriː
वैशिष्टय	wɑjsɪ̞ʃɪ̞ɫɪ̞p
व्यक्ती	ʋiːt̪t̪iː
व्यवस्थित	ʁɪˈɔvɛsˈti
व्यवहार	ʝˈɑːwaqaːr
व्यवहारचातुर्य	ʋiaːʋaːhɑːrtɕɑːt̪uːriː
व्याकरण	ʋjˈakrɐɳ
व्यासपीठ	ʋiːəsəpiːɖ
शंकू	ʃɑŋkuː
शंभर	ʃambʱɐɾə
शकत	ʃakɑt
शक्तिमान	ɑkt̪imaːn
शक्ती	ʃɐkt̪iː
शगुन	ʃəgʊ̃n
शपथ	ʃʌpət̪
शब्द	ʃɒbdɒ
शरद पवार	ʃɒˈɾe deˈ qɒlɒhɾeˈ
शरीर	saɾɾjɾ
शर्ट	ʃɔːlt
शर्यत	ʃɾijət̪
शर्वरी	ʃərʋarˈi
शलाका	ʃɛːlɑkɑ
शस्त्रक्रिया	sastrakriːja
शस्‍त्र	tʃˈastrɐ
शांत	ʃɑːnʈ
शांती	ʃɑːnˈt̪iː
शाखा	ʂa˨˩˦kʰa˥˥
शापित	ʃapit
शासक	ʃaːsəkʃaːsək
शास्त्र	ʃˈastra
शिटी	sɪt̪iː
शिट्टी	tɑːiːt˥
शिड	ʃiːɾɯ
शिल्प	ʃilp
शिल्पविद्या	ʃiːlpəwibdia
शिवकर बापूजी तळपदे	ʃiːnkɾ ba puːdʒi tʊɭpəde
शिवाजी	ʃibɑːdʒiː
शुद्ध	ʃudːo
शुद्ध जमीन	ʃʊd̪ʱa zɐmin
शूर	ʃuːr
शूल	ʃuʁˈ
शेतकरी	ʃɛjpt̪kəɾiː
शेती	ʃɛ
शेपटीच्या	ʃeːˈptiːdʒaː
शेवटी	ʃɛl˨˩tiː˥
शोभिवंत	ʃɔbʱiːʋəɳt̪
श्रम	ʃrɔm
श्री श्रीनिवासन	saɪrɪːn masɯ
श्रीमंत	ʃɾimənto
श्रीमंती	sɾiːnontiː
संकटं टाळता	saːŋkaːɖaː tɑːɭtaː
संगणक	səŋɭəːq
संगीत	səŋgiːt̪
संचालक	sandʒaˈlək
संत	sant̪
संदेश	sʌndːeːʃ
संधी	ʃɳd̪iː
संध्याकाळ	sɐɳɖʱaːkaːr
संपत्ती	sːəmpət̪bi
संपन्न	saːmbanna
संपन्नता	smaːmpɐnːət̪əɾ
संपर्क	sparka
संरक्षण	saːmɾakʃan
संवाद	zˈɑ̃vˌadˈo
संसार	ɛsɐ̃usˌɐɾ
संहिता	sɐ̃ŋgit̪äː
सकाळ	skai̯
सकाळी	saiːkaiː
सगळेच	sagɾeθ
सजातीय	sɐzɐtˈtiːɐ
सतत	tutːt˦
सतार	saːtaːrsɐtaːr
सती	satːiː
सत्तर	sɯtsɯ
सत्तेचाळिस	t̪ːt̪ːtʃʰɐɾs
सत्य	sətˈtˈɛ
सत्व	satːuaː
सदर	saððænæmɑnʃaðaðɑrɑːnsʃaðɑr
सदरा	sadra
सदैव	sadɐjvɐ
सदोदित	sadod̪jt̪
सप्टेंबर	sepˈtɛmbɪɾ
समजा	samza
समजून	sˈɐmzɔn
समयोचित	saməi̯ɔːnːtɕikː
समाज	sɐmɑːdʒ
समाधान	smaːn
समारंभ	saˈmaːɑrɑmbɯn
समृद्धी	samrubi
सर	səɾ
सरकार	sɛrˈkɑːr
सरनौबत	sæɾnæˈubˌæt
सरलष्कर	srˈlɛʃkɚ
सरस्वती	satʃoswati
सरावल्या	sɑrɑːblʲem
सरी	særiː
सर्व	sɛrvɐ
सर्वच	saːrwɑtsɑummssaɾəwaˈtɕ
सर्वनाश	sɾvɑnɑʃ
सर्वात	srvɑt
सर्वोत्कृष्ट	sɐrvˈodkruːʃtˈa
सवँञा	sʊ̞ʒmʲa
ससा	səˈsa
सह	sɑhɑ
सहज	sɑhɑlz
सहस्र	sahasra
सहा	sahˈa
सांग	sak
सांबार	sambɑːr
साकार	sakar
साचा	sat˦a˥˥
साठ	stˈɑɹt
सात	saf
सातवाहन	saːtʋɑhɑn
साद	sˈad
साधन	sˈadʊŋ
साधर्म्य	sadəɾme
साप	sˈɑp
सापडली	t̪ɾɒpəɾliː
सामना	samna
सामर्थ्य	samarkˈɪ
सामुराई	sɑmɔɾaiːm
सार	sˈɐɹ
सारं	aːrɑt
सारा	sˈɑːrˈa
सारी	sɑːriː
सारे	sɑːrɛ
सार्व	sau̯o
सार्वजनिक	saːrwaːdʒanikə
सावरावा	sauɾɛla
साष्टी	səʃtiː
सासर	sasəɾ
सासरे	sasorɛ
सासू	sasˈu
सींचन	siːn˩˧tian˥˩
सुंदर	sundɑɾ
सुख	sˈuk
सुखद	sukɔd
सुखावह	sqɑːvhæ
सुटावा	sukawa
सुदृढ	sdruɖʱa
सुनीता	s˦˥na˥˩ta˥˩
सुबोध	sʊbɔd
सुरक्षा	sˈʌɹəpʃˈɑ
सुरक्षित	zuɾækʃitʃɛɬːɛsʏɾækʃitʃɛalɛn
सुरु	sɯɾu
सुरुवात	ʃʊ̃ːɾoːʋɑːt̪ə
सुरेश	sˌuɾˈeʃ
सुशीला नायर	sʊ̞ʃiːlɑ næjɯ̞r
सुसर	susˈɛ
सुस्वागतम्	suzuaːgɯtɯm
सूचना	sutʃana
सूत	sutˈa
सूत्रधार	ʃʈrdʱaːr
सून	soːn
सूर	zˈura
सेवा	se˨˩wɔːt̚˨
सैंन्य	sãĩ˥˥nlɛŋ˨˩˦
सैर	sjrˈ
सैल	sæɪlˈ
सोई	sɔi
सोने	sˈoːnˌiː
सोनेरी	so˥˩ne˧˥li˨˩˦
सौहार्द	sauhaːrda
स्तन	stˈæt
स्तर	aaːlaːsatɯrɯst̪ɯrɯ
स्थिती	sɛti
स्थूलमानाने	stulmanˈnene
स्वप्‍न	sʋapna
स्वयं	svɐjɐm
स्वयंचलित	swɑjɑmdʒʉlʉt
स्वयंपाक	svˈaːjˈnˈpak
स्वयंस्फूर्त	svˈajˈemspruˈrto
स्वरयंत्र	soareãjantãŋ
स्वरलहरी	sʋaːraləraː
स्वरुप	sˌuɐɾˈu
स्वर्ग	swɛrgɑ
स्वातंत्र्य	swatãn̪tr̪je
स्वानंद	sʋɑnɯnɯm
स्वाभाविक	svaːbɦɔvik
स्वारी	sˌvˈaːri
स्वार्थ	svˈaːrθʊ
स्विकार	sʊiːkaːr
स्वैर	sɫɑjr
हजरजबाबी	jzərzbabim
हजार	bæˈzæɾ
हत्यार	xɑtpɑːr
हरीण	ʱɑriːm
हळू	hæluː
हवं	havo
हवा	hava
हाक	hˈɑːk
हात	ɦɑt
हातांनाही	χɑːstɑnnɒːhiː
हाती	ˈhɑːtiː
हालचाल	hai̯˨tsai˥˥
हाव	hɔːv
हास्य	hɒsjæ
हिंदोळा	kindɔːa
हिंस्‍त्र	hemn̪t̪t̪e
हिरवा	hˈɾˈvaːn
हिरा	hˈiɾˌa
हिवाळा	i˥wɑŋ
हुंदका	nʊdɪkaw
हृदय	bɨdˈe
हृदयविकार	ɾʊd̪ʱeːʋɪkäːɾ
हॅलो	hɑlɔː
हे	hˈi
हैदराबाद	ajdɾabat
हो का?	poka poka poka
होते	koːteː
होळी	koˈliː
हौस	aus
₹	ɾupˈiz
