"сэ" жызыӏэ	sˈa ʒˈɛzˈa
къэбэрдейбзэ	qɛbɛrdɪts
къэбэрдейхэр псэлъэнкӏэ ӏэзэщ	qɒbˈɒˈɾɒti hɒɾb sɒʃɒndʒɒ ɒziz
къэбэтэн	qɒbˈɒtˈæn
къэбэхъэн	qɒtɾɒhɒm
къэвэн	avɑn
къэвэрей	ɟavare
къэгубжьын	aqojnɑ
къэгувэн	qakuvn
къэгупсысын	aːgupsɪsim
къэгъанэ	qɑgɑnɯ̞
къэгъанэт	aɣaːnæt
къэгъумын	ˈaːgumɛm
къэгъуэт	aʁoˈat
къэгъуэтын	qawɒtɒm
къэгъэбырсеин	agabərsəi
къэгъэбэтэн	ʔɑhɣəbɪ̞rkæn
къэгъэвэн	qɒvæm
къэгъэгубжьын	aʁagˈupdʒˈɛm
къэгъэгъэн	qɒvqɒn
къэгъэделэн	qɑʁɑdɪ̞jɪlɛn
къэгъэдэӏуэн	ǎʁadɑɣuant
къэгъэжьын	aʁaʒi
къэгъэзэжын	aɣazɛdʒɪn
къэгъэзэн	ɦɑzən
къэгъэкъуэншэн	ajaqianʃe
къэгъэкӏын	ɑːgɑːlkɛːn
къэгъэлъэгъуэн	ʁaʃaðaŋ
къэгъэнауэ	ɑɦɑnɑwɑ
къэгъэнэн	qɑɢɑmɛn
къэгъэнэхун	qɑqaːnʁkoːn
къэгъэпцӏэн	kɑrɑpkɛn
къэгъэпщын	bˈaʁəpˈɛstʃɔn
къэгъэувыӏэн	qaɣuzˈʔan
къэгъэунэхун	qɑɢaːumɯtːardɯ
къэгъэуцэрэфын	ɑvɑltsɑrɑfjn
къэгъэушын	qarou̯ʂɨm
къэгъэуэн	qɒqɒvˈɒl
къэгъэфэн	qɑgɑfɯ
къэгъэхьэн	qɑgɑħam
къэгъэчэн	kvɑːrˈtʃæːn
къэгъэшар	bɒhɒːʃɒːɾ
къэгъэшын	qɯ̞ʁäʂɯ̞m
къэгъэщӏыкӏэ	qɒhɒsutʃə
къэгъэщӏын	qɑhɑsuŋ
къэгъэщӏэлэжын	qɑqɑʃɪ̞ðːæʒɪ̞m
къэгъэщӏэн	qɑqtʃuβ̞
къэдабэ	adab
къэдабэщиху	adˈaːpasˈif
къэдгъуэтащ	ɢɑdˈrɑːtæʃ
къэджэдыхьын	kɑtˈtˈalħħħm
къэдз-нэдз	qɑdznədz
къэдыгъун	paːrtoɦˈun
къэдыджын	aʒiʒi
къэдыхьын	ʔˈabçn
къэдэхэн	əd̪exm
къэжаныжын	aʒɒnʉgˈim
къэжьын	aʒɨm
къэжэн	baʒøn
къэжэпхъэн	qɒgqɒn
къэжэр	bʊˈʒr
къэзакъ	qazaq
къэзан	qɑzɑn
къэзаншей	qɒzˈanʃˈɒˈ
къэзгъуэтащ	ɑzʁɑˈtæʃ
къэзгъэзэжынущ	gˈazgˈazdʒˈɛnəs
къэзмакъ	fˈazmˈap
къэзыгъэкӏри зышхыжри уэрщ	qæzɑgɑ tʃʏrɪj ʃχɪ̞ʃ ʒɪ̞rɪ̞ wɑr
къэзыгъэлъагъуэр	ɣɑzɣaʃaːɣoɾ
къэзыдыгъур зы гуэныхьщи, зыфӏадыгъур гуэныхьищэщ	azadaɣɔr ziː gɔːnæh ʃe zevɑhadaɣor gɔːnæx hejʃiʃ
къэзыкӏухьхэм	qɑʃkwħam
къэзылъхуа	azˈɛtjˈuhˈɑ
къэзымыхь	qɒzmiħ
къэзыубыд	asˈeˈupˈyt
къэзыхутэ	qɒzˈovˈutˈɒˈ
къэзыхь зытыж бей мэхъу	qɑsˈtˈħa ħaztˈɛg bˈemɑx
къэзыхь зышхыж бей мэхъу	ɢæzˈɑ ħziːχɪjʃ χɪjʃ bɛmæχ
къэзыхь зышхыж бей мэхъу («лажьэу шхэжыр фӏыуэ мэпсэу» жыхуиӏэщ)	mɑzˈtħaziːkɛg bɛmɑx lʝaːzwɑ̃ˈʒka ʒlwɑwwbɑ sɔgri ʔuz
къэзыцӏыхуж	bˈɪstˈɛtzoːfrˈyːʃ
къэзышэ	ɒziˈʃɒˈ
къэзыӏуатэ	maːzʏˈvaːt
къэзэвын	qɒzɒˈgiˈmˈ
къэзэр	qazær
къэзэун	ʁɒzɒwin
къэкхъун	qɑqhun
къэкъеин	qaqajn
къэкъутэжын	qɑqɔtʊ̞ʒʊ̞n
къэкъутэн	qaqqoːtːan
къэкъуэлъэн	kʰaːkwazan
къэкъэн	qqɑn
къэкӏуат	kvat
къэкӏуащ	ɾakwaʃ
къэкӏухь	qɑkˈvɑħ
къэкӏухьын	ʔaːkwaħam
къэкӏуэн	ɢakwan
къэкӏыгъэ	kəkʲɪrgɑ
къэкӏыгъэхэмрэ	batʃoːxahɛmlɪ
къэкӏын	qɑtʃu
къэлгъэн	lʁɑn
къэлъагъун	qɒʃɒqɒn
къэлътмакъ	ɢæ̝r̥tæmɐ̆q̟
къэлъхун	æsifɯ̞n
къэлъыхъуэн	ɑsʲxwan
къэлъэгъуэн	ɢɒtʃɒˈɵɒn
къэлъэтэжын	qæsætɪ̞ʒiːn
къэлъэӏухуам дагъэ текӏыркъым.	qæɮæ ʊ̞fɑm tæeʁɯ̞t χɪ̞ʒr ʌn
къэлыгъуэн	ʔaluan
къэлыдын	qɛlɪ̞ðːɪ̞m
къэлэжьакӏуэ	ðæzʲaðʒaːkɫæ
къэлэжьын	æ̹lʲɛʲɪn
къэлэлэн	qɒlɒlɒn
къэлэм	qætjæm
къэлэр	ɑɫɑr
къэлэрдэгу	kæˈʃɛrtegɔ
къэлэрдэш	ðɐrðɐ̹ʃ
къэлэрщэху	alɑrʃɛw
къэмбыстэ	qɒmbˈɵstæ
къэмыкӏуэжу	anakojʒu
къэмыс щӏыкӏэ	əmiz sʏtʃe
къэмысыпэу	amɪsɪpau
къэмыфэфым пшынауэм трелъхьэ	qɑmafɑfɑn bʃɪnaʕ wamtaraːj ælħɛ
къэмышэ	qɑnmɯˈʃˈɑ
къэна	qɑnɑ
къэнар зыщ	aːneziʃ
къэнат	qɑnɑt
къэнжал	qɑːnʒɑz
къэнокъуей	qɒnˈɒqviː
къэнтхъурей	qɒndxʃuɾe
къэнтхъусолыкъу	qɑntχusuaɫuq
къэнтхъусолыкъуей	qɑntuχɯ̞sɵɵdʑɑqqɑæ
къэнэн	qɛnˈɛn
къэнэхун	qaːlxun
къэнэӏужын	qɑnɯ̞wʒɪ̞m
къэп	qɑt
къэп къыздихьам иридзащ.	qɑpqizdiː hɑmiː rʲidʒæʃ
къэпкӏухьынумэ	qɑfˈkɑħˈnma
къэпкӏухьынумэ, гуэгуш гъэхъу.	ab koˈhɛnimɑ gagɔʃ ʁaːx
къэплъыжын	tapˈsøˈn
къэплъэн	qɒpʃɒˈnˈ
къэпсын	qɑpsʊ̞n
къэпсэлъэн	qɑpsælɑn
къэптал	ɑbtɑj
къэптан	qɑptɑn
къэпщын	qɑpʂɯ̞m
къэпщытакӏуэ	qapʃuːtaːkw
къэпщэгъуэн	ɑpʃɑuɢɑn
къэрабгъэ	qarɑbɣɑ
къэрабэ	arad
къэрабэ хъун	qaːraː baχn
къэрабэр мэгъагъэр.	qɾaː brmɑɣaɾ
къэрабэщэху	pərɑbəʃˈaf
къэрал	pɐɾˈaʒ
къэралыгъуэ	qɒɾɒziɒɒ
къэрар	ɑrɑr
къэрмакъей	kɐrmɐqːˈɛ
къэрмэн	bɑrmæn
къэрмэфибл	ɑrmafˈiːb
къэрымфибл	qɑrmθiːbʱ
къэрэгъул	qɑɾɑɢuʎ
къэрэгъэш	qɑrɑɣəʃ
къэрэкъурэ	qɑɾɑqurɑ
къэрэкъурэшей	qɾaqoɾaqɾɑʃɪ
къэрэндащылъэ	qɑrɯ̞ntæʃʲisɫɛ
къэрэшей	qɑrɑˈʃi
къэрэшейшей	paɾaʃeʃe
къэс	qɑs
къэскӏухьыну сокӏуэ	qɑːsɑqoħɑnwsɑːqɑ
къэскӏэн	kastʒɑn
къэслъэгъуащ	qastɑgɑʃ
къэсмыж	tˈəsmˈɛk
къэсшэнукъым	qizʃɑnɯm
къэсщэхуащ	asuɾfaʃ
къэсщэхунщ	assefʏlʃ
къэсщӏащ	qɒsqɒʃ
къэсыжа?	ˈɛtʁsˈeʒˈ
къэсыжын	fˈasˈɛstˈʒˈyn
къэсын	ɟasɨ̞n
къэсыным ипэ иту	baˈsɪnɪ miː pʰeːgɪ tʊ
къэсыным ипэ къихуэу	qɛsɪ̞nɪ̞m jɪ̞pæ qɪ̞j fæw
къэтхъурымбэн	qatqurumbɛn
къэтхъэнсолыкъу	qɑtχɑnsøziq
къэтхъэнсолыкъуей	ɑtχɑnsøjɑqe
къэтхыжын	ʁˈavkʁˈyn
къэтын	qɑtɯ̞n
къэтыр зыщ	qɒtɾɒziɾ
къэтэдж	qɒtɒdʒ
къэтэджын	qætædʒyn
къэтэмакъкӏыхьыжын	qatmaːqkɛħudʒim
къэтэмакъкӏэщӏын	qɒtɒmɒvˈkɒʃiŋˈ
къэтэфэн	qatqɛg
къэтӏын	qɑtˈtɯn
къэтӏэпӏын	qɑtɑpɯ̞n
къэуат	ɑwɑt
къэубыдагъащӏэ	qɑwbdaqaːʃu
къэубыдын	ʔaːbidiːn
къэувыӏащ	ʔˈɑvʁˈaʃ
къэувыӏэ	ʁɑvgɛ
къэувыӏэн	ʔɑvʔan
къэукъубиин	ˈapɔbˈiɪn
къэулъэпхъэщын	qɒvsɒtχɒʃiˈn
къэумысын	ʔɑwɯmɯsɛm
къэупщӏэн	au̯tswan
къэуфэрэзыхьын	qɒvfeɾɒzuhim
къэухъуреихьын	qɑuqrʲiːħɪ̞ŋ
къэухын	aːuhɯ̞n
къэухь	ɑwɑh
къэуцэрэфын	qɒtsɒɾɒˈfˈinˈ
къэуш	qɑwɯ̞ʃ
къэушащ	au̯sas
къэушын	qɒuˈʃun
къэуэн	qɒvɒn
къэуӏэбыхьын	qɑuʊapɯ̞χɯ̞n
къэфакӏуэ	qɑfˈɑkwɑ
къэфхутэ	qwafut
къэфщэху	qɑfʃɑf
къэфэн	qafˈn
къэфӏыжын	afaʒn
къэфӏыцӏэн	afinzaɾ
къэхужын	afwˈʒˈn
къэхутэн	ɑxˈtˈan
къэхутэныгъэ	qɔqoteniɣa
къэхухь	qɑfˈhɑ
къэхухьын	qaqqoqxon
къэхуэбэн	aqabæn
къэхъеижын	axjajxn
къэхъу щыӏэкъым	ɑːxˈʃuːam
къэхъуа	qɑqɑvɑ
къэхъуа щыӏэкъым - къэхъун къиуащ (к ъ эх ъ у н - псыцӏэщ)	qahwaʃə ɪ̞m qahʊn qiɫäʃq qahʊn pɪsˈɑt sɑʃˈ
къэхъуа щыӏэкъым - щӏалэр яукӏри витӏыр яхуащ	aːxwaʃwa ɘŋso ajgeɾ joaw dʒeri vitar ja aːxwaʃwa
къэхъуауэ лъытэн	aːxwa wa setan
къэхъугъэлъагъуэ	qaxxæe̞sæeʁe
къэхъудырын	aχudʒurin
къэхъужын	äχʊ̞dʒʊ̞n
къэхъукъащӏэ	ahqazˈu
къэхъун	ʔaχɔm
къэхъуну-къэщӏэнур	axunukɑsˈɣɑlnur
къэхъуреин	ʔɑχuːrɛgim
къэхьпэ	vˈɑħpˈhɑ
къэхьын	ɑħɑ
къэхьэуэ	qɒhɒviˈ
къэцыбанэ	tʃatsɯbɑnɯ
къэцыфын	tˈatsˈɛfˈfˈɛn
къэцӏуужын	aːtsuːzən
къэцӏыхужын	qɒtsˈvoxuˈdʒin
къэчэн	aqən
къэшхыхь	bʊ̞ʂqʊ̞
къэшын	qɑʃˈinˈ
къэшынын	qˈɛʃiŋˈin
къэшэгъуэ	bæʃɑˈgæ
къэшэкӏэр	aʃadʒoɾ
къэшэн	kæʃɑːn
къэшэчын	qɒʃɒtʃyn
къэшэщӏын	qaʃasʊ̞n
къэщмыж	qasmɵʃ
къэщтау	bˈaʃtʃtˈaːv
къэщтэн	tæʃtæn
къэщхъуэнтӏэн	atʃqontɑn
къэщын	ʃɯ̞mː
къэщэбэн	aːʃabɛn
къэщэкӏун	aʃkul
къэщэху	aˈsøf
къэщэхун	bˈɑʃvpˈim
къэщӏын	qɒsyn
къэщӏэжын	æsɑdʒiːn
къэщӏэлэжын	aʃɛlɛgin
къэщӏэн	vˈɛˈʃˈan
къэщӏэрей	qɒsɒriˈ
къэӏуэтэгъуэ	qɒtwtɒgi
къэӏуэтэжыгъэ	qɒwɒtˈɒdʒiɒˈɒ
къэӏуэтэн	bʁwatˈɛn
къэӏуэхугъуэ	qɒuɵɾɒɵɵ
къэӏэтын	qɑætːim
кӏаблащхьэ	dʒɑbzaːʃha
кӏаблэ	dʒabzi
кӏагуэ	kjˈagwˈ
кӏагъуэ	tʃaɣə
кӏагъэпшагъэ	tʃɐrˈaːq
кӏадэ	dʒadɒ
кӏакхъу	dʒaq
кӏакхъухъумэ	dʒaqxɔmɑ
кӏакъ	dʒɑk
кӏакъмакъ	dʒɑqmɑq
кӏакӏэ	dʒadʒo
кӏампӏ	jʌmp
кӏампӏэ	tʃɑmpɑ
кӏантӏэ	tʃaːnˈtɯ
кӏанэ	dʒaːnː
кӏапитӏыр	dʒapetɾ
кӏаплӏэ	tʃapˈsə
кӏапсэ	dʒap
кӏапсэлъэрышэу	tʃɑpsɛsæɾɪ̞ʃɛv
кӏапсэлэрыгъу	dʒabseðeɾɒn
кӏапсэр зэпеч	dʒæbˈsər is a pitʃ
кӏапсэр и псыгъуапӏэм щызэпоч.	dʒaːpsi le psɛ ɢaaːpɑm ʃɛ ze pɔtʃ
кӏапсэрыкӏуэ	bʲɪrʲɪkwæ
кӏапсэшхуэ	dʒapsɛʃxu
кӏапцӏэ	tʃaːpˈtˈlɪ
кӏапэ	dʒap
кӏапэ-кӏапэу	dʒəpːaːdʒɐpˌo
кӏапэлей	dʒapel
кӏапэлъапэ	tɕap˦˥sap˥˥
кӏапэпкъ	dʒɑpəq
кӏапэху	dʒaːpɔv
кӏапэщӏэтхъ	dʒɑpzædæm
кӏапӏынэ	dʒapɫnɾ
кӏарц	dʒaɾˈt
кӏарцгъуэжь	tʃaːɾtsɔgaz
кӏасэ	dʒasæ
кӏасэу	dʒaːsˈo
кӏафэ	kiaːθɑ
кӏафэлъафэ	dʒafʃaf
кӏафэч	dʒˈɑfˌɛtʃ
кӏахуэ	dʒafˈvɑ
кӏахъуэ	dʒaːxəl
кӏахъуэщхьэхъуэ	dʒɑːxæʃhæɾxoːz
кӏахэ	tʃarhe
кӏашэ	dʒaːʃe
кӏащхъэ	dʒazχɑ
кӏащӏэ	tʃaːsvɑ
кӏей	tɕʰiː
кӏейпеигъэ	dʒpˈpeːɪɢə
кӏейпеин	tɕʰiː˨˩pʰi˨˩˦i˥˩
кӏейпей	dʒu˨˩pʰi˨˩
кӏейщӏакӏуэ	tɕʰiːsaːi˧kue˥˥
кӏий	dʒi˥˩
кӏий-гуо	tɕy˥˥gwɔ˥˩
кӏу	qˈɯ
кӏуабдэ	kwˈaβɨtɨ
кӏуапӏи	kwapi
кӏуапӏэ	kwaapo
кӏуапӏэ имыӏэу	kwaːpɐjmɐaw
кӏуапӏэ иӏэкъым	kwˈa pˈaɪjuz
кӏуапӏэ-жапӏэ	kwapaʒapa
кӏуасэу	kwˈasˌaʊ
кӏуатэурэ	kwaːtawrɯ
кӏуафӏэ	gwˈavə
кӏуащ илъэсыр зы сыхьэту	kɞ̙ɑl ʃiːxɛsɾ zɪsɪχɐh tu
кӏужын	kwʒyn
кӏумпӏец	kompet̪s
кӏумыл	kɔmmiʄ
кӏун	tŋ˥˥
кӏунау	kɔʁau
кӏупӏец	kupˈe
кӏуркӏунау	kwɾkwnau
кӏуркӏур	kʏrˈkʏr
кӏурэшынхьэблэ	kuɾæʃiːnχɒbʒɒ
кӏухь	kwɑh
кӏухьын	kħæn
кӏухьэн	kħæn
кӏухьэныншэ	qɒhɒnˈiˈnˈʃɒ
кӏущ	qwˈɪs
кӏущэ	kwɨʃɪ
кӏущэ-кӏущэ	kusakusak
кӏуэ	kwˈaɪ
кӏуэаракъэ	kwaːraːʔa
кӏуэгъуейуэ	kwaɣwajwɑ
кӏуэгъужэгъу	laʁʒˈɑ̃ʁ
кӏуэгъуэ	kwau̯ra
кӏуэда	kwˈda
кӏуэдакъым	kwadaːm
кӏуэдыжыгъуэ	kwˈadˈiʒˈɔ̃ʁˈœ̃
кӏуэдыжыкӏэ	kwˈatəʒˈətjˈɛ̃
кӏуэдыжын	kwˈadˈiʁʒˈyn
кӏуэдыжыпӏэ	kwˈadˈiʁʒˈɛpˈœʁ
кӏуэдыкӏей	kwaðitʃiː
кӏуэдыкӏэ	oˈtˈkjə
кӏуэдын	kwadˈiŋ
кӏуэдыпӏэ	kwˈadˈøpwˈa
кӏуэж	vˈɛ
кӏуэжри	kwˈaʒyɾi
кӏуэжыгъуэ	kwaʁʒua
кӏуэжын	kwˌaːʒyn
кӏуэжыныгу	kwˈaʒˈə-nˈegˈu
кӏуэкъуэн	kɫæqɫæn
кӏуэкӏафӏэ	kwað̞ʝaːfˌɑ
кӏуэкӏуэ александр	kɔɑ kɔ ɛʃɛk sɑnˈdr
кӏуэкӏуэ валерий	kwɑ kwɑ vjɾi
кӏуэкӏуэл	kwɑkkwɛ
кӏуэкӏэ	kwɒjtɕɒ
кӏуэм-лъейм	kwamʃm
кӏуэм-лъэм	kwæmʃæm
кӏуэн	wˈʌn
кӏуэр	kvˈˈar
кӏуэрабгъу	kwaɾabo
кӏуэрдэкӏуашэ	kwaːrtjkwaeːʃk
кӏуэрдэкӏуашэу	koɾdjɛkʊãʃɛʊ
кӏуэркъэкӏуэжу	kwˈˈarˈqɑkwˈˈlɑjju
кӏуэрщӏэгъакъуэ	kwˈzɫo
кӏуэрыкӏуэ	kwarekw
кӏуэрын	kwɛrɪ̞n
кӏуэсэжа	kwˈasˈɑmʒˈa
кӏуэсэжын	kwˈasˈɛʁʒˈyn
кӏуэсэн	kwasˈn
кӏуэтэн	kvatˈan
кӏуэтэху	kvatɑːf
кӏуэхъу	kwaʁ
кӏуэцӏ	kwɑts
кӏуэцӏбжьэцӏ	kwatsbʐats
кӏуэцӏей	kwa˥˥tsaɪ˥˩
кӏуэцӏисхьэн	kwattsisihæn
кӏуэцӏищӏэн	kuaʲtsɨʲiːʂan
кӏуэцӏрывыкӏын	kwˈɒtsʁˈɒv
кӏуэцӏрыгъэжын	kʰɑtsʰɾʲɐχɑʒyn
кӏуэцӏрыгъэкӏын	kwɑtsɯɾɑʁɑtʃɯn
кӏуэцӏрыгъэхун	kwɑtsɑɾɯ̞χɑfuŋ
кӏуэцӏрыгъэщэтын	kwætsʲɪrʁaʂtʲɪn
кӏуэцӏрыдзын	kɔːtsɑɾɛtʲːin
кӏуэцӏрыжын	kwaðsʁiŋ
кӏуэцӏрыкъуагъэ	kwatzraqwaɣa
кӏуэцӏрыкъутыкӏын	kɔ̙tsʰɵrɵ̙qo̙tʰtʃyn
кӏуэцӏрыкъуэ	kwˈɒtsiɾˈɒqwɒˈ
кӏуэцӏрыкъуэн	qɔˈɑtsurqɑn
кӏуэцӏрыкъэ	kwɑtsɯ̞rɑqːɑ
кӏуэцӏрыкӏыбжэ	kɔtsrɛtʃibʒɛ
кӏуэцӏрыкӏын	kuatʃrɛtʃin
кӏуэцӏрыкӏыпӏэ	katsʲrɨtsʲupɑ
кӏуэцӏрылъэтын	kwasaqçɛtɪ̞ŋ
кӏуэцӏрылъэфын	qɑtsɯrɪ̞ʃæfɪ̞n
кӏуэцӏрыплъын	kɔˈʌtsrpʲiːn
кӏуэцӏрыпщын	kwetsɐrɛpʃɪn
кӏуэцӏрысыкӏын	kwaːtsarasɛtyn
кӏуэцӏрытхъун	kwatsarɛtɣun
кӏуэцӏрытхъын	ɢɒtsrðxɒˈn
кӏуэцӏрыубыдыкӏын	katsavbɨdɨtʃyn
кӏуэцӏрыудын	kɫætsrɪ̞wɪ̞tɪ̞n
кӏуэцӏрыунэтӏыкӏын	ko̙atsroɾuɲatutin
кӏуэцӏрыхун	kw̜atsrðɢən
кӏуэцӏрыхыкӏын	katsruxˈitʃin
кӏуэцӏрыхын	kɫatsrɛxɪ̞n
кӏуэцӏрыцӏэфтын	kwað̞sot̪s̺t̪s̺aft̪ɪn
кӏуэцӏрышхыкӏын	katsraits̺ein
кӏуэцӏрышын	kɫatsrʲisˈyn
кӏуэцӏрыщыкӏын	koˈʁɑtsʁoˈʃoˈtɕyn
кӏуэцӏрыщэтын	kwasˈaʃɑtˈhˈɪn
кӏуэцӏрыщэщын	qɑtsrʃˈɑtʃˈin
кӏуэцӏрыщӏыкӏын	kwað̞ɾɨzotʃin
кӏуэцӏфэцӏ	kwatsfats
кӏуэцӏыбгэн	kɫattsɫabɣɛn
кӏуэцӏыбжэ	kwaðlɨmʐa
кӏуэцӏыбзэхыкӏын	kɫatsɫɑbzɛxɛtʃyn
кӏуэцӏыбзэхэн	kwattsɨbzjaxɛɲ
кӏуэцӏыбэмпӏыхьын	kwaːtabˈanpħaman
кӏуэцӏыгуэн	kɫatsaɣuɛn
кӏуэцӏыгъухьын	kwatsuwaħɪn
кӏуэцӏыгъуэлъхьэн	kwaʔtˤsawaːsˤħɐn
кӏуэцӏыгъуэн	kwˈɛtstˈaɣˌaɪn
кӏуэцӏыгъэбжьэн	kwattsaɣabʒajn
кӏуэцӏыгъэбзэхыкӏын	kw̜atsɑɢɑpz̺ɑχɪ̞tʃɪ̞n
кӏуэцӏыгъэгъуэлъхьэн	kwaːrwaaːwalaħan
кӏуэцӏыгъэджэрэзыкӏын	kwatsvagɑdzerazetʃɛn
кӏуэцӏыгъэджэрэзэн	katsˈaˈʁadʒɛrzɛn
кӏуэцӏыгъэжын	kwɑtsɑɣɑʒyn
кӏуэцӏыгъэжьэн	kwatzɑˈrɑʒɑˈn
кӏуэцӏыгъэкӏэрэхъуэн	kwaːtzaˈgɑtʃaːraxwan
кӏуэцӏыгъэлъэдэн	qɔtsqaɣaːʃɛdɛn
кӏуэцӏыгъэлъэлъын	qɑtsɑʁɑʃɛʃim
кӏуэцӏыгъэлъэлъэн	kɑtsɑχɑʃæʃæn
кӏуэцӏыгъэплъэн	kɔtsɔzɑpɪʃɛn
кӏуэцӏыгъэсын	kwætsäːgɑsɪn
кӏуэцӏыгъэтын	kwatsɑgɑrtɪ̞n
кӏуэцӏыгъэтӏысхьэн	kwɑtsaɣaːtsˈaħæn
кӏуэцӏыгъэтӏэтӏэн	koːˈtsɑhˈatˈsɑlɑtɑn
кӏуэцӏыгъэувэн	kwatzɔxɔvɑɲ
кӏуэцӏыгъэукӏуриен	koˈtsokaaoˈkɔɾiˈðɑn
кӏуэцӏыгъэукӏуриикӏын	kw̜o̙o̙kɵɾiːn
кӏуэцӏыгъэхуэн	kwˈaːtsuɒfˈaɾfˈaɾ
кӏуэцӏыгъэхьэн	kwatzɣɑħɑn
кӏуэцӏыгъэшэрэзэн	qɑtsʊɢɑʃɛrɛzɛn
кӏуэцӏыгъэщэтын	katsʲaɣaʃɐtɪn
кӏуэцӏыгъэщэтэн	kwaːtˈsaɾaʃɐtˈɛn
кӏуэцӏыгъэщэщын	kwˈatzˈmˈɑʃˈɛʃˈin
кӏуэцӏыгъэщэщэн	kwað̞sʊ̞rasaʃn
кӏуэцӏыгъэӏэбэн	kwaːtsiːraːʔabn
кӏуэцӏыдзын	kwaːtsɔdziːn
кӏуэцӏыдзэн	kwattsɑðsla
кӏуэцӏыдэн	wˈʌtsðədˈɪn
кӏуэцӏыж	kwatˈlˈɛʒ
кӏуэцӏыжын	kɫatstsoʒiŋ
кӏуэцӏыжэбзэн	kɫatsɫʲɐʒɛpˈzʲɐnˈ
кӏуэцӏыкудэн	kwattsəkɔdˈdaŋ
кӏуэцӏыкуэн	kʷɑ˥˥tsɯ˥˩kʰuən˥˥
кӏуэцӏыкъузэн	kɛˈrɑsˈtˤʔaqqzɛn
кӏуэцӏыкъухьын	kwaːtqaħˈna
кӏуэцӏыкӏ	kwatsɯtʃ
кӏуэцӏыкӏутэн	kwatzɑkɔtɛŋ
кӏуэцӏыкӏуэдэн	kwatsakwaˈdɛn
кӏуэцӏыкӏыщӏэ	kɫattsɑtɕiɛsʰɔ
кӏуэцӏылъхьэн	kɑtˈħælæhɑn
кӏуэцӏылъын	kua̯tsuɮsɪn
кӏуэцӏылъэдэн	kwatsæʃædiːn
кӏуэцӏылъэлъын	kw̜ätsɪ̞ɮɛɕin
кӏуэцӏылъэлъэн	kwɑtsuʃjɛʃjɛn
кӏуэцӏылэлын	kɔ̙tsɔ̙tʲɪlɪkɪ̞mɪ̞n
кӏуэцӏылэлыхьын	qɑtsɑælæzɑħɑn
кӏуэцӏынэн	kwɑtsɑnɑn
кӏуэцӏыпкӏэн	kwað̞sʊɫpʊjˈɑn
кӏуэцӏыплъэн	kɫattsɑpsʲɑnʲ
кӏуэцӏыпхэжын	kɔtsopˈˈoɟˈaɛ
кӏуэцӏыпхэн	kwˈɑtsɭˈɑpxˈɑn
кӏуэцӏыпщхьэн	kwattsɑpsʰɑːn
кӏуэцӏыпщын	kwattsɔpʃɨn
кӏуэцӏыпыджэн	kwaðlæpʲidʒɛn
кӏуэцӏыпӏытӏыхьын	koazpətˤɑħˈɑn
кӏуэцӏыпӏыщӏыхьын	kwaːtbʔasˤwħan
кӏуэцӏысын	kwɒtsɒsɒn
кӏуэцӏытын	kwað̞ɢn
кӏуэцӏытӏысхьэн	kɑtsˈtˤˈsˤħani
кӏуэцӏытӏыхьын	kwaθælˈtˤɑħˈħɑn
кӏуэцӏытӏэтӏын	kwað̞sʊtatɪŋ
кӏуэцӏытӏэтӏэн	kwatsˈatˈaːtˈan
кӏуэцӏыубыдэн	kwaːtˈsawaːbʔabˈdˤaːnˈj
кӏуэцӏыукӏуриен	katsɭoːkɔriːn
кӏуэцӏыукӏуриикӏын	ko̞ɒtsuau̯kɾiːn
кӏуэцӏыуплӏэнщӏэн	kuaʲtsuaβ̞sanʃaɲ
кӏуэцӏыупщӏыхьын	kwaːtðuaːbzˤaħæn
кӏуэцӏыупщӏэн	kwattsɑuːptsˈɑn
кӏуэцӏыуфӏеихьын	kwtˈoːvʔiːħaj
кӏуэцӏыухуэнэн	kwˈaːtlˈʉwfwˈaːnɑn
кӏуэцӏыущэбыхьын	kwatawʃabħæn
кӏуэцӏыуэн	kwaːtsuaːn
кӏуэцӏыфыхьын	kwaːttafħar
кӏуэцӏыхун	kwˈɑtsʌf
кӏуэцӏыхуэн	kwattsufoɲ
кӏуэцӏыхъуэнэн	kwaːtsuaxwaːne
кӏуэцӏыхын	kɫatzɐxɪ̞ɲ
кӏуэцӏыхьэн	kwatzħan
кӏуэцӏыцӏэфтын	kwˈʌtsˈʌsˈaftɪŋ
кӏуэцӏышхыхьын	kwattsɐʃχɐχɪ̞ŋ
кӏуэцӏышыпсыхьын	kwɑtsaʃbsˤaħˈn
кӏуэцӏышыхьыжын	kaszaʃaħadʒɪn
кӏуэцӏышыхьын	kwˈtsˤħæhɪn
кӏуэцӏыщын	uːaːtsɔːʃˌinˈ
кӏуэцӏыщэтын	oːaːtsʃɑːt˦inː
кӏуэцӏыщэтэн	kwˈatʃaʃateŋ
кӏуэцӏыщэщын	wað̞es̺as̺ẽn
кӏуэцӏыщэщэн	kwatzɛʃaʃaʃa
кӏуэцӏыӏун	kwaːtˤzˤauːnˈn
кӏуэцӏыӏэбэн	kwatsoabɛɲ
кӏуэщӏын	kwɛːswɨn
кӏы	dʒu
кӏыгу	dʑak
кӏыгуугу	tˈəgˈu
кӏыгъ	dʒoɾ
кӏыгъсыгъ	dʒɒhsɒh
кӏыгъэ	tʃoχ
кӏыжын	tʃøʒyl
кӏыкъитакъ	dʒuqitˈq
