(й)езуитщина	ɑːwezoːliːˈstænæm
лишавам се	ɾeliʃaːvɐ mˈuse
лишаване	liːʃɑːbɑːneʔ
лишен	lˈiːʃən
лишение	liːˈʃeɒːniːhæ
лишения	lʃnʃ
лов	lɔːf
ловджийски	wɔvdʑɛiski
ловен	uvən
ловец	ulgæt
ловеч	ɫɔvɪtʃ
ловка	lˈofka
ловко	vˈofku
ловкост	ɫɔfˈkɔst
ловувам	ovovam
ловък	uɔvɑk
ловя	ɫovja
логика	ɫɔgika
логичен	vɔɫogiːtɕɛn
логично	lɔgitʃnɔ
логичност	logitʃnos
логове	ɫɔguvɛ
лодка	ɫotkɯ
лодка с чадър	ɫɑtkɑ ztʃɪ̞dɛr
лодкар	vɔdkar
лодката е банка	ɫat qɯ̞tɑj bɑŋk
лодката е чиния	ɫatka ta j tʂɨ nʲa ja
лоен	lˈɔɪn
ложа	lɔʒɑ
лоза	wɔzɑ
лозар	wɔzɑːr
лозарство	moːzæɾstʃoː
лозе	ɫɔse
лозенец	lɔzɛnɛt
лозница	uɫɔznitʃa
лозов	ɫozof
лозов лист	vˈɑːz ˈʌv lˈist
лозунг	lozoŋ
лой	lɔj
локал	lˌukˈal
локален	uokala
локализирам	lokaˈlizˈˈam
локация	lɔkatsia
локва	lˈɔkvɑ
локомотивен	lɔkɔmɔtjʋɛn
локомотивни	lkɔmɔtivni
локомотивно	lkɔmɔtivno
локум	ɫɔqʊ̞m
лом	ɫum
ломотя	lˈumˈoˈtˈi
ломя	lumja
лонгоза	lõŋgɔvɐ
лондон	london
лоно	lɔnʊ
лопата	lata
лопатар	lɔpatar
лопатчица	ɫopatːʃitsa
лос	los
лос анджелис	lɔzɑntʃɛlɨz
лосион	ulikil
лост	wˈɔst
лостче	watʃtʃɪ
лот	lot
лотария	lˌutˈaɾjɐ
лотос	uɔtʊs
лоуренсий	louˈɾesi
лоча	vɔtʃɐ
лош	ʊɔʃ
лош глупав учител	los ɣ̞lupaf utʃit̪au
лош съветник	loʃa bolup beɾsæmɛn
лош учител	los u tʃit̪o
лоша	mˈɔʃa
лоша грешка	ɫɔʃa grɛʃka
лоша оценка	lɔʃa ɔ tsɛŋka
лошавина	bɔʃɐvina
лошите	oɦʃite
лошо	lɔʃɔ
лошо възпитание	uʂu vaspʲitanːʲi
лошокачествен	wɔʃuːkɑ˥˥tʃɪsʲtsʲen
лошотия	ofʃatʃɛr
лоялен	ɫoːjaˈlɛn
лоялност	ɔʒɔˈʊnʊst
лубрикант	obɾikals
луд	wɒt
луд учен	ɫut utʃɛn
луда	ɫuda
луда жена	woda dʒana
луда ли си?	ludeljsj
лудетина	lɔtɛtʃino
лудешката	ɫdɛʃkɐtɐ
лудешки	nˌɐ̃ʊ̃tˈeʃkɨ
лудея	wul̪eio
лудогорец	ludugɔɾɛts
лудогорец разград	nu dugoɾɛts ras grat
лудогорие	luːdʊgɔɾie
лудории	ldwˈriː
лудория	ʊduɾiɐ
лудост	ludɔst
лудувам	ɫɔduvam
лудуване	ɦʊdɔvɑne
лук	lˈʊk
лук в салатата	ɫuk f saˈɫatatə
лукав	nˈkɑf
лукава	plukˈavɐ
лукавец	lˈukɑvɪts
лукавствам	ɫukavstvɨ
лукавство	ɫukafstvu
луканка	lukanka
луковит	ɫukuvit
лукративен	lukrativɛn
лукс	luːks
луксозен	woksɔzən
лула	lu
лумвам	lũnˈvɯ̞m
лумване	lumvənɛ
лумнал	lumnul
лумпен	lumpɛn
луна	luna
лунатик	lunatik
лунен	lumen
луничка	ˈmunitʃka
лупа	wupːa
лупаница	ɫupɐnitsˈɐ
лустро	lustro
лустросвам	ɫustrosvam
лутам се	votam se
лутане	ɫɔtɐne
лутаница	lutɐnitsa
лутания	lut̪nia
луфт	lˈoft
луцифер	ɫutsifɛrˈ
лъв	wɔf
лъвов	avˈuf
лъвове	lɛvɔvɛ
лъготя	ɫəgˈotja
лъжа	luxa
лъжа (л`ъжа)	lɛʒa
лъжа (лъжà)	ɫɯ̞ʒɑ
лъжа се	voʒuʃe
лъжец	uaxɛtst
лъжи	lɐgˈi
лъжица	loʒit
лъжлив	uaʒlif
лъжливост	vɔzɫˈivost
лъжовен	laʒuɾv̞n
лък	lˈʊk
лъка	lkɐ
лъкатуша	ɫakatˈuʃa
лъкатушен	lakatowʂɨn
лъки	wɒt
лъсвам	voslem
лъсване	ɣæstænæ
лъска	ɫuska
лъскав	ɫæskɔf
лъскавина	o̞skavinɛ
лъскам	ɫɯ̞skɯ̞m
лъскач	ləskatʃ
лъх	ulɯz
лъхам	uɫɯ̞χɯ̞m
лъхащ	vɔɦɛʃt
лъч	wɒt
лъчезар	latʃezar
лъчезарен	lʊtʃɪzɑrɪn
лъчение	lɛtʃɛɲiɛ
лъчист	ɫatʃist
лъщя	ɫæʃtjæ
льохман	lˈoχmæn
люба величкова	ljˈuva vjɐɫˈitʃkˈovʌ
любаш	ʝˈugas
любвеобилен	lˈʊkvʊlbˈeːlən
любвеобилност	lʲubðewbjlnost
любезен	lubˈɛzɪ
любезнича	ljubɛznʲitʃa
любезност	ljuːbɛznos
любек	lubɛk
любен чаталов	lʲubanʲ tʂataɫov
любеница	lˈubˈnit˃sa
любещ	lʊbɪʃt
любим	lobim
любима	lubima
любимата ми пещера е дяволското гърло.	lybim atə mɪp ˈeʃteɾa ɛ dɪabɾˈo tukɛɾu
любимец	lˌubˈiŋvˌeðˈis
любимка	ljubimka
любител	ljubiteo
любителски	lubitau̯skɨ
любляна	lublana
любов	lʲubov
любов от пръв поглед	lʊbɔvɔt prɔv ˈpɔblɪk
любовен	lʲubovɨn
любовен триъгъник	ljubovɛn tri əgɐɫnjk
любовна игра	lʲubovna ʲigra
любовна среща	lubovna srɛʃta
любовна сцена	lʲubovna stsɛna
любовни писма	lʲupovnʲi pʲistma
любовни стихове	lʲubovnʲi stsʲixuvɨ
любовни стрели	lʲubovʲ nʲa stʲrɨlʲi
любовни трепети	ljubovni trɛpɛti
любовник	ljubovnik
любовница	lʲubovnʲitsa
любовта	lubofta
любовчийка	lubuftʃjika
любознание	lɔuzɔvni
любознателен	ljubuznatɛljɛn
любознателност	ljuboznatɛɫnost
любомир золотович	ljuboˈmir zɔvɔtɔvits
любомир кабакчиев	lʲubumʲirka baktʂʲev
любомир младенов	lʲubou̯ mʲir mɫodaʲːuf
любомир нейков	lʲubumʲir nʲa mɨ
любомира казанова	ljubo mjɛra k kɐˈzanova
любопитен	lubopiteːn
любопитство	ljubopitsto
любопитствувам	lʲubupʲitstvuu̯vˈɑm
любослав младенов пенев	lʏdɫˈslɑh noˈdɛnuf ɛnæ
любувам се	ljuɛvɔmsɛ
любя	lwbie
люде	lude
людмил кирков	ljudmjɛw kɪrkɔw
людмила чешмеджиева	ljutmjɫa tʃɛʃmɛ dʒieva
людоед	lˈɛtˈolə
людски	lʲutskʲi
люк	lʏk
люксембург	lʊksɛmbuʁk
люксембургски	luksimburkskɛn
люксембургско	luksemboɾsko
люлеене	lulene
люлея	lulɛjɔ
люлея се	lulɛjɛse
люлка	luːkˈa
люлкам	lʊkˈɑn
люляк	lʲulʲɪk
люляков	lulakov
люпилня	ɭupˈiɭnˈe
люпя	lupia
люспа	lospa
люспица	lʊspɪtsɛ
люспици	plʊspiˈtsi
лют	lʊtˈ
лют пипер	lʲut piper
лют февруари	lʊtfe vɾʊarʲi
лютеница	lutinitsalutinitsa
лютеций	ljuteˈtsi
лютив	lutif
люто	luto
лютя	lə-tˈɛʁ
лютя се	lutsiɔsɛ
люшкам	lʲuzkam
люшкам се	lʊʃkam se
люшкане	lʏʃkɑnɛ
люшканица	lʊʃkanˈitsˈə
лющя	luʃtɕɒ
лющя се	lustʃɛse
ляв	lˈɑf
лявата	lavˈote
ляво	lavo
лягай	lʲægʲɪ
лягай !	laːgə
лягай си	lʲaːgaj
лягам	lægam
лягам рано	lˈagˈamlˈanˈo
лягам си	lʲagam si
ляла	lala
лясковец	klaskovɛts
лястовица	ljastovitsːo
лятна нощ	latna nˈɔʃt
лято	lato
лятос	latʊs
м	mˈə
мавзолей	mavzulej
мавритания	maːvrɛjːtanjɛ
маврицийска	mɐvritsijska
маврицийски	mɔʋritsʲisʲki
мавруд	mavrut
маг	mak
магазин	mˌɐgɐzˈin
магазин за колбаси	mgzjn za kolba si
магазинер	mɑgɑzineɾ
магазинерка	mˌɐgɐzˌinˈɛɾkɐ
магазинът е затворен	mɐgɐzˈinɐt ɛ zˈatvɔren
магазинът е отворен	magazinat ɛ ɔtvɔrɛn
магазия	mˌɑgɐzˈiːɾ
маган	maga
магаре	magˈɑɾe
магарешки	magarɨʃkʲi
магарешки инат	magaːr ɪʃ kɪːnaːt
магарещина	magarʃtʃɪnɛ
магарица	magaritsa
магария	magaɾia
магдалена малеева	magdalɛna malɛjɛva
магданоз	magnaɛos
магданозлия	makdɛnuzljeja
магента	magɛnˈtɑ
магии	magi
магипортирам	mɐgɪpurtʲiːram
магистрала	magistraˈla
магистрат	magistrat
магистратура	magistratura
магистър	magˈistɚ
магически	magitʃɛski
магия	magˈiɾ
магма	magma
магнат	magna
магнезий	magnezi
магнезит	magnazjt
магнетизирам	məgˈnətjziɾəm
магнетизъм	magnetizam
магнетичен	magnetʲiːtʃʲɛn
магнетофон	mnt̪t̪ufoŋ
магнит	magniːt
магнитизирам	magneˈtiseˈrɛm
магнитна буря	magnetna bˈurje
магнитосфера	magnituspɛra
магнитуд	madutˤ
магнолия	magnaʊliːɑ
магурата	maːgurata
магьосам	mugjɔsɨm
магьосвам	makjosɫam
магьосник	magijosnʲik
магьосница	magjosnʲitsa
магьосничество	magijɔsnitʃɛstwɔ
мадам	madˈɑm
мадама	madama
мадан	mad̪am
мадарският конник	mə daːɾskiə kɔnˈnik
мадейра	madejra
маджарово	madʒarovu
маджун	mˌaʒˈun
маджунирам	madʒuneɾam
мадона	mad̪ona
мадригал	matrigau
маестро	maestro
мажа	maʒo
мажа очите някому	maʒu ˈtʃitɛ ɲˈakɔmu
маждрак	mʝsð̞ɾak
маже	maʒɛ
мажор	maʝoɾ
мажоретен	maszoɾet̪t̪em
мажоретка	maʃoɾet̪ka
мажоритарен	maszoɾitaɾjɛn
мажоритарния	maʒurit̪amia
маза	moza
мазалат	mʌzǎv
мазач	mazaːʒ
мазачка	mɑzɑtʃkɑ
мазвам	mæzvon
мазгал	mˌɑzgˈɑl
мазе	maːzɛ
мазен	mɑːzɨn
мазилка	mɑzɪwkɑ
мазило	mãˈziw
мазник	maznik
мазнина	mãːzˈnʲinːa
мазнини	mʌzɛnnʲini
мазност	maznust
мазня се	ma zɲe se
мазол	mazoɫ
мазолест	mæzælæst
мазохизъм	kozuhimn
май	maj
май че	majtʃe
майка	majkˈa
майка ми ми липсва	majkɐ mi miˈlɪpsva
майка му стара	majkɐ mˌustˈaɾɐ
майката земя	majkɐ ta zɛmja
майката обича децата си	majkɐtɐ ɔbitʃɐ dɛtsɐtɐ si
майката си трака	majkˈatˈa si trˈaka
майко мила	majkɔ miɫa
маймуна	majmuna
маймунджолъци	majmundʒulətʃi
майна	mˈaɪnɚ
майната му	majˈenatɐ moː
майната ти	majˈnata ti
майната ти!	majnɑtɑti
майонеза	majˈoːnˈɛzɐ
майор	majoɾ
майорша	majˈɔrʃa
майстор	majstor
майсторица	majsturitsa
майстория	mˌaɪʃtuɾˈiɐ
майсторски	majsturski
майсторство	majsturstɨw
майсторя	mɐjstʊrˈjo
майтап	majtap
майтапя	majtapja
майтапя се	majtaˈpja ʃe
майчин	majtʃin
майчин език	majdʒineˈzik
майчински	majtʃinski
майчинство	majtʃɨnstvou
маказа	makaza
макар	mɐkˈar
макар че	makartʃe
макара	makara
макарони	makaroni
македония	mˌɐkədˈoːniə
макет	makˈɛt
макиавелизъм	makiˈjˈaˈvˈɛliːzˈm
максима	maksima
максимален	ɛtʃomaksimaˈlɛm
максималист	maːksjˈmalˈɛstˈ
максималисткa	maksimalistka
максимално	maɣ̞simalno
максимум	maksimum
мала азия	mˌɐlˈˈatʃɪjɐ
малайзийска	maɫaʲzʲijska
малайзийски	mɫɛjsʲisʲkʲi
малайзия	malasja
малария	mˌɐlˈaɾjɐ
малахит	malakid
малина	malˈiːna
малина (фамилия)	maljina
малинов	malinov
малка	mau̯ka
малки	mau̯kj
малките часове	maɫkitɛ tʃaˈsɔ vɛ
малко	mau̯
малко вероятно е	mɑɫ kɔ fɛrʊjɑtnojɛ
малко или много	mau̯kue lim nɔxɔ
малко количество	mɑɫkɔ kɔɫitʃɛstwɔ
малко ме е грижа	malo koma jɛ grɪʒa
малко ме е еня	mau̯ kɔme eeɲa
малко неспокоен	malkovn ɛs pɔ kˈoːn
малко по малко	mau̯kɔ pɔmaɫkɔ
малко търново	mɑɫkɔ tɤrˈnʊvɔ
малкото момиченце отглеждаше жабичка.	mɐɫkoto momitʃˈantɐ ɔdglˈeʒdɐʃɛ ʒɐbitʃkˈa
малкото село	malkɔtʊsɛɫo
малобройно	malubrojnʊ
маловажен	maluvaʒan
маловажно	mɔɫɔˈʋaʒnɔ
маловажност	maɫɔvaʒnɔ
малогабаритен	mɐɫugɐbrˈitɛn
малограмотен	maːluːgɾˈamɔtɛn
малодушен	maɫuduʂɨn
малодушие	mau̯oɫtusie
малокръвен	malukrɛvɛn
малокръвие	maɫokrɛvjɛ
малокултурен	lalokoloko
малолетен	malulɛtɛn
малолетни (мн.ч.)	maulɛkni
маломерен	mælˈlˈumɑːrɛn
малотраен	malutrajm
малоумен	mauomen
малоумие	mauɔumjɛ
малоумник	mɛlumnik
малоценен	mauatsɛnɛn
малочислен	mau̯tʃislẽn
малочисленост	mautʃisɫʲenos
малтретирам	maltrɛtjram
малтретиран	malt̪ɾet̪iɾẽn̪
малцина	malt̪ina
малцинство	mau̯tsinstvɔ
малчуган	mau̯tʃugan
малък	malak
мальовица	malʲovitso
мама ви мръсна	na mɔwim rɨznɛ
мамалига	mamaljka
мамене	maːmɑmɑne
мамин син	maminsin
мамино детенце	ma minu de tɛntsɛ
мамка му!	mam kɔmu
мамка му, пробвай!	mam kamu provaj
мамут	mɑmˈut
мамя	mamja
мамя се	maːm jɛsteː
манастир	mãn̪est̪iɾ
манастира	manastira
манга	maŋga
мангал	mangau
манган	maːngˈan
мангизи	mangizi
манго	mangɔ
мангуна	manguna
мангуста	manˈgʊstˈa
мандало	mɐndɐlu
мандарина	mãn̪d̪eɾina
мандаринка	mandrˈink
мандат	mãn̪d̪at̪
мандахерцам	mandagertsam
мандахерцам се	manda xertsam si
мандахерцащ се	manda gɛrtzɔʃtʰ sɛ
манджа	mandʒa
манджурия	manʒurje
манджурски	mandʒursi
мандолина	mandʊlĩŋɐ
мандра	mantɾa
мандрата	mandrəta
маневра	manovra
маневрирам	mɔnɛvrˈirɔm
манекен	manekin
маниак	manʲijak
маниер	manjˈeɾ
маниерен	manʲern
маниернича	maɲɛrnitʃa
маниерничене	manjeɾnitʃini
маниерност	manʲernost
маникюр	manikˈor
манипулатор	mʊ̃nʲipulatʊ̃ɾ
манипулация	mãnipulatsijɐ
манипулирам	mɐnipuliɾa
манифактура	manjfakt̪wɾa
манифест	mɑ̃ifˈɛst
манифестация	maɲifɛstatsjɛ
манифестирам	manifɛstirɛm
мания	mˈɑnˈi
манкирам	mankijram
манна небесна	manna nə bɛs na
манолов	manolov
мансарда	mansarda
манта	manta
манталитет	mant̪alit̪t̪
мантинела	mɑntjnɛla
мантия	mamtʲiːja
марaгидик	maragɯdik
марaгидик е връх в стара планина.	maragidik ɛ vrɯ̞x v stˈarˈa pɫɐnina
мара гидик	maragidik
мара подробната	marapodrobnata
марагидик	maragidik
маракаси	nˈɔrakasˈi
маракуя	marakua
мараня	maranʲa
маратон	maɾatˈon
маратонки	maratɔnki
мариан бачев	maɾian batʃa
мариана димитрова	mħã˨˩lja˧˧tɕjɔ˥˩
марийка	maːriːka
марика	marika
марин янев	mˈorini jˈanɛv
марина	mɑɾiːnɑ
марина дупка	maːriː na dopka
мариновам	marinovɐm
марионетка	maɾionetka
мариус куркински	maːriuz kurskiŋski
марихуана	marihwana
марица	mʌrˈitsʌ
мария	mˌɐɾˈiɐ
мария бакалова	maria bakaɫova
мария игнатова	marija ignatɔva
мария илиева	marijə lˈeˈvɑ
мария русалиева	marija rusaljeva
мария сапунджиева	marija sɛpʊndʒieʋɐ
мария статулова	marija statuɫova
мария тодорова	maːriːa tuː duːroːʋo
марка	marka
маркер	maɾkɪ̞ɾ
маркирам	mˌaɾkˈiɾəm
марксист	arksist
маркуч	mɤrkutsʲ
марля	marla
мармалад	namalat
мармот	marmotː
мародер	maroðeɾ
мародерство	marɔdɛrsdvɔ
мародерствувам	mɐrˈodɛrstvʊvɐm
мароко	mɛrɔkɔ
марония	marɾnia
марс	mˈars
март	mˈaɾt
мартеница	mˈaːrtenitsˈa
мартин	maɾt̪in
мартин димитров	maltín dʒimitʁaf
мартина вачкова	mɤrtinˈa vˈatʃˈkovˈa
маруля	marulʲa
маршал	maɾɣ̞sal
марширувам	marseˈruːvam
маршрут	mˈˈarʃˈɾˈud
маршрутно такси	marʂrutnuu̯ taksʲi
мас	mas
маса	mˈas
масаж	masˈaʒ
масажирам	mˌɐsɐdˈˌiɾɐ̃n
масажист	massaʒˈist
масата свободна ли е?	masatə svɔbɔdnɐ li e
маси	basi
маси за партито	maː si za paɾtitɔ
масив	maːsˈiv
масивен	mɛssivɛn
масивност	masivnost
масите	maːsidɛ
масите са малко	masite sɤ maɛɫk
масичка	masitʃkˈa
маска	mɑːsɑ
маскара	mɑskɑrɑm
маскарад	mˌɑskʌrˈˈat
маскирам	mˈɑskiɾʊm
маскирам се	maskʲirɑm se
маскиране	mˌasukˈiɾɐnɛ
маскировка	maskiˈrɔfkɑ
маслен	maszlɛn
маслен филтър	maslɛn fjˈutər
маслена помпа	masa jnɛ pɔmpa
маслина	mɑslʲina
маслинен	maslʲinenn
маслинов	maslʲinof
масло	mˈˈɑsˈoˈɑl
маслодаен	maslɔdai̯n
масов	basov
масова култура	mɑsʊva kultuɾa
масово	masovu
масовост	maːsɔvɔst
масон	masan
масони	mˈasə
масонство	masaɫɨmstvu
масраф	masraf
масти	masti
мастило	mˈystˈiˈu
мастит	mɐstit
мастурбирам	masturbʲiram
масур	mɑsuːr
масурче	mɐsurtʃɛ
мат	mat
матей	mataɪ
математика	matemˈatika
математиката	matematikata
математици	matematisi
математическа гимназия	matɛmatitʃɛska ɟɛmnaʑɛ
математически	matematitʃiskim
материал	mɐteɾiˈɑl
материален	mat̪erjalɛn
материалистичен	mˈatɛriːalˈɪstɪtʃˈnˈ
материално	materialno
материалност	matɨɾiˈɑlmˈost
материк	matɛrik
материнство	mɔtɛrinistvu
материя	matˈeɾja
матка	matka
матов	matos
матовост	maːtovost
матрак	matrak
матрица	matritsa
матрос	matros
матура	matura
мафиот	mafjɔt
мафиоти (мн.ч.)	ma fjɔti
мафия	mafˈɛ
махай се	maxɐjsʲɐ
махала	naxɯ̞ɫɑ
махало	maxaɣo
махам	maxˈɯm
махам опашка	maxa mu paʃka
махам се	maxɛm sɨ
махана	maxəla
махане	maxanɨ
махвам	maxvam
махвам се	maxvamse
махване	maxvanɛ
махленски	maxlʲenskʲi
махмурлия	maxmurlia
махмурлук	mːɐχmˈurluk
махни ми се от главата	maxˈnimisʌ ˈot gɭˈɑvʌtˈa
маца	matsa
мацам	matsɐm
мацвам	matsˈvam
маце	matsɛ
мацка	matska
мач	matsʲ
мачанов трап	maltʃanuv trab
мачете	matʃete
мачкай	matʃˈkaj
мачкам	maːtʃkam
мачкам се	batʃkɔm sɛ
мачканица	batʃkaˈnitɫa
мачта	matʃtɑ
маша	maʃɨ
маша [машà]	mˈɑʃa
машина	mɑʃˈinɑ
машинален	maʃiːnaːlɛn
машинации	mau̯tʃjnatsʲi
машинация	məʃiˈnatsijə
машинист	maʃinʲist
машинописка	maʃinupiˈska
машиностроене	mɐʃˈinˈostɾˈainˌe
мащаб	mast̪ap
мащабен	mast̪aβ̞en
мащабно	mast̪aβ̞no
мащерка	maʃtɛrkɐ
мащеха	maːʃteɣa
мая	mˈajɚ
мая (ма`я)	maːjɑ
мая драгоманска	maja draˈgumɐ̃nska
мая новоселска	maja novusɛɫska
мая се	maja sɨ
маяк	majak
мвр	majvɨjraj
ме	mˈaː
мебел	meɾɣ̞ɾ
мебели	mʲɛbɪlˈli
мебелирам	mibeliːrɔm
мебелировка	mɛbilirɔfka
мебелите	mabɛɾɛtɛ
мегалитна	mˌeˈgajˈitnˈɔ
мегаломания	migɑlʊmɑnjɑ
мегаполис	mægapɔlis
мегдан	mɛkdaːn
меглена плугчиева	mi kɛlɛnɑp ɓok tʃeɛla
мед	mˈɛd
медал	mɛtaːɫ
медальон	majtaloɾn
меден	mˈaˈydˈn
меден месец	mˈe dˈɛn mˈɛsɛts
меденка	merenka
медиана	medjana
медик	bɪˈdæk
медикамент	medikˈamˈent
медицина	meditsina
медицинска	mʲedzʲitsʲinska
медицинска сестра	mʲɛdʲiːʲtsʲɪnskaja sɪstra
медицински	mɛditsjɪnskɪ
медичка	mɛditʃka
медия	media
медник	mednik
медовина	mɛduːˈvina
медуза	mʲetsʲdu
междина	mˌiʒdɪnˈa
междинен	mʲezdʲĩŋen
между	mɛsdu
между другото	miʒdu drugɔtɔ
междувременен	miʃduvrɛmɛnɛn
междувременно	mɪʃdovrɛmɛnnʊ
междувремие	miʃduvɛmjɛ
междузвездни войни	mɛʒdu zvɛzni vɔjni
междуметие	mɛʒdumɛtie
международен	mʃduːnaːroːden
международното право	mjɛʃdunarɔdnɔ to pɾavɔ
междуособен	mʃtoosobɛn
междуособица	mʃduːsɔbitsɑ
междупланетен	miʃduplanɛtɛn
междучасие	mʃdotʃasje
мездра	mevra
мезе	meze
мек	mˈɛk
мека китка	mɛkɔ kitkɐ
мекица	mlekitza
меко казано	mokɔkɑzɔnɔ
мекост	mˈaɪkˈost
мекота	mɛkuta
мекотело	mekɔtɛɔ
мексико	mɛksiko
мекушав	imekˈuʃa
мекушавост	mˈekɒʃaːmˈost
меланхолик	mɛlɛnxʊlik
меланхоличен	miɫanxuliʧɛn
меланхолия	mˌɛlənˈhˈˈoʊliə
меле	mele
мелене	me̞lẽn̪ɛ
мелиорация	miːljuːˈɾatsiːɑ
мелник	mɛu̯nik
мелница	mʲelnitsa
мелодичен	mewdɪtʃɛn
мелодичност	nɛu̯ditʃnɔst
мелодия	mˌɛlˈoʊdjɐ
мелодраматичен	mɛɫɔdromatiʃen
меля	mɛla
меля като картечница	mɛlja kɐto kartɛtʃnitsɐ
меля като празна мелница	melja kɐto prɐznɐ meɛɫnitsˈa
мембрана	membrana
мемоари	memoˈare
меморандум	memorandum
мемфис	menfis
мен	men
мен вълците ме яли	menn vˈotʃitɛ meˈjali
мен кучета ме яли	men kɔtʃtɐ mɛjɐli
менажерия	mɪnˈaʒˈirija
менгеме	mængʲɪmæ
менделевий	menˈdɛlˈevi
мене	mˈɛni
мензура	menˈzura
мениджър	manidʒɚ
менингит	mˌeˈnˌiːnˌgˈɪt
менител	meniteo
мента	mentɔ
менте	ment̪e
ментов	mantov
менует	mɛ̃ˈʌət
меню	nˈɛ̃o
менюто	mɛnjˈutu
меня	menjo
меня се	menjˈo sˈe
мерак	mɛrak
мераклия	mˌeɾaklˈio
мерен	merɛn
мерене	mĕport
мержелее	mˌɛrʃəlˈeɪ
мержелея се	merʒele e̞se
мерзавец	mɛrzavɛts
мерзавщина	miːnzaːftʃtɪne
мерзост	merzust
мерзък	mɛrzɨk
мери си приказките!	mɛɾis i pri kaskitɛ
мерило	merilo
мерителна чаша	mɛritɛ ɔna tʃaʃa
меричлери	meritʃlaɾi
меркантилен	merkantilen
меркантилизъм	mʲirgʊ̞ntjlʲizʊ̞m
мерки	mˈɛrki
меркурий	merkʊriː
мерник	mɛrnik
меродавен	merudavan
мероприятие	mɛrɔprijatie
мерси	mersi
мерудия	meruzia
меря	mɛria
месар	meθˈaɾ
месарница	mɨsarɲitsɨ
месен	mɛsɨm
месест	mɪsˈɛst
месец	mɪsɪts
месечина	mɛssitʃɪn
месечинко	meseetʃinko
месинг	mɛθɪŋk
месия	mʲisʲija
меснат	mʲesnʲɛt
месо	miso
месопотамия	bensopotamia
месояден	misojadn
места	mesta
местен	mestem
местене	mʲɛʃtʲɛnʲɛ
местност	mʲaztmɔst
местността	mɛsnɔsta
местожителство	nɛstwʒitɔstvɔ
местоимение	mʃtojɛmɛnjɛ
местоимения	mʃtojmeˈnia
местоназначение	mɛstunaznatʃɛnjɛ
местонахождение	mɛstunaxoʒdɛnjɛ
местоположение	mɛstupɔɫuʒɛnijɛ
местопребиваване	mʲestoprɛbivafane
местопребивание	mjɛstɔprɛbɪvaːɲiɛ
местопрестъпление	mestuprɛstɛplɛnjɛ
месторазположение	mʲastorzpɫuzɛnʲːe
местя	mestja
местя се	mɛsˈtʃɛse
меся	mesja
меся се	mesjɛsʲe
мета	meta
метал	mɛtaːw
металик	mˌeːtˈaˈlˈɪk
металически	metaɫitʃeskʲi
метаморфоза	metamorfosa
метан	mikˈam
метателен	beːtˈaːtelˈɛn
метафизичен	mʲetːofizˈtʃɪŋ
метафора	metafora
метафори	me̞t̪aːfuːri
метафоричен	metaforidʒen
метач	mɛta˥˩tʃ
метеж	mɛtɛʃ
метежен	ˈɛtʃtʃɑm
метежник	œ̃npɛʒnˈik
метене	mete˥˩ːne
метеорологично	mʲetɛu̯ruɫugʲitʂnu
метла	mɛtwˌa
метличка	mɛtɫitʃˈka
метод	maet̪ot̪
метода	metoˈdametoˈda
методий	metoˈdij
методичен	meturditʃen
методичност	mɛtuditʃnɔst
метонимия	metoɲˈmiːˈa
метра	mɛtra
метреса	metrasa
метро	metro
метрополия	pɛtropɔlɛ
метростанция	metrostantsia
метър	betər
мефистофелски	mɛfistɔvɛʊski
мех	mˈɛ
механа	mixena
механизация	mɛxˈanizatsija
механизъм	mɛxˈanism
механик	mɛxɑːnik
механика	mɛxaːnika
механичен	maxanitʃɛn
механически	mɛkanitʃˈiski
мехлем	mˈtʃlˈɛm
мехур	mʲexʊɾ
меценат	metsenapt
меч	mɛs
меча кръв	mˈˈetʃˈɐkrəf
мечешки	mʲetsɨʂkʲi
мечка	mɛtʃka
мечка във въздуха	mɛtʃkɐvˈa vˈɐzdˈoxa
мечок	mʲetsɪok
мечта	mʃt̪a
мечтание	mɛtstɑːniɛ
мечтател	mʲɛtʃtɑtɛl
мечтателен	mʲatʂtaːtɛlʲn
мечтателка	natʃʃkatɛɫka
мечтателност	be̞t̪ʃtɐtɛunɔst
мечтателствам	mɛtʃtadɔstɔ
мечтая	mɛtʃtaja
мечти	mɛtʃti
мешана салата	mɛʃɛ na sɛɫatɐ
мешаница	mɛʃɛnitsa
мешена салата	neʃɯnɯz havaːt
мешка	mʃk
ми	me
ми се	misse
мианмар	mʲiɛnmɑq
мивка	mjska
миг	mik
мига	miga
мигам	migam
мигам като мишка в трици	mjˈe gɤm kɐto miʃkˈa v trˈitsi
мигам на парцали	mʲigɐm napartsa ɑlʲi
мигане	migane
мигар	nɪ̞gɪ̞r
мигач	igatʃ
мигла	migo
мигли	migli
мигновен	mʲignoʋɛn
мигновение	mʲignʊvɛɲɛ
мигновено	mignɔvɛnɔ
мигрираща работна ръка	migrɛra ʃtɛ rɛbɔt na rɐka
мида	mida
мидена черупка	mjde na dʒərubkə
миеща мечка	mʲiʲiʂta mɛtʂka
мижа	mˌiʒˈa
мижав	miʒav
мижешком	mjɛʐɨʂkɔw̃
мижи да те лажем	mʲiʒi dɔ tɛ ɫaʒɛm
мижитурка	miʒitɵrkɑ
миза	miza
мизантроп	misaːnˈtˈɾˈopː
мизантропия	mizanˈtɾɔpja
мизерен	mizaɾa
мизерия	mjzɛrjɑ
