×	peke
ミラーサーバー	miɾaːsaːbaː
ミラージュ	miɾaːdʑɯ
ミラードライブ	miɾaːdoɾaibɯ
ミラーページ	miɾaːpeːdʑi
ミラーボール	miɾaːboːɾɯ
ミラーリング	miɾaːɾiɴgɯ
ミラーレス	miɾaːɾesɯ
ミラー・サイト	miɾaː saito
ミラー・サーバ	miɾaː saːba
ミラー・サーバー	miɾaː saːbaː
ミラー・ドライブ	miɾaː doɾaibɯ
ミラー・ページ	miɾaː peːdʑi
ミラー・ボール	miɾaː boːɾɯ
ミリ	miɾi
ミリアンペア	miɾiaɴpea
ミリアンペア計	miɾiaɴpeakei
ミリオタ	miɾiota
ミリオネア	miɾionea
ミリオン	miɾioɴ
ミリオンセラー	miɾioɴseɾaː
ミリオン・セラー	miɾioɴ seɾaː
ミリキュリー	miɾikjɯɾiː
ミリグラム	miɾigɯɾamɯ
ミリスチン酸	miɾisɯtɕiɴsaɴ
ミリセカント	miɾisekaɴto
ミリセカンド	miɾisekaɴdo
ミリタリスト	miɾitaɾisɯto
ミリタリズム	miɾitaɾizɯmɯ
ミリタリー	miɾitaɾiː
ミリタリーオタク	miɾitaɾiːotakɯ
ミリタリーマーチ	miɾitaɾiːmaːtɕi
ミリタリールック	miɾitaɾiːɾɯkːɯ
ミリタリー・オタク	miɾitaɾiː otakɯ
ミリタリー・マーチ	miɾitaɾiː maːtɕi
ミリタリー・ルック	miɾitaɾiː ɾɯkːɯ
ミリネジ	miɾinedʑi
ミリバール	miɾibaːɾɯ
ミリボルト	miɾiboɾɯto
ミリミクロン	miɾimikɯɾoɴ
ミリメーター	miɾimeːtaː
ミリメートル	miɾimeːtoɾɯ
ミリメートル波	miɾimeːtoɾɯha
ミリュー	miɾjɯː
ミリリットル	miɾiɾitːoɾɯ
ミリングマシン	miɾiɴgɯmaɕiɴ
ミリング・マシン	miɾiɴgɯ maɕiɴ
ミリ波	miɾiha
ミリ秒	miɾibjoɯ
ミル	miɾɯ
ミルウォーキー	miɾɯɯoːkiː
ミルカー	miɾɯkaː
ミルガイ	miɾɯgai
ミルキングアクション	miɾɯkiɴgɯakɯɕoɴ
ミルキング・アクション	miɾɯkiɴgɯ akɯɕoɴ
ミルキーウェー	miɾɯkiːɯeː
ミルキーハット	miɾɯkiːhatːo
ミルキー・ウェー	miɾɯkiː ɯeː
ミルク	miɾɯkɯ
ミルクイ	miɾɯkɯi
ミルクイガイ	miɾɯkɯigai
ミルクコーヒー	miɾɯkɯkoːçiː
ミルクシェーク	miɾɯkɯɕieːkɯ
ミルクシャーク	miɾɯkɯɕaːkɯ
ミルクセーキ	miɾɯkɯseːki
ミルクチョコレート	miɾɯkɯtɕokoɾeːto
ミルクティ	miɾɯkɯtei
ミルクティー	miɾɯkɯteiː
ミルクパン	miɾɯkɯpaɴ
ミルクファイバーライス	miɾɯkɯɸaibaːɾaisɯ
ミルクプラント	miɾɯkɯpɯɾaɴto
ミルクヘビ	miɾɯkɯhebi
ミルクホール	miɾɯkɯhoːɾɯ
ミルクポンチ	miɾɯkɯpoɴtɕi
ミルクレープ	miɾɯkɯɾeːpɯ
ミルク・コーヒー	miɾɯkɯ koːçiː
ミルク・シェーク	miɾɯkɯ ɕieːkɯ
ミルク・シャーク	miɾɯkɯ ɕaːkɯ
ミルク・セーキ	miɾɯkɯ seːki
ミルク・チョコレート	miɾɯkɯ tɕokoɾeːto
ミルク・ティ	miɾɯkɯ tei
ミルク・ティー	miɾɯkɯ teiː
ミルク・パン	miɾɯkɯ paɴ
ミルク・プラント	miɾɯkɯ pɯɾaɴto
ミルク・ホール	miɾɯkɯ hoːɾɯ
ミルク・ポンチ	miɾɯkɯ poɴtɕi
ミルク蛇	miɾɯkɯhebi
ミルティーユ	miɾɯteiːjɯ
ミルナ	miɾɯna
ミルネット	miɾɯnetːo
ミルフィーユ	miɾɯɸiːjɯ
ミルフイユ	miɾɯɸɯijɯ
ミルポワ	miɾɯpoɰᵝa
ミルラ	miɾɯɾa
ミルワーム	miɾɯɰᵝaːmɯ
ミル・クレープ	miɾɯ kɯɾeːpɯ
ミレットシードバタフライフィッシュ	miɾetːoɕiːdobataɸɯɾaiɸiɕːɯ
ミレニアム	miɾeniamɯ
ミレニウム	miɾeniɯmɯ
ミロ	miɾo
ミロのビーナス	miɾonobiːnasɯ
ミロナイト	miɾonaito
ミロンガ	miɾoɴga
ミンク	miɴkɯ
ミンクのコート	miɴkɯnokoːto
ミンククジラ	miɴkɯkɯdʑiɾa
ミンク鯨	miɴkɯkɯdʑiɾa
ミンコフスキー時空	miɴkoɸɯsɯkiːdʑikɯɯ
ミンサー	miɴsaː
ミンス	miɴsɯ
ミンストレル	miɴsɯtoɾeɾɯ
ミンストレルショー	miɴsɯtoɾeɾɯɕoː
ミンストレル・ショー	miɴsɯtoɾeɾɯ ɕoː
ミンスパイ	miɴsɯpai
ミンスミート	miɴsɯmiːto
ミンダナオジムヌラ	miɴdanaodʑimɯnɯɾa
ミンチ	miɴtɕi
ミンチカツ	miɴtɕikatsɯ
ミンチカツレツ	miɴtɕikatsɯɾetsɯ
ミンチパイ	miɴtɕipai
ミンチボール	miɴtɕiboːɾɯ
ミンチ・カツレツ	miɴtɕi katsɯɾetsɯ
ミンチ・ボール	miɴtɕi boːɾɯ
ミント	miɴto
ミントキャンディ	miɴtokjaɴdei
ミントキャンディー	miɴtokjaɴdeiː
ミントキャンデー	miɴtokjaɴdeː
ミントジュレップ	miɴtodʑɯɾepːɯ
ミントソース	miɴtosoːsɯ
ミント・ジュレップ	miɴto dʑɯɾepːɯ
ミント・ソース	miɴto soːsɯ
ミンネ	miɴne
ミンネザング	miɴnezaɴgɯ
ミンネジンガー	miɴnedʑiɴgaː
ミンネゼンガー	miɴnezeɴgaː
ミンボー	miɴboː
ミンミンゼミ	miɴmiɴzemi
ミン南語	miɴnaɴgo
ミー	miː
ミーアキャット	miːakjatːo
ミーイズム	miːizɯmɯ
ミーティア	miːteia
ミーティアライト	miːteiaɾaito
ミーティング	miːteiɴgɯ
ミーティングルーム	miːteiɴgɯɾɯːmɯ
ミーティング・ルーム	miːteiɴgɯ ɾɯːmɯ
ミーディア	miːdeia
ミート	miːto
ミートソース	miːtosoːsɯ
ミートハンマー	miːtohaɴmaː
ミートパイ	miːtopai
ミートボール	miːtoboːɾɯ
ミートローフ	miːtoɾoːɸɯ
ミート・ソース	miːto soːsɯ
ミート・ハンマー	miːto haɴmaː
ミート・パイ	miːto pai
ミート・ローフ	miːto ɾoːɸɯ
ミード	miːdo
ミーノータウロス	miːnoːtaɯɾosɯ
ミーハー	miːhaː
ミーム	miːmɯ
ミーリング	miːɾiɴgɯ
ミール	miːɾɯ
ミールワーム	miːɾɯɰᵝaːmɯ
ミーンズテスト	miːɴzɯtesɯto
ミーンズ・テスト	miːɴzɯ tesɯto
ムエタイ	mɯetai
ムカゴイラクサ	mɯkagoiɾakɯsa
ムカシウサギ	mɯkaɕiɯsagi
ムカシガエル科	mɯkaɕigaeɾɯka
ムカシゴカイ	mɯkaɕigokai
ムカシトカゲ	mɯkaɕitokage
ムカシトカゲ属	mɯkaɕitokagezokɯ
ムカシトカゲ目	mɯkaɕitokagemokɯ
ムカシトンボ	mɯkaɕitoɴbo
ムカデ	mɯkade
ムカデノリ	mɯkadenoɾi
ムカデメリベ	mɯkademeɾibe
ムカフンスギ	mɯkaɸɯɴsɯgi
ムガル帝国	mɯgaɾɯteikokɯ
ムキになる	mɯkininaɾɯ
ムキムキ	mɯkimɯki
ムギツク	mɯgitsɯkɯ
ムギュウ	mɯgjɯɯ
ムクゲ	mɯkɯge
ムクゲアルマジロ	mɯkɯgeaɾɯmadʑiɾo
ムクドリ	mɯkɯdoɾi
ムクノキ	mɯkɯnoki
ムクロジ	mɯkɯɾodʑi
ムクロジ目	mɯkɯɾodʑimokɯ
ムクロジ科	mɯkɯɾodʑika
ムク犬	mɯkɯinɯ
ムコ多糖症	mɯkotatoɯɕoɯ
ムコ多糖類	mɯkotatoɯɾɯi
ムコ養子	mɯkojoɯɕi
ムサカ	mɯsaka
ムササビ	mɯsasabi
ムサシアブミ	mɯsaɕiabɯmi
ムシカリ	mɯɕikaɾi
ムシガレイ	mɯɕigaɾei
ムシクイアイゴ	mɯɕikɯiaigo
ムシゴケ	mɯɕigoke
ムシヒキアブ	mɯɕiçikiabɯ
ムショ	mɯɕo
ムショ上がり	mɯɕoagaɾi
ムジナ	mɯdʑina
ムジナモ	mɯdʑinamo
ムジャーヒディーン	mɯdʑaːçideiːɴ
ムスっと	mɯsɯtːo
ムスカリ	mɯsɯkaɾi
ムスカリン	mɯsɯkaɾiɴ
ムスク	mɯsɯkɯ
ムスコン	mɯsɯkoɴ
ムスジイソハゼ	mɯsɯdʑiisohaze
ムスタッシュ	mɯsɯtaɕːɯ
ムスタング	mɯsɯtaɴgɯ
ムステルスアンタルクティクス	mɯsɯteɾɯsɯaɴtaɾɯkɯteikɯsɯ
ムステルス・アンタルクティクス	mɯsɯteɾɯsɯ aɴtaɾɯkɯteikɯsɯ
ムスメハギ	mɯsɯmehagi
ムスメベラ	mɯsɯmebeɾa
ムスリム	mɯsɯɾimɯ
ムズい	mɯzɯi
ムズムズ	mɯzɯmɯzɯ
ムダ毛	mɯdage
ムチ	mɯtɕi
ムチムチ	mɯtɕimɯtɕi
ムチン	mɯtɕiɴ
ムッと	mɯto
ムッと来る	mɯtokɯɾɯ
ムック	mɯkːɯ
ムックリ	mɯkːɯɾi
ムッシュー	mɯɕːɯː
ムッソリーニ	mɯsːoɾiːni
ムツ	mɯtsɯ
ムツオビアルマジロ	mɯtsɯobiaɾɯmadʑiɾo
ムツゴロウ	mɯtsɯgoɾoɯ
ムトン	mɯtoɴ
ムナグロ	mɯnagɯɾo
ムナグロギンザメ	mɯnagɯɾogiɴzame
ムナジロカワガラス	mɯnadʑiɾokaɰᵝagaɾasɯ
ムナジロテン	mɯnadʑiɾoteɴ
ムニエル	mɯnieɾɯ
ムニュ	mɯnjɯ
ムネアカヒワ	mɯneakaçiɰᵝa
ムビラ	mɯbiɾa
ムフティー	mɯɸɯteiː
ムブナ	mɯbɯna
ムベ	mɯbe
ムベンガ	mɯbeɴga
ムヨウラン	mɯjoɯɾaɴ
ムラっ気	mɯɾakːe
ムライト	mɯɾaito
ムラサキイガイ	mɯɾasakiigai
ムラサキイモ	mɯɾasakiimo
ムラサキウマゴヤシ	mɯɾasakiɯmagojaɕi
ムラサキカタバミ	mɯɾasakikatabami
ムラサキガイ	mɯɾasakigai
ムラサキギンザメ	mɯɾasakigiɴzame
ムラサキクンシラン	mɯɾasakikɯɴɕiɾaɴ
ムラサキサギゴケ	mɯɾasakisagigoke
ムラサキシキブ	mɯɾasakiɕikibɯ
ムラサキシメジ	mɯɾasakiɕimedʑi
ムラサキズキンベニハゼ	mɯɾasakizɯkiɴbenihaze
ムラサキツバメ	mɯɾasakitsɯbame
ムラサキツユクサ	mɯɾasakitsɯjɯkɯsa
ムラサキヌタウナギ	mɯɾasakinɯtaɯnagi
ムラサキバレンギク	mɯɾasakibaɾeɴgikɯ
ムラサキベンケイソウ	mɯɾasakibeɴkeisoɯ
ムラサキマシコ	mɯɾasakimaɕiko
ムラソイ	mɯɾasoi
ムラッ気	mɯɾake
ムラムラ	mɯɾamɯɾa
ムラート	mɯɾaːto
ムラ無く	mɯɾanakɯ
ムリオン	mɯɾioɴ
ムリゲー	mɯɾigeː
ムリタアルマジロ	mɯɾitaaɾɯmadʑiɾo
ムリダンガ	mɯɾidaɴga
ムリダンガム	mɯɾidaɴgamɯ
ムレハタタテダイ	mɯɾehatatatedai
ムロアジ	mɯɾoadʑi
ムンダー諸語	mɯɴdaːɕogo
ムンテラ	mɯɴteɾa
ムントテラピー	mɯɴtoteɾapiː
ムント・テラピー	mɯɴto teɾapiː
ムンプス	mɯɴpɯsɯ
ムンムン	mɯɴmɯɴ
ムーアの法則	mɯːanohoɯsokɯ
ムーア人	mɯːadʑiɴ
ムーサ	mɯːsa
ムース	mɯːsɯ
ムースリ	mɯːsɯɾi
ムーチョ	mɯːtɕo
ムーディー	mɯːdeiː
ムートン	mɯːtoɴ
ムード	mɯːdo
ムードコンディショニング	mɯːdokoɴdeiɕoniɴgɯ
ムードミュージック	mɯːdomjɯːdʑikːɯ
ムードメーカー	mɯːdomeːkaː
ムード・ミュージック	mɯːdo mjɯːdʑikːɯ
ムード・メーカー	mɯːdo meːkaː
ムード音楽	mɯːdooɴgakɯ
ムーバー	mɯːbaː
ムービー	mɯːbiː
ムーブマン	mɯːbɯmaɴ
ムーブメント	mɯːbɯmeɴto
ムームー	mɯːmɯː
ムーラン	mɯːɾaɴ
ムール	mɯːɾɯ
ムール貝	mɯːɾɯgai
ムーン	mɯːɴ
ムーンウォーク	mɯːɴɯoːkɯ
ムーンウオーク	mɯːɴɯoːkɯ
ムーンサルト	mɯːɴsaɾɯto
ムーンストーン	mɯːɴsɯtoːɴ
ムーンフェイス	mɯːɴɸɯeisɯ
ムーンフェース	mɯːɴɸɯeːsɯ
ムーンライター	mɯːɴɾaitaː
ムーンライト	mɯːɴɾaito
ムーンルーフ	mɯːɴɾɯːɸɯ
ムーン・フェイス	mɯːɴ ɸɯeisɯ
ムーン・フェース	mɯːɴ ɸɯeːsɯ
ムーヴィー	mɯːviː
ムーヴマン	mɯːvɯmaɴ
ムーヴメント	mɯːvɯmeɴto
メアド	meado
メアンダー	meaɴdaː
メイ	mei
メイガ	meiga
メイキャップ	meikjapːɯ
メイキュウサザナミハギ	meikjɯɯsazanamihagi
メイキング	meikiɴgɯ
メイク	meikɯ
メイクアップ	meikɯapːɯ
メイクオーバー	meikɯoːbaː
メイクセンス	meikɯseɴsɯ
メイクラブ	meikɯɾabɯ
メイク・オーバー	meikɯ oːbaː
メイク・ラブ	meikɯ ɾabɯ
メイク落とし	meikɯotoɕi
メイジ	meidʑi
メイジャー	meidʑaː
メイス	meisɯ
メイズ	meizɯ
メイデイ	meidei
メイト	meito
メイト系	meitokei
メイド	meido
メイドバイ	meidobai
メイド・バイ	meido bai
メイド喫茶	meidokisːa
メイフラワー	meiɸɯɾaɰᵝaː
メイプル	meipɯɾɯ
メイヤー	meijaː
メイヤーレモン	meijaːɾemoɴ
メイヤー・レモン	meijaː ɾemoɴ
メイラ	meiɾa
メイラー	meiɾaː
メイラード反応	meiɾaːdohaɴnoɯ
メイリング	meiɾiɴgɯ
メイリングリスト	meiɾiɴgɯɾisɯto
メイリング・リスト	meiɾiɴgɯ ɾisɯto
メイル	meiɾɯ
メイルオーダー	meiɾɯoːdaː
メイルサーバ	meiɾɯsaːba
メイルボックス	meiɾɯbokːɯsɯ
メイル・オーダー	meiɾɯ oːdaː
メイル・サーバ	meiɾɯ saːba
メイン	meiɴ
メインアンプ	meiɴaɴpɯ
メインイベント	meiɴibeɴto
メインエベント	meiɴebeɴto
メインオブジェ	meiɴobɯdʑie
メインカルチャー	meiɴkaɾɯtɕaː
メインキー	meiɴkiː
メインゲート	meiɴgeːto
メインコース	meiɴkoːsɯ
メインシリーズ	meiɴɕiɾiːzɯ
メインスタンド	meiɴsɯtaɴdo
メインストリート	meiɴsɯtoɾiːto
メインストリーム	meiɴsɯtoɾiːmɯ
メインタイトル	meiɴtaitoɾɯ
メインテナンス	meiɴtenaɴsɯ
メインテーブル	meiɴteːbɯɾɯ
メインディッシュ	meiɴdeiɕːɯ
メインディレクトリ	meiɴdeiɾekɯtoɾi
メインバンク	meiɴbaɴkɯ
メインフレーマ	meiɴɸɯɾeːma
メインフレーム	meiɴɸɯɾeːmɯ
メインフレームコンピュータ	meiɴɸɯɾeːmɯkoɴpjɯːta
メインフレーム・コンピュータ	meiɴɸɯɾeːmɯ koɴpjɯːta
メインページ	meiɴpeːdʑi
メインボード	meiɴboːdo
メインポール	meiɴpoːɾɯ
メインメニュー	meiɴmenjɯː
メインメモリ	meiɴmemoɾi
メインメモリー	meiɴmemoɾiː
メインルーチン	meiɴɾɯːtɕiɴ
メインループ	meiɴɾɯːpɯ
メイン・アンプ	meiɴ aɴpɯ
メイン・イベント	meiɴ ibeɴto
メイン・エベント	meiɴ ebeɴto
メイン・オブジェ	meiɴ obɯdʑie
メイン・カルチャー	meiɴ kaɾɯtɕaː
メイン・キー	meiɴ kiː
メイン・ゲート	meiɴ geːto
メイン・コース	meiɴ koːsɯ
メイン・シリーズ	meiɴ ɕiɾiːzɯ
メイン・スタンド	meiɴ sɯtaɴdo
メイン・ストリート	meiɴ sɯtoɾiːto
メイン・タイトル	meiɴ taitoɾɯ
メイン・テーブル	meiɴ teːbɯɾɯ
メイン・ディッシュ	meiɴ deiɕːɯ
メイン・ディレクトリ	meiɴ deiɾekɯtoɾi
メイン・バンク	meiɴ baɴkɯ
メイン・ページ	meiɴ peːdʑi
メイン・ボード	meiɴ boːdo
メイン・ポール	meiɴ poːɾɯ
メイン・メニュー	meiɴ menjɯː
メイン・メモリ	meiɴ memoɾi
メイン・メモリー	meiɴ memoɾiː
メイン・ルーチン	meiɴ ɾɯːtɕiɴ
メイン・ループ	meiɴ ɾɯːpɯ
メイ・キング	mei kiɴgɯ
メェル	meeɾɯ
メエメエ	meemee
メカ	meka
メカジキ	mekadʑiki
メカトロニクス	mekatoɾonikɯsɯ
メカニカル	mekanikaɾɯ
メカニカルオートメーション	mekanikaɾɯoːtomeːɕoɴ
メカニカルマウス	mekanikaɾɯmaɯsɯ
メカニカル・オートメーション	mekanikaɾɯ oːtomeːɕoɴ
メカニカル・マウス	mekanikaɾɯ maɯsɯ
メカニクス	mekanikɯsɯ
メカニズム	mekanizɯmɯ
メカニック	mekanikːɯ
メカニックス	mekanikːɯsɯ
メカメカしい	mekamekaɕii
メガ	mega
メガエレクトロンボルト	megaeɾekɯtoɾoɴboɾɯto
メガサイクル	megasaikɯɾɯ
メガストラクチャー	megasɯtoɾakɯtɕaː
メガデモ	megademo
メガトレンド	megatoɾeɴdo
メガトン	megatoɴ
メガトン爆弾	megatoɴbakɯdaɴ
メガネ	megane
メガネっ娘	meganekːo
メガネっ子	meganekːo
メガネイルカ	meganeiɾɯka
メガネカイマン	meganekaimaɴ
メガネクロハギ	meganekɯɾohagi
メガネグマ	meganegɯma
メガネゴンベ	meganegoɴbe
メガネザル	meganezaɾɯ
メガネザル下目	meganezaɾɯkamokɯ
メガネザル属	meganezaɾɯzokɯ
メガネザル科	meganezaɾɯka
メガネフクロウ	meganeɸɯkɯɾoɯ
メガネベニハゼ	meganebenihaze
メガネモチノウオ	meganemotɕinoɯo
メガバイト	megabaito
メガバンク	megabaɴkɯ
メガビット	megabitːo
メガフェプス	megaɸɯepɯsɯ
メガフォン	megaɸoɴ
メガフロップス	megaɸɯɾopːɯsɯ
メガフロート	megaɸɯɾoːto
メガヘルツ	megaheɾɯtsɯ
メガホン	megahoɴ
メガマウス	megamaɯsɯ
メガマウスザメ	megamaɯsɯzame
メガマウスザメ属	megamaɯsɯzamezokɯ
メガマウス科	megamaɯsɯka
メガラ学派	megaɾagakɯha
メガルカヤ	megaɾɯkaja
メガロ	megaɾo
メガロサウルス	megaɾosaɯɾɯsɯ
メガロドン	megaɾodoɴ
メガロパ	megaɾopa
メガロポリス	megaɾopoɾisɯ
メガ・トレンド	mega toɾeɴdo
メキシカンホッグフィッシュ	mekiɕikaɴhogːɯɸiɕːɯ
メキシコジムグリガエル科	mekiɕikodʑimɯgɯɾigaeɾɯka
メキシコネコザメ	mekiɕikonekozame
メキシコヤツメ	mekiɕikojatsɯme
メキシコ人	mekiɕikodʑiɴ
メキシコ湾	mekiɕikoɰᵝaɴ
メキシコ湾流	mekiɕikoɰᵝaɴɾjɯɯ
メキシコ革命	mekiɕikokakɯmei
メギ	megi
メギ科	megika
メクラウナギ	mekɯɾaɯnagi
メクラウナギ科	mekɯɾaɯnagika
メクラキャップ	mekɯɾakjapːɯ
メクラヘビ	mekɯɾahebi
メグオーム	megɯoːmɯ
メグロ	megɯɾo
メコ	meko
メコスジ	mekosɯdʑi
メコンデルタ	mekoɴdeɾɯta
メコン・デルタ	mekoɴ deɾɯta
メコ筋	mekosɯdʑi
メゴチ	megotɕi
メサイア	mesaia
メザニンカード	mezaniɴkaːdo
メザニンボード	mezaniɴboːdo
メザニン・カード	mezaniɴ kaːdo
メザニン・ボード	mezaniɴ boːdo
メシア	meɕia
メシウマ	meɕiɯma
メシヤ	meɕija
メシュ	meɕɯ
メシ君	meɕikɯɴ
メジ	medʑi
メジアン	medʑiaɴ
メジシンボール	medʑiɕiɴboːɾɯ
メジナ	medʑina
メジャリング	medʑaɾiɴgɯ
メジャー	medʑaː
メジャーアップグレード	medʑaːapːɯgɯɾeːdo
メジャーカップ	medʑaːkapːɯ
メジャートーナメント	medʑaːtoːnameɴto
メジャードゥーモ	medʑaːdɯːmo
メジャーバージョンアップ	medʑaːbaːdʑoɴapːɯ
メジャーバージョン番号	medʑaːbaːdʑoɴbaɴgoɯ
メジャーリーガー	medʑaːɾiːgaː
メジャーリーグ	medʑaːɾiːgɯ
メジャーレーベル	medʑaːɾeːbeɾɯ
メジャー・アップグレード	medʑaː apːɯgɯɾeːdo
メジャー・カップ	medʑaː kapːɯ
メジャー・トーナメント	medʑaː toːnameɴto
メジャー・バージョン・アップ	medʑaː baːdʑoɴ apːɯ
メジャー・リーガー	medʑaː ɾiːgaː
メジャー・リーグ	medʑaː ɾiːgɯ
メジャー・レーベル	medʑaː ɾeːbeɾɯ
メジロ	medʑiɾo
メジロザメ	medʑiɾozame
メジロザメ属	medʑiɾozamezokɯ
メジロザメ科	medʑiɾozameka
メス	mesɯ
メスが入る	mesɯgaiɾɯ
メスを入れる	mesɯoiɾeɾɯ
メスアップ	mesɯapːɯ
メスカリン	mesɯkaɾiɴ
メスカル	mesɯkaɾɯ
メスコネクタ	mesɯkonekɯta
メスシリンダー	mesɯɕiɾiɴdaː
メスチゾ	mesɯtɕizo
メスティソ	mesɯteiso
メスティゾ	mesɯteizo
メスティーソ	mesɯteiːso
メスバウアー効果	mesɯbaɯaːkoɯka
メスピペット	mesɯpipetːo
メスフラスコ	mesɯɸɯɾasɯko
メス犬	mesɯinɯ
メス猫	mesɯneko
メセナ	mesena
メセージ	meseːdʑi
メソジスト	mesodʑisɯto
メソジスト教会	mesodʑisɯtokjoɯkai
メソッド	mesodːo
メソニクス目	mesonikɯsɯmokɯ
メソポタミア	mesopotamia
メソポタミア文明	mesopotamiabɯɴmei
メソン	mesoɴ
メソード	mesoːdo
メソ対流系	mesotaiɾjɯɯkei
メゾ	mezo
メゾスコピック	mezosɯkopikːɯ
メゾソプラノ	mezosopɯɾano
メゾチント	mezotɕiɴto
メゾティント	mezoteiɴto
メゾネット	mezonetːo
メゾピアノ	mezopiano
メゾフォルテ	mezoɸoɾɯte
メゾン	mezoɴ
メタ	meta
メタい	metai
メタアナリシス	metaanaɾiɕisɯ
メタキャラクタ	metakjaɾakɯta
メタクリル樹脂	metakɯɾiɾɯdʑɯɕi
メタクリル酸	metakɯɾiɾɯsaɴ
メタサーチ	metasaːtɕi
メタシンタックス	metaɕiɴtakːɯsɯ
メタセコイア	metasekoia
メタセンター	metaseɴtaː
メタゾエア	metazoea
メタタグ	metatagɯ
メタデータ	metadeːta
メタドン	metadoɴ
メタノール	metanoːɾɯ
メタファ	metaɸa
メタファイル	metaɸaiɾɯ
メタファイル生成系	metaɸaiɾɯseiseikei
メタファイル要素	metaɸaiɾɯjoɯso
メタファイル解釈系	metaɸaiɾɯkaiɕakɯkei
メタファイル記述子	metaɸaiɾɯkidʑɯtsɯɕi
メタファー	metaɸaː
メタフィクション	metaɸikɯɕoɴ
メタフィジカル	metaɸidʑikaɾɯ
メタフィジックス	metaɸidʑikːɯsɯ
メタフォント	metaɸoɴto
メタフォール	metaɸoːɾɯ
メタボ	metabo
メタボゾーン	metabozoːɴ
メタボリズム	metaboɾizɯmɯ
メタボリック	metaboɾikːɯ
メタボリックシンドローム	metaboɾikːɯɕiɴdoɾoːmɯ
メタボリック・シンドローム	metaboɾikːɯ ɕiɴdoɾoːmɯ
メタボリック症候群	metaboɾikːɯɕoɯkoɯgɯɴ
メタボール	metaboːɾɯ
メタメディア	metamedeia
メタモルフォーゼ	metamoɾɯɸoːze
メタライズ	metaɾaizɯ
メタリック	metaɾikːɯ
メタリックカラー	metaɾikːɯkaɾaː
メタリックケーブル	metaɾikːɯkeːbɯɾɯ
メタリックコネクション	metaɾikːɯkonekɯɕoɴ
メタリックスキー	metaɾikːɯsɯkiː
メタリック・カラー	metaɾikːɯ kaɾaː
メタリック・ケーブル	metaɾikːɯ keːbɯɾɯ
メタリック・コネクション	metaɾikːɯ konekɯɕoɴ
メタリック・スキー	metaɾikːɯ sɯkiː
メタリック回線	metaɾikːɯkaiseɴ
メタル	metaɾɯ
メタルウッド	metaɾɯɯdːo
メタルスキー	metaɾɯsɯkiː
メタルテープ	metaɾɯteːpɯ
メタルハイドライド	metaɾɯhaidoɾaido
メタルハライドランプ	metaɾɯhaɾaidoɾaɴpɯ
メタルフォーム	metaɾɯɸoːmɯ
メタルフレーム	metaɾɯɸɯɾeːmɯ
メタルラス	metaɾɯɾasɯ
メタル・ウッド	metaɾɯ ɯdːo
メタル・スキー	metaɾɯ sɯkiː
メタル・テープ	metaɾɯ teːpɯ
メタル・ハライド・ランプ	metaɾɯ haɾaido ɾaɴpɯ
メタル・フォーム	metaɾɯ ɸoːmɯ
メタル・フレーム	metaɾɯ ɸɯɾeːmɯ
メタル・ラス	metaɾɯ ɾasɯ
メタレベル	metaɾebeɾɯ
メタロセン	metaɾoseɴ
メタン	metaɴ
メタンガス	metaɴgasɯ
メタンチオール	metaɴtɕioːɾɯ
メタンハイドレート	metaɴhaidoɾeːto
メタンフェタミン	metaɴɸɯetamiɴ
メタン・ガス	metaɴ gasɯ
メタン生成菌	metaɴseiseikiɴ
メタン発酵	metaɴhakːoɯ
メタン系炭化水素	metaɴkeitaɴkasɯiso
メタン細菌	metaɴsaikiɴ
メタン菌	metaɴkiɴ
メタ・タグ	meta tagɯ
メタ倫理学	metaɾiɴɾigakɯ
メタ分析	metabɯɴseki
メタ数学	metasɯɯgakɯ
メタ文字	metamodʑi
メタ燐酸	metaɾiɴsaɴ
メタ言語	metageɴgo
メタ認知	metaniɴtɕi
メダイチドリ	medaitɕidoɾi
メダカ	medaka
メダケ	medake
メダリオン	medaɾioɴ
メダリスト	medaɾisɯto
メダル	medaɾɯ
メダルゲーム	medaɾɯgeːmɯ
メダル・ゲーム	medaɾɯ geːmɯ
メチオニン	metɕioniɴ
メチシリン	metɕiɕiɾiɴ
メチシリン耐性黄色ブドウ球菌	metɕiɕiɾiɴtaiseioɯɕokɯbɯdoɯkjɯɯkiɴ
メチシリン耐性黄色葡萄球菌	metɕiɕiɾiɴtaiseioɯɕokɯbɯdoɯkjɯɯkiɴ
メチニス	metɕinisɯ
メチャクチャ	metɕakɯtɕa
メチル	metɕiɾɯ
メチルアミン	metɕiɾɯamiɴ
メチルアルコール	metɕiɾɯaɾɯkoːɾɯ
メチルアルコール中毒	metɕiɾɯaɾɯkoːɾɯtɕɯɯdokɯ
メチルアルモキサン	metɕiɾɯaɾɯmokisaɴ
メチルエーテル	metɕiɾɯeːteɾɯ
メチルオレンジ	metɕiɾɯoɾeɴdʑi
メチルフェデート	metɕiɾɯɸɯedeːto
メチルホスホン酸	metɕiɾɯhosɯhoɴsaɴ
メチルメルカプタン	metɕiɾɯmeɾɯkapɯtaɴ
メチル・エーテル	metɕiɾɯ eːteɾɯ
メチル・オレンジ	metɕiɾɯ oɾeɴdʑi
メチル基	metɕiɾɯki
メチル水銀	metɕiɾɯsɯigiɴ
メチレン	metɕiɾeɴ
メチレンブルー	metɕiɾeɴbɯɾɯː
