a'tlatl	atˈlats
xicotencatl	s̺ikɔt̪ɪn̪t̪kapt̪
xictemo	siktemɯ
xictequili	sitekele
xictlamaca	sitlɐmɐkːɑ
xictli	ʃakli
xictoca	ʃit̪oθa
xicualli	skwˈˈalˈli
xihuallacan	siwalakan
xihuallauh	siwaːːllɑ
xihualmoica	siɣwalmoʔika
xihuica	seɾweka
xihuicacan	siwˌikːˈakːa
xihuitl	ʃɪwˈit
xihuitoni	tʃiuitoni
xihuitonican	tʃiuiːtˌɔnjˈkan
xiihcihui	ʃiːsˈiwˌi
xiihza	siisa
xilitla	ʃiːliːt˦laː
xilonen	ʃilonˈn
xilonxochitl	estoslanʃotʃit
xilotl	ʃiːlɔt
ximihtoti	si˩˥mʲxtati˥˩
ximihtotican	ʃimiʃtotikan
ximocehui	ʃimosewi
ximocehuican	ʃɪmˈɔsˈɛʊikˈa
ximocehuu	ɕimɯmataɯi
ximocotonti	simokoktonte
ximocuapa	simokwapa
ximocuezo	ʃɪmɔkɔtso
ximoitzqui	ɕiːmɕiːçi
ximomachtiti	tʃarmatʃtiti
ximomatlalana	simonmãtlǎnlna
ximomocuitlahui	tʃimomokuitʰlawi
ximoquetza	amoketsa
ximoquetzacan	ɕimoketsakan
ximotequili	simotekili
ximotlalo	ʃimwatˈlalo
xinachtli	siːnˈætʃtlˌe
xinechcahua	ʃɨnatʃɨkavo
xinechcahuili	tʃiniʃkavili
xinechchiya	ʃinɛtsitʃa
xinechchiyacan	ʃinˈetsʃtʃɪˈakompano
xinechcohuili	si˩˥ːnɛtʃ˥ːko˥˩ːʋili˥˩
xinechhuetzquilti	sinetʃivatsʲgɪlti
xinechihza	seˈnetʃˈisa
xinechilli	sinetsildi
xinechmaca	tʃiˈnɛtʃmaka
xinechmaca inon	ʃinɛtʃmaka inon
xinechmotlapopoluilitzino	ʃɛntʃmɔtɔlɑpo˥˩ːlo˥˩ːilɛtʃina
xinechnamaquilti	tʃinetʃnamakilti
xinechtlapohpolhui	tʃinɛtʃt̪d̪epopoloi
xinechtlaxtlahuili	tʃɛnɛttʃtʰraʃtʰlawili
xinechtoca	ʃinetʃt̪oka
xinehnemi	ʃiːnnæmɪ̞
xinehnemican	si̠næsne̝mʲikːæn
xiontici	siontisi
xipano	ʃipanno
xipe totec	ʃipɛʊ tɔ tɛ
xiquihcihuili	ikesewili
xiquihcuilo	siːkekuele
xiquihto	sekisto
xiquihtocan	sikistʊkan
xiquihxiti	sikesite
xiquilli	sikigle
xiquitta	ʃikita
xiquitzqui	ɕikitaiiɕi
xitlacohua	sjtlakɔ̞a
xitlacua	sitlakwa
xitlacuacan	sit̪lakwakãn̪
xitlacuachihua	sitlakuatʃiwa
xitlahuac	sitlawak
xitlaoni	sʃaːlaːɔ̀nˀni
xitle	tʃitle
xitzaloa	tʃiːtsˈaloːɑ
xitōmatl	ʃiːtɑmæn
xiuhpohualli	ʃɛkkɛwaːli
xiuhtecuhtli	siːtɛˈvɪli
xixochitoca	ʃiʃotʃitʃã
xiyacan	ʃijjakaŋ
xiyauh	ʃija
xiyolpaqui	siijːoːlpakaː
xizanilo	ʃisanilo
xochi	tʃotʃi
xochiaca	ʃaːtʃjaːka
xochiapa	ʃotʃjapa
xochicuicatl	tʰantɕikwjk̚˨˩aː˧
xochimilco	tɕtʃimil
xochimilli	akestʃmilːili
xochimiquizli	ʃɛtʃmiːkiːskɫiː
xochipalli	kio̞tɕipale
xochipitzahua	ɛʃːotʃipiːtsɑˈʋɑ
xochipitzahuac	sɔtɕpitsɑwɑ
xochipitzahuac, una celebración en medio de la resistencia.	sotʃpˌitsˌˌawˈap ˈuna θˌeleβɾaθjˈon el mˈeðjo dˈos la ɾɾˌesistˈɛnθja
xochiquetzal	tʃotʃikɛtsal
xochitecpancalli	ʃotʃiktekʰpanˈgali
xochitl	ʃotʃik
xochitlalpan	ʃatʃɛtlːaːlpɑn
xocolātl	ʃɔkɔlɑt
xoconostle	ʃoko˩˥ːnostli
xoconoxtle	ʃoˈkɛnˈokɛstʃe
xocotl	ʃoqɯt
xocoyotzin	tʃakɒyːtˈsiːn
xokok	ʃokok
xokolistli	tʃakˈaːlɪstlɪ
xolotia	solʊtia
xolotic	ʃaːlətˈtiːk
xolotl	ʃaːlot
xopanitztēmpan	tiʃpanitstmpan
xoxocotlán	ʃuʃuqɒtˈlæn
xoxoctic	ʃaːʃɑptik
xoxoctiya	seʃotːia
xoxopan	ʃuʃopæn
xoxopantlān	ʃuʃupˈantlˈam
xoxouhqui	tʃaʃake
xultic	sʊ̃ːiːk
xunantunich	ʃunant̪unit̪ʃ
xólotl	tˈɵlˈɑt
xōchihcualli	ʃuʃikwali
xōchipilli	ʃotʃipili
xōlōitzcuintli	ʃˈɛlɪtˈɛskwˈɪntli
xōpan	ʃˈɔpən
xōpantlān	ʃuqɑndɪlɛn
yacahcuitlatl	jakakuit̪lats̺
yacapatlahuatl	jɑkɑpatlaua
yacatecutli	dʒakatekutli
yacatl	jakat
yahquiya	jˈakkˈiɐ
yahui	jˈaˈvi
yajaya	jɑhäjɑ
yalhuaya	dʒoː˧lʝa
yaluaya	ʝaalɣ̞uaʝa
yaluaya nijkuajki moli	ja luɣwɑjɑ ni kwɑhiki mɔlii
yancuic	ʝˈanˈkɔːɪk
yancuīquehēcatl	dʒanɣwikehekatʃ
yanopa	ɟʰanopa
yaotl	ɟaot
yauh	ja
yauhquiya	jakja
yayahuic	jaxauik
yayahuiqueh	jajɑwɪkːɛ
yayauh	jaja
yaz	jˈɛs
yazza	rassa
ye	jˈɛ
yeca	jɛkːɑ
yecana	ekana
yeceh	dʒesse
yehamen	jɛːhmn
yehica	ʝˈejkˈa
yehua	ɟʝɛua
yehuahca	dʑowaxka
yehuan	je˩˥ːun˩˧
yehuantin	tʃiːziwanˈteːn
yehuatl	etʁ
yehyecoa	jaʃtʃɛjkɔɑ
yehyectzin	jæhjæktsʲiːm
yehyectzitzin	jɛhjɛktsitːsin
yei	jˈe
yeyantli	jæjˈtli
yeyi	jˈeɪ
yihual	iuaɫ
yihuanten	iuantem
yohualli	ˈoːalˈni
yohuatzinco	jɛʋa�tsɪnkɔ
yohui	ioi
yohuih	sɛn
yokatka	jokatka
yokoxkayotl	jokoʃtajot
yolcameh	jˈɔlkˈamə
yolcatia	xolkatja
yolcatl	jo̞lkatʃ
yolehua	jælˈlæwa
yolic	ɟʝolik
yoliliztli	joˈliˈliːsli
yollotl	jˈɔ̃lˈɒt
yolltl	jɔlk
yolotli	dʒolotli
yolyamanitzin	estasjamãnitsin
yon	ɪoːn
youak	jˈʊɹwˈɑk
yoyomitl	jo˧˧jo˧˧mite˧˧
yucatān	ʝuket̪an
yuhqui	il
yōlcatl	jˈoːlkat
yōliamochitl	joljamɔtʃit
zacatecah	tsakaaateka
zampa	sampa
zampampa	sanpampe
zan	san
zancehco	santsɛtsɔ
zanilli	anilj
zaniloa	saniloa
zapotl	tsapɔt
zapotlan	sapotlɛn
zatepan	satʰeːpanː
zayolli	saʝoʝˈe
zazo	sasok
zipacpan	sipakpan
zipakpan	sipakpan
zo	sɔ
zoquitl	sokjpl
zoquiyoh	so˩˥ːkia˥˩
zozoltic	səsəltik
zultepec	soltˈepːik
¡nilze!	nilse
¿cuix mocal motlaliaya tepepan?	kwiʃ moːkaɾ mot̪la ljaia t̪epe pẽn pŋ
āhuitzotl	aɣlitsotn
āltepētl mēxihco	altebetl meʃiko
ātl	kʰiːtæ
āxōlōtl	aʃolotu
āyōcoxqui	ajokoʃki
īpēhualiz	ipeualis
