caihongzi	tsʰaɪ˧˥kʰʊŋ˨˩˦tsɯ˧
譚嗣同	tan˨˩˦tsɯ˥˥teɪŋ˨˩˦tɤŋ˨˩˦tɕjɛ˥˩i˥˩
警察	tsiən˥˧tsʰa˥˥
讀書	tɕy˨˩˦
讨堂客	tɔːŋ˧˥
让位置	jɛn˨˩˦weɪ˨˩˦tsɯ˥˥
讲不听	tɒn bu tʰeˈɾiː
讲白哒	tkã˥˥ bɯ˧˥ tɔ˧˥
讲白话	kaːn˥˥
讲空话	kang˨˩˦kʰən˥˥fu˥˧
讲英语	fɑŋ˥˥
讲话	kɔ̃pɔ
该危	kai˥˥
语言	ljyni˥˩
语音学教师协会	y˨˩˦ jɛn˥˥ kjɑʊ˥˥ sɯ˥˥ɕja˨˩˦laɪ˧˥
语音教学	y˨jɛn˨˩˦ kɑʊ˥˥ʂok˨
说几句话	tɕyŋ˨˩˦ tɕyɾ˥˩ fɔ˧˥
读书	tʰau̯s
调排	tiaʔ˦pa˨˦
调排十足	tʰjɛn˨˩˦hɤ˥˩pʰa˥˥ɕʰi˨˩˦tsɯ˧
调羹	tiaʊ˨˩ tsuən˥˩
谈爱	ta˦˥n˧a˥˧
谑戏	njo˥˧ɕi˥˧
谜语	maj
谩詑	mandu
谷歌	kuko
豌豆	mã˥˥tɑ˨˩˦ tʰau˨˩˦
豪萨语	xɑʊ˧˥sa˥˩y˨
貓	mɑw˨
败家精	paːi˨˩keɪ˥˥
贴钱	tʰeɪ˧˥
贺知章	tsi˨˩˦
贼牯子	tʰaɪ˧˥ku˨˩˦tsɤ˧˥
贾岛	ʈʂɔ˥˥ tɑʊ˥˩
赤脚	tsʰaːtjˈʌb
赤脚零光	tʰɔːtʰɔrɪŋkɔː
走人家	tsɐu̯˥jɐn˨˩ kɔːk̚˧
走到路當頭就到了	tɐu̯˥lɐu˨˩ tʰou̯˨ tɐu̯˥kɔ˧˥ tʰou̯˨
走失哒	sɤŋsɪŋ˨˩˦tɤ˧˥
走路	tsɤ˨˩˦lɤ˨˩˦
走路去上学	tsɑʊ˥˩lɑʊ˨˩˦kʰɤ˥˥s
走路回屋里去	sã˥˥laʊ˨˩pɔ˥˥ u˨˩˦li˥˩
赶场	kɛnˈzɛʁ
起子	kʰiː˧˥fnɔː
起拱子	tɕʰi˥˧kʰɤŋ˥˥tsɯ˧
起风	tɕi˥˧ hɤn˧˥
超社会	tʰɔ˧˧ sɯə˥˧ hʰt˦
越南	jɔːnɑŋ
趔的	lˈeɪdi
趔钻子	le˨˩˦i˨˩˦ʈʂʊŋ˨˩˦tsɯ˧
趴一字	mojˈivo
跌噶哒	ðe iɣoðo
跍得屋里	kuðaw vo li
跑步	pɑːˈbu
跑胡子	pɑʊvuz
跘跤子	pˌɐ̃ŋgˈaðʊ
跘逮	pan˥˥tʰjoʊ˨˩˦
跪	kʰe˥˥
跪倒咯	kʰuaʔeːtlo
路数	lɐu˨˩sɔːk̚˥
踹	tɕo
踹门	tɕuɛmm
蹭人头风	tsʰan˥˥ʐən˧˥ tɔ˥˥
躲摸（猫）子	tu˨˩˦mu˥˩u˥˩tsɯ˧
車	tɕʰjɛ˧˥ʈʂa˧˥tɕy˧˥
转泛子	tɕy˥˩ i˧˥fɑŋ˥˥tsɯ˧
转范子	tɕyn˥˥fɑŋ˥˥an˥˩tsɯ˧
轻挑	tɕʰyn˥˥tʰiaʔ˨
辣椒炒肉	lɔ˥a˥˥ tɕja˥˥tsʰa˥˥ʐɤ˨˩˦
过不得	kˈovɯdˈɯ
过年	kkooni
运神不清	yn ʂɤŋ pu˥˩tɕʰɪn˥˥
这个	kuːˈtoː
这些	ko˩˥ːti˨˩
这样	oje
这里	koːˈoːriː
进场	tɕĩŋ˥˥tsa˧˧
连	lɪŋ˧˥
连常	ni˨˩˦
送人情	fan˥˥ jɛn˨˩˦tɕi˧˥
递日	ni˨˩
逗霸	tɔbɔ
這個	ku˨˩˦tsa˥˥
這樣傢伙好多錢？	kue˥˥ɥœn˨˩˦ tɕja˥˥ʋɑhɑʊ˥˩tu˥˩njɛ˥˩
造孽	tso˧˧niː˧˧
逮	tʃoˀˀ
道士	tɑʊ˥˩sɯ˥˥
邋蔫的	nɔjɛndi
那个	fago
那个家伙在那高头（上面）	lɔ˥˩ tsu˨˩˦ ʈʂɤ˥˩ xu˧˥tɕja˥˩ ka˥˥tɤ˧˥
那是么子鬼咯	la ʃmˈorˈs gʊˈɛlˈɔ
那样	nˈo ɛ
那里	laːnˈlɪ
邵阳	sɔːˈjaːt
郎	lũŋ˨˩
郎把公	lɔːŋ˨ pɐt̚˥
郑谷	tɕi˥˩
郴州	tsau˨˩
都正街	tɔː˥tsɤ˧˥kaː˧
鄭	san˩
鄭州	ʈʂɤŋ˥˥ʈʂɚ˥˩
酸枣粑粑	sũŋ˥˥tsau˥˥pa˥˥pa˥˥
酽茶	ni˨˦tsuɔ˥˧
醒门子	ɕi˥˩mən˧˥ʈʂɚ˨˩˦tsɯ˧
里手	lizˈɤ
里格郎	ne̞k̞lo
重慶	ʈʂɤŋ˥˥
重挑	tsũn˨˩hĩ˧˥
野堂客	koŋ˥˥kʰɤ˥˩
野雷公	lɛgɨn
金昌绪	tɕjɛn˨˩˦ ʈʂʰɑŋ˥˩ ɕjɑʊ˥˥
金華火腿	tʃoŋ˨˩ waː˧ xuː˥ tʰeː˥˩
銀川市	tʐən˧˥tɕʰɥœn˥˥
銀殼子	ɪŋ˨˩˦nkɔ˥˥tsɯ˧
鋁	læ
錢	tɕʰi˧˧
鐵	ti˥˩
钉钉敤	tiŋ˥˧kʰu˥˥
镂噶哒	lau bˈɔ̃
長沙	tsa˥˥sɔ˥˧
长得差	saːmd̪ɕu
长沙	tsɑːn˥˥sɔː˧
长沙人	tsʰanˈg soːdɯn
长沙就是很嬲塞。	tsan˨˩˦ lɤ˥˩spi˥˩ a˥˧ tɕjɛu˨˩˦ hɤ˥˥ niu˥˩a˥˧sai˥˧
长沙话	saːn˥tsɔː˧
长沙鳖	tsɯ˥˩  pɑŋ˥˥
门闩子	n˨˩˦a˥˥ n˨˩˦i˥˩
闲常	an˨˩˦tsʊŋ˨˩˦
间常子	kwan˥˥tsaʊ˥˩ɑŋ˨˩˦tsɯ˧
闹药	la˨˩˦
阁楼	kʰoː˨˩ lɔː
阎王老子	jɛn˧˥wɑŋ˥˩lɑʊ˥˩tsɯ˧
阶基	s˥˩ k˥a˥˥ji˨˩˦
阿劳坎语	aɫaukaj
阿尔巴尼亚语	al ba pavjaɟʝaɾ ãmb ba pavjað̞ɾe
阿瓦尔语	ɑ˥˥ɕy˨˩˦
陈子昂	ʈʂʰən˧˥tsɯ˥˩aɪ˧˥
陈寅恪	tsɤ˧˥ji˧˥
陈陶	tʈʂʰən˧˥tʰaʊ˥˥
陶	tʰau˨˦
陸	lɐʊ˨˩˦
隔壁邻舍	gəˈrɑːbɪliːn sɤ
难得齿起	ntɤ˥˩ tsɯ˥˥tɕʰi˨˩˦
雙峰 (双峰)	ʂwɑŋ˥˥fɤŋ˥˥
雜種	tsaːtən
雪白的	se pʁo iˌ
雷急火急	neɪ˥˩ɕi˥˥ʂan˥˥ɕi˥˥
雷鋒	lɤi˧˥
電話號碼	tian˥˥
霸蛮	pɔ˥˥ma˥˧
青島	tsintɔ˧˥
青眼	tˈoːŋ
青蛙	maːgwaj
鞋子	ʔaːts
鞋带子	a˨tɤ˧˥tsɯ˧
鞋底子	a ti˥˩
韓國	hæŋkɔ
韩国	hãŋˈkuː
韩翃	xan˨˩xən˧˥
韭菜園	tɕjoʊ˨˩˦tsʰa˥˥y˧˥
项斯	ɕjɑŋ˨˩˦sɯ˥˥
项链	hani
颈根	tɕiŋ˥˥kɤŋ˥˥
風	xən
风口浪尖	pʰɪŋ˨˩˦kʰoʊ˥˥la˥˧
风气	aːntʃi
风钩	hŋ˥˥
飛毛腿	feɪ˧˥mɑʊ˧˥tʰeɪ˥˥
飞跃	beˈʝa
饭蚊子	wan˥tsɯ˧
饿	nɔ
馊饭馊菜	sɐu˨˩ fɐn˧˥ səu˥˧ tʰak˥
香港	hsion˨˩˦ kʊŋ˥˥
香蕉	kiau˥˧ kiau˥˧
馬英九	mɔːjɛn˨˩
马王街	mo˥˩wŋ˨˩˦ka˥˥
马英九	mɔ˥˧ ĩ˨˩˦n˥˥tɕjɛ˥˥
驮肚婆[slash]巴肚婆	tu˥˥ tɑʊ˥˩pu˥˥
驾驶员	tɕjɑʊ˥˩sɯ˥˥u˥˩
骨朵儿	uðɑ
高头	kau˥˧tɔ˧˥
高适	kɑʊ˥˥sɯ˨˩˦
高雄	ko˥˥sin˨˩
鬥把	tɤ˧˥pɔ˧˥
鬥錢	tou˥˥
鬼叫子叫	ko˥˩ːʔea˥˧tsidʒa˥˧
鬼崽子	ku˥˥a˥˧ ji˨˩˦tsa˥˩tsɯ˧
鬼崽子（唧）	kɔizɑtˈtʊɔ
鬼相样子	gei˨˩˦ɕjɑŋ˥˥ jɑŋ˥˩tsɯ˧
鬼相样范	kui˥˧sian˥˧ i˥˩an˥˥
鬼舞十七	kwan˥˥a˥˥ʂɚ˥˩ʂɚ˥˩ tɕʰi˥˩
鱼把把	n˩˩˦y˨˩˦ʂuɔ˥˥pɑʊ˥˥ pɑʊ˥˥
鲁菜	lɔ˥˧tsʰɑ˥˥
鸟	tɛ
鸡把子	tɕi˥˥patsɯ˨˩
鸭婆子	mɑwɑbʊzɯ
鸭脚板	ia˥˧ tsiau˨˩pan˨˩
麸子肉	ˈoːt ðˈeɪ eɪt
麻蝈	m˨˩˦ɔ˨kʰ˥ua˧˧
黃泥巴跌入褲襠里，講不清嘞	ʔɔŋ˧n˧i˥ʔbaː˧rdi˧ʔtotʰʰuːtaːŋ˩˩˦n˩˩˦iː˧ʔk̚˦˥am˥n˩˩˦tɕʰɛn˧n
黃興	wɑŋ˨˩˦ sin˥˥
黄昏	aːn˥˩fɐn˥˥
黄皮刮瘦	wa˧˥kʷɔ˨˩˦ tɤ˧˥
黄鸭叫	ua˧˧aŋ˥˥ɔ˨˦tsiaʊ˥˧
黏泥婆	nʲonepɯ
黏涎	n˥˥i˥˧n˥˩tsa˨˩˦
鼻头脓	i˥˥do˨˩lʊŋ˨˩˦
鼻子	pi˨˦tsɯ˥˥
（雾）罩子	u˨˩˦
