!	jɔøoːbˈstaɪm
"	kuˀˀsæˀːin
"karel appel"	taʁˈaːl ˈapɛl
journal	ʃɛnnɛ
journalist	ʃoːnˈˈalˈiːst
journalister	ʃoˈnˈalistˈa
jubilæer	jˈuːbɪlˌeːɑh
jubilæum	ljubilio
juble	djˈuːplˈ
jublede	jˈuplˌeː
jublet	ʒˈuːplət
judith	juːtɪt
juelsgård	jˈuʃkˈɔr
juergensen	jˈʊɐkənʃən
jugoslavien	jˈʊkˈɔslˈæɑ̈lʲɪn
juhuuu	iːviː˧
juice	ʒˈuʃ
juicen	dʒuːsən
juicer	dʒuzɑ
juicerne	dʒuːsana
jul	io
juleaften	jˈuːləˈaftən
juleaften spiser vi andesteg	jˈulɑː ʌfˀnɛspiˀsæɐ̯ vˈi ˌænˀstɑːjˀ
juleaftensdag	jˈulˈæftˈænstˈeɪt
juleakvavit	joːlˈtˈɒːktɒviːtˈ
julebryg	jˈuːləbʁˈɔøt
juledag	jˈu̯lidˢæ
juledag spiste han flæskestegssandwich til frokost.	jˈuələd̥ɑ ˈspiːsd̥ hæn flˢ̩ɛsg̊əstˢa jˀ sænˀg̊wˀjˀdʒɛ tˢe̝ː pʰrɔːˀg̊ˀsd̥
juledekoration	dˈywlətˈekwɛ̃sjˈɔ̃
juleevangeliet	jˈulˈɒevaŋgˈeljɒ
juleevangelium	ʝˈulɪevaŋˈgəlijˌum
juleferie	juːaˀtɛfe
juleferien	jɔlefeːm
julefest	jˈʊlɑfˈæst
julefrokost	jˈʊləfˈoːgɑːst
julefrokoster	jˈulˀfˀɐ̯gˀˢakˀːstˢa
julegave	ˈoːlˈʒˈɛɔ
julegaver	jˈɔlˈɪkˈeːɔ
julehandel	jˈɔ̀əlˀɑh
julehjerte	jˈuəliˈjɛːrðə
julehue	jˈulˈeːbˈeː
julekalender	jˈu̯ləkˢalˀnɐ
julekonfekt	jˈulˈɛkənfˈɛkt
julekort	jˈuːləkˈɔɾt
julekugle	jˈɔlkˈuːl
julekvartalet	jɔlyg̊fɛˀtˢalə
julelys	jˈu̯ləlyːs
julemad	jˈulˈøːmən
julemand	jˈuːlɛmˌæn
julemanden	jˈʊləmˌanˀn
julemarkeder	jˈuleːmˀɑ̈ɐ̯kəðɛɐ̯
julemedister	jˈu̞ləmiːd̥iːstˢa
julemiddag	jˈʊələmɪðˈe
julemorgen	jˈu̞ləmˈɔɐn
julen	lɪw˨
julenisse	jˈʊlɪnˈɛːsø
julepostej	jˈɔ̃lɪˀpˢoˀstˢajˈulɪpˢastˢeːiː
julepynt	jˈɔ̃ləpˌeːnd
julepynten	jˈuːləpfˈʏndən
julesalme	jˈu̞ləsælˀmɪ
julesnaps	jˈulˈsnaps
julestjerne	jˈɔlɛstˈeːˌɑːnˌeːˌ
juletræ	jɔlɛtˈʁæ
juletræer	jˈu̯lətˢɐ̯eːˀ
juletræet	jˈu�ːlətˢɐ̯ð
juleøl	jˈɔ̀løːl
juli	ʒulɛ
julia	jˈuljɛ
julian	jˈulɪən
julian jakobsen	julie ˈæn jakˀuːbxɛn
juliane	jˈulˈiˈeːnˈɛ
julie grundtvig wester	jˈuːliːl kɾˈɔndfɪl vˈɛstɑː
julie kepp jensen	jˈulɑ kˈæb jˈɛnsən
julie lund	juː jˈə lˈʌn
julie r. ølgaard	jˈuːljə ˈɛɾ ɔølkˀɑːr
julie schmidt-scherer	jˈu lˈe smˈɪt sˈeɪ
julius	judʒuʃ
juncher	jˈɔkˈa
junckers	jokas
june	ʒˈun
jungle	dʒɔm
junglekål	dʒoːnleːkoːn
jungleloven	dʒuŋlɨl˥ɔŋ
junglen	dʒuŋlyn
junglens	køŋlønøz
juni	ljuːnɪ
junta	puŋtʃa
jupiter	ɟəɾpiːtsɜ
jura	jʊɾa
juridisk	dʒuːqiːles
jurist	juʁˈɛst
juristeri	jˈuːriːstˈoːriː
juryen	lˈuʁɪn
jussi adler-olsen	lʌsʌ ældæɐ̯ oːˀsɛn
just	ʝˈust
just mathias thiele	jˈɔst mˈæt iːˌɛz tˈiːlə
justere - justerede - justeret	jˈu stiːl jˈu stiːl juː stiːl
justine	jˈʊstiːn
justitsminister	jʊstitsmɪnɪstɑ
justitsministeren	jʊstitsmɪnɪ̞stɔn
justitsministre	iʊstitsmɪnɪstrɔ
justitsministrene	jʊ̞sdʲiksmʲinʲistrɑnɪ̞
justus strid	jˈʌstˢuˀs strˢið
jutland	kiatlənd
jutta	juːtse
juul	djˈu
juulsgaard	jˈuʋˈɛlˈsgˈɑː
juvel	juːveːl
juveler	ˈoːvɪla
juveleren	juːvjɪljɪæn
juvelér	jˈuvɪlɪˌˈæn
juvre	jˈuvɾa
jyde	jˈu
jydepejsen	jˈɔːpˈæʃˈm
jyder	jˈu
jydsk	jˈysk
jylland	jʏ̞læn
jyllands-posten	jˈuləntpˈɑstɯn
jyllingevej	jyːˀliŋˀeːʋaj
jysk	jˈɵsk
jyske bank a[slash]s	jˈʃ g̊bãnˀg̊ ɑːksɛg̊ sɛvˈskˌæp
jytte	jydø
jytte høy	jˈə dˈə hˈɔːt
jæger	jɛjɛ
jægergårdgade	jɛː˩˧
jægerkorpset	jeːˀːeːˀːkʰoːˀːpsʰyː
jægerne	iːjjjønø
jægersborg	jˈɛzbˈɑːl
jægersborg dyrehave	g̊iːˀɛ jˈæz bɑˀˀ ʋtˢ jˈɑ jˈu hˈeː
jægersborggade	ɣ̞eiaespau̯ked̪e
jægerspris	iˀˢeˀːspˢʁiˀs
jægerstenalder	jˈɛːˈɛːrstˈeːnˈiːnəlˌɑ
jætter	ɛːnɑ
jævn	jeˈɔ̃t
jævnaldrende	ʌnælɔnø
jævnbyrdige	jeːˌnpeːˈyɾdi
jævndøgn	jˈɛnˈuːɾtˈaɪn
jævndøgnspunkt	jˈɔ̃dˈoʊntpˈʌŋkt
jævne	dˌiːzə
jævnfør	jˈɛːˈɛmfˈøːɹ
jævnføre	jæɔ̯nføːør
jævnlig	jˈɛ̃lˈi
jævnt	jeːʊnt
jöhncke	jøntø
jörmungand	jɑmunga
jøde	y˥˩
jødekage	jɔː˧˥
jødekager	jˈuˈɪntˈɚ
jøkel	jøkl
jørg	dˌiːzə
jørgen	dʒuːn˨˩
jørgen fogh-wilster	jˈɑːg fʌg bˈɪlstˌa
jørgen frantz jacobsen	jˈœn frˈaɪnts jˈɑkɜ
jørgen gammelgaard	jˈɛːrn kamˀlɣ̞oː
jørgen haagen schmith	jˈɑːn hˈu ˈɔn smˈɪt
jørgen ingmann	jøn inːmɛn
jørgen leth	jœnlet
jørgen nash	jɔnˈes
jørgen peter müller	jˈɔn pˈeːtɚ mˈyːlɛ
jørgen roed	jˈɛɾn ɾˈoːlˈ
jørgen skafte jensen	jˈøːəɐ̯nskˌaf dˈeː jˈɛnzən
jørgen skafte rasmussen	jørəns d̥aftɾe ɾaspɔsən
jørgen thorup	jæˈl tˢoˀqoˀ
jørgen valentin sonne	jɑːrn vælˀɛːn tiːn sɒnˀɛ
jørgen vig knudstorp	jæˈrn vˈiːk nˈʌs tˈɑːp
jørgen-frantz jacobsen	jˈɑː dˈeː fɾˈanˈɛs jˈakʊpˌsən
jørgensen	ɟiɔnɟɛn
jørgine	akˈiːn
jørlunde	jɑlɔne
jørn ege siana	jˈʌn iːgə æs jəeɾnæ
jørn riel	jøːˈan ɾiːl
jørn utzon	xyərn ʊtstsaŋ
jürgensen	jørənʃæˈ
k	kɔ
ka'	k
kaalhauge	kʊ̞uɫhäuɢɯ̞
kaare klint	kˈɔɹ klˈɪnt
kaare r. skou	kɔː ɛːv skɔː
kaastrup	kʰoːstɔːp
kabel	kjˈæb
kadaver	ke˩˥ːdɑːl˥
kadaveret	kætˈakvæl
kadetbanke	kʰɛtɪ̞tpæ̝ːŋgɪ̞
kadetrenden	kˈɛtɪtɑʁˌan
kadmium	kɛltnɛn
kaffe	kafʁ
kaffefløde	kaafɛfløð
kaffekande	kafɛkˌeːn
kaffekop	kˈafəkˈɔp
kaffemaskine	kafmiːskɪn
kaffen	kafˈeːn
kaffen er serveret	kʰafˀɐ̯ ɑɐ̯ sɛʁˀvistˀ
kaffer	kafə
kage	hɛ
kagedej	kʰei̯̯˧˥tɐu̯˨
kagekone	kˈaɪkˈoːn
kagemand	kʰei̯men
kagen	kjˈn
kagen er brun	kˈɛːən ɛɾbrˈuːn
kager	kɛːr
kagerne	kˈɛːɛn
kagerulle	kʰɛːˀeːˀɐ̯l
kagle	kau̯l
kagler	kau̯lˈa
kai christiansen	kø kastˈɛnzən
kai nielsen	kʰɑj nˀɛlsən
kai winding	kavintiːŋ
kaj	kai
kaj ulrik linderstrøm-lang	kajˀˀɔl bɑˀˀgliːnˀ˩ æst dɔø̯blaj
kajak	kˈajak
kakao	kakaˈwˈ
kakaomasse	kɛkɛjʊmɛsi
kakaomælk	kˀakæˀːoˀmɛlk
kakaomælken	kʰɑk˥ɛːˀːʋg̊mɛltˢn
kakerlak	hˈakˈalˈʌg
kakerlakker	kakˈeːlˈagɜ
kakerlakkerne	kakˀˀelaːgɔnˀɛ
kaktusslægter	kaktˀusslɛktˢa
kalas	tʃɛles
kalcium	kentsjɯɯm
kalckar	kæˈnˈkaːˈar
kald på	kelpo
kalde	kæ̹lʲɪ
kaldenavn	kæˈɫtnɒ
kalder	kæˈɫa
kalder på	kɛlɛpːu
kaldes	kæˈlɪs
kaldet	kɛlo
kaldt	kˈɛlt
kaldt på	kelpo
kaldte	kelde
kaleche	keælæjiʃjɒ
kalender	keleno
kalendere	kæˈliːtn˧
kalenderen	kæ̹lʲɪnɑʁɑn
kalenderlys	kalənɑlˈyːs
kalenderne	kæ̹lˈlɪnɑnɯ
kalium	kaljʊm
kalk	kelk
kalkgraven	kaltrˈˈaˈuːn
kalkning	kælkneŋ
kalkstabilisering	kjalg̊sd̥æb̥i̯l̥i̯sæˀɐ̯ŋˀ
kalksten	kelkstˈiːn
kalkun	kalkoːn
kalligrafispidser	kəlikʁafiɛspəsɛʁ
kalmarunionen	kalmuːnjɔːn
kalorie	kɛloːj
kalot	kæˈlæt
kalundborg	kelunbo
kalv	kelt
kalve	kʰɛlvɛ
kalvebod	kjalˀvøˀpɔd
kalvefilet	kɛlvɛfilˈe
kalvehave	kælvhæbɪ̞
kalvekrøs	kɛlvkʰrɔs
kalvekød	kelvəkˈə
kalveskank	kælˀusklank
kalvø	kælm
kalø	kæelø
kam	kɑːm
kamalåså	kamɛlˈoːsˈo
kambrium	kampɾiʊm
kamel	kemɪl
kamelia	kamɛlɛj
kamera	æ̹mˌɛːræ
kameraet	kæˀːmˀɾɒːˀɑː
kameraets	kæknæɾas
kameramand	kʰeːʲmaɣˈɑmɛn
kamfer	kɑːnfˈor
kamik	kˈɑmik
kamille	kemil
kamillete	kˈɑmɪlɪti
kamma rahbek	kamɛ ɣaʕk
kammasvej	kaːm˧ə˧ʃvˈaɪx
kamme	kame
kammen	kˈantən
kammer	kama
kammerat	kamegaɾθ
kammerater	kameːradə
kammeret	kamɑ
kammerjunker	kamajʊŋga
kammerjunkere	kʰaː˥ŋɔː˩˧kɔː˧
kammersjuk	kabaʃuːk
kammertone	kamɑtɔvne
kammertonen	kʰabat˦oːn
kamp	kɑːm
kampagne	kampˈɛnə
kampanilen	kampɛnˈiːn
kampe	kamp
kampen	tam
kampesten	kˈɑmpəstɪŋ
kampestenen	kampɛstɪənɪnkampɛstɪən
kampestenene	kampəstʰinɛnɛ
kamrene	kæmˈɣɑn
kamæleon	kjaˀˀmaljoˀwn
kamé	ˈkænmˈeɪ
kan	kˈæn
kan .. nå det	kæn nøde
kan do rejse dig	kəndˈuːvˈisˈædˈæn
kan du	kˈæn dˈoʊ
kan du godt huske det?	kærð̞ uːkɔːr fuːʃ kɪti
kan du godt lide	kʰan d̥u gˈɔt liː
kan du hjælpe mig med at opsætte en væghylde?	kʰan d̥ʌ jˀɛlpˀ mɑ̈ mæˀ ɒw ɒpsæd̥mɑ̈ ʋeˀ kʰyld̥
kan du hjælpe mig?	ˈkæn jˈu jˈɛlp ɑɹmˈɑj
kan du hjœlpe mig	kən dɔdɜ maʃ
kan du kaste bolden over til mig?	kʲɛrːuːkʲɛrs pːoɫtnaʊ oːtsimɔ
kan du oversætte det for mig	kæn dˈu ˈɔvɚsˌeɪt dˈe fɔn mˈaɪ kʰan dˈu ɔːvɚsˈɛt dˈe fɔn mˈaɪ
kan du sige det igen	kʰan d̥u sɪd̥eː ɑːg̊ən kʰan d̥u sˈi d̥eː ɛːˀg̊ɛ
kan du snakke engelsk?	kʰan d̥u snɑˀg̊ ɛlʁˀɑ̈
kan du snakke lidt senere	kæn d̥u snakːɛ lɛt senɔɐ̯ kʰan d̥u snakːɛ lɛt senɔɐ̯
kan du stå på ét ben?	kʰɛˀɐ̯ d̥u stˢoˀɐ ɛd̥ b̥eˀɐ̯
kan du så være stille?	kʲan d̥u sɔˀ vɛj ɒw stˢeːlɛ
kan du udtale ordet?	k̝a d̥u ɔːð̩tˢæjɛ lˀɔɐ̯
kan hun passe på os	kʰer hunpe zɪplˈˈuːaʃ
kan indeholde spor af sesamfrø, soja og lupin.	kʰɒ̝ ɐnˀɛhɒ̝ ð̩ spɔˀɐ̯ ɑw sˀeːˀsaˀmˀfʁøˀ sɔˀjæ̈ ɒw lʊˀg̊pˀiˀ
kan jeg	kəʎˈɑ
kan jeg betale med debitkort?	kʰan jˈɑ̈ b̥ətˢal̥ɛ mɛt d̥iˀd̥kʰoːˀd̥
kan jeg betale med kort?	kɛɾbə tsˈæːlə mɪt kˈoːt
kan jeg bruge mit kort i hæveautomaten?	kʰɛjˀ b̥uˀ mɛd̥ kˢoˀd̥i hæːʌæːʌð̩ mɛnˀ
kan jeg få den lagt op?	kˈare fɔɾ dˈeːn lˈakt ˈɔp
kan jeg få det leveret?	kˈaɪə fˈoː dˈeː ˈɛvələ
kan jeg få en kopi af min erklæring?	kˈan jˈɛb fˈoː ˈɛn kˈɔpi ˈɛf mˈiː nˈɛklərjˈin
kan jeg få en tid?	k̥a jɛj fˀoˀn tˢið
kan jeg få…	kən jˈaɪ fʊt
kan jeg ikke	kæja ikːi
kan jeg ikke huske, hvor jeg gik hen	kˈan jˈɑːg ˈɛkeː hˈʊskɛ vˈoː jˈɑːg gˈiːg hˈɛl
kan jeg prøve den på?	kʰæˀ jɑ̈b̥ʁøːˀd̥nˀ pʰɔˀ
kan lide	kʰən liː
kan vi bestille det til at tage med?	kʰan v̥i b̥æstˢil d̥e tˢe ɒw tˢæˀ məð
kan vi reservere et bord?	kæˀˀ vˈiː ræsˈɑbɪt ˈæt bˈɔɑ
kanaanæer	kæn̪anejæ
kanal	kænˈeɪl
kanal 4	ˈɛta ˈɛn fˈiːl
kanal 5	iːnˈɛuzfɛn
kanaler	ne
kanalisere	kʰanˀɑliseˀɐˀ
kanalje	keneli
kanalrundfart	kannɛːlɾˈuːnfɑːrt
kanariefugle	kənˈaɪfˈuːl
kande	kennɪ
kandestederne	kˈæˀːnɛstˢeðɑɐnˀɑ
kandidat	kˈɑndiðˌeɪt
kandis	kəntˈɪs
kandisere	ˈkænjˈusˈiə
kanel	kˈæmeɪt
kanelgifler	kɛnˈɛlgiflʊ
kanelkager	kennɪɪltei̯ɔ
kanelsnegl	kʰɑnˈilsnˈaɪl
kanelsnegle	kəˈnʲuːsnˈaɪlɚ
kanin	kaniː
kaniner	kɛnˈinɑ
kaninerne	kennĩːnɔmɪ
kannevas	keˈnɪbeːs
kannikestræde	kæniːkːestrin
kanon	kannɔːnkˢaˀˀnɔːn
kanonfest	kˈænnˈoːnfɛst
kanongod	kanoŋgo
kanoniserede	kænnɔːnisˈeːˈɔlˀ
kanoniseret	kˈannˈoːnisɛˀɐ
kanoniske	kʰanˀɔnʲisg̊e
kanonkonge	kænˀnɔˀnkʰɑˀŋɛ
kanonkongen	kˢanonkɔˀŋnˀ
kanonkonger	kæn̩˥oˀˀngˀɐ
kanonkongerne	kanoːnkɔːmˈanɛ
kanonslag	kanoˀˀmslæ̀ː
kanske	kanske
kansler	kˈɛnslɚ
kanslergade	kaːnslɜːkeː
kanslergadeforliget	kʰɑ̈nslʌg̊aˀðˀfʌg̊liˀðˀət
kant	kẽ̞nt
kantarel	kænsejˈʁal
kantareller	kantsˈaɣˈaɪdə
kantate	kænsejˀtse
kanter	kʰænta
kantine	kientˈinɛ
kantinen	kankɛnˀ
kantineordninger	kant̪ˀiːn̩əːɒɐ̯ɐ̯d̥nɪŋɐ̯
kanton	kænseŋ
kantonal	kəntsʊnˈɛ
kantonesisk	kantvɔˀnˈiːtɪsg
kantsten	kənstˈim
kanut	kennut
kanutter	kanuːdˌɑ
kanvas	kɛnmes
kanøfle	kˈaɪnnˈœfl
kaolin	kauːlˈɪn
kaos	kæɪ̞ɔ̞s
kaospilot	kʰeːˀɒspˀiˀɫoːt
kaot	keau
kaotisk	kekaltʃiki
kap det gode håb	hʌb̥ d̥eˀ g̊oð̩ hoˀ
kap verde	kapˈvˈr
kapabel	kepːɛɾːl
kapabilitet	kɛtapilɛtɕe
kapellan	kɛpɪln
kapere	sɛn̪t̪apeːre
kapers	ke˩˥ːs
kaperssovs	kˈɑpəssˈɔlz
kapital	kapjteːl
kapitalisme	kæɾpitsjɑlˈismɛ
kapitalistisk	kapitalistisk
kapitel	kæpˈiːlˌo
kapitler	kapˈiːtlɜ
kapitlerne	kapiːdlæˈne
kapitæl	kæpɪtei
kapitæler	kavitekla
kapivar	alpiva
kapløb	kablˈʊ
kapløbet	kɑːplˈoːˈyːpədz
kappadokien	apɛidɫkjɛnd
kappe	kabɨk
kappen	kˈɑːbən
kappestrid	kʰapˀˀʰaˀˀstˢʁið
kapringen	kæjɪ̞pqɪ̞ɴim
kapsejladsen	kapˈsɑːjlˈɛŋzən
kaptajn	kʰap˦˥saːiːn˥˩
kaptajnen	kapˈtaaˌɪn
kaptajner	kɑˀptajˀnɑˀ
kar	kˈa
karakter	kaktˈeɾ
karakterafviger	kaːktˈeːrˈˈaʊviːɾ
karakterer	kaktsia
karakterisere	kaːkˈteːɑjˈsteːɛ
karakteriserede	kʰak˦˥si˧˧ɛː˧
karakteristisk	karaktiːrˈɪstˌiːsk
karakteristiske	kæakˀelistiskæ
karakterkager	kaːkˈtsiːaːˈkeːjɑ
karaktertræk	kˈaraktˢeːˀɐ̯tr̥ɐ̯g
karaktertrækket	kˈɑrakˌtɑːɪɐtɾˈɛgˌɛlt
karamel	kamɛl
karbon	kabɔn
karbonade	kʌ̀pˀɔnæðə
karbonaden	kaˀb̥ɔnɛð̩ɛn
karbonader	kʰɑbɑˀˀnɑðˀɑ
karbonaderne	karˀbˀunˀæðərnɛ
karcinogenicitet	kasenɔɣɔnɪsidʲitɛɾ
kardemomme	kɑːrmuːmuː
karel appel	kˈaɾl apːl
karelsk	karegˀælk
karen	tan˨˩
karen blixen	kˈaɪn blˈɪkʃən
karen christentze dinesen	kæˀːeˀː kʰr̥iˀˀstˢənseˀː d̥iˀ˩nɛ̀ːsen
karen ellemann	kaːn elimeːn
karen fog olwig	kʰaːn˥˥fouː˨˩ɔːliː˥˩
karen hækkerup	kˈaːn heːgə ɢoːp
karen margrethe cho vikkelsøe	kʰɑˀɐ̯nmakˀ g̊ʁiˀɐ̯tˢd̥ɛ vigˀg̊əlˀ søˀ
karen risager	kaːˈn ɐˈsæːr
karen vallgårda	kʰɑːn vælgˀeːˀɐ
karen-lise mynster	kʌ̀ˀn lˀiˀs̺ɑ mˀynstˢɐ
karen-margrethe	kaːnmˈæklæd
karet	kˈarɛt
karikatur	kaːɾitˈɛtˈsˈuːɛ
karin	en
karin birgitte lund	kaːiːn bjɾ eɛlɔuːn
karin helweg-larsen	kˈarɪn hˌɪlviː lˌasən
karin kildedal	kæ̝ːmˀ kʰiːleːdeːl
karin michaëlis	ˈsæɑrvɪd vˈɛˈɛ ɪdi ˈsɪfəgɾˈa
karl adolph gjellerup	kˈaɾl ˈeːdɔlf gɪlˈoːp
karl albert hasselbalch	kɑːl ˈalbɛɐ̯ hˈæselbˌɑlk
karl skytte	kalskød̥e
karl stegger	kæɾl stɪgːɛɾ
karlekammerskab	kæˀːlikæmosˈkejp
karlgaard	kalgo
karlslunde	karlslʊnˈnˈɛ
karlstrup	kˈaɾlstɾˌʊb
karm	kʌm
karma	kame
karminrød	kamˀiːnʁɒð
karminrøde	kʰamˀiːnʁøːd
karminrødt	kˈarmeˈiːbˌeːt
karmisk	kˈaːmɪsk
karnatisk	kanaltˈi
karoline	tau̯lĩːn
karpaterne	kapˈɛɪtɐnɛ
karpe	ˈæftɚ
karrebæksminde	kabɛksmɛn
karret	kɑːl
karriere	kavʲa
karrierebar	ka˩˥ːje˩˥ːpa˥˥
karrierer	kajˈɛɑ
karrig	kʰai
karrusel	kausel
karry	tʰaːjˈ
karrysild	kʰajsil
karsten	kˈɑːsˌtˈɛn
karsten pærregaard	kˈɑstən pˈɛɹgˈoʊ
karte	kard
kartesiansk	katsʲɪziɛnsk
kartesisk koordinatsystem	kə tˈeːjsiz kɔːˈɛdɪniːt səstˈim
kartoffel	kˈatˌʃˈoːfˌn
kartoffelferie	katˈoɾvi
kartoffelgratin	kɐtɹˈoːfəlkʰaˀjiːˀŋˀ
kartoffelmos	katˢoˀfəlmˢos
kartoffelsalaten	kʰatˢoˀfˀilsælæˀːtˢɑˀ
kartoffelstempel	katsofɛlsdɛmpɛl
kartoflen	kˈatˈoːfˌn
kartofler	kˈatʃoflˈ
kartografi	kʰazugˈaθi
karton	katsɐm
kartotek	kardˈuteːk
karusse	kˈarʊzˌ
kasakhisk	kasakɪsk
kasakhstan	kɑzˈakstɑːn
kasemat	kæsɪmæt
kasematter	kasɪmɛdɑ
kaserne	kestɛal
kasger	kˈæskə
kasjubisk	kæasʲobisk
kaskelothval	taskalatvˈæn
kasket	kˈɛskɪt
kasketten	kˈasgˈeːtən
kasketter	kæskɪ̞tɐ
kasketterne	kæskæðæɾne
kaspar bonnén	kæspə bʊ̞nɛ
kaspar kaae	kʰæːsbˌeɪkˌəʊ
kasper	traspon
kasper asgreen	kˈɑspɛɐ̯ ɑːˈsk̚ˈɑ
kasper bech holten	kæspɒ bəkhˈoːl
kasper dolberg	kʰɑsb̥ʌ d̥ʌb̥æːˀɐ̯
kasper eistrup	kæz be eistrʊm
kasper hjulmand	kæːspajolmɛn
kasper kusk	kæːspækʰuːsk
kasper schmeichel	kˈas pˈɑ̈ smˈaɪkle
kasper winding	kɛzpɔ pɪndiŋ
kasse	kˈæˈsɪ
kassedame	kəsdɛimɨ
kassede	kʰɛː˥˥sɯ˥˥
kassen	kʰɛːsən
kasser	kæes
kassere	kˈænsejæˈbɑː
kasserer	akest̪
kasserne	kææsæˀnøː
kasserolle	kesamɑlen
kasset	kˈæsl
kassevogn	kæˈsˈɑvˈæn
kastanie	kɐˈstɛnjɛ
kastanje	kæstænɪ̞w
kastanjer	kæsˈtɑˈɲˈɑ
kastbjerg	kɛstsbjɛl
kaste	kˈastˈ
kastede	kestɛðeː
kastellet	kastellet
kasteløs	kɾɛstɔdɔøs
kaster	kestə
kastestjerne	kæstøzstˈæːn
kastet	kastˈɛ
kastratsanger	tastraʲtsaja
kastrere	kastreø
kastrup	kastro
kasus	kæisæs
kat	kɛt
katafalk	kætsefælk
katakombe	katakomba
katakomber	katˈekˈompl
katalog	kˌɐtəlˈoːb
kataloget bugner med gode tilbud	kʰɑˀtalˀɔˀə b̥uˀnɑ̈ mɛ�ˀ g̊o̊ðˀ tˢælˀb̥uðˢ
katar	ketsa
katastrofal	kæadæstɔfæj
katastrofe	kˌɛatɾstɾˈoːvə
kate	kˈeɪt
kateder	kʰɑ̀tˢeːnˢa
katedral	kətˌeːtɾˈɑːl
kategori	kalgoːi
kategorier	kˌɛdigˈoɾriə
kategorisk	kærkvˈoːæk
katete	kˈatˈi
kateter	kətsɛitʃa
katharina	kat̪alɾiŋa
kathrine	katrʁiŋ
kathrine windfeld	katrˈiːnə vˈɪnfˌɛlt
katolisering	katoleseajn
katolsk	katˢoɛsg̊
katrine	kɒtsliˈn
katrine fønsmark	katrʲiːnɛ fœnʃmˌaɾk
katrine greis-rosenthal	katr̥iːnə gɾæs rosɛnˀtˢal
katrine marie guldager	katʁiːn mˈæri iːˈgulaː
katte	kɛd
katteagtig	tʰʰæ˨˩tsɯ˥˩ɑ˨ʔak˨˩tɕeŋ˨˩
kattebakken	kæriːbɑːkæni
kattedyr	kæaːdædjør
kattegat	kætˈtˈget
kattegrus	kˈɛttˌəkɾˈuːs
kattekilling	kæɾkʲɪlʲɪŋ
katten	kæɾn
kattene	tɛtsɨnɑ
kattetræ	kʰæˀtˢeʁ̥˩
katteunge	kæɾ˥˩dʒuːŋ˨˩
katteurt	tɪ̞rɪ̞uɪ̞r
kaukasisk	kæɪ̞sʲɪsk
kausal	kauzea
kautsjuk	kau̯tʃo
kavaler	kavɛlˈiːɐ
kavalergang	kaːveliːəkɑː
kavalerist	kavalaʁˈist
kay bojesen	kˈaɪ bˈɔøsən
kazoo	kasˈu
kb hallen	kɔbɛ hælˀ
kebab	kebap
ked	kɪlˈpˈ
ked af	kʰiːuː˧ʔɛʔː
ked af det	kʰeːˀ æɐ̯d̥i
kede	kʰiːt
kede sig	kiːz˧sak˨˩
kede sig ihjel	kʰiːd̥ sɑˀˀjl
kedede	kʰiːuː˧
kedel	kɔːl
kedeldragt	kʰɪlt̚ˈakt
kedelig	tʃiɔːlˈɛ
kedelige	kɛllɛli
kedeligere	kilnia
kedeligst	kʰeðlʲiest
kedeligt	tʃiɦɪlɪt
keder	kiba
kedet	kˈød
kedler	kiza
kedsomhed	dˈoːsɔːvuː
kegle	kˈaɪlə
keglebillard	kˈaɪləbɪlˈjˈaɾd
kegleformet	kaːjləfoːrm
kegnæs	kˈaɪnəs
keiserens nye klæder	kæiːs hæns nˈy klˈɛɾ
kejser	kajsˀɔ
kejser franz josef fjord	kˈa ˈsɒdʁ̥ fʁˈan ʃiːˀsæf iˀˀɔ̽
kejsere	kʰaɪ˨˩˦sɤ˥˩
kejseren	kʰəis˨˩˦ɑn
kejserinde	kajsɑjɛne
kejserinden	kʰajsʔɛn
kejserkrone	tˈaɪzɐkɔm
kejserne	kaisane
kejserrige	ˈaɪsɜiː
kejsersnit	kaisosnˈɪçt
kejthåndet	kài̯tːo
keld bordinggaard	kjˈɛlt bˈɔːd ənd gɔː
keld hvalsø nedergaard	kel vɑ̈l̥søˀ niðɛɐ̯g̊ɔˀ
kemi	kˌæmˈi
kemikalier	kʲmˈjkˈəlˈljɔ
kemiker	keːtmig̟ːɐ
kemiske	kʰiːtmɪsk
kemoterapi	kʰiːmuːtsɛpɪ
kend	kʰen˨˩
kende	kˈɛn
kendende	kejnene
kender	kena
kender du?	kˈæn ˈaɪ dˈoʊ
kendes	kennɪz
kendetegn	kʰeːn˧˧taj˧n˧
kendetegnet	kʰæˀːnetˢejnø
kendis	kandies
kendisser	kendiso
kendsgerning	kˈɪtsgˈɛɹnɪŋ
kendskab	kʰenˈskeːp
kendskabet	kʰiːn˧˧skæːpen˧˧
kendt	kænt
kendte	kendø
kennel	kʰæˀːn
kenneth	kʲiːnɪt
kenneth brylle	kennɪt brʏɛlɛt
kenneth christensen	kənnˈɛt kɾˈɛstəntsən
kenneth m. christensen	kennɛt ɛm kɾɪstɛnzon
kenneth zohore	kˈeːnə tˈɪʃ hˈuːrɛ
kenny	keni
kentaur	kɛntsɑwɑ
keramiker	kiɢaːtmiːgˈɑ
kere	kˈˈɛ
kerer	kio
kerne	kæːn
kernefamilien	kæɾnəfamiliən
kerneområde	kɛɐˀnɑːɑːb̥ɾoːð
kerneordforrådet	kˈæˈnɑːɑfqoːz
kerner	tjɛːnɑ
