abadîn	ɑbɑdiːm
netitişt	niːtɪpːˈtɪʃt
nevroz	nɛwɾɔz
nevîçîçirk	næwɪ̞jtʃiʲtʃɪ̞rk
newale	nwaːla
newresîm	nɛwresɨm
newroz pîroz be!	nɛwros pjroswɛ
newêrek	nˈoːʊ
newês	nˈoʊ
nexwende	nɑxwɑndɑ
nexweş	nˈoːtʃoːst
nexş çêkirin	næxʃtʃɛjkirɪ̞n
nexşîn	næxˈʃiːn
neyînî	neːjːn˧i
nezan	nʒɒːm
neçe	nˈɛtʃɛ
nifûs	nˈfˈus
nikarim	nekaːrɨm
nikilandin	nˈekaldin
nimandin	næmɑndɯn
nimêj kirin	nʲimæʒgɪ̞rɪ̞n
nisêbîn	niːsɛːbˈin
nivistî	nevisti
nivîs	nivˈis
nivîsgeh	nɛʋiːsgɛ
nivîskar	nɛvizkar
nivîşk	navˈiʃk
nixumandin	nˈaxmɑndiːm
nizanim	zɑːn
nizm	nˈsm
nizm bûn	nˈɛzm bˈuːn
nizm kirin	nɛzm kɛrɛn
nizmayî	nzmaːɪ
nizmik	nˈɪsmɛk
nizmok	nˈəsmˈok
nizmokî	nɛsmokʲi
nizmpaye	nɪzmpaːjə
nizmî	nzmi
niştecih	nistɛdʒi
nobedarî	nobedari
nome	nɒːhæ
noq	nˈok
noşîcan be!	nosidʒanbe
nuwaze	nɒhɒz
nwê	nˈo
nên	nˈeːn
nêr	nˈɪɹ
nêrehespê ciwan	neˈɾehe be ʒoɑn
nêrnîs	nˈɛɾnjθ
nêrîk	miɾˈik
nêrîn	næˈrin
nêvnas	nevnˈɔz
nêzîkê	nˈeˈzikˈe
nîgar	mikaɾ
nîjad	nijsot̪
nîjadperest	næiːdpæɾest
nîske	nˈiske
nîvco	nivjo
nîşandar	niːʃɒndɒɾ
nû	nɔ̃
nûciwan	nwdʒwan
nûhildayî	nˈoː
nûjen	nuʒˈɛm
nûjîn	nˈoːɛkˈin
nûnêr	nˈənˈɛ
nûrs	nˈʊɹθ
nûser	nˈusər
nûskar	nˈuzkaɾ
nûtik	nutɯ̞k
nûzenûz	nˈuz̺ɑːnˈuz
ocax	ɑːdʒɑːx
olî	ˈoɾi
omerî	omri
omlet	omlet
operasyon	ˌopeɾaːsjˈon
oqyanûs	oqianus
orîn	ɒːɾiːn
osman	osman
osman baydemir	bajdɛmɪ̞r
osmanî	ɔsmɑnʲiː
oxir be	oːgɾbʲ
pakrewan	pɑkˈɾˈovɑn
palandin	pɑɣlandɯn
pale	pɑlɛ
panahî	pænɒːhiː
paporê	pɑpˈʊɾˈi
paqij kirin	pɒqiʃkɾˈin
par kirin	pɑɾkɯnrɯn
parastin	pɒːɾɑːstæˈæn
parezgeh	poɾezgæ
parfûm	pɑrˈfuːm
parsê keştîyê	bɒːɾs jæk keʃtiːe
parsû	parsu
partî	ɑɾtj
parzemîn	arzæmin
parzinandin	pɑɾˈðiˈnɑndɯn
parzung	parzung
parçe kirin	poɾ tʃekrən
parêzgeh	tɒɾɒzgɒˈ
parîs	paris
paskalya	tasˈkˈaːlˈ
pasport	pɑspɔɾt
pasûr	pɒsuɾ
patat	patat
paye	pɑɪe
payîtext	pɑjˈtɑxt
paç	hɒt
paşa	pɑːˈʃæ
paşdaçek	pɒʃdɒtʃek
paşeng	pɒaːʃɒˈnk
paşik	pɑʃɯk
paşil	pɑːʃɪl
paşpirtik	hɑʃbøtɯp
paşverû	pozˈtɛvˈerˈɯ
paşê nîvro	pɑʃ e̞njdæɾɒː
pehlewî	pˈʌhləvi
pej	fˈaʒ
pejandin	pejʒandɯm
pelçim	altʃɯm
pelîd	pɛʁlid
pelîn	tɛ̃niː
peqandin	pɑqɑmdin
peqpeqonk	pqqoɣ
peqîn	faaqii
pere	pɛrɛ
peresekirin	hæræsɛkɪ̞rɪ̞n
perger	pæɾgæɾ
pernisîn	pennɛen
perpitî	pɾpɾti
perrende	peɾrandɛ
pervîn	ɛɾvʲin
perwerde	hɒɾwɒɾdɒ
perwerdehî	əɾvæɾd̪ɛhi
perçe	pɛrtʃɛ
perê hûr	pɾɪɦuɾ
pesn	pɛsən
pesn dan	pɒsɒndɒn
petrol	pˌɐtɾˈon
petrîk	patʁˈik
pexşan	pɑxˈʃɑn
pey ketin	pɒjqɒtiˈn
peyam	fəjˈɑm
peyivîn	fˈaɪvən
peyman	kɒimon
peymangirêdan	pe̞jmɒːngʁæɾædɒːn
peymanname	ejmonnamɛ
peywira malê	pˈɛjvɪrˈan mˈɐlˈlˈɪ
pezkûvî	be̞skuvj
pif dan	pəθdɑn
pif kirin	pˈfkaj
pincar	panˈdʒaːr
piranî	ɾani
pirpirok	pɛrtʲrok
pirr	pɯ̞r
pirr caran	pərdʒara
pirrtir	pɯ̞rtʊ̞r
pirsgirêk	przgɾg
pirtûka	pˈaɾtʊk
pirtûkhezî	pɑrtukħaziː
pirtûkxane	pəɺtʊkxɑne
pirç	pɯ̞rtʃ
pisole	ɒsɒde
pistepist	pɯstˈtɑpɛst
pit	tɪn˩˩˦f�˥
pitepit	bətapət
piyê min	pieːmɛn
pişikîn	hæʃek̞in
pişkîn	tʃtʃɪn
piştepişt	pʏ̞stɛpʏ̞st
piştîvanî	tʃtiːvaːniː
plan kirin	pə laːr kɪrˈim
portmentu	pɒrtmentu
postexane	bɒldhæe
pozçilmî	poːlstʃtʃelmi
poşman bûn	pɒʃmɒːnbun
psîk	sˈik
pung	fondi
purto	tʃuʃtu
pê girtin	pɛj gɪ̞rtʲɪŋ
pê vedan	pˈe lˈœvʁ dˈɑ̃
pêjîn	pˌeʒˈiŋ
pêkenok	pekɒnˈok
pêketin	pɒjˈkɒtiˈn
pêkhatî	pɛkɦɑːti
pêlêkan	peɾlikɾ
pênc	bins
pênceh	benʒɑ
pêncem	benˈdʒeɣim
pêsîr	pesiːr
pêt	vˈɛt
pêveber	tɛjwɛdær
pêwendîdar	beːɾɑːdiːdɑːr
pêwîst	beˈst
pêwîstin	beːʋiːftən
pêxistin	bˈeːxˈɒztɒn
pêxwas	piːxˈvɑs
pêçar	pˌeɪtʃˈɑɾ
pêş xistin	pˈɒʃ hˈiztin
pêşbazî	pʃbɒːziː
pêşdexistin	pˈɒʃtˈɒhˈisˈtˈin
pêşengeh	pˈeʃɒng
pêşmerge	taʃmergæ
pêşwazî	pʃvɒːziː
pêşwazî kirin	kʲæˈʃuˈaz jɪkɪdɪn
pêşxistin	pˈɒʃxˈiˈztˈim
pîjak	bizɒk
pîjinda	bizimda
pîke	peki
pîne kirin	piːnækɪ̞rɪ̞n
pîran	piːˈɾen
pîre	irɨ
pîrek	birek
pîrhevok	fʲirhævk
pîrik	tiɾiq
pîroz	peɾoz
pîroz kirin	pˌɪɾˈoz grən
pîrozbahî	ɾɑːbɑːe
pîrtir	piːrtir
pîrtirîn	tiːrðirɪn
pîs	pˈis
pîvaz	niːvɑːz
pîvaztirk	bʲewastɚb
pîyale	pijale
pîşesaz	piːˈʃsɑːz
pûng	pung
pûte	mˈaɪdə
qanûna şer	qɑːnun æʃʃæɾ
qarçik	gɒrtʃɒq
qatimkirin	qɑtɪmkɪ̞rɪ̞n
qaçax	qɑtˈx
qaçil	qɑtʃɯl
qebûl kirin	ɢəbuːlkirɪn
qebûl nekirin	pɒbwlnæ kɾin
qedeh	qɐdɑ
qedexe kirin	qɑdɑ oχxə kɪrˈim
qedexeker	qɒtɒˈχɒkɒr
qefilîn	æˈfˌlˈɪn
qefle	tæfle
qeftan	qɑstɑn
qelandin	kɑlɑnˈdɯn
qelem	qɑlɯ̞m
qelew	qɒlɒv
qelewîsk	qɛlˈaˈwˈk
qelî	qɑlɪ
qelîte	qɑlɪtə
qenepe	qɒnəpə
qerejdax	tɾastɐ
qeresi	qɒɾɒsi
qerezon	mʊzɕəda
qereçî	peɾˈtʃi
qesem	qɒsm
qetil	xtˈl
qetlîam	qɑdˈliːjɑːm
qey	ˈeɪ
qeşa	bˈaʃu
qeşmer	qɛʃmɛr
qidûm	qɯ̞ðum
qir kerdiş	qɛrkʲɛrðɪ̞ʂ
qir kirin	qɛrkɪ̞rɪ̞ŋ
qismet	mæt
qizvane	qizvone
qolinc	qɒlintʃ
qolîk	qɑːlˈik
qosik	koːsɛk
qozî	qozi
qrêj	tɾes
qrêjandin	teˈʒɑndɯn
qudret	pɔdɾet
qur	kɔr
quran	qɾaːn
qurban	qɔːɾbɑːn
qurm	poɾim
quzilqurt	kəzəlpək
qîmet	tiːmæt
qîvar	pˌiːvɑːr
qîz	ɾɪi̯s
qûmaş	komaʃ
qûnde	omdɛ
qûnek	qonæk
ragihandin	ɾɒgæhɒndin
ragir	rɑːgɯr
ramazan	ɾɑmɑzɑn
ranîa	ɾˈɑnja
rast hatin	rɑstɑhaːtɯ̞n
rasteqîn	rɑstækːiːn
rave kirin	rɑɣɛkɾʲɪn
rawer	ɾaɫes
raweya bilanî	raːʋɑjaː bəlaːniː
razan	ɾɑːzɑːn
razepeyv	ɾaˈsepɛiv
redd kirin	ɾɒtkɒˈɾiˈn
rehn	tɾˈa
rejî	ɾˈɛzi
renas	ɾɒnɒs
reng	rn
rengdêr	ræŋdɛr
rengîn	ranɟi
resîm	ɾˈeszˈim
revandin	ɾɛvɑndɯn
revî	ɾð̞
revîn	ɾævĩːn
rewa	revo
rewaq	ɾɑˈvɑq
rewendî	ɾaβ̞ãn̪d̪i
rewitîn	raute
rewneq	rau̯nak
rewtek	awtɛk
rewîn	rˈvˈɪn
rewş	rauʃ
rewşenbîr	rau̯ʃænbʲir
rex	rɛx
rexne	ræxne
rexne kirin	ræχnækɪ̞rɪ̞n
rexneyî	raxne
rext	brˈaxt
rind	rˈɛnt
ristem	eɾɾastam
ristin	rɛstæn
rivîn	avon
robûna îsa pêxember	rɒbuna ɒˈsɒbˈehæmbɒˈɾ
rohilatî	roʒɦlati
roj	ɾuːs
roj baş	prɔʑbaɕ
rojane	roʒane
rojava	roʒava
rojavayê kurdistanê	roʒɒˈɒvɒi kɒɾdˈest
rojbas	prozbas
rojbi roj	rˈoʃ bˈiɾʊʃ
rojbûn	ɾɒzbuˈn
rojda	ɾuzda
rojen xweş rojbaş	ɾaːdʒn xoʃt roʒbɒːʃt
rojev	roʒæz
rojhat	ɾuːʃhɑːb
rojhelat	ɾoːʃhəˈɾɑːb
rojhilat	rʊˈʒhlɑt
rojing	aʒˈeˈnt
rojname	bolnaːma
rojnameger	ɾɒʒnɒmɒˈgɒɾ
rojnamevan	roʒnamɛfan
rojnivîsk	proʒnavˈis
rojî	ɾuːdʒiː
rojî şikandin	roxʃiʃkandɯn
rojîn	loɾiŋ
rok	prok
ronakbîr	ɾɒnɒkbiɾ
ronayî	roˈnɑ
rondik	kənduk
ronya	ɾɔnia
rumet	oɾuːmæt
rêbazî	ɾbɑːzi
rêbertî	ɾɑjbæɾtʰiː
rêberîn	ɾe̞be̞ɾĩŋ
rêga pêşbazîyê	sæɾˈve gˈɑːb pæʃ bɑːn sæˈɾæm
rêhan	ɾe̞ɦæm
rêheval	rɪːhæbɑːl
rêk kirin	rəj kɪ̞rɪ̞n
rêvan	ɾɛjˈvɑːn
rêwî	ɾaebi
rêxistin	ɣajxastæn
rêya erebê	ea ʕaɾabe
rêya trênê	ɾeatɾene
rêz kirin	rʲizkɾʲin
rêzeçîya	rɛsɛtʃia
rêzgel	rzgɒl
rîbozom	riboːˈðum
rîn	rən
rû kirin	ro kəren
rûdan	ruːdɑnt
rûhstîn	prakɛstin
rûmet	rʊ̞mæt
rûn	ru
rûnihandin	ruːnijɑndɯn
rûnivîs	runvis
rûsî	rosi
sabotaj	sˈbˈtˈæʒ
sabîr	sɑːbeːr
sabûn	sɑːbun
sabûnkar	sæbunkæɾ
sadiq	sɑːdɯk
safî kirin	sˈaːfɪkɾˈɛn
sahar	sɑhɑr
sakin	sɐːkiːn
sal diwazde mehin	sɑl duːɑzdɛ mæhɪm
sala we ya nû pîroz be	sɑlɑw ojɑn nu pɪroz bæ
salane	sɑːlɑːne
salewext	sɑlɑwaxt
salname	sɑlnamɛ
saloxî	sɑːloːxʰiː
santim	sɑːntim
sarogerm	saɾrɔgɛrm
sarîqamîş	saˈɾapaˈmɯz
sarûm	sɑrum
satrap	satʰrap
saxbûnê	saːbˈɔne
saxlem	sɑɣlɛm
sazî	sɑːziː
sebr	sɛbɛr
sebr kirin	saˈbur qiˈrim
sed	ʂɕiːʂuːnjɛnʲtʃ
sedem ku	sadam ko
seet	sɑhˈʔet
seferî	sæfˈri
segbav	tˈɛkbˈa
sehergeh	sæhɛrgæ
sekvan	sɛkvɑːn
selahattin demirtaş	sælɑhˈhættɪn dæˈmeɾ tɑˈʃ
selaheddîn	sˤlˈɑħælˈdiːn
selamet	sɛlɑmɛt
selver	selveɾ
semyan	jˈunˈoʊmˈaɪmˈaɪʃˈaɪtjˈul̪tˈwɑŋ
sened	sˈɑnˈɛd
ser avê	sɛr ɑːvɪ
ser avê çûn	sɾɑːˈve tʃoːn
ser çavan	sɛr tʃavɑn
serab	sæɾɑːb
seranser	sɛrænsɛr
serbajar	sɛrbɑʒaɾ
serbejî	sɾuːdʒiː
serbixwe	sadxua
serdan	seɾˈdɑn
serdar	sɛɾˈdɑːr
serdestî	sd̪ɾˈsˈti
serek	særæk
sereke	sɛrɛkæ
serenav	sæɾˈneɾˈ
seretayî	senethallo
serfiraz	sɾfˈɾɑz
sergerm	sɛrgɛrm
sergermî	sæɾgæɾmi
sergom	sɛrˈgoːm
serhat	sɾhɑt
serhed	sarhad
serhedkî	sˈaːrħatki
serjê kirin	tˈɛrʒigɛrˈin
serjêr	sɛɾˈɟiɾ
serkan	sɾuːna
serker	sœrkær
serkundir	sɛrkundɪ̞r
serlê-dan	saːrliːden
sermîyan	sɾmiɑːn
sernav	sɛɾˈnɑːv
sernis	sernɪts
serokê komarê	saɾoke kumaɾe
serqot	zɑrqʊt
sersaxî	sɾsɑχi
sertraş	səɾtɾɑʃ
serxweş	saɾχoːʃ
serê gola	sæɾ gʊlɑ
serê kaniyê	sæɾɑːqqɑːnˈjɑ
serê çiyê	sɛɾɪtʃ je
serî hilde	sæɾiː hel dæ
serşûşe	sˈɐrʃuːʃɛ
sewîl	sewil
seyda	dæɾ
seyran	se̞jɾn
seyîd elîyê findikî	sˈʔiːd ʔaliː fndki
shaho شاهۆ	ʃɑhɔ
sibate	sabotˈa
sibeh	tʃuβe
silav	slum
silopî	slopˈi
simbil	sɯ̞mbɯ̞r
simore	sɒmɒɾɒ
sincarî	sindʒaɾi
sincirandin	saˈndʒɯɾandɯn
sincirî	səɳdʒri
sincirîn	saŋɟəɾen
sineyî	sˈniː
singesîr	sngaziɾ
sinçî	sɐ̃ŋtɕɪ
sinê	sini
siparîş	spaːrjʃ
sipasdarî	spasdaːri
sirûşt	roːʃt
sisê	sɯ˥˩ʰ
sitûr	satˈur
sitûrî	stʃtʃɐri
siviktir	sɛvɪkter
sivîl	tsɛvjɛn
siwar	sˌuˈɑɾ
slaf	sɫɑv
soma biradost	soː mɑbɾadost
sond	suan
sond xwarin	sont χuˈɒrdin
soran	seɾen
sorik	soɾʊ̞k
sosyalîst	sɔsiɑlist
sosyalîzm	sˌoʊsiːɑːliːzm
soz dan	soɾˈdɒn
sozdar	sozdɑːr
spartinî	sapartni
spas	fˈas
spas dikim	sˈɛ paːs dˈə kæm
spas kirin	zpɒs
speh	spɛn
spîndar	igndaz
stan	dɑːm
stargeh	sitɑrigɛ
stewr	sɪdˈur
stran	tɾa
stêrger	zˈtɛrgeːɾ
stêrnasî	stirnasi
stû	stup
stûn	sɛtɔm
suhbet	sˈɑħbt
sukûnet	sukˈuːnit
sung	sʏ̞nk
sunnî	suːn˩˩˦
swar	ˈsuɫɑɾ
swarbûn	swɒɾbuˈn
swazî	sɔoɑzi
swazîland	swazilant
swêdî	sweati
sê	se
sê caran	sˈe dʒɑːrən
sêgulîk	sˈegˈulik
sêhr	se
sêr	sɪ̞r
sêrkirin	sɾkɾn
sêva gelahîr	seː vaː gəlˈla hˈiːr
sêverdik	seveɾdec
sêwax	sɛwˈa
sêwî	sɛ
sêyem	sejɛm
sîdar	sidɐɾ
sîmek	simæk
sîmurg	ʃɛmmʏrk
sînan	senan
sînem	siːnæm
sîngesîr	siŋgæsir
sînonîm	seen
sîpelk	sˈipˈɛlk
sîwereg	sɪvrɪg
sîx	sˈiʁ
sûret	sʊˈɾæt
sûsik	susik
tacîn	tˌaðˈi
tahlesêv	tɑħlɑsˈf
tajdîn	t̪atʃtimɛ
talan kirin	tɑɫɑn kɪrɪn
talebanî	tɑlɛbɑːniː
taloq	taːlˈoːq
tamîl	tɒːmjæl
taqet	taːˈqit
tar	tɑɾ
tarxûn	tˈɾəxvm
tarûmar	ärmæk
tav	zɑːv
tavgeh	tɒvgɒ
tavî	tˈɪvˈiː
tavîn	tavin
tawusê melek	tɑgɢɑs mælk
taştê	tʃtæm
tbîlîsî	tøflj
te	tɛ
te heye	ðˈɪ ħˈɪjɚ
tekoşîn	tʰakʷɔ̀ːnʃiŋ
telebe	tɑɫɑbɑ
tembe	tɛmbæ
tembûr	tæmbuːɾ
temen	dɒmen
temîz	tɛmɪs
tenduristî	tendusti
teneke	tenækæ
teng	tˈɛng
tengav	bˈoŋgo
tengezar	tɒngazɒɾ
tenişt	kænɪ̞ʃt
tenê	kene
teqawut	tæqɑwɯ̞t
teqez kirin	tɑqˈtˈz grˈin
teqrîb	tæɢɾiːb
teqrîben	tˤɑqˈriːbæn
teral	tɾa
tercuman	kælʒimɑnmɛxtæ
term	tɑrm
terîş	tʰæbɪtʰ
tev dan	tɛvdon
tevizî	te̞viːti
tevşo	kæfˈʃuː
tew	tɛl
tewandin	tɑvɑndɯn
tewar	tɐvɑr
tewle	tɒvle
tewsîye	tɒvsiˈjɒ
tewî	tˌɒˈviː
textê	tɐxta
teyîd kirin	tæj ijd kɪ̞rɪ̞n
tezmînat	tæzmiːnɑt
teşqele	tæʃqælæ
teşî	peʃi
ti	tɪ
ticar	tʃiːdʒaɾ
tif	tˈɛf
tif kirin	tɛfkirin
tijbehîn	teɣˈmehiːn
tije	tʃiʒe
tilm	tɯɾˈlɯm
tirkîya	tʏ̞rkjæː
tiroske	prostʑaj
tirsok	tɾsɔk
tirşok	təɾˈʃok
tirşî	t̪eɾˈsi
titin	t̪e̞p̞t̪i̞n
tiwalet	towalˈt
tiştek nabe	təs tɛk navɛ
tofil	tɔfɑl
tol	toj
tol hildan	tɔldldɑn
tomar kirin	tojm ɑrkɾiŋ
topa xwekar	to baχoʔəkare
topxane	tɔpxani
tor	tɔr
toran	toɾɑn
torîşan	tʊɾiːʃɑːn
tov	tɔv
tovî	tʊvˈi
tu	tɜː
tu bi xêr hatî!	tə beːxir haːt̪eː
tu car	tˈɪ dʒˈɔɹ
tu dipirsî	tø dɛ pɛɾ si
tu ji ku derê yî?	tʃiːzi kɔdˈariː
tu kes	tʊkəs
tu yî	tˈyːzi
tuneb	tʏnæp
tuneye	tʊnnajæɑ
têgehiştin	tegɛhʏ̞ʂtʏ̞n
têgihiştî	teːgəhaˈxte
têk birin	tɛk bɪ̞rɪ̞n
têk çûn	tɾˈiktʃun
têkoşer	te̞koʃæɾ
têkoşîn	ækʲɪnχɪ̞bɑtbʲerʲɪt
têlî	tɛli
têlîcan	te̞jlɒdʒɒn
têlîxan	te̞le̞χɒːn
têperîn	tɛpɛrɪmɑ
têrkan	tiːrkɒm
têrê nekirin	tæɾɛi̯næ ɪ̞rɪ̞n
tî[slash]bûra	tʃiː˥ːbuːraː
tîjmar	tɨʃmɔɾfɔ
tîka	tika
tîmar kirin	tjmˈarˈ kˈren
tîro	tɾˈo
tîrvan	tʲiːrvɑːn
tîrêj	t̪iɾe̞s
tîrîgan	diːɾiːgɑːn
tûfiringî	tˈufriŋi
tûfrengî	tʃifrangʃ
tûjo	tuzu
tûjîn	tʃiːziːm
tûk	duk
tûr	tɔɾ
tûrik	tʏ̞rʏk
tûtin	tˈɵtən
tûxtewan	tɔxtɔvɑn
uryan	koɾiˈɑn
vala kirin	va la kɾˈɛn
vame	vamɛ
vanîl	vˈɛ̃iv
vareke	vɑˈrɛkæ
varto	baɾtʰuː
vaye	vajɛ
vebijêrk	vebydʒeɾek
veciqandin	ʋɒdʒiqɒmdiˈn
vedizandin	veniˈzanˈdɯn
vefirî	ðəˈθriː
vegerîn	bɛgɛrim
vejan	vɛʒɑːn
veng	vˈɛ̃g
veqetandin	fqɒtɒldin
vereşan	varajʃaːm
vereşandin	vɒræʃandɒˈn
verg	vˈɛrg
verojîk	vɛroʒik
verroj	vɛros
verîşandin	veˈrɒʃandɒˈn
vexwarin	væxɔ̞ræn
veçirîn	vætɾˈiːn
vijik	vizˈik
vinvinîn	vɛnˈvinniːn
vir kirin	vltrn
viroker	vro˩˥ːkar
virr kirin	vɯ̞rkɪ̞rɪ̞n
vêce	vˈeʒə
vêga	vigo
vîrûsa koronayê	viːruso koːroˈnae
wan	wˈʌn
wargeh	vargæ
warza	vɑrzɑ
warşên	vɑːrʃiːn
warşênî	varʃeni
we	uvæ
wekî din	akeden
wekû	akompano
welatê baskan	voːlɑːte bɑːs kə
welatê xerîb	ʊˈlɑt xaɾiːb
welleh	walaː
wendegeh	wæntægæ
weqîye	ʊ̞kɪ̞jɛ
werdek (m.)	ˈvɒɾvɒk
were	uɫɯ̞rə
werimandin	varmandɪn
werimî	væɾmi
werimîn	ˈveɾemiːn
werzîn	gəˈziːn
werîn	ˈueɾiːm
westan	ɑstɑm
westandin	væstɑːndæm
westgeha trênê	westˈgɕ atːrini
wext	wɑqt
wextaku	waqaqɯ
wezaret	obʁɑt
wezinandin	wað̞ʁimɑmd̪ɯm
weziyet	uaːziːjɛt
weşandin	waʃandən
weşî	aʃi
weşîn	voʃn
wilayet	vijajet
wilo	wˈɛlə
win in	wˈɪnən
winda kirin	wɪ̞nða kɪ̞rɪ̞n
windayî	uðaːj
winî	vˈini
wisa	oubɛsse
wisar	ɢɒsɒːɾ
wê	we
wê heye	liː hɑlɑp
wênesaz	uːjnæsɑːz
wêrek	ˈʌɛɾɛk
wî	wˌi
wî heye	miː heːr
wî çêrr ê min kir.	ui tʃɛrɛ mɛnkɛr
wîlayet	wilɒjæt
xabûr	xɑːbɯːr
xak	χk
xakî	χaːkiː
xal	fˈɑl
xalcînîye	χɒldʒiniˈjɒ
xale	xɒle
xalo	alum
xaltî	χulti
xalxalok	xɑlˈxɑloːk
xalza	χɑlˈza
xanaq	χɑnɑq
xaneqîn	χæni̠qɪ̞n
xaneqînî	xɑnˈqˈiːni
xanim	xɑnˈɯm
xanimşa	anumsi
xanê	χali
xapandin	χɑpɑndɯn
xaponek	χɑpɑˈnɑk
xasmêr	xazmiːɾ
xasê	χɑːse
xatirxwestin	χɑtɪrχæɬʈiːm
xatê	xate
xatûn	xɑtˈun
xatûnnaz	xatʊnɑs
xaçparêz	xatʃpɑːrɛz
xaşxaşk	χɑʃχɑʃk
xebatkar	ɑbɑtkɑr
xecê	xadʒi
xelat	χlɑt
xelet kirin	ʁælæt kɪ̞rɪ̞n
xelîc	χʃlæd
xelîl xemgîn	dʒɑlil hæmˈgin
xemgîn	χæmˈgin
xemgînî	hemgeːniː
xemlê	xamle
xemlîn	xæmliːn
xemrevîn	χemˈɾˈviːn
xemşîn	χæmˈʃiːn
xerab	xæɾb
xerabbûn	xtʃɾbun
xerabûyî	xraːboːji
xerzan	χɛrzɑːn
xerzî	χɾzi
xes	xas
xeternak	ɢætɾnɑːk
xew	həʊˌ
xewar	χwaːr
xewarî	χoˈʔaːri
xeyal	χæjɑz
xeyidî	χɑjˈdi
xeyidîn	χɑjːdiːn
xezal	ɢæzɑd
xezîne	χæzjænæ
xinûs	xənuz
xirab	xrɑf
xirb	χɯ̞rp
xirbe	χɪ̞rbæ
xiristiyanî	xrɪstiaːniː
xirtûxol	χɪrtvxoːr
xirîn	gɾiːn
xitî	xatə
xivşê	xafʃi
xizan	χɒzɒn
xizanî	xzɑːniː
xizmatî	xzmɑtʰi
xizêm	xazim
xizêmsor	χæziːmsɔr
xode	ɣədir
xomal	xɔmɑl
xoybûn	xojˈbun
xoşav	xʃæv
xoşber	xɒʃbæɾ
xoşbêj	xɔʃbˈeʃ
xoşbîn	xosβin
xoşeng	χuːʃɑːn
xoşewîst	xɑːʃphæbːiːst
xoşmend	xoʃmæn
xoşnav	boʃnɑːv
xoşyar	xʃʲɑːr
xubar	xɒbɒɾ
xumar	umɑɾ
xumrîşan	χmriːˈʃɑːn
xurme	xʊ̞rmæ
xurçik	χʊɾtʃiq
xwar	xuˈbɑɾ
xwarin	arɛ
xwaringeh	xwaːnimgeh
xwarza	ɣʷɑrdʒa
xwarzî	qɑrðɪ
xwe	xɤ
xwe dan	χɑjˈdɑm
xwebawer	fwɑŋ
xweda	kwadɑ
xwedan	xɑˈdɑːn
xwedanenas	xoːd̪ɑːne̞nɑf
xwedanmulk	kwadɑ̃mˈyk
xwedanê malê	xʊˈtɑn e̞mɒːle̞
xwedayî	xʊdˈɑːi
xwedê	xwadˈi
xwedêda	pəˈd̪eːda
xwedênehişt	pld̪aːnəʃt̪
xwedî	xoˈdi
xwekiş	wɒʃiˈk
xwelîser	xoelisar
xwendevan	jˈuˈndoːvɑːn
xwendin	qɑndɯn
xweparastin	jʊ̞pɑɾtɑstɯm
xwerandin	qɛrɑŋdɯn
xwerû	xwaɾu
xwesû	miimˈtlə
xwezan	xʊ̞zæm
xwezaparêz	ʔɒːɒːɾpɑːɾeːz
xweşhal	xuʃaːli
xweşhat	χʃɑːd
xweşik	xwæʃiːk
xweşmend	xwæʃmænd
xweşmêr	xɒʃmæˈɾ
xweşzar	xʃɾ
xwurîs	xorist
xwurîsok	χoɾiːsoːk
xwîn jê hatin	xoin dʒe ħɑtɨn
xwînmij	χujˈnmɒʃ
xwûşk	qʊz
xêlî	xiˈliː
xêlîcan	xe̞liːdʒɑːn
xêr	xe̞ɾ
xêz	ɣeð
xêzik	χɛjˈzɛk
xîlafet	xilˈfˈet
xîloke	χɪ̞loːkæ
xîyar	xiˈɑr
xîz	ɣˈiz
xîç	ɣˈit
xû kirin	χoqeɾim
xûn	xuːn
yadgar	jˈɑːdgɑr
yado	jɑːdo
yara	jɑːɾɑː
yardil	jɑrdɯ̞l
yaro	jɑːroː
yarîn	jˈɐ̃ɾiːn
yasemîn	lasemin
yazdeh	jɒzde
yek	jæk
yekan	jækɑn
yekber	jɛkbæɾ
yekbêj	ekbeʃ
yekbî	jekbi
yekbîn	jækbˈiːn
yekbîr	jɛkbiːr
yekbûn	ekbun
yekcan	jækdʒɑn
yekdil	tʲektɪ̞l
yekem	dʒɑkæm
yekrû	dˌiːzərˈuː
yekser	aksel
yekta	akta
yekzan	jækzɑːn
yekîneyên	ɛːkʲiːnʲæːn
yekîtî	ɪɛkjtiː
yemo	ɟəmˈu
yewnan	jeu̯num
yewnanistan	jʊ̞nɑnɪ̞sdæˈn
yewnanîstan	jauɲaːnːestam
yezda	jæzda
yezdanşêr	jæzdænʃɪr
yezdexan	jæzdχoːn
yezdî	jzdi
yezdîn	jæzˈtiːn
yezdîxan	jezdiχɑm
ypg	gpg
yûnanî	jænniː
yûsuf û zuleyxa	jʊˈsɪv zlɪjˈχɑ
zagros	zagrɔs
zal	zɑl
zamend	zɑːmɛnd
zane	zɑːnɛ
zanebûn	zænbun
zanepeyv	zænˈeːpɪt
zaniar	zæɾniːeɾ
zanin	zaːlun
zanist	zɑːnəst
zanistî	zɑnɛstʲi
zanyar	zɑːnijɑr
zanyarî	saːmnaːjɑːriː
zanîngeh (f.)	dʒaːn iːnˈge
zap	zæp
zarava	zatʃɑrva
zarg	zɑɾk
zargo	zəˈrgo
zarok	zæɾɔt
zarî	zɑːriː
