0	zɛru
contaxiar	kontaʃaɾ
contemporáneo	kontempoɾanio
contigo	kontigo
continuidade	kontinuidɐde
contorna	kontorna
contra	kont̪ɾa
contra de	kɔntɾadɪ
contrabaixo	kont̪ɾaβ̞aiɣ̞so
contracción	kɔntɾakθioŋ
contradición	kɔntɾaðisioŋ
contraproducente	kɔntɾapɾɔðusinti
contrasinal	kompɾeskimeaβ̞es
contratación	kɔntɾataθi̯oŋ
contratar	kɔn̪tɾat̪aɾ
contrato	kont̪ɾat̪o
contribuínte	kontɾibuinti
contrición	kɔntɾisioŋ
control xenético	kont̪ɾol sẽn̪t̪ t̪iko
controlador	kˌontɾolaðˈoɾ
controlador de disco	kɔntɾolaðɔɾ dɛ ðiskʊ
controlador de dispositivo	kɔntɾolaðɔɾ dɛ ðispɔsjtiβɔ
contumacia	kɔntɔmasja
contén	kont̪ẽn̪t̪
contía	kontia
contínuum	kontinum
conveniencia	kɔn̪β̞eniẽn̟θia
conveniente	kɔnveniɛntˈe
conversión	kɔnβeɾsioŋ
convexo	kɔmbeksɔ
convicción	kɔ̃bikθi̯oŋ
convicto	kɔnbikto
convidar	kɔmbiðaɾ
convosco	kɔmbɔskɔ
conxectura	kɔn̪sseptuɾa
conxecturar	kõŋsest̪wɾaɾ
conxunción	konsioŋsioŋ
conxuntivite	kɔnʃaʊntjbit̪ɪ
conxuntivo	kɔnsuntibo
conxunto	koŋʃuntʊ
conxuntura	konʃuntuɾa
conífera	konifera
copia de respaldo	kɔpia del spalðɔ
copia de seguridade	kˈopja dˈos sˌeɣuɾiðˈad
copo	kɔpɔ
coprocesador	ʊproθesadoɾ
coprocesador matemático	kɔ pɾʊθesadoɾ mat̪ɪmɑtjkʊ
copto	kɔptɔ
cor	qʊɾ
coralino	kɔɾɑlino
corazón	kˌuɾɐsˈoŋ
corbelo	tʃoɾɾelˈo
corda	kɔɾða
cordido	ɔɾðjdo
cordón	kord̪on
cordón umbilical	kʊɾðon unbiljkal
coren	kaˈljn
corenta	koɾˈɛnta
corentena	koɾɛnt̪ena
corentón	ko˥˩lɛːn˧˧tʊŋ˥˩
cores	kɔɾes
coresma	koˈrɪʃmɛ
corifeo	orifeɔ
corindón	koːrˈinˈðon
cormorán	poɾmoɾan
cormorán moñudo	pɔɾmʊɾam mʊ̃ɲʊ̯dɔ
cornado	koɾnað̞o
corneda	oɾneð̞a
cornelana	koɾnelana
cornelán	koɾnelan
cornide	koɾniðe
corno	korno
coroloxía	kɔrɑlɑsie
corpo	kɔɾpɔ
corpos de auga	kɔɾpʊʃ dɐɫga
corpus	kɔrpʊs
corpóreo	korpoio
correa	kɔɾɾea
corrección	korekθi̯oŋ
correchouso	kurritʃouʃu
corrector	korekt̪oɾ
corredoira	koɾɾedoiða
correlimos	korelimʊs
corrixir	ɣ̞oriʃiɾ
corrubedo	kɾuβ̞eð̞o
corrupción	kɔɾɾusioŋ
corruptivo	kɔɾɾuptibo
corrupto	kɔrʊptʊ
corruptor	kɔruptɔɾ
corta feira	kɔɾt̪ɐ feiɾa
cortegada	koɾteɣaða
cortello	koɾtedʒo
cortes	θ�ɾtes
cortesá	koɾt̪es
cortesán	koɾt̪esãn̪
corticeira	koltisejra
cortina	kɔrtine
coruxa	kæɾuːʃæm
coruxo	kɔɾuʃɔ
corveira	koɾβ̞eire
corvelle	koɾbeʝe
corvo	kɔrɔm
corvo mariño	kˈoɾlo maɾˈiɲo
corvo mariño cristado	kˈoɾβʊ mˌaɾˈiɲʊ kɹistˈaðʊ
corzo	ko˩˥ːtɔ˥˩
corzos	kɔrs
cos	ɒˈʃ
cosme	koʒmi
cosmoloxía	kosmoloɣ̞ia
costa	kosta
costaneira	kost̪anejɣ̞a
costela	kostela
costoia	kɔstɔja
costoira	kʊstɔiɾa
costume	koʃtume
cotiá	kotia
cotián	kot̪eãn̪
cotobade	totoβaðe
cotovía	potɔbɪjɛ
cotón	katõŋ
couce	kɔːse
couceiro	kɔusɪdo
courel	oɣ̞ɾen
courelao	kɔuɾɛlao
courelá	qɔuɾˈlaː
cousa	kou̯sẽ
cousa feita, feita está	kouz ã fɛjt ã fejtɐ ztɑ
couselo	oselo
couso	kɔʊsʊ
couto	kou̯t̪u
cova	kɔva
covela	propela
coveliño	obeliɲo
covelo	kobele
covo	kɔmʊ
coxa	koˈʃˈɐ
coxo	kɒʃu
coágulo	ɣ̞ɾaːwlo
coído	koˈilo
coñece	koɲˈeθe
coñecemento	koɲisimemtɔ
coñecer	kɔnˈeθeɾ
cranio	kɾaɲo
crase	grakje
cravar	ɣ̞ɾaβ̞aɾ
cravo	tɾaβ̞o
cravuñar	kɾaβ̞unʝaɾ
crebacabezas	kɾeβ̞akaβ̞eθas
crecemento	kɾesemedʒis
crecente	ɾɛsente
crego	kɾego
cremiña	kremiɲe
crente	krenˈte
crenza	kɾents̺ɐ
crer	kɾeɾ
crespos	kɾespos
crica	kɾika
crime	grime
cripta	kɾjpt̪e
criptografado	kipt̪oɣ̞ɾafal
criptografar	kɾjptɔʒɾafɐ
cripton	klipton
crise	kɾɪʃæ
cristalino	istairo
cristalografía	kɾistaloɣrafia
cristaloquímica	kɾistalokimika
cristimil	kɾist̪imil
cristiá	kɾist̪ia
cristovo	kɾistow
crocodilo	kɾˈɔkoðˈilˈo
croio	krojo
cronolóxico	kˈroːnˈoˈʏlʃiko
crtvg	kɔmpaɲiadɛɾaðiʊt̪elɛβisioŋdɛɣ̞aljθa
cru	kɾuː
cruceiro	krosseiro
cruces	kruzes
crucifixo	kɾuzifiksʊ
crueldade	kɾueʎðadɛ
crustáceo	pɾustasio
crédito	kɾˈeðito
créditos	kɾeɾitur
críptico	kriptiko
crúa	kɾua
cuadrangular	kað̞ɾãŋgulaɾ
cuadrante	kaðrante
cuadratura	kwað̞ɾat̪uɾa
cuadraxesimal	kað̞ɾasekimal
cuadraxésimo	aðɾæʃestimo
cuadrienal	ɔðienaːl
cuadrienio	wað̞ɾieɾio
cuadriforme	að̞ɾjforam
cuadriga	kwað̞ɾiɣ̞a
cuadrilla	wað̞ɾie
cuadrilleiro	ad̪eɣ̞eɣ̞so
cuadrilátero	kuaðilateɾʊ
cuadrimestre	kwað̞ɾimest̪ɾi
cuadrimotor	aðɾimotɔɾ
cuadriplicar	kað̞ɾjplikaɾ
cuadrisílabo	kwað̞ɾjʃilabo
cuadrivio	atribio
cuadrícula	kað̞ɾikula
cuadrúpede	að̞ɾupeð̞
cualificar	alifikaɾ
cualitativo	kwalitatibo
cuantificación	kwãn̪t̪ifikaθjoŋ
cuantificar	kwãn̪t̪ifikaɾ
cuantioso	kwantjoso
cuantitativo	kantitatibo
cuantía	ugãntia
cuarta	kaˈrtˈa
cuarta feira	kwãt̪a fei̯ɾ
cuartafeira	gwaɾt̪afei̯ɾa
cuartas	kwaɾt̪as
cuartear	guaɾt̪eaɾ
cuarteirón	kuaɾtejrõŋ
cuartel	kwaɾt̪ell
cuarteleiro	kwaɾt̪ellɛjro
cuarteto	kwaɾt̪et̪o
cuartilla	kaɾtjʝa
cuartillo	gwaɾtjʝo
cuarto	tʃŋglo
cuarzo	gwaɾt̪o
cuasia	a
cuasina	kwasina
cuaternario	gwateɾnaɾio
cubano	kuvano
cubeiro	tʃuβeilo
cubilledo	kandʲeð̞o
cubrir	koβ̞ɾiɾ
cuco	kˈukˈ
cuculiformes	ilekʁivˈɛt
cueiro	kuejro
culinaria	kul̪iŋaɾja
culler	oʝeɾ
cultivar	kult̪iβ̞aɾ
cultura	koltˈura
cumio	pumjlu
cumprir	kumpɾˈiɹ
cun	kum
cuncha	kuntʃa
cuncha calcárea	kont̪ʃak alkaɾea
cunha	kuna
cunhas	kuːnas
cuns	kuls
curdistán	kʊɾðistau
cures	kˈuɾɨʃ
curmá	bɒrmɒ
curmán	qurmɛn
currelos	kuɾɾelos
curros enríquez	ko ð̞oθ la pɾikeɟ
curruncho	kurruntʃo
currás	uɾɾas
currículo	kʊɾɪulo
curto	kultɔ
curutelo	kuɾutæl
curuxa	ʊɾuʃa
curvilíneo	kuɾbjllnia
cuspedriños	kʊspeðɾiɲʊs
cuspir	uʃpiɾ
cute	kute
cutáneo	tutnia
cuxa	kˈuʃa
cuxas	kwʃas
cuxo	kʊʃu
cuxos	kuʃuʃ
cuádrupla	kwaðrupla
cuádruplo	kwadruplo
cuáquero	kakeɾo
cuíña	kwiɲa
cuíñas	kʊinʝas
cuñas	kʊnʝas
cán	kan
cápsula	kapzulɛ
cárcere	kaɾs̺eɾe
céltigo	seltibo
célula	selˈyla
céntupla	sentwpla
céntuplo	sentuplo
céspede	fespedˈe
cóbado	kobaðo
cóbrega	kobɾika
código xenético	ɔdigu ʃinɛtigo
cómic	kɑmik
córneo	koɾneu
da	dˈa
dabondo	dabonð̞ʊ
dado que	d̪að̞ok
dadín	ð̞að̞ĩŋ
dalgunha	ogumla
dalgunhas	oɣoːmis
dalgún	dɐlgun
dalgúns	alɣ̞uns
dalle	bɒdigit
damnificar	ð̞amnifikaɾ
danar	danaɾ
dani abalo	aːni awalo
danzarina	dˈanˈsˈaɾiŋa
danzarín	ð̞anθaɾjnɣ̞
daquel	ð̞akel
daquela	dakela
daquela embora traballaba, agora xa se retirou.	d̪akela emβ̞oɾɐ tɾaβaʎˈaβa aɣoɾɐ es ʃa ʃa ɾetiðow
daquelas	ð̞akeles
daqueles	d̪akelles
daqueloutra	akelowtɾa
daqueloutro	dakellʊtro
daqueloutros	ðakelowtros
daquilo	dakelo
dar	d̪aɾ
das	dˈas
data	d̪ad̪a
david costas	d̪aβ̞ið̞ kost̪as
de	d̪e
de abaixo	da β̞ajɣ̞s
de anzuelos	tʃi antualos
de aí que	de aj ke
de balde	de balð̞e
de camiño	d̪e kamjnʝo
de certo	dɛsɛrtɔ
de face	tʃi faszi
de golpe	d̪e gɔlpe
de longas terras, moito se mente	dɛ lɔŋgas teras mɔjto semente
de longas vías saen longas mentiras	dʒuon longas dias s̺aĩŋ longas mẽn̪t̪iɾas
de menos	dˈos mˈenos
de modo que	dɛ mɔðʊ k
de momento	de mʊmentʊ
de máis	d̪emajs
de par de	depaɾs d̪e
de pronto	de pranto
de propósito	d̪e pɾoposito
de repente	d̪e ɾepent̪i
de sobra	d̪e soβ̞ɾe
de socate	d̪e s̺o̞kat̪e
de socato	dɛsʊ̯katʊ
de súpeto	dɛ supətɔ
de todo	gʊtˈoɾ
de vello, gaiteiro	dɛ bɛʒʊ gɑitɛjɾʊ
de xeito que	ðe tʃejtʃo ke
debaixo	deβaʃʊ
debaixo da cinsa está a brasa escondida	to bajʃ anta tientsa stsotːa abɾatsːa ʃkondiˈben
debate	debat
deber	d̪eβ̞eɾ
debruzar	dˈebˈɾˈuθaʁ
debullar	d̪eβ̞uʝar
decano	dekano
decembro	dˈɛsemβro
decenio	dɛfɛnjʊ
decepción	dˌesθepθjˈon
decontado	dɛkɔntado
decontado que	dɛ kõntado ke
decontino	dˈoskˈontˈɪnʊ
decote	dekote
decotío	dekotio
deda	ð̞eð̞a
dedican	ð̞eɾikan
dedicábase	ðedikabase
dedo	d̪eð̞o
dedución	ðɾiθi̯oŋ
dedutivo	ðeð̞ukt̪iβ̞o
defectivo	ðefektjbo
defensa	defensˈa
deficiencia	dɛfisiˈɛnkja
deficiente	ðefikiente
definición	dˌefiniθjˈon
definiron	definiɾon
defunto	dˈosfˈunto
deica	dɛjkæ
deica pouco	dɨjka powkɔ
deica un pouco	ðek kɔmˈpoukʊ
deitarse	dejtaɾse
deixar	bejʃeɾ
del	dˈɛl
dela	tela
delas	ð̞e̞las
deles	delis
delicia	d̪elikia
delicuescencia	ðelikuesðensia
delicuescente	ðelikoestente
delincuencia	ðelimjŋsia
delincuente	dʎenkuente
delito	dɛljto
demasiada	demakiaða
demasiadas	d̪emakiað̞es
demasiado	demanθiado
demasiados	demanθiados
demo	demo
demorar	dˈosmoɾˈaɾ
dende	vende
dende que	ð̞ẽn̪t̪ d̪e k
dende que non vos vemos non nos coñecemos	dɛnde ke nˈo nˈos bˈemos i nˈo nˈos kˌoɲoθˈemos
dendroloxía	ðendroloskia
denomínase	ðenominase
densidade	emkiuðadɛm
dente	dente
dentes	dentɪs
dentes quitinosos	β̞ẽn̪t̪is kit̪t̪jnosos
dentro	dentro
depurador	d̪epuɾað̞oɾ
deputado	deputado
dereita	ðerei̯ta
derme	dermɛ
derradeiro	terabeiro
derredor	d̪eɾeð̞oɾ
derredor de	ð̞eɾeð̞oɾ d̪e
derriba	d̪eriβ̞a
derriba de	d̪e ɾiβ̞að̞
des	dˈɪs
des que	d̪es k
desa	dˈyʃa
desaparecida	d̪esapaɾeθið̞a
desaugadoiro	d̪esauɣ̞að̞oi̯ɾo
desbordamento	ð̞esβ̞ɾð̞ament̪
descendencia	ð̞est̪ẽn̪d̪ẽn̟θia
descender	ðɾˈɾf
descoñecida	deskʊɲeθidɐ
descrenza	dɛskɾemtsa
descrición	dˌeskɾisjˈo
descritivo	dɛskɾitjbo
descrito	deskɾitʊ
descritor	ð̞eskɾit̪oɾ
desde	ðɛstɪ
desde que	dˈes dˈos k
dese	dˈɛse
desecabo	dˈɛsɨkˈaβo
deseguida	deseɣ̞uid̪a
deseguido	dɛseɣiðɔ
desempregado	ðesempɾeɣado
desenvolvemento	dɛsenbolβemɛntʊ
deses	ðɪseɾs
desexo	dɛseʃʊ
deseño	dɛsɛnʲːa
desfacer	ð̞esfakɛr
desfeita	ðesfita
desgraza	dʝsgɾaθa
desiderátum	ð̞esið̞eɾat̪ũn
designar	dˈɛsiɣnˈaɾ
desinfección	ð̞ɪsinfektsioŋ
desinfectar	ð̞esĩŋfekt̪aɾ
desleixar	ðeslejʃar
deslucir	d̪esɫõθjɾ
desobediencia	ðeʃaβ̞eð̞ient̪sjã
desperdicio	ðespeɾðikio
despir	ð̞espiɾ
despois	d̪espõis
despois de	d̪espɔjs d̪e
despois de que	d̪espɔjs d̪e k
despois que	d̪espɔjs ke
desprezar	d̪espɾesaɾ
desprezo	despɾesʊ
desta	dˈɪstˈa
destas	distas
deste	dɛste
desterro	dɛstɛro
destes	ð̞est̪ɪs
destino	destˈino
destoutra	dɛstowtɾa
destrución	ðestɾwsioŋ
destrutor	ðestɾutɔɾ
detección	dˌeteθjˈon
detectar	d̪et̪ekt̪aɾ
determinada	d̪et̪eɾminað̞a
determinadas	d̪et̪eɾminað̞es
determinado	deteɾminado
determinados	ð̞et̪eɾminað̞os
detractor	t̪et̪ɾakt̪oɾ
detrás	dɛtɾaʃ
deus	dˈɛus
deusa	ð̞euθa
devagar	deβaɣaɾ
dez	dˈɛs
dezanove	ðesanoβe
dezanoveava	dɛsanɔbeava
dezanoveavo	tasanubiaːbo
dezao	desao
dezaoito	dˈɛsaˈoɪtʊ
dezaoitoava	tasalitʊaba
dezaoitoavo	daːsɐjtɔʋˈavʊ
dezaseis	d̪es̺as̻is
dezaseisava	dassassiisabo
dezaseisavo	ðesasejsavo
dezasete	d̪elsset̪e
dezaseteava	tasasetːɛaba
dezaseteavo	ðesaseteaβo
dezá	desa
deíctico	dˈˈeˈitːˈɪkˈo
diabete	ð̞iaβ̞et̪e
diafragma	ð̞iafɾaɣ̞ma
diagnose	ðiagnɔse
diagnosticar	ð̞iɐɣ̞nost̪jkaɾ
diagnóstico	d̪iɣ̞nst̪iko
diagrama de fluxo	ðɪaɣɾama dɛ fɾuθ
dialecto	dialekto
diamante	tiamante
diante	djente
diante de	diante d
diarrea	d̪iarea
diaño	djˈanˈɲˈo
dicción	diktsioŋ
dicible	disable
dicionario	ðiðiðaɾiʊ
dicir	ðəθɪr
dicterio	diktɛɾiʊ
didáctico	ðidkt̪ikõ
diferenciación	fˈilfˈˈanˈkˈtˈjˈɔnˈ
diferenciación celula	la seɣˈo sˈɛl
diferenciación celular	difeɾensiaθjõŋ s̺elulaɾ
diferenza	difeɾemsa
diferir	difeˈljɾ
diglosia	ð̞iɣ̞losia
dignar	dignˈaɾ
dignidade	digniðadɛ
digno	dˈignʊ
dilección	dilekθjõŋ
dilecto	dilekto
diluviano	ðiɾubiano
dinosaurios	d̪inosauɾjus
diocese	tioθesi
dirección	dˌiɾekθjˈon
directo	dʒoːˈtˈɔ
director	iːɾɛkːoːɾ
dirixir	ðiɾiːʃiːr
discapacidade	ðiskapakioðaðe
discente	distente
discernir	distɛrniɔ
disciplina	d̪iskiβ̞ljna
disco magnético	diskomoɾnetiko
disco magnético óptico	niʃkɔ magˈnɛtjkɔ ɔptikɔ
discordancia	ðiskoɾðantsia
discípulo	ð̞ʝzt̪ipulo
disfrazar	ðjsɾaθaɾ
diso	ðjsʊ
disolución	djsaluθi̯oŋ
dispoñible	dʒoŋgolj
dispoñíbel	dʒʊsia˥˥o
disque	ð̞iske
disquete	gizkɛttʃi
disqueteira	dʒkatɛiɾa
distancia	ðist̪ɐmθi̯a
distinto	distintɔ
disto	ðistʊ
distracción	ðistɾasioŋ
distribución	distɾiβukioŋ
distrito	distrito
ditado	lit̪að̞o
ditadura	d̪it̪að̞uɾa
ditame	ditami
ditar	d̪it̪aɾð̞
ditongar	ditõŋɣaɾ
ditongo	ditˈoŋgo
diversidade	numeɾoð̞eɾkjð̞ad̪e
divertir	ð̞iβ̞eɾt̪iɾ
diverxencia	ð̞jβ̞eɾzənkia
dividir	ð̞iβ̞jð̞iɾ
divino	divˈino
división	ðiɾjsioŋ
división celular	djβisioŋ θelulaɾ
divorcio	ðibɔɾsjʊ
dixerir	ð̞ikeɾiɾ
dixital	dʒʃʲitˈal
dixitalización	ðixitʃaɾliθɐsioŋ
dixitalizar	dʒʲitɾɑːlisɛrv
diáfano	ð̞iaθanõ
diáspora	jazpɔɾa
diátese	ðiat̪ese
diérese	ðiɛɾese
diñeiro	ilro
dióxenes	ðio̞sene
do	do
do lobo, un pelo	ðolˈoβo ˈun pˈelo
doade	doade
doado	doaːdo
doazón	dɔasɔm
dobrar	doβɾaɾ
dobre	dobre
dobre densidade	dɔbɾɛ dɛnsiðaðe
doce	dˈose
doceava	doθɛaba
doceavo	tˌulθɨˈavˌʊ
doenza	doemfã
doenzas	tɾoẽn̪t̪sas
dogma	doʁmɛ
dogmatismo	doɣ̞mat̪ismo
dogmático	doɣ̞mt̪iko
dolmen	dolmɛj
dolomita	dʊlomit̪ɐ
domingo	domˈiŋgo
domiz	domis
doncela	dɔnfɛlla
donelle	d̪õ̞neʝe
donicela	dɔnisɛlɐ
doniña	dɔniːɲɛ
donín	dˈoːnˈin
dormente	dormenti
dorna	d̪oɾna
dos	dˈias
dose	dˈose
dourada	dauɾað̞a
dous	dˈoːt
dous)	dˈos
douscentos	dossentos
doutor	ɔutɔr
doutoramento	dʊutɔramemtɔ
doutrina	dɔutrinɛ
doutro	ɾekɔɾtɔuɾtɔ
drogadicta	ð̞ɾoɣ̞að̞ikt̪a
duascentas	ð̞ãẽsθent̪es
duascentas veces	ð̞ãẽs θẽn̪t̪es β̞ekez
dubida	ðubiða
ductilidade	ð̞ukt̪ilið̞að̞e
ducto	duktɔ
dun	dum
dunha	duːmə
dunhas	duːnˈʒas
duns	dˈun̪s
duodécimo	dˈuodˈɛsimo
dupla	dupla
duplo	duplʊ
durante	duɾˈante
durmir	daˈɾˈmiɾ
durmir: bulir	duɾˈmjɾ
débeda	nebeðam
débil	dˈeːbi
décathlon	dˌekˈatˈlˌoːn
décima	dˈɛtsima
décimo	dˈɛsimo
décimo noveno	ðɛsimo nobeno
décimo oitavo	ðesimʊ ojtavo
décimo primeiro	dˈɛssimo pjmejro
décimo quinto	ðesimʊ kintʊ
décimo segundo	ðɛsimʊ seɣunðɔ
décimo sexto	ðeθimo seʃto
décimo sétimo	tɛ θɪmɔ zɛtɪmɔ
décimo terceiro	dɛssimʊ teɾθeɪɾʊ
décupla	dɛkupla
décuplo	dɛkwplɔ
díxito	dzʲistɨ
dúas	dˈias
dúctil	duktli
e	e
e iso que	ke es o k
e mais	numeɾo mez
e máis	t̪e es
eclecticismo	eklektisismo
eclipse	ekljpsi
ecléctico	eklɛktiko
eclíptica	ekliptika
ecoloxía	ekoloʃia
ecolóxico	ɛːkɔlɑːsiko
ecosistema	ecosist̪ema
ecuador	ˌekwaðˈoɾ
ecólogo	ekolo
edición	eðisioŋ
edicións do cumio	eðisioŋs ðʊ kɔm�βil
edificio	ˌeðifˈiθjo
editor de textos	eðitoɾ dɛ tɛkstɔs
eduardo pondal	eð̞uɐɾð̞ʊ põn̪d̪aʎ
educación	ˌeðukaθjˈon
eficacia	efikakia
eficiencia	efikiˈnkia
eficiente	esisjente
efluencia	flˈuˌenθja
egoísta	egoista
egua	ˈaɣwˌa
eido	ˈejdʊ
eira	eiɾa
eiravedra	t̪eiɾãβ̞eð̞ɾe
eirexa	ajidɛʃa
eirexe	ejɾeiʃe
eirixario	ˈeɪɹiʃˌaɾiː
eirixe	jɾiːʃe
eiriz	eglˈis
eirís	ˈeilˌif
eiva	ˈeɪvɚ
eivisa	ejbis̺a
eivisenco	ejβisjtʃɔŋgkɔ
eixo	ɛiʃʊ
el	ˈɛl
ela	ala
eladio	eladio
elas	eles
elección	ˌelekθjˈon
electricidade	elˌektɾikiðˈaðes
electricista	elɛktɾisjta
electrólise	elektrolisei
elegancia	ɛlɛɣãn̪t̪sia
elemento	elemˈɛnto
eles	ˈe̞lɪʃ
elipse	elipse
elixir	ˈœvʁiʃˈiʁ
elnosa	elnɔsa
elocuencia	elʊɣwensia
elocuente	elokwˈɛnte
eloi	t̪aloj
elviña	elbiɲo
elástico	elastiko
embaixada	ˌemβaʎˈaða
embaixo	emβaixʊ
embora	emboɾa
embrioloxía	embrijolosia
embrión	embɾion
eme	m
emigración	emɪħɾaθi̯oŋ
emigrar	emiɣraɾ
emitir	ɛmitiɾ
emoción	ˌemoθjˈon
empanada	empanadˌa
emporiso	empoɾisʊ
emprazar	empɾasˈaɾ
empregar	empɾeɣaɾ
emprego	empɾˈeɣo
empréstimo	emprestimo
en	en
en balde	embalβ̞e
en canto	enkˈanto
en diante	en diante
en favor de	em faboɾðe
en fronte	enfrˈɔntˈɛ
en fronte de	enfɾˈonte dˈos
en lugar de	el luɣˈaɾ de
en par de	empˈaɾ dˈe
en tanto	en tˈanto
en tempo	en t̪empʊ
en todas partes hai un anaco de mal camiño.	em tˈodas partes ɐɪ ʊn anˈako do mˈal ganˈiɲɐ
en troques	em tɾɔkes
en troques de	tʃinio trokes d
en vez de	en bˈeθ dˈos
encarnado	dʒoɾnaɾo
ence	ensi
encefalite	esefalite
encerado	teŋfeɾado
encetar	elsetˈaɾ
encima	enkima
encima de	enzˈima de
encol	enkol
encol de	ẽn kol dˈe
encomenda	ẽn̟θomẽn̪d̪a
encono	enkoˈdo
encoro	enkolɔ
encrucillada	enkɾuθiʎadɐ
encubrir	enkwβ̞ɾiɾ
encéfalo	ensˈefalo
enderezo	emð̞eɾefo
endexamais	emdɛsamajs
endocardite	ẽnð̞okuaɾð̞it̪e
enfermaría	emfeɾmaɾia
enfermidade	emfɛɾmiðaðe
enfesta	enfɛsta
engadir	ɣ̞að̞iɾ
engado	enɣaðɔ
engorde	enˈgɔrˈði
enguedellar	ĩnɣ̞eð̞eʝar
engulir	enɣulið
enquisa	ẽnkisa
enriba	enrjˈbɑ
enriba de	enriβ̞a d̪e
enseguida	enseɣ̞ið̞a
ensinanza	elsĩn̪ẽnfe
ensinar	ensinaɾ
ensino	en
enterite	enteɾite
entidade	elðiðe
enton...arroz con feixon	pɾɛnðoɾ arɾast kon fejsõŋ
entra	ˈɛntɾɐ
entrambas	entɾɑmbas
entrambos	entɾambɔs
entrambosríos	entɾambosrios
entre	entre
entre dúas duras, unha madura.	ˌentɹɨ dˈoɐs dˈuɾas ˈunha mˌaðˈuɾɐ
entre tanto	ˌentɹɨ tˈɐ̃ŋtw
entrelucir	entɾɪlʊsioŋ
entrementres	entrɛmentris
entrerríos	entɾeɾios
entroido	emt̪ɾʊiðɔ
entón	enton
enxebre	enʃebri
enxerir	enʃeɾiɾ
enxertos	eiʃɾtʊs
enxeñaría	eszeɲaɾia
enxeñería de programación	eŋʃeɲeɾia dɛ pɾɔɣɾamaθjoŋ
enxoito	insɔjto
eo	tɨ
epidemia	epid̪mjɐ
epidemioloxía	epið̞emjoloɣ̞ia
epiderme	epiðe̞rme
epiléptico	epilɛptiko
epiro	zbʊrostˈatosʊˌɔibambˈinipˈikːolɪ
epíploon	epipˈlon
equinoccial	ekĩŋoʃt̪s̺i̯al
equinoccio	ekinoksio
equiseto	ekiseto
era	eʎɛ
eran	peɾen
ergueito	erɣˈˌeitˈo
erguer	elɣ̞eɾ
erguerse	elveɾse
erixir	ɾʃ
ermida	eɾmiða
ermide	ernive
ermitá	æɾmjtaː
ermitán	ɛrmitan
erosión	ɾʊsioŋ
erro	ˈeɾɾo
erróneo	erɾˈoɲio
erupción	elupθion
eruptivo	eɾaektibo
ervella	eɾβ̞ella
esa	es̺ɐ
esas	esas
esaxeración	es̺as̻eɾakjoŋ
esaxerar	essaːsjeɾaɾ
esaxero	esaʃero
escachar	eskat̪s̻aɾ
escacho	eskatʃo
escamas	eskamas
escanlar	eskanlaɾ
escarapote	eskað̞apot̪t̪e
escarlata	eskaɾlat̪a
escarlatina	eskaɾlatʝa
escava	eskabã
escavación	eskaβaθioŋ
escavadora	eskaβ̞að̞oɾa
escavar	biskaβ̞
escenario	estˈenˈariˌo
escenografía	est̪ẽn̪oɣ̞ɾafia
escepticismo	estɛptisistmo
escindir	eʃtjnðiðo
escintilar	elsintjlaɾ
esciúrido	estiurigo
esclerose	espleɾosi
escoitar	eskoit̪aɾ
escola	eskola
escolla	miskoja
escolma	eskolma
escornabois	koɾnaβ̞ois
escorpión	eskɔɾpjõŋ
escourido	eskɔuɾiðɔ
escravitude	eskɾaβit̪uðe
escravo	eskɾaβo
escribente	eskɾiβemte
escribir	eskɾiβ̞iɾ
escribá	eskɾiβaɾ
escribán	eskɾiβan
escrito	eskɾitʊ
escritor	eskɾitɔɾ
escritorio	esklitorio
escritura	eskɾitˈuɾa
escrúpulo	eskɾupulo
escuadra	eskwað̞ɾa
esculcar	eskulkaɾ
escultor	eskultoɾ
escultura	eskult̪uɾa
escuro	eskʊɾɔ
escutare	eskwtaɾi
escutiar	eskwt̪jaɾ
escándalo	eskanð̞alo
ese	ˈese
ese eses	ˈɛsse ˈeʃis
eses	esis
esexético	ɛsʃaʃɛtːiko
esfínter	esfintiɾ
esgazar	esɣ̞assaɾ
esixencia	esiksemfia
esixente	essisente
esixir	esistir
esluír	esluɾi
esmagar	esmaɣ̞aɾ
esmeralda	esmeɾaʝa
esmola	esmola
esmorecer	kemõɾeθeɾ
esmorga	esmoɾɣ̞a
esmoriz	esmoɾiθ
esmorís	esmoɾiz
esnaquizar	esnakiθaɾ
esoutra	esˈotɾa
esoutras	esal̪t̪ɾes
esoutro	esˈotɾo
esoutros	esʊltros
espaciador	espakioðoɾ
espadarte	spað̞aɾt̪
espadín	zpað̞ĩŋ
espallar	espaʝaɾ
espantallo	espantaʒʊ
espariz	esopaɾes
espazar	espãsˈaɾ
espazo	espasʊ
espazo xeográfico	espiθɔ kɛʊɣɾafiko
espazoso	espat̪osʊ
españa	propononespaiɲoa
especialmente	espeθjalment̪e
especie	espie
especies vexetais	la spet̪is β̞eɣ̞sellaɾes
espectroscopia	espekt̪ɾoskpia
espeleoloxía	espeleoloɣ̞ia
espelir	ɛspɛliɾ
esperante	esperante
espertar	espeɾð̞aɾ
espir	espiɾ
espiración pulmonar	ˌespiɾakjˈon pulmonˈaɾ
espiral maior	espiɾal majɔɾ
espiñeira	espiɲejɾa
espiñeiro	ɛspjnjɛjro
espiñeiros	espiɲeiros
espiño	kɛsˈtiɲi
esplendorosa	eflɛndɔɔsa
espontánea	espontnɛa
espontáneo	espontnjo
