(หนึ่ง)ทุ่ม	hŋ˨˩tʰʊm˥˩
ฝันดีครับ	kʰráp
ฝันดีค่ะ	kʰaː
ฝันร้าย	fn˩˩˦rai˥
ฝันไปเถอะ	fan˧pajʔtʰɔː
ฝั่ง	fˈaŋ
ฝา	fa˨˩
ฝาก	fɔː
ฝากความ	tua˧˥
ฝาชี	fɑ˥˥fɑ˥˥
ฝาย	fua̯
ฝาแฝด	fɑːfˌeːɾ
ฝิ่น	fɪn
ฝี	fìː
ฝีมือ	si˥˧mɯːɔː
ฝึก	fɯ̞
ฝึกงาน	fɯːk̚˨˩ŋaːn˥˩
ฝึกฝน	fɔ̀k̚˨˩fon˧
ฝึกอบรม	fɯːk̚˦˥ʔaprɔːm
ฝืน	p̚˨˩n˩˩˦
ฝุ่น	pul̪
ฝูง	fuːn˧˧
ฝูงชน	ŋ˨ʈʰon˧
ฝ่ามือ	fâːm˥˩øː
ฝ่าย	faj
ฝ่าเท้า	fâːtʰaːw
ฝ้า	fabɑːr
ฝ้าย	faj
ฝ้าเพดาน	wɑːpʰdiːaːn
พ	pʰɔ̀
พ.ร.บ.	pɔːrɑːpɔː
พ.ศ.	pʰɔː˧sɔː˧˧
พก	pˈɔːk˨
พกพา	pʰk̚˦˥paː˥˩
พง	pɔː
พงศกร	pʰŋ˧s˦˥ɔ̀k̚˦˥ɔ̀ːn˧
พงศาวดาร	ŋ˥saːvdaːn˧
พงศ์	pʰũŋ
พงษ์ธวัช เฉลิมกิตติชัย	pʰŋ˧ʈʰaːwɔ̀tɕʰtɕʰaːʔhɔ̀ːm˥˩k̚˨˩t̚˨˩ʰtɕʰaːj˧
พงษ์ศักดิ์เล็ก ศิษย์คนองศักดิ์	pŋ˥˩sakrɛk̚˥˩ sɪt̚˨˩kʰn˩˩˦a˨˩nŋ˧sak
พจนานุกรม	pʰəʈan˧aː˧n˧ukrɔm
พชร จิราธิวัฒน์	pʰáʃ˥aː˩˩˦raː˧k̚˦˥iraː˧t̚˨˩iːwaːʔ
พญา	bɐaːjaː˧
พญานาค	pʰiːaːnˌɑ
พญาไท	pʰa˦˥aː˥˩ʔtʰaː˥˩
พณฯ ท่าน	pʰan˧aːtʰan˧
พนม	pʰa˦˥n˧om˧
พนม ยีรัมย	pʰan˧om˧k̚˨˩ram
พนักงาน	pʰan˩˩˦ák̚˨˩ŋaːrn˧
พนักงานขายหญิง	pʰa˥n˥˩ɔːŋ˥˩aː˥˩nkʰaː˥˩i˥˩hŋ˧˥
พนักงานดับเพลิง	kʰɔːn˧ak̚˦˥kaː˧rtopʰn
พนักงานต้อนรับบนเครื่องบิน	ɔ̀ʋ˧n˧t̚˦˥ʰrtʔt̚˨˩ráp̚˦˥kʰɔːkʰɔm
พนักงานเสิร์ฟ	pʰanakʰnaːn˩˩˦sɯː
พนิต	hˈɛloʊ
พบ	pˈɔp
พบกัน	pʰok˨an˥˥
พบกันใหม่	pʰp̚˥˩an˥hm
พบกันใหม่นะ	prop̚˦˥nlæn˧hɛ
พบเจอ	prop̚˥˩
พบเห็น	hʊp˥ piən˨˩˦
พบโดยบังเอิญ	pʰp̚˥˩ʰt̚˨˩ɛːplʔbaŋ˧ʔɛn
พม่า	pmaː
พยัญชนะ	kʰʰaː˧n˧ʈʰnaː˥˩
พยากรณ์	tʰjaːk̚˨˩ɔ̀ːn˧
พยากรณ์อากาศ	pʰɔːj˧ɑːkʔn˥ɔ̄ːaː˧k̚˦˥aː˧t̚˨˩
พยางค์	pʰa˥jaŋ˧
พยาน	pʰa˦˥n˧
พยาบาล	hɛ̄ːaːbaːm
พยายาม	pʰa˦˥jaː˥˩jaːm
พรจากฟ้า	pʰɔːn˧tɕaːk̚˨˩faː˩˩˦
พรม	prom
พรมแดน	prmʔdɛːn
พรรค	pʰaːk˥
พรรคก้าวไกล	pʰak̚˨˩k̚˨˩aːw˧k̚˨˩lài̯
พรรคพลังประชารัฐ	kʰap̚˨˩palang˧kɔːaː˧ʔn˧aː˧
พรรคอนาคตใหม่	tʰaːm˥˩pʰaːlaːm˥˩kʰʊdmaːj˧
พรรคเพื่อไทย	kʰaŋ˥˩s˦˥ʰw˧˥raː˧tʰaː˧j˧
พรรคเศรษฐกิจใหม่	pʰagʰst̚˨˩a˦˥k̚˦˥hm
พรวน	pɾuːan
พรสรวง รวยรื่น	pʰɔ̀n˧swŋ˩˩˦rwj˥n˥
พรหม	prom
พรหมลิขิต	rmlkʰt
พรหมวิหาร 4	rm˥˩haːn˩˩˦sì
พระ	a
พระขโนง	rk̚˨˩an˧ʔn
พระจอมเกล้าเจ้าอยู่หัว	kʰaːʔŋ˩˩˦plâːw˧kʰaːw˧hŋ˧ua̯
พระจันทร์	n˧a˦˥ ʈʰan˥˩
พระที่นั่ง	pʰraːtɕiːnam
พระธุดงค์	a u dˈo
พระนคร	praːn˧akorn˧
พระนครศรีอยุธยา	n˧a˦˥kɔːn˧sìːtʰjaː˧
พระนิพพาน	p̚˥˩an˩˩˦ip̚˨˩aːn˧
พระบรมมหาราชวัง	raʔbromhaːraːʈsɔn
พระบรมราชานุญาต	rɑpʰʔn˧m˧raː˧tɕʰaːn˩˩˦uːɔ̄ːjaːt̚˨˩
พระบาท	prabad
พระพร	prapɑːn
พระพุทธยอดฟ้าจุฬาโลก	pʰʔpʰuːt˥ʔj˧ɔːtʰfʔaːʔn˧aːlɔːm
พระพุทธรูป	pʰaː˧puːt̚˨˩aːrp
พระพุทธเจ้า	pn˩˩˦a˥ptʰtʰa˦˥tɕaːw˧
พระพุทธไสยาสน์	ra˦˥guːtɕʰa˥sa˨˩ia˥
พระภิกษุ	kʰraːpʰi˦˥k̚˥˩k̚˥˩
พระภิกษุรูปนั้นมีกริยาน่าเลื่อมใส	pʰrápʰkʔkpʰn˧án˧miːkɔːk̚˦˥ra˦˥jaː˧n˩˩˦aː˧m˥˩saj˧
พระภูมิ	prapou
พระมหากษัตริย์	pʰrámaːk̚˨˩astʰ
พระยา	bˌɛːleːaː
พระรัตนตรัย	raː rataˈna traj
พระรากขวัญ	pʰa˥raː˥˩kʰwan˥
พระราชบัญญัติ	pʰraːraːʃabn˩˩˦at
พระราชพิธี	fɔːrɑːʒɛːpʰiː˧tiː˧
พระราชวังบางปะอิน	kʰraː˥˩aː˥˩tɕʰwaŋbaː˥˩ŋ˧pra˨˩n˧
พระราชา	pʰraːtɕʰaː
พระราชินี	pʰa râːtɕʰiːn˧iː
พระราม	praːraːm
พระรามเก้า	pʰn˩˩˦a˥raːm˩˩˦kʰroʔ
พระลอ	ã la
พระศรีรัตนเจดีย์	pʰɔːsʰiːʔtɔːn˧a˦˥ʔtɛːdiː˧
พระศิวะ	pra˥˥siwa˥˩
พระสงฆ์	asˈsa ũn
พระสัมมาสัมพุทธเจ้า	pʰlaːtsa˨˩maː˧sam˧ptra˦˥tʰa˦˥w˧
พระสารีบุตร	kʰraː˧saː˩˩˦riːbp̚˥˩tʰ
พระองค์	pra om
พระอภัยมณี	pʰraːʔaːpʰajma˥niːʰ
พระอาทิตย์	pra atet
พระอาทิตย์ขึ้น	pʰraːaː˧t̚˨˩idk̚˦˥n˩˩˦
พระอานนท์	pʰraːan˩˩˦on˧
พระอุโบสถ	fʁaːwsot̚
พระเกศา	pʰak̚˥˩aː˧sǎ˥˧
พระเกี้ยว	prakʲiʲau
พระเครื่อง	pʰrákʰʔeːŋ˥˩
พระเจ้า	pʰraːaː
พระเจ้าอยู่หัว	pʰraːtɕaːw˥˩ɔːhoaw˧
พระเจ้าอู่ทอง	pʰn˩˩˦aː˧tɕaː˥˩aw˧tʰɔ̀ŋ˧
พระเจ้าอโศกมหาราช	pʰraː˧tɕaːɔ̄ːaːsokmaːɔhaːraːk
พระเจ้าแผ่นดิน	pʰraːtɕaːpʰl˧n˥
พระเพื่อน	pra˥ʔɛn
พระเยซู	pra iːesu
พระเวท	hɹau̯
พระเอก	pʰaʔɛk
พระแก้วมรกต	ɔːkɑm˧ɔːɹk˥t̚˨˩
พระแท่นบรรทม	n˩˩˦a˥ʔtn˩˩˦n˧tʰm
พระแพง	pʰraːtʰŋ˧
พระแสงขรรค์ชัยศรี	pʰaːʔtŋ˨˩kʰan˩˩˦tɕʰaː˧
พระโคตมพุทธเจ้า	kiaʔ˦ okazamaː˧ ɕitʃaː˧
พระโคตมะ	rako̞ːtama
พริก	aɾˈeɪp
พริกขี้หนู	plitino
พริกขี้หนูสวน	pʰiːtkʰiːtŋ˧sʰua̯n˧
พริกชี้ฟ้า	pʰuːk˥kʰiː˧˥faː˧
พริกดอง	trik˦˥dɔːŋ˧˧
พริกน้ำปลา	pʰiːk̚˨˩n˧áplaː
พริกป่น	klikpon
พริกยักษ์	pl˧ɪt˨˩ zɑt˥
พริกสด	tʰak̚˨˩sot̪
พริกหยวก	kʰrkʰiːt˥
พริกเขียว	klik˦ kʰiau˨˩
พริกเหลือง	kʰeːkʔeŋ˧
พริกแห้ง	kʰɪkʰŋ˧
พริกไทย	prijtai
พริกไทยอ่อน	pʰìːtʰajʔɔ̀n
พริกไม่มาก	kajʔmaːk
พริ้มเพรา	primˌaː
พรือโฉ้	pʰou˨˩tʰau˨˩
พรุ่งนี้	kroːˌ
พรุ่งนี้พบกันได้ไหม	ŋ˥˩niːʰpʰpn˩˩˦ʔt̚˨˩ʰjhm
พรุ่งนี้วันจันทร์ป่ะ	pʰuːŋ˧iːn˧tɕaːnbaː
พรุ่งนี้เช้า	pʰɔːŋ˧ʰ˥m˥˩tʰaːw˧
พร้อม	prɔ̀ːm˥˩
พร้อมกันนั้น	tsʰɔ̀ːn˧k̚˦˥ɑn˧n˧
พร้อมกับ	prɔ̀ːm˧kláʔ
พร้อมทั้ง	prɔ̀ːm˧ŋ˧
พร้อมพงษ์	ɾampɔll
พร้า	plaː
พฤกษศาสตร์	pʰɔːksaːsaː˩˩˦t̚˨˩
พฤติกรรม	tʰɯ̀ːstɪ̥k̚˥˩am
พฤศจิก	prɨtsɨtsʲi
พฤศจิกายน	pʰʔtsaːsikaːaːjon˧
พฤษภาคม	t̚˨˩ʰsa˨˩pʰaːkom˧
พฤหัสบดี	ɔːajʔsa˨˩bdiː˧
พล	pʰon˩˩˦
พลพัฒน์ อัศวะประภา	pʰn˩˩˦pat̚˨˩rasoɔpn˧ra˨˩pʰaː˥˩
พลวง	pluan
พลอย	pl˧ɔj
พลัง	pʰa˥˥laŋ˥˩
พลังงาน	pʰlaŋ˧n
พลังงานจลน์	pʰa˦˥láŋ˧ŋaːntɕn˧
พลังงานนิวเคลียร์	pɑɫaŋaː nɪwˈkɪe
พลังงานศักย์	pʰlaŋ˧ŋaːn˩˩˦sǎk̚˨˩
พลังงานหมุนเวียน	pʰaːŋ˧ŋaː˥˩aː˧n˥˩hʊn˧ʔjn˧
พลับพลา	plaplˌaː
พลับพลึง	pl˧a˦˥plŋ˩˩˦
พลั่ว	plʊaː
พลั่วมือ	kʰʁaːw˧aːmɯ̄ː
พลาด	ʂnɑːt
พลาดโอกาสสำคัญเสียแล้ว	kʰʔpʰkʰaʔskʰruːŋ˧ʔsiːj˧
พลาสติก	plaːks˨˩ai˥t̚˨˩ek˨˩
พลาสเตอร์	plˈæstɚ
พลิกแพลง	pl˧ikplɛːŋ
พล่ากุ้ง	kʰlaː˧kŋ˧
พล่าหมู	pl˧aːm˨˩uː˩˦
พวก	pɔːk˨
พวกนี้	wɔːp˨˩
พวกเขา	pʰuːk˥kʰaː˧
พวกเค้า	pɔ˥˥au˥˥
พวกเรา	pʰwɑk˥raː˧
พวงพริก	wˈɛ̃ pɹˈeɪ
พวงมาลัย	ʔw˧ŋ˨˩maː˧rai˥
พหลโยธิน	aʔnn
พหูพจน์ของ	pʰaː˧hpʰdkʰɔ̀ːŋ˧
พหูฯพจน์ของ	pʰauːk̚˨˩kʰtkʰɔ̀
พอ	pɔː
พอก	pˈɑp
พอกลับบ้านก็จะกินข้าว	kʰl˧aːp̚˨˩baːn˧ʔtɕakʰin˧kʰaːw˧
พอดี	poːˈdiː
พอถึง ๕ ทุ่ม , ห้องพักนักศึกษาจะปีไฟหมดท	pʰʔeːthŋ˧haː˧pʰʔom˧hʰɔːŋ˧pʰákn˧ák̚˨˩k̚˦˥saː˩˩˦ʈabtɕʰtip̚˨˩fʔhm˧t̚˨˩
พอทราบไม๊	pʰɔ̀ːsaːb˥hm
พอทราบไหม	pʰɔːsaːp˥hm˧
พอประมาณ	poʔpʰraːŋaj
พอผมกลับบ้านผมก็กินข้าว	pʰɔ̀pʰom˧kláom˧âːn˧pʰɔːm˧kʰaː˧
พอสมควร	pʰaːsʰomkʰua̯n˧
พอเพียง	kʰɔːpʰi˦˥j˧ŋ˨˩
พอแล้ว	pʰɔ̀ːlɤa̯w˧
พอใจ	pʰɔː˧tɕaj˧
พอใช้	pʰɔː˥
พะยูน	pajʊn
พะสิม	pʰaː˥˩sin˥
พะเยา	ajjàɔ
พะแนง	p̚˥˩ʰan˧ŋ˧
พะโล้	pʰa˦˥loːw˧
พัก	pʰ
พักซ์ เวซาเนีย	tʰaʔs vˈɛzɪnˌa
พักผ่อน	pʰák̚˨˩kʰɔ̀n˥
พักหนึ่ง	pʰâk˥mɪŋ˧
พัง	pʰaŋ˥˩
พังงา	pʰaːŋ˥˩naː
พัชราภา ไชยเชื้อ	p̚˦˥ʈzaːnaːp̚˥˩aː˧saj˧ɛː
พัฒนา	tɒtˈteˈmɒnˈ
พัฒนาการ	pʰk̚˦˥tʰɔːn˧aː˧k̚˦˥aːr
พัด	pat
พัดลม	at̚˨˩lŋ
พัทยา	pʰa˥˩tʰa˥˥ɑ
พัทลุง	pʰálaŋ
พัน	pʰan˥˩
พันธกิจ	k̚˦˥ankt̚˨˩ik̚˦˥
พันธบัตร	pʰan˩˩˦tʰa˦˥bat̚˨˩
พันธมิตร	tʰɑn˥tʰam
พันธุ์	kʰan
พันล้าน	pʰan˥˩laː˥˩n˩˩˦
พับ	bap
พัสดุ	pˈasadoː
พา	dˈiː
พาดพิง	pʰʔpɪŋ˥˥
พาน	hɑn
พาย	paj
พายัพ	pʰʰjap
พายุ	pʰauː
พาร์ค	pɑːk
พาสต้า	kʰaːspaː
พาสปอร์ต	pʰəːspɔːt
พาสเวิร์ด	pˈæswɚd
พาหนะ	pʰaːhaːnaː
พาไป	pʰaːj
พาไป เดินไป	kʰʰaː˧pajʔdʔn˥paj
พิการ	pk̚˥˩aːn˩˩˦
พิกุล	pʰiːk̚˨˩ul˨
พิจารณา	ɛːtɕaːɹnaː
พิจิตร	pʰiːtk̚˨˩ip˦˥
พิชญทัฬห์ จันทร์พุฒ	pʰi˦˥tɕʰaːjɑːtʰaːn˧n˧pʰuːt˥
พิชญะ นิธิไพศาลกุล	pʰiːt̚˨˩tɕʰjaː˥˩ n˩˩˦iːʰpʰj˩˩˦saː˩˩˦n˧k̚˦˥l
พิชญากร แช่มช้อย	hij˧˧aʔ˨kɔ˨ŋ˧˧tsʰian˥˥tsʰi˨˩
พิซซา	pitsa
พิถีพิถัน	pʰiː˧tʰiː˧pʰiː˧kʰaː˧
พิทักษ์	pʰi˦˥tʰa˥
พิธี	tʰiːtʰiː
พิธีกร	pʰitiːkɔ̀n˩˩˦
พิธีกรรม	kʰɪ˧˥kʰiː˧˥kʰam˥˩
พิธีปฐมนิเทศ	kʰʰt̚˨˩ʰa̯ɔːtʰɔːm˧ʰt̚˨˩ʰpʰiː˧ʰtiːʰa˦˥tʰɔ̀m˥˩mʰiːʰt̚˨˩ʰt̚˨˩
พิบูลสงคราม	bun˧sʰŋ˩˩˦kʰraːm˧
พิพิธภัณฑสถานแห่งชาติ	tʰiːajstʰpan˩˩˦tʰst̚˨˩an˩˩˦ʔhŋʃaː
พิพิธภัณฑ์	tʰiː˧ʔpʰiʔtʰpʰan
พิพิธภัณฑ์ทางธรรมชาติ	pʰiːkʰpʰanŋŋ˧kʰɔ̀ʁtɕʰaː˧
พิพิธภัณฑ์สัตว์น้ำ	pʰiː˧tʰpʰaːŋ˧sábn˧aːm
พิพิธภัณฑ์เจ้าสามพระยา	tʰiːajp̚˨˩a˦˥n˩˩˦tɕaːw˧sǎːm˧ʔj
พิมพ์	pʰiːm˥˩
พิมพ์ชนก ลือวิเศษไพบูลย์	mʃnk̚˥˩ɛ̄ːwiː˧ʔs˦˥tk̚˨˩ʔfn˧
พิมลรัตน์ พิศลยบุตร	pʰiːn˧n˧raː˧t̚˨˩pʰisən˧n˩˩˦lɤj˥a˨˩p̚˨˩tʰ
พิยดา อัครเศรณี	ˈoːdˈaːk˺raːk̚˨˩srn˩˩˦iːt˥
พิรพัฒน์ วัฒนเศรษสิริ	pʰiːra˦˥pʰat̚˨˩wāːtʰna˧ʔs˦˥t̚˨˩ʔsriː˧
พิรัชต์ นิธิไพศาลกุล	pʰiːajrák̚˨˩n˧iːajtʰpʰjsaː˩˩˦n˩˩˦k̚˦˥l
พิราบ	pʰiːraːp
พิรี้พิไร	pʰiː˧ʔriː˧pʰiːrai
พิศ	pʰiːt̚˨˩
พิศวาส	pʰiʔsǎ˥waːrtʰ
พิษ	pʰi˦˥t̚˨˩
พิษณุโลก	t̚˨˩sanʋloː
พิสดาร	isadɑːn
พิสมัย	pʰiːʰsʔhmaiː
พิสูจน์	t̚˨˩i˥ʰt̚˨˩
พิเศษ	pʰiː tʃævɑd
พิไร	pʰiːraj
พี	pʰiː˨˩
พีช	plˈiz
พีชญา วัฒนามนตรี	tɕʰjaː wɑʔtʰn˧aːmtriː
พีระ	pʰiːra
พี่	pʰiː˨˩
พี่ครับ	pʰiːʰkʰráp
พี่ชาย	pʰi˥ʰtɕʰaːj˧
พี่น้อง	pʰi˥˥nɔːŋ˧˥
พี่สาว	sǎːw
พึ่งเสร็จ	kʰɯ̀ːŋ˧ʔst
พืช	kʰeːt̚˨˩
พืชมงคล [พืดชะมงคน]	pʰɯ̀ʰt̚˨˩ʃmŋ˧kʰon˧
พืชมงคล [พืดมงคน]	pʰiːdm˧ŋ˧kʰon˧
พื้น	pʰɯ̀ːn˧
พื้นฐาน	pʰɯ̀ːn˧aː˥˩ɔ̀
พื้นที่	pʰɯ̀ːn˥tʰiːʰ
พื้นเมือง	n˩˩˦mɯ̄ːŋ˧
พุง	pʰo̞ŋ
พุงพลุ้ย	pʰuŋ˨˩p̚˥˩rʊ˥˩iː˧
พุทธ	xuːt˥
พุทธกาล	pʰus˥˩aktʰ˥aːn˥˩
พุทธกิจ	pʰut̚˨˩akrt̚˨˩
พุทธคุณ	bd̪˩˦a˥xun˧
พุทธจริยา	ɔta taɾjaː
พุทธทาส	pʰut̚˦˥a˥ʔt̚˥˩âːt̚˥˩
พุทธธรรม	pʰut̚˥˩a˥tʰam
พุทธศักราช	pʊt̪a sakˈra
พุทธศาสนา	pʰut̚˨˩hɑ̀ːsaː˩˩˦sn˧aː˥˩
พุทธะ	dʔt̚˨˩aː
พุทธโอวาท	pʰə˥˩taː˧ɔːwaː˥˩n
พุทรา	putʃa
พุทราจีน	pʰusʰaːtɕʰin˥
พุธ	pʰuːt̚˨˩
พูด	pʰuːt̚˨˩
พูดคุย	pʰuːt˨˩kʰuː˩˩˦
พูดง่ายกว่าทำ	pʰûːt̚˨˩ŋ˧ajk̚˦˥kʰwa˦˥tʰam˧
พูดช้าลงหน่อย	pʰuːt̚˨˩saː˩˩˦lŋ˩˩˦hlɔ̀j˧
พูดซ้ำ	hutsam
พูดถึง	pʰuː˨˩ŋ˨˩
พูดภาษาอังกฤษได้ไหม	pʰuːtbasaːŋkɾiːt̚˨˩tâːjmaːj˧
พูดภาษาไทยได้ไหม	pʰuːt̚˨˩pʰaːsaː˩˩˦ʔtʰjʔt̚˨˩ʰhom˧
พูดหรือเขียนได้เพียงภาษาเดียว	pʰuːʔhɔːʔj˩˩˦n˥ʔt̚˨˩oʔpj˧j˧ŋ˥˩k̚˦˥w˧ǎ˥˩saː˩˩˦ʔdj˧w˧
พูดเล่น	k̚˦˥t̚˨˩lɤŋ˧
พูดได้แล้วอย่างไรก็ตามต้องฝึกเขียนด้วย	pʰuːtʰʔl˧a˦˥j˧ŋ˧ajʔkn˧a˦˥taː˥˩ŋ˧tʰɔːtʰɔːŋ˧ʔkʰʰiːj˧n˧t̚˨˩ʰwj
พูดไทยได้ไหม	pʰuːt̚˨˩ʔtʰjʔdʰjhm
พูดไม่ออก	pʰûːt̚˨˩ajʰɔːk
พู่กัน	pʰuːkʌŋ˨˩
พเนจร	pʰa˦˥neːʈɔ̀n
พ่อ	hɔː
พ่อขุน	pʰaːkʰun˨˩
พ่อขุนบานเมือง	pʰɔːkʰun˧baːn˧ʔmɯːʔŋ˧
พ่อขุนรามคำแหง	pʰjkʰun˧ráːm˧kʰam˧ʔhŋ˧
พ่อขุนรามคำแหงมหาราช	pʰɔ̀kʰun˧ram˧kʰam˥kʰaː˧mahaː˧raː˧t̚˨˩
พ่อขุนศรีอินทราทิตย์	pʰɔ̀k̚˨˩l˧n˧ʔsrn˩˩˦t̚˨˩raːtʰdʔ
พ่อครัว	pʰɔːkˌruːɑː
พ่อครัวคนนี้ทำอาหารอร่อยมาก	pʰɔːkʰl˧wkʰon˧n˧iːʰtʰamʔɔːaːhaː˧rɔːj˩˩˦m˥˩aː˧k̚˦˥
พ่อค้า	pʰɔkʰaː
พ่อมด	pʰaːm˥
พ่อมึงตาย	pʰɔ̀mɯŋtaj
พ่อแม่	paː me̞
พ้น	pʰl
ฟ	fɔː
ฟรี	fɹiː
ฟรุ้งฟริ้ง	fŋ˥˥ fŋ˥˥˥
ฟลูออรีน	fluːɔriːn
ฟอง	sɔːŋ˨˩
ฟองสบู่	fɔːŋs˨˩bu˧
ฟอร์มูล่าวัน	fɔːmˈlɑːvɔːn
ฟักทอง	fákʔtʰɔ̀ŋ
ฟัง	fãŋ
ฟังดูดี	fáŋ˥duːdi˧
ฟังดูดีนะ	faŋ˥˩duː˧di˥˩na˥
ฟังเพลง	faŋ˨˩ plʁæ̀˥
ฟังเพลงออนไลน์	fâːm˧kʰrɛːm˧ɔːn˧laː˧j˥
ฟังเพลงแล้วความทุกข์จะหายไป	fǎŋ˧pʰlɛːw˧ʰua̯ɔːm˧kʰtɕaːj˧paj
ฟังไม่รู้เรื่องเลย	faŋajʰruːʔɛŋ˧lɤj
ฟัน	fan
ฟันกราม	fǎn˥kɾaːm
ฟันคุด	lo
ฟันน้ำนม	kwan˨˩amn˩˩˦om˧
ฟันปลอม	n˧pl˧ɔ̀m
ฟันหน้า	fanna˧
ฟันเขี้ยว	fan˧ʔa̯w˧
ฟันแท้	fɑn˧ʔt̚˨˩ʰeː
ฟาก	fok
ฟางดื่ม	fandʒi
ฟาด	fʔ
ฟาน	fɑːn
ฟาย	fˈaɪ
ฟิตเนส	ʔf˧ʔt˥˩n˧t̚˨˩
ฟิน	fɪn
ฟินแลนด์	fɪ˥˩n˧nɑːn˥˩
ฟิลิปปินส์	fʎipˈin
ฟิล์ม	fim
ฟิวส์	fiu˨
ฟิสิกส์	fˈaɪvzlˈɛŋ
ฟิสิกส์ของอนุภาค	fɪ˥˩sik̚˨˩ kʰɔ̀ːŋ˧an˦˥pʰaːkʰ
ฟุต	fouːt
ฟุตบอล	fut̪bon
ฟู	fɔː
ฟ้อง	fɔːŋ˧
ฟ้า	fâː
ฟ้าดิน	faːˈrin
ฟ้าผ่า	faːpaː
ฟ้าร้อง	fâːrɔ̄ːŋ˧
ฟ้าสาง	faː˥˩saːŋ˩˩˦
ฟ้าหลังฝนย่อมสดใสเสมอ	paːlaŋ˩˩˦son˧j˥ɔːmʰsʰtʰtʰsa˨˩amɛɔːn˧
ฟ้าใส	faː˧˥sɐi̯˧˥
ภ	pˈɑː
ภพ	pɔː
ภร	pɔ̀n
ภรรยา	pln˩˩˦n˧a˨˩ɔ̀jaː˥˩
ภราดรภาพ	pʰaraː˧d˨˩n˥˩ɔːbráp̚˨˩pʰaːp̚˥˩
ภัตตาคาร	tʰaːkʰaːn˧
ภัทร	tʰáp̚˨˩
ภัทรธิดา พัชรวีระพงษ์	atːra tiːra atʃara bjɾəpəɔŋ
ภัทรวรินทร์ ทิมกุล	pʰaːʔlaːw˧ʔriː˧ŋ˧
ภัย	pʰ
ภัสดา	asadaː
ภา	pa˥˥
ภาค	pʰaːk̚˨˩
ภาคกลาง	hʌp˨˩laŋ˨˩
ภาคตะวันออก	tʰɛːkʰtʰɔ̀ːanʔɔ
ภาคภูมิ วงศ์ภูมิ	pʰːapʰːuːmʰuːʔpʰl
ภาคอีสาน	pʰaːk̚˨˩ʔiː˧saːn
ภาคเหนือ	pʰaːk̚˨˩hɯːŋ˧
ภาคใต้	pʰakʔt̚˨˩ʰ
ภาชี	pʰa˥˨
ภาพ	pʰaː
ภาพถ่าย	pʰaːpʰaːj
ภาพประกอบ	pʰaː˧p̚˨˩ra˦˥kʰɔːp̚˥˩
ภาพยนตร์	pʰaːpʰpʰjn
ภาพยนต์	pʰapʰjn
ภาพรวม	tʰaː˧p̚˨˩ra˦˥vam
ภาพหลอน	pʰaː˥˩plɔːn˧
ภาพเขียน	pʰa˥˥kian˨˩
ภาย	tʃas
ภายนอก	hain˥˩
ภายหลัง	pʰaːiː˨˩lɐŋ˧˥
ภายใต้	it̚˨˩ʰaːj
ภายใน	pʰ˥a˥˧j˧n˧
ภาระ	ã
ภาวนา	pʰaːw˧naː
ภาวะ	pʰaːwaː
ภาวะโลกร้อน	kʰaːua̯a˦˥lɔːk̚˨˩rʔn
ภาษ	pʰaːt̚˨˩
ภาษา	pʰaː˥˩saː˩˩˦
ภาษาจีน	pʰaːsaː˩˩˦ntɕin˥
ภาษาต่างประเทศ	pʰaːsaːtoaːŋ˧pn˩˩˦atʰeːt̚˥˩
ภาษาปู้อี	pʰaːsaː˩˩˦tuː˥˩ʔiː˥˩
ภาษารัสเซีย	ã˥saʔaɾa˥˩s˦ i˥˩
ภาษาละติน	kʰaː˧saː˩˩˦ɔːn˧a˨˩p̚˨˩ŋ˧
ภาษาศาสตร์	pʰaːsaː˩˩˦saː˩˩˦
ภาษาอังกฤษ	pʰaː˥˩saː˩˩˦ɔːŋ˧k̚˦˥rtʰ
ภาษาอังกฤษถูกใช้พูดทั่วโลก	saːnkiːtuː ʃɛjˈpuːtunə
ภาษาแม่	pʰaː˧saː˩˩˦ma̯˧
ภาษาไทย	aː˧saː˩˩˦tʰaj˧
ภาษาไทยไม่ยาก ถ้าพูดบ่อย ๆ	pʰaː˧saː˩˩˦ʔtʰajʰjaː˥˩k̚˨˩ʔtʰaːpʰuːt̚˨˩hʔhʔ
ภาษาไทลื้อ	kʰaː˧saː˩˩˦tʰjɛː
ภาษี	pʰaː˥˥siː˨˩
ภาษีมูลค่าเพิ่ม	kʰaːsìpʰla˦˥kʰaːpʰiʰʔɛw˧
ภาษีศุลกากร	pʰaːsǎːn˧la˦˥k̚˨˩aːk̚˦˥ɔ̀n˧
ภิกษุ	pˈikːsɔ
ภู	fɔː
ภูฏาน	pʰuːtaːn˧
ภูตรูป	oːtaɾəw
ภูติผี	pɔːpʰiː
ภูติผีเป็นสิ่งลี้ลับ	pʰuːt̚˨˩pʰiː˧ʔpenŋ˧niːʰn˧ap
ภูมิ	pʊ˥˩m
ภูมิพล	tʰuː˧mipʰn˩˩˦
ภูมิพลอดุลยเดช	pʰuːmiːpn˧ʔdaːn˧n˦˥tɕrt
ภูมิภาค	pʰuːmiːʔp
ภูมิศาสตร์	pʰuːm˩˩˦i˥saːt̚˨˩
ภูมิอากาศ	pʰuːmiːʔaːk̚˨˩aː
ภูมิใจ	tʰʰum˧tɕaj˧
ภูเก็ต	pʰuːk̚˨˩t˥
ภูเขา	kʰaː˨˩
ภูเขาไฟ	pʰu˥˩kʰa˥˥u˥˧faj˧
ม	mɑː
