cачара	satʃara
көнҡуныш	pɪ̞nqwɫɯ̞nɯ̞ʁ
көпрүләгән	tˈʏprˈʏlˌeːgˈɛn
көс	ʒʃ
көс ағы	kæsæʁæ
көсәйкүл	kəzˈɛjgyːl
көткәйтем	tʏ̞tkæjtɪ̞m
көткәйтем ҡуй гүзәл, миләүшәне — алып ҡайттың син миңә наташа... [клара кучковская]	kɪ̞tkæj tɪ̞mqʊ̞j gʏ̞zæl mjɪlɪ̞rʂænʲɪ ɑɫɯ̞p qäjtɯ̞ŋ si̠nɪ̞gæn ɑtɑʂɑ
көтәтеләр	qɒtɒtˈɒlɒɾ
көтөүце ацты ҡапҡаны — мынта ут цыҡты мәллә? [клара кучковская]	kʲɪtɪ̞wtsʲɪ ɑstʊ̞ qɑpqɑnɯ̞ mɯ̞ntɑ ʊ̞tʃɯ̞q dʊ̞mæ̹lɫɛ
көтөүце күреп, исе китте — пабай тораты эленеп. [клара кучковская]	kʏ̞tʏ̞wʲɪtsɪ̞ kʏrɪ̞p ʲisɪ̞k ʲitːɪ̞ pɑpɑj tʊ̞rɑtɯ̞ æ̹lænɪ̞p
көц-ҡайрат	kɪ̞tsqɑjɯ̞rɑt
көцтән	kʏ̞sˈsɛn
көцәктән	tsʃɛkðæn
көцөбөс	kɛtʃɛbɛs
лайтамаҡ	ɫɑjtɑmɑq
латип	latip
ләмчәй	lɛmtʃɛj
ләчек	lɛtʃɪk
маа нәрсә булсын, тик үсем шомшынам.	mɑŋɑnɛrsæ bwɫsɑn tʲik ʏ̞sʏ̞mʂɑmʊ̞ʂɫɑm
максим	maksim
мал	mɑɫ
малчин	mau̯˧˥sin˩˥
мама	mama
мамай ауысы ҡыйшайған арбуын цаҡҡан мәллә? [клара кучковская]	mɑmɑj ɑwˈθɯ̞ qɪ̞jʂɑjˈʁɑn ɑrbugɯ̞n tsɑqˈqɑn mæ̹lɫæ
мамай пасҡыц алып килте, урынтыҡҡа та пасты. [клара кучковская]	mɑmɑjpɑsqɯz ɑɫɯ̞p kiltɪ̞ urɯ̞ntɯ̞qqɑ tɑpɑstɯ̞
мамай әйтте — ҡулым пөттө пецән салып пейеккә. [клара кучковская]	mɑmɑj æjtæ qʊ̞ɫʊ̞n pʏ̞tːʏ̞pʏ̞sæn sɑɫɯ̞p bɪ̞jɪ̞kːæ
мамай әйтәте — ал әйтә син иске фуфайканы. [клара кучковская]	mɑmɑj æjte tæ ɑl æjte sɪn eskjfufu ɑjkɑnɑ
маманыңҡы	mɑmɑnɯ̞ŋqæ
манат	mɑnad
мастер-класс	mˈɑstɚklˈæs
матур	matur
махли	mæxˈriː
машина	mɑːʃiːnɑː
машиналарға	mɑʂʲinɑɫɑrʁɑ
машинә мән парғанымта, ағысым, сисмәй тә ҡалғаным.	musinæ mæn bɑrʁɑnɯ̞m dɑ ɑʁɯ̞sɯ̞m sʲismæjtæ qɑɫɢänɯ̞m
менә пулышам тигәнтә ҡартын йаҡшыраҡ асты. [клара кучковская]	mʏ̞næ pʊ̞ɫʊ̞ʂɑm tʲigæntæ qɑrtʊ̞n jäqʂɯ̞rɑ ʁɑstɑ
менә пәлә, менә мөшкөл, ней пулты ней тонйаға... [клара кучковская]	mɪ̞næ pæ̹læ mɪ̞næ mʏ̞ʂkɪ̞l nïi puɫtɯ̞n nïi tʏ̞n jɑʁɑ
менә ҡәсер генә пы планнарны пултырғалы килеп цыҡты.	mnɛqtɑsɯ̞r gʲɪnæ pʊ̞ pʊ̞ɫɯ̞nɫɑrnɯ̞ puɫtɯ̞rʁɑ ɫɯ̞kʲelɪ̞p sɯ̞qtɑ
меткә	mɪ̞lkæ
миллий	fˈɛʁ
миллий-мәтәний	mulimini
миләүшәне	mʲileʋʂænɨ
мин алцыған ҡарт ҡуй мин.	ʲen ɑɫsɯ̞ʁɑn qɑrtqɵj mʲin
мин саңа инде айаҡ алтында ҡол булайын.	mʲen sɑŋa ʲintɛ ʔɑjɑq ɑɫtɯ̞ŋdɑ qʊ̞ɫ buɫɑjɯ̞n
мин ундүрт йәшләр булты мигән, минем ағыслар гитте.	mʲinundur jæʃlæɾ boɫtɯ̞m ʲikæn mʲinʲɪrɪ̞m ɑʁɯ̞sɫɑr âitːɛ
мин шимшегән ҡарт ҡуй.	mʲen ʃʲimʃʲɪgæn qɑrt sɛn
мин ынамайым ҡаты саҡлауны етне.	mʲen ɑnɑmɑjɯ̞m qɑtʊ̞ sɑqɫäu nɯ̞ ʲitnæ
мине	mʲinlɛ
минем	mʲiːnæm
минең	ig̞
минең йегетләр ничауамы шигелгә?	mʲenɪ̞ŋ ɪ̞gætɫær nïiʃæuɑmɯ̞ ʃigjɪlgɛ
миннән	mʲinð̞æn
миннән олу аҡа пулаты.	mʲinæn ɫuwɑqːɑ pʊ̞ɫɑtɯ̞
мишкә	mʲiʃkæ
миңа	mila
миңниса	mʲiŋnisɑ
миңниса килен ыуғысып тормасын.	mʲiŋʲiʂæ kilæn ɑvʁɑ säptɯ̞rmɑsɯ̞n
миңә	mʲiŋæ
монта	muntɑ
моратаҡ	mʊ̞rɑtɑq
моратаҡ ҡуыл	mrtɐq pɔɬ
моңлантырып	mɑŋɫäntɑrɑp
моңлантырып ник йырлайсың, күңелләрем тулғанҡа тип? [йыр, “тусҡасан”]	mʊ̞ŋɫɑntʊ̞rʊ̞p nïi kʲɪr ɫæjsʊ̞n kɵŋjɪlærɪ̞m twlʁæn qæ tïip
моңло	mũ˧˥
моңло паланы ҡысҡанам үсем моңло пулғанҡа. [йыр, “тусҡасан”]	mɪŋlu pɑlɑrmɑ qɨzqɑnɑm ʔysɛm mɪŋlu buʁɑnqɑ
моңлы	mʊ̞ŋlɑ
муйцатан	mutsaːtan
муйыл	muːjˈɯl
муллаш	wˈuɫlɑʃ
муса пабай йоғосонан иләс-миләс уйанты. [клара кучковская]	musˈɒ bɒbɒj jɒɵɵsiniˈ ilæs milɒs ujɒnti
мынта	muntæ
мышыр	mˈɑʃˈaf
мың	mɦŋ
мәйтан	mˈeɪtˈɑn
мәйтанҡа	mæjtɑnqɑ
мәккә	nɛkkɛ
мәктәп паҡца	mɛktæp baqsɑ
мәктәпләр	mɛktɛplɛr
мәктәпләр, клублар пар, йаңа мәцитләр төсөлгән, кешеләр өйләр салып йәшәйтеләр.	mæktʃɛtlæː qɛlpɫɑr pɑr jɑŋɑ mɛθɨtlær tøsʲelgæn kiʃæ̹lɛr ilɛr sɑɫɯp ʲeʃæjtjɪlɛr
мәктәпләргә	mɛktæplærgæ
мәктәпне	mæktæpnæ
мәмләкәттәшләребес	mɒmlɒkkɒtˈɒʃlɒɾˈibˈiz
мәнцәк	mˌɛntsɛk
мәнцәкләре	mɛntsæklæræ
мәтәний	madanj
мәтәнийәткә	mæθænʲitkæ
мәхәппәтем	maxæbːɛtːɪm
мәцеткә	mætsɪ̞tkæ
мәцетләр	mɛtsʲitlæːr
мәцкәй	mɛtskæɪ
мәңгәр	mæŋgˈɛr
мәңке	mˈˈanke
мөйөс	mˈɪjˈɛz
мөклө сас	mʏ̞kjʏlʏ̞sas
мөнирә	mɪ̞nniːræ
начапҡа	nætʃjɑpqa
нағайаҡ үлән	nɑɣɑj jɑʁˈʊ lɑnd
ней пулты ҡортҡайаҡҡа тип исе китеп уйланты. [клара кучковская]	li̠ puɫtɯ̞ qɯ̞rtqɑjɑqqɑ tïip ʲisɪ̞k ɪ̞tæp ojɫɑntɯ̞
нешшә	nɪ̞sːɛ
ни	nˈi
ник	nɛ
ник абайрап ҡалтың?	nʲik ɑbɑjrɑp qɑɫtɑŋ
ник ошонта утысҡалы перәй койка алматым? [клара кучковская]	nʲik ʊ̞ʂʊ̞ntɑ ʊ̞tʊ̞ɫqɑɫɑ pɾɪj kɔjkɑ ɑɫmɑtɯ̞m
нимә	nime
нимә шейле?	nime ʃeile
нинтәй пәлә, ҡайтан килгән, кем әпкилгән пәләне? [клара кучковская]	nʲintæj pæ̹ˈɫæ xɑjtan kilgæn kɪ̞m ɛp kjɪlgɛn bælɛnæ
ницек	nˈitsˈɛk
ницә	nitsæ
нишләнәсең — ҡуца риса, — инте ҡайта йатайым?.. [клара кучковская]	nʲiʃlænæsɪ̞n kɵtsɑr ɪ̞sɑ ʲintɪ̞qɑjtɑ jätæjɪ̞m
нур	nʊ̞r
нурынта	nurɨnta
нусуҡ	nusq
нуҡшы күл	nˈoːq ʃɑkˈyl
нуҡшы сас	muχʃa sɑs
ныҡ	nɯ̞q
нәбәрә	nebɛrɛ
нәкрәс ҡаш	nˈɛk rˈɛz qɑʃ
нәнә	nɛnɫɛ
нәнәй	nɐnɛj
нәнәй пала йоҡлап йатыр шәлтеп тирбәләгәнкә. [йыр, “айрылу”]	nænæj pɑɫɑ jʊ̞qɫɑp jɑtɪ̞ɾ ʃæl tɪ̞p tʲeɾbæðʁæn kæ
нәнәцек	nenˈətsek
нәрәситә	neresitæ
нәчүпкә	netʃypkɛ
ойалам	ʊ̞jɑɫːɑm
ол	ɔɫ
ол шәһәрнең алнында йылға әйре пар иде, ташпыла көпрүләгән.	u fæhɪ̞rnʲɪɴ ɑɫdɯ̞ntɑ jɯ̞ɫʁæ æjjɪ̞rɪ̞pɑr ʲidɪ̞ tɑʂ bɯ̞ɫɑ kʏ̞pɪ̞r wlɛgæn
олата	pɯ̞ɫɑtɑ
олло	ɑllɑ
оллолайбыс	ɑɫɑɫɑjbɯ̞θ
оло	aʝa
олу	ɔlˈo
олу аба	ɔluɔba
олы кундан	ɑɫɑq undɑn
олы уыш	ala ulaz
олы ҡундан	ɑðɯ̞q bɪ̞ntɑn
олғап	ɑɫʁɑp
олғау	oːrɔv
омавыл	umawɯl
онап	ɑnɑp
онау	unau
онна	ˈɔnlˈɑː
онотолса	anʊ̞tʊ̞ɫsæ
онотҡаннар	ʔamatqɑmɪnɑr
оноҡ	ɑnɑq
орлыҡ	pɯ̞rɫɯ̞q
ороҡ	ʊ̞pʊ̞q
осайтаты	ʊ̞sʊ̞jtäːtæ
осаттылар	ɯ̞sɑtːʊ̞ɫɑr
оссон	ɑsˈsɑn
оссын йағын	ɑsum jɑˈgɑn
отос	ɑtˈtˈɔz
отта	pot̪t̪a
отырысы	atɯ̞rɯ̞sɯ̞
оцрашыу	patsrɑʃyw
оцрашыуға	ɑsrɑʃɯ̞oʁä
ошлау	ɯ̞ʂɫɑu
паа	pɑɾ
паба	baba
пабай пырас искә килте рәғәт тәмне йоғотан. [клара кучковская]	pɑbɑj pɯ̞rɯ̞s ʲiθkæ kiltɪ̞rɪ̞ʁɑ tɛmlɛ jʊ̞ʁʊ̞dɑn
пабай тораты эленеп тибешеп пөткән көцө. [клара кучковская]	pə bajtrata ɪl ɪnɪm θibɪsh pɪtkɛnd kɪtsɪ̞
пабай әйтте — ҡортҡаларға пес әле ҡыслар тибес. [клара кучковская]	pɑpɑ jæjtlɛr qɯrtqɑlɑːɾʁɑ pɪs ʔjlɛqqizdʒɑlɑr tɛibɪz
пабалар	ɑbɑɫɑr
пайрамы	bjrama
пайталыраҡ	pɑjtɑɫɯ̞rɑq
пайтаҡ	pɑjtɑq
пайыш	pɐjɪ̞ɾʃ
пакийә	pˈakiɛ
пала-паҡра	pɑɫɑpɑqra
пала-цаға	pɯ̞ɫɯ̞tsɑʁa
паланы	pɑɫɑnä
паланы шылыҡ-мылыҡ ҡарасаң, тың пулаты.	pɑɫɑnɯ̞ ʂʊ̞ɫɯ̞q mɯ̞ɫʊ̞q qærɑsɑn tɯ̞ŋ puɫɑtɯ̞
паласын	pɑɫɑsɑn
палацыҡ	pɯ̞ɫɯ̞tsɯ̞q
паллар	pɑɫˈlɑr
паллары	tɑɫːɑrɑ
палтырған	pɑltærʁɑn
палтыс	pɐɫtɐs
палыҡ	pɑɫɯ̞q
палыҡ аңтығалы ыснасым йуҡ.	pɑɫɯ̞q ɑnɯ̞tɑʁɑ ɫæ ɯ̞snɑsɯ̞m juq
пар	bɑɾ
параба	pɾɑba
парабалы	pɑrɑpɑɫɯ̞
параты	pɑɾatɑ
пармас	pɑrmɑs
партыҡ	pɑrtɑq
партәк	pəɾtæk
пару	paru
пары	bara
парып	pɑrɯ̞p
парғалы	bɑrʁɑɫæ
парғанымта	pɑrʁɑnɯ̞mtɑ
пас	pɯ̞s
пастау	pɐnstɐʊ
пастыҡ	pɑstɫɯ̞k
патар	pɐtɐr
пататылар	pɑtɑtulɑr
патраҡ	pʊ̞tɯ̞rɑq
патып	wɒtðɒp
патыр күл	pɑtɑr køl
патырлары	pɑtɯ̞rɫɑrɑ
пау	tɛau
пауыр	əwˈɚ
пауырсаҡ	pɑwɪ̞rsäq
пауырсаҡлы-пәлецле	pɑwɪ̞ɾsɑqɫʊ̞pæ̹lɛtsjɪldæ
паца	patsa
паш	pɑʂ
пашларта	pɑʂɫɑrtɑ
пашым	pɑʂɯ̞m
пашым айланып китте.	pɑʂɑm ɑjˈɫɑnɯ̞p kʲitːɪ̞
пашҡа	pʊ̞ʂqɑ
паға	baga
пағайын	pɑɢɑjɯ̞n
пағам	pɐˈgɐm
пағырып-ҡыцҡырып	pɑʁɯ̞rɯ̞pqɯ̞tsqɯ̞rʊ̞p
паҡцатағы	bɑqtsɑtɑːɢɑ
паҡцатағы алмагацҡа тайлар пәйләсәң игән. [йыр, “себер йағы”]	pɑqtʃɑtɑʁʊ ʔɑlmɑʁˈɑsqɑ tɑjlɑr pæjlæsɛn ɪgɛn
пежек	pəzˈɛk
пелгәле	ilgellɒ
пелгән	bˈɪlgæn
пелемнәр	bɪ̞ɫmɫæɾ
пелмәгән	pɪ̞ɫmægæn
пелтертеләр	bˈɒltɒɾɒtɒlɾˈ
пеләгем	plˈɛgˌɛn
пелән	plˈɛn
пер	pˈeɾfˈe
пер аймам аш алтым.	tɯ̞rɑjmɑm ɑʂɑɫtɯ̞m
пер аллама үпкәләмә пәғет пирмәгәненә. [йыр, “айрылу”]	bɪ̞ɾ ɑɫːɑmɑ ʏpkæ̹læmæ pæʁɯ̞t bʲirmægæ̹lɪ̞næ
пер йөс	perjɔs
пер мең	bɛrmæn
пер персен этеп төрткөләп ҡартлар сөйләте ҡәлне. [клара кучковская]	pʲɪlpʲɪlsʲɪn ʏ̞tʏ̞p tʏ̞rt kelæp qɑrtɫär sʲilætɪ̞ qæðinɪ̞
пер-перебесне	bɛrpɨzlɑbɯzni
пергә	tɪ̞rgæ
перен	pervin
перенце	arɛntsɛ
перттә	bɪ̞rtːæ
перттә пелмәгән кешеләр песне үс туғаннарын ҡаршы алғантайын үс иттеләр.	bɪ̞ɾ tɛpɪ̞lmigæn kʲɪʃjɪlær bɪ̞sɪ̞nʲɪ ʏ̞s tuʁɑnɫɑrɯ̞n qɑɾʂɯ̞ ɑwʁɑn tæjɪ̞n ʏ̞s ʲitlæɾ
перәй	brɛj
пес	bˈɛs
пес тә тыныц йоҡлар итек, йуҡ ҡуй песнең пейәбес. [клара кучковская]	pɛstæ tɯ̞nɯ̞z ʲɪqɫɑr ʲetɛk juq kʏj pɪ̞snɪ̞ŋ pʲiɪ̞æbɪ̞ð
песнең тә ғуй менә пыйыл суғымҡа тана тораты. [клара кучковская]	pɪ̞snʲɪŋ tæɢʊ̞j mɪ̞næ pɯ̞jɯ̞ɫ sɯ̞oɯ̞nqɑ tɑnɑ trɑtɯ̞
пестән	kɛntsfɑ́n
пет	pet
пете	pɛtːɪ̞
пецәнне	petsene
печа алу	pɛtʃɑːlu
пешкәләк	pʊ̞ʃkɛlk
пигә	tiːjɛ
пигә мама	tʃiːzi gɛmaːmaː
пигәтин	tigɛtɪn
пила	kjɛːn˧
пилгегә	pi̠ɫgæ
пилгеләрем	ilgɪlːærem
пилеңләгәле	bʲeɫɪ̞ŋɫægæ̹lʲɪ
пилтер	piltɛr
пиргәле	piɾˈgæˈldæ
пирелте	pi̠rɪ̞ltæ
пирең	pˈiːɾˌɪŋ
пирмәгәненә	bʲirmægænɪ̞næ
пирмәң	pʲiɾmæn
пирмәң көйлеген, алай йөрсен! ҡырлар алай йатат.	bʲir mæn kɪ̞jɪlɪ̞gɪ̞n ɑɫæj jɯ̞rsʲɪn qɯ̞rɫärɯ̞ ɑɫɫæj jätät
пиртеләр	pʲiɾtjɪlɛr
пирәте	bʲirættæ
планнарны	wɑnɑrnɑ
планнаштырған	pɫænbɑʂtɪ̞rʁɑn
поролоп	tʊ̞rʊ̞ɫʊ̞p
поролоп, поролоп аҡҡантай сыу пуйынтай, аппағым, йәнәшем. [йыр, “сантуғацның тауышы”]	pɯ̞rɫʊ̞p pɯ̞rɫʊ̞p ɑqqän tɑj sɯ̞wpɯ̞ɴ tɑj ɑpɑʁɯ̞m jænærʃɪ̞m
порон	pɾuŋ
пороңҡо	pɾʊ̞nqɯ̞
пороңҡотан	pɯ̞rɯ̞nqɯ̞tɑn
порыңҡы төмән-төрле шәкәшәләрне йарып ҡаҡшатты.	pʊ̞rɯ̞nqʊ̞ tʏ̞mæn tɪ̞rɫɪ̞ʂʂɛ kæʃæ̹lɛrnɪ̞ jɑrʊ̞p qäqʂɑtːɯ̞
посау имәйем тисә тә, имәлмайты, шеш бөйәп ҡуйаты.	pʊ̞sɯ̞l imæjɪ̞m tʲisæt æ̹lʲ imæn mɑjtæ ʃɪ̞ʃbɪ̞jæp qojɑtɯ̞
пот	pʊ̞t̪
потай	pɑtɑj
программа	progrɛma
программа пөткәц, кешенең таралып киткесе килмәте.	prʊ̞gɾɑmʊ̞pʲɪtkæs kʲɪʃɪ̞nʲɪ tʊ̞rɑɫʊ̞p kʲitkʲɪsɪ̞ kilmætɪ̞
программабыс	pɾɔgɾamɑbɛs
программаны	pɾɔgɾamani
пу	pɔ
пужуҡ	puʒuɟ
пуйлап	bujlab
пуйлары	pujɫɑrɑ
пуйларын	pujɫärɯ̞n
пуйларынта	puːjlɐrmˈtɐ
пуйларынтан	pʊ̞jɫɑrɯ̞ntɑn
пуйта	pujˈtɑ
пуйтағы	pʊ̞jtɑɢɑ
пуйы	bujjɛ
пуйын	boːjˈɛn
пуйынтай	pʊjɛ̀ːntaj
пулат	pʊ̞ɫɑt
пулды	poɫdɑ
пулмай	pulmaj
пулмас	ulmɑs
пулмаған	puɫmɑʁɑn
пулмағанҡа	puɫmɑʁɑnqɑ
пулмаҡма	pʊ̞ɫmɑqmɑ
пулса	puɫsɑ
пултырғалы	pʊ̞ɫtʊ̞rʁɑɫæ
пулыр	pʊ̞ɫɯ̞r
пулыуын	boðɐuɪ̞n
пулышың миңә, синағар, пабай ҡалты асылып. [клара кучковская]	pʊ̞sɯ̞ŋ mʲiŋæ sʲiðɑʁɑr pɑbɑj qäɫtɯ̞ ɑsɯ̞ɫɯ̞p
пулғайыр	puɫʁɑjɯ̞r
пулған	pulʁɑn
пулғанҡа	toɫʁɑnqä
пумайыр	plumɑjɯ̞r
пумайырта	umɑji̠r̥t̪a
пуранны	buraːnmɑ
пушнаш	tɔʃtɲnɔʃ
пы	pɯ̞
пылай	plɑj
пылый	pɐɫˈɑi
пыуағалы	bɯ̞uɑʁɑɑɫæ
пүгәмпәс пасуы	hˈo kˈem pˈɛs pˌɐsˈoɐ
пүлешкәнтә	bʏ̞rʏ̞ʂkæntæ
пүлмәтә	bʏ̞ɫmætæ
пүләк итеп пестән себертатар йырлар пулты.	bʏ̞ræk ʲetɪ̞p bɪ̞stæn bɪ̞stæn sɪ̞bɪ̞r tætɑr jʊ̞rɫɑr puɫtæ
пүләкләр	bʏlæklær
пүрән тамаҡ	bʏ̞ræn tæmɑq
пүрән төп	pʏræntæp
пүрәнә	bʏ̞rɛnæ
пүрәнә ыҡтыратылар йасҡысын.	fɵrɪ̞nɪ̞ ɑqtɯ̞rɑtɫɑr jɑzqɑsɯ̞n
пүрәнәләр	bʏræmæ̹lær
пәгем	pɛgɪ̞m
пәйләгәле	ajjɛgɛp
пәйләнгән	pɛjlɛngæn
пәйләсәң	pliːlɛsɛŋ
пәнил	penin
пәрбер	bɛrbær
пәрмә	pɛrmɛ
пәрғәт	pæ̹lʲɪgɛt
пәрәмец	pɛrɛmɛts
пәрәмец көл	tɪ̞rɛmɛtʃ kɪ̞l
пәтерләр	pætɾlæɾ
пәтрәсе	pɛtrɛsɪ
пәтрәсе пелән аҡтарылып китте.	pɛtræsɪ̞ pɪ̞ɫæn ɑqtɑrɯ̞ɫɯ̞p kʲitːɪ̞
пәце	pɛtsɪ
пәғет	pɛgɛt
пәғетләр	bæɢætlær
пәүсийә	pozsjɛ
пөген	pɛgˌeːn
пөгөн сарайта йоҡларсың, ҡараулла тананы! [клара кучковская]	pʏ̞gʏ̞n sɑrɑj tɑɯ̞jɯ̞qɫɑr sɯ̞ŋ qɯ̞rɑuɯ̞ ɫæ tɑnɑðɯ̞
пөрмә	bɪ̞rmæ
пөтен	tɛtɨn
пөткәц	bˈɛtgˈɛts
пөттөк	tək˨
пөтөн	pɪ̞tːɪ̞n
пөтөп	pəˈtøb
пөтөрөп	bɑtɯ̞rɯ̞p
район	rˈɑjˈon
районнан	rʊ̞jɔnlɑn
районның	räjʊ̞nnɯ̞ɴ
районтағы	rjʊ̞ntäːʁɯ̞
районыңҡы	rjɯ̞nɯ̞nqɑ
рамай	rɑmɑj
рауты	rɔuta
раутыта	rautata
руҡлары	ruqɫɑrðɯ̞
рыск	rɯ̞sq
рэпны	rɛtna
рүсил	ruːsiːl
рәгес	rɛgɛs
рәнцек	rɛntsɛk
рәнцеттем	ræntsætm
рәнчек	rinˈtʃik
рәғимсес	rɛɣiːntsɛs
рәғәт кыр	ræɣæt qɯ̞r
рәғәтлек	rɛɣætlɪ̞k
рәҗәп	ɾɛzʒæb
рәҡип	rɑqip
рәҡмәт	rqmæt
рәҡмәтләр	ræqmætlær
рәҡмәтләрен	ræqmætlærɪ̞n
рөҡсәт	rʊ̞qsæt
сабан	sɑbɑn
сабыман	sɒtɒman
сайрамаса	sajɾaːmɑsˈzɑ
сайын	fajːan
сакир абышҡаны айу пабай тип ҡуйабыс.	sɑqʲiɾɑbɯ̞ʂqɑnɯ̞ ɑjʊ̞wpäbäj tïip qwjɑbɯ̞ð
сала	salaː
салаир	sɑɫɑjjɯ̞r
салтат	sɑrtɑt
салтатҡа	sɑɫtɑtqä
салтатҡа алғалы цағырту килепте.	sɑɫtɑtqɯ̞ ɑɫʁɑ ɫɪ̞t sɑʁɯ̞r tʏkjɪlɪ̞p tɛ
салу	sɐɫˈu
сантугацның тауышы	sɑntuʁätʃnɯ̞ŋ tɑwɯ̞ʂɯ̞
сантугацныңҡы	sɑntuʁɑtzɯ̞nɯ̞ŋqæ
сантугацныңҡы паллары сайрамаса пулмай ма тип... [йыр, “тусҡасан”]	sɑntuʁɑtznɯ̞n qɯ̞p bɑɫɑrɯ̞ sɑjrɑmɑsɑ pwɫ mɑjmɑtɯ̞jp
сантуғацның	sɑntuʁɑtsiŋɛŋ
сантуғацның тауышын лай тыңлатым, аппағым, йәнәшем. [йыр, “сантуғацның тауышы”]	sɑntuʁätsɯnɯ̞ŋ tɑuɯ̞ʂɯ̞n ɫäjtɯ̞ŋɫɑtɯ̞m ɑpɑʁɯ̞m jænæʃɪ̞m
саплы	θɑpɫɑ
сартлар	sɑɾtlɑɾ
сары гүл	sæɾgʏl
сарғайыштыҡ	sɑrʁɑʲɪʃtɑq
сас	sɒs
сасларың	sɑslaɾɯ̞ŋ
саслыҡ	sɑsɫɯ̞q
сатиҡ	satˤjˈq
сату	satu
сатылған	fätɯ̞ɫʁän
сауайу	sˌɑvˈɑjˈu
сауыҡсыныу	saɫɯ̞χsʊ̞nʊ̞w
сахалин саслыҡ	sɑχɑlʲinsɑsɫɯ̞q
сағраларға цыҡсам, йул йуғалтам, урманнарға керсәм – атымны.	sɑʁrɑlɑrʁɑ tʃɯqsɑm joɫ joʁɑl tɑm urmɑnlɑrʁɑ kɪrsɛm ʔɑtɨmnɯ
сағынам	sɑɢɯ̞nɑm
сағынам, туслар, сағынам, туслар, сағынам себер урманын. [йыр, “иртеш таңнары”]	sɑɣnɑm tuʃlɑr sɑɣnɑm tuʃlɑr sɑɣnɑm sɛbɪ̞r urmɑɫɯ̞n
сағынтығыс	sɑɢɯmtɑɢɯs
сағынтығыс ма киткәц ап-аҡ ҡайын утынҡа? [клара кучковская]	sɑʁɯ̞ntʊ̞ʁɯ̞smɑ kʲitkæs ɑp bɑqqɑjɯ̞n ʊ̞ɫtʊ̞nqɑ
сағыныуның	sɑɢɯ̞nɯ̞unʊ̞ŋ
сағыныштык	sɑɢɯ̞nɯ̞ʂtɑq
сағыныштык, сарғайыштыҡ, ҡайталмадыҡ илләргә. [йыр, “айрылу”]	sɑʁɯ̞nʊ̞ʂtɯ̞q sɑrʁɑ jɯ̞ʂtɯ̞q qɑjtɑ ɑɫmɑðɯ̞q ilːærgæ
сағынҡан	sɑɢɯ̞ntqɑn
саҡланып	sɑqɫɑnɯ̞p
саҡлауны	sɑqɫɑuɯ̞nɑ
саңа	sɑŋɑ
себер	sæbɛr
себер гимнны йырлағанта тәннәр ҡош ит пулып китте.	sɯ̞bɪ̞r gʲimnʲɪ jɯ̞rɫɑʁɑn tɑtʲɪɛnɫɛr qɯ̞ʂ jʲit pwɫɯ̞p kʲitːɪ̞
себер илемнән цыҡҡан суң пастыҡ ҡара йерләргә. [йыр, “айрылу”]	sɪ̞bɪ̞ɾ jɪlɪ̞mlæn tʃɯ̞qqɑn sɵŋ pɑstɯ̞q qɑrɑ jeɾlærgæ
себер тигән илегестә йанмас ма ите утығыс? [клара кучковская]	sɪ̞bɪ̞r tʲigæn ilɪ̞gɪ̞s tɛ jɑnmɑs mɑjtʊ̞ utɯ̞ʁʊ̞ð
себерем	sɛbɛrɾɛm
себерем минең, төмән йерем, өшөп ҡалған илгенәм. [клара кучковская]	sɪ̞bɪ̞rɪ̞m mʲenɪ̞ŋ tʏ̞mæn jʏ̞rʏ̞m ɪ̞ʃʏ̞p qɑɫʁæn jɪlgʲɪnæm
себернең	sɛbɛrnæŋ
себертатар	sɪ̞bɪ̞ɾtätɑr
себертатарлыҡ	sɪ̞bɪ̞ɾtätɑrɫʊ̞q
себертатарца	sɪ̞bɪ̞ɾtɑtɑrtːsɑ
себертатарца-урысца	sɪbɪrttatartsarɪtsˈa
селәс	sɛˈɫɛs
сес	sɪs
сес илләртән киткәнтә, ҡалты өйтә кемегес? [клара кучковская]	sɨz eɫærtæn kʲitkæntæ qɑɫtɯ̞ ʏ̞jtæk kʲɪmɪ̞gɪ̞ð
сес тусларым пелән пергә мәңке йәшәсәң игән. [йыр, “себер йағы”]	sʲɪz tusɫärɯ̞n pɪ̞ɫɛn pɪ̞rgæ mæn kɪ̞rʲɪsæn ʲɪgɛn
сескә	sɪ̞sgæ
сесне перттә күрмәсәм тә уйлап сағынам, ҡайғырам. [клара кучковская]	sɪ̞snɪ̞ bɪ̞ɾ tæ kʏrmæsæm tæ ʊjɫɑp sɑʁɫɑm qɑjʁɑm
сеңле	sɛŋlæ
сеңтергәле	sɪ̞ŋtɪ̞rgæ̹lɪ̞
сибелгән	sɪ̞bɪ̞ɫgæn
сикерү	sjkru
сиккергәле	sikːɛɾgɛɛlæ
сиксән	siksæn
силницә	ʃiːnˈɪtsɛ
син	fˈin
син ул кәрәкмәгән кеше менән айғалашып йөрмә.	sʲiŋʊ̞ɫ tʃɛrækmægæn kɪ̞ʃɪ̞ mɪ̞næn ʊ̞jʁɑɫäʃɯ̞p jɪ̞rmæ
сине	sine
сине уйлап мин уйанам сысылып таңнар атҡанта. [йыр, “иртеш таңнары”]	senɪ̞ ujɫɑp mʲinɪ̞w jɑnɑm sɯ̞sɯ̞ɫɯ̞p tɑŋgɯ̞n ɑrɑtqɑntɑ
синең	sjˈɛˈɛn
