a	aɾ
pêşbirk	peʃbʏ̞rɪ̞k
pêşbirka guherok	pʃˈbɛrkagʊ ɦarɔk
pêşbîn	peʃbiːn
pêşeng	pejˈʃøŋ
pêşgotin	peʃkoltʉn
pêşnav	pʃnov
pêşrew	peɪsˈɾəoːn
pêşverû	kɛːʃʋarˈu
pêşîya keştîyê	pəʃ jɑ kɑstˈi
pêşû	peʃo
pî	pi˥˩
pîk	pik
pîlekan	biːlækan
pîne	pina
pîr	pˈiɹ
pîrcan	birkaːn
pîrepind	piːrəpənt
pîroz	piːɾuz
pîrût	piːrut
pîtazî	biːtɑːziː
pîvandin	bʲi
pîvaza şîn	biːvɑːzɑː ʃiːn
pîvok	bivog
pîvyar	biðjɑɾ
pîvîn	piːvin
pîzûr	izuzʃjɑɾ
pûç	pˈˈutʃ
qabîlcewz	qɑːbɪlʒoz
qajik	qɑʒɯc
qamet	qɑmæt
qamîşlo	kɑːmiːsˈloː
qan	qɒn
qantir	qɑntʃɯˈr
qaweyî	qɒvˈigi
qazyax	ɢaziaq
qaçaxîkirin	qɑtʃɑɣii̠kɪ̞rɪ̞n
qaşil	qɑːʃˈl
qaşo	qɑʃu
qaşûl	qɑʃuːl
qaşûl kirin	qɒʃuɵl kɒɾæn
qebîle	qɪˈlɑ
qederk	kɯ̞rk
qedexe	qadxah
qehirî	qɛjhɪ̞ɾiː
qehwe	qɛhlæ
qelişk	qæjlɪ̞ʃk
qelyûn	qɑljuːn
qemyon	kamˈjˈo
qemçî	pampʃʃi
qenc	fant
qeqlîbaz	pəgˈlˈibaz
qer	qɑr
qerac	qarɑtʃ
qerem	kɐrɐb
qeretûn	ɢɑːrɑːtˈun
qerisandin	qɒɾˈiˈsɒndiˈnˈ
qerisî	farəsi
qerisîn	parisiːn
qers	karse
qertîş	kɑrtjʃ
qesd	tʃiːziqɑsˈt
qesd kirin	qɑst qɪ̞rɪ̞m
qeseb	wɒsəb
qesrê	qasɾi
qetek	atɤk
qetik	qätɯ̞k
qeware	qawɑrɑ
qewimîn	qaːwmiː
qewl	qɑwˈl
qewlik	qɛwjlik
qeytan	qɑjˈtɑn
qeytanê qundirê	aːjtɑnɛ qndri
qijik	qʏ̞ʒʏ̞k
qijilandin	qʏdʒəlɑndɯn
qijilî	qoˈʒli
qijilîn	qoʒliːn
qijûle	qaːʒuːla
qincîk	qɯ̞ndʒiːq
qinyat	qˈnjˈat
qinyat anîn	qeniaːtʔɑnɪ
qirk	qʊ̞rk
qirêj	tɹˈeʃ
qitme	tɑzəmɑ
qitmê	qɯtˈmiː
qiz	ʁiz
qolan	ɢoːlɑːn
qop	qɔp
qorega	oɾaga
qoser	qpɔsɑɾ
qram	qrɑm
qubîn	obim
qul	qɑl
qulp	qɔlp
quncir	kundʒɒˈɾ
qundex	qundɑq
qur'an	qɾaːn
quz	qɔz
qê	qe
qî	fˈiː
qîr	tiːr
qîr an qîj kirin	qiːr ɑnɪf qiːʃ qiːrən
qîşle	tiːʃlø
qûm	u
qûn	un
qûnbigû	qunbʊˈguːl
qûçikê	ɢoɫtʃikɨ
ra	ɾɑ
rabûn	ɾɑːbun
rakirin	raqirɯn
raman	ɾɑːmɑːn
ramyarî	raːmiːɑːri
ramîz	ɾɑːmiːz
ranye	ɾanja
raperîn	ɾɑːbhrĩːn
rasipêrî	ɾaːsjpɛɾiː
rast kirin	ɾɑʃtkʲɪrʲɪn
rastnivîs	rasneviːsʲ
rastnûştiş	ɾɑstnuːʃtʃ
rastî	rasti
ratib	rɑtɯ̞p
ravrav	rofˈrofˈ
rawestandin	rawɒˈstɒndil
rawestayî	braːoːstaiː
rawestîn	ɾaːvosteːn
ray guhestin	lajgoastɒːn
rayî	ɾɑːiː
razgeh	ɾɑːzgɛ
razgir	rˈɑzgɯr
razyar	ɾɑːziɑːr
re	ɾɑ
regez	rgəz
reh	rra
rehm	rɑːm
reml	ɾamɛl
req	rɑp
reqe	ɾɑqˈɑ
resen	nɑːn
revde	rafda
rewtik	rɐutɯk
rewze	rawzə
rexrexkî	ɾɛχɾɛχki
rexrê	raxˈri
rextik	rɑqtɯ̞k
rexş	rˈaxt
rez	rɑs
reş	rˈaʃ
reşal	rʃɑːl
reşandin	rɑʃɑmdʲɪn
reşkotî	ɾʃkʊˈdʲi
reşreşik	ræʃrɑʃɯ̞k
reşît	bʃiːd
riba	bɔ
rica	rð̞ʝːa
ricifandin	rdʒiːfandɪn
ridwan	bradwaːn
riha	rɑħɑ
rihan	rˈəxaːm
rihazer	ɾɒːɒzɒr
rijîn	rˈeʒiːn
rikêb	ritʃ
rimbêz	ɾæmˈbeːz
rimmasî	rmɑːsiː
ritlawî	rtəlaːviː
rivd	ʐɨft
rivdek	rɔbdaq
riwange	aːwəŋɟə
rizyane	arɪdʒiːjɑnɑ
riş	rɛʃ
rişanewe	rʃaːnaoj
rişk	rəʃk
rişta	bɾʃta
ro	rɔ
robar	roːbɑːr
robyan	ɾubˈjɑn
rodaçûn	roːdætʃuːn
rojanîn	ɾuːʒɑːniː
rojava	loːʒɑːbɑː
rojbîn	roʒbim
rojname	rɔʒnɑːme
rojî	ɾʊʒiː
rojîgir	ɾuːʒigɯ
ronahî	ɾɔnaj
ronahîker	ɾuːnjɑːhiːkʰeːr
ronî	ɾoni
rotik	rɔtɨk
rovî	rovi
royijîn	rojeʒiːn
roşan	roʃɑn
runıştek	ɾuːniʃtɒk
rê	re
rêbaz	ɾibaz
rêg	rejg
rêheval	reːɦvɑːl
rêkok	rɛjkou̯
rênîşanêr	ɾiniːʃɒːneɾ
rêsî	resi
rêvaz	riːvɑːs
rêwi	re̞vi
rêziman	ɾizæmɑn
rîh	rˈif
rîhan	ɾiːfɑn
rîst	pɾist
rîtin	rʲitɪ̞n
rîx	riːx
rû	ruː
rûbar	roːbaːɾ
rûbend	rʊ̞bənt
rûgeş	ruːgəʃ
rûhat	ruːɦɑt
rûken	ruːkaiːn
rûniştin	rħnʃtɪm
rûniştvan	ruːnʃtˈvɑːn
rûniştî	ɾuːnʃtˈi
rûs	rus
rûspî	ɾaspi
rûsya	ɾusja
rûv	ʁuːf
rûvî	pɾuˈvij
sabit	sɑːbɪt
sak	sak
sakine cansiz	sɑkɯnɯ ʒansɯz
sako	sˈakˌu
sal	sɑːl
salî	sali
sanandaj	saːnɑːndɒːʒ
sandal	sɑːndɑːl
sar	sɑːr
sason	sason
savar	savɑr
sax	sɑq
sayer	sɑjɑr
seb	sˈab
seb kirin	sab kɪ̞ræm
sebav	sobo
seboker	sɒbwkɒr
sebîl	sɑbiː
sefer kirin	sæfæɾkirɪ̞m
seg	sˈɛg
seh	sæ
seh kirin	sæχkɪ̞rɪ̞n
sekinandin	sækænæɑmdɪ̞m
sekinîn	sakʃanˈid
sekstant	sɛkstɑːnt
selahattin demirtaş	sɛlaːħadtɪn dɪmɪrˈtɑʃ
selik	sɑɫɯ̞k
semafor	sɑmɑfʊr
semasî	sˈamˈɛ̃θi
semsûr	sansuɾ
sencabî	sndʒɒbi
sendelî	sˈɛndˈəlˈig
sendûq	sanduːq
sengav	sænˈgɑːl
sepei	sapɛj
sept	sɛpt
seqiz	sɑqɯz
ser	sɛr
ser dan	sardɑn
ser û pî	sərˈʊpːi
serad	tsɾɑt
serav	sɛrɔv
serban	sæɾbɑːn
serbazî kirin	sɾbaː ziː kɪræːm
serbest	sɛrˈbɑst
serbestî	sɛrbɛstɪ
serbilind	særbälin
serdest	sɛrdɛst
serdestk	sɛrdɛstk
serencam	sæɾˈændʒɑm
seretayî	sæɾtɑːji
serf kirin	bæɾʊ̞wkɪ̞rɪ̞n
sergerdan	særgærdɑːn
sergo	sargo
serguh	sɛrgʊ
sergîn	sɛrgjn
serhildan	sˈɛrheldaːn
serhişk	srfɑʃk
serkeftin	sakftæn
serleşker	sæɾˈlɑʃkɑr
sermawez	sarmaːwz
sermezin	saːrmɑzɯm
sernivîs	sɛrˈnevis
serobino	sarobɛnˈou
serok	srk
serokkomar	sæɾuːgkʲæmɑr
serokwezîr	səˈrokwaˈziːr
serpilkî	səɾpəlkej
serqe	sɐrqäː
serqetlim	tʃarqɑtlɨm
serê kaniyê	sɛːreː kaːniːe
serêş	sɛrˈʃ
serşok	sɛrˈʃauk
sewal	sæwɑl
sewl lê dan	saːvl deːdan
sexî	sajxˈiː
seyrangeh	sæjɾaːng
seyyah	sejˈjɑ
seyîd riza	sejd rozaːl
sibat	sabat
sibrîk	sɛbrik
sicade	sɪdʒɑːdɑ
sifir	ˈsøfɛr
sih	sɯ
silav kirin	slɑv kɛren
silaxûr	slɑːxʊr
silaxûrî	slaːxʊri
silk	sɪlk
silêmanî	sælæmɑnɪ
sim	sɪm
simbêlboq	simbːilˈbuːq
simêl	sɛme
sindrûk	sɛndruːk
sinjar	seˈndʒaːr
sinkot	sɛnˈkɔt
sinêde kirin	seni iˈdæ krn
sipeh	spɛʁ
sipî	spi
sirb	sɯrp
sirîç	sriːtˈ
sist	sust
sitrandin	sidɾandɯn
sitrîn	sitriːn
sitû	sɔtˈu
sivik	sɯvˈɯk
sivnik	sɯ̞vnɯ̞k
siwarî	sʊɑːri
sixêf	sχʲiːf
sixêfker	sxifkər
siyaset	siːjɒːsæt
siyasetmedar	siːjɑsætmædɑːr
siûd	sˤaʕuːt
slav	slɑv
slav dan	slav don
sobarî kirin	sʊ̞bɑɾiʲikɪ̞rʲɪm
sobayî	sobɑaj
sobe	sɔbɐ
sofî	soːˈfiː
sohbetxweş	sˈɑhbətxwˈɛʃ
sol	fɔːl
solav	soːlov
sor	sɔː
soran	soɾɑm
soranî	sɔɾɑni
soremoz	soʁɑmuːz
sorgun	soɾˈgyn
sormemedan	soɾˈmæmædæn
sorsorik	soɾˈsɔɾʊ̞k
sosret	sɔsrɑt
sosretî	sʊsrɐtˈi
sparta	sparta
spartin	spartɪn
spas kirin	spaz kɾˈɛn
splender	sendɑˈr
spêde	spiːda
standin	stondɯn
stembol	stɑmbɔl
stirandin	stɛrɔːntɛn
stirh	stɪr
stratecî	strɔtɛdʑi
strî	tr̝i
study	dˈɛrs
stêr	stˈɛɾ
stêrek	stɛjrak
stêrk	stɛrk
stûr	stʊɾ
stûxwar	stʊxɔɾ
stûxwehr	stʊxʊ̞ɑr
sur	sɯɾ
swarî	sˌuˈɑri
swêd	swɪd
swîsre	swijstra
sê	se
sêgirka	sʲɛgɐrkɐ
sêgoşe	segoʃɒ
sêkûç	sekutʃ
sêl	se̞
sêlak	sejlɑːk
sêpil	sɛpɨn
sêqas	sɪkɑs
sêrt	sɛrt
sêv	ʃiv
sêwas	sevos
sêwaz	seʊˈɑzɨ
sêzdeh	sizda
sêzerik	sʲizʲæ̹rʲɪk
sêşem	seʃem
sî	se
sîber	sˈiːvɑr
sîleh	sˈilˈa
sîne	siːnæ
sîng	sˈiŋ
sîpahî	sbãːhiː
sîpe	sip
sîpêl	sipeu̯
sîqirandin	siːqɒɾɒndˈin
sîqirîn	sˈiːqɔːɾiːn
sîr	sˈiɹ
sîrim	siːrɯm
sîya	sija
sîyabend	siːjaːbˈɛnt
sûlih	sulɛ
sûnc	sowˈnʃ
sûnd	fou˥
sûr	fou˥
sûravêlk	suɾʔɑːvelk
sûrî	sʊˈriː
sûsk	suzk
sûxr	suhɯr
sıbê	səbˈi
ta	fɔː
tac	tˈɔtʃ
tacdar	tɑːdʒdɑːr
tacdîn	taːdʒdeːn
tacir	tɑːdʒɯɾ
taco	tɑːkɔ
taczer	tɑːdʒer
tahl	dˈæxel
tajê	taʒɒ
taktîk	kɑkˈtiːk
tal	taːd
tam kirin	tɑm kɪrim
tamazxa	tɑˈmɑːzɑː
tarikselat	tɑːrɪksalat
tarî	tori˥˩
tarîx	tɑːriːx
tasik	taːsɯk
tatîlan	taːrdiːlɑːn
tav	tɔv
tavatî	kɑːnfˈtiː
tavbanû	baːbæˈnuː
tavilê	tɑːvənˈliː
tavê	tove
tawan	tɒːvɒːn
tawanbar	tɑwɑnbɑɾ
tawanbar kirin	tɑwɑn bɑr kɪ̞rɪ̞n
tax	tˈɔx
tayîk	taːk
taşliçay	tɑʃɫʊtʃɑj
te	dˈə
tebat	kʰæbɑt
tebatî	tɑːˈbɑːtiː
tebax	tɑːbɑx
tebûr	tabulɯr
tehl	tˤɑːhl
tehlîsk	tɑhlisk
tekandin	tɑkɑndɯm
telefon	tˌeləfˈon
telefonî polisa bike!	t̪elˈfoni pəliːs hɑːbʊk ka
telefûn	tʰelˈfon
televîsyon	televisijon
telezm	teˈlɑːzæm
telgraf	tˈˈarˈgrˈaf
telgrafxane	targrapχana
telî	tɛliː
telîk	dˈəlˈiːk
telîpê	tɪlˈeːpˈe
tema	tɛma
temazelk	tɑmɑzɑlɑk
temaşe kirin	tʰɑmɑʃːakiriːn
temisandin	tɛmsɑndɯm
tenê	teni
tenûr	fɑːnˈuː
tepevan	tæpˈvɑːn
teqwîm	taqaoːiːm
tera	tɛra
tera bûn	tarɑːbwn
teraf	tɑːrɑːf
terazûn	tarɑzum
terd	tʌrt
teredîn	tˈɾdiːn
tert	tɑrt
terîşk	tarisk
tetwan	tɑtʰoːn
tewerz	tɔez
tewz	taʊs
texmanis	tæxˈmɒnæst
text	tˈaxt
teyare	tɑjˈɑɾɑ
teyr	tɑjɯ̞r
teyrik	bʊ̞jrɯ̞k
teyrok	pajruk
teşt	kʲiːt
ticarî	tɛdʒaːri
tifaq	tˈɛfˈɑ
tifik	ðˈɛfk
tilmisk	tilmisk
tiraş kirin	tɾɒʃkɾim
tirbespî	tərbɛspi
tirh	tɪ̞rʲɪ
tirhî	trɦiː
tirikandin	tɯ̞rɪ̞kɑndɯ̞n
tirk	tˈɪrk
tirkî	tsirkiː
tirrşik	tɯ̞rʊ̞ʂtʃɯ̞k
tirsandin	tʊ̞rsʊ̞ndʲɪn
tirsonek	tɪ̞ɾsʊ̞nʲɪk
tirsîn	torsiːn
tirêmbêl	tsuɾejmbeːl
tirî	tr̝i
tirş	tərʃ
tirşik	tʊ̞rʂɯ̞k
tiving	tˈavug
tiyamat	tiːjɑːmɑːt
tizbeh	tizbe
tiştinan	tʃtɒːnɒːm
tofanî	tæfɑːniː
tohv avêtin	tɔwɑl ʔɑwɛtɨm
tonaj	tʊnɑːʒ
top	tɔp
top avêtin	tɔp ʔɑwɪtlɨm
topo	tɔpɔ
torange	tɔrɑŋɑ
torpîd	tɔɾpiːt
tortorîk	tɔɾtɔɾi
torê	tʊɾiː
torî	plori
tozmij	tʃiːzitʃiː
treblûs	tɾabluz
trên	tɹˈe
trênxane	trajnxane
tu	tuː
turdas	tʊɾdɑs
tutun	tutun
tutun kişandin	toɦteŋ ɟiʃandoŋ
tutun vexwarin	tʏ̞tʏnʏ̞bäχɫɑrɯ̞m
tuyêrek	tˌuˈjərˌɑk
tê	t̪e
têbinî	pebni
têhni	tʰejhɪ̞nɪ̞
têhnî	te̞ɦniː
têjfêhm	te̞ʃfim
têkber	tejɢɯ̞bær
têketin	tejkʰitːin
têmûr	teˈmur
têperîn	teːpeɾin
têr	tɪ̞r
têrr	tˈɪr
têrtije	teɾdɛʒɑ
têvel	tɛːn
têxwît	tʃtʃɔ̞iːt
tî bûn	tibun
tîgra	tˈɛgɾʊ
tîp	tipˈ
tîr	tɪrˈ
tîrmeh	tʲiːrmæ
tîto	tito
tîtî	ti˨˩˦ti˨˩˦
tû	du
tûj	duʒ
tûjela	tˈɔ̃lʒɑ̃ˈɛlˈɑ̃
tûpişk	tʊɫpɯʃk
tûtax	dˈoːtɑːx
tûtik	tʊɫtɯ̞k
tûtya	tɔtia
tûtê	tute
tûzik	tˈuzik
vala	vˈala
valaçû	væˈlætʃoː
vam	vˈa
vangul	ʋɑːnˈgʊl
vate	bˈɑtə
vateyo verên	vatæ pæriːn
vateyê verênan	vatˈiː veriːnɑn
vatî	væʔiː
vaya	vajɑ
vebirr	vabær
vebirrîn	vabarɾiːn
vehêl	ðæhˈl
vehîn	fahən
vejen	ðæʒˈɑn
vejîn	vægˈin
vekirin	ʋɐkːirɨː
vekirî	vˈakri
vekêşîn	okɛːʃiːn
veniştîn	bˌɐnˈɐʃtˈiːn
verek	ðˈɾek
verişîn	væɾˈʃiːn
verêkirin	laɾeːɯkɯrim
vesihîn	næˈsˤæen
vewr	zɑwɯ̞r
veçandin	ɒtʃandɒn
veşartin	waʃaːrtən
veşartok	kəʃaːrtʊk
vil	vl
vir	vˈɪl
vira	væra
virr	vr
virrek	wrʲk
viyan	vjæːn
vizvizîn	vˈasvˈɑziːn
vêketin	vˈeːkatˈɛm
vên	veːn
vêrvan	vɛrˈvɑːn
vîn	vˈiːn
vîna	vˈiːnɐ
vîndar	viːnˈdɑːr
vîyan	fian
wa	uɔː
waran	varan
warzan	ʊɑrzɑn
warî	oɑri
warîn	ɔɾˈin
we	ue
weha û weha	wɑhɑː wɑhɑ
wehdet	uːæħadetː
wehş	wɑːħˈʃ
wehşî	voʃˈʃi
wek	uak
weke	ɫækæ
welat	uɔlɑt
welatevîn	væˈnætɑːbiːn
welatparêz	mulɒtpɒris
welatperestî	tʃivialatsʃpərɛsti
wellehîn	wallahin
welê	ɔːlɪ
wendî	uẽn̪d̪iː
werandin	ɒˈɾaˈndeˈm
werda	guarta
werdek	ʋɒrdˈɒk
werdî	varði
were	oˈhɾa
werf	wˈɛlf
werger	wærgər
wergirtin	bærgʲɪrtʲɪŋ
werivîn	orvim
werwer	wərwər
werz	uɛrz
werziş	ʊɛrzɪ̞ʃ
werîs	orˈɛs
werşî	varʃi
westgeh	oɪstgˈa
westiyayî	wɑsˈtijɑːˈiʔ
westîn	poste
wezîr	uazir
weşe	vˈæʃa
weştî	aʃtiː
willkommen	vˈɛˈlkˈomən
win in	wˈɪnən
wir	wɜː
wirdî	ʊɾdiː
wirya	wlja
wirşe	ʊɪ̞ɾʃæ
wusa	vˈɑsa
wê	wˈe
wêje	oˈeʒɐ
wêjewan	wiːʒæwɒn
wêne	vænæ
wênedank	uʲimɛðaːnx
wênekêş	u
wêran	gujrɒn
wêrîn	beɾiːn
wêstge	vɨʃtka
wî	wˈi
xacirgan	xɑːdʒɾe̞gɒːn
xak	xɑq
xalet	xɑlˈb
xalis	xɑːlæs
xalo	χælʊ
xaltîk	xɑlˈtˈik
xalîse	xɑːliːse
xalîçe	hɑqəlaːʃe
xanko	χɑnˈkuː
xanza	ɣɑːnˈzɑː
xanzê	xanˈzi
xanî	xɑːniː
xar	ɣar
xarpût	xarpʊˈt
xarın	χɒɾiˈn
xas	xɒːs
xasî	xɒːsiː
xav	xɑːv
xaîn	xɑːiː
xaş	xɑːʃ
xebat	χɑbɑt
xebate	χabatə
xeber	xɒˈbɒːɾ
xebero	χæbˈroː
xebitîn	χæbˈtˈin
xecîcok	xʊ̞ːtʃjdʒoːk
xelas kirin	χælɑskɛrɛn
xelek	χælik
xeleng	xælʌng
xelet	ɢalət
xelitandin	pɒlɒthɒndim
xelitîn	ɢalatsiːn
xelîl	xæliːl
xemgin	ʁɛmˈgiːt
xemilandin	χæmjɪlandɪn
xemilî	xmli
xemlo	xamlo
xenamî	ɣnaːmi
xeniqandin	χɛnẽqɑmdɯn
xeniqîn	χænqˈin
xerab	χɾb
xerabe	xaˈrɑbə
xerabtir	χɒˈrɒbˈdɒɾ
xerdel	xardal
xerindol	χarɛndoːl
xerîb	ɣriːb
xesirîn	xʊ̞sriː
xew	xau
xew kirin	χɯ̞w kɪ̞rʏ̞m
xewlî	xʊlˈliː
xewn	xæoːn
xewokî	ɣ̞ɛewokj
xeyb	ɣæb
xijmijîn	xjdʒmg
xilas kirin	xjɪləs kɪrɪn
xirabika	xtʃarabka
xiran	χæˈrɑːn
xirandin	χɪˈɾɑndin
xirbexezel	χɾmvxazæl
xiristîyan	xɾɪstijɑn
xirtik	χɪ̞rtʲɪk
xitin	χɪ̞tɪ̞n
xiya	ɦɪˈjɑ
xiyan	xeˈjɑn
xizim	ɣəzim
xizmet kirin	χizmætkæˈrɪm
xizmetkar	χzˈmætkɑːr
xizorkîn	xzɔrkiːn
xodîga jêrîn	xo diga ʒæˈrin
xol	xʊʒ
xonçegul	xonˈtʃgʊl
xopan	χoːtan
xormekan	nˈɑjrme̞kə
xort	xʊrˈd
xoybûn	xʊ̞jbuːn
xoşewîstî	xʃʔiːstiː
xoşîman	xʃʃiːmɑːn
xoşîn	xoʃiːn
xunav	xomnɑm
xung	xuːnd
xurdezad	xordzæɢæd
xurt	χuːrt
xurûs	ɣruːs
xutbe	χudba
xuşk	xʃ
xuşkek	koʃtk
xwarzê	xɔːrziː
xwastin	χoɒstˈin
xwe şûştin	aː ʃuː ɪstsɛn
xwedê	xwadˈe
xwelî	xɑlɪ
xwelîdank	xolidɑnˈk
xwendekar	xoɾnd̪kɑːr
xwestin	χɔstim
xwezaparêz	xʊ̞zɑpʊ̞ɑːrɪz
xwezla	ɣʊˈdʒɑlɑ
xwezî	xʷæziː
xweş	xwˈɛʃ
xwişk	ʁiʃk
xwoce	xʊ�a
xwîn	xwan
xwînxwar	χoːˈinxwɑːr
xîzî	xiziː
yadê	jɑːdiː
yanzdeh	jɒnˈsdɒ
yar	jɑːr
yard	jɑɾˈdɯ
yarde	jɑɾˈdɑ
yarko	jˈɑːɾgˈoː
yarsan	jɑːɾˈsɑːn
yaxt	jˈɑqt
yazdeh	jazda
yek	jak
yekgirtû	jˈakkrtu
yekkerkirin	jækkərkʲɪrɪ̞n
yeko yeko	jakojako
yekîtîya dewletên emrîka	jɛkʲeˈtija dɔlatsʲin ʔabarika
yekîtîya ewrûpa	jækijtiːjɒː ɒvrubˈhɒ
yekşem	jækʃæm
yew	jɛu
yewbînî	jaubiːni
yewbîyaye	juːbi
yewendes	jɛndæs
yewin	jæwɪ̞n
yewnanî	ʃoɣnaːniː
yewşeme	jɒuˈʃɒmɒ
yezdan	gæzˈdɑːn
yomî	iomi
yê	je
yên te	jente
yîma	iːmˈɑ
zaft	zɒft
zagon	zɑːgɔn
zaha hadid	zæhˈħadˤiːd
zamo	zɑːmɔ
zana	zɑːnɑː
zane	zɑːnɑ
zanqirt	zɑnqirt
zanîn	zɑːnɪm
zanîngeh	zɑnɪmgæ
zar	zɑːr
zara	zara
zarok	zɑːrʊk
zawa	zɑːvɑː
zaxo	zɑxʊ
zayendî	zaːjəndiː
zayîn	zæˈʔiːn
zaza	zɑzɑ
zazakî	zəzki
zea kirin	zæɾakrɪ̞ŋ
zehf	zˈħf
zehmetî	zæhmætɪ
zekat	zˈakˈaːt
zelal	zælɑn
zelalbûn	zalʔalbuːn
zelalkirin	zæ̹lælkɪ̞rɪ̞n
zelalî	zælɑːliː
zelate	zˈɑlətˌɛ
zelilandin	zæliːnˈdɯn
zelilîn	zəlˈliːn
zeliqndin	zɯ̞ɫɯ̞qɯ̞ndɯ̞n
zeliqok	zalaqok
zeliqî	zəlpi
zeliqîn	salaqjn
zelq	zælq
zelqoyî	zælˈqɑːj
zelûl	zalûːl
zelûlî	zəˈlulə
zem	zɯ̞m
zembele	zændælæ
zembelik	zæmbælɪ̞k
zembeloq	sambalo
zembelûk	zambalˈouk
zemberek	zæmbarek
zemberîş	zæmbarjʃ
zembûn	zamˈbun
zemherîr	zˈɑmhˈriːr
zemkirin	zəmkɪ̞rʲɪm
zenbîl	ðænbjɪl
zencefil	zəngefˈl
zencîrkirin	zændʒiːrkɪˈræn
zende	zɛnda
zendekirin	zændæˈkæˈrɛn
zeng	zæŋg
zengelor	zngloɾ
zenggirtin	zænkɪrtɪ̞n
zengila zoma	znglzoma
zengoyî	zˈængˈoːʊɪ
zengîn	zəngˈin
zenî	zˈæni
zenûn	zannuːn
zeqt	zæqt
zeqtandin	zɑqtɑŋˈdɯn
zer	zæɾ
zeraqe	zraːqa
zerbûn	zrbun
zerde	zərda
zerduştî	zrdʊˈʃti
zerekî	zrki
zereng	zrng
zerengî	zəɾəŋgi
zerenhît	zrnhˈit
zerezîp	ðərəziːb
zergeh	zrgah
zergûn	zrgul
zerik	zɛrɪ̞k
zerikîyan	zrkion
zeriqîn	zrqjˈjˈn
zerketav	zrkɐtaː
zerkirin	zærkɪ̞rɪ̞n
zernîx	zrnix
zerone	zaruna
zerqoyî	zarqoi
zerrîn	zˈaːrin
zerzeng	zəˈrzəŋ
zerzewat	zrzwaːt
zerzûr	zɑrzuːr
zerçûbe	zrtʃuba
zerêle	zrla
zerêşk	zrʲiːʃk
zerîşk	zrk
zewade	zwada
zewî	zəwi
zextî	zæxti
zexîre	zæxˈiːrɑ
zeynebî	zjnbʲi
zeyt	zˈeɪt
zeytûn	zˈeˈtˈouːn
zia	zˈa
zibil	zˈbˈl
ziftbûn	zˈaftobˈuɫin
ziftkirin	zɪ̞ftkɪ̞rɪ̞n
zigurt	zˈukurˈt
zigurtî	soːgərtiː
zih	z
ziha	zəˈhɑ
zihîn	zˈɛhiːn
zik	tsɛ
zikkirîn	zakrin
zikmak	zəkmak
zikreş	zˈɛkɹˈɑʃ
zikreşî	zˈɛkɾˈɑtʃi
zikçûnî	zaktʃuːniː
zikêş	zɪkɪʃ
zikêşî	zɪkʲeːʃiː
zil	zˈɪl
zilam	zʝlɑm
zilamtî	zlaːmtiː
zilf	θɛlf
zilik	zɪ̞ɫɪ̞k
zilim	zɯlum
zilore	zloːra
zilx	zɛlˈʃ
zilzilîk	zəzəˈliː
zilûkkerî	zˈluːkɾiː
zimandirêj	zəˈmondreʒ
zimandirêjî	zmandrɛʒi
zimannas	zmanˈnas
zimannasî	zæmɑnˈnɑːsi
zimanzam	smangzɑm
zimanzan	zˈmɒnzɒn
zimanzanî	zmanzɑːni
zimanê dayikê	zmaneː daːjiː kiː
zimanê ga	zmane gɑ
zimanê xesûwa	zmaːne xosuː wa
zimezim	zɯmɑzɯm
zimpara	zɯmˈpɑrɑ
zimzim	zɯmzɯm
zincir	zɛndʒer
zincîr	zndʒiːr
zind	zɪnd
zindawer	zɯmdaːvaɾ
zindebar	ziˈndabɑːr
zindebûn	zɪndɑːbun
zindewar	ziˈndabaːr
zindewarî	zəndaːlaːri
zindî	zeːnˈdi
zindîtî	zeːnditi
zingar	zngr
zingargirtin	zɪ̞ŋɑrgɪ̞rtʲɪm
zingarkirin	zɪ̞ŋgärkɪ̞rɪ̞n
zingarî	zəŋgaːri
zir	zɪ̞r
zirandin	zrndim
zirav	zəˈrɑːv
ziravbûn	zrɑːvbuːn
ziravik	zravak
ziravkirin	srɑːfkɪrˈeɪm
zirbav	zrbou
zirgêjnok	zrgidʒnk
zirheç	zrhˈətʃ
zirincî	zrnʒi
zirkêtk	zrkɪtk
zirm	zɪ̞rm
zirmzirm	zɯ̞rmzɯ̞rm
zirna	zrnɑ
zirnebêj	zrnəbeiʃ
zirt	zrt
zirtdan	zrtɑn
zirte zit	zrtazɨt
zirtek	zərtək
zirtekî	zrtjkaj
zirtemêr	zrtɑmiɾ
zirtilî	zrtjɪ
zirtonek	zrtou̯nək
zirx	zrx
zirên	zrɪn
zirêç	zrjɛjtʃ
zivarî	zvaːri
ziving	zəvnk
zivirandin	zvərɔndɛ
zivirîn	zavri
zivistankirin	zɪwɪsdankɪrɪn
zivistanî	zwɛstaɲi
zivr	zɯbɯɾ
zivrî	zivri
ziwa	zua
ziwa kirin	zuaː kørym
ziwabûn	zuaːnduːn
ziwan	zævɑn
ziwayî	zˈˈɑlˈaɪi
zixt	zˈɒst
zixur	zəxoɾ
ziyan	zijɒn
ziyankar	zˈiːɒːnkɑːr
ziyankarî	ziʔɑːnqɑːri
ziyaret	zijɑːrɛt
ziyaret kirin	zijärətqiɾˈən
zo	zo
zodarî	zodaːri
zolak	zɑˈlɑːk
zom	zum
zomb	zomb
zor	zɔɾ
zorbaz	zæɾbɑːst
zorbazî	zæɾbɒːziː
zorbirin	zɔrbɛrɯn
