't	tʰtʰtʰtʰ
inverständnis	ɪˌnfɜstˈɛndnɪs
inwahner	inbona
inwahnerdicht	iːnvˈɑːnədʪçt
inwahnertall	ĩːnˈvɔlnɑːtˈal
inwannerer	ɪnvˈanara
inwannern	ɪnvanam
inwennen	inven
inwickeln	ɪnvɪkaːn
inwiesen	ɪnvˈeːzən
inwilligen	ɪnvˈɛlɪdən
inwrieven	infr
inösen	ɪnojm
inöven	ˈɪnˈøːvən
inööschen	ˌɪnˈoːʃɪn
in’n stannen	ɪnstan
iod (jod)	keut̪
is	una
isch	pʲiʂ
isenbahn	ɪsɪnboːn
isenbohnpohlopundaaldreiher	ʃanŋboːnpoːlʊpmʊndoːldraɪjːɾ
isoleren	izoleɐm
italjeensch	jtˈaljˈeːnʃ
itt	it
ittst	jˈɛtst
jachthund	jˈaxthʊnd
jachthuus	jˈafthuːs
jack	ljak
jackelig	jˈakɜlˌɪç
jackeln	akke
jackhals	jˈakˌhˈals
jackhalsen	jˈakˌhɑːl
jackhäls	dˌiːzəkˈɛlt
jagdschien	jˈaxtʃˈiːn
jagen	lˌaʊtˈnˈ
jahnen	jˈɑːm
jalpsch	jˈalt
jammer	tʃama
jammerig	ʃɒmɒɾˈaiɕ
jammerschaad	jˈɑmɜʃˈɑɾt
jan klapperbeen	xak laba b
janken	ʃaŋɟɯn
jannever	ʃaneva
jansbeer	jˈɛntsbˈiːɹ
januar	kianuo
japaansch	jˈʌɹpˈaʊnʃ
japen	kɒlpmi
japer	jˈɑːpˈah
japp	jˈup
jappen	gʝapmɪ
jappst	jˈɑpst
japsen	japʃɯm
jaueln	djˈɛnˈa
jaulen	jaumɨn
je	k
jeedeen	ʃɛjdˈein
jeedwereen	ʃtˈvˈeːɾtˈɪʃ
jehannsbeer	kʃllˈhˈanʃbeːr
jehannsdag	kɛ̞hˈantzdˈax
jem	kem
jeneerlig	ʃeneːɾlˈɪç
jennever	ʃaneva
ji	ʒi˥˩
ji doot	ʃiːtɛʊt
ji harrn	dʒiː˥˧ham˥˥
ji hebbt	ʃiː hapt
ji sünd	ʒiːzənd
jicht	ɪçt
jichtens	kʲɪçtənʃ
jichtenseen	iːtjˈɪçtənztˈɪʃ
jichtenswat	jˈɪçtɛnsvˌaɾt
jichtenswelk	kɪçtənsvˈˈɛlk
jichtenswo	tˈɪstənsvˌoːl
jiddelig	tjətəlnˈɪç
jidder	dʒɛda
jiddsch	kˈɪtʃ
jiepeln	zˈɪç
jiepen	ɟipɛn
jieper	ʃtipa
jiepern	kiba
jiffeln	kifin
jippeljappel	ʒipɛljapɛ
jo	lˈɔ̃
jobenaam	kowpɛnom
jobenaamd	ʃoːbənɑːmt
jodendom	hˈɛldˈændəm
johr	ljoa
johrbook	ibɒlpɒlˈk
johrböker	aɔpɔkˈa
johrdusend	hʊˈɫbˈuːsənt
johrgang	siuaɢan
johrhunnert	jˈuhˈʌnɚd
johrmarkt	aʝmaːkt
johrsbericht	jˈuːvəsbərˈɪçt
johrsdaag	tˈiːzəstˈoːɹ
johrsdag	kʰoːstɑ
johrstiet	ˈeɪfɹæstˈæˈɛ
johrteihnt	jˈʊɹtaɪnd
jood	dˌiːzəm
joon	hioŋ
joot	nˈoːt
jopp	dʒoːp
ju	ʃoŋ
juckeln	fokʝa
juffer	ʃˈɔfˈa
jugen	jˈubˌin
jugendharbarg	jˈuːgənthˈɑːɾbˈaɪnən
juli	iulia
jumfer	hjumfɑ
jumferkranz	ʃuːmpˈfˈɛɾkˈrˈantts
jumpen	ljompɔ̞
junggesell	kiũnkezel
jungkeerl	jʊŋkˌeːɾ
juni	ljuni
juristeree	tiurɪstareɪ
juuch	iːo
juuchen	jˈuːxən
juuchgruuv	jʊhrʊv
juuchheien	oho
juud	tˈɛ
juun	kiũŋ
jägerslüüd	keːjiːgɛslut
jähnen	n
jöden	jøːdən
jöken	hjˈɛldˈ
jörnsdörp	kˈæntstˈɑːp
jööd	gøjd
jöödsch	jˈɔ̃tʃ
jöögd	ɪst
jöökappeln	ʒˈoːɪkˈabəɾn
jück	dʒoq
jüdder	dʒɨdɛ
jüffer	ʃufa
jüm	dʒɯm
jümehr	ʒˈɪmˈɛɹ
jümfer	ʒˈəmˈfˈɛ
jümfernfohrt	jʊmsenfɔːɾt
jümmer	ʃamˈa
jümmeran	ʃumɑrɑn
jümmers	ʃamæst
jümmerto	ʒʒmto
jümmerweg	ʃʏmmɛɾvˈɛç
jüst	dʒʊst
jüst so	dʒuʃtʃo
jüsterment	sʏstament
jüüch	ʒˈuʒ
kaakbook	tɔkˈtoˈk
kaaklepel	kˈɔklˈeɪbəl
kaaklöpel	kɒplɒpuː
kaakpott	kɔpˈɔd
kaat	kˈɑɹt
kaav	kɑːf
kabbelee	kˌɑbəlˈaɪ
kabbelie	kabəli
kabbelig	kˈɑpəlˌɪç
kachelaven	karɛlˈɔɾfən
kackeree	kˈɑkɜɛj
kackerie	kagɾiː
kackerlaak	kakˈalˈɑːk
kaff	kˈaf
kaffe	hævɪ̞
kaffebohn	kafˈeːbˈɔn
kaffekann	kafˌaɪkˌɑːn
kaffemelk	kaffɛmɪlk
kaffemöhl	kaffɛmˈøːl
kaffepaus	kafɛpˈɑːs
kaffeplant	kafˈeːplˈant
kaffetass	kafɛtˈas
kahl	kˈɔɹl
kahlkopp	kɑːlkˈop
kahlköpp	kˈaɛkl
kajolen	kaio˩˥ːlnˀ
kakelbunt	kˈaɾgəlbʊnˈd
kakelee	kˈɑɹkəli
kakelie	kˈɑkəli
kakellies	kakɑlɛs
kakeln	ka˥˥kə˥˥l
kaken	kˈɑːɾtən
kakenhitt	kˈɔɾpənghˈeːt
kalanten	kˈaltən
kalenner	kɑlɪnɑ
kalennerindrag	kalənˈnɑɪnˈd̪ɾax
kalf	kˈalf
kalfatern	kalˈfˈɾˈɑtɜn
kalfsch	kalfʃ
kalverig	kalbæɾiːg
kalverkropp	kalvakrop
kalverkruus	kˈalvɜkɾˈuːs
kalverkrüsen	kˈalfɜkɾˈyːsən
kalverlock	kalvˈˈalˈɔkˈ
kamberietsch	kampəɾiːtʃ
kamell	kˌamˈɛl
kamen	kʌm
kamer	kɔːmɜ
kameraadsche	kæmbe̞rɑːtʃe
kamp	kɑːmp
kamphund	kˈampərˌʊnd
kanaljenvagel	kˈanˌəlˈjənfˈɔɾgəl
kandidaat	kˈɑndiːdˌɑːt
kandidel	kandiːl
kanickel	el
kanink	kandʒɑ
kaninken	kannɪˌnˈɛːgˈ
kann	kɒn
kanonenduun	kanondˈum
kant	kænt
kanthaken	kˈanˈɛhˈɑgˌn
kantsteen	ɑllɪsɑːlɪs
kantüffel	kˈantˈvˈfˌfˌɛlˀ
kantüffelschell	kˈantˈʏfəlʃˈɛl
kanuten	kˈɑnʊtən
kanuut	kaːnˈlˈɛːt
kapern	kɑːbɑːm
kapitaal	tˈoːpitˈoːl
kapittel	kapitˈal
kapitteln	kapitˈɛɾn
kappen	kˈatən
kaprietsch	tkapɾitʃ
kaptaal	kaptɑːl
kaptein	kʌptaɪm
kaputt	kapˈuːt
kapuuz	kapˈuts
kar	kaɾ
karfreedag	kˈaɾfrˈeːɪdɜ
karjolen	taiun
kark	kˈak
karkenjohr	kakˈɛnˈlɛ
karkenkring	kˈɑːkənkɾˈɪŋən
karkenoolt	kˈɑːɾtənˈɛs
karkhoff	kɑːkhoːv
karkhööv	kˈænkˌoʊv
karktiet	kaːktid
karnen	kʌm
karnmelken	ka˥˩nmɛɾiːtuːn˧
karnuten	kˈanbˈuːtən
karnuut	kaːnˈuːt
kartüffelslag	kˈatˌoːfəlslˈax
karv	kˈaf
karz	kəts
kasbeer	kˈɑspɛɛ
kaschott	kˈaʃˈɑt
kass	kˈas
kassen	kˈæsəl
kassen haudegen	kasənˈ hɑldiːn
kassenzedel	kəsˌsəntsˌeːlə
kastang	kˈʌstɛ
kasten	kastˈeːn
katastroph	kˈɑtastɾˌoːf
katen	kɑːrn
katerdrellen	koːɾtɜnˈɾˈɛlˌn
katernettel	kɑːtlˈɛnədəl
kathoolsch	katawulʃ
katt	kʌt
katteker	kˈatlˈɛgˌɑ
kattenfalsch	kˈatənfˈalʃ
kattengloor	kˈatˌtənglˌˈoːa
kattengold	kapəngˌˈoːlt
kattenklauer	katənklaʊa
kattenkloor	katnkloːɾ
kattenkruut	katnaoːt
kattensteert	katɛnʃtˈœɾt
kattensteilig	kˈatənʃtˈaɪlɪç
kattig	katˈeːç
kattul	katˈuːl
kattulen	kat˦˥uaɾnˈ
kattuul	katˈuːl
kattuun	katˈuːn
katuhl	katˈuːl
kauken	kˈaʊken
kawarietsch	kavɑriːdʒ
keck	kˈeɪk
keddeln	kætəln
keed	kˈeɪt
keek	kˈeɪk
keem	kæˈm
keem reinke de voß	kˈɛm rˈaɪnɪgə dˈɛɾ fˈɔs
keen	kˈeɪn
keen utkamen mit't inkamen	kʰɪm ɔuːt kˈɔɾm dˈeːm ɪn kˈɔɾm
keeneen	kẽi̯n˧
keenmal	kæˈŋˌoːl
keep	kˈeɪp
keerl	kjˈul
keerlshaftig	kˈeːlzˈaftɪç
kees	kˈeɪs
keesblatt	kɛːsblˈɑd
keeshöker	kʰiːtsuːkə
kehl	kʰeːl
kehren	kian
kehrwedder	kˈɪɹˈbeɾə
keit	kˈaɪt
kekel	kakə
keller	kˈɛlə
kellerlock	kəlaːlˌɔk
kemen	keim
kennsnahm	kẽn̪snɔm
kennteken	kˈæntˈeɪkən
kerk	kɛrk
kesen	kɛisˈɛn
kesig	kɛːzˈɛ
ketelklopper	katoklopa
ketelklopperspraak	kæɾlkˌlˈoːpɜzbɾˈɔg
ketschen	katʃeːn
kettelhoorig	kərɛlhoːræx
kettelig	kˈɛtəlˌɪç
keut	koːit
kiebig	kibə
kief	kif
kieken	kˈiːkən
kieker	kika
kieklock	kikok
kieklöcker	kikːləˈkɑːv
kiekschapp	kikːʃɒp
kieksinn	kiksˌin
kiekst	kikst
kiekut	kikːut
kiel	kˈiːl
kielkopp	kˈiːlkɔp
kielköpp	kielkʏ̞p
kiem	kim
kienappel	kʰiːnˈabə
kienig	kˈiːnɪç
kiep	kip
kierl	kiel
kiesen	kizim
kieviev	kɨvˈiv
kiewitt	kivet
kindjees	kent̪ies
kinjees	kˌɪnjˈe
kinnergoorn	keŋˌaːgwɒn
kinnerkraam	kʰiːtækɾɑːm
kinnerleed	kʲɛnˈdeɪd
kinnerloos	kʲiːnɛlɛz
kinnerogen	kˈɪnnɛauːgən
kinnerspeel	kɪˌnɜspɛɪl
kinnertiet	kʲiːn˥˩ːjiː˧d
kippkoor	kipˈkwˈa
kist	kˈɪst
kitschen	kˈɪtʃən
kittelig	kˈɪtəlˌɪç
kittje	ketʃe
kittjen	kɪtʃən
kiwittsbloom	kʏvˈɪtsblˌɑuːɛ
klaagkatt	kloːɛkat
klabastern	klˈapasta
klaben	klˈɑːbən
klack	slag
klacken	klakˈɔ̃
klackern	klagˈa
klacks	klakz
kladderig	lˈaɾɜrˌɪç
klaffen	klˈafən
klafferkatt	klˈafɜkˌɑt
klaffern	klafˈam
klaffschöttel	kˈlˈafˌʃˌatɛl
klamen	klaɾmən
klamm	klˈam
klamm warrn	klamˈvɑːn
klamp	klɑːm
klamüüsterkopp	klammajˈɛstərkˈɔp
klamüüsterköpp	klamyˈstəkˈɔp
klapp	klˈap
klappen	klˈafən
klapperig	klˈapɜɪç
klapprekner	klapraikna
klapprig	tʃlaprɛx
klareern	klariːɑm
klareren	klarˈeɪˈan
klarinett	klaʊdiːnˈɛt
klass	klˈas
klatschbaas	klˈatʃpˈɑːs
klatschbasen	klˈatʃbɑːzˌeːn
klatschhaftig	klatˈʃˈaftˌɪx
klatschnatt	klatsçnˈat
klatt	klat
klatterig	klˈadtɜrˌɛç
klattern	klaːdaːm
klattig	klˈadɛç
klau	klˈaʊ
klaueree	klɛwɑrɛj
klauerie	klawaɾiː
klebuddern	klejboːdˈan
kledaasch	klɛdaʃ
kleden	klˈaɪən
klederschapp	klˈɛjdɜʃˈaɛ
klederschäpp	klˈædɜʃˌæp
kleed	klˈeːt
kleedsam	klˈaɪtsuːm
kleefkraam	klˈævkɾˈɑm
kleen	klanˈ
kleenbahn	klænˈbɔːn
kleenheit	klˈaɪnhˌaɪt
kleevstoff	kleːvstˈoːff
klei	klˈaɪ
klei mi an'n mors	kˌlaɪmˈiː ˌanmˈɔɛs
kleien	klˈaɪn
kleikraam	klˈaɪkˈraɾm
klemm	klˈɛm
klenigkeit	klˈɛːnɪçkˌaɪt
klenner	klennˈa
kleven	klˈaɪvə
klever	klævɚ
kleverblatt	klˈaɪvɚbˌlˈatt
kleverveer	klˈɑvˈɑːfˌɛɾ
klie	tleːmˈ
klieven	klˈiːvən
klimperkleen	klˈɪmpɚklˌeɪn
klingbüdel	klɪŋbˌˈʏlˌ
klingelbüdel	kliːngɛbyːlˈɛ
klipp un kloor	kˈlˈipˈ ˈu lklˈoa
klock	klˈɔg
klockenmaker	kloːkˈənmˈɔʊkˈɛr
klockenpüüster	gloːkˈənpˈyːstɜ
klockenstrang	kloːtnˈɛstˌan
klockensträng	kloppɛnstrəŋ
klockentieden	kloːkˈəntˈiːn
klockentiet	klokːontʃid
klook	klævk
klook kriegen	kˈɛlˌoːg kɾˈiːgən
klookkriegen	klˈɛːʊkkɾˈiːbən
klookschieter	kləʊ̞ksidɛ
klooksnacker	kləʊ̞snˈakːɛ
kloor	kloa
kloorheit	klˈɔɾhaɪt
kloorkriegen	kloːɾkɾˈiːgən
kloorleggen	kloɾlˈɛkˈɛn
kloormaken	kloːɾmɔuːtən
kloornett	kloɾnˈet
kloosterholt	klˈoʊdˈsˈɛɹhɔːlt
klootscheeten	klˈoːtʃˈeːtˈɛn
klootscheten	klˈɛmpʃˈælˌtˈɛn
kloppen	klˈɔpən
klopperee	klɒbɾˈai
klottje	klˈotʃi
klotzig	klˈɔtsɪç
kluck	klok
klucken	klˈʊkən
kluckern	klokan
kluckheen	klˈuːthˌaɪn
kluckhenen	klˈuːkhˈeɪn
kluftig	klˈʊftɪç
kluksch	klˈuːkʃ
klumpen	sˈtˈ
klunkerig	klˈʊŋkɜɪç
klunkern	klˈʊnkɑːn
klunkraav	klˈuːgɾˌɑːf
klunkraven	klˈuːgɾˌɑːvən
klunschen	klˈʊnʃən
klunterig	klˈʊntɜrˌɪç
kluntern	klˈʌndə
kluten	klˈuːpən
klutenpedder	klˈʊtənpˈɛdɜ
klutzig	klˈʊtsɪç
kluus	sˈɛdələ
kluuster	klˈʊstɜ
kluusternelk	klˈuːstˈanˈɛlk
kluutshacken	klˈuːtshˈakən
kluuv	klˈuːf
kluven	kloːvɛn
klömen	løjmø
klönen	klˈøːn
klönsnack	klœnʃlɑk
klören	klˈyːrəm
klöten	klˈøːtən
klöterig	kˌlˈœdərˌɪç
klöterkraam	kløːdˈɛɾkˈraːm
klöven	klˈʏzən
klöön	klˈœn
klöönkasten	klˈœnkˈastən
klöönpott	klˈœnfalt
klöönsnack	klœn̪snak
klöör	klœʁ
klöört	klœɾt
klüftig	klˈʏftɪç
klüren	kliːɾn
klüsen	klyːsən
klüten	klˈiːtən
klüterbaas	klʏdˈɛɾbˈɑːz
klüterbasen	tslʏdˌɛɾbˈɑːsən
klüteree	klydare
klüterer	klyːdərˈɑː
klütern	klyda
klüür	tslˈyːɜ
klüüs	klyːs
klüüsterkopp	klyːstɜkˈɔp
klüüsterköpp	klyːstɜkˈøːp
klüüt	klˈyːt
knacken	knakən
knackwust	knəkpˈost
knackwustbood	knˈɛkwˈɑzspəʊt
knaken	nˈɔɾgən
knakenarbeit	knˈɔltənˈaɾbaɪt
knakenbreker	knˈoːtˈənbˌɾeːkɜ
knakenbrekersch	knˈɔlˈeːbərˈeːɪkɜʃ
knakendröög	nˈɔɾkəntɾˌɔlç
knakengestell	knaudtəngəstəl
knakig	knˈɔkɪç
knapp	knap
knapphandig	knˈaphandˈɪç
knapphannig	knˈapanˈɪç
knarr	knav
knasch	knʲɛʃ
knast	knast
knastbrummen	knasplɔm
kneden	knˈeːdən
knee	kne
kneebüx	knæpəgz
kneedeep	knˈeɪdeɪb
kneefall	knˈæfəl
kneep	knab
kneepsch	knabɛ
kneestrump	knɛistrɔm
knepen	knˈeɪpən
knevel	knˈeɪvəl
kneveln	knˈeɪvən
knibbeln	knɪˈbɛln
knick	knik
knicker	nˈɛkːa
knickerbüdel	knˈɪkɜbˌyːtəl
knickerig	knˈɪkɜrɪç
knickerjahn	kʲæˈjɑːm
knickern	knigaːn
knickkoort	knˈɪkˈoːaɾt
knicksupp	kniksˈop
knief	knif
kniep	kniːp
kniepen	ʃnˈɪpən
knieper	kˈnˈɪpɛ
kniepig	knˈiːpɪç
kniepogen	knˈiːpˌoːbən
kniepsch	knipʃ
knieptang	knˈɪktʃa
kniepögen	knˈɪpølˈgən
kniesbuck	knˈiːspok
kniesbück	knˈɪsbˈɵk
kniesbüdel	knˈeːsbˈyːdəl
kniesen	knˈiːzən
kniesgreten	knˈiːsgˌɾeːtən
kniespeter	knˈiːzpˈeɪdɜ
kniev	knˈiːf
knieven	kˈˌniːvˌɛn
kniffen	knɪfˌfˌeː
knifflig	knˈɪflˌɪç
knill	knˈɛ
knille	knile
knink	tʃnɪk
knipp	knip
knippogen	knˈɪpoːgɛn
knippögen	knˈɪpˌœgən
knipsen	knˈɪpzən
knoden	knˈoːdˈan
knojen	knɛwjæŋ
knojern	knuu̯jam
knoop	knop
knooplock	knau̯plok
knopp	knˈɔp
knubb	knˈup
knubben	knˈɔpən
knuddeln	nˈoːtən
knudeln	knˈuːdəln
knuffig	knˈʊfɪç
knullen	knˈɔlən
knullig	knˈʊlɪç
knuttfuust	knʊtˈfˈɔst
knuttfüüsten	knˈʊtfˈyːstən
knuuf	knouːf
knuut	knˈut
knuutschen	tnutʃɛ
knuutscheree	knutʃaɾɛj
knuutscherie	knudʒariː
knuven	tʃtˈoːvˈa
knäst	knɛst
knääp	knˈeːp
knökerig	knˈœgɜnˌɛç
knökern	klˈoʊkˈæn
knöpen	knˈoːpən
knösel	knˈoːzə
knövel	knˈœfəl
knööp	knˈojp
knööv	knˈoʊð
knüchen	knˈʏxən
knüll	knœl
knüllblomen	knullblˈɛːɔ̃
knüllbloom	knʏlblɑːm
knüppeldick	knʏbɛltɪç
knütt	knˈøt
knüttelsticken	knˈʏtəlstˈɪkən
knüttelstücken	knˈʏtəlstˈʏkən
knütteltüüg	knʏdəlʏtʏg
knütten	knˈʏtən
knütthaas	knˈʏtas
knütthasen	knˈɪthazən
knüttnadel	knˈʏbnaɾdəl
knütttüüg	knˈʏttˈʏç
koele	kuːl
koffi	kɔ̃fi
koffitass	kʊfiːtɑːz
koh	kew
kohblomen	koːploːn
kohbloom	kau̯plau̯
kohbuer	kauːbua
kohfladen	koflɔɾn
kohfoot	kʌfˈɛld
kohfööt	kˈoʊfuːd
kohlplanter	kɔllplˈantˈɑgˈ
kohschietvögel	koːʃiːdˌfˈøːgəl
kohstall	kɛːʊsdˈɑl
kohsteert	koʊsˈtɛɾˈd
kohställ	kawstɛl
koje	kɔɫ
koken	kˈoːpən
kolk	kɒlq
kolkraav	kʰælˈkʰæˈnɑf
kolkraven	kolkraːvˈɪm
kolt	kʰoːlt
kolüten	kɔlʏtən
kolüüt	koˀˌløːtˈ
kombüüs	kɔ̃pʊz
kommodig	komoːlˈdˈɛk
kommodigkeit	koːmmˈmˈɔlɪçkˈaɪt
kommünen	kɔmˈyːn
kommüün	kɔmˈyn
komodig	ko˥˩ːmultɛ
konjugatschoon	koːnjˈuːgatʃaʊən
kontrolleren	kɔntɾɔleːan
kooj	kɔʏ
kook	kək
koolt	kæəwˈˈ
kooltbroder	kautbrowda
kooltbröder	kɔvˈltbɾˈoɪdɜ
kooltstellen	kʰɛːlwˈʊdstˈæn
kooltstellt	kɛːoːlstˈeːlt
kooltsüster	kɒlwˈbˈidʒəstɒ
koop	kˈɛlp
koophuus	kopoˈsˈ
kooplüüd	ko˥˩p˥lʏd˨
koopmann	kæwpman
koor	kua
koormelk	kˈuːɾmælk
koorn	kuan
koornmelk	kʰɔːnmelk
koort	kɔːɾt
kopeerapparaat	kˈʊpˌeːɾˌɑːbɜrˈɔɾt
kopp	kɔp
koppel	kɒpˈi
kopper	kɒˈpɒ
koppergravur	kɑːbægɾɒːbuːɑː
koppertiet	kopatid
koppheister	kɔphaɪsta
koppküssen	kɒpqiˈzim
kopplos	kˈɔplˈoːs
kopplosigkeit	koːpˈlˈaˈʊsɪkˈkaɪt
kopppien	kɔpˈin
koppschu	kɔmpʃˈu
koppstand	kˈɑːfsdæn
koppswack	kˈɔpsvɑːg
koren	kʰuaːn˨˩
korf	kɔf
kort	kˈɔɹt
korthannig	koːɾthˈɛŋlɪç
kortjann	kɔrtjaːn
kortsluss	koːtˈslˈoːs
kosten	kɑstæm
kraamstücken	kraːnstʏpˈpən
kraansvagel	gɾˈɑnsfˌoːgəl
kraasch	ʒʁˈaʃ
krabb	krap
krabbeln	krabɛ
krack	krak
kragen	kɔ̀ːŋ
kraih	dˈiː
krakeel	kɾˈakˈiːl
krakeeln	krakɛl
krakeelsch	krakɛʃ
krakelen	kɾakˈiŋ
krakelig	kˈɾˈakeːlɪç
krall	kɾag
krallkrötig	krˈalkrˈøːtɪç
krallöögt	kraløːçˈt
kramer	kramɑ
kramerlatiensch	kramælætiːnʒ
krankenhuus	kramteːnhˈˈʊs
krankenpleger	kˈɾankkˌeːnplˌɛːgɜ
krankenplegersch	kˈrˈankkɛnˌpˌlˌɑkʊz
krankenschien	kɾˈaŋkməʃˌiːn
kranzheistern	kɾˈantshˈaɪstɜn
kratt	kɾat
krattholt	kɾˈathˈɔlt
kraut	krau̯d
krauter	trampi
kreaturen	kɾeatˈuːɾˈan
kreatuur	kriatua
kredel	kɾˈejdə
kreeg	kɾˈɛç
kreem	kˈrˈaɪm
kreet	gɹˈeɪt
kregel	kɾˈeːgəl
kreih	kraj
kreihenfoot	kɾˈaɪnfˌult
kreihenschiet	krajnˈʃid
krellen	kɾˈɛn
kremm	krɛm
kremmbosten	kˌɾˌiːmˌpɔstɛn
kresig	kɾˈeːzɪç
kretel	kɾatʊ
kribbelig	kɾˈɪbəlˌɪç
kribbelköppsch	kriːbˌlkoːpˈsdʒ
kribbeln	tɾɪbɛl
kribbelwater	kɾˈɪppəlvˈoːdɜ
krickelkreih	kɾˈigːəlkraɪ
kried	kɾiːd
kriegen	kɾˈiːgən
krieten	kɾˈiːpən
krillen	kɾiːn
krimmeln	krɾɪmmɛ
krimpen	kɾˈɪmdən
kring	kɾeŋ
krink	kɾˈɪŋ
krinkelig	kˈɾˌɪŋkɜlˌɪç
krinkelt	kɾˈɪŋkəlt
krintenkacker	kɾɪnˈtənkˌɑkɑː
krippelkoppsch	kribəlkˌɔpˈs
krippelköppsch	trɛbɛlkœpˈs
krippsch	trɛpʃ
krispeln	kɾɪspɛn
kroam	xom
kronsbeer	kɾˈunsbeːɾ
kroog	krɛʊ
kroon	kʰroːnˈ
kroonsbeer	kɾˈuːmspˈeːɾ
kroonsbeern	kɾˈʊnˈspˈiːˌɾˈn
kroonsberen	kruːmˈtspiːˈan˨
kroppen	gɾˈɔpən
kropptüüch	kɾˈɔpttˈʏç
krosch	kɾoʃ
kross	kɾɒs
krott	kʲiːtæn
kru	θɔː
kruden	kɾˈun
kruken	kɾˈʊkən
krull	kɾˈuːl
krullig	kɾˈuːlɪç
krumm	klum
krupen	kɾˈupˈɛn
krupenmodder	kruːbmˈɔra
krupenmoder	kruːbmuːda
kruuk	kɾˈuːk
kruupdörntuun	kruːbːdɔntuːn
kruupschütt	krupʃøt
kruus	kɾˈuːs
kruut	kɾut
kruutbuur	kruːtpuːa
kruutgoorn	krutkoɐn
kruuthoff	kruːdhˈɔf
kruuthööf	krutk
kruutpott	kruːpˈɔt
kruutpött	kruːbˈpət
kräut	kɾˈɔøt
kröger	kroiga
krögersch	kɾɒjˈgæʃ
krökel	krojkol
krökelig	kˈrʏkəlˌlˌɪç
krömel	krojnɨ
krömelig	tsɔnˈɑjmeŋˈleʃ
krömeln	kɾɔjmul
krömen	kruːeːm
kröpel	kruːpˈʏ
kröpelbusch	krɔøpəlpus
kröpelbusk	kruːˈʏbˈlʏbˌʊsk
kröpelig	kˌɾœpəlˈɪç
kröpelkraam	kruːjpəkɾˈɑm
kröpeln	kroːeːpən
kröpelskraft	kɾɔøpˈlˈʃkˈɾˌaft
krötig	krˈøːdɪç
kröög	kɾuːʃ
kröönk	kɾuːɪŋ
krööt	kɾɔjd
krück	kʏrɛk
krückelig	kˈrʏgˌɛlˌɪç
krüden	krˈyːn
krüder	trʊjda
krüderig	toɾujdeɾej
krüdig	krˈyːdɪç
krüff	kʁuɾuf
krühoff	kɾʏjhɔf
krühööf	kɾˈuhət
krüll	tɾɯl
krüllhoorig	tʊrɛlbɔʊrɪl
krümm	kuɾym
krümpen	kɾuːm˨t˦ən
krünkel	kɾuːnˈtɔl
krünkelig	kʏrˈynkøɾlɪk
krüppen	kɾˈgin
krüppst	kɾʏpst
krüspeln	kʰʊɫspɛln
krüter	kʰæɾutʃɑ
krüzen	kɾˈyːtsən
krüüsch	krɨʂ
krüüz	tʊɾɨts˦
krüüzadder	kɾʏdsada
kuddelmuddel	kʰuɾɫmʊɾɯ̞l
kuffer	kafa
kugel	kˈugəl
kugelstöten	kˈugəlʃtˈøːtən
kuhl	kˈuːl
kuhlengraver	kulˈgˈraːva
kujees	kˈuʒʒʒ
kujoneren	kʊluneɑ
kukeluren	kʊgɑŋlʊan
kukeluurn	koogɛlwajn
kukuruuz	kˈɔkɔrʊlˈts
kulanten	kˈulˈantən
kuller	kˈulə
kullerogen	kˈulˈaauːgən
kulp	kʰælb
kultuur	kult̪uːa
kulöör	kuleˈa
kumfermand	kˈʊmpfɜmˌant
kumfermandsche	kˈʊmpfɜmˌanʃə
kumfermatschoon	kˈʊmfˈaɪnmˈatʃˈaʊn
kumfermatschoonsünnerricht	kʊmˈpˈɛɾmˈatˈʃiːɔŋzɪˌɪndˈɛɾrˈɪçt
kumm binnen	kˌumbˈin
kumm mi nich an de farv!	kˈuːm iːn tsuː ˌaɪnə fˈaɾf
kumm rin	kumrim
kumm, lat uns tosam!	kum larastʃozaum
kummandant	kumandant
kummanderen	komandæɑm
kummandöör	kumadʊa
kummandüren	komandœn
kummedie	komediː
kummood	kɔmˈmɔvˈtˈ
kumpaan	kwmpon
kumpabel	kɔmpaːbˈɛ
kumpanen	kwmpon
kumpanie	kɔmpanjˈi
kumpas	kæmpɑs
kumpel	kumpɯ
kumplett	kʊmplˈɛt
kumpost	kompost
kumpott	kʊmpˈot
kund	kʰʊn
kunjak	kˌenˈjˈɑk
kunkel	kˈʊŋkɛl
kunkelee	koːnˈgəleːn
kunkelie	kˌuːnkəlˈiːt
kunn	kʰʊn
kunst	kʊnst
kunstmaker	kʊnstmˈˈɔkə
kunterfei	kʊnˈtɜfˌaɪ
kunterfeien	kʊnˈtɜfˌaɪn
kuntrast	kˈɔntɾˌast
kuntreer	kɔntɾɛjˈa
kuntrei	kunt̪oraj
kunzert	kɔntsɜt
kuper	kˈupə
kuranzen	kˌuːrˈanˈtsˌin
kureern	ɔːɾɐɪɐn
kureren	kʲæɾæjæn
kurren	kɔrun
kurschadden	kˈuːɾʃan
kuschen	qɯ̞ʃɯ̞n
kusen	kuzɛ
kusenbreker	koːsənbɾˈeɪkɜ
kusenbrekersche	koːzˈɛntɾˈəkˌɛɾʃəb
kusendokter	kˈuzˌəntˈɑktɜ
kusenprökel	kɔʊsɛeːnpˈrøːklə
kutsch	kɔtʃ
kutsch un peer	kˈʊtʃ ɪn pˈɛːɾ
kutschpeerd	kʊtʃpɛɾd
