aah	ˈɑː
juju	dʒˈuːdʒuː
jujubes	dʒˈuːdʒuːbz
juke	dʒˈuːk
jukebox	dʒˈuːkbɒks
jukeboxes	dʒˈuːkbɒksɪz
julep	dʒˈuːlɛp
juleps	dʒˈuːlɛps
julienne	dʒˌuːlɪˈɛn
jumble	dʒˈʌmbəl
jumbled	dʒˈʌmbəld
jumbles	dʒˈʌmbəlz
jumbling	dʒˈʌmblɪŋ
jumbo	dʒˈʌmbəʊ
jumbos	dʒˈʌmbəʊz
jumbuck	dʒˈʌmbʌk
jump	dʒˈʌmp
jumped	dʒˈʌmpt
jumper	dʒˈʌmpɐ
jumpers	dʒˈʌmpəz
jumpier	dʒˈʌmpɪɐ
jumpiness	dʒˈʌmpɪnəs
jumping	dʒˈʌmpɪŋ
jumps	dʒˈʌmps
jumpsuit	dʒˈʌmpsuːt
jumpsuits	dʒˈʌmpsuːts
jumpy	dʒˈʌmpi
jun	dʒˈʌn
junction	dʒˈʌŋkʃən
junctions	dʒˈʌŋkʃənz
juncture	dʒˈʌŋktʃɐ
junctures	dʒˈʌŋktʃəz
jungle	dʒˈʌŋɡəl
jungles	dʒˈʌŋɡəlz
jungliest	dʒˈʌŋɡliəst
jungly	dʒˈʌŋli
junior	dʒˈuːnjɐ
juniors	dʒˈuːnjəz
juniper	dʒˈuːnɪpɐ
junipers	dʒˈuːnɪpəz
junk	dʒˈʌŋk
junked	dʒˈʌŋkt
junkers	dʒˈʌŋkəz
junket	dʒˈʌŋkɪt
junkets	dʒˈʌŋkɪts
junkie	dʒˈʌŋki
junkies	dʒˈʌŋkiz
junking	dʒˈʌŋkɪŋ
junks	dʒˈʌŋks
junky	dʒˈʌŋki
junkyard	dʒˈʌŋkjɑːd
junta	dʒˈʌntɐ
juntas	dʒˈʌntəz
junto	dʒˈʌntəʊ
jura	dʒjˈɔːɹɐ
jurat	dʒjˈʊɹæt
juries	dʒˈɔːɹɪz
jurisdiction	dʒˌɔːɹɪsdˈɪkʃən
jurisdictional	dʒˌɔːɹɪsdˈɪkʃənəl
jurisdictions	dʒˌɔːɹɪsdˈɪkʃənz
jurisprudence	dʒˈɔːɹɪspɹˌuːdəns
jurist	dʒˈɔːɹɪst
jurists	dʒˈɔːɹɪsts
juror	dʒjˈʊɹɐ
jurors	dʒjˈʊɹəz
jury	dʒˈɔːɹi
jurymen	dʒˈɔːɹɪmˌɛn
just	dʒˈʌst
juster	dʒˈʌstɐ
justice	dʒˈʌstɪs
justices	dʒˈʌstɪsɪz
justiciar	dʒˈʌstɪʃər
justifiable	dʒˈʌstɪfˌaɪəbəl
justifiably	dʒˈʌstɪfˌaɪəbli
justification	dʒˌʌstɪfɪkˈeɪʃən
justifications	dʒˌʌstɪfɪkˈeɪʃənz
justified	dʒˈʌstɪfˌaɪd
justifies	dʒˈʌstɪfˌaɪz
justify	dʒˈʌstɪfˌaɪ
justifying	dʒˈʌstɪfˌaɪɪŋ
justly	dʒˈʌstli
justness	dʒˈʌstnəs
jut	dʒˈʌt
jute	dʒˈuːt
juts	dʒˈʌts
jutted	dʒˈʌtɪd
jutting	dʒˈʌtɪŋ
jutty	dʒˈʌti
juvenal	dʒˈuːviːnəl
juvenile	dʒˈuːvənˌaɪl
juveniles	dʒˈuːvənˌaɪlz
juvenilia	dʒˌuːvənˈɪliə
juxtapose	dʒˈʌkstɐpˌəʊz
juxtaposed	dʒˈʌkstɐpˌəʊzd
juxtaposes	dʒˈʌkstɐpˌəʊzɪz
juxtaposing	dʒˈʌkstɐpˌəʊzɪŋ
juxtaposition	dʒˌʌkstɐpəzˈɪʃən
juxtapositions	dʒˌʌkstɐpəzˈɪʃənz
k	kˈeɪ
ka	kˈɑː
kab	kˈæb
kabbalah	kˈæbælɐ
kaboom	kˈæbuːm
kabuki	kæbˈuːki
kaddish	kˈædɪʃ
kadi	kˈædi
kafir	kˈæfiə
kaftan	kˈɑːftən
kaftans	kˈɑːftənz
kahuna	kæhˈuːnɐ
kail	kˈaɪl
kailyard	kˈaɪljɑːd
kain	kˈaɪn
kaiser	kˈaɪzɐ
kaisers	kˈaɪzəz
kaka	kˈɑːkɐ
kakapo	kækˈɑːpəʊ
kaki	kˈæki
kale	kˈeɪl
kaleidoscope	kəlˈaɪdəskˌəʊp
kaleidoscopes	kəlˈaɪdəskˌəʊps
kaleidoscopic	kəlˌaɪdəskˈɒpɪk
kaleidoscopically	kəlˌaɪdəskˈɒpɪkli
kali	kˈɑːli
kalian	kˈeɪliən
kalif	kˈælɪf
kalmia	kˈælmiɐ
kami	kˈɑːmi
kamikaze	kˌæmɪkˈɑːzi
kamikazes	kˈæmɪkˌeɪzɪz
kampong	kˈæmpɒŋ
kana	kˈɑːnɐ
kangaroo	kˈæŋɡɐɹˌuː
kangaroos	kˈæŋɡɐɹˌuːz
kanji	kˈændʒi
kaolin	kˈeɪəlˌɪn
kaon	kˈeɪɒn
kapok	kˈæpɒk
kappa	kˈæpɐ
kaput	kɐpˈʊt
karaoke	kˌæɹɪˈəʊki
karat	kˈæɹæt
karate	kəɹˈɑːti
karma	kˈɑːmɐ
karmic	kˈɑːmɪk
karmically	kˈɑːmɪkli
karst	kˈɑːst
kart	kˈɑːt
karts	kˈɑːts
kasha	kˈæʃɐ
kashmir	kˈæʃmiə
kat	kˈæt
katabatic	kˌætɐbˈætɪk
katakana	kˌætɐkˈɑːnɐ
katydid	kˈætɪdˌɪd
kauri	kˈɔːɹi
kava	kˈɑːvɐ
kayak	kˈaɪæk
kayaked	kˈaɪækt
kayaker	kˈeɪeɪkɐ
kayaking	kˈaɪækɪŋ
kayaks	kˈaɪæks
kazoo	kɐzˈuː
kazoos	kɐzˈuːz
kb	kˌeɪbˈiː
kc	kˌeɪsˈiː
kea	kˈiː
keas	kˈiːz
kebab	kəbˈæb
kebabs	kəbˈæbz
keck	kˈɛk
kedge	kˈɛdʒ
kedgeree	kˈɛdʒɹiː
keek	kˈiːk
keel	kˈiːl
keeled	kˈiːld
keelhauled	kˈiːlhɔːld
keelhauling	kˈiːlhɔːlɪŋ
keeling	kˈiːlɪŋ
keels	kˈiːlz
keen	kˈiːn
keener	kˈiːnɐ
keenest	kˈiːnəst
keening	kˈiːnɪŋ
keenly	kˈiːnli
keenness	kˈiːnnəs
keens	kˈiːnz
keep	kˈiːp
keeper	kˈiːpɐ
keepers	kˈiːpəz
keeping	kˈiːpɪŋ
keeps	kˈiːps
keepsake	kˈiːpseɪk
keepsakes	kˈiːpseɪks
kef	kˈɛf
keg	kˈɛɡ
kegs	kˈɛɡz
keister	kˈaɪstɐ
kelly	kˈɛli
kelp	kˈɛlp
kelpie	kˈɛlpaɪ
kelson	kˈɛlsən
kelt	kˈɛlt
kelvin	kˈɛlvɪn
kelvins	kˈɛlvɪnz
ken	kˈɛn
kendo	kˈɛndəʊ
kennel	kˈɛnəl
kennelling	kˈɛnəlɪŋ
kennels	kˈɛnəlz
kenning	kˈɛnɪŋ
keno	kˈiːnəʊ
kens	kˈɛnz
kent	kˈɛnt
kente	kˈɛnt
kep	kˈɛp
kepi	kˈɛpi
kept	kˈɛpt
keratin	kˈɛɹɐtˌɪn
keratitis	kˌɛɹɐtˈaɪtɪs
keratosis	kˌɛɹɐtˈəʊsɪs
kerb	kˈɜːb
kerbing	kˈɜːbɪŋ
kerbs	kˈɜːbz
kerbside	kˈɜːbsaɪd
kerbstone	kˈɜːbstəʊn
kerbstones	kˈɜːbstəʊnz
kerchief	kˈɜːtʃiːf
kerfuffle	kˈɜːfʌfəl
kerfuffles	kˈɜːfʌfəlz
kern	kˈɜːn
kernel	kˈɜːnəl
kernels	kˈɜːnəlz
kerosene	kˈɛɹəsˌiːn
kerosine	kˈɛɹəsˌaɪn
kerplunk	kˈɜːplʌŋk
kersey	kˈɜːsi
kestrel	kˈɛstɹəl
kestrels	kˈɛstɹəlz
ketch	kˈɛtʃ
ketches	kˈɛtʃɪz
ketchup	kˈɛtʃʌp
ketone	kˈɛtəʊn
ketones	kˈɛtəʊnz
kettle	kˈɛtəl
kettledrums	kˈɛtəldɹəmz
kettles	kˈɛtəlz
key	kˈiː
keyboard	kˈiːbɔːd
keyboardist	kˈiːbɔːdˌɪst
keyboards	kˈiːbɔːdz
keycard	kˈiːkɑːd
keyed	kˈiːd
keyhole	kˈiːhəʊl
keyholes	kˈiːhəʊlz
keying	kˈiːɪŋ
keynote	kˈiːnəʊt
keynotes	kˈiːnəʊts
keypad	kˈiːpæd
keypads	kˈiːpædz
keyring	kˈiːɹɪŋ
keys	kˈiːz
keystone	kˈiːstəʊn
keystones	kˈiːstəʊnz
keystroke	kˈiːstɹəʊk
keystrokes	kˈiːstɹəʊks
keyword	kˈiːwɜːd
keywords	kˈiːwɜːdz
khaki	kˈɑːki
khakis	kˈɑːkiz
khan	kˈɑːn
khans	kˈɑːnz
khat	kˈɑːt
khedive	kˈɛdɪv
ki	kˈaɪ
kibble	kˈɪbəl
kibbled	kˈɪbəld
kibbles	kˈɪbəlz
kibbling	kˈɪblɪŋ
kibbutz	kˈɪbʌts
kiblah	kˈɪblɐ
kibosh	kˈɪbɒʃ
kick	kˈɪk
kickback	kˈɪkbæk
kickbacks	kˈɪkbæks
kickball	kˈɪkbɔːl
kickboxing	kˈɪkbɒksɪŋ
kicked	kˈɪkt
kicker	kˈɪkɐ
kickers	kˈɪkəz
kicking	kˈɪkɪŋ
kickoff	kˈɪkɒf
kickoffs	kˈɪkɒfs
kicks	kˈɪks
kickstand	kˈɪkstænd
kickstart	kˈɪkstɑːt
kicky	kˈɪki
kid	kˈɪd
kidded	kˈɪdɪd
kidder	kˈɪdɐ
kidders	kˈɪdəz
kiddie	kˈɪdi
kiddies	kˈɪdɪz
kidding	kˈɪdɪŋ
kiddo	kˈɪdəʊ
kiddos	kˈɪdəʊz
kiddy	kˈɪdi
kidnap	kˈɪdnæp
kidnapped	kˈɪdnæpt
kidnapper	kˈɪdnæpɐ
kidnappers	kˈɪdnæpəz
kidnapping	kˈɪdnæpɪŋ
kidnappings	kˈɪdnæpɪŋz
kidnaps	kˈɪdnæps
kidney	kˈɪdni
kidneys	kˈɪdnɪz
kids	kˈɪdz
kielbasa	kiːlbˈɑːsɐ
kier	kˈiə
kieselguhr	kˈiːsɪlɡˌuːɐ
kif	kˈɪf
kike	kˈaɪk
kikes	kˈaɪks
kill	kˈɪl
killed	kˈɪld
killer	kˈɪlɐ
killers	kˈɪləz
killick	kˈɪlɪk
killing	kˈɪlɪŋ
killings	kˈɪlɪŋz
killjoy	kˈɪldʒɔɪ
killjoys	kˈɪldʒɔɪz
kills	kˈɪlz
kiln	kˈɪln
kilning	kˈɪlnɪŋ
kilns	kˈɪlnz
kilo	kˈiːləʊ
kilobits	kˈɪləbˌɪts
kilobyte	kˈɪləbˌaɪt
kilobytes	kˈɪləbˌaɪts
kilocalories	kˈɪləkˌæləɹˌiz
kilogram	kˈɪləɡɹˌæm
kilograms	kˈɪləɡɹˌæmz
kilohertz	kˈɪləhˌɜːts
kilojoules	kˈɪlədʒˌuːlz
kilometer	kɪlˈɒmɪtɐ
kilometers	kɪlˈɒmɪtəz
kilometre	kˈɪləmˌiːtɐ
kilometres	kˈɪləmˌiːtəz
kilos	kˈiːləʊz
kiloton	kˈɪlətən
kilotons	kˈɪlətənz
kilovolt	kˈɪləvˌəʊlt
kilovolts	kˈɪləvˌəʊlts
kilowatt	kˈɪləwˌɒt
kilowatts	kˈɪləwˌɒts
kilt	kˈɪlt
kilted	kˈɪltɪd
kilter	kˈɪltɐ
kilts	kˈɪlts
kimberlite	kˈɪmbəlˌaɪt
kimono	kɪmˈəʊnəʊ
kimonos	kɪmˈəʊnəʊz
kin	kˈɪn
kinaesthetic	kˌɪniːsθˈɛtɪk
kinase	kˈɪneɪs
kind	kˈaɪnd
kinda	kˈaɪndɐ
kinder	kˈaɪndɐ
kindergarten	kˈɪndəɡˌɑːtən
kindergartener	kˈɪndəɡˌɑːtiːnɐ
kindergarteners	kˈɪndəɡˌɑːtənəz
kindergartens	kˈɪndəɡˌɑːtənz
kindest	kˈaɪndəst
kindle	kˈɪndəl
kindled	kˈɪndəld
kindles	kˈɪndəlz
kindless	kˈaɪndləs
kindliness	kˈaɪndlinəs
kindling	kˈɪndlɪŋ
kindly	kˈaɪndli
kindness	kˈaɪndnəs
kindnesses	kˈaɪndnəsɪz
kindred	kˈɪndɹəd
kinds	kˈaɪndz
kine	kˈaɪn
kinematic	kaɪnmˈætɪk
kinematograph	kˈaɪnmɐtˌɒɡɹæf
kinetic	kɪnˈɛtɪk
kinetics	kɪnˈɛtɪks
kinfolk	kˈɪnfəʊk
king	kˈɪŋ
kingcup	kˈɪŋkʌp
kingdom	kˈɪŋdəm
kingdoms	kˈɪŋdəmz
kingfish	kˈɪŋfɪʃ
kingfisher	kˈɪŋfɪʃɐ
kingfishers	kˈɪŋfɪʃəz
kingliness	kˈɪŋlinəs
kingly	kˈɪŋli
kingmaker	kˈɪŋmeɪkɐ
kingmakers	kˈɪŋmeɪkəz
kingpin	kˈɪŋpɪn
kingpins	kˈɪŋpɪnz
kings	kˈɪŋz
kingship	kˈɪŋʃɪp
kingwood	kˈɪŋwʊd
kink	kˈɪŋk
kinkajou	kˈɪŋkɐdʒˌuː
kinkajous	kɪŋkˈædʒəs
kinked	kˈɪŋkt
kinkier	kˈɪŋkiɐ
kinkiness	kˈɪŋkinəs
kinking	kˈɪŋkɪŋ
kinks	kˈɪŋks
kinky	kˈɪŋki
kino	kˈiːnəʊ
kinsfolk	kˈɪnsfəʊk
kinship	kˈɪnʃɪp
kinsman	kˈɪnzmən
kinsmen	kˈɪnzmɛn
kinswoman	kˈɪnswʊmən
kiosk	kˈiːɒsk
kiosks	kˈiːɒsks
kip	kˈɪp
kipped	kˈɪpt
kipper	kˈɪpɐ
kippered	kˈɪpəd
kippering	kˈɪpəɹɪŋ
kippers	kˈɪpəz
kipping	kˈɪpɪŋ
kips	kˈɪps
kirkman	kˈɜːkmən
kirsch	kˈɜːʃ
kirtle	kˈɜːtəl
kish	kˈɪʃ
kismet	kˈɪsmɪt
kiss	kˈɪs
kissable	kˈɪsəbəl
kissed	kˈɪst
kisser	kˈɪsɐ
kissers	kˈɪsəz
kisses	kˈɪsɪz
kissing	kˈɪsɪŋ
kissogram	kˈɪsəɡɹˌæm
kist	kˈɪst
kit	kˈɪt
kitbag	kˈɪtbæɡ
kitbags	kˈɪtbæɡz
kitchen	kˈɪtʃən
kitchener	kˈɪtʃənɐ
kitchenette	kˌɪtʃənˈɛt
kitchens	kˈɪtʃənz
kitchenware	kˈɪtʃənwˌeə
kite	kˈaɪt
kited	kˈaɪtɪd
kites	kˈaɪts
kith	kˈɪθ
kiting	kˈaɪtɪŋ
kits	kˈɪts
kitsch	kˈɪtʃ
kitschy	kˈɪtʃi
kitted	kˈɪtɪd
kitten	kˈɪtən
kittenish	kˈɪtənɪʃ
kittens	kˈɪtənz
kitties	kˈɪtɪz
kitting	kˈɪtɪŋ
kittiwake	kˈɪtɪwˌeɪk
kittiwakes	kˈɪtɪwˌeɪks
kitty	kˈɪti
kiva	kˈiːvɐ
kiwi	kˈiːwiː
kiwifruit	kˈɪwɪfɹˌuːt
kiwis	kˈiːwiːz
klaxon	klˈæksən
klaxons	klˈæksənz
kleptomania	klˌɛptəmˈeɪniə
kleptomaniac	klˌɛptəmˈeɪnɪˌæk
klutz	klˈʌts
klutzes	klˈʌtsɪz
klutzy	klˈʌtsi
knack	nˈæk
knacker	nˈækɐ
knackered	nˈækəd
knackering	nˈækəɹɪŋ
knackers	nˈækəz
knacks	nˈæks
knap	nˈæp
knapped	nˈæpt
knapping	nˈæpɪŋ
knapsack	nˈæpsæk
knapsacks	nˈæpsæks
knapweed	nˈæpwiːd
knave	nˈeɪv
knavery	nˈeɪvəɹi
knaves	nˈeɪvz
knavish	nˈeɪvɪʃ
knead	nˈiːd
kneaded	nˈiːdɪd
kneader	nˈiːdɐ
kneading	nˈiːdɪŋ
kneads	nˈiːdz
knee	nˈiː
kneecap	nˈiːkæp
kneecapped	nˈiːkæpt
kneecapping	nˈiːkæpɪŋ
kneecaps	nˈiːkæps
kneed	nˈiːd
kneehole	nˈiːhəʊl
kneeing	nˈiːɪŋ
kneel	nˈiːl
kneeled	nˈiːld
kneeling	nˈiːlɪŋ
kneels	nˈiːlz
knees	nˈiːz
knell	nˈɛl
knelt	nˈɛlt
knew	njˈuː
knicker	nˈɪkɐ
knickerbocker	nˈɪkəbˌɒkɐ
knickerbockers	nˈɪkəbˌɒkəz
knickers	nˈɪkəz
knickknack	nˈɪkknæk
knickknacks	nˈɪkknæks
knife	nˈaɪf
knifed	nˈaɪft
knifes	nˈaɪfs
knifing	nˈaɪfɪŋ
knight	nˈaɪt
knighted	nˈaɪtɪd
knighthood	nˈaɪthʊd
knighthoods	nˈaɪthʊdz
knighting	nˈaɪtɪŋ
knightly	nˈaɪtli
knights	nˈaɪts
knish	nˈɪʃ
knit	nˈɪt
knits	nˈɪts
knitted	nˈɪtɪd
knitter	nˈɪtɐ
knitters	nˈɪtəz
knitting	nˈɪtɪŋ
knitwear	nˈɪtweə
knives	nˈaɪvz
knob	nˈɒb
knobbed	nˈɒbd
knobbly	nˈɒbli
knobby	nˈɒbi
knobs	nˈɒbz
knock	nˈɒk
knockabout	nˈɒkɐbˌaʊt
knockdown	nˈɒkdaʊn
knockdowns	nˈɒkdaʊnz
knocked	nˈɒkt
knocker	nˈɒkɐ
knockers	nˈɒkəz
knocking	nˈɒkɪŋ
knockings	nˈɒkɪŋz
knockout	nˈɒkaʊt
knockouts	nˈɒkaʊts
knocks	nˈɒks
knockwurst	nˈɒkwɜːst
knoll	nˈəʊl
knolls	nˈəʊlz
knop	nˈɒp
knot	nˈɒt
knots	nˈɒts
knotted	nˈɒtɪd
knottier	nˈɒtɪɐ
knotting	nˈɒtɪŋ
knotty	nˈɒti
knotweed	nˈɒtwiːd
knout	nˈaʊt
know	nˈəʊ
knowable	nˈəʊəbəl
knower	nˈəʊɐ
knowhow	nˈəʊhaʊ
knowing	nˈəʊɪŋ
knowingly	nˈəʊɪŋli
knowledge	nˈɒlɪdʒ
knowledgeable	nˈɒlɪdʒəbəl
knowledgeably	nˈɒlɪdʒəbli
known	nˈəʊn
knows	nˈəʊz
knuckle	nˈʌkəl
knuckled	nˈʌkəld
knuckleduster	nˈʌklɪdˌʌstɐ
knuckledusters	nˈʌklɪdˌʌstəz
knucklehead	nˈʌkəlhˌɛd
knuckleheads	nˈʌklɪhˌɛdz
knuckles	nˈʌkəlz
knuckling	nˈʌklɪŋ
knur	nˈɜː
koala	kəʊˈɑːlɐ
koalas	kəʊˈɑːləz
koan	kˈəʊɑːn
kob	kˈɒb
kobo	kˈəʊbəʊ
kohl	kˈəʊl
kohlrabi	kˈəʊlɹɐbˌaɪ
kola	kˈəʊlɐ
kolo	kˈəʊləʊ
kook	kˈuːk
kookaburra	kˈuːkɐbˌʌɹɐ
kookaburras	kˈuːkɐbˌʌɹəz
kookie	kˈuːki
kookiest	kˈuːkɪəst
kookiness	kˈuːkɪnəs
kooks	kˈuːks
kooky	kˈuːki
kop	kˈɒp
kopecks	kˈəʊpəks
kopeks	kˈəʊpəks
kopje	kˈɒpi
kor	kˈɔː
korma	kˈɔːmɐ
koruna	kɔːɹˈuːnɐ
kos	kˈɒs
kosher	kˈəʊʃɐ
koto	kˈəʊtəʊ
kowtow	kˈaʊtaʊ
kowtowed	kˈaʊtaʊd
kowtowing	kˈaʊtaʊɪŋ
kowtows	kˈaʊtaʊz
kph	kˌeɪpˌiːˈeɪtʃ
kraft	kɹˈɑːft
krait	kɹˈeɪt
kraits	kɹˈeɪts
kraken	kɹˈeɪkən
kraut	kɹˈaʊt
krauts	kɹˈaʊts
kremlin	kɹˈɛmlɪn
kreutzer	krjˈuːtsɐ
krill	kɹˈɪl
kris	kɹˈɪs
krone	kɹˈəʊn
kroner	kɹˈəʊnɐ
krugerrand	kɹˈuːdʒɪɹˌænd
krypton	kɹˈɪptən
ks	kˌeɪˈɛs
kuchen	kˈuːtʃən
kudo	kjˈuːdəʊ
kudos	kjˈuːdəʊz
kudu	kˈuːduː
kudus	kjˈuːdəs
kukri	kˈʌkɹi
kulak	kjˈʊlæk
kulaks	kjˈʊlæks
kumquat	kˈʌmkwæt
kumquats	kˈʌmkwæts
kuna	kˈuːnɐ
kurus	kjˈʊɹəs
kvetch	kˈeɪvˈɛtʃ
kw	kˌeɪdˈʌbəljˌuː
kwacha	kwˈætʃɐ
kwanza	kwˈænzɐ
kwashiorkor	kwˈɒʃiəkɐ
kyat	kˈaɪæt
kyle	kˈaɪl
kyles	kˈaɪlz
kylix	kˈaɪlɪks
l	ˈɛl
la	lˈæ
lab	lˈæb
label	lˈeɪbəl
labelled	lˈeɪbəld
labelling	lˈeɪbəlɪŋ
labels	lˈeɪbəlz
labia	lˈeɪbiɐ
labial	lˈeɪbɪəl
lability	ləbˈɪlɪti
labor	lˈeɪbɐ
laboratories	lɐbˈɒɹətɹˌɪz
laboratory	lɐbˈɒɹətɹˌi
laborious	lɐbˈɔːɹɪəs
laboriously	lɐbˈɔːɹɪəsli
labour	lˈeɪbɐ
laboured	lˈeɪbəd
labourer	lˈeɪbɜːɹɐ
labourers	lˈeɪbɜːɹəz
labouring	lˈeɪbɜːɹɪŋ
labours	lˈeɪbəz
labradorite	lˈæbɹɐdˌɔːɹaɪt
labs	lˈæbz
laburnum	lˈæbɜːnəm
laburnums	lˈæbɜːnəmz
labyrinth	lˈæbəɹˌɪnθ
labyrinthian	lˌæbɪɹˈɪnθiən
labyrinthine	lˌæbəɹˈɪnθiːn
labyrinths	lˈæbəɹˌɪnθs
lac	lˈæk
lace	lˈeɪs
laced	lˈeɪst
lacer	lˈeɪsɐ
lacerate	lˈæsəɹˌeɪt
lacerated	lˈæsəɹˌeɪtɪd
lacerating	lˈæsəɹˌeɪtɪŋ
laceration	lˌæsəɹˈeɪʃən
lacerations	lˌæsəɹˈeɪʃənz
laces	lˈeɪsɪz
lacewing	lˈeɪsuːɪŋ
lacewings	lˈeɪsuːɪŋz
lacework	lˈeɪswɜːk
lachrymal	lˈækɹɪməl
lachrymosity	lˌækɹɪmˈɒsɪti
lacing	lˈeɪsɪŋ
lacings	lˈeɪsɪŋz
lack	lˈæk
lackadaisical	lˌækɐdˈeɪzɪkəl
lacked	lˈækt
lackey	lˈæki
lackeys	lˈækɪz
lacking	lˈækɪŋ
lacklustre	lˈæklʌstɐ
lacks	lˈæks
laconic	lækˈɒnɪk
lacquer	lˈækɐ
lacquered	lˈækəd
lacquering	lˈækəɹɪŋ
lacquers	lˈækəz
lacrimal	lˈækɹɪməl
lacrosse	lˈækɹɒs
lactam	lˈæktæm
lactate	lˈækteɪt
lactating	lˈækteɪtɪŋ
lactation	læktˈeɪʃən
lactic	lˈæktɪk
lactobacillus	lˈæktəbˌæsɪləs
lactose	lˈæktəʊz
lacuna	lækˈuːnɐ
lacy	lˈeɪsi
lad	lˈæd
ladder	lˈædɐ
laddered	lˈædəd
laddering	lˈædəɹɪŋ
ladders	lˈædəz
laddie	lˈædi
laddies	lˈædɪz
laddish	lˈædɪʃ
laddishness	lˈædɪʃnəs
lade	lˈeɪd
laden	lˈeɪdən
ladies	lˈeɪdɪz
lading	lˈeɪdɪŋ
ladle	lˈeɪdəl
ladled	lˈædəld
ladles	lˈeɪdəlz
ladling	lˈædlɪŋ
lads	lˈædz
lady	lˈeɪdi
ladybird	lˈeɪdɪbˌɜːd
ladybirds	lˈeɪdɪbˌɜːdz
ladybug	lˈeɪdɪbˌʌɡ
ladybugs	lˈeɪdɪbˌʌɡz
ladylike	lˈeɪdɪlˌaɪk
ladyship	lˈeɪdɪʃˌɪp
ladyships	lˈeɪdɪʃˌɪps
lag	lˈæɡ
lagan	lˈæɡən
lager	lˈɑːɡɐ
lagers	lˈɑːɡəz
laggard	lˈæɡəd
lagged	lˈæɡd
lagger	lˈæɡɐ
lagging	lˈæɡɪŋ
lagoon	lɐɡˈuːn
lagoons	lɐɡˈuːnz
lags	lˈæɡz
laid	lˈeɪd
lain	lˈeɪn
lair	lˈeə
laird	lˈeəd
lairds	lˈeədz
lairs	lˈeəz
laity	lˈeɪətˌi
lake	lˈeɪk
laker	lˈeɪkɐ
lakes	lˈeɪks
lakeside	lˈeɪksaɪd
lakh	lˈæk
lam	lˈæm
lama	lˈɑːmɐ
lamas	lˈɑːməz
lamb	lˈæm
lambada	læmbˈɑːdɐ
lambast	lˈæmbɑːst
lambasted	lˈæmbɑːstɪd
lambasting	lˈæmbɑːstɪŋ
lambasts	lˈæmbɑːsts
lambda	lˈæmbdɐ
lambed	lˈæmd
lambert	lˈæmbət
lamberts	lˈæmbəts
lambing	lˈæmɪŋ
lambkin	lˈæmbkɪn
lambs	lˈæmz
lambswool	lˈæmbswʊl
lameness	lˈeɪmnəs
lament	lɐmˈɛnt
lamentable	lɐmˈɛntəbəl
lamentably	lɐmˈɛntəbli
lamentation	lɐmɪntˈeɪʃən
lamentations	lɐmɪntˈeɪʃənz
lamented	lɐmˈɛntɪd
lamenting	lɐmˈɛntɪŋ
laments	lɐmˈɛnts
lamer	lˈeɪmɐ
lamest	lˈeɪməst
lamia	lˈæmiɐ
lamina	lˈæmɪnɐ
laminar	lˈæmɪnˌɑː
laminated	lˈæmɪnˌeɪtɪd
laminates	lˈæmɪnˌeɪts
laminating	lˈæmɪnˌeɪtɪŋ
lamination	lˌæmɪnˈeɪʃən
laming	lˈeɪmɪŋ
laminitis	lˌæmɪnˈaɪtɪs
lammergeier	læmˈɜːdʒaɪɐ
lammergeiers	læmˈɜːdʒaɪəz
lamming	lˈæmɪŋ
lamp	lˈæmp
lamplight	lˈæmplaɪt
lamplighter	lˈæmplaɪtɐ
lampoon	læmpˈuːn
lampooned	læmpˈuːnd
lampooning	læmpˈuːnɪŋ
lampoons	læmpˈuːnz
lamppost	lˈæmpəʊst
lampposts	lˈæmpəʊsts
lamprey	lˈæmpɹi
lampreys	lˈæmpɹɪz
lamps	lˈæmps
lampshade	lˈæmpʃeɪd
lampshades	lˈæmpʃeɪdz
lams	lˈæmz
lanai	lˈænaɪ
lance	lˈɑːns
lanced	lˈɑːnst
lancelet	lˈɑːnsɛlət
lancer	lˈɑːnsɐ
lancers	lˈɑːnsəz
lances	lˈɑːnsɪz
lancet	lˈɑːnsɪt
lancets	lˈɑːnsɪts
lancing	lˈɑːnsɪŋ
land	lˈænd
landau	lˈændaʊ
landaus	lˈændaʊs
landed	lˈændɪd
lander	lˈændɐ
landfall	lˈændfɔːl
landfill	lˈændfɪl
landfills	lˈændfɪlz
landform	lˈændfɔːm
landforms	lˈændfɔːmz
landholder	lˈændhəʊldɐ
landholders	lˈændhəʊldəz
landholding	lˈændhəʊldɪŋ
landholdings	lˈændhəʊldɪŋz
landing	lˈændɪŋ
landings	lˈændɪŋz
landladies	lˈændleɪdɪz
landlady	lˈændleɪdi
landless	lˈændləs
landlines	lˈændlaɪnz
landlocked	lˈændlɒkt
landlord	lˈændlɔːd
landlords	lˈændlɔːdz
landlubber	lˈændlʌbɐ
landlubbers	lˈændlʌbəz
landmark	lˈændmɑːk
landmarks	lˈændmɑːks
landmass	lˈændmæs
landmasses	lˈændmæsɪz
landmine	lˈændmaɪn
landmines	lˈændmaɪnz
landowner	lˈændˌəʊnɐ
landowners	lˈændˌəʊnəz
landowning	lˈændaʊnɪŋ
lands	lˈændz
landscape	lˈændskeɪp
landscaped	lˈændskeɪpt
landscaper	lˈændskeɪpɐ
landscapers	lˈændskeɪpəz
landscapes	lˈændskeɪps
landscaping	lˈændskeɪpɪŋ
landscapist	lˈændskeɪpˌɪst
landside	lˈændsaɪd
landslide	lˈændslaɪd
