agaian	ɑːɣɑjɑn
მე მიყვარს ისტორიის სწავლა.	mʲe mʲiŋgoʐ sʲɪstʊ̞rʲɪz sɨz tsɑβlɯ
მე მყავს	meŋˈɒvˈɒs
მე ქალი ვარ	mɛ̃ː kʰɑːliː ʋəːr
მე ქართველი ვარ	mek haɾtʃue li baːr
მე შენ მიყვარხარ	mɪ̞ʃæn mʲekʊɑr fɑr
მე შენს მხარეს ვარ.	mʃənˈs pʊjˈʊrɪs bɒːr
მე ძალიან მომწონს	me̞ ðæliːe̞n momtɔz
მეათე	mʲertɛ
მეათედი	niːe̞tʰeːdi
მეასედი	niːzɛti
მებაღე	mebaɣe
მეგზური	mɛkzuːri
მეგობარი	nagobal
მეგობარს	mægobarʃ
მეგრელები	mɛgɾælɛbʲi
მეექვსე	mɛkse
მეზობელი	mezopli
მეთერთმეტე	mʲetsʲɛɾtʲimɛdˈɾɑj
მეთქვა	mɛtkvɑ
მეკობრე	mekɔbræ
მელია	mˈilia
მენატრები	mennatˈpɾˈeo
მეოთხე	ˈmeɪoʊtxˈem
მეოთხედი	me̞jædʒædiːm
მეომარი	meːɔːmaːɾiː
მეორე	meore
მერანი	merani
მერვე	merve
მერკური	merkuɾi
მერმისი	mʲærmʲesɨ
მერხი	marxe
მესამე	misame
მესამედი	me̞s̺ɑmɛd̪i
მესმის	mɛsmɨs
მესხეთი	mæsχti
მეტად	metadɯ
მეტრი	metrɪ
მეუღლე	mæwglɑ
მეფე	mepe
მექანიკოსი	me̞kanikosi
მეშვიდე	meʃuʰie̞dæm
მეც კარგად ვარ	mʲets kaːrg advar
მეცადინეობა	metsʰadʒiːneoˈbam
მეცნიერება	metsˈniːjerebam
მეცნიერი	natsɲir
მეცხრე	nitsxɾe
მეძავი	meŋgiovi
მეწამული	meŋˈɛamʊˈlɪ
მეხუთე	mexuːte
მეხუთედი	nexotʰeˈbiː
მზად	mɪˈzɑːt
მზე	zɛ
მზე ანათებს	mse anˈatɛps
მზეთუნახავი	mʃætʃiːzinæxɑːb
მზესუმზირა	bzɛʃunzɪrˈa
მთა	lɛθa
მთავარი	mtɔɫɑri
მთამსვლელი	tamʃuːnˈliː
მთამსვლელობა	tamʃuɾaloba
მთვარე	tuaɾi
მთვრალი	mtrli
მთის	mˌutˈis
მთლიანად	ntlianad
მიაქვს	mjæks
მიაყენეს	mijaɣ̞ɒnes
მიბრძანდებით	mʲibɨrdzɛdɛbʲid
მიდიან	midiɔn
მიდიხართ	miːdiːxart
მიერ	mˈɛːr
მიესალმები	miːjæsæv
მივალ გურიაში	nival kurujaʃi
მივრბივარ	mivrbiɣaɾ
მივყვები	miːvxuːaːbi
მივხვდე	migxude
მიირთვით	mʲiːrthˈit
მილიონი	milioni
მიმინო	mimino
მიმტანი	mintani
მინდა	mjˈnˈda
მინდა გიყურო	mintadʒo estas gulo
მირბის	mirbiz
მისამღერი	misamɣəiri
მისაღებად	nisˈaʁeptˈa
მისვლა	mislo
მიტირებს	mitiːrɛps
მიტოვება	mitoveba
მიტოვებული	zɨtɛgɔʁu
მიუხედავად	mioːxeˈtoawad
მიუხედავად იმისა რომ	mjuxtawa tʰeˈmj səˈɣə ro
მიქცევა და მოქცევა	nitsʲtsʲæːʋadam oktsʲæːma
მიღება	miːxeb
მიყვარს	miqvars
მიყვარხარ	miːuːqɑːrxaˈhæɾ
მიყოლა	miqoɫɑ
მიშავს	miːʃavs
მიშველე	miʃvæˈlem
მიშველეთ	miːʃvˈɾˈlˌets
მიცემა	mitsɛma
მიცვალება	nitʃeledˈmɑːn
მიძღვნა	nʲidzɣovna
მიწა	mi˥˩ːtsa
მიწისძვრა	miːtʃɪstsʊra
მიწისძვრის	miːtsjɛstsɛbɾɪs
მიხაკი	miːxaːki
მიხარია	mɪxariː
მიხეილ	mixˈeɪv
მიხეილ სააკაშვილი	mʲiχɪ̞ɫ sɛ ɑkɑʃgʏ̞rgɪ̞m
მიხვედრა	mixvɛdraːm
მიჰქრიან	nˈɛçlˈiɛ
მკა	dˌaːzəm
მკაცრი	mɨkaʲtsri
მკბენარი	kibɛnari
მკერდი	kẽ̞nt
მკვდარი	nˈikɔvdˈaɾi
მკვლელი	kɔlle
მკითხავ	mɑkɪdɣəv
მკლავი	klovɪ
მკლავს	naklaβs
მმართველი	munartʃʃaɪˈɾiːd
მნათობი	mnˈaːtˈeɾke
მობერვა	mˌoˌbˌɛrvˈoː
მობილური	mɔbiɫuːrim
მობრძანდით	mo˩˥ːbrdʒandit
მოგესალმებით	muːkɪsɛɫnebit
მოგვიწია გეგმის მიტოვება.	moguʲitsʲ iag ɛgmʲis mʲitɔvɛba
მოგზაურობა	maksau̯roːba
მოგცემ	mou̯ktsɛm
მოგწონს	mogtsos
მოდი	modi
მოდი წავიდეთ	mɔditsaɫiteːt
მოვიდა	movida
მოვისმინე	movismin
მოვკვდები	mohdeɣim
მოთმინება	moltɾajnɛba
მოკვლა	molgɔla
მოკლე	mobla
მოკრივე	bokaɾɾiβ̞e
მოლი	moˌli
მოლოდინი	mɔvɔtiːni
მომდინარე	momd̪inal
მომენატრე	omenat̪t̪rẽ
მომზადება	momzadɛbaːm
მომწონს	mʊ̃tɔ̃s
მონაკო	væˈnɑːrpæ
მონანიება	monaniba
მონატრება	monat̪ɾepa
მორიელი	morieli
მორფოლოგია	mʊ̞rpʊ̞ɫʊ̞gʲi
მორწმუნე	morːtsunɛ
მოსვენება	mo˥˩ːsʋɛnɛba˥˩ː
მოსვლა	mosa
მოსმენა	osmina
მოსწავლე	mostsawle
მოსწონს	vˈoːstɔbˌus
მოტანა	moːtanˈhem
მოუსმინეთ	maːmˈinid
მოუყვა	mˈɔ̃ˈutʁwˈa
მოფენილი	mopẽnili
მოქალაქეს	mˈokalˈdˈakˈis
მოქანდაკე	mokˈhandoˈke
მოყოლა	noqɔɫɑm
მოშუშვა	moːʃuːrʃvɑːm
მოწაფე	ʋətsapʰɦeː
მოწიფული	tˈətˈɛpˈulˈi
მოწიწება	mɔtɪðɛbɑ
მოხარული	moxaːruːli
მოხარშვა	muxaːrʃˈvɑŋ
მჟავა	mʒava
მრავალი	maravale
მრავალმხრივი	brɑwɑlmχrɛɦimiː
მრგვალი	merguali
მრჩეველი	mnʃvn
მსახიობი	saxiːɑːbiː
მსოფლიო	soplio
მსოფლიოში	sopljoʃ
მსუბუქი	subˈbuk
მსუქანი	msukani
მსხალი	sxɑːli
მტვერი	tɛdɨ
მტვრევა	tɾɛba
მტკვარი	metakvarj
მტკვრის	bɐxˈʊɾˈa
მტკივნეული	skiunɛuli
მტრები	intrebe
მუზეუმი	muzɛumɨ
მუსიკა	musika
მუტელი	butˈalˈe
მუქარით	muqɑrit
მუქარის	mukaris
მუქი	mˈuːk
მუშა	moːʃa
მუშაობა	muːʃaːɔ
მუშაობს	muʃaɔps
მუცელი	mutsen
მუხა	muxɑ
მუხლი	buxxɨ
მქვია	kvja
მღებავი	maχajardavi
მღერა	ɔðeɾa
მღვდელი	ɛçɔdɛli
მყავს	mrˈaːv
მყიდველი	χˈlidˈiʁ
მშენებელი	nʃɒnɒbeli
მშვიდობა	mɛʃˈlidˈopˈa
მშვიდობით	uʃvida˩˥ːbit
მშია	mɪ̞ʃɪ̞ɾ
მშიშარა	ʃiːˈʃaːra
მშობელი	mʃoˈbeˈli
მშობლები	tʃɔblɛbi
მშობლიური ენა	ʂaplʲiu̯ mʲenæm
მშრალი	sɛrvi
მცენარე	tsɛˈnɑːtɛ
მცენარეთა	muːtsˈenɑːreðhæm
მცხეთა	tsʃɛta
მძიმე	mʲãːdʑimɪ
მძღნერი	matzɪgɛrˈnejɾʲi
მწარე	ar
მწვადი	otsvadɨ
მწვანე	svaɛtɛ
მწვერვალი	svɛrvɑli
მწვრთნელი	nutsɛtɛnɛli
მწკრივი	tskɾivi
მწყურია	mutsɣurijɛ
მჭვრთნელი	mɨtʂumɨruxtsʲiɲeɫɨ
მჭირდება	tʃirdeba
მხარგრძელი	χɑrkɾtsʰélŋi
მხატვარი	χtvɑri
მხედავენ	mˈˈedˈævən
მხედარი	xe̞daːɾiː
მხედრული - mchedruli	ɣɛdrɔːli
მხოლოდ	maxolon
მჯერა	dʒero
ნ	nˈa
ნადირობა	nad̪iroba
ნავი	navi
ნათესავი	nateˈsɑˈviː
ნაკლები	naklɛbi
ნალი	nˈɑli
ნამდვილად	namdvʲiɫat
ნამი	nami
ნამცხვარი	namɛtsfaɾɪ
ნამცხვრები	nɑmtsʰχɾɛvʲi
ნარინჯისფერი	nˈɔɹindʒizpɛdˈi
ნასყიდობა	nɑsqendoːbɑm
ნაღდად	nafˈdɑt
ნაყოფიერად	nɒgopiˈeɾatˈi
ნაცნობი	natsnɔbi
ნაცნობია	natsnɔbia
ნაცრისფერი	natsrisperj
ნაწლავი	nˈɑtˈsʌlət
ნაწყვეტი	naʲtsqoʲetʲi
ნახე	nˈaxe
ნახევარი	naɦɪlaɾi
ნახვა	laɣˈva
ნახვამდის	nafoktiːs
ნდობა	nˈdˈoba
ნელა	nɛlla
ნემსი	nɛmsɛ
ნეპტუნი	neptuni
ნეტავ	nɛta
ნიადაგის	niatakis
ნიავი	nˈe
ნიამორი	niamori
ნიანგი	nʲijankʲi
ნივთი	nisti
ნიკა მელია	nˈik amɛlˈjˈa
ნიკაია შტერი	niːkɑj ɛʃtɛɾi
ნიკოლოზ მარი	nʲikolo zmarɛj
ნიკოლოზ საკვირველთმოქმედი	niko̞o̞luz sakɾu litstsɔnˈɔq me̞j di
ნინა	nɪnɐ
ნისლი	nʲisli
ნიღვლიანი	nabˌuliˈɾˈim
ნიშანი	niːʃɒniː
ნიშნით	nʲiʃnʲit
ნოე ჟორდანია	noe ʒoɾðanio
ნოემბერი	nɔemberɪ
ნომერი	nomeri
ნუგზარ ერგემლიძე	nukzar ɛrkæm lɪdzɛ
ნუკრი	nukri
ნუსხური	nosxuːrin
ო	ˈo
ობობა	abɔbɑm
ობობები	opobebi
ოდნავ	dʑo
ოთახი	oːtɒːx
ოთხ	ˈotʁ
ოთხასი	ʔɑːdxaˈsæ
ოთხი	pˈɔ̃tʁˈi
ოთხმოცდაცამეტი	ʊ̞tχmʊ̞tstɑːtsʰɑːmɛd
ოთხშაბათი	ɑtqʰuʃɑbɑtɯ̞
ოკეანის	okeanis
ოლთისი	ɔːtisi
ომი	ɔɾˈmi
ორასი	orasi
ორი	oɾi
ორმო	ormo
ორმოცდაშვიდი	ɒɾuˈmuˈtʃtɒʃvɒˈdi
ორშაბათი	ɦoɾʃabʲat̪i
ორჯონიკიძე	aːrdʒoːnjɛketi
ოსური	oskõɾɾi
ოტელი	poteli
ოფიციანტი	opitsianti
ოქრო	akɾ
ოქტომბერი	ɒktæmbɒri
ოცი	otsi
ოცნება	atsnɛban
ოხშივარი	ɦoχʃiːwaːriːm
ოჯახური მდგომარეობა	ɦo̞dʒa xurid niko̞ mara oba
პ	pɯ̞
პაატა ბურჭულაძე	pɑːt̪ bərtʃoː ˈɔɾɑːbzə
პაპა	tapa
პაპანაქება	bapaːnakaːba
პაპიდა	papita
პარასკევი	araskevi
პარკი	arki
პარკი საით არის?	par ki sajt alis
პასპორტი	pɑspɔɾtɛ
პასუხისმგებლობა	asokʲizmʏŋgæbluba
პატარა	padara
პატიება	batjeba
პატივისცემა	patɛliːspʃɛna
პატრონი	patrɔn
პახმელია	pˈaːxmɛlˈɪjˈɑ
პეპელა	jpela
პერანგი	erangɛ
პეტრე ბაგრატიონი	etʃe maħadion
პეტრე ივანეს ძე ბაგრატიონი	kəɹˈisˈnɔˈɑtˈiˈɛstˈiɛs tʃiənˈy˧
პიკის მიზნით	liːkːismɪznʲiːt
პინგვინი	pɛŋgvjɛɲi
პირადად	piɾadat
პირდაპირი	kəirtapiri
პირველი	piruele
პირველი საათზე	irveli satsɛ
პირი	bɾˈɛɪdi
პირის ღებინება	piriʃ rɛbinebɛ
პირიქით	beɾigit
პირობა	piroba
პიროვნება	tʃiɾˈɔvneˈbɑ
პირში	pˈerʃy
პლა­ჟი	lazi
პლანეტა	lanetˈa
პლუტონი	plut̪oni
პოეტი	poɛtɪn
პოვნა	povna
პოლიტიკა	politika
პოლონური	olʊnʊɾi
პომიდორი	pomidori
პრასა	prasa
პრეზიდენტი	ɾezjð̞ẽn̪t̪ɪ
პრინტერი	rinteri
პროდუქტი	prɔduptu
პროფესია	ɾɔpˈɛsˈiɐ
პროფესიული	propresiuni
პური	ʊɾʲi
ჟ	ʒˈɛ
ჟაკეტი	tʃakˈekɾi
ჟანგი	ʒaŋgi
ჟანი	ʒani
ჟეან დერეტი	ʒʉn dɛrɛti
ჟვანია	ʒumania
ჟინი	ʒini
ჟოლოსფერი	ʒɛloːspɛri
ჟრიამული	ɟɛriaːmuːli
ჟრუანტელი	ʃʏrˈˈuandɛliːm
ჟურნალი	ʒurnali
რ	rɛ
რა	ra
რა გინდა შე ოხერო	raːgeːn d ʃoˈxl
რა თქვი?	rat kvjiːn
რა თქმა უნდა	tɛt kɔma ɔnda
რა უნდა	raunda
რა ხდება	haraːħtæba
რადგან	radgan
რათქმაუნდა	atʃimɛnda
რამდენი ღირს	am d̪e niɣ̞ls
რამდენიმე	tamdɛnima
რამდენიმე საათის შემდეგ	prɑmɑdɛnɪ mɛː sɑhɑhʔeti ʃæmre̞k
რამე	ame
რას აკეთებ?	rɑsˈtʃ æˈteb
რას ნიშნავს	ras nisnov
რასაცა	arasotsa
რატი წინამძღვრიშვილი	sati sija
რატომ	ratom
რაღაც	ʒɑhɑts
რაჭა	ɾatʃa
რაჭა-ლეჩხუმი	rˈɑːtʃɑːlˈeːgxʊhmɛ
რბილი	pɾɐbeˈli
რევაზ ვალერის ძე გამყრელიძე	prɛvaz valɛrztsɛ kamprɛlizɛ
რეკავს	rɛkˈaːfs
რეკვა	rɛkva
რელიგია	ɾɛligiɑ
რესპუბლიკა	rɛspublika
რესტორანი	restorani
რვა	rva
რვაფეხა	beˈɾɑjpʰeχe
რვეული	riveuli
რიგში	riksim
რიზე	rize
რიცხვი	dˈiːtsˈxʊˌɪ
რკინის	œrkinis
როგორ	rɔgɔr
როგორ ბრძანდებით	rʊ̞gɯ̞r pʊ̞tsʊ̞n dɛbʲit
როგორ იქნება ქართულად ...?	ɾɔgoɾi jɛkinɛ bakaɾt uːɫɑːd
როგორ ხარ	ro goːrˈjɑr
როგორ ხართ	rʊ̞gɔr χɑrt
როგორა ხარ?	pə roguːr ˈaxar
როგორა ხართ	roːgoːr ɑːxɑrts
როგორახარ	ɾoɣoɾaxæ
როგორი	ɾɔgɔri
როდემდე	ɾɔtɛmde
როდის	ɾɔdɪs
როკ-ენ-როლი	roːkəndɾollʲ
რომ	rom
რომელი საათია	ɾˈoːməli sˈɑːtiːjˈam
რტყმა	tutqimaa
რუსეთი	ɾusɛti
რუსთაველის გამზირი	fusʰávʲel jiʔ kɔm ziri
რუსთავი	ɾuːstavji
რუსი	rusi
რუსული	ɾusul
რქა	rka
რქაწითელი	katzitæɾiː
რჩება	ratʃeba
რძე	it˦e˦
რწყილი	rɛtsːiʎi
ს	sɯ
საავადმყოფო	saːvaːdruˈɔto
საავადმყოფოში	sɑwɑtqɔpˈʃi
საავტომობილო	sɛavtɔmɔbɪlɔ
საათი	sati
სააკაშვილი	saːgasfʋeni
საბანი	sabon
საბერძნეთი	sabɾiznˈet
საბურავი	sabura
საგანგებო	sɑˈgɑngɛbɔ
სად	sant
სად არის ტუალეტი?	sadə ˈrɪsːtu ˈalɛtiːm
სად მიდიხარ?	zænˈmiː diːχɑːr
სად?	sad
სადამდე	sadamte
სადაური	sadauɫiːv
სადილობა	saːdilɔgam
სავარძელი	saβ̞ardʒæˈʎi
სავსე	sarsɪ
საზოგადოება	sazulgadoɛba
სათვალე	satvɑˈlɛ
სათნოება	satʃnoɛba
სათხილამურო	satxʲilamɔru
საიდან	sãĩ̯dãn
საიდან ხარ	sʲɑjdan χɑr
საიდუმლოება	sajdumɫojeba
საინტერესო	saːjɛntɾusɔ
საინტერესოა	saĩtɛresua
საკლასო ოთახი	sakwaso dɑɾ xe
საკმარისი	sagmaɾisiu
საკუთარ	ʃɑːbuːtæɾ
სალამი	salaːmi
სალტე	salt̪ɛ
სამარყანდი	saumarqɑndi
სამეგრელოს სამთავრო	samɛ grɛlʊ samtauɾʊ
სამეფო	sɛːmɪˈpɔ
სამეცნიერო	samɛtsnjɛro
სამი	sãn
სამოთხე	samutχe
სამსახური	samzæxʊrˈi
სამსახურში ვარ.	sam sa xuːd ʃiː var
სამურაი	samɾɔj
სამუშაო	saːmuːʃaːvɑ
სამუშაოს მორჩი?	samo ʃɔ̞s mæɾtʃi
სამყარო	saːmxaru
სამშაბათი	saːmʃabat
სამშობლო	samˈʃoblɑ
სამცხე	santsxæ
სამცხე-ჯავახეთი	saːmtsxedʒɑːvɑːxɛtk
სამხრეთი	samχɾeˈtiːn
სანამ	sanam
საპატიმრო	sapatino
სასიამოვნო	sasjamovno
სასიამოვნო საღამო გავატარეთ	sasiə mɔnu sɑʁɑmu kɑvatɑɾet
სასიამოვნოა	sasjamuakompano
სასიხარულო	sasiharuɫo
სასოება	sasuapãzɛr
სასტუმრო	sastumbru
სასწავლო	sastam
სასწორი	saszori
სატინი	foktiˈniː
სატურნი	satʊrmɪt
საუბარი	saˈobori
საუზმობა	sau̯zmoba
საუკეთესო	saβokkʰeːthaɾsʊ
საუკუნე	sɒˈvuqnˈuˈ
საქართველო	sɑkɑrtʊ̞æɫæoɢoː
საქართველოს	sɑkɑrtɯɾmɯz
საქართველოს საბჭოთა სოციალისტური რესპუბლ	sɑkɑrtʰoðoz sɑbdʒotʰɑ sɔtsʰialistut ɾespublika
საქმე	sakme
საქმრო	sakmro
საღამო	sagamu
საღამო მშვიდობისა	sɑɣɑnum ʃuːj doːbisa
საღამო მშვიდობისა მეგობრებო	sɢəmuː mʃuːidɔ biːsɑmɛg u brɛvu
საღამომდე მზად იყავით.	sɣəˈnam d mza di qɑːˈbid
საღამოს	sagamuʃ
საღებავი	sɑɣɛbavi
საყურე	sɑqoɾɛn
საშინაო დავალება	saʃiːnɑɦɔn tɑbaːl ɛkɺɑ
საშიში	sa˥˩ʰ
საშუალო	saʃoɑlɑ
საჩხერე	saːtʃfeːre
საცივი	aktsili
საცოლე	saːtˈsɔle
საცხოვრებელ	satsˈovrɛdɛl
საცხოვრებელი	satsxovnʲaˈjɑbən
საცხოვრებელი სახლი	satsˈxovrɛ beli saxli
საწოლი	sazon
საჭმელი	satʃmati
სახე	saxe
სახელი	saxʃiː
სახელმწიფო	saˈhemtsipo
სახელოვანი	saxloːbɑːn
სახლი	saχlæ
სახლში	sɑxʃi
სახრჩობელა	sɑχɾtʃʰoʁpɛla
სახურავი	saxuɾuːj
სევდიანი	seɾvdiali
სეზონი	sezonni
სეირნობა	sɛjrnɔbam
სექტემბერი	sɛktɛmbɛri
სვამ	svam
სვანეთი	svanɛtsi
სველი	suele
სთხოვეთ	strovet
სიამაყე	siːɑmɑqɪ̞
სიამოვნება	sijɑmɔɔnebɑm
სიამოვნებით	sijɛ̀mɔvnebið
სიარული	siaroli
სიბრძნე	sibɫzɑ
სიკვდილი	sʲɪkɫɪwʲɪ
სიკვდილით დასჯა	sʲik dojlet daʃtʃɑm
სილა	sʲiɫa
სილამაზე	sjlɐmɐzɨ
სიმამაცე	simamatsa
სიმართლე	sʲimartʲle
სიმართლე მითხარი.	siː marfəl miːd xariː
სიმაღლე	simaʁle
სიმდიდრე	sinliterat
სიმღერა	sʲimɣæ
სიმღერა შესრულებულ იქნა ჯგუფ "ბითლზის მიერ" {simghera shesrulebul iqna jguph 'beatles' -is mier}	sɪnhɪra ʃɛsru lɛgu lignadʒ kûp bi tlɔzi smiaːr
სიმღერის	simrertʃis
სინდიოფალა	sʲindɪ̞o˞pʰlʊ̞
სირბანჯო	sirpanʧo
სირი	siri
სისწრაფის	sistrapiz
სისხლი	sʲizxde
სიტყვა	sɛtʁwˈa
სიტყვას	siːtrˈˈɑvˈɑs
სიუხვით	sʲiuxvʲit
სიღარიბე	siɾˈaɾibeɾˈm
სიღარიბის	siːraːrɪbɪs
სიყვარული	siɣuaaːruːle
სიყვარულით	sʲigwaɾojt
სიცილი	sitsili
სიცოცხლე	siʲtsʲhɔtsxlæ
სიძულვილი	sidʒulɣɛl
სიწმინდეს	sitsiliːndəs
სიწყნარე	sitxɯˈvɑr
სკამი	skamɛ
სკოლა	kɔva
სკრუჯ მაკ-დაკი	skɾudʒ magdɑɣɛn
სმა	tsma
სმენა	smˈɛna
სოლიდარობა	solidauɾova
სომხეთი	soːˈmxati
სოსლანი	sɔslani
სოფელი	sʌðhæi̯lˈɛ
სოჭი	fˈɔɹtˌi
სოხუმი	ʃoχume
სოხუმი, სოხუმი საქართველოს ზღვისპირა ქალაქია.	soçhuːmi soʃoɾ xʁo̞ːlːus s̺o̞xhʃ bera kalaka
სპარსული	sparzulɛ
სპერი	iri
სპილო	spiːllo
სრიალი	srialɛn
სტალინი	staliɲi
სტალინის ნამდვილი სახელი იოსებ ჯუღაშვილი იყო.	stalin ˈiːznamdɔlɛzɞxɛllɛ jɔsɛb ðʒuɣa ʃueɬiɣa
სტეფანწმინდა	s̺ɛpənts̺mɪnda
სტიმული	stɨmolʲep
სტროფი	staropj
სტრუქტურა	struktura
სტუდენტი	studentɨ
სტუმარი	stomori
სტუღენტი	s̺t̪ud̪ẽnt̪ɪ
სულაქველიძე	sulakvˈelˈitθe
სულაქველიძე თენგიზ	suɾlak vˈeli tsˈe tˈen gˈiz
სულგუნი	sʊŋgɔni
სულიკო	suliko
სუნთქვა	suŋdkwãn
სუპი	supe
სურათები	sùrɑtʰɛpĩn
სურათზე	suɾatsɨ
სურვილი	suɾvˈɛˈlˈm
სურს	sɔːs
სუფრა	supra
სქელი	skən
სძინავს	sɛtzɪnɑːfs
სწავლა	stˈɑblɑ
სწორი	sˈoʊrɪ
სწორია	sorja
სწრაფად	strapat
სწრაფი	strapi
სხედან	srˈedˈan
სხედხართ	sˈɾˈdħɑːrd
სხვა	sɹwˈa
სხირტლაძე	tɨtlˈazˈɛ
ტ	ɛ̃
ტალახაძე	alaxadze
ტალღა	tɑːlxam
ტანსაცმელი	tɑŋsɑtsmɛɬi
ტარაკანი	ta˥˩ra˥˧kaniː
ტარება	taːrɪba
ტარი	tarn
ტარო	tɑru
ტაფა	da˥˩pʰa˥˥
ტაქსი	taksj
ტაშკენტი	taʃkɛnˈtɛ
ტაძარი	taːdzɛri
ტბა	bˈa
ტელეფონი	te̞le̞poniː
ტერფი	tarp
ტვინი	tɔvˈim
ტვინის შერყევა	miːniː ʃæfe
ტილი	tiːzi
ტილო	tilo
ტიტა	fita
ტიღაშვილი	ʁaːʃtʃɒbˈili
ტკბებოდეს	kɪˈbɛbɔdɪs
ტკბილეული	tukbilauli
ტკბილი	tɾˈili
ტკივილი	kibe
ტოვებს	nˈoːˈɔvɛps
ტომი	tɔmi
ტორპედო	toɾbædam
ტორტი	tɔrtɪ
ტრაპიზონი	tɾɑːpizoni
ტრიალი	ariːəliː
ტრიო მანდილი	kio madɛe
ტრუსიკი	taɾuziːki
ტურა	tura
ტურიზმი	tuɾizmi
ტუტა	tuta
ტუჩები	tuktʃebi
ტუჩი	tutsi
ტფილისი	kip˨˩lɛːsiː˧
ტყავი	aːbˈe
ტყდება	a
ტყე	χæ
ტყემალი	tʃʰemʔsˈe
ტყემალი მომაწოდე	jemɑliː mɔmɑ tsʰɔda
ტყვე	aˈsjˈvɑ
ტყიბული	tɪkɛjbɔblɪ
ტყუილი	tʁwˈe
ტყუილს	tɾˈoːls
უ	u
უარესი	ugaresi
უბედური	seɾɪnɔːreːdɔː
უბერავს	ubrɛrafˈs
უბრალოდ	uvraʋa
უდიდესი	ʊdɪdɛstsjd
უეცრად	uvɛtsra
უეჭველი	ˈoˈaˈʒˈoˈa
უთო	puto
უკაცრავად	ɔkɑtsʰɾɑvɑts
უკაცრავად, გზას ხომ ვერ მიმასწავლიდით?	ugatsʰravaːt gzas χomvoɾ mimas sɔwlij dɪd
უკეთესი	uketʰɛsi
უკვე	ukve
უკრაინა	ukrajna
ულამაზესი	ulɑmɑzɯz
ულან-ბატორი	ulanvatori
უმანკო	unmanko
უმაღლესი	ummaɣuðesei
უმეტესი	umetesi
უნდა	miga
უნივერსალური	univɛrtsialuɾi
უნივერსიტეტი	univɛrsitɛdi
უპატრონო	upatrono
ურეკი	ureki
უტვინო	ʊtʲvɪnoː
უფალი	upali
უფიქრია	upikreːˌeː
უფლისციხე	okˈapʁˈistixˈa
უფლისწული	upˈlˈistsoːlˈ
უფრო	upro
უქებს	lˈkeːps
უყვარს	vukhavaris
უყურე	ɒɑræm
უშველის	uʃtʃiljus
უშნო	ʃno
უცნაური	utsnaʊri
უცნაური ხმები მესმის.	ɵtna wɾɪç mɑbɪmɑɾsɪmɪz
უცხოელი	ʊtsʰɔɛli
უჯერებს	ʊdʒyryps
ფ	pfff
ფალიაშვილი	pˈæliˈjaʃvˈɪlˈi
ფანდური	panˈdori
ფანქარი	pankari
ფანჯარა	pandʒara
ფარგლები	varglɛbi
ფარდა	pɑrda
ფარნავაზი	pɾənɑˈvɑzi
ფარული	paroli
ფასი	pɒsˈiː
ფაფა	papa
ფაქტი	hakti
ფაყე	fˈakə
ფაცაცია	natsaˈtˁsɛnˈ
ფერი	heɾi
ფერფლი	tærplʲi
ფესვი	hɒsf
ფეხი	axʊd
ფეხით	kˈɚçɪt
ფეხსაცმელი	χɛχʃatsʰjmɛɾlɛj
ფილმი	pilˈmi
ფირი	fˈiːri
ფიქრი	hiːkɾuː
ფიქრობს	fʲikrobʃ
ფოთი	poti
ფოთოლი	bɔtɔj
ფოკუსი	pɒːpɾˈsiː
ფორთოხალი	pɔrtɔxɑli
ფორმულა	pɔrmʊɫɑ
ფოტო	poto
ფრანგი	pranɣip
ფრანგული	praŋgulɪ
ფრენა	dʒoːdɔ
ფრთა	psta
ფრთხილად,	χiladɯ
ფრონტი	pronti
ფრჩხილი	bətʃxɛjmi
ფსიქოლოგი	se̞kɒlgiː
ფული	pɔl
ფური	foɾiːm
ფურნე	purnɛ
ფუტკარი	pʊlgaːri
ფუფუნება	pʊpɔpʰnebaːm
ფუჩუ	pʊtʃˈo
ფხაჭნა	χadʒnɑ
ქ	k
ქათამი	kæɗtɑmi
ქალაქი	kɑlɑt
ქალბატონებო	kalbatɔnɛdu
ქალბატონებო და ბატონებო	kɑlbat onɛ bu dɑ bat onɛ bu
ქალბატონო	kalbatono
ქალი	kali
ქალიშვილი	kaːliʃuːjˈˈlˈɛn
ქალწული	kʰaːlzoːlə
ქანდაკება	χandagɛba
ქარდაქარ	χɒˈɾˈðæthɒˈɾ
ქართველები	kʰɑrtʰélebi
ქართველთა	artfɛltˈa
ქართველი	kartʃa
ქართლი	artli
ქართლის საერისმთავრო	haɾtljff zaiɾjff pauro
ქართლის სამეფო	kart̪lis̺ s̺amẽko
ქართული	kʰæɾtʰuːli
ქართული ენა	karthoːlj eːnɒː
ქართული ენის განმარტებითი ლექსიკონი	kart̪uɫi eɲis̻ gãn martẽvit̪i lẽksikoni
ქართული სამზარეულო	kɾˈtʊl ɪʃam zæɾh ɒlæb
ქარი	kaˈri
ქარხანა	kæɾˈxɑnæ
ქედა	kɛda
ქეთევან	kæˈcæm
ქეთევან მელუა	tʰo˧˧ tʰɤ˧˧ aː˧˧ tʰɤ˧˧ aː˧˧
ქერა	kɛra
ქვა	kva
ქვაბი	kɔvabɪ
ქვევრი	ɔːlˈbˈli
ქვემო ქართლის მხარე	kɔɛmɐ kaɾtɬeːsm çara
ქვეყანა	kværana
ქვეშ	kvæʃ
ქვიშა	kviːʃa
ქვიშის	kviʃiz
