anowr	ənˈɔɾ
ফি	fˈi
ফিডব্যাক	fiɾtbək
ফিরিয়ে আনার প্রক্রিয়া	pʰiːie anˈaːɾpˈɾokˌriːa
ফিরিয়ে নেওয়া	pɾiɾie̞ ne̞wa
ফিরে আসা	pire asa
ফিরে আসার অনুমতি	pʰiɾe ɔ ɐʃaːr unuː moti
ফিল্ডিংয়	fildŋ
ফিসফিস করে বলা	piːʃ piːʃ koːre boːla
ফু	fou
ফুঁ	pʰoɪŋ
ফুটবল	fwt̪β̞ol
ফুটানো	futane
ফুপা	pupˈa
ফুফু	pˈɔˈpˈɔˈ
ফুল	suɔr
ফুলকপি	fuːn
ফেটিয়ে মেশানো	pʰetiˑ e me̞ʃanʊ
ফেনসিডিল	fɛn̪sʃid̪il
ফেনী	feni
ফেব্রুয়ারি	pebɾuaɾi
ফের	peɾ
ফেরা	fɛɾɑ
ফেলা	fela
ফেলুদা ধারাবাহিক	t̪ʰɔl̪ud̪äː d̪ʱäɹäbäːɦikː
ফেলুনাথ	fʲelunat
ফেলে	fælefele
ফেলে চলে যাওয়া	hele tʃoːle dʒawaː
ফোন	fˈɔn
ফোন	fɔːn
ফোন করা	pʰoːn kɾa
ফোনেটিক	fəʊnɛtˈɛk
ফোয়ারা	tʃiːzi
ফ্যান	fem
ফ্রান্স	ɾɑnˈs
ব-দ্বীপ	baːdiːd
বঁটি	boti
বঁধু	mˈodʒu
বংশধর	boŋʃd̪ʱoɹo
বংশবৃদ্ধি	baŋʃubɹitʃʰiˑ
বংশমর্যাদা	kwɑŋ˥˩ʂɤŋ˥˩mɔ˧˥ʈʂuɔ˧˥
বংশানুক্রমিক	boːnʃaˑnkˈrɔmi
বংশে	bonʃa
বংশোদ্ভূত	boŋʃutbuːdɔ
বই	gʊj
বইঠা	boːjˈtə
বইমেলা	buimela
বউ	bu
বউভাত	bo˥˩ːlbʁat
বওয়া	boa
বক	bok
বকবকানি	baqbaqaːn
বকশিশ	boːkˈʃeʃ
বকা	oka
বক্তব্য	bokdobbo
বক্তৃতা	bogtrita
বক্র	bˈokɾʊ
বক্ষঃ	boko
বক্ষবন্ধনী	bkʰbnd̪ʱniˑ
বগল	boˌgol
বগি	bogʝ
বগুড়া	oguɾa
বগুড়া	boguɾa
বঙ্কিম চন্দ্র চ্যাটার্জী	goŋ kɔdʑom dʑaɳɖrʊtɕaɾeɹdʑi
বঙ্গ	bogo
বঙ্গদেশ	bõŋgõd̪eʃt̪
বঙ্গবন্ধু	pʊ̃ʊ̃bũ̃dʊ̃
বঙ্গবন্ধু শেখ মুজিবুর রহমান	ɒngɒ bɒlduˈg ʃeɣmiˈ tʃiq tuɾuh
বঙ্গভঙ্গ	goŋgoːbʱɔɦoʊɔ
বঙ্গভঙ্গ আন্দোলন	bɔŋgoː bʱoŋgoː anzən
বঙ্গমাতা	boŋgomatˈa
বঙ্গানুবাদ	bonɣ̞anobat̪
বঙ্গাব্দ	bonɣ̞abd̪o
বঙ্গাল	boŋgəl
বঙ্গীয়	bongio
বঙ্গোপসাগর	bʱɔŋgɔpʃakɔɹ
বছর	bɔtʃoɾ
বছরখানেক	bɔtʃɔɾkʰanɛk
বছরের	boʃxoɾez
বজলুর রশিদ	bæzæluːr ɾoʃiːd
বজ্র	vˈɔdʒu
বজ্রগম্ভীর	boʒuɹaɣumiɾo
বজ্রবিদ্যুত	bɔtʃɔbˈiðˈut
বজ্রাসন	bd̪ɾaʃɔn
বজ্রের	bˈoʒl
বঞ্চিত	bonˈtɕito
বটগাছ	boːt̪gatsʰ
বটে	bɔte
বড়জোর	boːrodʒɒːɾ
বড়দিন	bɔɾɔdin
বত্রিশ	mʊtɾiʃ
বদরাগী	boːd̪ɾæni
বদলানো	boð̞lãn̪o
বদলি	bɔdliː
বদান্য	bodãnˈno
বদ্ধমুষ্টি	boðˈʃmʃti
বদ্ধমূল	boːtðəmuːl
বধির	bʊd̪ʱiːr
বধূ	boðhu
বন	bon
বন ফাঁড়ি	bonːpːaɽi
বন বিভাগ	bonɔvibʱaːg
বন সংরক্ষক	bonʃɔŋɾʊkʰɔkʰ
বনবাদাড়	bonβ̞að̞aɾ
বনবিড়াল	bonbiɾal
বনবীথি	bʱɔnʊvidʱʰiˑ
বনশাই	boːn˧ʃaɪ˥˧
বনাঞ্চল	bɒnˈvɒːntʃɔl
বনের প্রাণী	boner prani
বন্দুক	bɔnduk
বন্দুকধারী	bndʊpːt̪ʰaɹiː
বন্দে মাতরম্	boˌnˈde matˈoɾon
বন্দ্যোপাধ্যায়	boːndpəɖʱaːj
বন্ধ	bɔndʱo
বন্ধ করা	bɔnd̪ʱoˑ kɹa
বন্ধন	bɔnd̪ʱɔn̪
বন্ধনী	bn̪d̪ʱːʱːniˑ
বন্ধু	bõŋdɔ
বন্য	bono
বন্য প্রাণী অভয়াশ্রম	boːnuːpɾaːniː ɔbʱɔjɔsæm
বন্য শূকর	bnoˑɹ ʃuˑɔɹgɹaɹ
বন্যপ্রাণী	bonnoprani
বন্যা	bonna
বয়স	boʃ
বর	bɔːɾ
বরং	bˌoɾˈaˈ
বরখাস্ত	bolkesto
বরগুনা	boɾgʊnɑ
বরঞ্চ	moˈronˈtsˈo
বরণমালা	bɾonːmaˑlaˑ
বরফ	bˈoɾoːf
বরাদ্দ	boɾato
বরাবর	boɾɑboɾ
বরিশাল	bʱoˑɾiˑʃaɔlː
বরেন্দ্রভূমি	b̥o̞ɾe̞nd̪ɾub̥u̯mi
বর্গ	bɔɾgʊ
বর্গক্ষেত্র	borgokɛtrɔ
বর্জন	borjon
বর্জন করা	bɾzon kɹaˑ
বর্জিত	borˈdʒito
বর্ণ	bˈuɾnˈo
বর্ণনা	boɾnola
বর্ণমালা	ɑɾnɔmaːlɑ
বর্ণহীন	bˈɑrnoʊiˈɛn
বর্ণানুক্রম	boɾnanukɾuːm
বর্ণানুক্রমিক	boɾnanukɾomik
বর্ণালী	boːrnə
বর্ণিত	mnwtˈo
বর্তমান	boɾt̪omãn̪
বর্তমান সময় পর্যন্ত	bʱɾt̪ maˑn ʃmɔe̯ poɹdʑont̪oˑ
বর্তমানকাল	boːrtoːmankal
বর্ধমান	bɹd̪ʱumən
বর্ধিত	bord̪iːt̪oˑ
বর্বর	bɔɾbɔɾ
বর্ম	bˈoɾmʊ
বর্শা	bɔrʃa
বর্ষণ	bɔɾʃɔn
বর্ষা	bɔːɾʃa
বর্ষাকাল	bʃqaaːl
বর্ষার মাস	pɔʃɑːrmɑʃ
বর্ষীয়সী	bolʃjoʃi
বর্ষীয়ান	bo˥˩ɾʃjã˥˥n
বল	bolˈʃˈ
বলতে গেলে	boɾlte geːle
বলপূর্বক	bɔlpʊɹbkʰ
বলপূর্বক প্রবেশ করা	baluːpuːr boˑ kːɔpʰbeˑʃ kɹa
বলবৎ	bolɣot
বলয়	boloi
বলা	bɔla
বলাকা	bolaka
বলি	bolˈi
বলিহারি	bːoliˑgɑːɾˈiː
বলুন	bolum
বলুন তো	bolunto
বলে	bole
বলেছিলেন	bolˈɛtˈelˈɛn
বলেছে	voletʃe
বলো	balo
বলয়	baloi
বসতঘর	bʃod̪gʱɔɹ
বসতি	bosɔt̪i
বসতিপূর্ণ	boʃotipuɾno
বসন্ত	bosnto
বসন্তকাল	bʃɔntːoˑkɔz
বসন্তগান	voʃontogaːn
বসবাস করা	bɔʃu baʃ kɔra
বসবাসের	bɑːʃoːbæʃiːd
বসা	bosa
বসুন	boʃuːn
বসে	boʃe
বসে থাকা	boʃe t̪ʰaka
বস্তি	postri
বস্তুত	boztuto
বস্ত্র	bostro
বহন	bʱɑhˈn
বহন করা	baːt̪on kɾaː
বহরমপুর	bɐɦrɐmpuʒ
বহিঃপ্রকাশ	βowippɾokas
বহিঃপ্রকাশ ঘটা	bɦiː pɾkɑʃ gʱɑʈːaː
বহিরাগত	bɦʰiːraːgɔtɔ
বহির্নোঙরের	bʱoˑɦiˑɾnɔŋgɹer
বহু	væːhõː
বহু বিচিত্র	boɦʊ bʲitːʃitːro
বহু-বিস্তৃত	bohudistrito
বহুদূর-প্রসারিত	boːʱud̪uːrpɾoʃaˑɾiːtoː
বহুবিবিধ	boːʱuːbiːbiːd̪ʱoː
বহুমাত্রিক	boːmɐtrɪk
বহুরুপী	goɦɔːrɔːpiː
বহুলব্যবহৃত	boʊlbjbʱoˑalɔ
বহুলাংশে	boʊːlaŋʃe
বহ্ণি	bonni
বহ্নি	bonne
বা	ba
বাঁকা	bˈɛkə
বাঁকা করা	bakakora
বাঁকানো	vakano
বাঁকুড়া	bakoɾaɾ
বাঁচা	batʃa
বাঁচাও	bat˦tsao˥˩ː
বাঁচাও!	batʃaoo
বাঁচানো	baːtɕanɔ
বাঁচাবে	maːtsʰəbe
বাঁদর	bador
বাঁদিক	bɑːrd̪iːk
বাঁধ	ant
বাঁধন	baːɳɖʱon̪baːɳɖʱon̪
বাঁধনহারা	mʊŋtʰuːnaɾa
বাঁধা	bɑːd̪ʱaː
বাঁধাই	badani
বাঁধাকপি	bäːd̪ʱaːkːuːpiː
বাঁধাকিপ	bäːd̪ʱaːkip
বাঁধুক	bäːd̪ʱukbaːn̪d̪u
বাঁশ	bãʃ
বাঁশি	bʃʃi
বাঁহাতি	bʱɑːnt̪iː
বাঁয়ে	baɪə
বাংলা	plakɔ
বাংলা ভাষা	bɑŋɫɑ βʰʃɑ
বাংলা ভাষা খুব সুন্দর, তাই না?	baŋläˑ bʱaʃaˑ kʰub ʃund̪ɔɹ t̪aɛe̯na
বাংলা ভাষা সাহিত্য	baːnla β̞as̺aʃait̪t̪ʰɔ
বাংলা সাহিত্য	baŋ laː ʃahit̪ːoˑ
বাংলাদেশ	bãŋladɛʃ
বাংলাদেশ শান্তিপূর্ণ দেশ।	baŋlad̪eʃ ʃant̪iɔpɔnːoˑ d̪eʃʈ
বাংলাদেশি	banlað̞eiɣ̞s
বাংলাদেশী	balað̞eiɣ̞sʝ
বাংলাদেশে	baŋladeʃe
বাংলাদেশে আশ্রয় নেওয়া	baŋla deʃe asroje pavʃer
বাংলাদেশের	foɾmaɾd̪et̪eɣ̞seɾ
বাংলাদেশের জেলা	bʱaŋɭaː ɖeːɕeːr dʒiːlaː
বাংলার মাটিতে স্বাধীনতা বিরোধীদের ঠাঁই হবে না	bʱɔŋlɔɹ maˑʈiˑt̪eˑ ʃad̪ʱinːt̪ʰaˑ bɔɾed̪ʱeɹ tʰaˑi̯ ɦoge naː
বাংলার মাস	boŋɭɑːr maːʃ
বাঃ	vah
বাঃ ! চমৎকার	ba tʃomutkaɾ
বাইনোকুলার	baɲokulaɾ
বাইর	bˈaɪɾ
বাইরে	baɪɾe
বাইরে রাখা	baɪɾe ɾaˑkʰaː
বাইশ	bˈaɪʃ
বাইসন	aʃn
বাইসাইকেল	bjɑjɪkɛl
বাউন্ডারি	bondaɾi
বাউল	baʊl
বাওবাব	baːlbˈad
বাকবিতন্ডা	bakβ̞it̪oɳð̞a
বাকরুদ্ধ	bakːrʊd̪oː
বাকী	akːi
বাক্য	bakoɾ
বাক্স	bˈɑːkʃu
বাক্স-রহস্য	bäkʃuˑɹo̯sːoˑ
বাগান	bˈɑːgən
বাগেরহাট	bːaːgəɾhaʈ
বাঘ	baga
বাঘা বাইন	bäːgäː baːĩːn
বাঘের	balseɾ
বাঙলা	baŋla
বাঙাল	banal
বাঙালি	β̞anað̞i
বাঙালি মহিলা	boŋɛlimohilə
বাঙ্গলা	mangla
বাঙ্গালাহ	bəŋɣəla
বাচ্চা	batʃa
বাচ্চা দেওয়া	batːʑa d̥e̞wa
বাছা	vˈatʃʰa
বাছুর	bəːtʃʊɾs
বাজ	vatʃ
বাজনা	aktsna
বাজনাদার	bˌɐʒˈɨnˌɐdˈaɹ
বাজপাখি	bäːtʃpɐkʰiː
বাজল	bɑːdʒloː
বাজানো	bːaˑʒanˈoː
বাজার	ɾədʒɑːr
বাজি	vadʒi
বাজি ধরা	bðsi d̪ʱɔra
বাজিমাত	bˈˈatʃɪmˈatˈ
বাজেট	bˈʌdʒiɹ
বাজেভাবে	badʑeːbʱaːbe
বাজেয়াপ্ত	bädʒɛːɐktʰɔ
বাটি	bʱɑːt̪iː
বাড়তি	bʱaːɾot̪e
বাড়ানো	baːɾanu
বাড়ি	bˈɑri
বাণ	bal
বাণিজ্য	banˈitʒːo
বাণী	bani
বাতাবরণ	bätäːbɔɾon
বাতাবি লেবু	bataːbj libu
বাতাস	batas
বাতি	bati
বাতিল	batil
বাতিল করা	batil kora
বাথরুম	batˈɾum
বাদ পড়া	β̞ad poɾa
বাদকদল	β̞að̞ukd̪oʝ
বাদল	β̞adl
বাদশাহী	baːt̪əgɑːiː
বাদশাহী আংটি	ʋɑːt̪ ʃɛɦiː əŋʈiː
বাদাম	bɑdɑm
বাদামি	batami
বাদুড়	batuʃ
বাদে	badɛ
বাদ্যযন্ত্র	batuʈɔntɾu
বাধা	baːðsɦaː
বাধানিষেধ	bäːd̪ʱäːniːʃeːd̪ʱ
বাধানিষেধের	baːd̪ʱaˑniˑɕeˑd̪ʱeʱɔ
বাধাহীন	bäːd̪ʱäːɦɪn
বাধ্যতামূলক	ʋaːd̪ʱot̪ɐmulɔk
বাধ্যবাধকতা	baːɖ̪bʱaˑɔkaˑʈ̟aˑ
বান	ˈan
বানচাল	bntʃan
বানর	banuʒ
বানানো	banano
বানিয়ে	ɓanie
বানৌজা স্বাধীনতা	baː nɔɔdʑaɹ ʃaˑd̪ʱiˑnɔd̪a
বান্দরবান	banːd̪uɾbãn
বান্ধবী	baːnːd̪ʱuːbiː
বাপ্তিস্মের	baptiʃmeɾ
বাবা	baba
বাবুই	babui
বাম	bamp
বায়তুল মোকাররম	bai̯t̪ul moːkaɾɾoːm
বায়ু	bajo
বায়ুমণ্ডল	ʋɑɪumɐɳːɖə
বার বার	barbar
বারংবার	bˈaɾˈoŋbˈaɾ
বারবার	barbar
বারবার আঘাত করা	barbar agʱat̪ kɔra
বারা	bara
বারাক ওবামা	bɑˈrɑːk ɔbɑmɑ
বারান্দা	varanda
বারাসত	bˈaɾaʃˈot
বারি	bari
বারিধারা	baːɾiːd̪ʱɑːɾaː
বারো	baro
বার্তা	bɑːɾt̪ə
বার্তা সংস্থা	barta ʃɔŋstʰa
বার্ষিক	bəɾˈsiːk
বার্ষিক চুক্তি	bʱɔɾʃikː tʃukːtʃi
বার্ষিকী	barʃiki
বাল	val
বালক	baloθ
বালকবেশী	baloːkpəʃiː
বালতি	bulti
বালা	bala
বালি	balˈi
বালিকা	balika
বালিশ	balˈiʃ
বালু	balˈu
বালুচর	baluːtʃɔr
বালুরঘাট	bæluːɾgʱatʰ
বালেশ্বর	balːɛzʃaɾ
বাশার আল আসাদ	maːʃalaːl ɑsɑd
বাস	bʃ
বাসকেটবল	bˈæskɛtbˌɔl
বাসন	bʃɔn
বাসনা	bʃɔnaˑ
বাসস্থান	bʃʊsθan
বাসস্থানে	baʃo̞stʃɑne
বাসস্থানে যাওয়া	baʃost̪ʰaˑne dʑao̯äː
বাসা	bˈaʃa
বাসিন্দা	β̞aɣ̞ĩŋð̞a
বাসিন্দা হওয়া	bʃɪndɑ xɑwɑ
বাসূন	bˈaʃuːn
বাস্তব	bastˈob
বাস্তব অবস্থা	bastob ɔbostʰa
বাস্তবতা মেনে নেওয়া	bast̪ b̥ɔt̪a men̪e neæwa
বাস্তবায়ন	bast̪oβ̞aion
বাস্তবায়নের	bʲɪʂtobʲaːʲoɲɪ
বাহন	balon
বাহাই ধর্ম	bʱaɦaɪ d̪ʱɾmuː
বাহিনী	bʱɪni
বাহির	bʱɑːɦiːɾ
বাহিরে	vˈaxˈiɹˈɛ
বাহু	boːʱu
বাহুডোর	maɣ̞ɣ̞oð̞o
বাহুবন্ধন	balˈːoːˈbːoːnt̪uːn
বাহুল্য	baːhuːloː
বাহ্যিক	bˈagik
বাড়তি	barti
বাড়া	bˈaɾˈa
বাড়ি	bari
বায়ু	bˈaɪu
বায়ুমণ্ডল	bjʊ̃mʊ̃nːdʊn
বিংশ	bĩŋʃo
বিংশ শতাব্দী	biːnˈʃu ʃuːdʒ ɢabdi
বিএনপি	bjnbi
বিএসএফ	bsf
বিকল	beːkol
বিকলাঙ্গ	bikoˈlago
বিকল্প	bikˈolˈpo
বিকল্পরূপে	biːɔkolpuːruːpe
বিকশিত	biko˥˩ʃito˥˩
বিকাল	nikaːs
বিকাশ	biːkɑːʃ
বিকিরণ	d̪ikːiːnɔːn
বিকৃত	bikritːo
বিকেল	bikːɛl
বিক্রি করা	bit̪ɹiˑ kɹaˑ
বিক্রি হওয়া	biːkriː hoa
বিক্রিয়া	bikriːaː
বিক্ষিপ্ত	bikːiptːo
বিক্ষুব্ধ	biːkʰuːbd̪ʱoˑ
বিক্ষোভ	mˈikɔvˈ
বিক্ষোভ কর্মসূচি	bikːʃobː koˑrmoˑʃːuˑtɕi
বিক্ষোভ নিয়ন্ত্রণ	kˈar nˈiˈnɔtˈrɔn
বিক্ষোভকারী	miːkʰobʱkaɾiː
বিখ্যাত	beːkːʰatˈo
বিচক্ষণ	vidʒakkon
বিচরণ	biːtʃɔɾɔn
বিচলিত করা	biːtɕʰoˑliˑtoˑ kɽaː
বিচারপতি	biːtɕaˑrpʰoˑtiˑ
বিচিত্র	bititsro
বিচিত্রতা	bitʃjtrotˈa
বিচিত্রভাবে	bitʃit̪rɔbʱaˑbe
বিচ্ছিরি	bitʃɪri
বিছা	biːt̪sʰa
বিছানা	miːtʃʰanah
বিজন	idʒoan
বিজলি	bidʒiːliː
বিজেতা	bidʒeta
বিজোড়	bizjoɾ
বিজ্ঞপ্তি	vixˈokti
বিজ্ঞপ্তি দেখা	bigːɔ̃ pˈti dˈʌkʰˈa
বিজ্ঞানমনস্ক	liːnˈkẽnmˈˈɔ̃t̪sʰʊɣmˈˈ
বিজ্ঞানী	lɛgani
বিজ্ঞানের ভিত্তিতে	bʱgɳer bʱit̪t̪it̪e
বিজ্ঞাপন	viːkːɑpˈon
বিজ্ঞাপন করা	biːg gãmpuːnˈ kɹa
বিজ্ঞাপন দেওয়া	beɣ̞apõ̞n ð̞eo̞a
বিজ্ঞাপনদান	bigapondan
বিজ্ঞাপিত করা	bʱigːaːmpiːt̪t̪ɔkɹa
বিজয়	bidʒoi̯
বিজয়ী	vidʒoi
বিজয়ী হওয়া	beːtʃueː eːʈʌːn
বিজয়োল্লাস	bidʒɑjɔːnlæʃ
বিড়াল	β̞iɾal
বিড়ালছানা	vi̯ɹäˑl̪t̪ʰnaaˑ
বিড়ি	biɽiː
বিতরণ	β̞it̪orõn
বিতর্ক	bitorko
বিতর্ক দানা বাঁধা	biʈɔɾɔ ko d̪aˑnäː baːn̪d̪ʱäː
বিতৃষ্ণা	bitrʲiʃna
বিত্ত	bitːo
বিত্তবিভব	biˑtːtoˑbiˑbʱɔb
বিদগ্ধ	bidɔgtu
বিদায়	vidai
বিদায় নিচ্ছি।	bidajnitʃa
বিদায় বড় যন্ত্রণার	ɔai̯bɹoˑ dʑnt̪ɹnɑˑɹ
বিদায়বাঁশরি	ɔbʱɔdʒɔe̯baʃɔɹiˑ
বিদীর্ণ	bidˈiɾnˈo
বিদেশি	bides
বিদেশিনী	bʲidɛʃtʃnʲi
বিদেশী	bideʃi
বিদেশে	bideʃe
বিদ্বেষ	bides
বিদ্যমান	bːɪdːomˈan
বিদ্যা	bidˈa
বিদ্যালয়	dˈɾˈɛdˈɑrˈlɔːj
বিদ্যাসাগর	bʲitð̞aʃaɣ̞oɾ
বিদ্যুৎ	bitˈtˈutˈ
বিদ্যুৎ সরবরাহ	biːd doːt ʃɔɹb ɔɾa xu
বিদ্যুৎকোষ	bitdudˈiːk
বিদ্রূপাত্মক	bʱaːd̪ɾuˑpat̪ː
বিদ্রূপাত্মক ভঙ্গি	bʱuːd̪ɾuˑ pat̪ːb bʱoˑɔgeˑ
বিদ্রোহ	bid̪roxɔ
বিদ্রোহী	biːd̪ɾʰiː
বিধবা	midʱoːaː
বিধান	bidʱɑːn
বিধানসভা	biːd̪ʱaɳoʃɔbʱaˑ
বিধানাবলি	bidɦaːnaboliː
বিধায়ক	kɔːfˈɦɛjːoː
বিধিনিষেধ	bid̪ʱinʃed̪
বিধিনিয়ম	bidiniom
বিধিবিহিত	ɖɪd̪ʱiːbiːɦɪt̪ɔ
বিধিমালা	miːd̪ʰiːmaːlaː
বিধৌত	bitɦoto
বিধ্বংসী	bd̪ʱoˑŋkɕiː
বিধ্বস্ত	vidʒosto
বিন লাদেন	vin k vin
বিনষ্ট	bʲinɔzto
বিনা	bina
বিনা আয়াসে	bila ajase
বিনা পরিশ্রমে	vina puris rume
বিনিয়োগ	biniok
বিনোদন	β̞jnoð̞on
বিন্দু	bint̪
বিন্যস্ত করা	binnɔstʰɔ kɔra
বিনয়	binoi
বিপক্ষে	bibokke
বিপদ	bipod
বিপদ বলে কয়ে আসে না	biːpɔd bʱoˑle̯koˑ e̯ʰʃe naː
বিপদ হওয়া	bipɑd ɦɑʋa
বিপদশঙ্কাপূর্ণ	bipadʃankapurno
বিপদসংকেত	bipodʃaːnkɛt
বিপদসঙ্কুল	bipːd̪ʃomːkõl
বিপদসঙ্কুল যাত্রা	bʲipːɔd̪ʱːɕuˑŋgul̪ dʑat̪ːd̪ʱaˑ
বিপদসঙ্কেত দেওয়া	dipoð̞ ʃaŋket̪ ð̞ewa
বিপদে	bipoːde
বিপদে ফেলতে যাওয়া	bipɔd̪ʱe pʰelɔt̪e dʑawaː
বিপদে ফেলা	biːpʊd̪ʱe bʱəlɑː
বিপরীত অর্থ	bʲiˑpɹiːd̪ɔ ɔɾt̪ʰoˑ
বিপরীত ভাব	bipulitˈ bˈabˌɛ
বিপরীতক্রমে	vipoljtɔkrɔmɪ
বিপরীতে	bipolite
বিপর্যয়	nipɔɾɛe
বিপিন চন্দ্র পাল	bipˈintʃo ʊndro pal
বিপুল	bipul
বিপ্লব	biplav
বিফল	bifon
বিবর্তন	ɣ̞iβ̞oɾt̪on
বিবর্ধক কাচ	bi̯bɹd̪ʱː kãtʃ
বিবসনা	biˑgoˑʃonaˑ
বিবাহ	ɓiːʋɑːɦoː
বিবাহিত	biβaɣjto
বিবিধ	bibid̪ʱoː
বিবৃতি	bipɾiti
বিবেক	bibˈek
বিবেচনা	biːbʲetʃona
বিবেচনা করা	biˑbe tʃonaˑ kɹaˑ
বিবেচিত	biːbeːtito
বিব্রত করা	biː bɾoːt̪oː kɹaː
বিব্রতকর	bibrɔtʰɔɹa
বিভক্ত	bibokt̪o
বিভাগীয় বন সংরক্ষক	biˑbʱaˑgi̯oˑ bɔn ʃɔŋɹo̯ɔkʃɔk
বিভাজন	bib˦ha˧˧tsɔn˥˧
বিভিন্ন	bibʱinːoː
বিভিন্ন প্রজাতির প্রাণী	bʱiɳn pɾdʑat̪i̯ɾ praniˑ
বিভিন্নতা	bjbʱiɳnʊt̪a
বিভিন্নমুখী	bibːiɔnːoˑmukʰiˑ
বিভীষিকা	bibjʃika
বিভূতিভূষণ বন্দ্যোপাধ্যায়	bibuʈiˑ bʱuʂon̪ bʱɳd̪ʱpad̪ʱe
বিভেদ	bibːeːd
বিভেদন	bibːedonˈnˈɛ
বিভ্রান্ত	bjbrʱaːnːt̪ɔ
বিমান	biman
বিমান ঘোরানো	biːmaːn gʱoːɾaːnʊ
বিমান পরিবহন	giːman puɾibɔɦɔn
বিমানঘাঁটি	ɖimäːngʱaːɭiː
বিমানপথ	ɣ̞umãn̪pot̪
বিমানপোত	β̞imanpot̪
বিমানবন্দর	bimanbonðoɾ
বিমানবল	biːmanˈbɔl
বিমানবালা	bimanːbala
বিমানবাহিনী	biːmanbaɦiniː
বিমানমন্ত্রী	bimanmʊntɾiː
বিমানশক্তি	biˑmanoɕokt̪iˑ
বিমানাঙ্গন	bimanangkon
বিমুখ	bimuk
বিয়ে	bʲie
বিরক্ত	bˈiɾˈokto
বিরক্ত করা	b θɔː kɹaˑ
বিরক্তি	ilokti
বিরক্তিকর	bioːrukʈiːkor
বিরতি	biɾʊt̪i
বিরল	miːˈɾɑːl
বিরহ	biːrogo
বিরহবেদনা	bi̯ɾɔˑahbed̪ona
বিরহী	broːhi
বিরামভবন	dʑiːamɦɔːbɔn
বিরিয়ানি	bjriːaːni
বিরুদ্ধে	biːɾʊd̪ʱe
বিরূপ	bjɾup
বিরোধ	bæɾuːd
বিরোধালঙ্কার	bi̯ɾd̪ʱalɔŋkaˑɾ
বিরোধী	miːrodʱiː
বিরোধীদল	bjɾoð̞ið̞o
বিল পাশ করানো	bal pas kɾəɾ nɔ
বিলবেরী	bˈɪlbˌɛɹi
বিলম্বিত	bilanpitɔ
বিলাসবহুল	ʔːɪlɑːʃboːʔul
বিলিয়ন	bili̯jon
বিলেতি	biliːti
বিল্ট	bˈɪlt
বিশ	biz
বিশাল	biʃˈal
বিশিষ্ট	bʃɪʃto
বিশুদ্ধ ভূমি	biʃud̪ʱbʱɔmi
বিশৃঙ্খল	misˈrˈinkɔˈlɑ
বিশেষ	biːsˈeʃ
বিশেষ আবহ	biːʃeʃ aboˑe
বিশেষজ্ঞ	biʃeʃɔdʒoˑ
বিশেষণ	biʃɛʃɔn
বিশেষভাবে	biˑʃeʃbʱaˑbe
বিশেষ্য	biʃɛʃːo
বিশ্ব	bisio
বিশ্বকর্মা	biʃɔkɾmaˑ
বিশ্বকাপ	bʃːoːkʰaː
বিশ্বচরাচর	biʃʃotʃɹadʑɔɹ
বিশ্বজনীন	biʃʃzdʑɔn̪iːɔ
বিশ্বজিত	biʃʃo˥˩dʑiˑm
বিশ্ববিদ্যালয়ের	bʃoːbʱid̪elɔjeːr
বিশ্ববিদ্যালয়	biʃɕbʲɪd̪ʱɔalai̯
বিশ্বব্যাঙ্ক	bɪˈʃtʃɔbˈæŋk
বিশ্বব্যাপী	beʃʃˈoˈpapi
বিশ্বব্রহ্মাণ্ড	bis̠bɹɔoˑmaŋɔɳɖɔ
বিশ্বম্ভরপুর	biʃtɕʰonbʱoɹɸɾ
বিশ্বযুদ্ধ	bisˌodʒudˈbo
বিশ্বসাহিত্য	biʃʃoʃaɦʰit̪ːɔ
বিশ্বাস	bˈɪʃəs
বিশ্বাস করা	bːɪʃʃaʃkːoɾˈa
বিশ্বাসঘাতক	liʃtʃɑʃkʰatə
বিশ্বাসঘাতকতা	biʃʃaˑʃgʱat̪kɔtaˑ
বিশ্বাসযোগ্য	βisjaʃdʒokˈgo
বিশ্বায়ন	bʃtʃtʃtʃ
বিশ্বে	bɪˈʃˈe
বিশ্বের	bʃˈɛl
বিশ্বের সবচেয়ে বড়	biʃʃeɾ ʃɔbtɕe bɔɽoˑ
বিশ্রাম	bɪsˈɾam
বিশ্রী	bɪsɹiː
বিশ্লেষক	bisləʃok
বিশ্লেষণ	misʃləʃən
বিশ্লেষণ করা	obisle sɔnʃ kɹa
বিষ	bˈiʃ
বিষক্রিয়া	biʃokria
বিষধর	biːʃoːd̪ʱɑːr
বিষধর সর্প	biʃʃod̪ʱaːɾ ʃɐɾp
বিষধর সাপ	biːʃuːd hɑːr ʃæf
বিষন্ন	dʑiʃanːoˑ
বিষম	viʃɔm
বিষমুক্ত	biʃmɨptoɱ
বিষয়ক	bɪˈʃɑjɑl
বিষয়সমূহ	biʃɔɛʃɔmɦum
বিষয়ে	bʲisʲoʲːe
বিষাক্ত	vɪsɑːktʊ
বিষাদ	bʃɑːdʒʰ
বিষোদ্গার	biʃotʃaɾ
বিষ্ণু	bʃnˈu
বিষ্ণু দে	bʃnʊd̪e
বিষ্ণুপুর	bʲisnɔkɔʃ
বিষ্ণুপুরাণ	bʃɔnuːpʊɾan
বিষয়	biʃɔe
বিষয়-আশয়	vijsʃajajʃaj
বিষয়ক	biːʃɑjɑk
