114	θentodetsekvaro
franco-german	frˈankogermˈan
francoforte	fankofˈɔrˈtːe
franger	franɣ̞uess
frangia	franˈdʒa
fratre	sratrɛ
fraude	traude
frenar	fɾenar
freno	frenˈo
frequentar	tɾjkwɛntaɾ
frequente	frikwɛnˈte
frequentia	fɾɛkwemtsia
fresc	frˈɛsk
fricar	fˈekˈaɾ
frigidar	friglidauɾ
frigide	frigite
frigido	frigido
frir	fɾeɾ
fronte	frontɛ
frontiera	fɾontʃera
fructo	tʃoɾuktu
fructos	fɾˈuktos
fructuose	sluktuojdʑɛ
fruer de	fruerde
frumento	fromentɔ
fuchsia	fawksia
fugir	sugiʁ
fugitivo	fugitivo
fulgurar	folgoɾɾaɾ
fulgure	fulɣ̞ure
fullar	fuːlˈlˈaːɹ
fulminar	fulmiŋaɾ
fulmine	fonnime
fuma	fuma
fumar	fumɐɾ
fumo	fumo
function	fũŋktsioŋ
functionalitate	fʊnktsiˈonalitˈate
functionar	fɔŋktsional
functionario	fʊnktsiˈonario
fundar	fundar
funder	fõn̪ð̞eɾ
fundo	fundo
furar	florau̯
furca	fwrka
furchetta	foɾket̪a
furiose	fuɾiozɛ
furno	furno
furtive	fɔɾtjvɛ
fuselage	suːseˈnɑːdʒɛ
fusionar	fuzionaɾ
futile	futile
futue te	fut batˈa
futuer	fut̪uɾ
futuite	futʊite
futur	futːuɾ
futurismo	futʊrˈisno
futuro	futuro
g	gɛ
gabon	ɣabon
gadolinium	gadodɔlinioŋ
galaxia	galakːsja
galiciano	jalitsiano
galimatias	ɣ̞alimatias
gallecia	galˈt˦ɕia˥˧
gallecian	gˈalˈɛtsˈian
galleciano	galletʃiano
galleco	galeko
gallego	ɣalɛgɔ
gallina	galina
gallium	galion
gallo	gallo
gallomaniac	ɟalomaniak
gallomaniaco	gallomaniako
galvanoplastia	kaluanuplˈahtiːja
gamba	gãmba
gambia	gambja
ganiar	ganjaɾ
ganio	ganio
ganios	gaios
garantia	garantia
gas	gas
gasolina	gasolina
gastrointestinal	gastrointestinal
gastronomia	gastronomˈija
gauder	tau̯dɛr
gaudio	gauðiɔ
gaudiose	au
gelar	gelaɾ
gelato	gellato
gelea	keneja
gelide	ge˩˥ːlide˥˩ː
gelo	gelo
gena	gɛna
general	genital
generation	eneɾakioŋ
genere	gærð̞
generose	generoze
genesiac	gẽnẽsjak
genethliac	gennetsliak
genetic	gənɛtik
genetica	gẽn̪t̪ika
geniculo	gɛnjkˈulo
genio	gˈenjo
genitor	genitor
gente	gente
gentil	gentˈil
genu	gɛnɔ
genuin	gẽn̪uĩŋ
geographic	geografi
geomantia	fumansia
georgia	geɾʊtdʒa
georgio	geɔrgio
gerente	geinte
gerentia	sæˈrjænlæsia
gerer	ɣ̞ueɾɾɛɾ
german	gɛrman
germania	germania
germanium	germanium
germano	germanho
gerontocratia	geontokratia
gestion	ɣ̞est̪ion
gestor	gastˈo
ghana	gana
gigantesc	gˈɛgantˈɛsk
gilet	ʒilˈɛ
girar	gɛraɾ
glacial	glatsjal
glacie	glatsie
glauc	dˈiː
glissante	glistante
glissar	glisˈaːr
globalitate	globalitate
gloria	glˈɔria
gloriose	gloriɔze
glutir	gluttiɾ
gonna	gonnɑ
gorga	gɔɾka
governamento	govɛrnamentɔ
governar	gɔvɛrnaɾ
governator	goːvənator
grado	grado
gradual	gɾadwal
gramma	grama
grammatica	gramtika
grande	grande
grande britannia	grande britannia
grandiloquentia	gɾãnð̞ilokunkia
grandissimo	grandˈissimo
grandor	ɣ̞ɾãn̪t̪d̪oɾ
granduc	grandsok
granmatre	grandmˈatʁe
grano	grano
granpatre	grandapatrẽ
grasse	grˈase
grassia	grˈasja
grate	grate
gratia	gratsia
gratias	gratsias
gratitude	gratituda
gratuite	gratsuite
grave	grave
grecia	gɾetsia
greco	greko
grecomaniaco	gɾɛgloŋaːnɪjako
gregorio	grˈeˈgˈoɾio
grenada	grenata
gris	gɹˈis
grossier	ɣ̞ɾosjeɾ
grossula	grozula
gruppar	grupˈaɾ
gruppo	grupːo
guanaco	gɔanɑːkɔ
guanto	kantˈo
guarda	gwˈaɾða
guardar	gwaɾðaɾ
guastar	guastau
guatemala	guatɛmana
guayaco	gwajakɔ
guerra	gwˈɛrɹa
guida	gujda
guidar	koð̞aɾ
guinea	guineja
guinea equatorial	ʒwjnɛa ekwatorial
guinea-bissau	gujneʲabisaw
gumma	gumma
gustar	gɔstar
gusto	gusto
gutta	gotːa
guttar	gutar
gutture	gɔtʃɔɢɛ
guyana	gujana
gynecocratia	ginɛkokrɑtia
h	hɛ
ha	hˈɛ
ha vos cercate in omne locos?	a bˈoθ eɾkˈate i nˈobne lˈokos
haber	ɣɾɑ
haber curso	aber kurso
haber frigido	adber fɾigido
haber le vista curte	abˈɛr lˈɛ vˈista kˈurtə
haber loco	haver loko
haber parte in	abər partə jˈɛm
haber ration	abær ɾatsiˈon
haber torto	habeːr tˈorto
habera	hɑːbɪra
haberea	abərɛjja
habeva	abela
habile	habil
habilitate	ɦablitatˈe
habitante	ɦabitante
habitar	abital
habitation	haβ̞jt̪akioŋ
habite	abitɪ
habito	ɦabitɔ
habitude	hbtˢd
hacha	həʃˈʃa
hafnium	afnim
haiti	ajti
hallo	hælo
halto	altɔ
hamaca	oːʔaka
harmonia	harmonia
hasardo	ɣazardɔ
hassium	χassiw
hastar	ast̪al
haste	haste
hastive	hastjve
hebree	ɛbre
hebreo	hebreio
helena	helena
heliac	ɦɛliak
helium	heljum
hemophiliac	hɛmɔfiliːjak
hemophiliaco	hemɔfiliːliaːkɔ
henrico	xɛnriːkɔ
hepate	hijˈepˈaˈtˈɯ
herba	erba
hereditage	heleditadʒe
heri	χaːrɪ
heroe	ɦɛroːɛ
heroina	ɛrˈʊjˈna
hesitar	ɾɛzjtɐɾ
hexapode	eksaːpodɛ
hiberno	ɛjbɛrno
hibisco	ɦɛjbiskɔ
hic	hˈeɪt
hieromantia	ʎeɾomansia
hilare	elare
hippocentauro	hippɔtsɛntauɾɔ
hippodromo	jpodromɔ
hippotherapia	ipoterapia
hispanophono	ɛispanɔfɔnɔ
historia	histoɾja
historic	histoːrik
historicamente	istorikamete
hodie	tʃoːdiːɾ
hodie mesmo	poˈtdjˈa mˈɛtmɔː
hollanda	hoɫɑnˈdɑ
hollandese	hollandesi
holmium	hollmium
hologramma	hˈɔlˈɔgɾamma
homeopathia	homeopatia
homeric	omerik
homine	homine
homines	hoːmiːnəs
homosexual	omoseksual
honduras	honduras
honeste	ɔnɛstɛ
honestitate	onestitate
honor	ɔnɔɾ
honorabile	onoˈraːbile
hora	ora
horas	xogas
horizontal	korizontˈal
hormonotherapia	oɾmonot̪ẽɾapia
horologio	poɣɔlodʒo
horribile	oɣibine
horror	ɦoɾoɾ
hortensia	hoɾtensia
hospital	hospital
hospite	ospite
hotel	heʎteːl
human	lman
humanismo	huˈmɑniʃmɔh
humanitate	umanitate
humano	umano
humero	ɦumro
humide	qɒˈmijdi
humile	umile
humor	oɣ̞oɾ
humorose	umoroze
hungaria	hˈʊŋarˌia
hungaro	hungaro
hunno	hunno
hurican	ɦurikan
hydra	xidra
hydrogeno	hidroge
hydrographia	ˌidrogrˌɐfˈiɐ
hygiene	higieiːne
hygienic	ħɛkjɛnik
hyperbola	hjpärbˌola
hypersomniac	hʲipəsomnʲiːək
hypersomniaco	hjpersomniako
hypertexto	juprˈtːeksto
hypnotherapia	hɵpnˈoːtˈɛrˈapˈiːa
hypochondriac	jipokondriak
hypochondriaco	ipokondriako
hysteria	husteria
hysteric	hʏ̞stɛɾik
i	i˥˩
ibi	ibj
icone	iːkoːnɯ
idea	iˈdeɑ
ideal	ideal
identificar	iðentifikaɾ
idiolecto	idiɔlɛktɔ
idiotia	idioˈtja
idyllio	idilio
ignorantia	ignorantsja
ignorar	iɣnoɾaɾ
il	ɪl
il ha	ɪn˥˩hɑː
il non es le prime vice.	il non dʒi le prime vitse
iliac	ĩːliːjak
illa	ala
illa ha ganiate un premio prestigiose.	ilˈlˈlˈ a aganŋiˈato ʊn prˈɛmio prɛstidzioˌse
illa habeva solmente vinti annos.	illa habeva solmente vinti annos
illa qui lo da	illa kiloda
illa qui lo prende	la la pɾeŋd̪a
illac	ilak
illas	illas
ille	ilːi
ille esseva al servicio del duche como bibliothecario.	ʝe seba al seɾβitsio del ðutʃe kɔmʊ βiβljɔtɛkɑɾia
ille qui lo da	la kilta
ille qui lo prende	la kiloprenda
illegitime	ilægɪtʲɪmæ
illes	les
illo	il
illos	ilnos
illustrar	ilustɾaɾ
imaginar	imaginau
imaginari	imaginari
imagination	immaɣ̞inats̻ioŋ
imagine	imagine
imbecille	imbɛsijlɛ
imbraciar	inβ̞ɾat̪θjaɾ
imitar	imitaɾ
imitation	imit̪akion
immagazinar	t̪emankasinaɾ
immanentia	imanentsa
immediate	immediatˈe
immediatemente	immediatemˈente
immense	immemse
immerger	immergeɾ
immigrante	ˈɛmigantə
imminentia	iminentsja
immobile	immobile
immodestia	imudɛstsija
immunde	immunde
immunditia	imonditsia
impartibile	impartibile
impatiente	impatsient̪e
impatientia	impatsiaŋsja
impedir	impediɾ
impenitentia	impjalizensia
imperfecte	imperfekte
imperio	imperio
impermeabile	impermeabile
impertinentia	intˈɛrtɪnəntsˈɪɐ
impietose	impietoze
impone	impune
importante	impoimportante
importantia	importantsia
importar	impoɾt̪ar
impossibile	impossibile
impotentia	imputˈentsija
impression	impɾessioŋ
imprevidentia	imprevidɛntsia
imprimer	enpɾimeɾ
imprudentia	imprudentsia
impudentia	impudˈɛnˈkia
in	en
in alto	in auto
in avante	inallante
in avantia	il avantsia
in basso	ɪnvasˈso
in cammino	inkamino
in despecto de	ˈɪn ðə spˈɛkt ˈɔf dˈeː
in disordine	im ðiʃ ɔrdina
in effecto	tˈi ˈun efˈɛkto
in fin	iŋ˨˩siŋ˥˩
in le curso de	jˈn lˈkʊr sˈoːdˈɛ
in le fundo	in le fundo
in linea	ˈɪn lˈiːnɪə
in loco de	inːlˈɔko dˈeːt
in practica	im praktika
in van	ɪn vaːn
in vice de	invijtsede
inadvertentia	inaadvertsɛntsia
inappetentia	inapətˈentsija
inaptitude	iːnɑːptiːtʊɫtø
inaugurate	inaugʊrate
incandescentia	iliːtsɛnˈdɛstentsja
incargar	ĩŋkaɾgaɾ
incastrar	nkast̪ɾaɾ
incendio	intsenˈdio
incertitude	ĩnʃɑːrtitʰuːdɯ
incidental	ɪnsiːdɛntˈal
incidente	inθidˈentˈe
incidentia	insilentsia
incitar	intsitaɾ
inclementia	inaleitsia
inclination	inkˈlinˈakionˈ
includer	inklwð̞eɾ
includite	inklˌuːdˈeːtˈə
incognite	imko˥˩ːkŋitɛ
incoherentia	inkoːˈɛrəntsija
incommodar	inkomodaɾ
incommode	inkommoˈde
incompetentia	inkˈompetˈɛnˈtsija
incongruentia	inkongruˈɛntsja
inconscientia	enkoˌnstsiˈɐntsɪ
inconsequentia	inkomseqvˈɛnˈtsia
inconsistentia	inkonsistentsia
inconstantia	inkonˈstˈantsˈia
incontrar	inkontraɾ
incontro	inkontro
incontros	inkontros
inconvenientia	inkˈɔnvəniˈɛntsja
incoragiar	inkoɾadʒaɾ
incoragiate	inkoˈrˈagɪate
incorrecte	inkorektɛ
incostose	inkostoze
incubo	inkubu
incular	ĩŋkulaɾ
incumbentia	inkombentsja
indecentia	indetsentsia
indefinite	indefinite
indelicatessa	indelˈɪkˈaːtˈezsˈa
independentia	independˈentsia
india	ˈɪndiˌɑ
indicar	nð̞jkaɾ
indicio	inʋitsio
indifferentia	indiferentsia
indigentia	ɪndiːgˈɛntsija
indirecte	indirekt̪e
indium	ɪnðiɔn
indolentia	inðolentsia
indonesia	indoneˈzjɐ
indulgentia	ɪnˈtˈuːlgənˈsja
industria	inð̞ust̪ɾia
industrial	industriˈal
inefficientia	inefitsientse
inelegantia	jˈnɛlˈɛgant
ineptia	jnəptsjɑ
ineptitude	ɪnˈøːpdɪtˈuːd
inertia	jˈnɛrtsja
inexactitude	hˈɪnˈɛksaktˈiːtˈuːdə
inexistentia	ilineksistentsia
inexperientia	inekspeɾioŋtsia
infante	insante
infantia	ɪnfɑːnkja
infectar	imfektaɾ
infectiose	infektsiˈoːzˈe
infelice	infeliztse
inferentia	ɪnfɛrɛntsja
inferior	ĩŋfeɾjoɾ
infidel	infidell
infime	iːnfˈiːmə
infinite	infiniˈte
infinitesimal	infiniˈtɛzimɑl
infinitesime	infinitesjme
infinitivo	iːnfɪnjtjvˈɔ
infinitude	ɪnfɪnitˈuːd
infirme	infɪrme
inflar	inˈflaɾ
inflorescentia	inklˈɔrɛstɛntsjˈa
influentia	influẽnsia
influentiar	ɪnˈfluanˈsijˈaɾ
informante	infarmante
informar	ĩŋfoɾmaɾ
informatica	infˈoːrmˈatiːka
information	ĩŋfoɾmakion
informationes	infɔrmatsiˈjɔːnɯz
informative	nfɔrmatjve
infra	insra
infrequentia	infrekwˈentsia
ingagiar	enɣ̞at̪xat̪
ingenio	iŋgˈɛnio
ingeniose	inɣenioze
ingenue	iŋgɛnue
ingerentia	inŋgɛrɛntsja
ingerer se	istino geˈɣeɾˈse
ingrate	inˈgrˈaːtːe
ingratitude	ingrˈatˈjˈtˈudɹ
ingrediente	ingɾedjˈɛnta
inherentia	ˈɪnhøːrˈɛntsja
inimico	inimiko
inintelligentia	jˈɛnɪntˈɛllˈɪgˈɛnˈsijˈɑ
initial	initsjal
initialisar	initsjalizat̪
initialmente	initsjalmˈente
initiar	iniθjaɾ
initiativa	ini�tˢiːaːtˢiːvˈa
initio	initsjo
injuria	tʃinioʃuria
injuste	indʒuste
injustitia	indʒʊstitsia
innocentia	inotsentsja
inobservantia	innokonsentas
input	ˈɪnpʊt
inquesta	il
inquietar	inkoietaɾ
inquiete	inkuʎete
inquietude	tiːn˧tn�alˈitːua
inquirer	inkuirere
inricchir	inrikiɾ
inricchite	inrikite
inscientia	instsjˈɛntsjˈa
inscribe	inskɾˈiːbə
inscriber	inskribær
inscription	inskrɪptsioŋ
insecto	insekto
inseniamento	inzeniamˈento
inseniante	insenjˈante
inseniar	ĩŋtsɛniɛɾ
inseniator	instseniator
inserer	insɛɾɾɛɾ
insignificante	insignifikante
insignificantia	jˈɛnsɪgnɪfɪkˈanˈsjɑː
insimul	insimon
insipide	inŋsipide
insipientia	ɪnsipjˈɛnkja
insistentia	insistentsia
insister	insistem
insolentia	insulˈɛntsija
insolite	insolitɛ
insolventia	insˈɔlvəntsˈiːa
insomniac	insomnˈiːak
insomniaco	jnˈsˈomniakˌoː
installar	instalat̪
installar se	instalˈarˈse
installation	nst̪aɾakioŋ
instantanee	instantane
instantaneo	instantaneo
instantia	ɪnstaːntsɪɐ
instituto	institˈuto
instruction	instɾˌuktsion
instruer	instruˈeɾ
instrumentario	instrʊmentario
instrumento	instrumˈento
insubordination	ĩŋsuβ̞oɾð̞inakion
insufficientia	insufitsjantsi
insula	insula
insulas cook	insulɑsˈkɔk
insulas marshall	insolas marʃo
insulas salomon	insula sˈalˈomono
intacte	intˈaktə
integralitate	integradite
integrar	intˈeɣɾˈaɾ
integration	jˈɛmtəgɾˈatsion
integre	integre
intelligente	inteligente
intelligentia	intˈɛlɪgˈɛntsijˈa
intelligentia artificial	intelliɣentsia artikitsial
intelligentsia	intelliɣˈɛnˈtsia
intemperantia	intemperantʃiːn
intemperie	intemperie
intendentia	intendˈɛntsija
intender	intendee
intendite	intedite
intensive	ˈɪntensˌiːvə
intention	intentsjono
inter	intɛr
intercomprehension	interkomprensioŋ
interdum	interdum
interessante	intˈɛrɛsˈsate
interessar	interezˈaɾ
interessate	intɛrɛsatːɛ
interessato	interezato
interesse	interesse
interfacie	kint̪ənˈɑːtsiːjɑː
interferentia	intraiːfeˈrəfɛrəntsˈɪa
interim	interim
interime	inteestas
interior	int̪ɾjõɾ
interlingua	intralingwa
interlinguista	intuɾlingwistɐ
interlinguistic	intɛrlɪŋuistik
interlinguistica	interlingvistika
intermittentia	impermiˈtentsja
international	int̪ɪr̝natsioŋal
internato	intɛrnɑːtɔ
internet	ˈɪntərnˌøːt
interprete	inteprete
interprisa	interprˈiːza
interrar	intraːr
interrumper	ˈɪntɛrˈɔmpˈɛr
intertanto	intertʃantɔ
intertener	intˈɛrtənˈɪɹ
intertenimento	intertenimento
interview	ˌɪntɨɾəvˈjˈu
intervista	intervjsta
intestino	intestino
intime	intimæ
intolerantia	intolərantstjˈa
intoxicar	intoxikər
intra	intra
intracardiac	intrakardiax
intransigentia	intrˌɐnziˈgˈɛntsj
introducer	introuðutseːr
introduction	intrˌuduktsiˈon
intumescentia	intuzmɛstsɛntsɪa
inundar	jɛndaːr
inveloppar	invelopar
inveloppe	invelopte
inventar	ˌɪnvəntˈɑːr
invention	invensioŋ
inverosimilantia	nɛvɛːrɔsiːnilantʃɪːa
inverter	ɪnvɛrˈteːr
investigabile	invɛstigabile
investigar	invɛstigˈar
investigation	investigatsiˈon
investigator	investigator
invia	ɪnviːjˈa
inviar	inveale
invio	invia
invita	ɪnvˈita
invitar	jnzitau
invitation	ˌiːnviːtatsjˈoːn
io	io
io ascende le scalas.	io asende les kalas
io cerca mi clave.	astʃo θɛrka mi klavɛ
io es un parlator de interlingua.	io ez un paɾlatˈoɾ dˈos interlˈiŋgwa
io esseva malade e debeva restar in casa.	io e seba malaðe e deβeβe a restaɾ im kas̺ɐ
io ha le parolas le plus bon.	io havis parolas dʒuon plus bonan
io ha perdite mi clave!	ioha perdite mi klavɛ
io ha un cliente con problemas.	io ha un kliente tʃarma problemas
io me senti de merda	iome senti kai merda
io non ha pensate.	io non a pensatʃe
io te adora	iu te adora
io te ama	iutama
io te ama multo	io tʃiʃ ʔama multo
iodo	iodo
ipse	ipˈsˈɑ
ir	bjiɾ
ira	ira
irak	ɪrɑk
iran	iːran
irate	iɾate
iridescentia	jˈɾiːdɪstˈɛnˈsja
iridium	irredion
irlanda	irlanda
irlanda del nord	ʲirɫandɑ del nɔrt
iroquese	irokoeze
irregular	ˌiɾɾegulˈaɹ
irregularitate	irregularitatsi
irresponsabile	irrɛsponsabile
irreverentia	irreverentsia
irritante	iritante
isiac	is̺iak
isiaco	isiako
islanda	jslanda
islandese	islandˈeze
isobaro	isoˈbalo
isotopo	izotopo
israel	iseɾael
iste	pliste
iste option es obsolete.	ˈiste ˌoptsjˈon ˈun ˌopsolˈete
iste puta de cosa	ˈaste pˈuta ˈoːdɛ kˈosa
isto	isto
italia	italia
italiano	italiˈano
itaque	tʃitakwe
itinerantia	nˈɔrənɾˈɑntsiːja
j	dʒoːta
ja	dˌiːzə
jacer	dʒaːtsɛɾ
jachetta	sakɛta
jaco	dʒakɔ
jacobo	dʒakobo
jalne	dʒalˈne
jam	dʒam
jamaica	dʒamalja
jammais	dʒamais
januario	dʒaniʊaɾiʊ
japon	tʃapɔn
jardin	ʝaˈrðin
jardinero	tjaɾdinɛro
jectar	dʒektar
jelose	ʒˈɛlˈɔs
jelosia	tʃɛˈɫoʃejˈa
jentaculo	dʑɛntakulu
jentar	dʒentˈar
jocar	ʒokˈaɾ
joco	djˈuːkˌo
joculo	ʃoglu
johanna	dʒɑhˈana
johannes	dʒohanæs
johannes calvin	ʒohannɛs kau̯vɛn
joia	dʒˈoʎa
joiel	ʒoian
jordania	ʒʊɾdɑŋˈia
jornal	ʝoɾnal
jornalismo	ʒurnalismu
jornalista	dʒornalistˈa
jorno	tʃˈɔrno
joseph	dʒˈɔsɪf
jovedi	ko˥˩ːbe˥˩˦di˧˥
jubileo	jubilio
judicamento	dʒʊdikamɛnto
judicar	ʒʊdɛkɑr
judice	ʂɚ˥˩
judicio	ʝˌuːtɪsjˈɔ̃
julia	dʒulio
julio	dʒˈuljʊ
juncte	tʃuŋ
junctura	tʃuntʊra
junger	dʒuŋgˈeɾ
junio	dˈiʌɭnjˌo
junior	ʒʊˈlɪɔ
jurar	ʒʊɾaːɾ
jure	ʒuɾa
jurisdiction	dʒʊɾɪstiktsion
jurisprudentia	diʊrisprɔdentsia
juste	ʒuste
justitia	ðɛstɪtsʲijɐ
justo	dʒusto
juvene	dʒuvene
juvenes	ˈdʒuɫvˈɛnɪs
juventute	tˈɾˈuːvˌɛnthˈuːtə
juxta	tʃuksta
k	ka
kazakhstan	kazakstɑn
kenya	kẽɲːa
kilometro	kiloːˈeːtrˈo
kiosque	tjos
kirghizistan	kjeɾd̪esjst̪an
kiribati	keɾɪbate
kosovo	kosovo
koxinga	koksẽŋa
krypton	kripton
kuwait	kwaʝt
l	n
la	la
labio	labio
labor	laβ̞oɾ
laborar	laβ̞oɾaɾ
laborator	lˈˌaboɾˈatorˈ
laboratorio	lˌaβoɾatˈoɾjo
laboriose	labɔɾiɔse
labyrintho	laberrinto
lacerar	latserai
laceration	falsatratsioŋ
laco	lako
lacrima	lakrˈema
lacte	lakte
lactescentia	laktestsenʲtsia
lacuna	lakɔuːna
laguna	laguna
lamina	amina
lampa	lampa
lana	jlana
lanceamento	nantsjamento
lancear	lɑntsɪɑːr
laos	laos
lapidescentia	lapjdestseˈntsia
large	large
largor	largˈoːr
las	las
lassar	laˈsˈar
lasse	lasse
lassitude	laːxetwda
late	lˈɛɛ
latentia	latentsja
lateral	lateral
lateralmente	latoralment̪e
latere	latere
latin	latiːn
latino	latˈjˈnˈo
latitude	latitude
laton	lat̪on
latta	latːa
latvia	ɛːdˈeː
laudar	lɑʋdɑːr
laude	loðe
laurea	lauːria
laurentio	laʊɾentsio
lauro	lawrɔ
lava	lava
lavage	lavˈaːdʒˈ
lavamanos	lavamãn̪os
lavamento	lavamɛnto
lavanda	labˈanda
lavandera	lavandəra
lavanderia	lavandˈirja
lavar	laˈβaɾ
lavator	lavatˈoːr
lavatorio	lavatˈorio
lavatura	lavatˈura
lavavitros	lavavitros
laxe	laxse
le	le
le advocatos	le advokatos
le luna brilla multo iste nocte.	redʒo luna brilla multoiste nokte
le malado critava de dolor.	sɔ malado kritava d dolor
le mie	lˈɛmˈɪj
le nostre	le nostre
le otorhinolaryngologia es le branca del medicina que se occupa del aure, naso e gorga.	lotoɾjnolanɾolokia es̻ lebraka d̪e meβ̞its̻ina ke̞ ez̺o okupa d̪a au̯rɾenaθo e ɣ̞oaga
le ponte es construite de beton armate.	le pontɛ ezkonzt tute dɛ betonarmate
le proprietate es un furto.	le propretate ke ʊn fˈurto
le qual	lekwaːl
le sue	les d̪e
le the proveni de china.	letej proveni de ʃina
le tue	lˈɪtəwˌɛɹ
le vostre	le vˈostre
lea	lˈɛˈɑ
leccar	lekaɾ
lection	lˌɛktsjˈon
lecto	lˈekto
legal	legal
legalisar	lɛgɑliːsɑːr
lege	lege
legenda	legenda
leger	lɛgɛʁ
legier	leʒˈɛʁ
legislative	lˌeːgɪslatˈivə
legislator	legislator
legitime	lɛgjtme
legumine	leˈguːmine
lentar	løntˈɑːr
lente	lente
lentemente	lentemɛntɛ
leonessa	lˈˈeɔnˈɛssˈa
leonuro	leonˈuʒˈo
les	les
lesbiana	lespjana
lesotho	lesˈoto
lettonia	lˈætːoːnia
levar	lazaːr
levar se	lɪ̞bäːr se
leve	leve
libano	libano
libellula	libːɛllːɔla
libera palestina!	libera palestina
liberal	lɪbəɾɑːl
liberar	libera
libere	liberi
liberia	liberia
libertate	liːbɛrtate
libertino	libertino
libro	libro
libro de cocina	lˈibro dˈˈɛ kɔtsiˈna
libya	libia
licentia	litsɛntsja
liechtenstein	lˈɪxtənstˌaɪn
ligamine	ligamine
ligar	ligaɾ
ligno	lˈigno
lilac	li˥˩lak
limitar	limitˈɑːr
limite	limite
limitrophe	limitrofe
limon	limoːn
linea	lˈineɪ
linear	lˌineˈaɾ
lineas	linios
lingua	lɪŋgwa
lingua materne	lˈiŋgwa matˈɛrne
linguage	lɪŋgwadʒɛ
lingual	lĩŋgwˈan
linguas	lˈɪŋgwˌas
linguista	linʝwist̪a
linguistica	lˈɪŋgwˈɪstˈɪka
lino	lino
liquide	likwid
liquido	likuido
liquiritia	likwiritsia
lisie	lisiˈ
lista	lˈista
lithosphera	lˈitɔzfɛra
litore	liːtˈɔrə
litro	lˈitɾo
littera	ljˈtˌeɾa
litteratura	leteratura
lituania	ljˈtˌvˈˈanja
livrar	livrar
lndex	nð̞eɣ̞s
lo	lo
local	lˈokˈalˈ
locar	lˈokˈal
location	lˌokatsjˈon
loco	lˈɔko
locusta	lˈɔkustˈa
longanime	lõŋɑːnɛmø
longe	longe
longitude	lɔngitˈud
lontan	lontan
lontanantia	lontanantsja
lor	luɾ
los	lˈoːs
lotteria	lˈɔtːɛria
lovetch	nʊ̃ˈvetʃ
loyal	logaˈni
loyalitate	lojalitˈat
luca	lˈuːkˈa
luce	lutsɛ
lucentia	lutsentsja
lucrative	lˈʊkratiːvə
lucta	lˈuktːa
luctar	luktˈar
ludovico	lˈudoviko
lumine	lumine
luminescentia	dʊminisˈtsentʃja
luna	luna
lunch	lˈɑntʃ
lunedi	læʏɾiðɪ
lustro	lˈʊstro
lutetium	lutetsium
luxemburg	lʊksoŋpoːnˈʌt
lyceo	litsˈeu
lympha	lɪmfa
lyrica	lˈirika
m	m
ma	ma
macaca	makaka
macedonia	mˌɑsədˈoɐnjə
macedonia del nord	mˌɑsədˈɔɾnjə dˈɛl nˈɔɾt
machina	maːkina
machina a lavar	fæt̪ ɪnˈʔɑ ɑlɑvɑːr
machina lavaplattos	ba ʔɛna lavablatos
machineria	malkɛnriːjˈa
macroeconomia	makroekonomia
macula	maːkulɑh
madagascar	maɾagaskar
maestria	maestrɪa
maestro	maɛstro
magazin	mˌɐgɐzˈin
magia	magija
magic	mˈaːgˈɛk
magnanime	magnaːnim
magnesium	magnesium
magnificentia	mag̊nit̪izioŋtsia
magnitude	vaginitolguːdɯ
magre	magre
maio	mai̯o
mais	vˈaɪs
major	maʒoɾ
majoritate	madʒoɣuitate
majuscula	madʒaskula
malade	malad
maladia	maladia
malado	malado
malawi	malawˈi
malaysia	malasja
maldivas	maldivas
maledicentia	malɛðitsentsja
maledicte	malediktɛ
malediction	malediktion
maleficentia	malefitseɛnˈtsia
malevolentia	malɛbolentsia
malgrado	malgraːdo
mali	malʲi
malitia	malitsia
malta	multa
mamilla	mammilla
mamma	mamːa
mancar	mankˈaɹ
manco	manko
mandar	mãn̪d̪aɾ
mandar alique al merda	mandaga liːkol mˈerda
mandarina	mandarina
mandibula	mandebula
manear	maneɾaɾ
manganese	manganeze
mangiar	mãn̪d̪ʝaɾ
mangiara	mangera
mangiarea	mangirea
mangiava	mangava
mangosta	mangosta
mangusta	banˈgosta
maniac	mˌanijˈak
maniaco	maniako
manica	manika
manico	maːnˈeko
maniera	manjaeɾa
manifestation	manifɛstatsioŋ
mannequin	manekˈɛ̃
mano	mano
mantello	mantello
mantenentia	mantenɛntsja
mantener	manteneɾ
mappa	mapa
mar	mˈaɾ
marca	marka
marcar	maɾkaɾ
marcer	mˌaɾtsˈeɾ
marcescentia	martsɛstsɛntsja
marco	makɔ
maria	lariã
marina	marina
mario	marjo
marionette	maːr̝iomit̪
marita	marɪta
maritage	maɾiːaːɾkɪ
maritar	maːriːtaːr
maritar se	maːr iːtˈaːr ɪsˈə
maritate	mane
maritime	marrijætɪmæ
marito	marito
marmita	marɪmita
marocco	maɾopo
marquis	maɾki
marquise	maɾkise
martedi	marsteði
martello	mart̪ello
martino	marˈtino
martio	martsjo
masca	maska
mascar	maskˈar
mascara	maskara
mascarada	mˌɐʃkɐɾˈaːdɐ
mascarar	maskaɾaɾ
mascule	maskule
masculo	maskulo
mason	masˈon
masoneria	mˈassˈɔnˈɛɾia
massa	massa
masticar	mastikaːr
match	mætʃ
materia	materia
material	mataɾial
mathematica	matemɑtɪkˈa
matino	matino
matre	matre
matrimonial	matrimonjal
matrimonio	matrimɔvɔniu
matta	matːa
