''	tfoɲuzam
kroaci	kruatsʲiv
kruaj	kruai
kruhem	kruːhˈæm
kruja	klˈuːja
krujë	ruj
kruma	klˈuːma
kryej	kreʁj
kryesisht	kɾˈeˈsist
kryesore	kˈlˈiːtsˈɔrðə
kryeziu	kɹˈɛzdiˈaɪ
kryq	kɾˈuʃ
kryqëzoj	kɾiːtʃzɑjn
ksamil	saˈmil
kthe	sˈɛːr
kthehem	fähˈəm
ktheheni	fʲɛʲːe
kthej	sˈeɪ
kthen	fˈɛn
ktheni	kfeːn˩˩ːiː
kthesh	kvɛʃ
kthim	fˈim
ku	kˈu
ku është banjoja ?	ˈʌsbˈaɲˈoja
kuajt	kuaʝt
kualifikohem	kwˈalɪfɪkˈɔɾˈɛm
kuarc	kwaɾts
kufi	kufi
kufizohem	afizpetʃ
kufizoj	kufizɔj
kujdesem	kuidɛsɛm
kujdesemi	kuidesehavis
kujdesesh	kuidɛsɨʃ
kujdesshëm	kuidɛzʃɛn
kujtdo	kujtda
kujtim	kuitim
kujtoj	kustˈɔj
kukes	kukɔs
kukudhi	kukuːzi
kukull	kukˈu
kukuthi	kukul
kukës	kukus
kukësi	kuksi
kulaç	kˈulˈatʃ
kulla	kˈuɫa
kulloj	kɵɫɑj
kullotë	ulˈɑːt
kultivoj	kult̪jboːj
kultura	kultura
kumbull	komboi
kundërshtar	kwŋduɾəstˈaɹ
kundërshtoj	kundʊrˈsˈtɔɪ
kupa me kapak. kupa pa kapak.	kupamek aːpak kupa pa kaːpak
kuptoj	kʊptˈoj
kuptuat	kuptuat
kuq e zi	kɒːkʃæˈziː
kuqe	kutʃe
kur nxënësit ja kalojnë mesuesit!	kʏnzɔn sɛ tʲakalu en ntso tʃe
kur s’të kërkon njeri për plak, mos dil .	kuː zˈtˈoːkəɾkˈɔn jɛriːpəɾ plaːk mˈozdɪl
kurdis	kuɾtˈiθ
kurdistani	kʊrdiztani
kurrgjë të re nën diell.	kˈuɾ dʒˈatʃ ɔɾɛnɔŋd dɪ ɛl
kurrë	kɔɾ
kurse	kursa
kursej	kursˈeɪ
kurth	kˈuɾs
kurtës	kurtuz
kush	kˈuʃ
kush do të bëhet milioner?	ɟuzdɑtɑbɫɑt miʝønær
kush nxiton shumë, bie me hundë.	kuʃən tsiː tˈɑːn ʃˌoːn bˈiːɾ mˈɛɾ hˈuːnt
kushtoj	kuʃtoj
kushton	uʃtɔn
kushëri	kuʃɨlɨ
kusur	kɔzˈor
kuti	koti
kutia	kutia
kutinë	kutin
kuvendi	kuvendi
kuzhina	kuʒina
kuçedër	kutʃaðo
kuçova	kutʃɔva
kuçovë	kutʂɔv
ky	kˈy
kyç	kʏtʃ
këlcyra	kultuːra
këmba	kama
këmbej	kænˈbeː
këmbë	kɐ̃mb
këmisha	kɔmisˈa
këmishat	kɔmiːˈiːʃat
kënaq	knatʃ
kënaqur	kɔˈnɑːnʃoɹˈ
kënaqësi që u takuam	kɛ natsʲitʃɛʋ takuan
kënd	kand
këndoj	kandˈaj
këndshëm	kantʂan
këngë	koŋgo
këpucë	kaputs
këpucët	kɔpuutsɛt
këpucëve	kɔputsɛvˈɛɹ
këput	kaput
kërce	kəɾtsən
kërcej	kəɹtˈze
kërcenoj	kʼʔnʔoi
kërcim	pɛrsim
kërkim	køkijɯm
kërkoj	kɔɾkɔj
kërkoja	kˈɵrkoːˈyːˈɑ
kërkon	kˈɔːkˈɔːn
kërkonte	kˈɾɛkˈante
kërkosh	kɛrkɔʃ
kërmilli	kɛrmɪli
kërraba	krˈaba
kërthizë	kalˈfˈize
këshillohem	təʃiːlɔgɪm
këshilloj	kaʃɨɫoi̯
kështjella	kɐʃtiːjˈɐla
kështjellë	kaʃtjel
kështu	katɨ
këta	kɤta
këto	tɔtɔ
këtu	katu
këtë	kata
laert	dˈaɪət
lagem	lˈɑgɛm
lahaj	laɦla
lahem	laːhˈem
laj	laj
lajmëroj	lajmɔroge
lajpcig	lajptsig
lajthi	lajfˈi
lajtmotiv	lajtmˈotiv
lakra	glˈakɾa
lakrame	lakɾamˈen
lakror	lakɾˈˈoːr
lakuriq	lakoɾiʃ
lakër	lˈakɚ
lamtumirë	nˈɑmmˈaɪfˈaʃ
laps	laps
lapsat	lapsat
lapsi	laˈpsi
laraskë	laɾask
larg	lˈaːɹk
largohem	laːɾˈgohˈɛm
largohen	laːrgoːən
largoheni	lˈˈarˈjˈɑːghˈɛnni
largoj	laɾˈgoˈj
largoje	laɾgˈoːjə
largua	largua
lartë	lˈɑːɾt
lartësoj	lˈɛkttˈɪsɔj
lasgush	lazgˈuʃ
laura krliu	lawra klio
laura nezha	lawɾa nesa
lavanderi	labandori
lavdi	labti
lavdëroj	lavdɔroj
lazarat	lazaɾat
laç	latʃ
laçi	notʃe
leart paqarada	lˈˈaˈrt batʃˈaːɾˈaːdˈa
ledhatoj	klædatˈɔi
ledia nure	ledjˈa nˈuːre
ledian memushaj	lˈˈdˈian nˈə muːʃˈaː
ledian papagjoni	le dian papadʒoni
ledina rabdishta	lɛdina rab diʃta
ledio topalli	ledio topali
ledjon bitri	ledjon bjˈtri
legjislative	lidʒislative
leh	lˈɛ
lehte	lˈɛxtə
lehtë	lˈɛrtə
lehtësoj	lˈɪfttˈɪsˈɑːrjˈʉ
leida	lɛjda
leje	lɛjɛ
lejen	lˈeːjən
lejlek	læjlæk
lejohet	lˈeːrjˈɑːghˈət
lejoj	leːˈɔː
lejon	leˌɪoˌn
lejuar	lˈeɪjˈuˈɑɹ
lek	lˈɛk
leksikografia	ləɣsikˈoːgˈrˈafˈiːɐ
leng portokalli	læŋk pˈortokˈalˈi
lenjani	leɲˈani
leonardo	leʊnardɔ
lepuri	lɛpʊɾiː
leskoviku	leskoʋijiku
letra	lˈetra
letrat	lətɾat
letër	leːt̪aɾ
leverdis	lebɛɾtjs
lexoj	lʲetstsoj
lezetshme	lɛzɛtʃme
lezetshëm	les-ɛt̪ʃaʁ
lezha	lˈeʒa
lezhë	lˈaɪtz
libra	libra
librari	libɾaɾi
librat	lˈibrat
librazhd	libɾazd
librazhdi	ibɾaʒdɨ
libri	libːli
libër	lˈiːbɚ
lidh	lˈɛv
lidhja	lˈiðiːa
lidhjen	lˈiðɪən
ligji	liːdʒi
ligjin	li˥˩dʒin˨˩
ligjit	lˈidʒɪt
lija	lia
likenet	likˈɛnɛt
limon	limˈon
lind	lˈɪnd
linda	lˈɪnda
lindita	lˈɪnditˈa
lindje	lindɛ
lindjes	linˈðˈies
lipjan	lˈipːˈian
liqen	litʃɛm
liqeni	litʃenˈiː
liqeni i ohërit	iːʒne̞iː ɑhɾd
liqeni i prespës	liːgˈeni prˈɛspəs
liqeni i shkodrës	li˥˩ːtʃjɛni˥˩ː ɪʃ kɔdɾɛs
liqeni i tiranës	li tʃene internas
lirak bejko	lirak beko
liri	liɽiː
lirinë	ljɔɾiːn
lirohem	ljɾɑhem
liroj	lˈiɹˌoɪ
liruar	ljuɫˈaɪ
lirë	lˈiɹd
lis	lˈis
lisa	lisa
lisi	lisi
listë	list
listën	lˈistən
livadh	livaz
liza	lizˈa
llak	lak
llambë	lamp
llampa	laɾba
llazar	tɑzɑrd
lleshi	ɫˈʃˈi
llogari	logaɾi
llogarit	loːgəɾit
lloj brejtësi	lɔj brɛjtsi
lloji	flɔɪ
llomotis	lamˈˈtiˈkˈs
lodh	lˈɔv
logjika	lodʒika
loja	loja
loje	lɔjɛ
lojtar	lojtaɾ
lojë	lˈɔj
lokal	lˈokˈal
londër	lˈɔndoɾ
lopë	lop
loredana gjeçi	loɾɛ danˈa dʒetʃi
lorena	loɾena
lorenc kaja	flˈoːrənts kaɪˈa
loret sadiku	lretː sˈˈadiko
lorik cana	lorik sɑnɑ
loro boriçi	loro oritʃɪ
lot	lˈɔt
lotoj	latˈoj
loz	lɔz
luaj	lua̞j
luajnë	lˈoːaɪn
luan	hloan
lufta	lufta
lufte	luftɛ
luftoj	duftɔj
luftojm	luftojm
lufton	luftˈɑn
luftosh	lufttɔʃ
luftë	lˈʊft
luftën	luːftən
luftëtar	lˈufttˈeːtaːr
luftëtari	luftotaːri
luga	luga
lugat	lˈʝˈʊgatˈ
lugë	lˈuːg
luiza gega	lʊizɐ geˈga
lule	lˈuja
luledielli	luɫediablo
lulelakër	lulɛlɑkɛr
luleshtrydhe	luleʃtriðe
luleshtrydhet	lulɛʃtɾɵðæt
luleshtrylle	luɫɛʃtʊrʲɪʊ̞dɑ
lulja	lulia
luljeta	lulɪətˈɑ
luljeta bitri	lulʲeta bʲitrɨ
lulzim zeqja	lulzim zˈɛʃa
lulëzoj	lulzɔj
lum zhaveli	lum ʒa be
lumi	lˈumˈi
lumi i tiranës	lumiti ranas
lumit	lumˈit
lumtur	lˈumtˈuːr
lumturi	lunturi
lundroj	lˈˈunˈdˈrˈɔj
lushnja	lutɲa
lushnjë	ɭˈuʃnʌ
lustroj	lʊztroj
lut	lˈɔt
lutemi	luːtɛmiː
lyej	lʏɛj
lyhem	lˈyːhˈæm
lë	la
lëkund	lakun
lëkurë	ləkˈuʁ
lëkurën	lkuːɾan
lëmë rehat!	lˈamɾə hˈat
lëpij	lɔpiː
lëpushë	lə-pˈuʃ
lëreni	lˈœrəni
lëroj	lˈˈɔj
lëshoj	lˈɛʃɔj
lëshoni	klʲutʂo˥˩ːm
lëshuar	ləʃuaʁ
lëviz	lovis
lëvizin	lovizjɛn
lëvizur	ləvˈizuɹ
m'rrxon	brð̞son
mace	matsɛ
macë	mˈɑːts
madhi	malvi
madhëria	mˌɑːvriːˈjˈɑ
madhështore	malˈlˈɛsdorˌlˈe
magazinoj	makasinoi
magji	maidʒi
magjike	magika
magjistar	mˌɐdʒistˈaɹ
magjistare	magistara
magma	magma
magnet	magnˈɛt
mahir	məhiːɹ
mahnit	maːhlit
mahnitëse	maɦnitsɛ
maholli	maːˈhoːlɪ
maj	naj
majdanoz	majdanos
majlinda	majlindɐ
majmun	majmum
major	maʝoɾ
majtas	nˈəˈɪtˈas
majë	maj
makarona	makaɾona
makinat	mˈakˈinˈat
makine	makine
makinë	makˈin
makinë llogaritëse	maːkiːn lə gəaːriːts e
mal	mal
malesise	malsis
mali	malj
mali i dajtit	mˈɑli dˈaɪd ˈɪt
mali i jezercës	maliezeertsas
mali i korabit	malˈikɔ rˈabid
mali i nëmëçkës	maːliːno mɛːtʃkas
mali i shpiragut	maːli ʃpiːraːgoːd
mali i tomorrit	malˈiː toˈmˈorˈid
maliqi	malitʃe
malli	malˈɛ
mallkimi	malkime
mallëngjehem	maːɔndʒɛn
mallëngjej	maːlndʒː
mam	mam
mamasë	mamas
mamin	maːmin
mamit	mɑɾmiːd
mamurrasi	amurasi
manastiri	manastiri
mandarina	mandala
mandarinat	mãn̪d̪aɾiinat
manifestoj	manifɛstoi
manjola merlika	maɲola mɛɾlika
mantel	mantˈɛl
manushaqja	manuʃaɟa
maqedoni	nakedoni
maqedonia e veriut	maːgʃiːdɔːniaː e̞ we̞ɾiʔuːd
marash kumbulla	maˈr asqum bˈola
margaritë	margarit
mari	maːriː
marie kraja	maːɾiː kɺlaːɛːɑ
marin orhanasi	marɪn ɔrˈhɑn ɑsˈi
maringlen deçolli	malʲiglʲend dɛ tʂoɫɨ
marr	maɾ
marrëdhënie	maːrdaːniːm
marrëveshja	marɛjʃja
marrëzi	mˌɐɾɐzi
mars	mˈɑːrs
marsh	arʃ
marshall	maːʃɑːl
marsi	mˈɑɹsiʊ
marsias lila	marcias lila
martesa	mˌaɾtˈɛsɐ
martesë	maɾtes
martesën	maltezon
martin	mˌɑɹtˈin
martohem	ɦamɾəɾtoamɾ
martohesh	mertɔtɔeʃ
martohet	mˈartˈahˈɛd
martuar	artuaɾ
mashkull	maʃkuɫ
mashkullor	mˌaʃkulˈɔɹ
mashtrim	maʃtrim
mashtroj	maʃtrɔj
mashtrues	maʃtruːes
maskara	maːskɾɑːm
master	mˈæstɚ
mat	mˈat
matem	matɛm
materiale	materialˈe
mavraj	mabrai
maçok	matʂɔk
maçoku	matʂɔkw
maçokë	matʂɔk
mbahem	baːhɛm
mbahuni	baːɦuniː
mbaj	bˈaɪ
mbaja	baja
mbajeni	bajnɪ
mbaji	bˈaɪ
mbante	bante
mbarova	baː˧˥rɔːvɑː˨
mbaruam	baluam
mbath	bˈaθ
mbetem	bet̪em
mbijetoj	bjetavaj
mbikëqyr	bˈikjˈʊɹd
mbjell	bjˈɛ̃ʊ
mbledh	nˈblˈˈɛv
mbledhje	mbˈlˈeːlˌiːə
mbledhur	bledˈoɾ
mbret	bɾet
mbreti luan	brate luan
mbretin	bratim
mbretër	brˈɛtɚ
mbretëresha	brɛtɛrɛʃa
mbretëresha e dëborës	bratʃaˈɾeʃa ʔɛ dɛ bɔrs
mbretëresha e dëborës: aventura e olafit	brətˈurˈeɪskˈaj ˈɛdbɔrɔs avˈɛntura ˈɛs ˈolˈafi
mbretëresha e dëborës: ethet	brɛtɛrɛjʃa je˩˥ː də- bɔɾlz ɛfˈɛt
mbretëreshë	bɾet̪aɾes
mbretëroj	unbretekõmroai
mbretërore	breteroɾe
mbrohem	bproːˈem
mbroheni	mbɾoːɦeːni
mbroj	braj
mbrojtje	brɔjtjɛ
mbrojtjen	brojtjˈeːn
mbrojtjes	bˈɾˈoʊjtjes
mbrojtës	broitas
mbron	brˌɔn
mbrëma	braːmaː
mbrëmje	nˈɔmja
mbules tavoline	bule stavoline
mbulohem	bʊlaːhˌeːm
mbuloj	ngʊlɔiː
mbuluar	buluːaːr
mburojë	bʊɾˈɔj
mburr	bur
mburrem	voram
mbush	bʊʃ
mbyll	bɨl
mbyllem	bɨlæm
mbylli	guːli
mbyt	lətˈ
mbytem	nˈt
mbërrij	borri
mbërthej	bɜːsəiː
mbështet	bˈʃtˈaˈrtˈ
mbështetem	nabatʃtajatam
mbështjell	baʃtijɐl
me	lˈɛmˈɛ
me durim dhe me punë bëhet edhe shkëmbi vresht .	mɛduɾim ðe me̞j puŋ ðe dɛðe ʃkan bi βɾest
me falni	mufemne
me fat	mefˈat
me shkue	mʃk
me shëndet	mʲæʃɔnˈdɛt
medi gurra	mˌeˈʊtiˈgˈʊra
medvegjë	mɛtvˈeːʒ
megi mysliu	mɛgji mɪslio
megjithëse	mʲidʲisɛm
mehmet	mˈɛmmət
mehmet ali	mi me̞ gaːliː
mehmet shehu	mɛmmatʃʰanʔau
mekanika	mɛkːanˈika
meksikan	mɛksikan
memaliaj	estasmaliai
mendimet	mendˈimet
mendimi	mena
mendohem	mendˈɑːhˈɛm
mendoi	mendoi
mendoj	mendoi
mendonte	mendˈonte
mendove	mend̪ove
menduam	enduan
mengjes	mˈɒndʒɒs
meqë ra fjala	mʲitʃ dʒuɾaːsi ɑːlɑː
merak	merak
merimangë	meɾimaŋ
meritoj	mˌeɾitˈɔɪ
merkur bozgo	mərkʊɾ bɔsko
merkuri	mɜːkuːri
merrem	merɛm
merremi	meremɨ
merresh	mˈɛrɛʃ
merri	meri
mesazhin	mesaʒin
mesha	meˈʃa
meshkujve	meʃko˥˩ːʋ˥ːʋ˥ː
mesme	miːsɪˈʃ
metafizika	metafizika
metali	metali
metoda	metodɑ
metra	metra
mezi	lasi
mi	mˈi
miell	mˈeʊ
migjen basha	midʒen pasa
mijë	miː
mijëvjeçari	mivjeˈtʃare
mike	mikˈɛ
mikrobus	mikrobus
mikroorganizmat	mjkroɔrgaŋizmat
mikun	iːɟun
milingonë	mjˈlɪŋgɔːn
miliona	iliona
millisekonda	milisekondam
milot rashica	iljot ɾaʃitsa
miloti	mjlˈɔti
mimi kodheli	mimiko veli
mimoza selimi	havas moza se tʃiam la
mimoza zotaj	mi mɔˈza zɔtaj
minuta	minuta
minutash	minutaz
minute	minute
miq	mˈitʃ
mira gjata	miːraː dʒaːta
miratoj	mʲiratɔj
mirdita	nadɛda
mire se erdhet	vɛsɛʁɛrdad
mirela naska	miɾela nasˈka
mirela skara naska	miɾela skala naska
mirmbrëma	mjˈʉrmbrama
mirmëngjes	miɾmɛndʒis
mirupafshim	miɾupa˥˩ːʃi˩˥ːm
mirë	mˈɪɹ
mirë se vjen	miɾse vjen
mirëdita	mʲertʲida
mirëditë	mʲiːrdiːt
mirëmbrëma	njembrama
mirëmëngjes	miramanːʒes
mirëmëngjes!	miɾˈmandʒas
mirëmëngjesi	miromantʃessi
mirëmënjes	mjˈɾˌɐmˌeɪŋɨ
mirëpo	mɪɹpɔ
mirëpres	mjˈʊɹpɹəs
mirëserdhe	mirsəiɛɾðɛn
mirёdita	mʲertʲita
mishi	mʲiʂʲi
misioni	misioni
mitrovicë	mitrovidz
mizë	mise
mjaftoj	miaftoj
mjaftueshëm	mʲaft̪uwɛsɨm
mjaltë	mjˈald
mjek	miːjɛk
mjekoj	mjˈekˈoj
mjeku	mjɛku
mjekë	njɛk
mjekër	mʲìɛ̯kər
mjel	mjˈeʎ
mjeshtri	nʲejatɨrɨ
moana: në kërkim të ishullit mitik	noɑnɑna nɛkrkim tɛ˥˩ː iʃu˥˩ː it mɪtɪk
mobiloj	mobiloi
modifikoj	mˌɔdifikˈɔj
mohoj	mˌoːˈhɔːj
molla	mola
mollë	mɔl
momente	momente
momenti	momentɪ
montoj	mˈˈɔntoj
morali	moɖaːliː
morava	mˌoːlˈavə
morra	morra
morëm	morum
mos	mˈɔs
mos shko	mˈɔs ʃkˈa
moshuar	mˈɑʃˈuɚ
moshën	mɔɾʃɔn
moti	mɔ̃te
motivoj	motivɔj
motra	mɔtra
motrat	mɔtɾat
motrës	motras
motër	multɔr
mrekulli	mɾakuli
muaj	mua̞j
muaji	mˈoj
muajsh	mˈuːˈaɪʃ
mualebi	moalebim
mulliri	muliɾi
mund	mˈɔ̃d
munde	mũˈnde
munden	munˈden
mundi	mundi
mundohem	mundo˩˥ːɦem
mundohesh	mʊndɑːhər
mundohet	mʊ̃dɔːt
mundoj	munˈdɔj
mundova	mʊndɔva
mundshme	mˈutʃmˈ
munduar	munduːaːr
mundësia	mundˈˈusiːˈɑ
mungoj	mʊŋgɔʲ
munguar	mʊŋguːaɾ
muri	mule
murmurit	mˈuɾmˈuɾˈɛd
murmuroj	mˈuɾmˈuɾai
musa hajdari	mʊːsɑː ɑːiːdaːɾe
mushkonjë	muʂkoɲ
mushmolla	muʃnuɑllɑ
mushtisht	muʃtiːʃt
mut	tˈ
mutacioni	mutatsjɔnɛ
muze	muzeɛ
muzika	muzika
muzikant	myːsˈaːt
muzikoj	muzikɔj
muzikën	musikan
myslym shyri	mislym ʃyɫʲi
myzeqare	nɛzɛtʃara
myzeqe	mizɛtʃɛ
më fal	mufˈald
më fal!	mafˈl
më falni	ma fˈalne
më jep nderë	maːjˈɛp nˈdeːɹ
më vjen keq	nˈɔvjˈeːnkˌeʃ
mëhill	maxʲijau
mëkoj	mokoj
mëlçi	mɪlˈtʃiː
mëlçisë	mɐlʃɪs
mëmëdhe	mːɐmɐlˈðe
mëngjes	mændʒˈɛz
mënjanoj	mɐ̃ɲanɔj
mërgim mavraj	mʃ
mërgohem	mergoːhˈəm
mërzit	mɛrzit
mërzitem	marziːtam
mërzitur	məɾsitˈaʏ
mëshirë	mˈæˈʃiːr
mësimi	musime
mësohem	mˈasarhˈɛm
mësoj	mˈɑsə
mëson	nˈɔsɔːnˈ
mësues	mˈɔsˈɛ
mësuese	nossˈuˈɛsɛ
mësyj	mˈɑsvi
naftë	nˈaft
naser aliji	nˈɛsɹ ɑlˈeɪ
nasho	naʃɔ
nata	nˈata
natasha sela	natasa sɛla
natë	nˈoʊ
natën	nˈɑdəm
natën e mirë	nˈɑt ˈɪn ðə mˈɪɹ
ndahem	mdovo
ndaj	mdaj
ndajfolje	dajfolje
ndal	dɑːl
ndale	ðale
ndalem	d̥aːjlæm
ndalet	dalet
ndalo	dɑlɑ
ndaloj	nˈɑlˈoj
ndaloje	dalɔjɛ
ndalon	dalonˈnˈ
ndalur	nðalʊr
nderi	d̪e
nderim	dɐrim
nderin	dˈɛrdɪn
nderoj	dˈɛɾˈɔj
ndershëm	ðɛarsøŋn
ndesh	dˈɛʃ
ndeshem	dɛsam
ndeshjen	dæʃjæn
ndez	dæz
ndezur	ðezɔr
ndiej	dˈeɪ
ndihem	nd̪iːæm
ndihet	ðˈiːt
ndihmoj	dˈiːtˈi
ndihmoja	dimoja
ndihmojnë	diːmoːn
ndihmë	dim
ndiq	dˈiʃ
ndiqni	nˈiditʃnˈe
ndizem	ð̞izem
ndjek	ɲːɛk
ndjekim	dijekim
ndjenja	d̪jɛɲa
ndjenjat	djenat
ndjenjë	an
ndjerë	dˈiɹ
ndjesë	dˈies
ndjeva	djˈavˈa
ndoci	mtotsi
ndodh	dˈɔl
ndodhen	doven
ndodhë	dˈoːv
ndonjë gjë të re?	ŋd̪oɲitʃtʃɪ dɛɾe
ndonjëri	dojnˈaɾi
ndoshta	dɔˈʃta
ndot	dˈoːt
ndotem	dotam
ndrecën	dretson
ndreq	dræʃ
ndrit	brit
ndriçoj	dʒʲitsʲai
ndryshim	drusim
ndryshimi	drʊʃimi
ndryshoj	dˈɾˈuʃɒj
ndryshojë	drʏ̞ʃɑɫæ̹gɪ̞
ndryshëm	drœʃøm
ndyhem	dˈʉhˈɛm
ndyj	dˈy
ndër	dˈɚ
ndërgjegjësimi	dodʒejzimim
ndërkombëtar	mdakumto
ndërlidh	ndrˈiz
ndërlidhem	d̪ið̞e̞mið̞
ndërpres	dˈɔɹpɹˈɛs
ndërresa	dˈɛɾɛsdˈɛ
ndërrim	darim
ndërrohem	ðroːvən
ndërroj	doroj
ndërsa	dˈɛrsˈɑ
ndërtesa	dɔrtɛsa
ndërtesë	dˌoɾtˈeɾˈs
ndërtoj	dastel
ndëshkoj	dˈɐʃkɐj
ne	nˈɛ
ne flasim	nˈɛ flˈasɪm
ne kuptojmë	ne kptojm
ne lexojmë	ne le dzoim
negative	negtive
neglizhoj	negɛlʲiʒɔj
neglizhojmë	naklʲiʐoʲim
nejse	nˈejsɚ
nemërçka	nɛmɛrtʃka
nemërçkë	nɛmɛrlska
neritan ceka	nɛitam tsɛka
neritan liçaj	neritan lidʒai
nervoz	nɚvɔz
nesër	neiʃeɾ
nevojiten	nevoitan
nevojshëm	nɛvojʃam
nexhmije	nɛʒmiɛ
nexhmije hoxha	nɛʒmi jɛ ɦɔˈdʒa
nga	ŋga
nga ana tjetër	gə ˈana θˈitɚ
nga je?	gaie
nga jeni?	gajænʲi
ngacmoj	gasmoj
ngadal	gadal
ngadalësoj	ɣ̞ad̪alsoj
ngadhënjim	nˈgˈaðŋim
ngadhënjim mbi vdekjen	ɣ̞al nʲim bʲiv tɛjkæn
nganjëherë	ŋgaːjˈnˈeheːr
ngaqë	gˈɑtʃˈɔrˈ
ngarkoj	nˈˈarˈkɔj
ngarkuar	ŋˈːaːrkˌuuːaɾ
ngas	gas
ngashënjëj	ngˈaʃɛnˈeːɛt
ngatërrohem	gatɪroːhɛm
ngatërroj	ngatoroj
ngatërruar	ngˈatˈlˈoɹuˈaɾ
ngecur	geːtsuːrd
ngelur	gæi̯lur
ngjaj	dʒaj
ngjall	tʃau
ngjan	dʒˈɑn
ngjarje	ndʒaːɾɟia
ngjashmëria	ðəʃmɾia
ngjit	dʒˈeːt
ngjitem	dʒitam
ngjitur	dʒitˈur
ngjiz	gˈiz
ngjyej	ndʒuaː
ngjyra	dʒˈuɹa
ngjyra e qiellit ishte e hirtë.	ʒʏrɑi ʃælʲɪd ˈistɛ ɪʁhiɾtˈɑ
ngjyroj	dʒyɬɔj
ngjyrë	dʒuːɹ
ngre	la
ngrica	gritsa
ngrihem	griːhɛm
ngrihet	griːhˈɛt
ngrij	grˈiː
ngrije	griːjˈe
ngritur	gɾitʊɾ
ngroh	ngɾɑ
ngrohem	nˈɛˈɾɔhem
ngrohte	nɣ̞ɾaft
ngrohtë	grɔt
ngrënë	gɾˈan
ngul	gul
ngulmoj	mguːlmɔj
ngurroj	gurɔj
ngushtoj	guztoj
ngushtë	guʃt
ngushëllime	nguʃɔlijme
ngushëlloj	guʃuʔa
ngutu	getu
nigda dako	niktɑ takɔ
nigela ruka	niɣɛla rukˈa
nik xhelilaj	nik dʒelilai
niklaus	nˈɪçtlaˈuːs
niko lena	niko lena
nikol merizaj	nkɔl miː riː aj
nikollë nikprelaj	niko õy ni prelai
nimanbegu	nimanbegu
ninulla	ninua
nis	nɪs
nisem	nisɛm
niset	nˈesˈɛt
njeri	nˈeˈi
njeriu	nˈɛ
njeriut	njɛriut
njerëz	nʲɛrðʊs
njihja	nˈeˈjˈ
njoftoj	nʲaftoj
njoh	nʲau̯
njoha	mjɔha
njohim	nʲoːjim
njohin	nˈoːhˈin
njohur	nˈɛ
njohuri	ɲˈoɹiˈ
njohëm	nˈoːhˈəm
njollos	nʲaɫoas
njollë	nʲːoɫ
njom	njˈem
një	pavʲerɨɫa
një nga arsyet	nʲɛnɣa ɛrʂʏʲɛt
njëfarësoj	nˈɛfˈæːrˌsˈɑj
njëjti	nʲajtɨ
njëmbëdhjetë	nˈembˈɭʌvˈet
njëmijë	nˈemˈeji
njëqind	mjitsʃn
njëra-tjetrën	nʲeɾatjetɾən
njërën	nʲɛrðʊ̞n
njëzet	nʲizat
njëzetenjë	nʲazɛtapavʲerɨɫa
noar	nˈɔːɹ
nomenklatura	nˈomenklatˈuːra
normal	nˈɔrmal
normale	nˈɔrmˈale
norvegji	nˈoɾβeʝɣi
notoj	nˈotˈoj
novobërda	nˈɔvɔbˈœrdˈɑ
novobërdë	nˈɔvəlbˈɚd
nuhat	nˈuhˈat
nuk	nˈɔ̃
nuk flas shqip	nˈuk flˈast ʃtʃˈep
nuk kuptoj	nɔkɔ ptɔj
numrat	numrat
numri njëjës	numbri ɲeies
numri shumës	nombri ʃumas
numëroj	numeɾoi
nxeh	nðæ
nxehtë	zˈɛt
nxihem	zˈiːhˌɛm
nxirr	nˈsiɾ
nxirre	ziræ
nxit	dzʲit
nxitim	ntsʲitʲim
nxitohem	nˈsitˈoɦe
nxitoj	se
nxitoni	zitɔnɪ
nxjerr	zijɛr
nxjerret	dzʲeret
nxjerrësh	dzielɾɔz
nxë	nza
nxënes	zɑːnɔs
nxënie	nˈzˈaːniɛ
nxënësit	dzəŋsɪt
në fletore shkruajn nxënësit	iːr˨˩˦sweets˥˩ɯ˥˩
në përgjithësi	nɔ pɔɾʒɨtsi
në qoftë se	natʃa ofta se
në çmim është i përfshirë dhe mëngjesi.	natʃmi mɨ ʃti polɨk yre da mɛn ʒesi
nëna	nˈoʊnˈa
nënshkruaj	laẽnskɾuai
nënshtrohem	nɛnʃtrɔhem
nënshtroj	nɛnsdroj
nëntokë	nˈemtˈɑk
nëntor	nontõɾɣ̞
nëntë	nˈant
nëntëdhjetë	nantəljˈet
nëntëmbëdhjetë	antənbəðijæt
nënvizoj	nanβ̞isoi
nënë	nˈaɪn
nëpërmjet	numepeɾmiɛt
nёnё	nˈoːn
oborri	abˈɔri
odeta katundi	a t̪e̞t̪a kat̪unð̞e
odise roshi	odisɛ hɾɔʃi
ofendim	oftem
oficer	ofiˈtser
ofroj	ˈæˈʊfˈɾˈɑːj
ogurzi	sigda
ohër	ɑʊ˥˩hɤ˥˥
oktapod	nˈoxtapˈont
olsi zerka	ol si zerka
onomastikë	onomast̪ik
operacion	ˌopeɾatsjˈon
oqean	bɑːdʒɑːn
ora	ˈɔ
organizëm	ɔɾgɑnizm
orges shehi	oɾ gˈɛs ʃˈæhˈi
orikumi	auɾikˈume
oriz	ɔɹiz
orë	ˈɑɹd
orëndreqës	ˈɔɾdəndɹˈeʃɛs
orës	ˈɔɹdɜz
ose	pozɛ
osman	azman
osmozë	osmoz
padrejtësi	patrɨtsʲi
padyshim	padˈyʃˈim
pagezuar	fagɾuzuaɾ
paguaj	aguaʲ
