a-má	a.ˈma
gratias	gɾa.ˈtʃi.əs
gratidão	gɾa.tʃi.ˈdãʊ̃
gratificação	gɾa.tʃi.fi.ka.ˈsãʊ̃
gratificações	gɾa.tʃi.fi.ka.ˈsõỹs
gratos	ˈgɾa.tʊs
gratuidade	gɾa.tuy.ˈda.dʒɪ
gratuitas	gɾa.ˈtuy.təs
gratuitos	gɾa.ˈtuy.tʊs
grava	ˈgɾa.və
gravada	gɾa.ˈva.də
gravadas	gɾa.ˈva.dəs
gravado	gɾa.ˈva.dʊ
gravador	gɾa.va.ˈdox
gravadoras	gɾa.va.ˈdo.ɾəs
gravados	gɾa.ˈva.dʊs
gravam	ˈgɾa.vãʊ̃
gravamos	gɾa.ˈvã.mʊs
gravando	gɾa.ˈvã.dʊ
gravar	gɾa.ˈvax
gravaram	gɾa.ˈva.ɾãʊ̃
gravarem	gɾa.ˈva.ɾẽỹ
gravaria	gɾa.va.ˈɾi.ə
gravariam	gɾa.va.ˈɾi.ãʊ̃
gravará	gɾa.va.ˈɾa
gravatar	gɾa.va.ˈtax
gravatas	gɾa.ˈva.təs
gravataí	gɾa.va.ta.ˈi
gravatá	gɾa.va.ˈta
gravatás	gɾa.va.ˈtas
gravava	gɾa.ˈva.və
gravavam	gɾa.ˈva.vãʊ̃
gravação	gɾa.va.ˈsãʊ̃
gravações	gɾa.va.ˈsõỹs
gravei	gɾa.ˈvey
gravel	gɾa.ˈvɛw
graves	ˈgɾa.vɪs
gravetos	gɾa.ˈvɛ.tʊs
gravida	gɾa.ˈvi.də
gravidade	gɾa.vi.ˈda.dʒɪ
gravilha	gɾa.ˈvi.ʎə
gravimetria	gɾa.vi.mɛ.ˈtɾi.ə
gravimétrica	gɾa.vi.ˈmɛ.tɾi.kə
gravimétricas	gɾa.vi.ˈmɛ.tɾi.kəs
gravitam	gɾa.ˈvi.tãʊ̃
gravitando	gɾa.vi.ˈtã.dʊ
gravitas	gɾa.ˈvi.təs
gravitação	gɾa.vi.ta.ˈsãʊ̃
gravitou	gɾa.vi.ˈtow
gravosa	gɾa.ˈvɔ.zə
gravou	gɾa.ˈvow
gravuras	gɾa.ˈvu.ɾəs
gravuristas	gɾa.vu.ˈɾis.təs
gravável	gɾa.ˈva.vew
gravídica	gɾa.ˈvi.dʒi.kə
gravímetros	gɾa.ˈvĩ.me.tɾʊs
gravíssimas	gɾa.ˈvi.si.məs
gravíssimos	gɾa.ˈvi.si.mʊs
gravítica	gɾa.ˈvi.tʃi.kə
gravítico	gɾa.ˈvi.tʃi.kʊ
graxa	ˈgɾa.ksə
graxo	ˈgɾa.ksʊ
graxos	ˈgɾa.ksʊs
graz	ˈgɾas
grazi	gɾa.ˈzi
graça	ˈgɾa.sə
graças	ˈgɾa.səs
graúna	gɾa.ˈũ.nə
greaves	gɾe.ˈa.vɪs
greca	ˈgɾɛ.kə
grecia	gɾe.ˈsi.ə
greco	ˈgɾɛ.kʊ
greco-católicos	gɾe.ko.ka.ˈtɔ.li.kʊs
greco-cipriotas	gɾẽ.ko.si.pɾi.ˈɔ.təs
gredos	ˈgɾɛ.dʊs
greensleeves	gɾe.ẽz.li.ˈɛ.vɪs
gregas	ˈgɾe.gəs
gregoras	gɾe.ˈgo.ɾəs
gregoria	gɾe.go.ˈɾi.ə
gregorianos	gɾe.go.ɾi.ˈã.nʊs
gregos	ˈgɾe.gʊs
gregária	gɾe.ˈga.ɾi.ə
gregárias	gɾe.ˈga.ɾi.əs
gregários	gɾe.ˈga.ɾi.ʊs
gregória	gɾe.ˈgɔ.ɾi.ə
greias	ˈgɾey.əs
greimas	ˈgɾey.məs
greiz	ˈgɾeys
grelha	ˈgɾe.ʎə
grelhada	gɾe.ˈʎa.də
grelhadas	gɾe.ˈʎa.dəs
grelhado	gɾe.ˈʎa.dʊ
grelhador	gɾe.ʎa.ˈdox
grelhados	gɾe.ˈʎa.dʊs
grelhar	gɾe.ˈʎax
grelhas	ˈgɾe.ʎəs
grelos	ˈgɾe.lʊs
gremistas	gɾe.ˈmis.təs
grenada	gɾe.ˈna.də
grenás	gɾe.ˈnas
greta	ˈgɾɛ.tə
gretna	ˈgɾɛtʃ.nə
greves	ˈgɾɛ.vɪs
grevistas	gɾe.ˈvis.təs
grias	ˈgɾi.əs
grieco	gɾi.ˈe.kʊ
griego	gɾi.ˈe.gʊ
grifado	gɾi.ˈfa.dʊ
grifinória	gɾi.fi.ˈnɔ.ɾi.ə
grifo	ˈgɾi.fʊ
grifos	ˈgɾi.fʊs
grigor	gɾi.ˈgox
grigorópulos	gɾi.go.ˈɾɔ.pu.lʊs
grilagem	gɾi.ˈla.gẽỹ
grileiros	gɾi.ˈley.ɾʊs
grilhetas	gɾi.ˈʎɛ.təs
grilhão	gɾi.ˈʎãʊ̃
grilhões	gɾi.ˈʎõỹs
grilos	ˈgɾi.lʊs
grimaldo	gɾi.ˈmaw.dʊ
grimancelos	gɾi.mã.ˈse.lʊs
grimoaldo	gɾi.mo.ˈaw.dʊ
grimpa	ˈgɾĩ.pə
grimualdo	gɾi.mu.ˈaw.dʊ
grimório	gɾi.ˈmɔ.ɾi.ʊ
grimórios	gɾi.ˈmɔ.ɾi.ʊs
grinalda	gɾi.ˈnaw.də
grinaldas	gɾi.ˈnaw.dəs
grindr	ˈgɾĩdɾ
gringa	ˈgɾĩ.gə
gringo	ˈgɾĩ.gʊ
gringos	ˈgɾĩ.gʊs
gripe	ˈgɾi.pɪ
gripo	ˈgɾi.pʊ
griqua	ˈgɾi.kwə
grisalha	gɾi.ˈza.ʎə
grisalho	gɾi.ˈza.ʎʊ
grisalhos	gɾi.ˈza.ʎʊs
griselda	gɾi.ˈzɛw.də
grispi	gɾis.ˈpi
grisões	gɾi.ˈzõỹs
gritadas	gɾi.ˈta.dəs
gritado	gɾi.ˈta.dʊ
gritador	gɾi.tʃa.ˈdox
gritados	gɾi.ˈta.dʊs
gritam	ˈgɾi.tãʊ̃
gritando	gɾi.ˈtã.dʊ
gritar	gɾi.ˈtax
gritaram	gɾi.ˈta.ɾãʊ̃
gritaria	gɾi.ta.ˈɾi.ə
gritava	gɾi.ˈta.və
gritavam	gɾi.ˈta.vãʊ̃
gritos	ˈgɾi.tʊs
gritou	gɾi.ˈtow
grivas	ˈgɾi.vəs
gro	ˈgɾʊ
groapa	gɾo.ˈa.pə
groaíras	gɾo.a.ˈi.ɾəs
groenlandês	gɾo.ẽ.lã.ˈdes
gronelandês	gɾo.ne.lã.ˈdes
groninga	gɾo.ˈnĩ.gə
grooves	gɾo.ˈɔ.vɪs
gros	ˈgɾʊs
groselha	gɾo.ˈze.ʎə
groselhas	gɾo.ˈze.ʎəs
grossas	ˈgɾɔ.səs
grosseiras	gɾo.ˈsey.ɾəs
grosseiros	gɾo.ˈsey.ɾʊs
grossistas	gɾo.ˈsis.təs
grossos	ˈgɾɔ.sʊs
grotas	ˈgɾɔ.təs
grotescas	gɾo.ˈtɛs.kəs
grotescos	gɾo.ˈtɛs.kʊs
grotão	gɾo.ˈtãʊ̃
grotões	gɾo.ˈtõỹs
grou	ˈgɾʊʊ
groucho	ˈgɾow.ʃʊ
grovelas	gɾo.ˈve.ləs
groves	ˈgɾɔ.vɪs
groxo	ˈgɾo.ksʊ
groza	ˈgɾɔ.zə
gru	ˈgɾʊ
gruas	ˈgɾu.əs
gruda	ˈgɾu.də
grudado	gɾu.ˈda.dʊ
grudados	gɾu.ˈda.dʊs
grudam	ˈgɾu.dãʊ̃
grudar	gɾu.ˈdax
grudenta	gɾu.ˈdẽ.tə
grudento	gɾu.ˈdẽ.tʊ
gruiu	ˈgɾʊyʊ
grumento	gɾu.ˈmẽ.tʊ
grumos	ˈgɾũ.mʊs
grunhido	gɾũ.ˈɲi.dʊ
grunhidos	gɾũ.ˈɲi.dʊs
gruntilda	gɾũ.ˈtʃiw.də
grupa	ˈgɾu.pə
grupado	gɾu.ˈpa.dʊ
grupagem	gɾu.ˈpa.gẽỹ
grupamento	gɾu.pa.ˈmẽ.tʊ
grupamentos	gɾu.pa.ˈmẽ.tʊs
grupera	gɾu.ˈpe.ɾə
grupo-irmão	gɾu.po.iɣ.ˈmãʊ̃
grupo-tarefa	gɾu.po.ta.ˈɾẽ.fə
grupoide	gɾu.ˈpoy.dʒɪ
grupos	ˈgɾu.pʊs
grupos-tarefa	gɾu.pos.ta.ˈɾẽ.fə
grussaí	gɾu.sa.ˈĩ
grutas	ˈgɾu.təs
gruver	gɾu.ˈvɛx
grácia	ˈgɾa.si.ə
grácil	ˈgɾa.sɪw
grácio	ˈgɾa.si.ʊ
gráfica	ˈgɾa.fi.kə
gráficas	ˈgɾa.fi.kəs
gráfico	ˈgɾa.fi.kʊ
gráficos	ˈgɾa.fi.kʊs
grávida	ˈgɾa.vi.də
grávidas	ˈgɾa.vi.dəs
grávido	ˈgɾa.vi.dʊ
grávidos	ˈgɾa.vi.dʊs
grânulos	ˈgɾã.nu.lʊs
grã	ˈgɾã
grã-bretanha	ˈgɾã.bɾe.tã.ɲə
grã-duquesas	ˈgɾã.du.ke.zəs
grão	ˈgɾãʊ̃
grão-ducado	ˈgɾãʊ̃.dʒu.ka.dʊ
grão-mestrado	ˈgɾãʊ̃.mes.tɾa.dʊ
grão-pará	ˈgɾãʊ̃.pa.ɾa
grão-principado	ˈgɾãʊ̃.pɾĩ.si.pa.dʊ
grão-príncipe	ˈgɾãʊ̃.pɾĩ.si.pɪ
grãos	ˈgɾãʊ̃s
grêmios	ˈgɾẽ.mi.ʊs
grímnismál	ˈgɾĩ.niz.maw
grócio	ˈgɾɔ.si.ʊ
gróvios	ˈgɾɔ.vi.ʊs
grózni	ˈgɾɔz.nɪ
gsa	ˈgsa
gsl	ˈgsw
gsr	ˈgsx
gstl	ˈgstw
gsu	ˈgsʊ
gua	ˈgwa
guabiraba	gwa.bi.ˈɾa.bə
guabirotuba	gwa.bi.ɾɔ.ˈtu.bə
guabiruba	gwa.bi.ˈɾu.bə
guabirá	gwa.bi.ˈɾa
guadalimar	gwa.da.li.ˈmax
guado	ˈgwa.dʊ
guaduas	gwa.ˈdu.əs
guaianás	gway.a.ˈnas
guaimar	gway.ˈmax
guairá	gway.ˈɾa
guaitecas	gway.ˈtɛ.kəs
guaiuba	ˈgwayu.bə
guaió	gway.ˈɔ
guaiúba	gway.ˈũ.bə
guajajaras	gwa.ʒa.ˈʒa.ɾəs
guajará	gwa.ʒa.ˈɾa
guajuviras	gwa.ʒu.ˈvi.ɾəs
gualacho	gwa.ˈla.ʃʊ
gualaxo	gwa.ˈla.ksʊ
gualda	ˈgwaw.də
gualdo	ˈgwaw.dʊ
gualtar	gwaw.ˈtax
guam	ˈgwãʊ̃
guamiranga	gwa.mi.ˈɾã.gə
guamá	gwa.ˈma
guanacos	gwa.ˈna.kʊs
guanaes	gwa.ˈna.ɪs
guanipa	gwa.ˈni.pə
guanás	gwa.ˈnas
guapituba	gwa.pi.ˈtu.bə
guapo	ˈgwa.pʊ
guapos	ˈgwa.pʊs
guapé	gwa.ˈpɛ
guaraciaba	gwa.ɾa.si.ˈa.bə
guarajuba	gwa.ɾa.ˈʒu.bə
guaramiranga	gwa.ɾa.mi.ˈɾã.gə
guarantã	gwa.ɾã.ˈtã
guarapiranga	gwa.ɾa.pi.ˈɾã.gə
guarapuava	gwa.ɾa.pu.ˈa.və
guaraqueçaba	gwa.ɾa.ke.ˈsa.bə
guarará	gwa.ɾa.ˈɾa
guaratinguetá	gwa.ɾa.tʃĩ.ge.ˈta
guaratuba	gwa.ɾa.ˈtu.bə
guaraçaí	gwa.ɾa.sa.ˈĩ
guaraí	gwa.ɾa.ˈĩ
guaraíras	gwa.ɾa.ˈĩ.ɾəs
guarda-corpos	gwaɣ.da.ˈkɔx.pʊs
guarda-costas	gwaɣ.da.ˈkɔs.təs
guarda-marinha	gwaɣ.da.ma.ˈɾĩ.ɲə
guarda-mão	gwaɣ.da.ˈmãʊ̃
guardada	gwaɣ.ˈda.də
guardadas	gwaɣ.ˈda.dəs
guardado	gwaɣ.ˈda.dʊ
guardador	gwaɣ.da.ˈdox
guardados	gwaɣ.ˈda.dʊs
guardam	ˈgwaɣ.dãʊ̃
guardamar	gwaɣ.da.ˈmax
guardanapos	gwaɣ.da.ˈna.pʊs
guardando	gwaɣ.ˈdã.dʊ
guardar	gwaɣ.ˈdax
guardaram	gwaɣ.ˈda.ɾãʊ̃
guardarem	gwaɣ.ˈda.ɾẽỹ
guardaria	gwaɣ.dʒa.ˈɾi.ə
guardará	gwaɣ.da.ˈɾa
guardas	ˈgwaɣ.dəs
guardas-marinha	gwaɣ.daz.ma.ˈɾĩ.ɲə
guardava	gwaɣ.ˈda.və
guardavam	gwaɣ.ˈda.vãʊ̃
guardião	gwaɣ.dʒi.ˈãʊ̃
guardiãs	gwaɣ.dʒi.ˈãs
guardiões	gwaɣ.dʒi.ˈõỹs
guardou	gwaɣ.ˈdow
guarea	gwa.ˈɾɪ.ə
guarenas	gwa.ˈɾẽ.nəs
guareí	gwa.ɾe.ˈĩ
guarida	gwa.ˈɾi.də
guarinos	gwa.ˈɾĩ.nʊs
guaritas	gwa.ˈɾi.təs
guaritá	gwa.ɾi.ˈta
guarnecem	gwaɣ.ˈnɛ.sẽỹ
guarnecendo	gwaɣ.ne.ˈsẽ.dʊ
guarneceram	gwaɣ.ni.ˈse.ɾãʊ̃
guarneceu	gwaɣ.ne.ˈsew
guarnecia	gwaɣ.ne.ˈsi.ə
guarneciam	gwaɣ.ni.ˈsi.ãʊ̃
guarnecida	gwaɣ.ne.ˈsi.də
guarnecidas	gwaɣ.ne.ˈsi.dəs
guarnecido	gwaɣ.ne.ˈsi.dʊ
guarnecidos	gwaɣ.ne.ˈsi.dʊs
guarnicê	gwaɣ.ni.ˈse
guarnição	gwaɣ.ni.ˈsãʊ̃
guarnições	gwaɣ.ni.ˈsõỹs
guarrazar	gwa.xa.ˈzax
guartelá	gwax.te.ˈla
guarulhos	gwa.ˈɾu.ʎʊs
guará	gwa.ˈɾa
guarás	gwa.ˈɾas
guarânias	gwa.ˈɾã.ni.əs
guatapará	gwa.ta.pa.ˈɾa
guatapé	gwa.ta.ˈpɛ
guatemalteca	gwa.te.maw.ˈte.kə
guatemalteco	gwa.te.maw.ˈte.kʊ
guatemaltecos	gwa.te.maw.ˈtɛ.kʊs
guatós	gwa.ˈtɔs
guaxenduba	gwa.sẽ.ˈdu.bə
guaçuí	gwa.su.ˈĩ
guaíba	gwa.ˈi.bə
guba	ˈgu.bə
gubaidulina	gu.bay.du.ˈli.nə
gubernáculo	gu.beɣ.ˈna.ku.lʊ
gudea	gu.ˈdɪ.ə
gudo	ˈgu.dʊ
gudula	gu.ˈdu.lə
gue	ˈgi
guebel	ge.ˈbɛw
guebuza	ge.ˈbu.zə
guedaz	ge.ˈdas
guedes	ˈgɛ.dʒɪs
guedeão	ge.de.ˈãʊ̃
guegue	ˈgɛ.gɪ
gueguês	ge.ˈges
gueifães	gey.ˈfãỹs
gueiros	ˈgey.ɾʊs
gueixa	ˈgey.ʃə
gueixas	ˈgey.ʃəs
guel	ˈgew
gueldres	ˈgew.dɾɪs
guelfa	ˈgew.fə
guelfi	gew.ˈfi
guelfo	ˈgew.fʊ
guelfos	ˈgew.fʊs
guelmim	gew.ˈmĩ
guelras	ˈgew.xəs
guemará	ge.ma.ˈɾa
guenoas	ge.ˈno.əs
gueonim	gɛ.o.ˈnĩ
gueorgui	ge.oɣ.ˈgi
guepardo	ge.ˈpaɣ.dʊ
guepardos	ge.ˈpaɣ.dʊs
guera	ˈgɛ.ɾə
gueral	ge.ˈɾaw
guercino	gex.ˈsĩ.nʊ
guercio	gex.ˈsi.ʊ
guerilha	ge.ˈɾi.ʎə
guerin	ge.ˈɾĩ
guerino	ge.ˈɾĩ.nʊ
guernica	geɣ.ˈni.kə
guerra	ˈgɛ.xə
guerra-fria	ge.xa.ˈfɾi.ə
guerra-relâmpago	ge.xa.ɾe.ˈlã.pa.gʊ
guerras	ˈgɛ.xəs
guerreando	ge.xe.ˈã.dʊ
guerrear	ge.xe.ˈax
guerrearam	ge.xe.ˈa.ɾãʊ̃
guerreavam	ge.xe.ˈa.vãʊ̃
guerreia	ge.ˈxey.ə
guerreira	ge.ˈxey.ɾə
guerreiras	ge.ˈxey.ɾəs
guerreiro	ge.ˈxey.ɾʊ
guerreiros	ge.ˈxey.ɾʊs
guerreou	ge.xe.ˈow
guerrera	ge.ˈxe.ɾə
guerrero	ge.ˈxe.ɾʊ
guerreros	ge.ˈxe.ɾʊs
guerriero	ge.xi.ˈɛ.ɾʊ
guerrilha	ge.ˈxi.ʎə
guerrilhas	ge.ˈxi.ʎəs
guerrilheira	ge.xi.ˈʎey.ɾə
guerrilheiras	ge.xi.ˈʎey.ɾəs
guerrilheiro	ge.xi.ˈʎey.ɾʊ
guerrilheiros	ge.xi.ˈʎey.ɾʊs
guerrinha	gɛ.ˈxĩ.ɲə
guesde	ˈgɛʒ.dʒɪ
guetim	ge.ˈtʃĩ
gueto	ˈgɛ.tʊ
guetos	ˈgɛ.tʊs
guevara	ge.ˈva.ɾə
guezô	ge.ˈzo
guga	ˈgu.gə
guglielmitas	gu.gli.ew.ˈmi.təs
gui	ˈgi
guia	ˈgi.ə
guiada	gi.ˈa.də
guiadas	gi.ˈa.dəs
guiado	gi.ˈa.dʊ
guiados	gi.ˈa.dʊs
guiagem	gi.ˈa.gẽỹ
guiam	ˈgi.ãʊ̃
guiamento	gi.a.ˈmẽ.tʊ
guiana	gi.ˈã.nə
guianas	gi.ˈã.nəs
guiando	gi.ˈã.dʊ
guianês	gi.a.ˈnes
guiar	gi.ˈax
guiaram	gi.ˈa.ɾãʊ̃
guiaria	gi.a.ˈɾi.ə
guiará	gi.a.ˈɾa
guias	ˈgi.əs
guiava	gi.ˈa.və
guiavam	gi.ˈa.vãʊ̃
guichês	gi.ˈʃɛs
guida	ˈgi.də
guide	ˈgi.dʒɪ
guidinha	gi.ˈdʒĩ.ɲə
guido	ˈgi.dʊ
guidobaldo	gi.do.ˈbaw.dʊ
guidonia	gi.do.ˈni.ə
guidoval	gi.do.ˈvaw
guidão	gi.ˈdãʊ̃
guidões	gi.ˈdõỹs
guiena	gi.ˈɛ.nə
guifões	gi.ˈfõỹs
guigui	gi.ˈgi
guigó	gi.ˈgɔ
guila	ˈgi.lə
guilda	ˈgiw.də
guildas	ˈgiw.dəs
guildo	ˈgiw.dʊ
guilenor	gi.le.ˈnox
guilhabreu	gi.ʎa.ˈbɾew
guilheiro	gi.ˈʎey.ɾʊ
guilherme-jordão	gi.ʎeɣ.me.ʒoɣ.ˈdãʊ̃
guilhermina	gi.ʎeɣ.ˈmĩ.nə
guilhotina	gi.ʎo.ˈtʃĩ.nə
guilhotinada	gi.ʎo.tʃi.ˈna.də
guilhotinado	gi.ʎo.tʃi.ˈna.dʊ
guilhotinados	gi.ʎo.tʃi.ˈna.dʊs
guilhotinas	gi.ʎo.ˈtʃĩ.nəs
guimaraes	gi.ma.ˈɾa.ɪs
guimarei	gi.ma.ˈɾey
guimarânia	gi.ma.ˈɾã.ni.ə
guimarães	gi.ma.ˈɾãỹs
guimê	gi.ˈme
guina	ˈgĩ.nə
guinada	gi.ˈna.də
guinardó	gi.naɣ.ˈdɔ
guincho	ˈgĩ.ʃʊ
guinchos	ˈgĩ.ʃʊs
guinda	ˈgĩ.də
guindado	gĩ.ˈda.dʊ
guinea	gi.ˈnɪ.ə
guineto	gi.ˈne.tʊ
guinga	ˈgĩ.gə
guiomar	gi.o.ˈmax
guionismo	gi.o.ˈniz.mʊ
guionista	gi.o.ˈnis.tə
guionistas	gi.o.ˈnis.təs
guiou	gi.ˈow
guipúscoa	gi.ˈpus.ko.ə
guiratinga	gi.ɾa.ˈtʃĩ.gə
guirlanda	giɣ.ˈlã.də
guirlandas	giɣ.ˈlã.dəs
guisada	gi.ˈza.də
guisado	gi.ˈza.dʊ
guisados	gi.ˈza.dʊs
guisando	gi.ˈzã.dʊ
guiscardo	gis.ˈkaɣ.dʊ
guita	ˈgi.tə
guitar	gi.ˈtax
guitarista	gi.ta.ˈɾis.tə
guitarra	gi.ˈta.xə
guitarrada	gi.ta.ˈxa.də
guitarras	gi.ˈta.xəs
guitarreiro	gi.ta.ˈxey.ɾʊ
guitarrista	gi.ta.ˈxis.tə
guitarristas	gi.ta.ˈxis.təs
guizos	ˈgi.zʊs
guizé	gi.ˈzɛ
guiá-los	gi.ˈa.lʊs
guiães	gi.ˈãỹs
guião	gi.ˈãʊ̃
guiões	gi.ˈõỹs
gujo	ˈgu.ʒʊ
gul	ˈgʊw
gula	ˈgu.lə
gulbarga	guw.ˈbaɣ.gə
gulda	ˈguw.də
gulfstream	guwfs.ˈtɾe.ãʊ̃
gulosa	gu.ˈlɔ.zə
guloseimas	gu.lo.ˈzey.məs
guloso	gu.ˈlo.zʊ
gulosos	gu.ˈlo.zʊs
gumercindo	gu.mɛx.ˈsĩ.dʊ
gumersindo	gu.mɛx.ˈsĩ.dʊ
gundam	ˈgũ.dãʊ̃
gundar	gũ.ˈdax
gundebaldo	gũ.de.ˈbaw.dʊ
gunderico	gũ.de.ˈɾi.kʊ
gundula	gũ.ˈdu.lə
gunga	ˈgũ.gə
gunhilda	gũ.ˈɲiw.də
gunma	ˈgũ.mə
guntamundo	gũ.ta.ˈmũ.dʊ
guntram	ˈgũ.tɾãʊ̃
guntárico	gũ.ˈta.ɾi.kʊ
gupta	ˈgup.tə
guptas	ˈgup.təs
gurabo	gu.ˈɾa.bʊ
gurguéia	guɣ.ˈgɛy.ə
guria	gu.ˈɾi.ə
gurinhatã	gu.ɾĩ.ɲa.ˈtã
gurinhém	gu.ɾĩ.ˈɲẽỹ
gurizada	gu.ɾi.ˈza.də
gurjão	guɣ.ˈʒãʊ̃
gurrea	gu.ˈxɪ.ə
gurruchaga	gu.xu.ˈʃa.gə
gurupá	gu.ɾu.ˈpa
gus	ˈgʊs
gusmão	guz.ˈmãʊ̃
gussago	gu.ˈsa.gʊ
gusta	ˈgus.tə
gustas	ˈgus.təs
gustativa	gus.ta.ˈtʃi.və
gustativas	gus.ta.ˈtʃi.vəs
gustativos	gus.ta.ˈtʃi.vʊs
gustave	gus.ˈta.vɪ
gustavia	gus.ta.ˈvi.ə
gustavinho	gus.ta.ˈvĩ.ɲʊ
gustavo	gus.ˈta.vʊ
gustação	gus.ta.ˈsãʊ̃
gusto	ˈgus.tʊ
guzerá	gu.ze.ˈɾa
guá	ˈgwa
guárico	ˈgwa.ɾi.kʊ
gué	ˈgɛ
guédé	ˈgɛ.dɛ
guéldria	ˈgɛw.dɾi.ə
guérin	ˈgɛ.ɾĩ
guízar	ˈgi.zəx
gádor	ˈga.dɪx
gálata	ˈga.la.tə
gálatas	ˈga.la.təs
gálbulos	ˈgaw.bu.lʊs
gália	ˈga.li.ə
gálias	ˈga.li.əs
gálica	ˈga.li.kə
gálicas	ˈga.li.kəs
gálico	ˈga.li.kʊ
gálio	ˈga.li.ʊ
gálvez	ˈgaw.vɪs
gárgula	ˈgaɣ.gu.lə
gárgulas	ˈgaɣ.gu.ləs
gás	ˈgas
gás-líquido	ˈgaz.li.ki.dʊ
gástrica	ˈgas.tɾi.kə
gástricas	ˈgas.tɾi.kəs
gástrico	ˈgas.tɾi.kʊ
gástricos	ˈgas.tɾi.kʊs
gástrula	ˈgas.tɾu.lə
gáudio	ˈgaw.dʒi.ʊ
gávea	ˈga.vɪ.ə
gávio	ˈga.vi.ʊ
gâmeta	ˈgã.me.tə
gâmetas	ˈgã.me.təs
gândara	ˈgã.da.ɾə
gândaras	ˈgã.da.ɾəs
gândavo	ˈgã.da.vʊ
gânglio	ˈgã.gli.ʊ
gânglios	ˈgã.gli.ʊs
gângsteres	ˈgãgs.te.ɾɪs
gârbou	ˈgãɣ.bʊʊ
gã	ˈgã
géis	ˈʒɛys
gélida	ˈʒɛ.li.də
gélidas	ˈʒɛ.li.dəs
gélido	ˈʒɛ.li.dʊ
gélidos	ˈʒɛ.li.dʊs
gélio	ˈʒɛ.li.ʊ
gépidas	ˈʒɛ.pi.dəs
gêiseres	ˈʒey.ze.ɾɪs
gêmea	ˈʒẽ.mɪ.ə
gêmeas	ˈʒẽ.mɪ.əs
gêmeo	ˈʒẽ.mi.ʊ
gêmeos	ˈʒẽ.mi.ʊs
gênero	ˈʒẽ.ne.ɾʊ
gênero-tipo	ˈʒẽ.ne.ɾo.tʃi.pʊ
gêneros	ˈʒẽ.ne.ɾʊs
gênica	ˈʒẽ.ni.kə
gênicas	ˈʒẽ.ni.kəs
gênico	ˈʒẽ.ni.kʊ
gênicos	ˈʒẽ.ni.kʊs
gênio	ˈʒẽ.ni.ʊ
gênios	ˈʒẽ.ni.ʊs
gês	ˈʒes
gímnica	ˈgĩ.ni.kə
gímnicas	ˈgĩ.ni.kəs
gímnico	ˈgĩ.ni.kʊ
gímnicos	ˈgĩ.ni.kʊs
gípcios	ˈʒip.si.ʊs
gíria	ˈʒi.ɾi.ə
gírias	ˈʒi.ɾi.əs
góios	ˈgɔy.ʊs
góis	ˈgɔys
gólgota	ˈgɔw.go.tə
góra	ˈgɔ.ɾə
górdio	ˈgɔɣ.dʒi.ʊ
górgias	ˈgɔɣ.ʒi.əs
górgona	ˈgɔɣ.go.nə
górgonas	ˈgɔɣ.go.nəs
górna	ˈgɔɣ.nə
górne	ˈgɔɣ.nɪ
gótia	ˈgɔ.tʃi.ə
gótica	ˈgɔ.tʃi.kə
góticas	ˈgɔ.tʃi.kəs
gótico	ˈgɔ.tʃi.kʊ
góticos	ˈgɔ.tʃi.kʊs
gônada	ˈgõ.na.də
gônadas	ˈgõ.na.dəs
gônatas	ˈgõ.na.təs
gôndola	ˈgõ.do.lə
gôndolas	ˈgõ.do.ləs
gútnico	ˈgutʃ.ni.kʊ
güines	ˈgzy.nɪs
güiza	ˈgksy.zə
güímar	ˈgzi.məx
haba	ˈa.bə
habacuque	a.ba.ˈku.kɪ
habana	a.ˈbã.nə
habanera	a.ba.ˈnɛ.ɾə
habanero	a.ba.ˈnɛ.ɾʊ
habe	ˈa.bɪ
habeas	a.ˈbɪ.əs
habemus	a.be.ˈmus
habenaria	a.bo.na.ˈɾi.ə
habermas	a.ˈbɛɣ.məs
habia	a.ˈbi.ə
habibi	a.bi.ˈbi
habil	a.ˈbiw
habilidade	a.bi.li.ˈda.dʒɪ
habilidades	a.bi.li.ˈda.dʒɪs
habilidosa	a.bi.li.ˈdɔ.zə
habilidosamente	a.bi.li.do.za.ˈmẽ.tʃɪ
habilidosas	a.bi.li.ˈdɔ.zəs
habilidoso	a.bi.li.ˈdɔ.zʊ
habilidosos	a.bi.li.ˈdɔ.zʊs
habilita	a.bi.ˈli.tə
habilitada	a.bi.li.ˈta.də
habilitadas	a.bi.li.ˈta.dəs
habilitado	a.bi.li.ˈta.dʊ
habilitados	a.bi.li.ˈta.dʊs
habilitam	a.bi.ˈli.tãʊ̃
habilitando	a.bi.li.ˈtã.dʊ
habilitar	a.bi.li.ˈtax
habilitaram	a.bi.li.ˈta.ɾãʊ̃
habilitava	a.bi.li.ˈta.və
habilitação	a.bi.li.ta.ˈsãʊ̃
habilitações	a.bi.li.ta.ˈsõỹs
habilite	a.bi.ˈli.tʃɪ
habilitou	a.bi.li.ˈtow
habilmente	a.biw.ˈmẽ.tʃɪ
habita	a.ˈbi.tə
habitabilidade	a.bi.ta.bi.li.ˈda.dʒɪ
habitacional	a.bi.ta.si.o.ˈnaw
habitada	a.bi.ˈta.də
habitadas	a.bi.ˈta.dəs
habitado	a.bi.ˈta.dʊ
habitados	a.bi.ˈta.dʊs
habitam	a.ˈbi.tãʊ̃
habitando	a.bi.ˈtã.dʊ
habitante	a.bi.ˈtã.tʃɪ
