! (vykřičník)	kɾˈitˈvˈ
podařená	podar̝ɛnaː
podařený	pɔdar̝ɛniː
podařilo	poɾariːlˈo
podařit se	podaʐɪt sɛ
podbořanský rohozec	podboʐanskˈiː roɦozɛts
podbořany	pɔdpɔʐanɨ
podbrdsko	pɔdrstsko
podběl	ɔbjɐl
podbělka	podbjɛlka
podběrák	podbjɛraː
podbřišek	mˈojbr̝ɪtʃɛk
podcenit	pattsɛnʲit
podceňovat	pɔttsɛɲiulat
podchladit	otxlaɟiɛt
podchlazení	odɦlazɛɲːiː
podchlazený	podxlazɛnˈiː
podchod	bˈɔ̃dxˈoːt
poddajný	podajni
poddaný	pot̪dani
poddůstojník	pɔddusdojnk
podej	pudei
podemlít	pˈoːdˈɛmrˈiːt
podepisovat	bodɛpiːsovat
podepisovat se	podɛpɪsovat sɛ
podepsaný	pɑtue̞psɑːniː
podepsaným	podɛpsanˈiːm
podepsat	podɛpsat
podepsat se	podɛpsat sɛ
podepsat smlouvu na rok	podɛpsot smlovu na rˈok
podepsána	pɔdeːpsɑːnɑ
podepřený	podɛprzɛniː
podepřít	podɛpʃit
podestlat	vˈɔtˈɛstlˈɑt
podestýlka	pudɛstˈiːlka
podexponovaný	poɾekspeɾɛvɑŋig
podexponovat	potɛkspõnɔvat
podezírat	podɛziːrat
podezřelé	podɛztr̝ɛlajɛ
podezřelý	kɔdɛztɹəliː
podezření	podɛzr̝ɛɲiː
podezřívavý	podɛzr̝iːvavjiː
podezřívavě	podɛzdriːvavjɛ
podešev	pɔdɛʃɛf
podešit	podɛʃit
podfuk	pɔdfuk
podhlavník	podɦladvˈuːk
podhmat	puɟmat
podhodnocovat	doɦodnotsova
podhoranský	pˈodɦorantskˈiː
podhorský	podɦorskiː
podhoubí	podgou̯biː
podhradí	votʃaɾadʒiː
podhůra	poduɦuːra
podhůří	podɦuːʒiː
podiu	oadio
podiv	bud̞jɛs
podivit se	poɟivɪtsɛ
podivit se	poɟivɪtsɛ
podivnost	podivnɔst
podivného	poɟivnɛːɦo
podivný	poɟiuɲi
podivně	podɪvɲɛ
podivuhodný	poɟivuɦodniː
podivuhodně	poɟivuɦodɲɛ
podivuji se	podivˈujisˈe
podivín	oːdivˈin
podivínský	podilɪnskiː
podjatost	poliˈatɔst
podjaří	ɦoːdiaːriː
podjet	pɔdjet
podjezd	pˌoːdˈijˈɛst
podklad	ɫɑtˈkɫɑt
podkladovou	potkladovou
podkladová	podkladovaː
podkladový	pˈotskladoviː
podklady	podkladɪ
podklady výchozí	podkladɪ vˈiːxoziː
podkolenka	podkolɛnka
podkolenky	pɔtkɔlɛnki
podkolenní	odkolɛɲiː
podkolení	podkolɛɲiː
podkoní	potkˈoniː
podkop	pɔtkɔp
podkopat	pˈoːrtkˈuːpat
podkopná lhota	podkopnaː lɦota
podkova	pɔtkɔva
podkovák	potkovaːk
podkovář	potkavaːr
podkožní	podkoʒɲiː
podkrovní	podkrovɲiː
podkrovní okno	v dkourovɲiː ˈokno
podkroví	pudkrofi
podlaha	podloh
podlahový	podlaɦoviː
podlahový lak	podlaɦovɪlˈak
podlaze	potlɑzɯ̞
podlaží	podlaʒiː
podle	podlɛ
podle koho	podlɛ koɦo
podle koho?	poɺlɛ koɦo
podle mého názoru	podlɛ mɛːɦo naːzoru
podle nás	podlɛ nas
podle názoru irské vlády	pɔdlɛ naːzɔru ɪrskɛː vlaːdi
podle ní	podlɛɲiː
podle něho	podlɛ ɲɛɦo
podle něj	podlæɲːai
podle odhadu firmy lemují 80 procent českých silnic	podlɛ odɦadu fɪrmɪ lɛmuuji ʔosumdɛsaːk pratsent tʃɛskiːx sɪlɲɛts
podle tebe	podlata bɛ
podle vás	podlɛ vas
podlepit	podlɛpɪt
podlesí	podlɛsiː
podle kterých	podlɛktɛriːx
podle modelu	podlɛmodɛlu
podle mého názoru	podlɛmɛːɦonaːzoru
podle potřeby	pɔrlɛpɔtr̝ɛbɨ
podlitina	poɾletʃina
podlitým	pˌoːzˈɾetijˈem
podlomený	oblomeni
podlomit	odlomit
podlomit se	pɔɾlɔm ɛtʃɛ
podloubí	podloubiː
podložka	poɾlɔʃka
podložka pod myš	podlɔʃka pˈodmɛʃ
podložka pro myš	pˈodlˈoʃkˈa prˈomɪʃ
podluhy	podluxɪ
podlážka	odlaɦɪsxa
podlézat	otnaza
podlízavý	podliːzɛʋiː
podlý	podli
podmalba	pɔdmalba
podmalovat	pˈodmalˈovat
podmanit	tʊdmaɲit
podmanivý	podmanɪvíː
podmazat	podnazad
podmaňovat	pɔrmaɲʊbat
podmiňovací	pɔtmɛɲɛvatsɪjɛj
podmiňovacího	podmjɛɲɔlatsiːɦo
podmiňovat	pɔdmiɲɔvat
podmnožina	podmnoʒɪna
podmol	podmol
podmáslí	potmˈaːsmɪ
podmínečně	podmˈiːnɛtʃɲɛ
podmínit	odminis
podmínka	pɔdmiːnkɑ
podmínkový	podmˈiːnkovjiː
podmínkově	podmiːnkɔvjɛ
podmínky k přijetí ke studiu	podmˈiːnk k psɪjɛtːɪ kɛ studɪru
podmínkách	podmˈiːnkaːx
podmíněný	podmiːɲɛniː
podmítat	podmˈiːtat
podmět	podmjɛt
podnapilý	odnaplɪɛː
podnebí	bɔdnɨbi
podnik	pagniʂ
podnikat	pˌodnˈikat
podnikatel	podɲikatɛl
podnikatele	podɲikatɛlɛ
podnikateli	putnʲikatɛlʲɛ
podnikatelka	podɲikatɛlka
podnikatelský	odɲikatɛlskiː
podnikatelství	pˈoɟɪkatɛlstvɪ
podnikatelé	odɲikatɛlɛː
podniknout	podɲiknˈou
podnikový	podɲikovji
podniku	pɔdniku
podniká	podnika
podnikání	podɲikaːniː
podniků	podɲiku
podnikům	pˈodɪɲikuːm
podnos	podnos
podnosnice libočudná	pˈodnˈostɲitsɛ libo tʃudna
podnož	pˈodnˈoʃ
podnájem	podnajɛm
podněcovat	pɔdɲatsɔvat
podnět	podɲɛt
podoba	podˈoba
podobající	odobajitsiː
podobat	podobat
podobnost	podobnˈost
podobná situace	podobnasɪtuatsɛ
podobné	hudobnɛː
podobné třídy	podobnɛːtr̝iːdɪ
podobný	podobniː
podobný jako vejce vejci	podobɲˈiː jˈako vɛjtsɛ vɛjtsɪ
podobných	poːdobniːx
podobně	podobɲɛ
podoby	puduˈbe
podobě	podɔbjɛ
podokenní	otokaniː
podolí	podoljː
podomácku	podomaːpsku
podotkl	poːdˈotkl
podotknout	boːˈlutk
podotýkat	pˌoːlˈiːtˈiːkat
podpal	tɔtpaɫ
podpalovač	bɑtˈvɑvɒbætʃ
podpantoflák	tɾˈɑsvˈɑntˈɔflaːk
podpatek	potbatæk
podpažní	podpˈaʒɲiː
podpaží	podpaʒiː
podpis	potpis
podpisy	bˈɔ̃kbˈɪsˈe
podplacení	podplatsɛɲiː
podplacený	odpŎatsɛniː
podplatit	otplatjɛt
podplavat	pokpɫanat
podplout	poɾploːm
podplácet	pˈodplaːtsɛt
podpor	pɔdpɔr
podpora	podpora
podporovali	odporovalɪ
podporovaný	podporofanɛjː
podporovat	odpɔrɔvat
podporovatel	podpɔrvotɛl
podporovatelka	otprovatɛlkɑ
podporuje	potpɔrujɛ
podporuje stagnaci energie čchi jater	podpodujɛ stagnatsɪ ɛnɛrgɪɛ tʃɪjatɛːr
podporujeme	pɔdpɔrujɛmɛ
podpořit	podpor̝ɪt
podprsenka	podprɛsɛnka
podprsenky	otːasænˈtiːr
podprůměrný	potpru˩˥ːmjere˩˥ːmju˥˩ː
podpásovka	pɔdpɑːsɔfka
podpírat	potpíɾat
podpěra	otpjɛra
podpůrnost	potpɔrnɔsc
podpůrná	podpˈuːrnaː
podpůrné	podpurnɛ
podpůrní	podpurniː
podpůrný	podpurniː
podraz	pudras
podrbat	pɔdrbat
podrobit	atɾabit
podrobit se	odrobɪt sɛ
podrobnost	podrˈobnɔst
podrobnosti	odropnoscɪ
podrobného	podrobnɛːɦo
podrobný	potrupnˈi
podrobným	podrobniːm
podrobně	podrobɲɛ
podrobněji	pɔdrɔbɲɛjiː
podrobnější	podrobɲɛjʃiː
podrost	pɔdrɔst
podroušený	podrouʃanˈiː
podroužek	pˈotrouʒɛ
podrsenka	pɔtprsɛnka
podruhé	podruɦɛː
područka	podrˈutʃka
područí	podrutʃiː
podružný	podruʒni
podrápaný	pˈodraːpaniː
podráždit	pˈodraːʒdɪt
podráždí	odraːʒɟiː
podrážděný	podraːʒɟɛniː
podrážka	podrˈaːʃka
podráží	podraːʒiː
podrážím	podraːʒɛ
podrážíme	podraːʒiːmɛ
podrážíte	odraːʒiːtɛ
podrážíš	odraːʒiːʃ
podrývat	podriːvat
podrž	pɔdr̝ʃ
podrž mi to	pɔdrɕmi tɔ
podrželi	bɛdʒɛnʲii
podržet	pɐdrɛˈʒɛt
podsada	pot̪sada
podsadit	pɔdsadʲit
podsaditý	pɔtsɑdikiː
podsklepený	potklɛpɛniː
podskupina	podsgupɲa
podsouvat	ot̪so̞ubat̪
podsrstí	potsɛxskiː
podstata	tɔtstɔtɔ
podstatné jméno	pˈodstav nˈa jɪmɛːno
podstatný	tatsɑdni
podstatně	podstɑtɲjɛ
podstava	pɔdstɑva
podstavec	pɔtstɐvɛts
podstoupila	pˈotʃtoupɪla
podstrojovat	podstrojovat
podstupuje	podstupujɛ
podstřeší	patskr̝ɛʃiː
podsunout	pˈodsuːnɑːv
podsvinče	potsvɪniːtɕɛ
podsvětí	ʁakˈi
podsypka	koɾsijt
podtext	pɔttɛkst
podtextem	pottɛkstɛm
podtlak	pɔtɫak
podtrhnout	poutrɛɦnouc
podtržítko	pˈotrˈʃitkˈo
podumat	potumat
podunajská nížina	pot̪ una iska ɲit̪ʃa
podunají	propunai
podusit	po˥˩ːdo˥˩ːsɛt
poduška	pˈoduʃka
podvazek	podvazɛk
podvedeni	podvɛdɛɲiː
podveky	pɔdvɛki
podvečer	potvɛtʃɛr
podvihov	podvɪxof
podvlékačky	podɛvɫɛːkɛɑtskɪ
podvod	pɔdvot
podvodnice	podvɔdɲɪtsɛ
podvodná dědička	podvodna dʑædʑitʂka
podvodné	podvodnɛ
podvodní	podvodɲiː
podvodník	podvodɲiːk
podvodný	pɔdvɔdnɪi̯
podvodný dědic	podvɔdniː ɟɛdiːts
podvojná	podvotnaː
podvojné	podvˈojnɛː
podvozek	pˈodvɔzɛk
podvozek letadla	pˈodvozɛklɛtadlˈa
podvrh	pɔdvrˈax
podvržený	podvrʒɛniː
podvyživený	podvɪʒɪvɛniː
podvádět	podvaːɟɛt
podvést	pot̪vas
podvýživa	podvˈiːʒva
podvědomí	podfjɛdomaː
podvěsek	podvjɛsɛk
podvěsný	odvjɛsniː
podyjí	puɾiːˈi
podzemka	pɔdzɛmka
podzemnicový olej	podzɛmɲɪtsoviːolɛj
podzemní	podzɛmɲiː
podzemí	pɔdɑzɛmin
podzim	pot̪lim
podzimní	podzɛmɲiː
podzimní mlha	podzɪmɲiː mˈaɦa
podzimně	pɔdzimɲɛ
podzákonný	pɔtzaːkɔniː
podzámčí	pˈotsaːmtʃiː
pod hranicí chudoby	podɦraɲɛtsiːxudobɪ
pod nominální hodnotu	podnomɪnaːlniːɦodnotu
pod širým nebem	potʃɪriːmnɛbɛm
podání	podaːniː
podávací	podaːvatsiː
podávaný	ɔpɔdɑːvˈaniː
podávat	poːdaːvat
podávat pacientům pouze na vlastní odpovědnost	podaːvat patsɪɛntuːm pouzɛ na vlˈastɲiː odpovjɛdnost
podávky	pɔdavki
podává	poːdavaː
podává stížnost	podaːvaː stɪdʒnost
podél	podɛːl
podélná osa	budɛlnaː ʔosam
podélník	udɛlɲik
podélně	pˈodɛlɲɛ
podíl	podiːl
podílet se	podzʲiɫatsːo
podílnický	pˈodɪɛlɲitskiː
podílnost	podjɛlɛnˈost
podílný	podjˈiːlniː
podílové	poɟiːlovɛː
podílový	poɟiːloviː
podít se	podniːtsɛ
podíval	podˈiːvaːl
podívala	podɲivala
podívali	pˈodˈiːvalɪ
podívaná	podˈiːvanaː
podívat se	podɪːvat sɛ
podívej	odzjivɛj
podívej se	poɟivɛj sɛ
podívej, co jsem našel	podˈiːvɛj tsˈo j sɛm naʃɪl
podívej, vím, že chceš pomoct	poɟiːvɛj viːm ʒˈa xtsɛʃ pomotsc
podívej, vím, že jsem v téhle práci nový	podiːvɛjɪ viːm ʒˈɛ jɛsɛm f tɛːɦlɛ praːtsɪ noviː
podívejte	poɟivɛjtɛ
podívejte se na něj a dobře se na zkoušku připravte	pˈodiːvɛjtɛ sɛ na ɲɛj a dopʒɛtsɛ na skouʃku pr̝ɪpráftɛ
podívejte se, jaké jsou krásné!	podɪvjɛjtɛ sɛ jakɛj sou krˈaːstnɛː
podívám	podĩːvaːm
podívám se na to	podˈiːvam sɛ na tˈo
podíváme se na to	poɟiːvaːmɛ sɛ na tˈo
podívání	podˈiːvaːniː
poděbrady	budzɪtra
poděkoval	podɛkɔval
poděkoval jsem mu	poɟɛɛkofalɪsɛ mɛmu
poděkovali jsme dětem i učitelkám	poɟɛjkofaɫiːsmɪ ɟɛtɛm ʔɪ ʔutʃcɪtɛlkam
poděkovat	puɟɛkovat
poděkovat za	poɟɛkofa dza
poděkování	toɟɛkavaːniː
poděl	podjɛl
podělat	poɟɛlat
podělit se	po˥˩ːdɪlɪt sɛ
poděs	pˈodɛst
poděšení	podɛʃɛɲiː
podřadit	pɔdʒadit
podřadný	pˈodr̝adniː
podřazený	poːdʒaːzænˈmiː
podřep	podrɛp
podřimovat	pɔdr̝ɛjmɔvat
podřídit	pˈodrˈjˈɪnˈid
podřídit se	podʒigitsæ
podřízenost	podriːvɛnost
podřízený	podr̝iːzɛniː
podšálek	pˈotʃaːlɛk
podšálky	potʃaːlkɪ
podšívaný	pɔtsiːvaniː
podšívat	odʃiːvat
podšívka	pɔtɕifka
podůlný	poduɫniː
podůlší	poduːʃiː
poevropštit	poʔɛpropʃci
poezie	poɛzjɛ
poflakují	poˈflakui
pogratulovat	pogratulovat
pohan	poɦan
pohana	bɑhɑnɑ
pohanka	pɔɦamika
pohanková	poxankova
pohanský	pɔɦansgjiː
pohasíná	poɦasjːna
pohladit	bɒhɒdiːd
pohladí	poɦlatɪ
pohlavek	loɦloni
pohlavkovat	koɓovkomɛt
pohlavní	poɦlavɲiː
pohlavní orgány	poɦlavɲiː orgaːnɪ
pohlavních	poɦlavɲˈiːx
pohlavár	oɦlavaːra
pohlaví	poɦlavíː
pohlazeni	poɦlazʋɛɲi
pohlazení	poɦlazɛɲiː
pohlcený	poɦltsɛniː
pohlcovat	ɔɦultsovat
pohlcuje	poɦltsojɛ
pohled	pou̯ɦlɛt
pohled z boku	poɦlɛt zboku
pohledem	poɦlɛdɛm
pohlednice	poɦlɛdɲitsɛ
pohledný	poɦlɛdniː
pohledu	poɦlɛdu
pohledy	poglɛdɪ
pohledávat	oɣladaːva
pohledávka	poglɛdaːvka
pohledáváš	poɦladaːvaːʃ
pohlodko	pˈoɦlodkˈo
pohltit	poɦɯ̞ɫkʲit
pohlédl	pogoːˈdo
pohlédla	poɣlɛdla
pohlédli	poɣɫadɫɪ
pohlédnout	oɦlɛːrnouc
pohlížet	poɦliːʒat
pohlíží	pɔliʒi
pohmat	bohmət
pohnat	ɔhnat
pohnojení	poɦnojɛɲiː
pohnojit	pɔɦnɔwjɛd
pohnout	poːgnɔut
pohnout se	poɦnoutsɛ
pohnul	poɣnul
pohnutka	pɑgnutko
pohnutí	poɣnutsiː
pohnutý	pɔɾnutim
pohoda	pɔɦɔdɑ
pohodit	pɔɦɔdʲi
pohodlnou	boːhɔdnɔv
pohodlnému	vɒhɒdlnaːjmuː
pohodlný	oɫdɯnɪ
pohodlně	pɔɦɔdlɛɲɛ
pohodlí	pˈɔ̃lbɔdʁiːt
pohodář	ɦɔdaːʒ
pohodě	pogodɛ
pohon	ɦohoŋ
pohorka	pɔɦɔrka
pohorky	pɔɦɔrɛki
pohoršlivý	oxorʃlɛví
pohoršující	poɦorʃuʲitsʲi
pohostinnost	poɦosdɛnːaʃt
pohostinství	poɦosciːnstviː
pohotovost	ɔɦɔtɔvˈost
pohotovostní	poɦotovustɲiː
pohotovostní pluk	paɦotavostɲiː pluk
pohotový	poɦotovjiː
pohov	paf
pohovka	bɔɦɔfka
pohovku	qyʁubbu
pohovor	bɔɦɔbɔrɑ
pohovořit	bogawɔʒit
pohořelec	poɦorɛlɛts
pohořelice	tɨmoʐalɛtsa
pohoří	pˈoɦorɪjiː
pohoštění	poɦoʃtɛnim
pohrabat	poɦramat
pohrabáč	poɦramaːt
pohraniční	oɦranitʃniː
pohraniční horstvo	poɦranitʃniː ɦorstvo
pohraničník	oɦradɲitʃɲiːk
pohraničí	poɦraɲɛtʃiː
pohrdat	poɦrdat
pohrdavý	poɦrdavˈiː
pohrdlivost	poːɦɪdlɪvɛlz
pohrobek	poɦrobɛk
pohrobní	poɦrobnʲiː
pohroma	pˈoɦroma
pohromadě	pɑhɾʊmɑdʑæ
pohromách	poɦromaːx
pohrozit	pohrozɪt
pohrudnice	poɦrudnʲitsɛ
pohrávat	pohraːvat
pohupovala	ɔɦupɔgɔvɑvɑ
pohupovat se	pɔɦupɔvatsʲ sɛ
pohyb	poɦiːb
pohyblivost	pohipliːvost
pohyblivá	poɦɪblɪvaː
pohyblivé písky	poɦɪblɪvɛːpˈiːskɪ
pohyblivý	poɦibriviː
pohybovala	poɦibofɑla
pohybovat	pohɪbovat
pohybovat se	poɦɪbovat sɛ
pohybový	poɦiboɦiː
pohybově	poɦibɔvjɛ
pohybuje	boɣɪbujɑ
pohybuješ	pohjbujɛʃ
pohybů	poɦɛbu
pohádat se	boɦaːdat sɛ
pohádka	pɔɦaːtka
pohádka máje	pɔɦaːtka mˈaɪɛ
pohádkový	pɔɦaːtkɔviː
pohádky	pˈoɦaːtkɪ
pohání	po˥˩ha˥�ɲiː˧
poháním	pˈoɦaːɲiːm
poháníš	poɦaːnɪʃ
poháněný	poɦaːnɛniː
pohánět	bɔxaːɲɛt
pohár	pɔɦaːr
pohárek na vejce	boɦaːrɛk navɛjtsɛ
poháry	oɦaːrɛ
pohřbený	boɣʃbɛnɪm
pohřbil	poɣrbɪl
pohřbít	moɦrbiːt
pohřbívat	poɦr̝biːvat
pohřbívání	poɦrvˈiːvaːniː
pohřeb	poɦr̝ɛp
pohřebišti	poɦr̝ɛbɪʃcɪ
pohřebiště	poɦr̝ɛbɪʃcɛ
pohřební	pˈoɦrɛbɲiː
pointa	pojnt̪a
pojd'me	bojtɯmɛ
pojedeme	pojɛdemɛ
pojedeme na dovolenou do švédska	pojɛdɛmɛ na dɔvɔɫɒnɔw̃ dɔmu ɕvɛtska
pojedeme na dovolenou do švédska.	pojɛdɛmɛ na dovolɛnou do ʒvɛːtska
pojedeš do koreje za čtyři měsíce	pojɛdɪʃ do korɛɲɛ za tʃtɪr̝iː mjɛsiːtsɛ
pojednou	pojɛdnɔ
pojednání	pojɛdnaːniː
pojedu do moskvy	koːeɾɯdːomɕːkɯiː
pojedu do prahy	pojɛdu do praɦɪ
pojedu do ruska	pojɛdu do rˈuska
pojedu s nimi	pojɛdu s ɲɪmɪ
pojem	pɔjɛm
pojetí	pojɛkːiː
pojezd	pujɛst
pojistit	pojscits
pojistka	pɔjstka
pojistný	poistniː
pojivo	pojivo
pojivý	puiːvi
pojištění	pojɪʃtɛɲiː
pojišťovací	pɔjiʃtʃɔvatɕiː
pojišťovat	pɔjɕtɕɔvat
pojišťovna	pɔjɪʃcɔvna
pojišťovnictví	pajsdɕɛvɲitsdviː
pojmenovat	pojmɛnavat
pojmenování	poɪmɛdovaːniː
pojmenujeme	pojmɛnujɛmɛ
pojmeš	poˈimɛʃ
pojmout	poɛmolto
pojmový	puiumovii
pojmově	bojmuðje
pojmu	pojmu
pojídat	pojidat
pojímat	pɔimat
pojít	poit
pojízdka	pujstka
pojízdná	pˈujzna
pojízdný	pɔjiːsɟniː
pojíždění	poːjˈiːʒɟɛniː
pojď	oːit
pojď se podívat	pajtsɛ poɟˈivat
pojď sem	ajk sen
pojďme	ojtmɛ
pojďme do kina	pojtmɛ do kɪna
pojďme se na to podívat	pojɟmɛ sɛ na tˈo poɟˈiːvat
pojďme žít pokuď žijeme	pojɟmɛ ʒiːt pˈokut ʒɛmɛ
pojďte	pɔitʃta
pojďte dál	ˈutʃ te dˈaʊtˈ
pojďte dál a posaďte se	bˈujtɛ dˈaːl a posatɛsɛ
pojďte prosím za mnou	pɔjtɛ prˈosiːm za mnou
pojďte sem	bʊ̞ttʲɪsæm
pokakat	pokakat
pokapat	tɔkapat
pokazil se	poka zɪl sɛ
pokazilo	poka˥˩ːzjro
pokazil se	pokazɪlsɛ
pokazit	pokazɛt
pokazit se	pokazɪtsɛ
pokaňhat	pukajnat
pokašlávat	okatʃlava
pokaždé	okazde
pokaždé si říkám	okaʒdɛː sɪ rˈiːkaːm
pokecat	pokɛtsa
pokecat si s někým	pokɛtsatsi s ɲɛkiːm
poker	pokɛ
pokerový	pˈokroviː
poklad	poklat
pokladna	pokladna
pokladnice	pokladɲitsɛ
pokladnička	pokladɲiːtʃka
pokladní	pokladniː
pokladník	pokladɲiːk
pokladníkem	pokladɲiːkɛm
pokleknutí	oklɛknokiː
poklepat	poklɛpat
pokles	pokɾas
poklesek	oklajsɛk
pokleslý	oklɛsliː
poklesnout	poklɛtsnaut
pokles cen	poklɛztsɛn
poklesávat	poklɛsɑːvat
poklice	poːklɪtsɛ
poklidnému	okljnnaːmu
poklidný	oklɨdniː
poklička	pɔklitʃka
pokličku	poklɪtʃku
poklonkovat	kloŋkɔvat
poklop	poklop
poklopec	poklopɛts
pokládat	pokaːraːt
pokládána	poklaːdaːna
pokochat se	poko˥˩ːxatʃ sa˥˩ː
pokoj	pokoj
pokoje	pokoja
pokoji	pokojɛ
pokojový	pokojɔvˈiː
pokojská	pokojskaː
pokoj (nemocniční)	pokojnɛmotsɲɪtʃɲiː
pokojích	pˌoʊjˈaɪ
pokojík	pokojik
pokojíček	pokojɪtʃɛk
pokolení	pˈokolɛɲiː
pokora	pokoram
pokorný	kukorni
pokorně	pˈokˈorɲi
pokosit	pokosit
pokoutník	pokoucniː
pokoušeli se	pokouʃɪlɪsɛ
pokoušely se	pokouʃɛlɪsɛ
pokoušet	poko˥˩ːʃɛd
pokoušet se	pokouʃjɛt sɛ
pokoušet se	pokouʃɛtsɛ
pokouším	fokowfˈiŋ
pokouším se učit angličtinu, ale moc mi to nejde	pokouʃiːm sɛ utʃiːt anglɛtʃtɕɪnu ɛɪl mˈots mɪ tˈo najdɛ
pokouším se	pokouʃiːmsɛ
pokouší se sehnat	pokojʃiːtsɛsɛɦnat
pokouší se vyřešit	pokojʃiːsɛvɪr̝ɛʃɪt
pokouší se zmařit	pokoʃisɛzmaʒɛt
pokouší se zobrazit	pokoʃiːsɛzobrazɪt
pokouší se řešit	pokoʃiːsɛr̝ɛʃɪt
pokoušíš se	pokouʃiːsɛ
pokovovat	poko˥˩ːʋovat
pokoření	pukurɛɲiː
pokožka	pokoʃka
pokradí	ukɾadizu
pokračovací	pokratʃovatsiː
pokračoval	pokrɛtsʲɔvɐɫ
pokračovaly	pokrɑtʃˈovali
pokračovat	pɔkɾɑtʃuɫɑ
pokračování	pɔkɾɑtʃɔfɑːniː
pokračuj	pokratʃu
pokračuje	pokratʃujɛ
pokračujeme	pokratʃujɛmɛ
pokračuješ	pokratʃujɛʃ
pokračuji	pokratʃuʲi
pokračuji v učení češtiny	pokratʃuji f uːtʃɛɲiː tʃɛʃtɛnɪ
pokračujte	pokratʃujtɛ
pokračuju	pokratʃuju
pokračuju s ruštinou	pakratʃuʲju s rvʃtɛnou
pokračující	pokratʃujiːtsi
pokrevenství	pokrɛvɛnstviː
pokrevní	pokrɛvɲiː
pokrevní příbuzný	pokrɛvɲiː pʃiːbuzniː
pokrm	keɾimɯ
pokrmy	pokrɛmɛ
pokrok	pukrok
pokrok nezastavíš	pokrɔk nɛzastavjiʃ
pokrokář	pokɾokaːs
pokroucený	pokroutsɛniː
pokročilost	pokrotʃɪlɔst
pokročilá	pokrotʃɪlaː
pokročilý	pokrotʃɪliː
pokrutina	pokoːlkina
pokrutiny	pˈokrʊtiny
pokrytec	poklits
pokrytecký	pokrɪtɛtskiː
pokrytá	pokrɪtaː
pokrytí	pokrɪtiː
pokryvač	pukriʋatʃ
pokrýt	pokr̝iːt
pokrývat	pɔkɾiːvat
pokrývač	pokriːvatɕ
pokrývka	pokɾiːfka
pokrčený	pokrtʃɛniː
pokrčit	pokrtʃɪt
pokrčit rameny	pokɪrtʃit ramɛnɪ
pokud	pokoˈt
pokud je hezky, snídáme na balkoně	pokut jɛ ɦɛskɪ sɲiːdaːmɛ na balkoːɲɛ
pokud ještě nemáte účet.	pokud jɛʃcɛ nɛmaːtɛ uːtʃɛt
pokud můžete.	pokud muʒɛtɛ
pokud rozbijete zrcadlo, čeká vás 7 let neštěstí	pokud rozbjɛtɛ zrtsadlo tʃɛkaː vas sɛdu mɪlɛt nɛʃtɕɛstiː
pokud se nemýlím	pokut sɛ nɛmiːliːm
pokud vím	pɔkud vim
pokud pouze jen	pokudpou̯zajɛn
pokus	pokus
pokus o sebevraždu	pokus o sɛbɛvraʒdu
pokusil	pokusiɫ
pokusit	fokusˈe
pokusit se	pokusɛtsɛ
pokusný	pokusnˈiː
pokusný reaktor	pˈokusniːrɛaktor
pokuta	tukuta
pokutový lístek	pokutoviː viːstɛk
pokutuje	pakotuje
pokušení	pokuʃɛɲiː
pokušením	pɔkusɛɲim
pokyn	pokɛn
pokynul	pokinul
pokácet	pokaːtsɛ
pokárat	pokaːraːt
pokýval	kɔpiːval
pokývnout hlavou	pokiːvnou d ɦlavou
pokřivený	okʃɪvɛniː
pokřtít	pˈokrtiːt
pokřtěný	okr̝skɛmiː
poladěno	ɔɫɑɟɨnʊ
polarit	pɔlaɾit
polarita	polarɪjta
polaritami	pɔlaritami
polarito	pɔlaɾitɔ
polaritou	pɔlaːrɪtou
polaritu	pɔɑritu
polarity	pɔlariti
polaritám	pɔlarɪtaːm
polaritě	pɔlaɾɪcɛ
polarizace	polaːrizatsɛ
polda	pɔldɑ
pole	pale
polecký vrch	polɛtskiː vrˈox
poledna	pˈolɛdna
poledne	polɛdnɛ
polednice	polɛdɲɪtsɛ
polednici	polɛdniːtsɪ
polední	puʁlœ̃dˈenˈi
polední vrch	polɛdɲiː vrx
poledník	poɫɛdɛɲiːk
polekat	pɔlɛkat
polekám	pɔlɛkɑːm
poleno	olano
polepovat	pɔlɛpɔvat
polepy	pɔɫɛpɪ
polepšovna	polɛpʃovna
polesí	pˈolɛsiː
poletující	polɛtuiːtsiː
poleva	pɔlɛva
polevil	t̪olabela
polevovat	polɛvovat
polevující	poˈlɛbwˈitsi
polečnice	polɛtʃnitsa
polib mi prdel	polɪmɪ prdɛl
polib mi prdel!	pɔlitmi pɛrdɛl
polibek	pˈolɪbɛk
polibkem	pɔlibgɛndr
policajt	pɔlitsajt
police	olitsɛ
police nad metují	polɪtsɛ nadmɛtujˈiː
policejní	polɪtsɛjɲiː
policejní prezident	polɪtsɛjɲiː prɛzɪdɛnt
policejní stanice	polɪtsɛjɲiː stˈaɲɪtsɛ
policejního	polɪtsɛjɪniːɦo
policejně	pɔlɪtsɛjɲɛ
police na zavazadlo	pojɛtsɛnazɑvɑzadlɔ
policie	politsijas
policie nam zabavila mixák	pɔlɪtsɪɛ nˈaːm zabavɪla mɪksaːk
policie nezakročila dříve	polɪtsɪ jɛ nɛzakrotʃla dr̝iːvɛ
policie české republiky	pˈolɛtsɛ tʃɛstkaɾa kˈupi
policie!	pɔlɪtsiɛ
policii	politsɛjɛ
policista	pɔlitsista
policistka	polɛtsiztska
poliklinika	kɔlikɫinika
