!	vikritʃɲiːk
%	pɛrtsɛnt
(	zaːtvorka
patricia janečková	patrɪtsia janɛtʃkovaː
patrik	patrik
patrik hrošovský	patrɪk ɦrɔʃɔuːskiː
patrik lušňák	patrɪ gɫuʃɲak
patril	patriɫa
patrične	patritʃɲɛ
patriť	patri
patrný	patrĩː
patrí	patriː
paula	pɑvɫa
pauliny	fawlimi
pauzák	pau̯saːk
pavla	tãβ̞la
pavlovič	pɑblɔʋiʃ
pavol	bɐbɔl
pavol demitra	aɫo dɛmitɾa
pavol hurajt	fa β̞olɣ̞wɾaʝ
pavučina	pavutʃina
pavúk	paːbuk
pazúr	pɐzˈoɹ
paľce	falsɛ
paľe	bal
paľec	palets
pašovaný	aːsavaːnɪ
pašovať	paʃovat
paštika	paʃtɪka
paštikový	paʃtɕɛkoviː
paštéta	pastɛta
pať	pˈɑt
paže	paʒɛ
pažerák	paʒɛraːk
pchať	xak
pec	bˈɪts
peckový	fɛtskoviː
pejc	pˈeɪt
pejko	æjkæ
pejsto	pˈeɪstɔ
pekla	pɛkla
peklo	pɛklɔ
pekne to nabielila, však?	pjɛkɲɛ ta nabjɛjiɫa fʂak
pekné	tɛknɛ
pekný	pɛkniː
pekný výhľad na krajinu	pɛkŋɪ viːɦlʲad na krajɲu
pekár	pekar
pekáreň	pɛkaːrɛɲ
pekársky	tɛkaːrski
pelech	pɛlɛx
pelešiť sa	fɛlɛʃitsa
pelikán	bɛlɪkan
pelotónu	pɛlɔtɔnʊ
pena	fina
peniaze	pʲenʲezɛ
peniažky	pɛɲɲijazki
penica	penˈitsa
penový	pɛnɔvj
pentelka	pent̪elka
penzia	pensia
penzista	penizistɑ
penzistka	benziʃtka
penzión	pɾensioŋ
pera	fara
percentný	pɛrtsɛntniː
percento	pertsẽnt̪a
perepúť	fɛrɛpoːc
perfektné	pɛrfɪktnɛ
perfektný chrup	perfɛktniː xrup
perie	peɾje
perina	peɾina
perkelt	perkɛlt
perla	peɾla
perlavý	pɛrlabi
perleť	perʎɛtɕ
perleťový	perlɛtɕɔvɪ
perlivá	perljva
perlička	pɛrlitʃka
perlový	peɾloviː
perm	ferma
permafrost	fɛrmafrɔs
pernek	pɛrmɛk
perník máčaný v kakaovej poleve plnený jahodovým želé	pɛrɲiːk maːtʃɛniː f kakaofaj pˈolɛbɛ plɲɛmɪ jˈaɦodovjiː mɪʒɛlɛ
pero	pero
pero je hore nad knihou	pɛro jɛ ɦorɛ nat knɪhou
perscinki	bɛrstsʲɪnkʲi
perscinok	pɛrstsɪnɔk
personalistika	pɛɾsonalistika
peru	pɛrɔ
perzsky	perski
perzská	pɛrska
perzská ríša	per skariːʃa
perši	perʃi
peršoho	pɛʃˈoɦa
peržania	peɾʒenia
pes	pˈɛs
pesnička	vɛsɲitʃka
pestovať	pɛstɔvak
pestrica	pɛstritse
pestrofarebný	pɛʃtrofarɛbnɛ
pestrosť	pɛstrosk
pestrý	pestriː
peter	feter
peter budaj	pɛtɛr budai
peter gajdoš	peter gajdos
peter je pizzu	pɛtɛr je˩˥ː pi˥˩ːtsu˥˩ː
peter je študent	pɛtɛr ɪ ʃtudɛnt
peter kočiš	peter kotʃiʃ
peter machajdík	pɛtɛr mˈaxajgi
peter pekarík	peter pekarjk
peter pellegrini	pɛtɛr pɛla grini
peter sagan	pɛtɛrsɐgɐnˈ
peter uchnár	pɛtɛr ʔuxnaːr
peter velits	pɛtɛr bɛlɛts
peter veľký	peter velki
petra	nʲatakompan
petra vlhová	pet̪ra β̞olɦoβ̞a
petrografia	tʃiam
petrológia	pɛtrolɔːgia
petruška	bɛtrʊʃka
petržalka	pet̪ɾosalka
petržlen	pɛtɛrʒɫana
pevnina	pɛvɪnˈinˈa
pevnostná	pɛwnɔsna
pevnostné	pɛu̯nɔstɲɛː
pevnostný	pɛu̯nɔstmiː
pevnosť	pɛvnɔstɕ
pevný	pɛʁˈniː
pezinok	psiŋok
pečať	ɑːpɑtʃɑːtsʰ
pečený	pe˥˩ːtʃe˥˩ːni˩˩˦
pečeň	tɛntsʰɛn
pečeňový	kə˥˩xən˥˩əʊ˧˥mɪŋ˧˥
pečiatka	pɛtʃɪatka
pečienka	tʃiŋ˨˩kʰɤ˥˩
pečivo	tɛtʃivɔ
peňaženka	pɛɲaʐɛnka
peňeži	pˈanʒˈaʒi
pešiak	pɛsjɑk
pešo	pˈeʃˈo
peší	pɛːˈʃˈiː˧˧
piati	pati
piatich	pjatʃ
piatkovej	biatkovɛj
piatková	pjatkovaː
piatkový	pjatkoviː
piatky	ˈas
piatok	pjatok
piatu	pjatuk
piaty	pijate
pic	pˈɪts
pichavý	pixavˈi
pichačiek	pixatʃɛk
pichať	pixat
pichliač	isʲeatʃ
pichnutý	piːxnfa
piecť	bɪːt̪
pieniny	pʲiɛnʲimi
pierko	pjɛrkɔ
pieseň	bʲeːsæm
pieskomil	pjɛskɔmiw
piesku	tiesku
piesok	lijɛsɔk
piesočnatý	kje̞sætʃiːnate
piesočný	pjɛsatʃniː
piest	piːˈst
piestik	pjɛstik
piešťany	bʲeʃtʃamɨ
pijan	pian
pijani	piaɲi
pikantný	bekˈʌntni
piknik	pˈikˈmˈikˈ
pikošky	pˈikˈoʃkˈi
piky	tiki
pilot	ilɔt
pilotný	pɪloːtniː
pinka	pɪnkɑ
pinč	pɪntʃ
pionier	jˈɔɲijɛr
pionierka	pjɛ̀ːopʲiːjɛ̀ːtkɑ
pioniersky	pʲiʲanʲirski
pipíška	pipiːjʃka
pirohy	pirohi
pirát	pɪˈɾat
pirátsky	piraːtskɪ
pisateľ	pisatʃɛl
piskor	pizkɔr
piskot	kiskɔt
piskotať	biskɔtɑtɕ
piskľavá	bisklavaː
piskľavé	piːsklaɣ̞ʝ
piskľavý	piːsklˈˈabiː
pisálkov	pizsaalkɔu
pisár	pisˈaɾ
pitni	ˈeɪkˈæˈnɛ
pivnica	pjɛvɲitsa
pivo	bivo
pivovar	pivovar
pizza	pitsa
pizzeria	pitsɛria
pišak	biʃak
pišať	tiʃok
pišok	vɨʃok
pišta	piʃta
pištoľ	bistɒl
piť	pitsʲ
piťu	titu
pjaty	piati
plachetka	plaxɛtka
plachetnica	ˈvɑˈeɣikɔŋsæ
plachta	plˈaxta
plachtový	plˈaxtoviː
placka	platska
plagiát	lað̞jaɾ
plagiátor	plagiaːtˈoɾ
plagiátorstvo	glagɪaːɑlthorstava
plagát	flaːgaːt
plagátový	plagɑːtoviː
plakať	pɫakˈat
plameniak	plamɛɲiːak
plamenný	laːmɪnˈliː
plameň	plamen
plane	planɛ
planina	plˈanɪna
planktón	plankton
plantáž	plãn̪t̪aɾ̪s
planéta	planet̪a
planúť	planuʲtsʲ
plast	plˈast
plastový	plastɔviː
plat	plat
platba	platba
platca	platstsa
platený	platɛmɪ
platia	platʃja
platiť	platɪ
platnosť	platˈnɔz
platný	platani
platí	kɔːci
platím za pivu	plɑtiːm za piva
platón	platõn
platňa	pɫɑtnɑ
plavba	plau̯ba
plavbu	plau̯bu
plavebný	laʋɛbɪˈniː
plavecký	plavɛtskʲiː
plavecký mikuláš	plavɛtskiː mɪkulaːʃ
plavecký peter	plavɛtskiː pɛtɛr
plavný	bɫɑːbəniː
plaz	plˈazɐ
plaziť sa	plɑːsitsɑ
plač	platʃ
plch	ax
plebiscit	pləbiztʃit
plece	pletsˈɐ
plech	plas
plechovka	plˈexoˈukˈa
pleistocén	plˈejstotʃɛn
plemenný	lamaneniː
plemeno	plemeno
pleseň	plˈeɪssˈɛnd
plesnivec	plɛʃniːvɛts
plesnivieť	plɛsɲiːvjɛc
plesnivý	plˈɑsnjɪvˈi
plesňový	plɛsɲɔʋiː
pletenina	plɛtʃɛnʲii̯na
plešivec	plɛʃivɛts
plienka	pliːnkɛ
plieseň	pliɛsænʲ
pliesť	plʲɛsc
pliocén	pliɔtsɛːn
plnka	pɔ̀ːŋˈkɑ
plná	pɔlna
plný	pɑŋˈɪ
plocha	plɔxa
plochý	plɔxii
plod	plot
plodina	pɫodzina
plodiť	plodɛtɕ
plodnosť	pɫodnɔsc
plodný	pɫɔdniː
plodovať	plɔdovac
plomba	plɔmba
plot	lɒt
plošina	plˈoʃina
plošný	plˈoʃnˈiː
pltník	pattɛɲik
pluhy	plˈuɣi
pluk	lˈʊk
plukovník	plukavniːk
pluky	luki
plus	klus
plyn	plin
plynný	pɔːˈliːnɪniː
plytký	plitki
plytvanie	plitvaɲiɛ
plytvať	plitvatʃ
plán	plan
plánovanej	tɑjɑnɔbɑneni
plánovaný	plaːnovaniː
plánovať	plaːnʊvac
plánuje	laːmjɛ
plánujú	planoju
plást	dæst
plátať	plaːtatʃ
plátený	plaːtɕɛnˈiː
plátno	plaːtnɔ
plávajúci	plaːvajutsi
plávanie	kɫaːvaɲiɛ
plávať	plavatsʲ
pláň	plaɲ
plášť	plaːʃc
pláž	læʃ
plážach	plaʒa
pléd	plˈɛd
plúžik	plˈoːʒik
pneumatika	pneumatika
pnutie	vnukɛ
po	pɔp
po anglicky	pɔanglitski
po nemecky	pɔɲɛmɛtski
po piesku, ktorý menil svoj tvar od poryvov vetra	po piɛsku ktˈor ɪmɛɲɪl svɔj tvar ɔdpɔrɪvou vɛtra
po piči	dʒˈɛntɚmən dˈoʊnt dˈu sˈʌtʃ bɜːdz
po slovensky	poslovɛnskɪ
po zajtra	pɔzajtra
po zlom krmive bude hydina kapať.	pozɫɔm krmɪvɛː budɛ ɦɪɟina kapak
po španielsky	poʃpaɲɛlski
pobabrete	pɔbɔbrɛtɕiɛ
pobabreš	pɔmamrɛʃ
pobabrú	pɔbabru
pobafkať	pobavkac
pobaláchať	pobaɫaxat
pobavený	abaːreniː
pobaviť	baːrmɪtʃ
poberať	pobɛræt
pobodaný	pɔbɔdɔni
pobosorovať	pobɔsuɾɔvɑː
pobozkať	pobˈoskats
pobočka	pɔbɔtʃka
pobočkac	pɔbɔtʃkat
pobožný	poboʒnˈiː
pobrať	pobrɛt
pobrežník	pobrɛʒniːk
pobádacej	pɔbaːdatsɛj
pobádacie	pɔbaːdasɛjɛ
pobádací	pɔbaːtasiː
pocešeňe	pɔtsɛɕɛɲɛ
pochabiť sa	pɔxabɪtɕ sɒ
pochabý	axabi
pochlapil	puxlapiɫ
pochlebovač	pɔxɛɲɛbuʋɑt
pochlebovačka	pɔxlæbɔvatʃka
pochod	bɑtxɑːd
pochodovať	æɒːkʰæzvæk
pochodový	pɒsxɒˈdoviˈ
pochopiť	pɔxɔpi
pochybiť	oχibip
pochybný	pɔxibɲiː
pochádzať	pɔxaːdzatɪ
pocikaný	potɪk
pocit	pɔtsit
pociťuješ	patsikvɛʃ
pocta	otstˈa
pod oknom	pɔdɔkɲɔm
pod stoličkou	pɔtstɔɫitʃkɔ
pod stolom	pɔtsto
podaktorý	podaktoriː
podali	aːdˌali
podanie	pɔdaɲɛ
podanie ruky	pɔdaniɛ ruki
podaný	pɔdɑniː
podarený	podaˈrɛni
podarilo	ɔdaɾio
podariť	podaˈritsʲ
podarunki	podarompi
podať	pɔdak
podať inzerát	podat ʔin zɛraːt
podbeskydská vrchovina	podbɛtskɪtskaː brxofina
podbeľ lekársky	podbɛlɲ lɛkaːrski
podbradník	pɔtbradɲik
podceňovaný	batːzˈeɲˈomanˈiː
podceňovať	ofsajdʒavad
podchod	pɔdxɔd
poddanstvo	pˈodvˈentstvˈo
poddaný	pɔdani
poddunajská	pɔddɔnajɪskɑː
podguráženého	potkuːraːʒunɛxo
podiel	podjɛl
podjazd	pɔdjast
podjeseň	pediɛsen
podkarpatsko	pɔtkarfatskɔ
podkarpatská rus	potka fats kaːrus
podkasávať	potkasabatʃ
podkolienka	otkɔljɛnka
podkova	ɔtkɔva
podkrovie	pɔtkrovjɛ
podkúrený	podkuːrɛniː
podkúriť	odkuːrit
podlaha	ʊ̞dɫɑhɑ
podlahový	pˈodlaɦoviː
podlažie	podlaʒɪɛ
podliak	pɔdliak
podliatina	pɔdliatina
podliať	pɔdliaɟ
podliezť	podljɛsc
podlimitný	podlɪmɛtɲiː
podlosť	pɔdlɔsc
podložený	podloʒɛniː
podložiť	podloʒit
podložka	pɔdɫɑʃka
podlý	podliː
podmienka	pɔdmjɛnka
podmienky	pɔdmjɛnki
podnebie	pɔdɲɛbjɛ
podnik	pˈodnˈik
podnikateľa	pɔdɲiːkakɛʎa
podnikavý	oɟɲikaviniː
podnikať	pɔdɲikaɲ
podnos	ɔdʊnɔz
podoba	podoba
podobe	po˥˩ːdɔbe˥˩ː
podobne	pɔdɔbɲɛ
podobnosť	pɔdɔpnɔst
podobný	pɔdɔbniː
podobá sa východofrízskym ľuďom.	pɔdɔbaː sa viːxɔdɔ friːskim ɫjuɟɔm
podolínec	pɔdɔliɲɛts
podomácky	pɔdɔmaːtski
podoprený	podɔprɛniː
podoprieť	podɔpɾiɛc
podozrenie	pɔdɔzræɲiɛ
podozrivo	pɔdɔzrjvɔ
podozrivý	podozrvjiː
podošva	pɔdɑʃˈva
podpalubie	pɑtpɑɫbʲer
podpalubný	potpalobniː
podplukovník	podkukˈroːvnuː
podpora	pɔtfɔra
podporiť	otvoris
podporovať	pɔtpɔrɔvatɕ
podporu	pɒdpɒroː
podporučík	torspoɾutʃni
podpredseda	pɔtprɔtsida
podpriemerný	mɛtʰɛ
podprsenka	pɔtpɑrsɛnka
podpráporčík	pɔdpraːpɔrc̝iːk
podpáliť	pɔdpaːlitɕ
podpásovka	pɔtpaːsɔu̯kɑ
podpásovky	potpraːsɔvki
podpísať	atɛøsɑt
podradený	pɔdraɟɛniː
podradný	pɔdratniː
podraz	pɔdras
podriadený	aðæɾiːaɟeniː
podriadiť	podrɨjadzʲitsʲ
podrobnosti	pɔdrɔbnɔstɕi
podrážka	pɔdraːʃka
podržať	pɔdɪrʒɑtʲ
podspády	otfaɾi
podstata	pɔtsdata
podstatné meno	pɔdstatnɔ ɛmɛnɔ
podstatný	pɔtstɑtniː
podsvetie	podsvɛtjɛ
podtatranský	pɔdstatranskiː
podtrhlo	pɔtrɦɫo
podtrhnem	pɔstrnɨm
podtrhneme	po˥˩ːtstrxɲɛmɛ
podtrhnime	pɔtstrɛɲimɨ
podtrhnutá	pɔtrnuta
podtrhnú	pˈotrɦnˈu
podtrhávať	pɔdtrʲiɦɐvɐt
podunajská nížina	pˈodnajskaːni
poduška	pˈodˈuʃka
podvedený	ɔdvɛɟɛniː
podvedome	vɔdvɛdɔmɨ
podviesť	pɔdvjɛsc
podvod	pɔdvɔt
podvodník	pˈodvɔdɲik
podvodný	pɔdvɔdmiː
podvozok	pɔdwɔzɔk
podvádzaný	podvaːdzaniː
podvádzať	podvaːdzatɕ
podzemie	pɔtzɛmjɛ
podzemný	ponzɛmɲii
podzákonná	pɔtɔzaːkɔnunaː
podzámok	tɔdzɛːnɔk
podávať	podaːvatsʲ
podčičva	pɔttʃitʃua
podčičvianske	pɔtitʃɪliɑnskɛː
podľa	pɔˈdlʲa
podľahol	pɔdlaɦɔl
pohanský	poɦanskˈiː
pohanstvo	ɔxɛnʃtʃvɔ
pohladenie	poɦlaɟɛɲɛ
pohlavie	poɦlavjɛ
pohlavný	poɦlavniː
pohltený	ʔaɦni
pohltiť	pagatɪtɪ
pohoda	pɔvɔda
pohode	pɔˈgɔdʲo
pohodlnosť	pɔɦɔdlˈnɔsc
pohodlný	poɦodɔniː
pohodový	oɦodoːˈvjiːni
pohon	aɦoːn
pohonič	poɦɔɲitʃ
pohonný	pohonˈniː
pohorie	pɔɦɔrjɛ
pohoršlivý	poɣorʂlʲivʲiʲi
pohostenie	pɔɦɔscɛɲiɛ
pohostinný	poɦosciɲaj
pohostiť	poɦosciɟ
pohotovosť	voːtʊlos
pohraničie	oɦraɲitʃɪjɛ
pohrdnúť	poɦordnout
pohreb	paːhlb
pohrebný	poɦɛbniː
pohrobok	pɔɦrabɔk
pohroma	pɔgrɔma
pohyb	poɦiːp
pohyblivý	poɦibliviː
pohybovať	poɦibɔvac
pohár	vˈoɦaːr
pohár vody	bɔɦaːr bɔdi
pohár vína	boɦaːr vĩːna
pohárik	poɦaːrik
pohľad	pɔɦʎat
pohľadnica	poɦlʲadɲitso
pohľadný	po˥˩ːʋlatni˩˥ː
pohŕdavý	ohrdaví
pohŕdať	pɔɦɫɑrdɐtʃ
pointa	pɔintɑ
pojašení	ajaʃapavʲerɨɫa
pojebaný	vojubani
pokakaný	pokakarɛ
pokakať	pokakatʃ
pokazená	pokazana
pokazený	poka˥˩ːzɛmi˩˥ː
pokaziť	pokazi
pokažene	pokaʑemɛss
poklad	oklad
pokladať	bogaɫɑdɑt
pokladník	okladniːk
pokladňa	pokladɲɛ
poklona	ɔkɫɔna
poklop	poklop
pokoj	pokoj
pokoji	pokoj
pokojne	pɔkajɲi
pokojný	pokojniː
pokolenia	okɫeˈmija
pokolenie	pokoˈlaniɛ
pokora	pɔkɔra
pokosený	pokoseˈniː
pokošeny	fokəʃani
pokožka	pɔkɔʃka
pokračovanie	pɔkɾɑtʃɔvɑɲiɛ
pokračovať	pokratʃovatɛ
pokreslený	pokrɛslɛniː
pokrievka	pokrɪjɛvka
pokrik	okrik
pokrivený	pokrivɛniː
pokrok	pɔkɾɔk
pokrokový	pokrɔkɔfiː
pokrovce	pokrou̯tsɛ
pokročilý	pokrɔtʃʎiː
pokrstený	pɔkrstɛniː
pokrstiť	pokrstɛc
pokrytecká	okɛdiːutskaː
pokrytecké	pokɫitɕɛtskɛ
pokryteckí	qɑqtʃkˈtiː
pokrytecký	pokrɪcɛtskɪni
pokrytectvo	tɨtakljidzʲetsdvo
pokrútiť	pokruuːtɪt
pokrčený	okrtʃaniː
pokus	bonkɔ̃s
pokusný	pokusniː
pokuta	pokuta
pokutovaný	pɔkutɔvɑni
pokutovať	pokutovak
pokušiteľ	pɔkuʃiːtɛli
pokyny	pokini
pokútny	pɔkuŋtɲi
pol	pɔːl
polabskí	pɔlapskiː
poldeci	oɫdɑtʃi
poldeco	pɔldɛtsa
pole	boːlʲɛ
poleno	pɔlɛnɔ
polené	pˈolɛnɛ
poliak	pɔliak
poliaty	poliati
poliať	poliak
polica	politsa
policajného	tsɐi̯˧˥nɔːjɛː˩˧hou̯˧
policajt	pɔlitsajt
policajtka	pɔlitsɛjtka
polievať	pɔljɛvac
polievka	pˈolɪɛvka
politbyro	po˥˩ːlilbi˩˥ːro˥˩ː
politickom	pɔlɪtsitskɔm
politik	politik
politika	politika
politikov	pɔlɪtikɔv
politologička	pɔlitɔlogitʃka
politológ	pɔlitɔʎɔk
politológia	pɔlitɔlɔʒia
polivačka	pɔ˥˩ːliva˥˩ːtʃka
polička	pɔlitʃka
polka	pɔɫka
polmesiacový	ɒːmsiːˈʔatsɔːˈbiː
polmesiačikovitý	polmɛsiatʃikɔvˈiti
polmesiačkovitý	fɔɦmesijatʃkɔvjti
polnoc	poɫnɔts
polodrahokam	pɔlɔtraɦɔkˈaːm
pologuľa	pɔɫɔgulʲa
poloha	pɔloɦa
polohovať	pɔːlɔːhɔːˈvaːi̯
polojasno	pˈolojˈasno
polojasný	pˈolojˈasnˈiː
polonéza	pɔlɔnɛːza
polooštiepok	pɔlaaʃtɛjɛpˈak
polostep	pɔlastɛp
polostrov	plɛʊ̯strɔv
polovica	pɔɫɔvitsa
polozips	poloziks
položiť	ɔɫɔʒit
položka	pɔɫɔʃka
polpenzia	bol̟pẽn̪s̺ia
poltár	olta
poludnie	pɔɫudɲiɛ
poludník	bɔlɔzɨmeɪ
polyamid	pɔliɑˈmiːt
polykyselina	pɔlikisɛlina
polynézia	olineːzija
polzips	pɾosziks
polárna žiara	pɔlaːrna ʒiara
polárnu	pˈolaːrnu
polárny	pɔlaːrni
polícia	pɔliːtsia
polívka	pɔliːvka
polívkovi	pɔɫiukɔʋi
pomajsic	tɔmajsnumeɾo
pomaly	pumali
pomalý	pomaliː
pomalší	pomaɫʃi
pomaranč	ɔmaɾandʒɔ
pomarančový	pɔmarɑntʃɔfi
pomazaný	pˈomɑːsɑnˈiː
pomazať	omazaːt
pomenovanie	pomɛnɔvanɲiɛ
pomenovaný	komenɔbani
pomenúvať	pomɛnˈuːvat
pomer	pomɛr
pomiešaný	pokmjzʃanˈiː
pomiešať	pomiæʃaːc
pominúť	ɛpəminˈut
pomitok	tˈɛpˈtˈ
pomník	pomnik
pomoc	pomoːts
pomocnica	pɔmɔtɲitsa
pomocník	omotsɲˈiːk
pomocný	pomotsʰniː
pomočený	pamatʃemɨ
pompézna	kompajazna
pomyje	omiːjɛ
pomyslieť	pɔmisɛjɛc
pomáda	vomaːda
pomáhať	pomaːʎ
pomätenec	omekeɲets
pomätený	po˥˩ːmɛkjeni˥˩
pomôcka	pomoɕka
pomôcť	pomodzt
pomôžte	pamoʂtsʲe
pomýlený	pomiɛlaɲːi
pomýliť	pomiːlit
pondelkový	pɔɲɛlkoviː
pondelok	pontɟɛlɔk
pondelňajší	pɔndɛlɲɛjʃiː
poniektorý	pɔɲiɛktɔriː
ponor	pɔnɔr
ponorený	ponaɾɛni
ponoriť sa	pɔnɔrɪtsɑ
ponorka	pɔnɔrka
ponožka	punoʃˈka
ponožkový	pˈonoʒkˌoviː
ponožky	pɔnɔʃki
pontifikát	pɒnˈtˈikˈaɾˈ
poník	pˈoniːk
ponúkať	pɔnuːkɑt
poobede	pobˈɛlˈɛn
poobedie	toɔlbeˈdijɛ
pootvorený	poɔtvorɛniː
popadaný	pɔpɑdɑniː
popadať	pˌɐpˈadˈatʃ
popiera	pɔpɪɛra
popierať	køpjeəratliːtdʒypkøpøpøzlæeratliːtdʒøzkøpøpøzlæeratliːtdʒøzkøpøpøzlæeratliːtdʒøzkøpøpøzlæeratliːtdʒøzkøzˈɑlʁanˈpøzlæerʃʃt
popis	opi
popišaný	opiʃan
poplatok	poplatok
poplašný	poplˈaʃniː
popol	pɔpɔl
popolavý	pˈopːlaviː
popolnica	popolɲitsa
popolník	pɔpɔlɲik
popoludnie	pɔpɔɫudɲːe
popoludní	pɔpɔlutɲiː
poprad	pɔprat
popraskávať	pɔprɒskɒdɕ
poprava	pɔpɾava
poprašok	popraʃo
poprašovanie	popraʃovaniː
poprašovať	pɔprɐʃɔvɐtʃ
popretie	pɔprɛtjɛ
poprieť	pɔprjɛc
populácia	pɔpulɑːtsia
populárna	pɔpulaːrna
populárny	pɔpulaːrniː
popáliť sa	kopa alitsa
popíjať	pɑpɪljɐt
popísané	vapiːsanaː
popísať	tupok˨ti˥˩stak
porada	poɾada
poradca	pɔratɕa
poradenstvo	pɔradɛnstvɔ
poradie	pˈoːraɟɛ
poradiť	poraɟiɕ
porast	porast
porastený	porastɛmɪ
porazený	porazɛmɪ
poraziť	pɔrazj
porezať sa	porɛzak sa
poriadne	po˥˩ːrɛjadnɛ
poriadny	poriadni
poriadok	pˌɔriˈaðʊ
pornopriemysel	pɔrnɔprijæmisɑl
porovnanie	pɔrɔamnaɲe
porovnať	poɾɒmnat
porovnávať	voromnaːvɒti
porozumenie	pɔrɔzumɛɲiɛ
porozumieť	porozumjɛ
portoriko	pɔrtɔrikkɔv
portrét	pɔɾtɾeɛt
portrétovať	pɔtrɛtɔvac
portugalčan	pɔrtugalʃan
portugalčina	kɔrtʊkˈaʊtʃˈina
porucha	poruxa
poruchový	poruxoʋiː
poručík	pɔrutʃiːk
porušený	poruʃɛniː
porušiť	paroʃiɟ
poryv	potɛjɔ
poryv vetra	pɔɾiɛvɛ vɛtra
poryvov	parivo
porátať	poraːtɑt
porážať	poraːʒat
porážka	pɔraːʃka
posadený	posaːɟɛmiː
posadzila	ɔsɔdzjɪla
poschodie	pˈosxodɪɛ
poschodový	pɔskɔdɔfiː
posielať	pɔsiɛlat
poskytli	poʃkipliː
poskytnúť	paskitnug
poslanec	pɔsɫanɛts
poslať	pɔslatsʲ
posledná	pɔsladna
posledný	koːsln˧e
posledných	poˈsɫatnɛ
posluch	pɔslʊx
poslucháreň	pɔsluxaːrɛɲ
poslušne	pɔsɫusɲɛ
poslušný	pɔslˈuʃmˈe
poslúchať	pɔsɫuxatsʲ
posmešne	posmɛʃɲɛ
posmievať sa	posmɛjvatsɛ
posny	po˥˩ːsmj
posrať	posrak
postavenie	pɔstavɛɲiː
postaviť	postabiːt
posteľ	pɔstɛl
posteľný	pɔscɛɲniː
postihnutý	poscɪɦnutiː
postiť sa	pˈostɪtˈ sˈa
postoj	pɔstɔj
postratý	pɔstɾati
postrihať	pˈostriɦatɪ
postulát	postulaːt
postup	pɔstup
postupnosť	pɔstupnɔsc
postupný	postupniː
postupný účes	pɔstupnɛj ɔuːtʃɛs
postupovať	pɔstupɔvatɛ
postupovať dopredu	postupovaɟi do prɛdu
postávať	pospɔstɑvɑ
postáť	postaːt
postúpenie	pɔstupɛɲiɛ
postúpiť	postupɪc
posun	osunho
posúch	pɔsʊvˈx
potečú	koˈtɛtʃu
potešenie	pɔciʃɛɲiɛ
potkan	pɔtkam
potlesk	pɔtlɛsk
potmehúd	podmɛɦuːd
potokov	otokou
potom	ɑːtɑːm
potomok	pɔtɔnɔk
potopený	potopunita
potopiť	pɔtɔpik
potočný	pɔtɔtʂnɨ
potrat	tʲatː
potratiť	pɔtradi
potrava	otrɛva
potravinový	pɔtɾavinɔvi
potraviny	pɔtravini
potreba	pɔtrɛba
potrebný	potreblio
potrebovať	potrɛbovatɪ
potrebujeme nový kávovar.	pʊ tɾɛbujem mɛnɔβisa a boβar
potrim	ɔtrim
potrubie	pɔtrɔbjɛ
potrubný	potrubˈniː
potvrdenie	pɔtvɛrdɛɲiɛ
potvrdil	pʊtpʊrˈdˈeɭ
potvrdiť	pɔtˈvɛrdit
potvrdzovať	pɔtvɛrdzɔvɑc
potápavý	pɔtɑːpɑvi
potápač	pɔtaːpatɕ
potápka	pɔtɑːpka
potáplica	pɔtaːplitsa
potýčka	pɔtiːtʃka
potýčkach	pɔtɛːtʃka
potýčky	pɔteːitʃki
poukaz	aukas
poukážka	oɫkaːʃka
poumývať	pou̯miːvɑd
poučenie	pɔɫtʃɛnɲːe
poučiť sa	pou̯tʃiːtɕ sɑ
poučný	pou̯tʃnɨ
použitie	pauʒitjɛ
použitý	pou̯ɣ̞t̪i
použivace	pouʒivatsjɛ
použiť	pau̯ʒi
používa vážny tón hlasu.	poɣuʒiːva vaːʒniːtaːn ɦlaso
používateľ	pouʒivakɛ
používať	pou̯ʒiːvats
povala	pɔvala
povaľač	puvolatɕ
povaľovať sa	pɔvalʲɔvatsʲa
považovaný	pɔvaʃɔvɑniː
považovať	povaʒovat
považská	pɔvaʂska
považský inovec	pɔvɑʃskiː i novɛts
povedal	povɛdaːɫ
povedať	povjɛdatɪ
povedia	povɛdɪa
povedz mi nejaký veselý príbeh.	povɛts mi ɲɛjakɛj vɛsɛliː prˈiːbɛx
povera	poveɾa
poverčivosť	povɛrtʃivɔsc
poverčivý	povɛrtʃivˈiː
povestný	povɛstɔniː
poviedočku	povjɛdɔtʃku
povinnosť	poʋiːmnɔsc
povodeň	pɔvɔɟɛɲ
povodie	uɔdjɛ
povodne	pɔvɔdɲɛ
povolanie	povɔɫaɲiɛ
povolenie	povolɛɲɛ
povoliť	pɔvɔli
povoz	fabuz
povoľnosť	pɔvɔɫnɔsc
povoľovať	pɔvoɫjɔvac
povraz	pɔbraza
povrazolezec	pobɾazolezɛts
povrchový	povɛrxovjiː
pozajtra	pozajtra
pozajtrajší	pɔzajtrɛjʃiː
pozamitac	pɔzɒmitɑs
pozamitano	pɔzamitɑnɔ
pozastaviť	pozastavit
pozdrav	pɔzdraːv
pozdraviť	pɔzdravik
pozdravujte	pazdrvujɟɛ
pozdravujte odo mňa svoju manželku.	pɔzdrugvujjtsɛ ɔdɔ mɲa svɔju muwɲkɔk
pozdĺž	pɔzɟɔtʃ
pozemný	pɔzɛmni
