1	jæːj
汝	na
汝厘	mjilej
汝啦	niva
汝好	nʲiɦæ
汞	kɔ̃
江	tɛːm˧
江东	koŋtˈoŋ
江北	kɑŋpɔ
江北人	kɔːŋ˧pɔː˧˥
江北岸	ko˨˩pɛk˥ ma˥˩
江南	koːne
江南大学	u˨˩taː˧˥
江厦	kɔ˥˥wɔ˨˩˦
江山	kʰuːsɔː
江東	kow˨tʊ̃ŋ˥˩
江東方言	kuton foːiːn
江泽民	dãntðəmniː
江浙	koɴsɒ
江浙人	kutsɨjna
江澤民（江泽民）	kã˥˥sən˥˩ mɪŋ˧˥
江苏	kɑ˥˥sɯ˥˩
江苏省	kʷɔː˧sɐu̯˥ saːŋ˨
江蘇	kuːsɔː
江蟹	kuxa
江蟹生	kuhasaː
江西	kɔː˧˥si˨˩
江西人惜寶	kʰoŋ˨˩sip˦ oŋ˧˥sip˥pʰu˥˧
江边洋子	kaːpˈjˈanˈtsˈ
江阴	kã˥˥
江陰	kɑŋ˥˥u˨˩˦
江陵路	tɕjɑŋ˥˥li˥˧ lu˨˩˦
池	dˌiːzə
池塘	sɯ˨˩˦
池水	tsɯ˥˥
污	œ̃n
污染	vnˈi
污浆	m̪t̪jˈɛ̃
污蛆虫	ʁʊtsidʒo
汤	tɔ
汤团	tʁˈɛn dˈy
汤婆子	tʁɑ̃tˈtˈs
汤汁	taːntsɯ
汤溪	tʰau˥˥sĩ˥˩
汤碗	tʰɔ̃ˈweɪ
汪	dɑ˥˩
汪兆銘	u˨˩˦ i˥˩mən˧˥
汪兆铭	wɑŋ˥˥ zo˥˧
汪牙	wɔːŋa
汪精衛	wãn˥˥ tiŋ˥˥ wue˥˧
汪精衞	wŋ˨˩tsĩŋ˥˥ wue˨˦
汰	a
決	ɕʰɯ̞
汽水	tʃiː tsuː
汽車	tsiː˥˧tsuː˨
汽车	tɕʰi˧˧tsʰoʊ˨˩˦
汽车站	kiː tʃoːzɑː
沃	u
沈	sŋ˥˩
沈万三	tsʰən˥˥ fj˧˧e˧˧
沈如筠	sən˥˥ʐɚ˧˥ɥœn˧˥
沈家门	sŋ˥˥ka˥˥mŋ˧˥
沈德鴻	sã˥˥tau˧˧
沈惟敬	sãn̪gitʃe
沈阳	sɪ˥˩
沉	tsaŋ
沉坑	tsaŋ˨˦kʰa˥˥
沉着	tsandʒo
沉重	sɛ̃ˈzaˈ
沉香	sã˥˥sĩã˨˩
沒	mˈa
沓	dˈo
沖	tʃoŋ
沖縄	tɕʰiŋ˥˥sĩŋ˨˩˦
沖縄独立運動	tsiŋ˨˩ tʰau˧˧ li˨˩˦ jʊŋ˥˩ tʰau˧˧
沙	sˈu
沙发	sufa
沙和尚	suivˈɛn
沙头	suːdɔ
沙尘	duzˈɑ
沙泥	sʊ̃˨˩n˧˥i˨˩˦
沙發	tohˈo
沙發椅	sofoːˈiːn
沙糖桔	suː dˈɑntʃʊ
沟	fˈriː
沟通	kio˥˧ tʰʊŋ˨˩˦
没劲	matʃin
没想到	maaɕaɴto
没意思	man˥˩i˨˩˦tsɯ˧
没钱	matsʰɔpʰjɔ
没问题	ma vendɪ
沥	lɛ̃˨
沧浪	tsʰaː˥˥lɔː˥
沫	mˈœ̃
河	vˈuː
河内	vˈu nˈaɪ
河北	auˈpˈa
河南	pau̯ nai̯
河南省	u ny sɛn
河头村	ʂu˨˩˦tɕjɛ˥˥ʂu˨˩˦tɑʊ˥˩ʈʂʰɚ˥˩
河姆渡	ɢɑːmudˈɑ
河虾	ufu
河蚌	ɑːbɑː
河豚	rɛj siŋgɛnk
河道	aˈsɛnɑtˈs
河鰻	vˈə
河鲫鱼	hɑʊ˨˩˦
沸	f˨
沸沸扬扬	fi fiiaja
沸点	fˈɛztˈ
油	jˈɤ
油卵	jà˨˩lâ˧n˨
油墨	y
油条	juːdɔ
油條	ʔaːw˧
油漆	tɕʰɛː
油漆人	dʑo̞a̠w̜ tsʰæːnʲæ̹n
油炸桧	y˨˩˦tsu˨˩˦kweɪ˥˥
油田	juːˈdiː
油箱	y
油紙	mjaltsi
油紙袋	aɻ˧˥tsɯ˥˥i˥˩di˧˧
油繩	ja
油纸	joʊ˥˥ʈʂɚ˨˩˦
油纸袋	jɑʊ˥˥tsɯ˥˩ te˨˩˦
油腻	ʁyni
油菜	ɕ
油衣	joʊ˥˥i˨˩˦
油豆腐	ʒˈˈʁiːvɑ̃
油酥饼	y˨˩˦sou˥˥pin˨˩˦
油鈿	ʝau̯ti
油钿	jau˨˦
油面筋	y˨˩˦ mi˨˩˦tɕɪn˥˥
油饺	ɕʈʂoɔ˧˥
油香	nˈoːsɛʁ
油（ghiau4）	dʒoau
治	tsɯ˧
沿	jˈe
泄	e
泅	tsa
泅魚	saow̃
泉	n
泉州	y˨ʈʂoʊ˥˥
泊岙村	po vˈɛtʃu
泌	pi˨˩˦
泔	ke
泔脚	ɢɛtʃɐ
法	fa
法令	fæˈlæn
法兰克-普罗旺斯语	pʰaːn˩˩˦eːkʰakːpʰun˩˩˦aw˧ʔiː˥
法兰西	poˈlo seˈi
法制社会	fatsɛ zʊə
法則	fˈakˈ
法医	faiː
法华镇路	fɑːfˈuːtənlɑ
法国	tsuʁa
法国人	fakɫɛnɪm
法國	faka
法官	fok bɨt
法律	falˈ
法戒	fˈɑkˈa
法术	xu˥˥
法海	fˈaːe
法罗群岛	foloʊjˈonte
法罗语	foɾˈɔnd
法蘭西	folo se̞iː
法語	ʂɔ˨˩˦y˧˥
法语	fˈɔːnˌiː
法轮功	a˦˥lan˥˩kʰoŋ˥˥
法院	fˈaɪv
泡	pʊˈɛ
泡沫	homˈlø
泡茶	bko˥˩
泡虾	po˥˩xu˥˩
泡豆腐	pʰɤ˥˩ tʰɤ˥˩fu˥˥
泡饭粥	pɔ˥˥we˨˩˦tsu˨˩˦
泡麵	pɔmɪ
波	pau̯
波兰	oːl�ʊ
波动	pu˥˧dʊŋ˨˩˦
波恩	vˈɛˈ
波折	pˈut
波斯	tsu˥˩
波斯語	pu˥˩sɯ˥˥ni˨˩˦
波斯语	po˥˩sɤ˧njɛ
波浪	puɫa
波瀾	tɔlo
波羅蜜多	pɑlɑ metˈtɑ
泣	jʊŋ˨˩˦joʊ˥˩tɕʰjɛ˥˩ʈʂʰu˥˩   ʈʂkʰɤ˥˩pjɑŋ˥˩
泥	ne
泥水	ni˥˩ sɯ˥˥
泥水人	nʲi˥˩ʈʂynjɛŋ˨˩˦
泥水老司	ni˨˩˦ ʂɚ˥˩lau˨˩˦ sɯ˥˥
泥沙	nʲiz˦
泥鰍	ni˥˩tɕʰɪ˥˥
泥鳅	n˩˩˦i˨˩˦tɕʰy˨˩˦
注	tsɯ˥˩
注意	tsɯ˥˩ i˥˩
泪	lə
泰	tʃas
泰国	tɐkːwˈe
泰國	tʰa˥˥kwɐn˨˩˦
泰語	tn
泰语	tɛn
泰順	tasɔŋ
泳	jʊŋ˨˩˦
泳衣	jʊŋ˨˩˦
泸	la vˈɛ
泸州	lou˨˩sɯ˥˩
泼	tɔː
洁	dʒe
洁白	kə ba
洅	tsaɪ˧˥
洋	dˌiːzə
洋娃娃	jɑŋ˨˩˦wɑː˥waː˨
洋山芋	jesas
洋师太	jˈastˈ
洋氣	ieti
洋河	jeɣo
洋泾浜	ja˨˩˦ tɕɪn˥˥ pa˨˩˦
洋火	jɛfu
洋灰	jɛ˥˥kʰu˨˩˦a˥˧
洋煝头	ʲamidɨ
洋瓦	jœn˨˩u˥˩
洋番薯	je foːzi
洋皂	jæŋzɑ
洋皂粉	jæn zɑːfən
洋盘	jaːmˈbɯ
洋肥皂	jaŋ˨ zi˥˩dɑ˥
洋芋	jɛː˨
洋芋條	eʊ ðiɾəm
洋芋片	mjɛː˥˥
洋芋艿	jɛ˨˩˦ u˥˩nɑ˥
洋葱	ja˥˥tsʰoʊ˥˥
洋行	jɑŋ˨˩˦
洋货	jɛfːo
洋辣子	aɾa tsɯ
洋鈿	jedi
洋錢	nini
洋钿	ʝaːd̪i
洋铁	mjalˈte
洋铁碗	jankjoɯ
洋风炉	jˈa ɛt fˈɔ̃ lˈɔm
洋鸭	ja
洋龍	dˌiːzə
洋龙	jɛn˨˩˦lʊŋ˧˥
洋龙车	iˌɛnlˈʌŋtɕʰuː
洒	sˈa
洗	sə
洗头	na˥˩tə˥˩ʊ
洗手槽	tɕʰi˧˧ɕjɛ˨˩˦  tsuɔ˧˧
洗手池	sɪsɪeu̯tsɛjɪŋ
洗手盂兒	sajs˦˥oː˧n˩˩˦
洗沙	ʂɚ˥˩
洗沙馒头	ʂɚ˥˩soŋ˨˩˦meɪ˧˥teɪ˧˥
洗浴	sigmo
洗澡	ɑ̃˨
洗生娘	se˨˩˦saː˩˦niː˩˧
洗碗槽	si˥˧weɪ˥˩
洗衣机	tˈa i˥˧lɑŋ˨˩˦ tsi˧˧
洗衣液	fˈaː
洗衣裳機	sa iːtːi
洗面	sajmɯ
洗面台	seme de
洗面奶	sejmina
洛	lˈo
洛夫	lo fˈuʁ
洛杉矶	nˈo tse
洛陽	naia
洛齐语	lə tʃiŋ˨ˀ
洞	tɔŋ˨˩˦
洞洞	tʊŋ˨˩˦tʊŋ˨˩˦
洞洞眼	tˢo̞ŋto̞ŋˀɛ
洞眼	tʊŋ˨˩dʊŋ˥˩ʰan˥˩
津	tsoŋ˨˩
津津乐道	tsiːn˥˥tsiːn˥˥ lɔ˥ tɑ˥
洪	oŋ
洪长兴	hʊŋ˨˩
洮	dʒo
洲	tso
活	wˌa
活动	wa dɔːŋ
活動	uɔ˨˩˦tɕʰy˥˩
活外皮	pugabaj
活灵	volim
活灵吓出	pɔ˥˥lɪŋ˧˥ xu˧˥tɕʰy˨˩˦
活稽	pɔ˥˥tsi˥˧
活络	wɑnˈɑ
派	p
派出所	patʂaw
派头	pado
派斯牌	pazimile
派派	pɑːp
流	ljˈu
流亡	lə- mˈa
流传	lɑʊ˥˥tɕy˧˥
流失	lou˥˥sai˥˧
流感	lɔːkˈɛ
流民	lɔːmɑŋ
流流蕩蕩	ljoʊ˨˩ljoʊ˨˩tɑŋ˥˥ tɑŋ˥˥
流程	lœ̃zɛn
流须	li˥˩sɪl˨
浅	tsxʰiː
浅蓝色	tɕʰi˧˥la˥˥sɤ˨˩˦
浆	kia˥˧
测验	tɕˈaːnˌiːnˌ
济公	sˌiːkˈɔ̃
浏览	ljˈuːnˌeː
浓	ljoŋ˨˩
浓厚	n˧˧ioŋ˨˦ai˥˧
浓度	nˈoŋ dˈu
浙	sə
浙南魚麵	tsa˨˩hŋ˥˩
浙江	tʃkɔ̀
浙江大学	tsiː˧˥kɔːŋ˧˧taːʔ˨
浙江省	tsukoɯse
浞	sɒ
浞雨	sweɪ˥˥ʐɚ˥˩
浦东	fɔtˈɑ̃
浦东新区	pʰu˥˥tʊŋ˥˥ ɕɪŋ˥˩
浦城	kɛˈaluzən
浦東	fut˨˩
浦江	fuk
浦江麥餅	koːˈgaː mæn pæeːn
浪	lɑ̃
浪头大	nɔːnːdɛːʔdɑːɬ
浮	fɔː
浮屠	tɑ̃ɾɯ
浮薸	fˈpˈɔ
浮霞墩	atˈen
浴	jo
海	hˈe
海军	hɛ˥˥tɕyn˨˩˦
海南	enaj
海口	hikːauː
海宁菜	xɪ˥˧ ntsʰu˨˩˦
海寧	xˈiɲa
海岛	xit˦
海岸线	hŋ˥˩sì
海峡	io
海带	xit̪a
海帶	tʃitˈa
海平面	kibŋ˨˩mɪŋ˧˥
海底	he˥˥ti˨˦
海报	he˨˩˦po˥˩˦
海拔	hˈeɪbˌɑ
海曙	ʃɨ
海棠	he̞ɾa
海洋公园	hæi̯˧aŋ˨˩ koŋ˥˥
海派淸口	kʰeːpaː˧tɕʰiŋ˩˩˦kʰɔːm
海滩	hete
海碗	xʏ̞jwe
海芥菜	kʰiːkɑtsɛ
海蛇魚	ʃiːzɪŋ
海蜇皮	ˈɛs ˈabˈi
海螺	hilo
海關	ɦi˥˧kʷɔ˨˩˦
海防	a
海风	aɪfˈɔ̃
海馬	imˌ
海馬漦	ʃimˈozi
海鮮	hẽ˨˦si˥˧
海龍	kɪ̞m
浸	dʒu˥˩
涂	dau̯
涅槃	nˈe pøː
消	sjoʊ˨˩
消化	ɕy˥˥xu˥˥
消息	sɕi̥o̞ɕa
消散	sa˨˩
消极	syøge
消毒	ɕy˥˥tɑʊ˥˩
消费	siafˌi
涉	fse̞
涛	tɔː
涡	tɛm
润	θɛn
液晶电视机	je e ti iuzɯtsit
涼	ljɛ
涼茶	ljɛ˨˩˦ tsu˨˩˦
涼陰陰	lɪ˧˥jɑŋ˨˩˦jɑŋ˨˩˦
涾	dˈɔ
涿	to
涿州	toksɨ
淅淅淡	se se
淋	nən
淋浴	lŋˈjuː
淑	sɔ
淑女	sãnʒi˨˩
淘	tɔ˧˧
淘伴	dˈɛb
淘宝	topo
淘戏	tɔ̃ˈʃi
淘浆糊	to˧˧tɕʰau˧˧
淘箩	tɔlɛn
淚	lə
淞滬	sʊŋ˥˥u˥˩
淟汰	tʃit˦a˥˧
淡水	dˈɑ̃ke
淡水鱼	dˈe sˈʌm
淡滋刮搭	deːtsɯgatːa
淩	lɯ̞ŋ
淫	jɪŋ˨˩˦
淫荡	imda
淮	va
淮豆	vˈadəʊ
深	sən˥˥
深厚	sɛ
深呼吸	sən˥˥hʊ˨˩˦
深圳	sanaː
深处	sen˥˥tsʰɯ˨˩˦
深奥	sɯ˥˥ aɻ˥˩
深山	sɛn˨˩se
深山野墺	sin˥˥sẽ˥˥ ja˧˧ɔ˧˥
深思	ɕɪŋ˥˥sɯ˥˥
深海	sɐn˥˥hɛː˥
深造	seɴˈze
淴浴	xojo
混作一谈	wɑŋ˨˩˦tsuɔ˥˩jɛ˥˩tɕjɛ˥˥
混堂	wan˨˩tɔ˧˥
淹	i˥˩
淺	tɕʰi˧˥
淺五更	tɕĩŋ˨˩˦ka˥˥
添	tʰɤ˥˩
添加	tyʁkia
清	tɕʰiːn
清亮	tsĩŋ˥˥liãŋ˨˩
清净	seən˥˥
清化	tsɯ˥˩
清明	tɕʰɪŋ˥˥mɪŋ˧˥
清明節	tseŋ˨˦mɑŋ˥˥tɕi˨˩
清明节	ɕi̥mĩŋ˨˩ʑɛ
清明餅	sŋ̟˥mãn̪kʰuːn˥˩
清水	tɕʰjɛn˥˥ɕy˨˩˦
清水相	sɯ˥˥ sɯ˥˥
清水麵	tsʰi˥˥ sɯ˥˥ li˨˩˦
清洁工	sĩ˥˥kũŋ˨˩
清清楚楚	tsʰi˥˥ tsŋ˥˥sŋ˥˥
清清爽爽	tsĩŋ˨˩tsĩŋ˨˩sõː˥˥sõː˥˥
清溪花鱉	tɕɪŋ˥˥ ʂɤ˥˩xu˥˥
清濁	aɴnʈu
清灵	tɕʰɪn˧n
清爽	tsiŋ˨˩sǎŋ˥˥
清真	tsʰaɪ˧˥
清華	tsĩŋ˨˩ua˨˦
清辅音	tɕɪŋ˥˥fu˧˧
清迈	tsʰi˥˩ ma˥˩
清醒	tsiŋ˥˥sin˥˥
清除	tsɤŋ˥˥tsɯ˧
清雅	tsĩ˥˥ joʊ˨˩˦
清音	sã˥˥lia˥˩
清頭	tseŋ˨˩tʰou̯˨
清风	tɕʰɪŋ˥˥fʊŋ˨˩˦
渔港	n˩˩˦i˥˩ kɔːn˧˥
渔船	mən˧˥ɑ˨ʂu˥˩ xwan˧˥tɕʰjɛn˧˥ ʂu˥˩
減	k
減法	te˥˩fˈaː
渠	dˈi
渠倈	kile
渠厘	gjle
渠啦	kija
渠拉	kelˈla
渠搭	gira
渠等	idˈɔ̃
渡	d̪au̯
渧	t̚˥˩
温	uən˥˧
温和	wan˥˥hou˧˧˧
温室效应	pʰiːn˧˥saː˩˧
温室气体	sa˨˩
温家宝	un˥˥ tso˥˧ pãʊ˨˩
温州	y˥˥tɕjɑʊ˨˩˦
温州话	y˥˩tɕjoʊ˨˩˦wɤ˥˩
温床	wən˥˧tsa˨˩
温文尔雅	wɤ˨lɤ˨˩˦lɤ˧˥
温暾暾	uən˥˥tʰən˥˥tʰən˥˥
温暾水	uˌɛntuˈŋzˌiː
温柔	uən˥˥zə˥˩
渫	sã˥˥
渫尿	tsa˨˩˦si˥˩
渫尿出	tsa˨˩˦si˥˩tsʰɤ˥˩
渫污	tsam˨˩
渫污出	tsʰa˥˥
港	ku˥˩
港口城市	tkɔ˥˥sən˨˩˦ tzi˥˩
港蟹	kuxˈa
渳	mi
渴	χ
游	lɛ
游击队	ˈy kˈa dˈi
游客	jɯ˨˩˦ kʰɤ˥˩
游戏机	jøzɨzɯ
游泳	miau˧˧
游泳池	y˨jʊŋ˥˥tsɯ˧
游荡	jˈu dˈoʊnt
湄公河	mei˨˩˦tʰoʊ˨˩˦
湊	tsʰaːm˥˩
湊巧	sɔː kɔː
湊起	tsʰau˨˩ tɕʰiŋ˥˧
湖	hɛ̃
湖北	ulˈkw
湖南	munaj
湖州	ɔːtˈin
湖州大餛飩	hou̯˧˥tsiː˧˥ tʰou̯̯˨ wɐn˧˥ lɐn˨
湖州新市張一品醬羊肉	y˨ʈsɤ˥˥ ʂɪŋ˥˥tsy˥˩ʈs pʰiŋ˥˥tɕjɑŋ˥˥ʈʂɤ˥˥jɑʊ˥˥ljoʊ˨˩˦
湘	ɕjɛ˥˥
湘語	akis
湛	lɛʁdɛː
湮没	a
湯	tɔː
湯婆子	tɔ̃bɔːz
溃	guì˨˩
溏	du
源	ljoʊ˨˩˦
源头	miw˨˩satʰan˥˩
準	sɔ̃
準備	tsʊŋ˥˥meɪ˨˩
準確	tsun˧˧
溚溚渧	ta ta ti
溜	ləʊ˨˩
溪	tsɯ˥˥
溪坑	tɕʰi˨˦ kʰa˥˥
溪斑	tɕʰi˥˧pɔ˥˥
溪鰻	tʃjmu
溫	nˈu
溫嶺	láŋ˧˥lən˧˥
溫嶺嵌糕	ŋ˨˩li˥˩ ka˥˥ kɔ˨˦
溫嶺話	wɑŋ˧˥ ləŋu˧˧
溫州	uən˥˧tsən˨˩
溫州話	y˨˩˦tsou˥˩u˥˩
溫度	dau̯
溫暖	tɾˈaɪnˈla
溴	ɕy
溶	joŋ
溶液	i˥˩
溶解	jʊŋ˨˩˦
溶解性	jʊŋ˨˩˦kã˥˥sin˨˩˦
溻	hɑ
滅	mĩŋ
滋五十六	tsˈɛːnzˈalˈɔ
滋味	tsɯ˥˩ mi˨˩˦
滋润	tsiːˌvənˈ
滑	fla
滑外皮	wan˦˥a˥˧bi˧˧
滑头	ɔːˈdiː
滑头码子	pɤɾˈa mˈoːnkˈt�ʃˈ
滑头货	wa tɪxl
滑挞	wɔtɑ
滑挞精光	wat˦a˥˥tsĩŋ˨˩kũã˥˥
滑溜	pɔ˥˥lau˥˥
滑溻	wtˈa
滑皮	wˈabˈi
滑皮番莳	wˈʌt ˈeɪ fˈɛɹzənt
滑稽	uat˦tsɯ˥˥
滑稽戏	uat˦zɯ˥˥sɯ˥˥
滑翔伞	wa̞s̺e̞ɔ̞n̪s̺e̞
滑铁卢	wˈɑstˈɛlˈɑ
滕	dau̯
滕丁炮	dˈʌn pˈˈɔ
滕王阁	deɴɰᵝanko
滗	pjɛn˨˩˦
滚水	kan˥˥sɯ˧˥
满分	mˈɔ̃fˈɛn
满意	mwaˌiː
满江红	mui˨˦kuɔ˥˧hʊŋ˧˥
满足	maitsa
满门	mø̞mæn
滥	la
滥卤卤	ʔlɤːlɤːlɤː
滥吃滥用	le tʃʰɛ˨˩le˥˩joʊ˨˩˦
滥溚溚	dajataka
滥滥湿	la elˈɛsa
滥荡	lɤ˨
滨和路	pɪŋu˥˥lu˥˩
滨康路	pɪŋ˥˥kʰaŋ˥˥ lu˨˩˦
滨江	pɪŋ˥˥kɑŋ˨˩˦
滮	iˈin˩
滴	ðeɪ
滴耳油	ðeɪɚjˈu
滾	tɑŋ˥˥
滿	mˈœ̃
滿月	lœ̃nˈy
滿江紅	muːj˧kɔ˧hɔ˧ŋ˧
滿洲	moi̯
漂	pʰ
漂亮	pʰi˧˥
漂白	pjoba
漂白粉	pˈʏɾbafˌɛn
漆	tɕʰeː
漆雕	tsʰæˀːtɪn˧
漆黑	mɤ˧˥lɤŋ˨˩˦ʰtsʰɯ˥˩xɤ˧˥
漏	lou˥˩
演员	iː˥˩yː
演唱会	i˥˧tsʰau˥˥e˨˦
漢堡	hʏbæ
漢堡包	tʃapelisto
漢字	xøøz
漢方	fˈɔː
漢族	tɛn˥˩sau˨˩˦
漢服	lɛʁu
漢本位	hihˈhɪ
漦	aɪ̞n
漩	ɕi˥˧
漩涡潭	tɕi
漫	me̞
漫步	nˈe puˈo
漫画	ma˨˩ɛː˧w
漳州	tɕʰi˥˧hɤ˥˩ tso˨˩˦
潒河	tʰiã˥˥
潘	p
潜在	tsʰjɛn˨˩˦tsaɪ˥˩
潤	lɔː
潤糟	pl
潭	pɛ
潭壶	tɨvˌɛl
潮	t˥o˥˩
潮州	tɕy˨˩˦tsou˥˥
潮柔柔	tswˈaːnjˈnyː
潮炄炄	sɔ̃ ynˈy
潮音桥	tɕo̞jnɕo̞
潷	pjats
潽	fˈɛ̃
澆	ko˥˥
澡	tsɔː
澡浴	tsɑːjˈo
澤	za
澳	ɛ
澳大利亚	poːˈdˈɑːriː˧a
澳洲	odˌ
澳門	emal
澳门	ɔːmɑː
澹台	te˨˩re˧
激光	tɕʰjɛt˥kwɑŋ˨˩˦
激光枪	tɕi˥˥kwɑŋ˨˩˦tɕʰjɑŋ˨˩˦
激发	tɕˈe fˈa
激增	tʃʰtˢsɛn
濁	dˈu
濁化	tʃoʊ˨˩˦u˥˩
濁音	tsu˨˩˦jɑŋ˥˥
濃	niaw˧
濎	tɛn
濟	seɪ˧˥
濟南	sæjˈnɛ
濟團牙	tsiːrɯːnˀɑ
濟手	sˈeɪs sˈoʊ
濟熱	sˈiːɲa
濟筆	tsi˨˩pik˥
濟面	estas
濮	u
濮陽	tɨ puː jɛ
濱	tɔ̃n
濽	tsu
瀉肚	sˈeɪdəʊ
瀊	pe˨˩˦
瀋	tsa
瀋陽	tsaŋ˥˥
瀴	jɛ̀ːŋ˧˧
瀴靜	jɑŋ˨˩˦sən˥˩
灘	tʰɛː
灣	uɔ˥˩
火	hɑl˥
火头	halda
火山	pʰaːsaj
火气	hou˨˩˦tsi˨˩˦
火熜	ʈsou˨˩
火眼金睛	hŋ˥˥e˨˦tsĩ˥˥tsĩŋ˥˧
火着	fʊtsjˈu
火箭	hau˨˩tsi˥˧
火腿	ʂu˥˥tʰaɪ˧˥
火腿肠	ʂu˨˩˦ tʰaɪ˧˥tɕjɛ˨˩˦
火萤台	tʰu˧˥
火藥	fou˥
火蟻	ʂu˥˥
火表	hupi˥˧aʊ˥˧
火車	bɔːnˈtsoː
火车	aɫtsɑ
火车票	ho˧˧tsʰau˥˧pʰio˨˩
火车站	fu˥˧ʈʂʰɤ˥˥ʈʂɚ˨˩˦
火钳	pɔ̃dˈi
火铳	ho tsʊŋ
火锅	hˌoːa
火龍果	hau˧˧lŋ˨˩kau˧˧
灭口	mikː
灭族	miːtsɯ
灯	sɯ̞ŋ
灯塔	tən˥˥tʰa˨˦
灯芯绒	san˥˥sion˨˩
灰	tˈwˈaɪ
灰色	pɐisɐ
灰颜色	wˌɛ̃ lˈɛ̃kˈtˈ
灵	lɪnˈ
灵光	lĩŋ˨˩kʷa˥˥
灵机一动	lĩŋ˨˩ tɕi˥˥ tʊŋ˨˩
灵清	liŋ˨˦tsʰin˥˥
灶	tsuɔ˧˥
灶头	tsɤ˥˥tɪ˥˩
灶根间	saː qɑŋˈkeː
灶跟间	sɔː kɔːn˧˥ke˥˥
災	se
炀	jaŋ
炉	lə
炉火纯青	lɔ˥˧ hɔ˥˥sœ˧˧
炊	sæn
炊蝦	tsʰɯ˥˥xu˥˥
炊飯	tɕy˥˥
炎	v
炒	tso˥˩
炒米	tsʰau˥˥mɤ�n˥˩
炒粉幹	tɕʰjoʊ˨˩˦fɑŋ˥˥ku˨˩˦
炒肉馅团子	tsʰan˨˩˦ ɪ˥˩ ɾa˥˥tweɪ˥˥tsɯ˧
炒青	tsa˥˥tɕɪŋ˥˥
炒青菜	tsʰw˥˥tɕʰiŋ˥˥tsʰe˥˥
炔	tɕʰøː
炖	dˈaŋ
炙	sa
炭	pe
炮	hɔ
炮仗	poɛ
炮吊弗着	tʰw˧ lɔtʰyɔː fɔːitʃab
炮弹	pˈɛːdˈe
炮焰	po˥˩j
炮聪	pɔːtson
炮铳	pʰu˨˩ tʰʊŋ˨˩˦
炷	tsɯ˥˩
炸	tsu˥˩
炸弹	tsu dˈe
炸彈	suːdɔː
炸響鈴	sa˨˩lɛːn
点	ti˥˩
点心	piːˈsɪŋ
為	weəɹ
烂	le˨˩˦
烂乌面	la˥˥avˌɛːˈaː miːˌ̟ː
烂屄	lɛːpʰ
烂脚娘	le ˈetʃaɲa
烈	dˌiːzə
烈酒	lətˌe
烊	ja˥˩
烊脱	jɑŋ˨˩˦tʰɤ˥˩
烏克蘭	o ɟil
烏克蘭人	okiloːnau
烏克蘭語	tɛlɔn
烏星	ɑ̃nˈ
烏焦	uʒy˥˩
烏狼	ulˈo
烏鎮醬雞	u˨˩tsən˧˧ tɕjɑŋ˥˥tsi˨˩˦
烏青	u˥˧tsʰɤŋ˥˥
烏鱗鯧	u˥˥tɕʰi˧˥
烏龍茶	oɾizo
烏龜	bue˥˥
烔炀河	tsʰɤŋ˨˩˦ɕxu˧˥
烘	mwaa
烛	sap
烟	iˈiˈ
烟囱	i˥˥ʈʂʊŋ˥˥
烤	tɛˈɛˈ
烤 鸭	kjo
烤菜年糕	pɤ˥˥tsʰai˥˥ni˨˦kɤ˥˥
烤雞	ketsi
烤麸	pɔ
烦煞	veˈɛsˈa
烦难	zænæ
烧	so˥˥
烧碱	so ke
烧饼	sua˥˧pin˥˧
热	ɲe
热头	nˈɛ
热度	dˈiʁ tu
热昏	n˥˥e˨˩˦xuən˧˥
热水	li˨˩˦sɯ˥˥
热水器	nˈist
热煞	njɛsa
烯	sɯ˥˥
烷	we
烽火	fɤ˥˩xoʊ˥˩
焉	i˥˩
焉支	i˥˩zɛː˧
焖肉面	manio mi
焙	bˈaɪ
無	vˈu
無好	mæ
無沒	nˈɛ
無用	ljoʊ˧˧
無空	mɔ˥˩kʰʊŋ˥˥
無空白地	au kɔn̪aɾje
無膽	tɔ
無論如何	muza muzuɫo
無賺	m̩˨˩˦tsa˥
無錫	bɔs
無錫閒話	ru˨˩˦
無關	luːkwɑŋ
無限	mãˈjˈ
焦	tjo˧˧
焦炭	tsuɔ˦tʰe˥˥
焦点访谈	tɛː˥˥jˈ˩˦ fɔː˧˧
焦虑	ttsie
焰	jˈɛn
然	sɯ˥˩
煎	tɕi˥˧
煙	u
煙台	ide
煝	mi˥˩
煞	sˈa
煞心	sũã˨˩
煞格	saka
煞氣	tsotˢsi˥˧
煞甲	lˈɛkə
煞瘾	sˈaɪn
煠	zɔː
煤	mɤ˧˥
煤气	mitɕi˥˧
煤气灶	mitsʲtsʲe
煤氣竈	me̞j kiːtˢa
煤炉	mˌaːajˈləʋ
煤球	neː gɑːʋ
煤球爐	midʒaʊ˨˩lɔ˨
照	tʃu
照人学样	dʒɑːniːn˧ ɑːjæm
照人學樣	dʒɑːnjɛn˧ɑːe̞jæn
照天理	ʒˈə-sə
照应	tsaajn
照张相	tɕi˥˧tɕi˥˧
照望	tso˨˩
照相	tɕʰiŋ˨˩˦
照相机	tsuɔ˥˥ʰtsiŋ˥˥tsɯ˧
照相機	tsaʊ˥˩ɕjɛn˧˥tsɯ˧
照讲	kjˈɛ̃kˌo
煨灶猫	tue˧˥tsɯ˧mɔ˧˧
煩	vo
煩心	voɾsˈaːn
煩惱	bone
