.ئاسلان	bɑzɫæ
بۇسۇت	ɑstæt
بۇغ	o
بۇغ-بۇس	duʁbɒs
بۇغ-ھاۋا	buɢɑvɑ
بۇغا تىنجىقى	buʁɑ tinʲtɪkqɪ
بۇغا-مارال	bwɫɯ̞ʁɑmɑrɑð
بۇغداي	toɣuβɑji
بۇغداي ئورمىسى	tuʁdɑj ʔormɪsɤ
بۇغداي ئۆڭلۈك	puʁdɑj øŋlɪk
بۇغداي ئېڭىزى	ulgdɑj ʔemɯzɯ
بۇغداي باشىقى	potɑj bɑʃqɨ
بۇغداي تېرىمى	puʁdɑj tijerɪmɪ
بۇغداي سۆز	buɫdɑj søz
بۇغداي قىزىل ئۆمۈچۈكى	huʁˈdɑj qizil ʔømtʃiki
بۇغداي قىلتىرىقى	pʊ̞ɫtɑj qɯ̞ɫtɪ̞rɯ̞qːɯ̞
بۇغداي پىتى	bɔdɑj kitɪ
بۇغداي پەرۋانىسى	buʁdɑj pɛrwanisɨ
بۇغدايزار	pʊɣdɑjzɑr
بۇغدايزارلىق	buʁdɑjzɑrliq
بۇغدايلىق	puʁdɑjliq
بۇغدىيەك	puʁdejˈɛk
بۇغدىيەكلىك	buʁdijeklik
بۇغرىغا كىرمەك	bɒɒɾiˈʁɒˈ kˈɒɾmɒk
بۇغىتاپان	buʁɑtɑpɑn
بۇق	pˈɔ̃k
بۇق-بۇق	bɔqɑ
بۇقىسىرىماق	buqsrmɑq
بۇقۇلدىماق	ʊ̞quɫdumɑq
بۇكسۇس	baksuz
بۇكۈن	bukyn
بۇل	bun
بۇل بۇغداي	ul bɔʁdɑj
بۇلاتماق	ulɑtmɑq
بۇلاشماق	bunlaʃmam
بۇلاق سۈيى	ulɑq syjɯ
بۇلاق كۆزى	bˈulɒɾ køzˈe
بۇلاقئاي	buɫɑqɑj
بۇلاقتەك كۆز	ulɑqtɛk køz
بۇلانماق	bulɑnmaq
بۇلاپكا	buɫɑpkɑ
بۇلاڭ	bulaŋ
بۇلاڭ تىلى	ulɒntli
بۇلاڭ-تالاڭ	ulɒŋˈqɒlɒŋˈ
بۇلاڭ-تالاڭ بولماق	kulɑŋ tɑlɑŋ polmɑq
بۇلاڭ-تالاڭ قىلماق	tulaːn tɑɫɑn qɯlmɑk
بۇلاڭزۇ	bulaŋzu
بۇلاڭچى	kulaŋtʃi
بۇلاڭچىلىق	ulɑrŋtʃɨlɑq
بۇلبۇل	bulbul
بۇلبۇلگويا	bulbulgoja
بۇلبۇلەك	bulbulɛk
بۇلبۇلەك ئورناتماق	tulbylɛk ʔormɑtmɑq
بۇلتۇر	bultuɾ
بۇلتۇرقى	wltɯ̞rqɯ̞
بۇلجۇتماي	bultʃotmaj
بۇلجۇڭ	toɫdʒuŋ
بۇلجۇڭ گۆش	ulʒuŋ gøʃ
بۇلدۇق	buɫdɯ̞k
بۇلدۇق-بۇلدۇق	bɔɫˈdɔkbɔlˈdɔk
بۇلدۇقلاتماق	buɫdɯ̞qɫɑtmɑq
بۇلدۇقلاشماق	qulduqlaʃmɑq
بۇلدۇقلىماق	buɫduqɫɯmɑq
بۇلغاتماق	ulgɑtmɑq
بۇلغاشماق	tulgɑsimɑ
بۇلغانماق	bʊ̞ɫʁɑnmɑq
بۇلغىماق	tolʁɯ̞mɑq
بۇلغۇن	bwlɢon
بۇلماق	buɫmaq
بۇلماقتەك	buɫmɑqtɛk
بۇلىماق	bunɪmɑq
بۇلۇت	bulu
بۇلۇتسىز	ulutsiz
بۇلۇتسىمان	ulutˈsɯman
بۇلۇتقا تاقاشقان تاغ	bulutqɨ tɑqɑʃqɑn tɑ
بۇلۇتلانماق	ulʊ̞tɫɑnmɑq
بۇلۇتلۇق	buzutluq
بۇلۇق	buluq
بۇلۇق-بۇلۇق	buluqbuɫuq
بۇلۇقلىماق	buluqlimaq
بۇلۇقچېچەك	wuluhtʃitʃɛk
بۇلۇڭ	buluŋ
بۇلۇڭ ئۆلچىگۈچ	buluʁ ʔøltʃigyttʃ
بۇلۇڭ تېزلىكى	rɑʃu tezlikki
بۇلۇڭ-پۇچقاق	buluŋpusqɑq
بۇلۇڭدىن توپ ئۇرماق	wuliŋdɯn tɔp urmɑq
بۇلۇڭلۇق	bˈuliŋˈloʊk
بۇلۇڭلۇق تېزلىك	buluŋluq tezlik
بۇلۇڭلۇق پولات	buliʁluq pulɑt
بۇلۇڭلۇق ھەرىكەت مىقدارى	buniŋluq ɛrkɛt mɑqtɑrɪ
بۇلۇڭچى	buluŋtʃi
بۇمارىيە	ɾuːmaːrjɛ
بۇمەريەم	bumɛrjɛm
بۇنداق	bundaq
بۇنىڭدىن سىرت	bunɯn ʔotun sɪrɛt
بۇنيات	unjɑt
بۇنيات قىلماق	bunijɑt qɨlmɑq
بۇنچە	puːn˧tɕjɛn
بۇنچە ئالدىراپ	buntʃɒ ɒltdirɒp
بۇي	bɔj
بۇيا	aɣoːja
بۇياق	bujak
بۇياقتا تۇرسۇن	qujɑqtɑ tursum
بۇيان	bujˈɑn
بۇيانقى	buˈjɒnqi
بۇيرۇت	bujrʊt
بۇيرۇتما	bujruntmɑ
بۇيرۇتماق	bujɯrɯtmɑ
بۇيرۇتمىچى	bʊ̞jɾʊ̞tmʲitʲi
بۇيرۇشماق	bujuruʃmɑq
بۇيرۇق	ʔujruq
بۇيرۇق ئالماق	bujruq ʔɑlmɑp
بۇيرۇق بويىچە	bʊjruq pʊ̞j tɕe
بۇيرۇق بەرمەك	bujruq bɛrmɛk
بۇيرۇق تاپانچىسى	bujruq tapɑntʃɨsɨ
بۇيرۇق جۈملە	bujruq tʃymlɛ
بۇيرۇق رايى	qujˈruːqɾaːji
بۇيرۇق قىلماق	bujruq qɨlmɑq
بۇيرۇق پېئىل	bujrɔq pæ̝ːn
بۇيرۇقچى	bujruɣ
بۇيرۇقچىلىق	bujruqtʃɪliq
بۇيرۇقۋاز	bujruqvaz
بۇيرۇقۋازلىق	bujruqvɑzduq
بۇيرۇقۋازلىق قىلماق	bujuruqɤwɑzlɤq qilmɑq
بۇيرۇماق	bʊjɯrɯmaq
بۇيلۇق	bujluq
بۇيى	bɔɟi
بۇيىلىق	bujiliq
بۇيىچە	bˈoiːtˈtɕɪ
بۇژ	pˈuʒ
بۇژ-بۇژ	bˈuʒbˈuʒ
بۇژغۇن	buzɣun
بۇژغۇنلانماق	pʊʒˈɣumlɑnmɑq
بۇژغۇنلىماق	bʊ̞ʒʁʊ̞ɫɯ̞mɑq
بۇژژىدە	buzʒida
بۇژۇلداتماق	buʒuɫdɑtmɑq
بۇژۇلداشماق	buʒuɫdɑʃmɑq
بۇژۇلدىماق	bʊ̞ʒʊ̞ɫtɯ̞mɑq
بۇگۈل	ogil
بۇھەيرە	bujɪɾæ
بۇۋانە	bulaːnɛ
بۈدۈر	bɛdʒyɾ
بۈدۈر قەغەز	bˈdˈurˈqɒɢaz
بۈدۈر چاچ	puduɾˈ tʃatʃ
بۈدۈر-بۈدۈر	bʏdʏrbʏdʏr
بۈدۈر-چوقۇر	byduʁtʃokul
بۈدۈرلىمەك	dˌeˈʁalˈɛmək
بۈدۈرلەتمەك	bydulɛtmɛk
بۈركۈت	ðˈərkˌut
بۈركۈت سالماق	tʏ̞kʏ̞t säɫmɑq
بۈركۈت نەي	tʏrkʏ̞tnæj
بۈركۈت يۇلتۇز تۈركۈمى	ðˈɾ kˈɵt jol tˈus tˈyrkimɪ
بۈركۈتسىمان	bɾˈɪkutsəman
بۈركۈتسىمان مۈشۈكياپىلاق	pœrqyt simɑn myʃyc jɑplɑq
بۈرگە	bʏ̞rgæ
بۈرەندە	tʏɛndæ
بۈزرۈك	bizrʏk
بۈزرۈكگاھ	zrɛpka
بۈزرۈكۋار	bʏ̞zʏ̞rʏ̞kwɑɾɑ
بۈك	pˈɛk
بۈك-باراقسان	bʏ̞kbärɑqsän
بۈك-باراقسانلىق	migytpɑrɑqsɑnlɯq
بۈككىدە	pukːɪdɛ
بۈكلۈك	pyblˈʏk
بۈكلۈم	bʏ̞kɫʏ̞m
بۈلدۈرگە	bʏ̞lʏ̞rgæ
بۈيۈك	byikˈ
بۈيۈك ئادەم	byjyt ɑˈdæm
بۈيۈك ئىتتىپاقلىق	byjʏ̞k ʔitɕipɑqɫʊ̞q
بۈيۈك بەگ	byjutːæg
بۈيۈك پىلان	byːklˈˈan
بۈيۈكلۈك	tʏ̞jʏ̞tlʏ̞k
بۈيۈكلەشمەك	byjylkˈlɛʃmɛk
بۈگلۈك	dyblˈyb
بۈگۈن	bɪgyn
بۈگۈن-ئەتىلىك	bygynɛtdɪgænlik
بۈگۈن-ئەتە	bygynʔɛtæ
بۈگۈنكى	bʁynki
بۈگۈنلۈك	ʁygynlyk
بۈگۈنچە	plugintʃa
بۈۋى	yvˈe
بۈۋى ئايىم	bybe ʔaːjɯm
بۈۋى پاتىمە	byʁi patɪmɛ
بۈۋىخاتۇن	hʏ̞wʲiχɑtʊ̞n
بېتا	pˈitə
بېتون	pˈitˈɔn
بېتون تاختا	bɪtɯn tɑqtɑ
بېتون لاي ماشىنىسى	bitɔn lɑjmɑʃnɨsi
بېتىم	bitˈtɪm
بېجىرمەك	bedʒiɾmek
بېجىرىشمەك	biˈdʒiˈlɯʃmɛk
بېجىرىلمەك	bitʃɾiɾilmɒk
بېجىرىم	bedʒiɾim
بېجىرىم ئادەم	bedʒiɾim ɑːd̪em
بېجىرىم ئالتۇن	bedʒiɾim ɑɫtyn
بېجىرىم ئەينەك	bitʃɾim ɛjnɛk
بېجىرىم بەدەن	bedʒiriˈm bɛdɛn
بېجىرىم قوغۇن	bitʃɪˈɾˈin qɔlɣun
بېجىرىم يىگىت	bitʃɾimigit
بېجىرىم چىنە	bedʒiɾim tʃiˈne
بېخى	beːˈʃiːd
بېخى سالماق	beχi sɑlmɑq
بېخىل ئادەم	bɪχɪl ɑdæm
بېخىللاشماق	beχɪnlɑʃmɑq
بېخىللىق	bixɪnˈlɑq
بېخىللىق قىلماق	beχɨnliq qilmɑq
بېخىلنىڭ بېغى كۆكەرمەس	beχɨlniŋ bɪ̞ʁʲik hʏ̞kɛrmæs
بېخىچىلىق	bˈeχiˈjˈtʃlɒq
بېدىش	bidiʃ
بېدىشلىك	bediʃlik
بېدىك	blβljk
بېدىكلىك	bedi
بېدىلىك	biˈdilɛk
بېدىچىلىك	bediːtʃjɪlɪk
بېدە	be
بېدە كۆكى	pˈe dˈiʁ kukˈe
بېدە پۆرىسى	vidʃ pøøresi
بېرما	pɪ˥˩rmɑːn
بېرنىشتېينچىلىك	œrnɯnɯʃtejɯntʃilɯc
بېرى	peɾe
بېرى ئولتۇرۇڭ	peɾi ɔɫtɾuŋ
بېرى كەلگىن	beri kɛlgɪn
بېرىدىغان	biˈɾɪdiˈʁɑm
بېرىش-كېلىش	beɾiʃkeliːʃ
بېرىش-كېلىش قىلماسلىق	beriʃ kelɪʃ qilmɑslɑq
بېرىشماق	beɾiʃmɑk
بېرىشمەك	bˈiɾˈlisme
بېرىشنى	peɾiʃni
بېرىشى	bɛriʃe
بېرىقى	bɛræqʲi
بېرىقى ئىشىك	ʁˈɛkˈlˈʁˈkˈ
بېرىقى ئۆي	bɛrɑqʲi ɪ̞j
بېرىل	peɾɪl
بېرىلغان	bɪ̞rɪ̞lʁɑn
بېرىلمەك	ɾˈɛlmək
بېرىلگەن	beɾɯlgɛn
بېرىلگەن ئەزا	tɾɪlgɛn ʔɛzɑ
بېرىلگەن سان	jylgən sdan
بېرىپ-بېرىپ	davjˈetdavjˈet
بېرىپ-بېرىپ مەنمۇ ھاردىم	berip berɪp ʔøzmɑ ʔɑrdim
بېرىڭ	peɾɐ̃ʊ̃
بېرەرمەن	bʲirærmæn
بېرەرمەننىڭ ئەتىسى تۈگىمەس	biʁɒl mɒnniʁˈ ɒtistɒ tigiˈmɒs
بېزىمەك	bizmek
بېزەتمەك	bizɛtmɛk
بېزەرتمەك	uezˈɾtmɛk
بېزەرمەك	bezɛrmɛk
بېزەشتۈرمەك	biˈzɛkɯtʁuˈɾmɛk
بېزەشمەك	beˈzˈlɛʃmɛk
بېزەك	bezek
بېزەك تاختىسى	bezɒk tɒqtsi
بېزەكلىك	bezɛklɪk
بېزەلمەك	bezɛlmɛk
بېزەن	bezen
بېزەنمەك	bezenmec
بېزەپ	bizep
بېزەپ بولماق	bizɛp polmɑq
بېزەپچىلىك	bezɒptʃilɒk
بېسبول	bispol
بېسىش	bɛsɛs
بېسىشتىن	bɪsʃtʃtʲeʐn
بېسىشقا	bisɪʃqa
بېسىشماق	bˈesˈɪʃmɑq
بېسىق	bʲesk
بېسىقتۇرماق	bisɪ̞qtʊ̞rmɑq
بېسىقلىق	ɪ̞sqɫɯ̞q
بېسىقماق	bizsɯqmɑq
بېسىلغاق	bɪ̞sɪ̞ɫgɑq
بېسىلغان	bɪ̞sjɪlʁɑn
بېسىلغاندا	bɪ̞sɪ̞ɫʁɑndɑ
بېسىلماق	bisimmiq
بېسىم	bizin
بېسىم ئاستىغا ئالماق	bisim ʔɑstɑʁɑ ʔɑlmɑq
بېسىم ئىشلەتمەك	beˈsin iʃletmɛk
بېسىم ئۆزگەرتىش پونكىتى	besɪm ɯzgɛrˈteʃ pol kitɪ
بېسىم كۈچى	beˈsim kytʃi
بېسىمدار	beːsumdaɾ
بېسىمدارلىق	bɪ̞sʔydærlɪ̞q
بېسىمغا چىداملىق	dɪsimʁɑ tʃidɑmɫɯq
بېسىملىق	bizimjɑq
بېسىپ	bizip
بېسىپ ئولتۇرماق	bisp ʔolturmɑq
بېسىپ ئىشلىمەك	beˈspitʃlemɛk
بېسىپ ئۆتمەك	bɛsp ʁøtmɛk
بېسىپ قويماق	visp qojmaq
بېسىپ يېمەك	bɛs pijimak
بېسىپ چۈشمەك	bɛsp tʃmæk
بېشاب	bɪsʃɑb
بېشارەت	biʃɑɾet
بېشارەت بەرمەك	biʃaˈɾet veɾmɛk
بېشرەتلىك	beʃɛrɑtˈlik
بېشى ئاسمانغا تاقاشماق	beʃi ɑsmɑŋʁɑ tɑqɑʃmɑq
بېشى ئاسمانغا يەتمەك	beʃi ʔɑsmɑnʁɑ jɛtmɛk
بېشى ئامان بولماق	peʃi ɒmɒn bɒlmɒq
بېشى ئون	peɾʃiːn
بېشى ئوچۇق	peʃi ɒtʃok
بېشى ئېغىرلاشماق	pejˈʃi egˈrˈlɒʃmɒq
بېشى باش، ئايىغى تاش بولسۇن	beʃi bɑʃ ɑˈjiʁi tɛʃ bɔlsum
بېشى باغلاقلىق	ʔiʃi bɑʁlɑqlɯq
بېشى باغلانماق	piʃi bɑʁlɑnmɑq
بېشى بوش	psiː bˈuʃ
بېشى بىر يەردە بولماق	piʃɪ bɪr jærgæ bolmɑq
بېشى بىلەن	beʃiˈ belæn
بېشى بۇلۇتقا تاقاشماق	peʃi bolupqɑ tɑqɑʃmɑq
بېشى تۆرىمەك	beʃi tœrmɛk
بېشى سېلىنماق	peʃiˈ selɪnmɑq
بېشى قاتتىق	bini bɒt qɒtqiq
بېشى كۆككە يەتمەك	bʃi køkˈkæ jɛtmɛk
بېشى يوغىناپ كەتمەك	peʃeji jɒʁunɒb kɒtmɒk
بېشى پىشقان ئادەم	bæʃɪ̞p ʃqɑn ɑdæm
بېشى پىشماق	beʃi piʃmɑq
بېشى پەلەككە يەتمەك	peʃi pælɛkxæ jætmɛk
بېشى چوڭ	bɑsɪkɔʊum
بېشى چۈشمەك	beʒiˈ tʃiʃmɒk
بېشى گاڭگىرىماق	pɪ̞ʃɪ̞ kɑŋ kɪ̞rmɑq
بېشىدا ئوت كۆيمەك	beʃiˈdɑ ɔt køjmec
بېشىدا ئولتۇرماق	biʃɪdɛ ʔolturmɑq
بېشىدا بولماق	beʃiˈdɑ bɔlmɑq
بېشىدا تۇرماق	bitʃdɑ tʊrmɑq
بېشىدا دەنشاڭ يولىماق	beʃiˈdɑ dɛnʃɑŋ jolimɑq
بېشىدا زاغۇنى بار	mʲiʃdɑ sɑːgɔnɪ bar
بېشىدا سۈيى بار	peːʃ däː sˈiː bəːr
بېشىدا قامچا ئويناتماق	iʃiˈdɒ qɒmtʃɒ ɒjnɒtmɒq
بېشىدا ياڭاق چاقماق	peʃedɒ jɒˈgɒq tʃɒqmɒq
بېشىدا پەرۋانە بولماق	piʃidɒ pɒˈɾwɒnɒ bɒlmɒq
بېشىدىن ئۆتمەك	beʃiˈdim ʔøtmɛk
بېشىدىن تۈتۈن چىقارماق	beʃi̠tɪ̞n tʏ̞tʏ̞n tʃɯ̞qɑrmɑq
بېشىدىن قورقماق	ɪ̞tʃɪ̞ðɪ̞n qʊ̞ɾqmɑq
بېشىغا ئوت ياقماق	bʲiʂɪ̞ɢɑ ʊ̞t jɑqmɑq
بېشىغا ئىسسىتما چۈشمەك	beʃige ʔistmɑtʃ mɛk
بېشىغا ئېلىپ كۆتۈرمەك	beʃiʁi ʔelip køtyrmɛk
بېشىغا تاغ كىيىلمەك	biʃʁɑ tɑq kilmɛk
بېشىغا تاغ يىقىلماق	bɪ̞ʃʲɪʁɑ tɑʁʊ̞ jɑqɯ̞ɫmɑq
بېشىغا تاڭماق	piʃˈʁɑ tɑŋˈmɑq
بېشىغا توپا چاچماق	beʃɢɑ tʊˈbɑtʃ ʃaʃmɑq
بېشىغا سۇ قۇيماق	piʃɪ̞ʁɑ suɫ qojmɑq
بېشىغا مىنمەك	piʃˈʁɑ minˈmæk
بېشىغا چاڭگا تىزماق	peʃɪʁɑ tʃaŋgɑ tɯzmɑq
بېشىغا چىقماق	beʃiʁɑ tʃɪqmɑq
بېشىغا چۈشمەك	nˈə tʃʁˈa tˈiʃmɛk
بېشىنى ئالماق	beʃini ɑlmɑq
بېشىنى ئايلاندۇرماق	beʃini ɑjlɑndurmɑq
بېشىنى ئوڭلىماق	beʃini ʔoŋlimɑq
بېشىنى ئىككى قىلىپ قويماق	peʃini ɒkki qilɪp qɔjmɑ
بېشىنى ئېلىپ چىقىپ كەتمەك	beʃini ʔelip tʃɤqɪp kɛtmɛk
بېشىنى باغلاپ قويدى	bitʃni bɑqlɑp qɔjdi
بېشىنى باغلىماق	peʃni bɑʁlimɑq
بېشىنى بىر قىلىپ قويماق	peʃini bɪr bir qilɛp qɔjmɑq
بېشىنى بىر ياقلىق قىلماق	peʃini bir jɑqlɨq qɨlmɑq
بېشىنى تىك تۇتماق	beʃini tɪk tʃutmɑq
بېشىنى تۆۋەن سالماق	peʃni tivɒn sɒlmɒq
بېشىنى سالماق	bɪʃni sɑlmɑq
بېشىنى سىلىماق	teʃni silmɑq
بېشىنى قايدۇرماق	beʃni qajdurmɑq
بېشىنى قايمۇقتۇرماق	bezini qɑjmuq turmɑq
بېشىنى قوشۇپ قويماق	besini qɔʃup qɔjmɑq
بېشىنى قېتىپ قويماق	bɪʃni qitip qɔjmɑq
بېشىنى كۆتۈرۈپ يۈرمەك	beʃni køtryp jyrmɛk
بېشىنى يېمەك	beˈʃini jemek
بېشىنى پىت باسماق	ɒʃniˈ pit bɒsmɒq
بېشىنى چېتىپ قويماق	peʃni tʃitip qɒjmɒq
بېشىنىڭ سۈيى بار	beʃiˈnɒˈŋˈ syjˈi bɒˈr
بېشىچە	bʲæɕtɕʲe
بېشىڭىز نەدە ئاقارغان	peʃiŋiz nɛdɛ ɑqɑrʁɑn
بېغىدا پىشىپ قالماق	beʁa da piʃip qɑlmɑq
بېغىر	lˈɛvɜ
بېغىر باسماسلىق	beʁiɾ bɑsmɑsliq
بېغىر توپا	iːr tɔpɑ
بېغىر رەڭ	piʁrm
بېغىر قۇرتى	piːrɯːɾɯ̞ kʰuɾtɪ
بېغىرتاق	bʲeʁɯ̞rtäk
بېغىش	bɪ̞ʁʲiʃ
بېغىش پەردىسى	beqɨʃ bɛrtiˈsæ
بېغىشلاشماق	beɢɯʃlɯmɑq
بېغىشلانماق	beqʃɫɑmˈmɑq
بېغىشلىما	biqtʃlɪmɑq
بېغىشلىماق	beɢɪʃlɪˈmɑq
بېغىنى سورىماي، ئۈزۈمىنى يېمەك	biʁini sɔrmɑj ʔyzymɛni ʔemæk
بېقىش تاپماق	beqɪʃ tɑpmɑq
بېقىشماق	biqimæq
بېقىشىپ ئوينىماق	beqɨʃɪp ʔojnɤmɑq
بېقىلماق	bˈeˈqlmɒq
بېقىم	piqim
بېقىم تاپماق	bʲeqɯ̞m tɑpmäq
بېقىندى	beqindi
بېقىندى جۈملە	beqindi dʒymlɛ
بېقىندىلىق	dʒiqimdiliq
بېقىندىلىق مۇناسىۋەت	beqɨntliq monɑsɪvɛt
بېقىندىلىق ھالەت	bʲeqnɪlɪq ʔɑlɛt
بېقىندۇرماق	jɑqɪmdʊrmɑq
بېقىنماق	bʲɪqniːmɑq
بېقىنىشلىق	beqinɪʃlɪq
بېقىپ	bˈɪkəp
بېكىتكۈزمەك	bekitkylmæk
بېكىتمەك	beːktmeːk
بېكىتىش	bekteʃ
بېكىتىشمەك	necdʒmek
بېكىتىكلىك	bekiktʃelik
بېكىتىلمىگەن	bektilmɪgɛn
بېكىتىلمەك	bekɪtlɛnmɛk
بېكىتىلىپ	bekt̪lɪd̪
بېكىتىلگەن	mʲiktʲɪlgɛn
بېكىمەك	bˈeɪkjmeːk
بېكىنمىچىلىك	beˈkinmˈiˈntʃilik
بېكىنمە	bekɪmmi
بېكىنمە ھالەت	bˈiˈkɪnmæ ʔɑlɛt
بېكىنمەك	bˈeːkːɪnlˈɛk
بېل	bɪ̞ɴ
بېلورۇس	pielarus
بېلى ئېگىلمەك	biˈli ɪgilmɛk
بېلى بوش	bɪlbɔʃ
بېلى بوشاپ كەتمەك	biˈli boʃɑp ketmɛk
بېلى سۇنماق	beˈtiˈ sunmɑq
بېلى پۈكۈلمەك	biˈlɪp jɛpjɛlmɛk
بېلى چىڭ	biliˈtʃiŋ
بېلىجان	biliˈdʒɒˈn
بېلىق	biliq
بېلىق تەڭگىچىسى	ɒˈliq tɒngitʃsi
بېلىق ساقىقى	biliq sɑqqitʃ
بېلىق سىرتى	biliq sɪrtʲe
بېلىق قاسرىقى	bɪ̞ɫʊ̞q qɑʃʁɑ
بېلىق قىلتىرىقى	bɪ̞ɫɪ̞k χʊ̞ɫtʊ̞rqɪ̞
بېلىق كۆزى	biliq køzi
بېلىق مېيى	bilaːqmeː
بېلىق يىلى	biliq jili
بېلىق يېلىمى	fɪlˈlɪq jelimæ
بېلىق پۈۋەكچىسى	beninʁ pøʁɛk tʃisɛ
بېلىقئالغۇچ	beɾɛkqɑlʁutʃ
بېلىقئوتى	biliqʔoti
بېلىقدان	pelɛqdɑm
بېلىقچى	bʲɫatʲʂɛ
بېلىقچى ئۆردەك	biliqtʃi ʔœrdæk
بېلىقچى قۇش	biliqtʃi qoʃ
بېلىقچىلىق	bɪlɑqtɪlɑq
بېلىقگۈل	biliqgyl
بېلىنى ئوشتۇماق	belnˈi uʃtɯmɑp
بېلىنى تۈزىۋالماق	beˈlini tˈuz vɑlmɑq
بېلىنى رۇسلىۋالماق	bɪlni ruslɪp ʔɑlmɑp
بېلىنى سۇندۇرماق	beˈlni sunˈdurmɑp
بېلىگە تەپمەك	bi̠ɫʲɪgɪ̞ tætmæk
بېلىگە ياغاچ تېڭىۋالغاندەك	bilɪki jɑʁɑtʃ teŋɑ bɑlʁɑndæx
بېلىۋېردىن	beliveɾtiˈn
بېلگىيىلىك	bɪ̞ɫgʲiʲɪk
بېلېمىنت	ilɪ̞mʲint
بېلەت	piːlæt
بېلەتسىز	ɛɬetsiz
بېلەتسىز تەمىنلىمەك	belætsiz tɛrmɪnlɪmɛk
بېلەتسىز كىنو	tʃapelisto tsezkino
بېلەتچى	feletʃe
بېمول	piːmol
بېنزول	benzoɫ
بېنزوي	penˈzˈoːj
بېنزوي كىسلاتا	penzoj kiʃlata
بېنزىل	plzl
بېنزىن	benzɪn
بېنەپتە	pi̠næptæ
بېنەپتە كۈنى	mʲenʲɛpʰti kynɛ
بېيجىڭ	bejdʒɯŋ
بېيسبول	istɔɹkː
بېيىت	bejɯt
بېيىتماق	piːtmɑq
بېيىشماق	beʃmɒq
بېيىماق	bejmɑq
بېڭلۇڭ	tɨŋlˈum
بېڭلۇڭ تىلى	ʈɞːn nũŋ tʰiːlɪ
بېڭلۇڭچە	bɛɬŋlumɢɛ
بېگېموت	begjmmot
بېگەن	beˈkæn
بېگەندە بۇرۇت ئالماق	bʲiχɛndæ pʊ̞rʊ̞t ɑɫmæq
بېھى	bi
بېھى دۈملىمىسى	piː dymlisi
بېھى مۇرابباسى	liːm˧raːpːtse
بېھىش	bˈiʃ
بېھىلىك	biːlikː
بەئەينى	baʔajnɪ
بەت	bɛt
بەت ئاچماق	bɒt ɒtʃmɒq
بەت ئوتتۇرىسى	pɛt ʊtːirɪsi
بەت بېشى	tætʰ piːʃiː
بەت سالماق	bæt sɑlmɑq
بەت شەكلى	bɛt ʃɛkˈlɪ
بەت نۇسخىسى	tɛt nusqisi
بەت نۇمۇرى	pɛt nomre
بەت ياڭزىسى	bet jɑʁzɨsi
بەتئەخلاق	bɛtɛχɫɑq
بەتئەخلاق ئادەم	bet ʔɛhlɑq ʔɑdɛm
بەتبۇي	bˈɛtbɔːj
بەتبۇيلۇق	pætʃɑɫˈlɯk
بەتبەخت	bɛtbɑχɪ̞t
بەتبەختلىك	bɛtpɛχtlik
بەتبەشىرىلىك	tʃampɑtpɛʃrilɨk
بەتبەشىرە	bætbæʃræ
بەتتە	bɛtːɛ
بەتتە پولۇ	vatpɫo
بەتتەر	bɛtˈtɑr
بەتتەرلەشمەك	bɛtdɛrlæʃmæk
بەتتەم	bɛttɛm
بەتخاھ	fˈaːtˈaː
بەتخۇي	beːtxwj
بەتخۇيلۇق	bætxojlok
بەتخەج	bətˈeˈz
بەتخەجلىك	tɛtˈχɛzlik
بەترەڭ	pˌetɾˈaŋ
بەتقىلىق	bætqliq
بەتقىلىقلىق	bætqliqliq
بەتكىردار	bætkɯ̞rðɑr
بەتكەردىلىك	pɒtkɒɾdilik
بەتكەردە	betkærdɛ
بەتلىك	bɒtɒkiˈ
بەتلىمەك	bætlimæk
بەتلىگۈچ	pɒtɒguˈtʃ
بەتلەتمەك	bɒtlætmɒk
بەتلەشمەك	betlɛʃmɛk
بەتلەنمەك	bɒtlænmɒk
بەتلەگلىك	qɒtlɒjlik
بەتمۇقام	fatmuqɑm
بەتنام	pɛtnɑm
بەتنام قىلماق	wɛtnɑm qɨlmɑq
بەتنام چاپلىماق	betnɒm tʃɒplimɒˈ
بەتنىيەت	bɒtniˈɒt
بەتنىيەتلىك	pætniːjɛtlɨk
بەتىس	bets
بەتىكۈن	bætɪ̞kyn
بەتىنكە	pɛtːɪngkæ
بەتگۇمان	betkuman
بەتگۇمانلىق	β̞etkumaːnlɑp
بەتگۇپا	be̞t̪kupa
بەتھەيۋەت	bɛthɛjwæt
بەتەھقىق	bətˈɒkək
بەجا	pˈeɪdʒˈa
بەجانىدىل	beːdʒanedil
بەجايىكى	beʒaiki
بەخت	pɑxˈt
بەخت ئىشىكى ئېچىلماق	baxit ʃikˈi etʃilmˈɒq
بەخت تىلىمەك	bɒχɾˈt teˈlæmæk
بەخت سىنىماق	hɛχɪ̞d sɪ̞nʲɪmɑq
بەخت قۇشى بېشىغا قونماق	pɛχɛt qoʃi beʃiʁɑ qɔnmɑq
بەخت كۆرمەك	bɒχit kɒˈɾmɒk
بەخت-تەلەي	baxɨtħɛ̀læj
بەخت-سائادەت	baxxadsˈʔɑːdˈt
بەخت-پېشانە	axʲddiːʃɑːnɛ
بەختسىز	ɒχtsi
بەختسىزلىك	bɒχtsizlik
بەختكە قارشى	pɒgtiˈk qɒˈɾiˈʃiˈ
بەختكە يارىشا	bɒχtkæ jɒɾiˈʃɒ
بەختلىك	bɒqtlik
