(ممتاز حسین (مصنف	multasuzɛ
ضرب پڑنا	dʒuʃtʃɒːɾm bɑrvɑn
ضرر	zʊ̞rɑːm
ضرر احساس	ðəˈrɑre ˈexæsɑs
ضرر رسانی	zarr rɑsɑːniː
ضرر رساں	zəˈræɾ væsɑm
ضررپہنچانا	zəˈrɑrpəˈtʃɑnəm
ضرور	zɐɾuːr
ضرور پوچھیں	zəˈrɔr boːtʃe
ضرور کیے	zɐɾoːɾ kijɛ
ضرور ہو	zruːrɦu
ضرور ہے	dʒɑːrʊr ɦeː
ضرورت	ðɯ̞rɵrɯ̞k
ضرورت ایجاد کی ماں ہے	ɖʁʊɾt̪ ɪdʒɑːt̪ kiː mɑː eːeːʔ
ضرورت مند	zæɾuːɾæt mɑn
ضرورت نہیں	ðəroːt nəeːŋ
ضرورت پڑنا	zrʊɾt paːnə
ضرورت ہو	zrwɾə tʃiːzi
ضرورت ہوگی	zrʊˈrɑt ɦoːgiːl
ضرورت ہے	zrʊt̪ eːeːʔ
ضروری	zrʊːɾiː
ضروری اقدام	zarurij ɑqdaːm
ضروری ہوگیا	ð̪ʱɾuːɾiː ɦoː gɪjɑ
ضروری ہے	zɑːroːɾiː ə
ضروریات	darʊriäːt
ضروریات زندگی	təroːriət zɪnˈnəgi
ضروی ہدایات	ðʒɾuːɾiː θʊdʒɑːjɑːt
ضرُور	zaruːv
ضعف	zuf
ضعف دماغ	bɒː afiːɾ iːnˈdiː mɑːx
ضعیف	s�in
ضعیف الااعتقاد	ða iːf ɑjˈtɑjˈqaːd
ضعیف ہونا	zˈa iːv ˈonə
ضعیفی	sajfij
ضلع	zˈil
ضلع اعظم گڑھ	zælɑː ɑːzæmgɑː
ضلع انائو	zˈɪlə ʔunˈnɔw
ضلع بجنور	zˈilla biːnˈɔr
ضلع جنوبی	zɪlɑ dʒərubi
ضلع قلات	zjla qɑlɑt
ضلع ٹھٹہ	dʒʈɪlɑː t̪ʰɐt̪t̪äː
ضلع کچہری	ðɪlˈʌtʃ ˈkɑːtʃjɛ
ضلع کیچ	ðælˈkːiːtʃ
ضلع گڑگاؤں	dˈəˈ laː bɔː dˈɑːn
ضلعی انتظامیہ	zilejij iːntizamiːjɑ
ضلعی حکومتیں	zəlaːʔiː aːtʊjmt̪e
ضم	zˈɑ̃
ضم ہونا	zəmɣon
ضماد	zˈɛnmɑn
ضمانت	zæmɑnæm
ضمانت بھرنا	zəˈmanə har nɑ
ضمانت دینا	zamanat deːne
ضمانت لینا	zmaːnət leːnə
ضمانت نامہ	zæmɑːnæt mɑːmɑː
ضمانتی	zʌmɑːnət̪iː
ضمن	zɛmnɛ
ضمناً	zɛmɾen
ضمنی اثرات	zmniː aːsraːt
ضمنی کردار	da nko daːr
ضمیر	zæmˈir
ضمیر جعفری	zəmɪr dʒɑːfːɾiː
ضمیمہ	tʒˈaːtmˈɛ̃ˈmˈˈ
ضوابط	zalɑːbɪ
ضَلالَت	zæmælæt
ضَمَّہ	zamma
ضِد	zɪd
ضِلع	zˈɛla
ضِلع خُوشاب	zəlaː xʊʃʔɑːm
ضِمنی	ðini
ضِمنی انتخاب	zmnˈj ɒntˈiːxɒd
ضِیافت	zæjˈfæt
ضیا	zɛia
ضیاء فتح آبادی	kiːzijɑː fʈeʈɾ ɑːbɑːliː
ضیاءالدین یوسف زی	ðiː ɑuːdˈiːn jˈusv ðeːiː
ضیاالحسن	zijɑuːlhəsæn
ضیاع	zijɒ
ضیاع کا باعث	zijˈa əv gəbˈaiːs
ضیافت	zɪˈʔaːfk
ضیافتی	zˈiːɾˈɛ
ضیق	seˈɛ
ضیق ہونا	zˈiːr xˌɑˈnˈa
ط	toj
طاؤس	kaːs
طائر لاہوتی	t̪əɪɾeː laː ɦoːtiː
طائرانہ	kaːrɑna
طائرروح	daːiːrəruː
طائرِ دِل	taːiːr ɪdɪl
طائفہ	taːiːfə
طابع	tɑːbɪ
طابع مستی	la ʁabim esti
طارق	taːrɪk
طاری	tosome
طاری ہوجاتا	t̪aːriː ho dʒɑːt̪ə
طاری ہونا	daːriː həʊnə
طاس	bɑːs
طاسہ	tasa
طاعت	tˈɑːɾt
طاعون	kaːw˧
طاعونی بخار	taː uː niː buxaːr
طاعُون	daɔm
طاق	kɒh
طاق اعداد	dɑːk ɑːdɑːn
طاق نسیاں	tˈaːk lẽnˈsˈiɑ̃
طاق پر رکھنا	tɒq bɒˈrɒhmˈɒˈ
طاقت	tɑqɯ̞t
طاقت فرسا	taːqat pə arsa
طاقت والا	taqqit vaala
طاقت ور	tæqqäːtː bːɑɾ
طاقت کم کردینا	taːqt kəm kəɾ diːnə
طاقتور	tɑqqɑtbɑɾ
طاقتور بنا دیتی	tʰɑqɑtˈwər benaːd̪eːpi
طاقتور ترین	tʰaːqatʰoːr ʈəˈriːn
طاقِ نسیاں	taːqːˈinˈɛːusˌiˌɑ̃
طالب	tɑːlɛm
طالب علم	tolɛmmɛ
طالب علمی	laːlɪb ɪlmi
طالبان	taːɾiːman
طالع	balˈe
طالع آزما	taːˈle ɑzɯmɑ
طالعِ رقیب	tɑlɪj ɾaqʲiːm
طالِع آزما	ɢɒːlɒː ɑːzmɑːn
طامع	tɑːmɪ
طاھر	kaːɦər
طاھری	t̪aːrɪ
طاہر	tˤɑːrɪk˥
طاہرہ اقبال	tɑːhɪr əqmaːl
طاہرہ واسطی	kʰːəɦiːɾɑːuːɦst̪iː
طب	tɛb
طب قیاس و تجربہ	tebːe qɒjasɒ tɒ sibɒ
طب کی دنیا	tˈɛp ki dˈə
طبابت	nɑbɑbɑt
طباخی	dbxj
طباخی تعلیمی ادارہ	tɑːbɑːxʰiː tɑlɪʋiː ɑgɑrɑh
طباشیر	tbɑːʃiː
طباع	ðəbˈɑː
طباعت	kɑːbɑːt
طباعی	tɔ̙bɑj
طباق	tɑbaq
طباق سا چہرہ	tbɑːx sɑ tʃʰrɑ
طبع	ɾɑbɑ
طبع آزمائی	dabɑː ʔæzmɒːiː
طبع رَسا	tɑb ɑrraːsɑh
طبع زاد	kʰæbɑːzɑːd
طبع کرنا	tɑp ɑɫɯ̞ kɑrni
طبعی	bʱoːbɦiːl
طبعیت کی ناسازی	tɑːbiːt kiː nɑːsɑːziː
طبق	tɑbaq
طبقات	tɑpˈqɑt
طبقاتی طریقِ انتخاب	qɑtɪ tərɪjɛ jɪntɪxʔɑːb
طبقاتی لوٹ مار	t̪əqɑt̪iː loːd̪maːɾ
طبقاتی محرومی	maqaaːtiː daruː
طبقه‌بندی	tɪrˈqabəndi
طبقوں	ðæɾbˈɑst
طبقہ	tɑpa
طبقہ نسواں	təpˈteˈhˈ nisˈmɑ̃t
طبل	ɾɑbɑn
طبل جنگ	qabɑlɛ dʒan
طبلچی	tɑbaltʃiː
طبلہ	tabla
طبلہ بجانا	qɑːlaː bʱdʒɑːnɑː
طبلے کی تھاپ	ɗʊbʱlə kiː t̪ʰɑːʔ
طبلے کی دھنک	t̪ɐb leː kiː ɖʱɐnɐkʰ
طبِ نفسی	ɛbɛnˈtˈfsˈɛ
طبی	tˈɛbˈi
طبی اخراجات	tɪbːɪj ɑxrɑːgɑt
طبی امداد	tibbiː jnd̪aːd̪
طبی اہلکاروں	t̪eːb bi ʔaxlkɑːroːn
طبی تحقیق	təd̪ai̯tai̯q
طبی تحقیقات	tabˈi tæhɢiːxɑtˈ
طبی جریدہ	te bi djari da
طبی جریدے	tbʱɪdʒaːɾiːde
طبی خصوصیات	təl bi xoːz wsiːˈaːt
طبی عملے	ðə bʲij ɑmlɪ
طبی فوائد	dʒɑːr bəːtʰəɾaːeːn
طبی ماہرین	tbmɒːhˈɾiːn
طبی مسائل	t bi mɑsɑːiːl
طبی مشوَرَے	tˈɛbˈi mˈˈɑqˈarˈɛ
طبیب	kɛgib
طبیب حاذق	tɑː biː ɪðˈɑːsˈɪq
طبیبانه	fɾiːonaː
طبیعات	tɐbɪjɑːt
طبیعت	bˈiːɑː
طبیعت آنا	tɪ biːʔət ɑːnɑː
طبیعت اچٹ گئی	t̪ɐbʰiːt̪ ʊtʃʈː gɐɪ̯
طبیعت بحال ہونا	tɪbʱiːt bəɦɑl ɦoːnɑː
طبیعت بگڑتی	t̪əbiːt̪ bɪgɪɾɪtiː
طبیعت بگڑنا	nɒbijˈjæt diːvɒːɾiːnɒː
طبیعت لگنا	kɐb jɛd lɛgnɐ
طبیعت کیسی	kʌbɪt̪ kɪːəsɪ
طبیعی	təbiːiː
طبیعیات	flʔəjɑːt
طحال	kiːaːl
طرابلس	tɾabɫus
طرابِزون	kɾɑːbeːzoːn
طرار	ɾɾ
طرارہ	trara
طرارہ بھرنا	t̪rɾaːɾaː bʱɾna
طراری	fɛɾroˈaɾi
طرارے بھرنا	kɐɾɑːɾe bʱɐɾnɐ
طراوت	t̪raːvat̪
طرب	bɑːrəb
طرح	taːraːhɑ
طرح اڑانا	d̪æɾa hoɢoɣ̞arna
طرح دار	gəraːdaːr
طرح دینا	ɾɑh biːjˈneɾ
طرح طرح کی	tərahtaraː ke
طرح ڈالنا	rˈahdˈaːlma
طرحی غزل	tˁʌjˈgʌzˈl
طرز	gˈɑɹdz
طرز تعمیر	arzɪtɑːmiː
طرز زندگی	beːr zeː zɪnˈdʒegi
طرز فکر	tˈɑrdz fˈikəl
طرز و ادا	tɾzʊ̞ʔ adːɑ
طرزتحریر	raːzɛthɾiːv
طرزتعمیر	taːrðaːmiːft
طرزنگارش	dæɾˈziːɣɑːrʃ
طرزِ	gɑːz
طرزِ بیان	qɒɾzeˈ bjɒːn
طرزِ تپاک	tɛrzɪ ta paˈk
طرزِ سیاست	heɾe̞zɒs hejɒsiatʃ
طرزِ فِکر	ˈæl ðɪ fˈɪkəl
طرزِ کہن	dʒɑːr zæˈ kʰon
طرزِاحساس	bɪrˈzɪhsɑs
طرزِزیست	beˈɾɑdzˈɛziːʃ
طرزِمعاشرت	daːɾziːmɔʕʈlat
طرسوس	ɾaɾsuz
طرف	taˈraf
طرف داری	kɾfdaːriː
طرف سے	tɔrafˈsi
طرفدار	tərafdaːr
طرفداری	t̪aɾjhdaːriː
طرفداری کرنے والا	t̪ɾbd̪ɑːɾiː kɐɾne ʋɑːlɑːʔ
طرفگی	tʊɾfɑgɪjː
طرفہ	tʊɾˈufa
طرفہ تماشا	t̪əɾfət̪ maːʃa
طرفہ ماجرا	toɾufaːl mɑːdʒɾɑh
طرفین	barafain
طرّاحی معماری	rɑːɦiːn neː maːriː
طرّۂ امتیاز	tʊɾɾɛ ɛm pjaz
طرہ	tʊɾɾa
طرہ امتیاز	t̪oːrnəj ɑːmteːɑːz
طریق	t̪ariːq
طریق اندراج	arˈjke ndraːdʒ
طریق حیات	piːr eːq jɑːt̪
طریقت	tɐrʲiqɐt
طریقہ	tɐriqqɐ
طریقہ اصلاح	faɾqj ʔisˈlaːh
طریقہ واردات	arˈjɣe vaːridat
طریقہ کار	gɾiː xɛː kɑːr
طریقہ کاروں	fəriːqɑː kaːrɔm
طریقہ کاری	arɪˈqɑː kɑːriː
طریقۂ کار	t̪əriːqʱe qɑːr
طریقے	t̪aɾiːqʰeʔ
طریقے جانیے	tʰiːqʰeː ædʒɑniː ẽːʔ
طریقے پر	t̪aɾiːqai pər
طشت	tæʃt
طشت ازبام	tæʃt asˈbɑːm
طشت ازبام ہونا	daʃt ʔazbaːm hona
طشتری	t̪əʃˈt̪ri
طعام	ɑːm
طعمہ	tʊmɑ
طعن	kɔlɔn
طعن تشنیع	trˈɑn tʃˈɛl
طعن توڑنا	dˈæˈʔanˈdˈɑ
طعن و تشنیع	toaːn o təʃˈniː
طعنہ	bɑɣɑnɑ
طعنہ تشنہ	bɑɢɯnad ɪʃnaj
طعنہ دینا	d̪aːna d̪eːne
طعنہ زنی	qɑːnɑː zænˈniːm
طعنہ زنی کرنا	ɑnɑ zaniː kəɾˈnɑ
طغرا	doɣuɾa
طغیان	tʊgjɑn
طغیانی	toɢiɲaɾmi
طفل	tʃiːzitʃiːzi
طفلانہ	dflana
طفلانہ جُرم	t̪ɪflɑːnə dʒrm
طفلانہ حرکت	t̪fɭɑːnɑː ɦərqət
طفلانہ خطا	tˈɪtsvɑːnˈnˈ xatˈa
طفلک	ðəflˈʌk
طفلی	dafʁi
طفولیت	tʊ̃fʊ̃ljæt
طفیل	lufeːl
طفیل سے	tʃi frueːl se
طفیل میں	tə fˈaɪl mˈeɪ
طفیلی	tʃiːzifʔɛli
طفیلی کیڑا	tuː tʰɛːliːk kiː lɔ
طفیلیا	tʊfɑːliːjɑ
طلا	qilˈa
طلا ساز	siːæ sɑːz
طلا کار	ɖɪlɑːkɑːɾ
طلائی	dˌiːzəlˌaːɪn
طلاق	tɑlɑq
طلاق شدہ	væˈlɑx ʃuˈdɑh
طلاق نامہ	təlaːq nɑlmɑn
طلاق کی مخالفت	təlaːx kiː mxɒːliːfət
طلاقت	tɑlɑqət
طلایہ	t̪anaajäɾ
طلب	plæb
طلب بجھانا	t̪əˈləb bdʒɑnɑː
طلب میں	tɐlɐmmɛ
طلب کرنا	pləb kəɾnɑ
طلب کیا	tælˈlæb kiːjɑː
طلب کیا گیا	t̪əˈlɑːb kijɑ gɐjɑːʔ
طلب گار	æˈlˈæbgaːr
طلب گار نہیں	t̪əlˈəbqɑːr nəɦẽː
طلب گار ہیں	tlbɣɑːr ɦẽːʔ
طلب گارِ	tɐlbɐɣaːr
طلب گارِ مرد	t̪əlfʊgɑːrˈ məɺd
طلبا	toːliːba
طلبانہ	olomoɾiːna
طلبگار	pəlaːbgaːr
طلبہ	tɑˈɫɑba
طلبہ وطالبات	ʈʰlbʔaːwt̪lbɑːt̪
طلسم	tɨlɨsm
طلسم بندی	dˈɪleːsɪn bˈɑndi
طلعت	tɑˈnɑb
طلوع	tʊnu
طلوع و غروب	tozuː wa ɣəruːm
طمانچہ	t̪æmɑːntɕːɑ
طمانچہ بر رخسار یزید	kmɑhɑtʃa bar rxsɑr jak
طمانچہ جڑنا	taːmaːntʃaː dʒaːrɔn
طمانچہ مارنا	tamaːntʃaːmaːrnˀna
طمانیت	taːmɑːnijæt
طمطراق	tʊ̞mːtʊ̞rɑq
طمع	tɑːmɑː
طمنچہ	tamɐntsʲa
طناب	t̪enɑːb
طناز	dɑːnˈnɑːs
طنز	tˈans
طنز و مزاح	tɑⁿzɔ mizaɾ
طنز پر	tɾˈansfˈɛɹ
طنز کرتے ہیں	kənʒ kəɾt̪eː əɪ̯n
طنزآمیزی	dɑːnzɑːmʔæˈziː
طنزاً	tˈɪ
طنزکرنا	tɑːnˈskˈarˈnɑ
طنزیہ	sanza
طنزیہ فقرہ	t̪ənzəiaː fqˈrɑː
طوائف	ɑːbuaːˈʔiːf
طوائف الملوکی	gəwaːjeː fʊl moːroːkiː
طواف	dɒˈvɒv
طوالت	daːvɑlɑk
طوبیٰ	tuba
طور	tɔr
طور پر	taɾpɾ
طورخم	durham
طورغر	doːrɯdɑɾ
طورپر	zɔːlpər
طوطا	tɔtɑ
طوطا مینا کی کہانی	toːt̪ɑː mɛ̃ːnɑː kiː kəɦɑːniː
طوطا چشم	tuː kaː tʃesɛ
طوطا کہانی	boːta kəhaːni
طوطی	tuːti
طوطی بولتا تھا	tuːtiː boːltaː tʰaː
طوطی بولنے لگا	toːt̪iː boːlneː ləgäːʔ
طوطی کی آواز	tʊɾˈtiː kiː ɑːwɑːz
طوطے اڑ جانا	toː t̪e oɽt̪ɦʰɑnə
طوع	tɔ
طوفان	tʊr˨˩koːn˩˩˦
طوفان آگیا	ʔʊfɑːn ɑːgɑːjɑː
طوفان اٹھانا	toːfʰɑːn ʊʈːʰɑːnə
طوفان باندھنا	dufɑːn baːgina
طوفان بد تمیزی	tʊfɑːn btɪrˈdʒiː
طوفان کھڑا کرنا	t̪oːfən gʱəɽɑː kɾnə
طوفانوں	tufɑˈno
طوفانِ باد	ɒːn t̪oːniː baːd
طوفانی	duːfãːniː
طوفانی آندھی	duːfɑːniː ɑːnʊdʒeː
طوق	tɔq
طول	tuːn
طول دینا	puːl beːnə
طول و عرض	tuː loː az
طول پکڑنا	toːl pəgːaːɾnaː
طول ہو جانا	toːl ɦoːnə
طولانی	tʊːrɑːniː
طومار	ɾmɑɾ
طومارباندھنا	tʊmaːrbaːnʱinə
طويل خاموشی	dʒoːil xaːmoːʃiː
طویل	tɑwɪl
طویل اجلاس	tɾoːiːl iːdʒlɑːs
طویل القامت	tɑbiːl ɔl kaːmɑn
طویل المعیاد	tɾɑːʋiːləl miːɑːd
طویل ترین	ɖəʋiːl ʈəɾiːn
طویل جنگ	d ʋeːl dʒɑŋb
طویل زندگی	tɐbiː zɪnˈdʒɪ
طویل عرصے	kəviːl əɾsɛ
طویل فاصلہ	dʊˈdʒʔiːl fʔɑːsəˈlɑh
طویل مدت	t̪ɐʋiːl mʊðˈʌtʰ
طویل نظم	dɐ viːl mɑzuː
طویلہ	t̪ɳoːʋɪlaː
طویلے میں لُتیاؤ	gəʋɛlɛːneː pnit̪jɑːʋ
طَبَق	tɑbaq
طَف	tof
طَور	dɔːr
طَِناب ِ مِعْمار	dnaːbʱmiːmːɦmɑː
طُرفہ	tʊɾvæ
طُعمہ	uʔalma
طُلُوع	tʊluo
طُلُوع آفتاب	tuɫgɯjˈɑtˈan
طُلُوع ماہتاب	ə bluɑj maxtaːb
طُوفانی آندھی	toːʊfɑːniː ɑːnɦiː
طُول	tuːl
طُول دینا	toːl ɖeːne
طُول طَوِیل	tuːl t̪aːbiː
طُول ُ الْبَلَد	toɾ al balat
طُول پَکَڑْنا	t̪uːl pəkːɽnːaː
طُول کَرْنا	t̪uːl kɾnə
طُول کَلامی	ouːrˈdˈɑlˈæxe
طُولانی	toɦlɑːniː
طُومار	umɑɾ
طِفل خطا کار	tifle xɑtɑ qɑːr
طِفلانہ گُناہ	t̪əslɑnɑ gʱuːnɑːʔ
طِلِسم	pliːssˈnˈ
طِلِسماتی	tʃiːzmɑːtɪ
طہارت	tɣɑrɑt
طہور	t̪oːʊr
طیارہ	tæjːɑːrɑh
طیارہ شکن نظام	fjajːaːra ʃaˈkan nizˈuaː
طیارے	flaːjːɑːre
طیرانی حرکیات	t̪əːɦɾɑːniː hɾkiːət̪
طیرانیات	ge̞ɾɒːniːɒːt
طیش	ˈdaʃ
طینت	iːɾuː
طیور	tʊjuɾ
طیوریات	ɣəˈjuːriːˈjæt
طیّارہ	fajːara
طے	dˈeɪ
طے شدہ	ɟajɛʃuða
طے شدہ تعریف	ne ʃoˈdɑr bɑːˈriːt
طے شُدہ	ˈej ʃuˈda
طے کرنا	t̪ɪ kɐrna
طے ہو	ðɛːɦo
طے ہونا	dæːhoːna
ظ	zˈʌɪ
ظالم	zɑˈlim
ظالم نہ بنیں	zæˈlim næbˈne
ظالمانہ اقدامات	zalimaːn æqdɑːmɑːt
ظالمانہ فوجی	zælmɑnɑ fʔdʒiː
ظالموں کے پنجے	zəːlmoː keː pndʒe
ظالمِ اظلم	zɑˈlɯm azɫam
ظاهر	zˈɑhɪr
ظاهرا	zɑːhʲiːraː
ظاهردار	zˈɑːhɪdˈɑːr
ظاهرداری	zəˈhɪrdɑːriː
ظاهری	zəhˈriː
ظاہر	zɑhɪr
ظاہر فاروقی	zɑːhɪr fɑruːqɪ
ظاہر نہیں	zəːhəɾ nəeː
ظاہر کی	zˈɑhˈrætˈi
ظاہر کیا	zɑːɦɪɾ kijɑ
ظاہر کیا گیا	zəːt̪ɦɾ kijɑ gɑːjɑː
ظاہر کیا ہے	zɑːɦɪɾ kijɑ eːeːʔ
ظاہرا	zəɦɪra
ظاہردار	zɑːhɪɾdɑːr
ظاہردارانہ	ðˁɑːhɪrˈdɑːrɑːnɑː
ظاہرداری	ðəɣeːrdɑːriː
ظاہرکیا	zɑːhɪrkijɑ
ظاہری	zæhˈriː
ظاہری صِفت	zɑːɦɪr̪iːl səfət
ظرافت	zraːfət
ظرافت کا مواد	zraːft̪ kaːmwaːd
ظرف	zärf
ظرف خلق	zæɾf χɑrˈq
ظروف	zʊˈruːf
ظروف سازی	zoːroːf sɑːziː
ظریف	zæɾˈiːf
ظریفانہ	nzəˈrɪfɑnɑ
ظریفانہ لفظ	ðæɾˈin fɑnɑː læfteˈvɑ
ظفر	zɑfɫɑɾ
ظفر اقبال	zəfʔ ˈaqbaːl
ظفر علی خان‎	zæfɑːr ɑliː xɑːn
ظفر وال	zˈafar vˈaːl
ظل	zɛlm
ظل اللہ	zɾjɑnalla
ظل الٰہی	zɪl ɪlaːhi
ظل الہی	ðˈɪlː ɪlˈlɑhi
ظل سبحانی	zəl sbhaaːniː
ظلم	zˈʌl
ظلم و استبداد	ʒuɫmoʁ qɯ̞sʊ̞ɫdɑɾd
ظلم و ستم	uzulmˈa sˈe tˈam
ظلم ڈهانا	zæl mædħɑːnɑ
ظلم ڈھانا	zʊlm dʒɑnə
ظلم کرنا	zəˈl kəɾnɑ
ظلم کروانا	zʊlm karvona
ظلم کے پہاڑ	zʊlm keː pəɦɑːɽ
ظلم ہوا	zəl muhimwa
ظلمات	zulmaːr
ظلمات فروشوں	glˈmɑːt fʁaː ʃuːn
ظلمت	zwlmɑt
ظلمت کدہ	zulmɑk kada
ظلمیت	zulmjat
ظن	zˈɛn
ظن غالب	zæn ɢɑˈlæb
ظنی	zannj
ظَالِم	zɑːlim
ظہر	zɔxʊr
ظہرانہ	zʊ̃ɾɑnɑ
ظہور	ðəhˈoʊ
ظہور پزير	zɑːr pə zɪr
ظہورجلوہ	zgrgaːgəlba
ظہورِ حیات	ðəɣoːr ɦɛjɑːt̪
ظہیر	zæhʲiːr
ظہیرالدین بابر	zəɦɪr æld̪iːn baːbər
ع	ajn
عائد	laɪb
عائد کر دیا	ɑːɪd kɐɾ diːə
عائد کر رکھی	ʔɑːl gərkʰiː
عائد کرنا	qɒɾˈikɒɾˈu
عابد	ɑːbɛn
عابد علی	ɢɒnbæn ɑːliː
عابد ہونا	kaʔabid hona
عاج	adʒi
عاجز	adʒiz
عاجزآنا	ɑːdʒizɑːnɑ
عاجزانہ	ɑːdʒzɑːnɑː
عاجزہونا	ɑːdʒizhˈoːnɑː
عاجزی	hˈaʊdˈɪzhˈi
عاجل	ɑˈdʒɯl
عاد	ɢɑn
عادات	ɑːdɑːk
عادت	ɑːdˈat
عادت بنا دی	ʔɑːdət banɑː di
عادت بنالیں	ɒˈdɒt bˈɒnɒliˈ
عادت سے نجات	ɑːdət seː riːdʒaːt
عادت پڑنا	aːðət paːnɐla
عادت چھوڑنا	aːdɑtʃorla
عادت چھڑوانے	ɑːdətʃoɺone
عادت ڈالے	ɑːd̪ʊt̪ d̪ɑːeʔ
عادت کو	ʔaːdatˈ k
عادت ہونا	ʔɑːdət ɦoːnɑ
عادِ اعظم	ɑːdiː ɑːzæm
عادی	tei̯˨
عادی افراد	ɑːbiː ɑpɾɑːd
عادی بنایاجائے	ɔːʔə bi binajɑː gɑːjeː
عادی مجرم	adɯj mudʒɾɯm
عادی مجرم ہونا	aːdijɯn ʁuzɾiŋ hona
عادی ہے	ɑːdiː ɦeː
عار	ɑː
عارض	ɑːrɪz
عارضِ تاباں	ɑːrz tɑːbɑː
عارضہ	ɑːrɪzɑ
عارضہ قلب	ʔarɪzɑ jæqqɛl
عارضہ ہونا	ɑːrizɑː ɦunə
عارضی	se
عارضی انجماد	qɑːrˈzi əndʒɪmoːn
عارضی طَور پَر	ɑːrˈzijtɑːr pəɾ
عارضی مرکز	ɑːɾzʏ məɾˈkəz
عارف	ɑɾʃ
عارف والا	ɑːrɪf waːloː
عارفانہ کلام	ɑːrɪfənɑː kəlɑh
عارِض	ɑːrɪz
عاری	qaritˤ
عاری ہونا	ɑːɾiːz mɔːnæn
عاریت	ɑriːjɑp
عاریتاً	paːɾiːjɐt̪n
عازم	ɑːzɯm
عازم سفر	ɑːzɪme səfəɾ
عازمین	paːzeːˈniː
عاشق	ʔaʃq
عاشق مزاج	ʔaːʃq naːzɑdʒ
عاشق ہونا	ɑɾtʃɯk hoŋɯ
عاشقى	aʃiqim
عاشقِ زار	ʔɑːʃq ðə zɑːr
عاشورہ	pɑːʃuːra
عاصب	ɑˈsɯm
عاصم	ɦasen
عاصمہ جہانگیر	ɑːsmɑː ɣʱɑː geːɾ
عاصی	qɑːsˈi
عاطفت	pɑːˈsˈifat
عاطِفت	ɑːtɪfɛt
عافیت	ɑːfiːh
عاق	æk
عاق کرنا	ɑq kɑrniχ
عاقبت	ɑkɪbɯt
عاقبت اند یش	aqibat ʔiːn dɪʃ
عاقبت اندیشی	ʔaːqibat ænɒːʃiː
عاقبت بگاڑنا	ɑqʲiˈbɑt byˈɑːrɯ
عاقبت نا اندیشی	ʔaqibat nɑ ʔandubɪʃ
عاقبت نااندیشی	ʔaːskibat nɒ ænˈdeːtʃi
عاقل	faqeːl
عاقِل	tuːjˈʌŋfʷʊʔt̚bɒɫplˈeɪɚzˈweəɹɪŋbluːəndjeləˈjuːnɪfɔːmsfˈaɪtfˈɔɹðəbˈɔl
عاقڵ	ɑqɯ̞l
عالت نا صواب	ɑhlɑtɛːnɑː swaːm
عالم	ɑːlɪm
عالم آرا	maːlɐm aːraː
عالم تھے	oælimtʰi
عالم خاک	ɑːlæm xɑːd
عالم غیب	ɑlɑm ɣæb
عالم میں انتخاب	waːlaːm wˈɪð ˈɪntɪxˈaɪm
عالم نزول	ɑlə me̞jnə zoːl
عالم نظرآتا	ɑɫem nøzɑrɑttæ
عالم پور گوندلاں	ɒlɒmbuɾgɒdlɒn
عالم گیریت	ɑːlɑːm diːriaː
عالمانہ	ɑhɑlmaːnɑh
عالموں	ʁalˈmɛnt
عالمِ اشیاء	ɑlɛmʔaːʃijɑ
عالمِ بالا	maːlɑːim eːeːlɑːlɑː
عالمگیر	alɯmjiːr
عالمی	maːlimi
عالمی ادارہ صحت	qɔːn ɦlɪniː ɑːdɑːrɛ seːt
عالمی برادری	pɑːləˈniː biːɾaːdəɾiː
عالمی تنظیم	ʔalimˈliː tˈnziːm
عالمی ثقافتی ورثہ	aːləmiː səpˈtaː fʈt̪iː vrsɑ
عالمی جنگوں	ħɑlɑmɪ dʒangɔː
عالمی خانہ جنگی	qɑːliniː xɑːraː dʒendʒiː
عالمی سطح	fɑhɛl miːn sɑtˈtɑ
عالمی شہرت یافتہ	qɑːljmmiː ʃuħrɑt jaːskɑ
عالمی شہری	ɑlmi ʃæhˈriː
عالمی طاقتوں	ɑlmiː taːqtɑqoːn
عالمی علماء کونسل	laːlmi jpʃnɑr pɑwˈsɑ
عالمی وباء	ʔɑːləmiː waːbaːʔ
عالمین	ɑlɪmɨːn
عالى	qɑliːm
عالَم	alim
عالَم بالا	laβ̞e̞n baːla
عالَم خیال	ɑlæm xɑjɑl
عالَم سفلی	ɑːlɑːm e̞sɒːfiː
عالَم گیر	qɑlɑmgiː
عالَمِ اِمکاں	paːlæmi ʔiːnkɑːm
عالِم	paːlɪm
عالِم الغیب	ɑ ɫɛɾɔzɑib
عالی	ʔaliː
عالی جاہ	ɑːliːdʒɑː
عالی جناب	ɑli dʒənɑm
عالی خاندان	ɑli əχɑːndɑːn
عالی شان	ɑːliːʃɑːn
عالی ظرفی	ʔɑːliː zəˈrɑxˈi
عالی مرتبہ مجتہد	ɑːliː ˈmɑːtəbɑː mʊstɦɪd
عالی منش	ɑli mʌnɪʃ
عالیہ	ɑːhlɪjæ
عام	am
عام آدمی	ɑm ɑːd̪æmiː
عام انتخابات	ɑːm ɑntxɑbɑt
عام انسان	ʔɑːm ɪnˈsɑːn
عام بات	ɢɑmˈbɑt
عام بول چا ل	koːaːm boːnˈdʒɑːl
عام تعطیل	oːm tˤaːtiːl
عام تھیں	ɔːm tʃiːm
عام حالات	ɑn hɑlɑt
عام دن	ɑːm dɪn
