.अश्वमेधाधिकं	aːʃuːniːɖɦdiːkəm
द्यौष्पितृ	ðɛaːʃβitːɐr
द्रष्टुमपि	diːrʃtuːəbiː
द्रुपदपुत्रेण	trupɾɐdɐputrɪɾum
द्रुपदश्च	drupadɛʃtɕɛ
द्रुपदो	drupadau
द्रौपदेयाश्च	drou̯pɐdeːiːastʃə
द्वापर	ɖʋɑpɾ
द्विजोत्तम	dʑoːtɕitam
द्वैत	zuaɪp
धनञ्जयः	daːnɛndʒajɑ
धनुरुद्यम्य	taːnulunʒyømneyø
धन्योस्मि	d̪ænjɔːsmɪ
धर्म	tɑrmɯ
धर्मक्षेत्रे	d̪ʱrmoːkʃeːt̪re
धर्मशास्त्र	ɦrmʃɑːst̪ra
धर्माणि	d̪ʱaɾmaːɽiː
धारयेत्तस्य	ðˈɑːrjeːt̪əsjɐ
धार्तराष्ट्राणां	dæɾkʰæɾɑːʃtæɾɑːnɑː
धार्तराष्ट्रान्	d̪ʱaːrt̪ərɑːʃt̪ɾɑːnoːʔ
धार्मिकम्	bʱaːbɐɾmikwm
धीमता	d̪iːmət̪aː
धूपं	drupɔm
धूम्र	nˈoʊjˈumˈʌsəlɚmˈiˈændmˈaɪˈɔfɪsflɔː
धूम्रवर्ण	tumravarmja
धृतराष्ट्र उवाच	dʁɫt rɑʃtʃɯ uɫatʃɯ
धृतशरधनुषं	draːtəʃəraːdbʱanusːham
धृष्टकेतुश्चेकितानः	d̪ɾʃt̪keːt̪oːstʃeːkiːtaːnɦɦ
धृष्टद्युम्नो	ðrʊʃtɑdajɛvnɑ
धैर्यं धारय	d̪ʱiːlɪm ɖʱaːɾeʔ
धैर्यम् कुरु	ɖʱjrjəm kɾuː
धौती	halti˥˩
ध्यात्वा	tɕja˥˩tsua
ध्यान	dʒɑn
ध्यायतो विषयान्पुंसः सङ्गस्तेषूपजायते ।	d̪iʱaːjɔto ʋiʂaːnpʊʋ nʃɦ ʃɽgəsʈe ʃʊpəgɛ te
ध्यायेदाजानुबाहुं	daːdʒaːnbaːhõ
न	lˈo
नकुलः	nˈəkuːlɑ
नक्तंचरान्तकम्	nkt̪emtʃrnd̪əkəm
नगर​	nˈoːgˈaɾˈa
नचिकेत	nɑtʃɛke
नदी	ləbˈi
नन्द	nˈɑnd
नभश्च	nabwɕtʃa
नम: ॐ	naːmɑː ɑːm
नमस्कारः	nãːmãsˌkara
नमो	namo
नमो नमः	namɔːnama
नरः	dˈɾˈo
नरपुंगवः	n̪əˈɾɑːpuːŋgəbãn
नरसिंह	nrsiːə̃n
नरो	nəɾo
नवकमलदलस्पर्धिनेत्रं	nɑmɑqaːlɑdɑlɑspariːt̪iːlejt̪oɾɑm
नागा	naðɑ
नागार्जुन	næˈgæˈriːmiːn
नानालंकारदीप्तं	naːnaːlɔːŋkːaːɾɐdiːt̪ːəm
नानाशस्त्रप्रहरणाः	naːnɑːʃɛstraprʊɣrɔnaː
नाभिं	naːbiːb
नाभिजात	naːlˈmiːˈdˈadˈ
नामन्	naːmɐn
नामभिर्दिव्यैः	naːmɑpeɾdezɫijoɾ
नायका	naːjəga
नारङ्ग	naːrɯldɯ
निः	niːki
नियम	nˈijim
निरृति	irretti
निर्वाण	nɪɾoɑːn
निवतकवच	nivaatqoːʋaː
नीरदाभम्	niːradaːbʱuːm
नीललोहित	niːlloːhɪd
नीलोत्पलश्यामं	niːlɔtɛfɛlʃiːjaːmɔmɑ
नृप​	nˈjˈ
नेमिनाथ	mjˈmˈɪnˈatˈ
नैष्काम्य	nʲæ̹ːʃʲkʲɑmːʲiːn
नो	nɔx
नौरक्षणस्थान	nɔuːrakʃaːnɛstʰɑːnw
पंचतंत्र	apontsetɛnse
पञ्चमी	ɔːnˈʃemi
पठन	faktenla
पठेत्	pʰəˈtʰeːt̪
पठेत्प्राज्ञः	kʰəɖʁpɾɑːdʒnɪɑː
पणवानकगोमुखाः	daɾivaːnəkaˈgoːnkʰə
पण्डित	pɐɳɖɪ
पतति	patˈatˈi
पतन	pɑtɑnɑ
पथि	pətiː
पद्माक्षं	bˈɑɺtˈmɒnˈɑksɑmɒ
परमहंस	pramahamsa
परमहंस योगानं‍द	bəram ɦaːms zoːəndaːnndi
परमात्मन्	baːrɪmaːtɯmeˈlˈbɑːr
परमात्मा	ɸəɾmaːtəmaː
परमार्थः	roːmˈɑːrdtˈ
परमेष्वासः	pɾmiːɕʋɑːsɑ
परशुराम	pəɾeːʃuɾaːm
परस्परोपग्रहो जीवानाम्	peɾ ez pə luːg gɾaːɣo dʒiː baːnɑm
पराक्रमः	ʊrraːkɾˈmɔ
परिक्षित्	pariːkːʃiːtː
परिनिर्वाण	pəɾiːnəɾʋɑːɳ
परिव्राज्	pəɾiːʋɾɑːdʒ
पर्याप्तं	fəɾɪɑːt̪əm
पशुपति	pəˈʃupəti
पश्चाद्वर्तिन्	plʃtˈʃɑːttʋɐɭtn
पश्चिम	fɛˈʃtɕima
पश्चिमबङ्गाल	pʊstʃjmbŋgaːl
पश्चिमवङ्गराज्यम्	pʃtʃimwŋaːrɑːdʒɐm
पश्यति	fæˈʃæti
पश्यामः	əʃɑmɑh
पश्यैतां	pəʃiːnt̪aːm
पाञ्चजन्यं	paːnʧdʒədʒəːnjɐm
पाटन	pɑːrˈtɑnɑ
पाटलिपुत्रः	paːʈaliːpːt̪ːru
पाणि	taːniː
पाणिनि	maːɾiːn
पाणिनिः	paːɽne
पाण्डवः	paːɳɖəɔ
पाण्डवश्चैव	poːɳɖʋəsgɐjʋɑː
पाण्डवानीकं	paːɳɖʋaːnkːam
पाण्डवाश्चैव	paːndʋaːstʃjɔː
पाण्डुपुत्राणामाचार्य	paːnd̪oːkuːtɾaːɳaːmɑːtʃɑːɾiː
पातालभूतलव्योमचारिणश्छद्मचारिणः	uaːtɑːləgmuːtəlʊɪtʰõːumtʃaːɾiːʃæɾdmətʃɑːrliːm
पातु	paːtuː
पादौ	pd̪oː
पापघ्नीं	paːpagɱim
पापैः	pɑpɑjɑ
पारमेष्ठ्यं	paːrmʲiʃtʃʲm
पार्वती	pɑːɾtʋat̪iː
पितामहः	itaːnoxo
पिबति	tɛbɑ̃tˈi
पीतं	spi˥˧tɤm˥˩
पीतवाससम्	biːt̪əʋaːsːs̪m
पुंडरीकविशालाक्षौ	puːnːd̪ɾiːkvɪˈʃɑːlɑːkʃɐːw
पुंसां	an˩˩˦sɑ˥˩m
पुण्डरीक	pɐndɐriːka
पुण्यं	pʊˈnˈɪm
पुत्राणाम्	t̪ɾaːɺaːm
पुत्री	putri
पुत्रौ	pɔtrɔ
पुराणपुरुषोत्तमः	puɾaːɳəmuɾuʃutama
पुरुजित्कुन्तिभोजश्च	pʊɾdʒt̪kʊɳt̪iːboːdʒɐʃt̪ʃə
पुरुष	puɾʃ
पुरुषः	bɔɾiʃɐ
पूरयेदर्धमन्नैर्भागं	poːrajəy̯ʈərɣəmaːnɑjɪrʈʋaːɣɪn
पूर्ण	uriːw
पूर्वे	pˌuɾʊvˈeɪ
पूषन्	pu˥˩ʂan˥˩
पृथक्पृथक्	pɾʊtʃaːkapə
पृथिवीं	prɔtvim
पृथिवीपते	lətˈvjpətˈe
पौण्ड्रं	pˌɐ̃wˈmɾˈɐ̃ʊm
प्रकृति	pˈɾˈakˌɾˈʊtˈjˈf
प्रणामासन	prenamason
प्रतापवान्	fərtɑpˈn
प्रतिपद्यते	pɾətipəd̪ɪet̪eː
प्रतिष्ठम्	pɾɔt̪isʈʰɐm
प्रतीत्यसमुत्पाद	pɾɐtˈitˈeasɐmˈudpˈadɐ
प्रत्युष	pɾakt̪jus
प्रथमान्यासन्	urətʰmɑːnijɑsjn
प्रदध्मतुः	rðmõtʊ
प्रभुः	bəˈɾəbʱu
प्रभुद्धो	pɾɐvutˈo
प्रभुपाद	ʃʰbʱˈɪbɪk
प्रविस्तरम्	praviztɔɾɨm
प्रवृत्ते	prɔvrʲytte
प्रसन्नम्	pɾɐʃənːəm
प्रसह्ये	pɾsɐiːe
प्रसाद	rsɑdɐ
प्रसीदति	presidati
प्राचीनविमानशास्त्रम्	ɾatʃiːnɨwemɑnʃastrɨm
प्राज्ञ	pɾagj
प्राण	dˈɾˈnˈ
प्राणदान	bɾaːɳɑːg
प्राणायाम	ɾaːɳaːjaːm
प्रातः	praːt̪ɐ
फलमूलाशिनौ	fælæmwaˈlaːʃiːnɑm
बंगाल	bəŋˈgɑːlə
बकासुर	luɔ˥˩
बद्धपद्मासनस्थम्	waːdbabadamɑwɑsɑnstʰɑm
बध्नाति	bd̪näːiː
बलं	baləm
बली	balim
बहवः	bɑbä
बहुकालतः प्रतीक्षां करोमि	ɟaɫkaːla tak pratiːk ʃaːn
बाङ्गलादेशः	bɛːŋlɑːdɛʃ
बाणासुर	baːɳaːso
बिंदु	ɛmˈduː
बिभीषणश्रीदः	bɑːɾˈjiʃɾiːdɑf
बुद्ध	b�ˈtəʊt
बुद्धि	ud̪i
बुधकौशिक	oð̞akauʃɪkɑ
बुधकौशिकः	oð̞akoʃika
बृहदारण्यक उपनिषद्	t̪riɦɦ ɦrn̪jɦk ʏpnjɯʃɐð
बृहस्पति	ʋɾiːtʃpət̪iː
बोधि	budʰi
बोधिधर्म	boːd̪ʱiːɖʱəɾm
ब्रवीत्	bɾaːaː
ब्रह्म	bram
ब्रह्मचारिणौ	bʱɾɑ̃ːbʱɑːʃaːɾiːɾɑː
ब्रह्मन्	bɾamẽn
ब्रह्मपुत्र	bɾˈammˈodədɾˈe
ब्रह्मा	brama
ब्राह्मण	ɓɾäːmɾʊ
ब्राह्मणं	bəːmmɾəm
ब्राह्मणम्	brahmano
भक्ति	dʌpːi
भक्ति योग	batkɨjok
भक्तिवेदांत	bɐtːɪbʲeɪdaːmdʊ
भक्तिवेदान्त	nʊ̞ktʊɾeːlɑːmtʊɾ
भगवद्गीता	bʁvætgʲiːntɑm
भग्नेशकार्मुकः	bʱɐ̃gːnẽːʃkɑːrnˈgɦ
भद्रकाली	bd̪rɪkɑːliː
भरतः	paɾat̪a
भरतवंदितः	bʱaːɾet̪əʋɑn̪d̪iːt̪s̪
भवन्तः	bʱoːaːnt̪a
भवान्भीष्मश्च	babaːniʃmɒʃtʃɒ
भवेत्	ɔːweːt
भागवतपुराण	ɓʰaːgʊt̪pʊrɑːɳ
भानुवासरम्	ɑːnuːəsrm
भारतम्	bʱaːrətəm
भालं	bʰɑːlɑːm
भाषा	pˈaɾʃɑ
भाषायाः प्रयोगे असंसक्तिः अपनीया।bhashaayaah prayoge asamsakti(h) apaneeyaa	bʱaːʃaːjj prəjoːnʲe ʔsm st̪ʰɪf əpəɳiːɪ
भीमकर्मा	ɓiːvkəɾəmə
भीमाभिरक्षितम्	bʱimɑːbʱiɾɑkʃɪt̪mɑ
भीमार्जुनसमा	biːmɑːɾdʒʊnsəˈlɑːm
भीष्ममेवाभिरक्षन्तु	biʃmmiːʋɑːviːrɑkʃæɪdbəʃm
भीष्माभिरक्षितम्	bʃɪmaːbiɾɯkʃitɑnɯ
भुक्तिं	ɾuktiɟ
भुजौ	ub
भेर्यश्च	ɓʱɪɾiːəʃtʃʰoː
भैषज्यगुरु	pˌɐɪʃˈaɪɐgˈoɾʊ
भोः	bo
भौज्यं	aɫdʒm
भौमवासरम्	maːməˈvaːsram
भ्रगुवासरम्	brəgau̯vaːsram
भ्रातरौ	bjɾaːtrɔ
मंगल	mŋgɭiː
मखत्राता	ŋgʰtˁraːtaː
मगध	mqadɯ
मञ्जुश्री	mãnˈdʒʊːʃiʁɛ
मणि	mˌɑli
मणिपूर	mˌɑɽiːpˈoːɭ
मण्डल	mandəla
मति	mati
मदर्थे	mad̪æɾsiːm
मद्भक्तः	batˈbˈɫæktæˈɾ
मध्यं	ʁʊdˈm
मनस्	moniz
मनु	mˌanˈu
मनुस्मृति	baːnəsmɾiːtiːvaːnəsmɾiːtiː
मन्त्र	m̪əntːɾə
मन्त्रिन्	mantɾiːn
मम	nɔ̃nɔ̃
मम नाम	mamma naːmɑ
मयासुर	mʱɑːsʊɾ
मय्हं	mɐjɐm
मरीचि	moriti
मरीची	britɪ
मस्तकम्	mɪ̞sʊ̞kɯ̞mɯ̞
मह	mʊ̞hɑ
महति	ʋɦt̪iː
महतीं	mʊhətɪm
महर्षि	mɦɑːrʃiː
महर्षि महेश योगी	mɑːɾʃiː mɑːɦʃ joːˈjiː
महा	majaː
महाकाल	maʊːjɑqɑl
महात्मा	mʌhɑtmɑ
महानिद्रे	maːhaːnidrɛ
महापातकनाशनम्	mahaːpaːt̪gənɔːʃnum
महापुरुषलक्षण	mɦɑːpʊɾuːʃɐlkʃɽɐ
महाबली	mʰɑːbʱli
महाबलौ	vohaːbalo
महाबाहुः	moːhɑːbaːhəʔ
महाभारत	mʌɦbʱɑːrɑːt̪
महाभारतम्	mɦbʱɑːɾt̪ɐm
महायान	mɑhɑjɑːn
महारथः	maːɦaːrtso
महारथाः	mʊ̞hʊ̞ːrtˤɑ
महाराजाय	ʋɑhɑɾɑːgɑːgɑːiː
महावीर	maapiːr
महाशङ्खं	mʊ˨˩˦hɑŋ˥˥sŋ˨˩˦kʰɤŋ˥˥
महिमान:	wɑhimaːn
महीपते	moɦiːpətːi
महेन्द्र	maːeːnhĩːnbeːrĩː
महेष्वासा	weːɦeːʃʋɑːsɑː
मह्यम्	maħn
माधवः	maːɖʱʊäː
मामकाः	maːmqaa
माया	maja
माहाराज्यमाधिपत्यमयं	ʋɑ̃ːɾäːtʃmɑːd̪ʱiːpətʃmɪn
मित्र	mitˈɾa
मित्रा	ɦɛkɾa
मीमांसा	mimaːsaa
मुक्ति	mʊkʈiː
मुक्तिं	mukt̪in
मुखं	lu˥˩kʰɤ˥˩and˥˩
मूलाधार	mulɑːnɑːt
मृत्युञ्जयमन्त्रः	bərtʰiundʒajaməntəra
मे	mˈin
मेघदूतम्	mɛgɑd̪uːt̪ɐm
मेथति	mjt̪ʰət̪iː
मेला	mela
मेऽच्युत	miːtɕiːut̪am
मोक्ष	mˈɔk
मौर्य	mɔɾi
यः	dʒoː
यजुर्वेद	jɛgɾʋeːt
यजुर्वेदः	ˌaʒɐʒˈɔɾəvˈeɪdɨ
यज्ञस्य	jˈˈɐ̃ʒˈɛsˈtɪʊ
यज्ञेशः	jɛdneːʃm
यत्र	zjætrʲ
यथा	jet̪a
यथाभागमवस्थिताः	jɑtɑːbʱɑːgɑːnɑːfst̪iːtʰɑː
यम	ljov˨
यशोदा	jaʃo˩˥ːda˥˩
याज्ञवल्क्य	jaãmbβ̞alke
याम	jaːm
युद्धविशारदाः	jt̪ʰʋiʃaːɾeðaː
युधामन्युश्च	jʊ̞dʊ̞mʊ̞nʊ̞ʂtʃʊ̞m
युधि	ˈɛˈʌdi
युधिष्ठिरः	jdeːʃkɛːr
युयुत्सवः	jˈʝisɪvˈa
युयुधानो	jɔjʊdɑnɔ
युवा	ʒˈuˈɑ̃
यून	juːn
ये	ljˈe
यो	jo
योग	ʝˈogrʊ
योग निद्रा)	joɣ nidrə
योगासन	jʊ̞ːgəsən
योगिनी	joːgini
योगी	io
यज़्ञ	jɯnˈʃæ
रक्षः	akʃa
रक्षःकुलविनाशकृत्	rakʃaŋˈgʏlæviniæʃɪkɾɪdʏ
रक्षणाय	ɾəpʃəɾɑːjõː
रक्षां	ɾəkʃɑːm
रक्षितं	ɾəkːʃiːt̪ɐ̃ɐ̃
रघुत्तमः	rəgətˈtaˈmuː
रघुनाथस्य	rˈgunˈaːtfˈɛstˈiʁˈ
रघुवरं	ɾaːguɫɑrɯ̞m
रघूत्तमः	rʁˈʌgutama
रघूत्तमौ	lə-gˈutamɑ̃
रत्नसम्भव	raːtnəsembaxuɦu
रथं	ɾət̪m
राक्षस	rakʃɯz
राघवः	ɾäːgʱ
राज	ɾɑːtʃ
राज योग	ɾɑːdʒog
राजगृह	rɑːdʒgrɾɦ
राजन्	əɾaːdʒən
राजा	ɾaːdʒɑː
राजीवलोचनम्	radʒiːvjodʒanɐm
राजेंद्रं	ɾɑːɟeːɛŋdɾəm
राज्यं	ɾɑːdʒɯm
राधा	ɾɑːd̪ʱhɑː
राम	ɾɑːm
रामं	ɾɑːmɑn
रामः	ɾaːnɔ
रामकवचं	raːmʊkʋɐtʃɐm
रामचंद्रम्	ɾaːmtɕəɳɖɾəm
रामचंद्रेति	ɾɑːmɑtʃʌnd̪ɾeːdiː
रामनामभिः	rɑmnɑmɔbi
रामनाम्नाभिरक्षितम्	ɾɑmɯnɑːmnɑːbiɾɑkˈʃɪtəm
रामबलोपेतां	raːmɑbeːlɔpeːt̪ɑm
रामभद्रेति	rɑːmbʱt̪ɾed̪ʱiːm
रामरक्षां	ɾɑːmrəkʃɑːm
रामरक्षांमिमां	rɑːmrʊkʃaːmneːmɑː
रामरक्षास्तोत्रजपे	ɾɑːmɾɑːkʃɑːst̪ʰoːt̪ɾɟʱeʱ
रामलक्ष्मणावग्रतः	raːməlaːkʃoɺaːnwaˈgrdɑ
रामलक्ष्मणौ	ɾɑːmləkʃmɾoːn
रामायण	bɾʲaamajɨl
रामायणम्	ɾɑmaːjɔn
रामेति	ɾɑːmɪːɖiː
रामो	raːmum
रामोखिलं	ɾɑmɯkæˈlim
राहु	ɾaː
रुद्र	wtɾ
रूप	ruː
रूपसंपन्नौ	rupasampãnpnou̯
लंका	ləŋkɑː
लक्ष्मणपूर्वजं	ləʃmɾabpuːrʋɛdʒm
लक्ष्मणानुचरो	nkʃwɾaːɾijtʃɾuː
लक्ष्मी	lækʃmiː
लक्ष्यं लभते	ləqʃiam læbˈðiː
लभते	labʱat̪i
लिखितवान्	niːtʰw˧n˥˩
लिप्यते	lipːˌitˈe
लीला	jˈɛˈɛ
ळ	lˈɛˈɛɹlˈɛ
वङ्ग	uɔ̃ɴgɑ
वचनमब्रवीत्	pɔtʃɛnɛmɔbdrɔvitɔ
वचनम्	voːtʃənɯm
वज्रच्छेदिकाप्रज्ञापारमितासूत्र	ʔt̪ʃnʃaɾat̪oːrkapəɓkeːɑpɑːrmɪt̪ɑːɔsoː
वज्रपंजरनामेदं	ʋdʒɾpndʒɾnaːmɛd̪m
वज्रयान	ʋdʒrjɑn
वदति	vadati
वनिता	gonjita
वपुः	vˈapuʁ
वयं वैश्रवणाय	ʋəɭəm ʋɛʃɾ ʋɑːɭɑːjʌm
वराह	bəˈraːˈhɔː
वरुण	ʋəruːn
वर्ण	varna
वर्धमान	fardɑmɑːn
वर्षा (varṣa)	ʋrʃa
वसानं	ʔaːsaːnəm
वा	va
वाक्यमिदमाह	akːt-iamidmaːha
वाङ्ग	ɫɐŋg
वात्स्यायन	patsiajˌen
वामन	lau˥˩mən˧
वामांकारूढ	ʋaːmaːŋgɑːrʊɭ
वाराणसी	laːɾaːntse
वाल्मीकिः	valmikia
वासिन्	væsjɪm
वासो	ʋɑːsʊ
वि	vˈi
विकर्णश्च	ʋiːkɾnəʃtʃjɑ
विक्रान्त	vikˈrɑnto
विचरति	ʋɪtʃːəɾɐt̪iː
विचिकित्सा	dobratʃiːzikɔd̪
विजयी	ʋidʒɑːiː
विज्ञान	niːnn
विद्या	vidˈe
विद्या दान	ibia daːm
विद्यानिधिः	fəˈt̪ɪɑːnlɪˈɾiː
विनता	wɪnataa
विनद्योच्चैः	ɪndioːtɕːəjə
विनयी	vinaji
विनियोगः	ʋɪnijoːgɦ
विन्दति	nʲindʲi
विपर्यय	bipeɾbejˈatʃ
विप्रप्रियं	tɛstprapˈrɪjɐm
विभुम्	bɨmːa
विमान	vɛman
विराटश्च	biɾaːrʈəʃtʃə
विरामः	miːraːma
विशिष्टा	miːsiːʃto
विशुद्ध	bʃdː
विशेषतः	ʋɪʃeːʃɪt̪ɑː
विश्वकर्मन्	ʋiʃbäkɐrmən
विश्वकर्मा	bʃvʃkːərmɑː
विश्वामित्रप्रियश्रुती	ʋiʃʋaːn̪d̪ɾɪpːɾijɐʃɾud̪i
विष्णु	miʃnu
विष्णुः	voʃtnuː
वीर्यवान्	miɾˈjɑwɑnum
वृ	v
वृकोदरः	druːkɔːdaruː
वृत्र	bɾitːrə
वेद	ɹˈɛd
वेदः	veːdu
वेदान्त	veːd̪aːndu
वेदान्तवेद्यो	biːnt̪eːn̪gint̪eːmɛn
वैराज्यं	bojraːdʒiːm
वैरोचन	væjˈrɔtʃʲæˈnɑ
वैवस्वत	vˈaɪvəswˈət
वैश्य	bɛʃim
वैश्रवण	vojʃroveno
वैश्रवणाय	ʋɛʃɾʋɪdʒaːlɔ
वैश्रवणो	ʋaɪlɾʋɳoː
व्यदारयत्	giːt̪aːrjɛd̪
व्यवस्थितान्दृष्ट्वा	vʲɛfʲɛtaːlɛmdʏʃtʲɛmaː
व्याकरण	bijakrɛn
व्यूढं	n˩˩˦eːw˧ʈhʊ̞ŋ
व्यूढां	miuːdom˧˧
शंकराचार्य	ʃɑŋkɐɾɑːtʃɑːɾiːə
शकुन्‍तला	ʃæktɪlɑ
शक्तास्ते	ʃktaːst̪iː
शक्तिः	ʃəkʰt̪iː
शक्यते	ʃəkːt̪eː
शङ्कर	ʃɒŋˈkə
शङ्खं	ʂɤŋ˥˥kʰɤŋ˥˩
शङ्खान्दध्मुः	ʃmkʰaːn˥dtɪmx
शङ्खाश्च	ʂɤŋ˥˥kʰɑ˥˥stɕjɑŋ˥˥
शङ्खौ	ʂaŋ˥˥pʰɤ˥˩
शतकोटि	ɑʃəkːoːʈiː
शतम्	fʃatʃɐm
शनि	ʃˈɛ
शब्दस्तुमुलोऽभवत्	ʃɛtːɛstʰɪ̞wmwlʉwbɑɫɯ̞ðɯ̞
शमथ	ʃamɯt
शरण्यौ	ʃɾrɐɳɳɛ
शर्करा	ʃərgəˈra
शव	ʃɑlɑ
शस्त्रसम्पाते	ʃɛʃtrsəmpaːt̪e
शांतमूर्तिम्	ʃɑːnt̪bt̪ɪl
शाक्तं	ʃɒptim
शाक्य	ʃɒpkiˈm
शाक्यमुनि	ʃɑːbkiːɔmɪliː
शान्ति	nˈəˈ
शास्त्री	ʃɑːstˈriː
शिखण्डी	ʃiːkʰeɦn
शिव	ʃˈivʃˈivə
शिष्ट	ʃɯˈʃtʏ
शिष्येण	ʂɚ˥˩ʂɚ˥˩
शीर्षासन	sirʃasana
शील	tʃiːl
शुक्र	ʃukr
शूद्र	ɕudr
शूरा	ʃuːˈra
शूरो	ʃuːroː
शैब्यश्च	ʃajbʲeʃtʃʲa
श्यामलं	ʃamɨlɪm
श्र	ʃɾðʃiʃraddʒa
श्रद्धयान्वितः	ʃrɛdːøjɑnmiːdæm
श्रमण	ʃʲɾɛnˈɫ
श्रावक	ʃɾɑːbɑkə
श्री	ʃˈiːn
श्रीं	ʃɾiːm
श्रीमद्	ʃɾiːvɑːn
श्रीमद्भगवद्गीता	ʃɛimatbaːkbjɯɬta
श्रीमहादेवी	srmahadɛːbi
श्रीमान्	ʃɾimaːn
श्रीरामचंद्रचरणौ मनसा स्मरामि	ʃɾeː rɑːmj tʃndʒdʒɾnõː ɑnɪsɑs məɾɑn
श्रीरामचंद्रचरणौ वचसा गृणामि	ʃiːrɑː mə tʃʰəɳɾɾ gəɪ nɑːr ʋətʃ sɑbɾ oːɽɑːn
श्रीरामचंद्रचरणौ शरणं प्रपद्ये	ʃɾɦ ɾɑːmɪ t̪ʰɐmɾjɐtʃɐɾɐne ʃɾɐɾd̪eːnt̪ɐkʰt̪ kiːf
श्रीरामचंद्रचरणौ शिरसा नमामि	ʃmiːˈnɑːn tʃiŋˈnɑj dʒɛjɾaːn ʃæriːˈsʔad bɑːniː
श्रीरामचंद्रप्रीत्यर्थे	ʃɾiːɾäːmtʃɛnd̪ɾprɐkʈijɐɾθɛː
श्रीरामरक्षास्तोत्रमंत्रस्य	ʃɾiːrɑːmɾɑfʃɑːstoːrtəməntɾəssiː
श्रीलङ्का	ʃtʃajlɔːnˈkɑː
श्रीसीतारामचंद्रो	ɕɹiːsiːt̪ɑːɾɑːmtʃəɳɖɾoː
श्रुति	ʃɾoːt̪iː
श्रेष्ठौ	ʃɾɛʃtʃou
श्लोक	tʃlou
श्वसिति	ʃwˈasˈidi
श्वेत	ʃmˈit
श्वेतैर्हयैर्युक्ते	ʃʋt̪əɾajɔɾɔpʰteː
षष्ठी	ʃʃtʃtʃ
स	sˈoʊ
संघ	səŋguː
संजायते	sndʒaːjtiː
संज्ञार्थं	sbʱiaːrtʰm
संति	säːɪtːiː
संतोषं करोति	snt̪oːʃm kəɾoːt̪iː
संधि	snd̪iː
संध्या भाषा	sən˥˩ɖʰɑː˧pʰaː˧˥ʂaː˥˩
संप्राप्नोति	sɐuːpəɾaːftnoːt̪iː
संशयः	sˈoʊʃiə
संसार	səɳsaːɾ
संसारिणो	saːsɑːrɪruː
संस्कार	sau̯skala
संस्कृत	sãn̪d̪skɾet̪
संस्कृतम्	samskrð̞ɐm
संस्कृता वाक्	saŋsgirtɐvɐ
संस्मरति	sansməɾəti
सकलापदाम्	sklapədaːmə
सक्थिनी	skkətiːn˧
सगुण	sabuɬ
सङ्कर	sanera
सचंत	satʃɛntɛ
सञ्जनयन्हर्षं	saŋgənɛnˈnɑhɯhaɾˈʃiˈm
सञ्जय	sɛndʒe
सती	st̪iː
सत्	sˈat
सत्य	satʰjɐ
सत्यता	səbˈt̪jət̪ə
सत्यमेव जयते	satː jɑm ɛːvɑjtʃøte
सत्यवान	sat̪iaːn˩˩˦uaː˧n˩˩˦aː
सत्यसंधं	sekˈlɑnʃˈ�ʃˈɛstlˈɑn
सत्याग्रह	sət̪jɑːgərəɦ
सदैव	sebeɪl
सद्गुरू	satgɯɾu
सद्धर्मपुण्डरीकसूत्र	ɕaːd̪ʱarmapuːngaːɾiːkjaʃud̪ra
सनातनधर्म	snəːt̪ʰnaːd̪ʱəɾm
सन्नद्धः	sænmætˢdø
सप्तचत्वारिंशत्	ʃɑptɑtʃɑtɯ̞rɯ̞mɯ̞ʃɑt
सप्तमी	satːamiː
समंतपर्यायी	saˈmɑntabɑrjɑːˈjiː
समवेता	dʒoːsʋeːt̪aː
समाधि	smɑːn
समितिञ्जयः	saːmiːtiːndʒeː
समुद्रगुप्तः	samut̪rɛgul
समुद्रपर्यंता	semwnt̪ɾepɾɛɾẽn̪t̪o
समृद्ध	sʌmˈrud̪ʱʌ
सम्बोधन	samboɾdãn
सम्यक्संबुद्ध	səmjæksəmbwt
सर्व	sɛrv
सर्वकामदाम्	srvkɑːmdaːmə
सर्वत्र	sɐɾʋt̪ɾu
सर्वधनुष्मताम्	srʋd̪ʱnːuːʃmd̪nɑm
सर्वशः	səˈɾoʃo
सर्वसत्त्वानां	srvjasɛtˈvɑnɑːm
सर्वसिद्धयः	saːrwasˈɛtdɑjˈe
सर्वारम्भ	sɐɾʋaːɾɐmbʱɑ
सर्वे	sɛrˈviːt
सर्वेषु	səɾveːʃu
सलक्ष्मणः	sæləbʃmɾa
सहदेवश्च	safedeɴmastʃa
सहसैवाभ्यहन्यन्त	saː˩˦saː˩˦iː˧waː˨bian˧˧tɔː˥
सहस्रार	sastraːm
सांख्य	sˈæmkjˌu
साडी	sɑːɾiː
सात्यकिश्चापराजितः	saːtʃtʃɑːkɪʃtʃɑpəɾɑːdʒd̪eː
साधना	saːd̪ænˈɑm
साध्या:	sɑːt̪ɳɑːɦ
सामवेद	saˈɛːmɛldˈiːzɛʁˈmɛ
सामवेदः	saːnuveˈde
साम्राज्यं	saːmɾatʃɯm
सारल्य	sau̯raːlja
सार्वायुष	saːɾvaːnjʃ
सावित्री	saːrt̚˨˩vit̚˦˥riː˧
सासितूणधनुर्बाणपाणिं	säːsiːʈoːɳed̪ʱäːnʊɾbäːɳbäɽeː
साहिने	saːhiniː
सिंगपुरः	sjnɣ̞apura
सिंहनादं	sɪŋmɪŋgənɑːd̪æm
