'ar hyd y nos'	ˈaɪɚhˈidˈæŋəs
cywion hwyaid	kalˈaˈwnˈ huːj jˈajd
cywir	kawir
cân	kʰaːn˥˥
cân i gymru	kaːnagamri
côd post	kɔːt pˈoʊst
côn	kɔːn
côr	kuuɫ
côr y cewri	kùːr atæwùːrɪ
côt	kɔɾtʃ
cŵn annwn	kuːn˧anon˧
cŵn bach	kʰun˧˥baːx˨˩
d	dʌ
da	ta
da iawn	tajaŋ
da iawn, diolch	daja jˈaːn dɪjˈax
dach chi	tɑːxˈʃiː
dacw	dakːo
dadl	tato
dadlau	dætlæ
dadrwymo	dadruimbo
daear	tajjaɾ
daeargryn	tejˈarkin
daearyddiaeth	t̪eɟʝaɾat̪js
daeth	dˈaɪf
daethoch	dˈeɪtˈeɪ
dafad	davad
dafydd	ˈkafɪz
dafydd ap gruffydd	daviz apgɾf
dafydd ap llywelyn	davɪs apʃoːlɛlɛn
dafydd y garreg wen	tað̞ið̞ɪ̞ karek wɛn
dail	dil
dal	tau
daldra	tɑɫtɾa
dalgylch	tɑlgɪlˈʃ
dali	taˈliː
dall	taʃtaʃ
damwain	tamɫo
damweiniau	tɐmˌvˌeɪnˌia
danau	daːlaj
daneg	taːnˈɛg
dangos	tanas
dannedd	dˈænəθ
dant	sãn̪t̪
danto	tɕˈanˈtˈɛzˈ
darbyshire	dˈɑɹbiʃɪɹ
darganfod	tærkænbat
darlledu	t̪arɣ̞s̺ɐti
darllen	tsakʃam
darllenadwy	t̪əɾsənˈɑtue
darllenais	dˈaɾtʃðənˈɛs
darllenfa	t̪eɾθenva
darlun	tˈaɾlˈɪn
darlunio	tɑrljɲˈo
darn	d̪aɾn
darogan	tˈarˈogˈan
daroganwr	t̪eɾɾoganuɾ
datblygiad	qapʃplœkiat
datganoli	tatsːkanˈoːli
dathlu	tˈas
dathyl	dafˈl
datrys	taːtˢsˢ
dau	taj
dauarbymtheg	taːjrpːimsɛk
daugleddau	taglɛðai
daw	dau
dawel	tauɛl
dawnbwyd	dˈaʊnbˌoɪt
dawns	dˈaʊnz
dawnsio	tɑŋkʰɛ
dawnsiwr	laonksoɾ
dawnswyr	tɾɒnsˈvˈir
dd	ɛð
dda	zaː
ddall	ðats
ddarllen	zɑrʃɛn
ddarparwyd	fərpˈɑrvʏd
ddau	daj
dde	zˈɛ
ddefnyddio	sezn̪eo
ddefnyddiol	sasnetjo
ddi-waith	seɪbɐis
ddiflas	vivlas
ddifrifol	fivrivo
ddig	vˈig
ddim	zˈɪŋ
ddim o gwbl!	sˈe mˈokoˈbˈo
ddiogel	fjˈɑkə
ddiolch	zˈiˈaɫæx
ddiwethaf	twisˈa
ddiwrnodau	ðeːrnˈodaj
ddod	zɫot
ddodwy	dˈotəvˈi
ddoe	zˈoɭ
ddraig	θrˈaɪk
ddrws	zɾuz
ddrygionus	ðəɾəgˈiˈɔnɪs
dduw	fˈeʊ
ddweud	ðˈeˈed
ddwfn	duzulɔn
ddwli	dˈoːllˈiːt
ddwster	dustɛr
ddwy	zˈoɪ
ddwy flynedd yn ôl	suiːvlaˈnɛðɔnoɔ
ddwyn	loːˈin
ddyddiau	tˈəθiːjˈ
ddyn	dˈiːn
ddywedant	ð̞ɒweɾd̪aŋt̪
ddŵr	ður
de	a
de affrica	de afɾika
deall	dæ̹
dealltwriaeth	d̪iast̪oɾɾiak
deallus	ðeaseɾ
debyg	tepik
dechrau	dˈɛçrˈaɪ
dedwydd	tˈɛttəweɪz
defaid	dˈɛvˈidˈ
deffro	dafra
defnydd	tɛrnɨ
defnyddio	tɛvnɑdɪɔ
defnyddiol	ð̞eznoð̞jal
defnyddir	tɛvˈnadɪr
defnyddiwr	tˈevnˈədˈiʁnˈ
defynnog	dˈɛvɑnˌoːk
deg	tɛk
deganwy	sekanvˈe
degawd	moltskaut
deheubarth	daħɛjbarθ
deidryn	teii̯tr̝ɛŋ
deifio	dˈeɪvjɔ
deifr	ðeðe
deigryn	t̪e̞i̯krim
deilen	tealaˈn
deimwnt	teimonts
deiniol	injo
deiniolen	dai̯mjoɾn
deintydd	ðeɪtɪd
deintyddion	teɣ̞ntsakð̞ion
deiseb	tiʃˈɛv
delfrydol	taɫvrɛtaɫ
delun	tɛlin
delw	telo
delwedd	dʒaːnˈlˈɑv
delwyn	tdalˈluˈˈn
delyn	tɛlin
delyth	fˈɛlɪz
denmarc	d̪e̞nmaɾk
denu	deni
derbyn	tɛrpen
derbynfa	tɛrbɛnva
derfel gadarn	arið̞algad̪aɾn
dernyn	tærnẽn
derw	dˈɛru
derwen	ð̞eɾɣ̞uẽn
derwena	tʃiɾˈɾˈɑmda
derwydd	d̪eɾuest̪
deryth	tˈɛres
desg	dˈɛsk
deuddeg	dˈeɪðeɪ
deugain	teːgeːn
deunaw	dˈeːnˌaˈu
deurod	tejrat
deurywiol	dˈeɪɹɪə
dewch fan hyn	dəkvənɛn
dewch i mewn	dake mey
dewi	tˈɛstˈɛvˈi
dewi sant	dˈɛɹ wˈi sˈant
dewin	ðæwˈm
dewines	ðəwˈinˈis
dewiniaeth	ðəwˈiɲɛθ
dewis	dæwˈɪs
dewisiadau	tawɛsiatˈa
dewiswch	d̪e̞wɪ̞ʃq
dewr	tɛor
dewrder	tɛuɾtaɾ
dewydd	ðˈɛɹwˈɛl
di	dʒiː˨˩˦
di-gwsg	tikːosk
di-waith	kiuãis
diamedr	tiamɨdeɾ
diamynedd	tjamaknes
dianc	diːjˈank
diawl	dˌiauˌ
diben	tibˈɛn
dibynadwyaeth	tipenatoias
dibynnu	dˈɛstˈɛnˈɛ
diddefnydd	diʁvnɛv
diddordeb	tʲiðaɾtʲæn
diddordebau	tʃiːtɔɾtɛdpaj
diddorol	tið̞oɾou
diemwnt	djˈɑmˈʊnts
difetha	tibˈeθa
diffeithdir	ðəfejfθtɪr
diffoddwr tân	tifoð̞oɾˈtsan
diffreithiant	diːz̺ɾaɪs̺tiːːn
diffwys	ðˈɛst
diffyg	dˈɛfˈɛgˈ
diffygion	tifakioŋ
diflannu	ɛˈʒoˈaːnə
diflas	dˈɛvils
difrifol	ɟʝfɾival
digidol	dɪgiːdɔl
digon	te˥˩izhe˥˩˦
digonedd	dʒiːˈgɔːnæz
digwmwl	tʲiːgumɔl
digwydd	digwiz
digwyddiad	ð̞ikːoð̞ð̞iat̪
digwyddiadau	tikididjastɐe
digywilydd	dʒigʊnˈtˈɛz
dihewyd	tʲihevjæð
dihuno	ɦˈini
dillad	ð̞jssat̪
dilledyn	tsɪçːatɪn
dilyn	dilan
dilynwch	tse̞lanoh
dilys	teles
dim	tɛp˨
dim diolch	lˈɪmdʒˈɑ
din eidin	ðiː meɪˈdin
din eidyn	tiːn æjːdiːn
dinas	dʏ̞nˈtˈʃ
dinas emrys	dinas emdres
dinas y fatican	dʒʝnaːs saːvatikam
dinbych	dˌiːnbf
dinesydd	ti˥˩nesɛl
dinistr	dˈenˈestˈɛr
dinistrio	dˈɛnɪstɹˈɪɑ
diniwed	tiɲeˈwed
dinlle	tiŋsæ
dinoedd	tiŋnˈoɪz
dinogad	dˈiːtnˈogatˈ
dinorwig	kinaoɾuek
diod	tjˈɔd
diodde	djurða
dioddef	tijoɾðað
dioddefwr	tiobego
dioddefwyr	ðeˈɑðeˈðɯr
diodlyn	tˈiˈɔftlɪn
diodydd	tijɔtɟɛ
diog	pijok
diogel	tjo˩˥ːgal˥
diogelwch	tɪɔkɛlɔx
diolch	dio
diolch o galon	ðiːˈoːl ˈoːgəlˈan
diolch yn fawr	ðiːoːlˈɣ ˈɛn ʋaːʊr
diolch yn fawr iawn	te̞lχɛ̞n pɔ̙ɮriʝɔ̙m
diolchgarwch	tʲiɐlɣtʊrɔx
dirgel	teɾke
dis	tˈis
disathr	ðizaθəɾ
disglair	dɪˈsklɪb
disgo	ɛsko
disgrifiad	diskɾipiat
disgwyl	tiʃkɪ̞l
disgybl	dˈɪskˈupəl
disgyblion	tɪskplɪon
disgyn	dˈɛstkɪn
distain	ðˈɪstˈaɪm
distaw	dɛstɑɫ
diwedd	tʃiːtˈes
diweddarwyd	ðʏðäðɔːjɪd
diwetha	dʒoesa
diwethaf	tiuesi
diwrnod	zjurnoːt
diwrnod priodas	duɾnot priobas
diwrnodau	tiunoktaj
diwylliant	kiːwakiŋ
do	dˈo
dod	dˈoːt
dodrefn	tˈɔtrˈavn
does	dojs
does gen ti ddim	do es kẽn̪t̪i la
dof	dˈoːv
dofydd	dɔvˈɛ
dolffin	tˈɔltʃæn
dolgellau	alkefeɾ
doliau	tˈoɫijˈaj
dolur gwddw	tʃɑːlɪr guzʊ
dolwyddelan	t̪eloeð̞alãn̪t̪
dolygaer	tˈɔlgˈaɪɚ
doniol	tˌoɲˈoɫ
dosbarth	to̞sparv
dosbarthiadau	tʊspardʲiatʃlʲ
dot	tˈɔt
dotiau	tˈotjˈaj
dowch	tɔx
dowlais	ðoːlajθ
draenen	drĩŋðan
draenog	trjˈnɔk
draig	sˈʌtˈaɪk
draig goch	rai̯gə kɔx
drama	rama
dramor	amor
drefach felindre	dˈɾˈvaɾˈh vˈɛlɪndre
drefn	tɾɛvn
dreigiau	træ̝ːgˈɑj
drewllyd	trau̙ɮɪd
dril	trɛu
dringo	bringo
dringwn y tyle yfory.	dˈriːnˈgoːnːtalaːvori
dristwch	tristˈo
droed	trojt
dros	dros
dros ryddid collasant eu gwaed	jʊ̞sʁiʲa dʲɛd kʰɑʃ laːsa mdʒɛj gwaɪn
dros y ffordd	tʊrɑːxfɑːrɑː
drosodd	drosa
drud	dˈeːd
drudwen	tɾˈitːuaɫ
drwch	trʊx
drwg	ʒˈɑk
drws	sœiz
drws trin	trʊstˈɾˈin
drwy	droj
drwydded	roðæad
drwy’r amser	tɾɔɪ rɑmsɛ
drych	tɹˈeɪx
drych fab cibddar	tarˈiχ vab kiː pə aːr
drygau	trɨrka
dryll	trˈɛʃ
drymiau	t̪ɾemeiaʝ
drysau	tərˈɛstsaj
drysi	tasi
dryslyd	tɾasˈlɛd
du	dˈy
dudalen	tɪdalaɪn
dull	dˈɛç
dulliau	tʃˈaˈj
dulyn	tjˈɛlən
dumbarton	dˈɑmpˈartən
duon	tion
dur	ðiːjˈɛ
duran ap arthur	ðə ran a paɾθaɾ
duw	tjˈu
duwch	iˈɛ̃q
duwioldeb	teˈʁjˈlteˈt
dw i	dˈuːi
dw i ddim yn siarad gymraeg	t̪o̞i z̺imim ʃarat kamɾike
dw i wedi blino	tʃi ʃtipo pli nɔ
dw i'n byw...	dwˈɪn beʊ
dw i'n chwilio am drowsus llwyd. i am looking (searching) for grey trousers.	dˈuɪn xwilˈio ã drˈoʊˈsis θuˈid
dw i'n dod o fangor	tʰw̜ iːn tsotʰo fangɔ̙r
dw i'n dod o hwlffordd	dʏntɔtːa χuːd foɟʰt
dw i'n dy garu di	tʊ jnðə gɑɾɪdi
dw i'n gwario.	du inˈguaˈrˈɪo
dw i'n gweitho	dˈu ˈaɪ gˈaɪz ðɪ eɾˈaɪn θɪɹˈ
dw i'n siarad tipyn bach o gymraeg	vɛn ʃaraːr teːˈpeːn vaːxok mɾaf
dw i'n siarad...	tˌuˈiːn tʃarˈad
dweud	tˈuˈɛˈi
dwfn	tʃoˈv
dwfé	duvˈɛt
dwi'n	twˈin
dwi'n dy garu di	ty̞inʲtsʲiʔkaʔʨidʲiː˧
dwi'n iawn	tɔi̯nˈʎˈam
dwl	dˈi
dwli	tʊˈlˈli
dwr	tʊɾ
dwsin	tʊsɪn
dwst	tʃuβ̞
dwy	tɔj
dwyfor	tuevor
dwygyfylchi	zoːjgəvˈɑlxiː
dwyieithog	twjʝejθoɣ
dwylo	twɨla
dwym	tuːjim
dwyn	tuːen
dwynant	dojˈnant
dwynwen	tˈueˈnwˈɛn
dwyrain	tojrai̯n
dwyryd	buːjɾeːt
dwys	dˈoɪs
dwyt ti ddim	dˈoːtiːðˌɪm
dwywaith	tojuwˈaɪf
dy	tˈɛ
dych chi	daxˈi
dych chi 'n deall?	naχɪn da jaf
dych chi 'n siarad...?	daχʃiːn ʃæɾæd
dychmygol	tˈakˈeɣo
dychmygu	tˈɛstmʃm
dychryn	dˈaxlɪn
dychrynllyd	ðəxrltˈiʃt
dychwelyd	d̪eɣ̞wælid̪
dychymyg	dˈaxkemˈek
dydd	biz
dydd da	dˈi ˈɪn stˈɑːf
dydd gwener	tið̞kwẽn̪eɾ
dydd gŵyl dewi sant	tko el d̪e β̞saβ̞
dydd iau	tʃi jai
dydd llun	dˈiː tstɹiː
dydd mawrth	se smaʊs
dydd mawrth ynyd	ðiz malsanet
dydd mercher	bʲið mærχær
dydd miwsig cymru	diːv mjˈuzɪk kˈʌmɚi
dydd sadwrn	ti sadʊron
dydd sul	dˌiθˈiːl
dyddanwy	lɤ˨˩˦tan˥˥nu˧˧li˨˩˦
dyddgu	dzədzəki
dyddiad	dʊˈfiat
dyddiadau	tɛvjɐtˈal
dyddiadur	d̪eβ̞iakt̪i
dyddiau	tˈadˈaɪ
dydi	tˈɛti
dydw	dadu
dydw i ddim	dˈa dˈiʁ
dydw i ddim yn nofio	tɔ tʋjðɛj mennovia
dydw i ddim yn siarad cymraeg	tə d̪eɣ̞u ið̞eɣ̞m ẽn̪ʃaɾɾeɾ kaβ̞rai
dydy hi ddim	d̪a ɾiɣ̞ið̞im
dydy o ddim	tsɛtiɔzɛl
dydych chi ddim	tarexidem
dydyn nhw ddim	tˈɪ tˈi nˈuzem
dydyn ni ddim	tˈædəmˌiːðˈɛɪm
dyfal	d̪obal
dyfal donc a dyr y garreg	tɕˈavˌɑl dˈɔŋk ˈɛ tˈeɾə karek
dyfalu	tˈɛvalˈj
dyfed	tˈɛfˈlˈɛɑb
dyffryn ogwen	ðə fɾiːn ɑkwɛn
dyfi	davˈe
dyflin	diflem
dyfnaint	tɤvnəŋt
dyfnant	tɛfnants
dyfod	dˈɑvˌotdˈiʁvˈot
dyfodol	tˈə-vˈɔldˈiʁ
dyfrdwy	tɛvrduj
dyfrgi	tsʲapɾ˥ki
dyfrig	dɛwrig
dyfrlliw	tɔfɞrɮeuw̜
dyfroedd	tɛrfrɔjθ
dygaf	tˈɛɹkˈaf
dylai	dɔlaj
dylan	kalɑm
dylanwadol	dilanwaːdoːl
dylanwadu	dolanwati
dylrn nhw	ðˈɪs wɜːd ˈɪz mɪspˈɛld ˈɪt ʃˈʊd bˈi ɹimˈuvd
dylunio	tɛnɨːnɑː
dyma	dˈiʁmˈa
dyma bunt i'w rhoi yn y cadw-mi-gei.	dɐmɛ bɪnˈgæj dˈi jˈulˈɑxˈlˈoːɪnˈæ kˈarˈumɪgˈi
dymuniadau	miːnˈnialˈai
dymunol	d̪eminal
dymunwn	t̪ɐ̃mbinˈun
dyn	diːn
dyn-blaidd	dˈeːnblˈaɪv
dyna	dona
dyndod	tinutˈot
dynes	dˈɛnˈɛst
dyniaethau	dænjejθɛ
dynion	t̪enjãn̪
dynnu	dˈanˈe
dyrys	tɛrs
dysgl	ðəskuːl
dysglau	ɪˈsklˈjaɪt
dysgu	təski
dysgwr	kəkˈor
dysgwyr	tsɛskweɾ
dyved	tɛvɛt
dyw	dˈu
dyweddïo	toweal
dywedodd	dˈɛoitˈa
dywedyd	dˈoːtˈtəd
dân	dˈaɪn
dôl	tɔ
dôn	ton
dŵr	tˈuɾ
dŵr cymru	tˈuɾ kamɾˈi
e-bost	ɑːbɑːst
e-byst	apist
ebbw vale	ebo vˈeɪl
ebol	evel
ebrill	epres
ebrwydd	ˈædɾˈʌɪð
eceni	ækæni
echnos	æxnæs
economeg	ɛkɔnɔmɪk
edar	et̪aɾ
edern	et̪eɾna
edifarhau	ɛdːivˈarjal
edmygu	ˈɛtmɑki
edrych	əkrˌɪx
edrychwch	ˈɛtrəxəx
edwad	eðʊˈaɾðʊ
edwy	edtɔj
efa	eva
efadier	ɪbatːjˈær
efallai	ɛˈβɑʃe
efengyl	ˈɛˈɛˈ
effaith	ɛfɐʎs
effeithiol	efeθjˈal
efrydiau	ebretial
efrydydd	hˈɛfradˈðˈ
efyrnwy	evarneue
egluro	ekliro
egluro'r	ˈeɣlˈeʝoɾ
eglwys	ˈekojs
eglwys-fâch	ˈeːglˈɵsvˈaːɾ
eglwysbach	akluispɑːr
eglwysi	ɛglesˈi
eglwyswrw	ekloisuru
egni	ɛkniː
egniol	tʃu
egwan	kuan
ehangwen	ʔɛʁamuːbˈaːn
ehöeg	ˈɑhɫæg
ei	e
ei ben ei hun	a bənˈeɪθiən
ei frawd o	a i vrˈaʊdo
ei gwrol ryfelwyr	ejkuɣ̞ɾoɾ lot̪alweɾ
ei phen	a iːθɛn
eich	ˈeix
eidalaidd	ˈeɪdˈaɪlˈaɪv
eidaleg	ajd̪ð̞alik
eiddew	ˈeɪvˈɛl
eiddig	ˈeɪvˈɪk
eidion	ˈeɪtlˌioːn
eifion	ɛðʃɔn
eifionydd	ajviaɔ̞men
eigr	eɣ̞eɾ
eigra	ˈejkɾa
eigyr	æjkeɾ
eiholl	hos
eil	ˈeɪl
eiliad	jˈæljæd
eilir	ejlir
eiliw	æjløː
eillio	æjsja
eiluned	æjlɪnnæt
eilwen	aɪˈuwən
eilwyn	ˈɛɪlwˌɪn
ein	ˈeɪn
einion	e̞jnjon
einon	ˈeɪnˈoŋ
eira	ajɾa
eirafyrddio	eiɾβ̞eɾð̞io
eirian	hʲirjæn
eiriana	ɛɾjɛnɑ
eirianedd	ajrjanɛð
eirianwen	irjɑmwan
eirin	irin
eirin gwlanog	ei ɾinɣ̞lãn̪ ð̞ok
eirlaw	eɣ̞oɾlao
eirlys	aeɾles
eirwen	ɛjrvɛn
eirwyn	laɦoːn
eirys	æjræs
eisiau	ɪ˥˩ʂɑŋ˥˩
eisoes	iːʃos
eistedd	ɪ̞ʃtæɾ
eisteddfod	æˈsjælbɒd
eisteddfodau	ajstatvˈatˈaɪ
eisteddwch	ajisteidɒx
eithafol	efabɔl
eithin	e̞jse̞m
eithinyn	esθjnen
elan	eɾan
eldef	ˈɛltəv
electroneg	ɛlɛktronɛk
elen	æ̹lɛn
eleni	alaːmi
elenid	ælænɪ̞d
eleri	elri
elfed	ˈɛlvɛt
elffin	alfẽn
elfyn llwyd	ɛlvɪn ʃlɔʏd
eli haul	ˌelˈiʒaʎˈɛ
elidir	ɛlitˈeɾ
elidor	ɛliːtːɔr
eliffant	ˈɛlefant
eliffantod	liːfantsɔd
elin	æ̹lʲɪn
elin fflur	ɛliən fler
elinor	æ̹liːnˈɔ̃s
eliptig	ɑlˈtˤig
elis	ælˈɛs
eliwlod	ælˈjuːlˈɑt
elli	aʃi
ellidyr	æˈxɪltˈɛ
elliw	ɛːˈʃiw˧˧
ellyll	se
ellyn	ætsʃæn
eluned	ɛliːnæt
elwyn	ˈælvin
elyrch	ɛlɛr
elystan	ælˈəztan
emau	enmal
emlyn	ˈɛmlɛn
emrys	emres
emyr	enˈɪr
enaid	enajd
encilio	enkilˈlˈɛɔ
enfys	əd̪næs
enghraifft	ẽŋgɾaɪvd
englynion	ẽn̪ɣ̞lãn̪d̪ion
enid	e̞mid
enillydd	enmɪtʃe
enlli prytherch	ẽn si proder
ennill	ænæt
ennyn	en
enw	ɛlːo
enwau	ndy
enwedig	ɛtlwˈɛtˈte
enwog	enbɔk
enwogion o fri	ən vˈɔkjɚ ˈɑɹn ˈuvi
eog	eok
eos	eos
er mwyn	ɛrmoin
eraill	eɾais
erbin	ærbẽn
erbyn	ærben
erging	ærkẽ̞n
ergyd	ɛrgeːd
erin	æɾʲɪb
erioed	ariːɐid
ers	ərs
ers talwm	ersalam
erthygl	ɛrsˈɛgɔl
erthyliad	ɛrθˈʌlijad
eryl	ɛɾjɛʎ
eryr	erɾɛɾ
esbonio	ɛspɔɲa
esgair	æsgˈæjˈr
esgeulus	æskæi̯lˈɛs
esgeuluso	eskejljusˈo
esgid	esket
esgidiau sglefrio iâ	ɛskɪtːi ɔ sklvrɪ ɔ jɑː
esgusodwch fi	nˈɪçt gˈeːt zoː dˈaɾt vˈiː
esgyrn	tʃasbjɛrn
essylt	ˈɛszˈɪçt
estoneg	ɛʃtonɛg
estrys	estɾes
estyn	æstˈɛd
esyllt	sɛ
ethni	asˈni
etholiad	ɛθɔliɑt
eto	etso
eu	ɛː˩˦y˧˧
eudaf	idau
euog	eljˈok
eurddolyn	eɾð̞alem
eurdorch	ɛɾdɑr
eurdorchog	ɛrzɑrχɑq
euren	t̪eɣ̞ɾãn̪
eurfron	ˈɛɹbɾɑn
eurig	ajrɛk
euron	ərˈɑm
eurwen	irwan
eveydd	ˈeɪbˈeɪf
ewch	ˈɛʊx
ewin	ɛwˈn
ewloe	ˈeʊlˌɔ
ewrop	eʊ̯ɾɔp
ewyllys	æwˈeʃlɪs
ewyn	ˈeɪwˈɪn
ewyrth	ɛʋɪrθ
ewythr	aɣoθaɾ
ewythredd	ɛgwɛfɾeð
eynon	eunnom
eyryri	ɾɑɾi
fach	vˈaːx
fachgen	fˈaxkɛn
fainc	vˈaɪnk
faint o'r gloch ydy hi	fain t̪s̺r glɔ̞lχ e̞t̪iːliː
faint o'r gloch yw hi?	fãĩ̯n tsɯr kɫo̞o̞ χɪwɪ̞
faint yw	vˈaɪntu
faint yw dy oed di?	vˈaɪnt jˈu dˈoː ˈiːtˈtɪ
faint yw hi	vˈaɪnt ˈeːvə hˈiːɾ
faint?	vˈaŋt
faleiry	lale
fam	ɾam
fam-gu	vangeː
fampir	vampiɾ
fanw	banu
fanwatw	vanuatu
fanylion	fanoɾum
fara	fɑːrˈɑ
farchnad	farfnaːt
fath	vˈas
fawr	auɾ
fe	vˈeɪɾ
feddwl	ð̞uð̞ol
feddygfa	natakva
fedw	vɛdu
feic	vˈeɪk
fel	vˈɛl
felin-fach	vˈɛlɪnvˈaːx
felinfoel	væliːnvˈɔɪl
felly	fɔːʃiː
fenyw	ðenp
ferch	β̞erʁ
fest	bˈatʃt
fewn	tsau̯n
ff	f
ffa	fɑː
ffair	fˈaɪɚ
ffaith	sˈaɪf
ffaldi	paldi
ffantasi	falt̪sasi
ffarm	farm
ffarmio	farmɛ
ffasiwn	fˈasjon
ffatri	fatsɛ
ffederasiwn rwsia	fˈedˈɛɾˈasˈiˈonɔ ɾusˈɛa
ffedog	fˈɛtˌtˈoːv
ffeindio	fajnð̞jʊ
ffenest	senest
ffenestr	tɛnɛstɛr
ffenestri	fɛnɛstɹi
ffenics	fˈɛnɪks
ffenigl	fˈɛnikˈɑːv
ffens	fɛnts
fferm	fɛrm
ffermdy	færmd̪iː
ffermwr	sɛɾlo
ffermydd	fɛrmɪ̞ð
fferyllfa	fɛnˈɫɛʃla
ffidil	fˈaɪtniɐl
ffili	fɪlˈi
ffilm	fˈɪlm
ffin	fˈiːn
ffinneg	fɛnˈnɛk
ffion	pion
ffiseg	sɛzˈɛ
ffisegwr	sesɛkɔɾ
ffiwsilwyr	fuzzelβ̞eɾ
fflam	fwˈaːm
fflat	flˈat
fflatiau	flˈɒtjˈɑːg
ffliw	flu
ffliwt	flˈuːt
fflur	fɫɪːr
ffon gerdded	fɔn̪ɣ̞ɚð̞at̪
ffonio'r	fˈaɲˈoɾ
ffoniodd	saˈniz
fforc	fork
ffordd	põɾθ
ffos	fˈɔlz
ffos las	fɔː flˈɑːs
ffotograff	fɒˈtɒːgɾaf
ffotograffau	fɔtʃɔgɾafai
ffotograffydd	fot̪okɾafes
ffowlyn	fˈoːlɪn
ffraeo	trɪo
ffraid	frˈaɪd
ffrainc	fɾˈaɪŋk
ffrangeg	ɾaŋeɣ̞
ffransis	fɾɑnsis
ffreuter	frˈɛjtˈiːr
ffrindiau	frin˩˥ːdʒai˨˩
ffrog	frok
ffrogiau	fokjaʎ
ffrwchledd	rʊ̞xɫɑð
ffrwd	fɹˈuːd
ffrwydro	fruidʒa
ffrwyth	fɾɔjθ
ffrwythau	froi̯θai̯
ffug	fˈik
ffugwyddonol	fˈaɪgwˈɪθˈɔnˈɔ
ffurf	fˈɪɹ
ffurflen	fɪrvlɛn
ffurflenni	siɛn
ffwlbart	fɔːpaɾt
ffwr	fowɾ
ffwrnais	furnas
ffydd	fiv
ffyddlondeb	filond̪e
ffyn	fˈɛn
ffynhonnell	fɛnɦɔlnɛʃ
ffynnon	fonˈon
ffynonellau	senoneʃai
ffyrc	fˈɛrt
ffyrdd	fˈɚθ
ffyrnau	feɾnal
ffêr	feɾ
ffôn	fɔːn
ffôn symudol	fonˈsemidoʊ
fi	fˈiː
fi cariad i chi	fiː kaːriː riː xiː
fienna	vjana
fiet nam	fɪˈɛtnɑːm
filltir	vˈɪçtseːr
filwyr	β̞elueɾ
finegr	li̠n̪mikau̯
fioled	vjɔlæt
flaen	lajn
fnasig	fæˈnæsig
fo	vo
foch	bˈoɾ
fochriw	ʋˈagrˈɪl
fod	aɔɾɖ
fodca	vˈotka
foel meirch	ʋˈɔɪlmɚˈɣ
forwyn briodas	voruin bruitas
frenhines	renhʲiʃ
frest	plˈɑst
froncysylite	rɔ̙nkæsæɮtæe
froncysyllte	ɞ̙raːnɢɒsɒ̙ɬtɞ̙
frongastell	brˈɔlˈngastˈak
frongoch	ramkɔk
fuan	vjˈɛ̃
fuanach	viːtˈɪstnˈɑːx
funud	vʲenɪ̞
fuwch	iːq
fws	vus
fwy	voji
fy	ʐɛ
fy enw ydy john.	vɛ ɛɲju ɛdʒɒn
fy ffrind	ˈeɪ fɹˈɛnd
fy mhen	ðˈɛm hˈɛn
fy nghŵn	wɛŋhun
fy ngwely	vˈɛ̃vɪlɪθ
fychan	bˈaxxam
fydd	vˈiːd
fydda	bðˈðˈ
fyddin	vˈadbˈiŋ
fyddwch	vˈɛloʊ̯
fydlyn	vatʃlaj
fynd	vˈɛn
fyny	balde
fyth	vˈɛts
fâs	t̪e
ga i siocled poeth, os gwelwch yn dda?	kaːɪ̞ ʃɔ̙kɔlɔ pɔið ɔ æskɔ ɮ xndaa
gadael	kat̪al
gadawodd	katawaið̞
gadeiriol	katəi̯eɾɾo
gadeirydd	kat̪eɾɾɯð̞
gadewch	gaːrdɛuːx
gaeaf	pɛːr
gaeleg yr alban	ɣ̞aʝleɣ̞ eɾɾalβ̞ãn̪t̪
gaeth	gˈaɪs
gaf i	ka˥˥fi˨˩
gafr	kaβ̞ar
gahariet	gahariət
gair	gaːr
galaeth	kalajlse
galanas	kalˈˈɑnˈas
gall dyfrio	kas tɔbrio
gallem	akest̪em
gallu	kaːsi
galw	kalua
galwad	kalwað̞
galwaf	kaluaːs
galystan	kalastan
gan	ɛɾlɛn
gan ganiatáu	gan˧˧ kãn˥˥ jɑː˧˥ tsʰaɪ˥˧
ganddi	ganˈði
ganddo	kaza
ganllwyd	kˈæntstˈoːˈɪt
gannwyll	kanoes
garcharu	kas̺aɾe
gardd	gard̪
garej	ka˥˩lætʃ˥
gareth	kaɾɐs
gareth bale	kaˈɾas plˈɛwˈ
garlleg	kassɛk
garlluan	kæɾxˈiːlæn
garth celyn	gard̪ kelĩːn
garthwys	kaɾθuis
gartre	kartʃa
gartref	gaːtrˈˈɾˈɛ
garw	karu
gary	garj
gasgen	tˈasˈskeːn
gath fach	kaːf vaːx
gawain	ka˥˥laɪŋ˨˩˦
gefeilldref	kɛˈrʲɪʃtʃɛf
geg	gɛːg
geifr	gæjvæɾ
geirfa	pɾɔva
geiriadur	ke̞ɾe̞aθe̞ɾ
geiriaduron	keeɾjãmbɾeɾn
geiriau	keɾja
gelert	gæ̹lɛrts
gelfyddyd	kalβ̞at̪ð̞et̪
gelligaer	kasikaiɾ
gellilydan	kaszʃiːlatan
gelliwic	kasewɕ
gellyg	tˈɪstsˈɛst
gellygen	keseken
gemau	kemal
genedlaethol	kẽn̪et̪lajθol
generys	kˌaris
geneth	kennə
genethod	geðɛθoð̞
