1	bɛrˈe
ĕрĕхтер	ʏ̞rʏ̞ktjærɪ̞
ĕрĕхтерӳ	œnyfkely
ĕрĕшке	bɪ̞rɪ̞ʃkʲiːjæ
ĕрĕшкен	ɪ̞ɾʏ̞ʂtʲeːn
ĕревĕç	ɛrjeʲɛbøs
ĕревшĕ	pereɾge
ĕренкĕ	ɾɛŋˈgø
ĕренке	riŋge
ĕренкелех	œrɛŋgele
ĕренкеллĕ	iriːnˈbiːlne
ĕренкесĕр	ɛˈrendijɛzɛr
ĕренкесĕрлĕх	køʁegɛp
ĕрескел	ˈfarɔsgˈɛn
ĕрескеллĕ	ɫɛsdʒenɪm
ĕрескет	koɾeskje
ĕрет	føɾeɪ
ĕретĕн	dʏ̞nʲɪdʏ̞nʲɪ
ĕретлĕ	berˈɛktmeɾ
ĕретлĕн	ʏrjɛtlæŋ
ĕретле	œretilge
ĕретлен	bɪ̞rɪ̞tmɪ̞ɴ
ĕретнелле	ørɛtmenɲe
ĕретрен	pɛrɪtɾjɛn
ĕретсĕр	ɾʲrɛntsɪ̞r
ĕрех	la
ĕрехет	tʃiːziheːt
ĕрехетлен	peɾˈiniɾdmalkovris
ĕрехмет	beˈrˈekmiːt
ĕречĕпе	tʃiɾeʃɪbiːjɛ
ĕриса	ɛˈɾvɑ
ĕрле	ɛrlʲeː
ĕрлев	verlʲem
ĕрлеш	ʏ̞rjɪlʏ̞jæʂ
ĕрлештер	ʏ̞ɫɪ̞ʂtjɛr
ĕрпĕнчĕк	awɛɾɯpɛndʒe
ĕртĕ	ɛrdɛ
ĕрчĕ	feˈɾˈdʒe
ĕрчĕм	ne
ĕрчĕмлĕ	ɾɒˈɾdʒɒˈmɒlgɒn
ĕрче	rg
ĕрчев	pɛrˈdʒe
ĕрчевлĕ	β̞ɾjʝeɾβ̞le
ĕрчевлĕх	berɟʰejebelʲɪ
ĕрчевсĕр	ərɟøzlø
ĕрчет	perd̪sɪms
ĕрчеттер	ɒudʒeˈtjɒr
ĕсĕк	elizlik
ĕсĕке	tʏ̞sʏ̞kiːjæn
ĕсĕкле	kʲɛstsʲuklʲeʲa
ĕсĕклев	ʏ̞zyʏljeːrmɪ
ĕсĕклӳ	ʁzegiˈy
ĕсĕксĕр	bizikser
ĕсĕр	beːtˈɛzˈɛ
ĕселе	øzønøk
ĕселен	ʒˈə-səʒˈlˈim
ĕселенсе	tɾɪzəlɛnɪzɪwe
ĕсенкĕ	øz�enɟil
ĕскĕрт	æskɪ̞rˈtʃ
ĕскер	bɪspʲer
ĕслĕк	køz
ĕслет	tʃto
ĕслеттер	aʃuʃlɛtɕer
ĕсте	tʃlɛstʃɛ
ĕтлентер	tʲetlʲimdɛr
ĕфлет	ʔœffni
ĕхлет	ɛxlʲet
ĕххĕк	ˈeste
ĕххĕм	ˈaxhɪm
ĕххĕмлет	ɪ̞ffuɪ̞
ĕшĕр	ʏʲɯzʲɛr
ĕшĕрт	jˈuʒˈɛlt
ĕшелен	ʒˈɛlˈeɪn
ĕшелентер	esɣ̞ɾelẽn̪ɣ̞ueɾ
ĕшеленчĕк	ʏ̞ʂɛjlʲeʲinʲːæk
ĕшен	eʒiõˈj
ĕшеннĕн	mezeiɲo
ĕшентер	tɪʒæŋjɛr
ĕшенчĕк	jˈʒeːndʒiːd
ĕшенчĕклĕ	kweʃtʃɛjɛndʒikmɪ
ĕшенчĕклĕн	bɛʒɛɛndʒɪkɫim
ĕшкĕн	eske
ĕшке	asˈke
ĕшкен	aʃkɛɲ
ĕшкет	bˈɪstkiːt
ĕшне	prɛʃɲiɛ
ĕшпĕл	beʃme
ĕштĕй	kəˈstˈ
ĕштелен	tʃtɛliːn
ĕшти	hˈɪzˈiː
а	a
аçа	axa
аçа-çиçĕм	axaze̞ʃim
аçа-çиçĕмлĕ	azæziʒimlæ
аçа-ама	aʒama
аçаллă	ʒala
аçаллă-амаллă	laxalaãmbmal̪d̪a
аçам	aɣ̞em
аçасăр-амасăр	aːʒazrmaːzr
аçлăк	hast
аçтаха	aʃtaɣa
аçу	aʒˈu
аçу-аннÿ	axoanʝa
абсолютнăй	apsɑɫjutnɨ
абстракциллĕ	apstratsɨʲa
ав	av
авă	ava
авăк	aːvok
авăклан	aːlaːkɫɑm
авăн	aɾvæm
авăнлăх	aːbunluɟ
авăнчăк	avunˈdʒɯk
авăнчăклан	aaelsxuklãn̪
авăнчăклантар	abuntʃɯklãndar
авăнчăклат	ɑɫɯnʒɯkɫɑɾ
авăр	aːvɛr
авăрлă	aːvɯɾla
авăрла	abɯɾɯla
авăрлан	ɑwɯ̞rɫän
авăрлаттар	ɑwɯ̞rɫɑtːär
авăрсăрлан	afɾzeɾland
авăрт	auɾ
авăртăн	aːvɯrdɯm
авăс	avˈɛs
авăсăм	aːbozum
авăстар	aːlˈeˈstæɾ
авăт	a
авал	aβ̞au
аваллăх	avaɫːɑx
авалтанпа	laβ̞al̪t̪ẽnba
авалхи	aːbɑlgi
авалхилле	ɑwɑɫhʲile
аван	aβ̞ãŋ
авангард	ɑvɑŋgɑrt
аванлăх	avɑnmu
аванлантар	avanlandaɾ
аванлат	aβ̞ãŋlat̪
аванлаттар	aβ̞ãn̪t̪lat̪t̪ɣ̞aɾ
аванмарлан	ävɑnmɑɾɯ̞ɫɑn
авар	avɑɾ
авари	avˈaɾj
аварилĕх	avɑriɫɯ̞v
аварисĕр	avˈaɾizir
авиаçул	avˈeɾaʒˈul
авиаçыхăну	ˌɐɾɪɐʒiɾənˈu
авиалини	afalʲiːnʲi
авиаци	avjatsɨ
авкăç	aːvgʊʃ
авкăч	afgatʃ
авкала	afgaɫa
авкалан	ɑfgaɫɑn
авкаланса-хуçкаланса	ɑlgɑɫɑnˈzɑgʏʃkɑllɑɫˈnˈzɑ
авкаланчăклан	aːfgɑlɑnʒɯkɫɑn
авлан	ɑβɯɫɑn
авланнӑ	avon
авлантар	ɑwɫɑndɑr
авмака	�ɑvmagˈa
аврăç	aːvrɛʃ
аврăçлан	ãmbɾaselãn̪
авра	avra
авра-çавра	avraːʒavraː
авран	avram
авраттар	aːbːrˈtkaɾ
авраш	aβ̞ɾaʝ
аври	avrej
авсăм	a
австри	afstrɨ
автă	avda
автан	avdɑn
автанччен	avdantʃɛn
автар	afdɑr
автарки	avdardʲi
автоçул	afdɛʒuɫ
автобус	avtobus
автономи	afdanomʲa
автор	æftɚ
автотараса	æftæˈdæɾɑːzɑːm
автохуçалăх	aftɐuʒaːlix
автоцистерна	aftɯtɪstɛrnɪ
авӑ	ava
авӑн	avən
авӑнчӑк	abɯnˈdʒɯk
авӑр	aːbr
авӑрт	aːvɛrt
авӑртнӑ	aːvaɾtna
авӑт	ɑbɯt
авӑтать	avadaʲtsʲ
агент	agˈent
агитаци	agjetattsɨ
аграрлă	a˝gɾaɾla
агресси	agˈresi
адрес	adrˈɛs
адыгей	aðɯgɪ
азот	azot
аист	əistadɨgi
ай	aɪ˥˥
айăк	ɑjɯk
айăккăн	ajqən
айăм	aɪ̯m
айăн-çийĕн	jæmːʃiːn
айăп	æjˈɔp
айăплавçă	ajʊ̯plɑʊ̯gɯ
айăпланакан	aiblanagam
айăпсăрлăх	ɑjɯpfɯrɫɯ̞q
айван	əjvan
айванкка	aiβ̞ank
айванла	ajvãn̪d̪la
айванлӑх	ajʋaːnlɔx
аййăн	dʒuŋ
айлӑм	ɑjɯlɯm
айне	ajnʲe
айта	əɟam
айтӑр	ajdɯr
айӑп	alp
айӑпа	ajab
айӑпла	jɯ̞pɫɑ
айӑплӑ	ajɑbɫɑ
айӑпсар	əjɯ̞psɑɾ
айӗ	a
айӗнче	ajindʒe
ак	q
акă	agɯ
акăлчан	aglɛdɒn
акăлчанла	aɣoɾxãn̪ɣ̞l
акăм	agˈom
акăш	ɑːgər
акăш-макăш	aːgəʃmaːgəʃ
акăш-макăшлан	abɾɯ̞ʃmɑkʃʁɫæn
ака	aka
акаçă	agajʃa
акай	agˈaɪ
акала	ˈagɑlɑ
акам	pagam
акана	agana
акапуç	agabuʃ
акар	agaɾ
акатуй	aːgaduɪ
акиçак	adˈiʒˈak
актар	aktar
актини	tsini
актуаллă	aktual
акшар	akʃar
акӑ	aga
акӑлчан	aːgoltʃaːn
акӑлчанла	aːgoltʃaːnva
акӑш	aːŋgəʃ
ал	pɔːm
алçыру	awdʒeɾu
алă	ala
алă-ура	aːl̪auɾa
алăк	alok
алăкăн-тĕпелĕн	aɫakɔntsʏpʲiʲalɪn
алăм	alom
алăстаç	aˈlɯztaʃ
алăсталăх	alʊstɑlɑx
алăсти	aluftiːn
алăшни	alɛʃni
алĕç	ˈɑlɯʃ
ала	aɻ˧˥maː
алай	ɑlɑj
алама	alɑmɑɾ
аланчăк	ɑlɑŋdʒɯk
алапаш	ɑɫɑbaːʃ
алат	aˈɫɑt
алачăк	ɑlɑˈtʃɯk
албан	ɑɫbɑn
алиби	aːlibj
алиментçă	alʲemʲɛnʃʲa
алка	halka
аллă	a
аллăмĕш	aɫɯ̞mɯ̞ʃ
аллăшĕ	aɫɯʒɯ
аллăшар	aːlɯzɑr
алла	aowɑ
алла-аллăн	ɑɫːɑɑldɯn
алланчăк	allɑːnʤɯk
аллерги	æ̹lɛrgæ
алли	aʊˈliː
алло	alo
аллӑ	ala
аллӑмӗш	aːllɑmɯz
алмак	ɑlmak
алоэ	aɫoja
алпастă	albasʲtɐ
алса	aˈsãˈ
алса-чăлха	ɑzɑtʃɯ̞ɫʁɑ
алсиш	hɒzɒːʃ
алтă	ɑɫdɯm
алтăви	aldˈəvi
алтăк	ɑɫdɯ̞k
алтăк-кăлтăк	ɑɫdɯkkɯldɯk
алтăк-кăлтăклă	aːldəkːaːldəkːla
алтăр	ɑɫdɯɾ
алтивĕççĕн	ˈaɪlbˈiwˈɪʃən
алтӑр	ɑɫdeɾ
алхапăл	ɑlχɑːbwl
алхас	ɑlχas
алхасма	aːlɣɑfma
алхастар	ɑɫgɑstɑɾ
алхасу	aːlxazw
алхасуллă	alɣaːsuɾnɯɫɯ
алхими	au̯xʲimi
алчă-малчă	alɣ̞ɾemalʝa
алчăр	ɑɫdʒɯr
алчăра	aldʒraa
алчăравлă	ɑɫtʃuɾaβɯɫːɑ
алччамуй	alxamoj
алшăлли	alsɔʝi
алшиш	alszɯz
алшӑлли	ɑu̯tʃuɫɨ
алылмаш	ɑɫɯ̞ɫmɑʂ
алыча	aːlitʃa
альт	alt
альфонс	aɪfˈɔɱs
алюмини	alumini
алялях	ɑlɛlɑx
алҫыру	au̯sjɾu
алҫырӑвӗ	aːldʒeɾɪdi
алӑ	aɫva
алӑк	aːlˈk
алӑка	aɫga
алӑкӗ	agɒ
алӑпа	alaba
алӑсталӑх	aːlɔstaɫa
алӑсти	aˈlɛstɪ
алӗҫ	ɑːlɪʃ
амăш	ɑmuʃ
амăшай	amozai
амăшлăх	ɑmɯ̞ʂlɯ̞
ама	ma
ама-аçа	amaa
амавус	amabuz
амак	amak
амал	amˈaʊ
амалăх	amaːlˈɑx
амалантар	ɑmɑlɑnˈdɑr
амаллă-хĕрлĕ	ɑmɑlɯ̞ɪ̞rɫɪ̞
амальгама	amalgama
аман	ɑːmən
амант	ɑmɑnt
аманчăк	ɑmɑnˈdʒɯk
аманӗ	amaːnˈ
амасăр	amazaɾ
амашка	amaʃka
амаҫури	amadʒəɾi
американ	amiɾikˈɑn
америци	amjɛritsɨ
аметист	amitˈist
ами	aˈni
амма	ma
аммонал	ammanaw
аммони	amoɲ
амнисти	amnʲisʲtsʲe
аморфлă	amoɾfla
ампăс-тĕмпĕс	ambɯzdʒɯmbɯz
ампар	embaɾ
ампер	anpɛ
ампир	ampiɾ
ампула	ampɔla
амулет	amulʲet
амуници	amʊnʲitsɨ
амутке	matkʲɛ
амфиби	amθiːbi
амӑшӗ	amɯzɯm
ан	ˈan
анăç	ɑːmɪʃ
анăра	anura
анăраш	amɾaʃ
анăрашу	anɾaʃu
анăш	ɑnɯɾ
анăш-тăнăш	aːmɯztɔnɯz
ана	ana
ана-çаран	anɑːʃaraːn
аналăх	nˈɑlɯk
анализ	anˈɑɭis
аналой	anaɫoj
ананас	ananas
анапест	anɑpˈist
анархиллĕ	anɑɾxilejˈɫle
анас	ɑnɑs
анасла	anasla
анаслу	anasnumeɾo
анат	ɑnɑt
анатри	anapri
андре	antrɛ
анкă-минкĕ	aŋgmĩŋge
анкă-минкĕлентер	ɑŋɑmʲinbɛlɛnder
анка	anga
анкарти	angardɨ
анлă	ɑnɫɑ
анлăш	ɑnɫɯz
анла	amla
анлан	anlɑm
анлӑ	aŋla
анмасть	anˈmɑst
анне	anɲːe
аннекси	anɛkse
аннӳ	ˈaɛ
аномали	ɐnɐmˈɐlˈɛ
анпуççи	aːmˈbˈuski
анра	ɑnɯ̞rɑ
анра-сухра	anˈrazˈuxra
анрат	ɑnrät
анраш	anraʃ
анрашу	anraʒul
ансăр	pɔnzɔr
ансăрăш	ɑŋzɯɾuɾ
ансăрлăх	aːnzornˈlɑ
ансăрлаттар	anzərˈlɑfkar
анса	hanzam
ансат	ɑnˈzɑt
ансатлăх	anzaːtloq
ансатлантар	ãn̪sat̪lãn̪d̪aɾ
ансух	ˈanzˌuːx
ансухла	ãn̪sokla
ансӑр	anzər
антăрлăх	ɑndɯ̞rɫʊ̞q
антăс	andʊs
антăх	ɑndɔx
антар	ãn̪d̪aɾ
антра	aːndraː
анчăк	ɑnˈdʒɑk
анчах	ɑndʒɑr
аншарли	anʒɑrlɯj
апăрша	abɔrʒa
апăс	aɣuz
апа	abba
апав	abram
апай	avaj
апаслан	abazlan
апат	abat
апат-çимĕç	abatsiːmɪ̞ʃ
апат-ҫимӗҫ	abatʃijmɛʃ
апатлан	abatlan
апатлантар	ãβ̞at̪lãn̪d̪aɾ
апачӗ	abadʒe
апла	aplˈa
апла-капла	atlaɾd̪d̪ella
аплам	atlaɾm
апорт	apoɾt̪
апостол	apɔstɔl
аппăн-тĕппĕн	aːpɯndʒɛpbiŋ
аппа	apa
аппа-йăмăк	apajamok
аппай	apaj
аппалан	apavan
аппалантар	apɑɫɑndɑr
аппаланчăк	ɑpɑɫɑnʲːɯ̞k
аппаллă-йăмăклă	appaɫajɯmɯ̞kɫɯ̞
аппарат	apaɾat
аппендикс	apˈendiks
аппетит	aapetsˈit
аптăра	apkɔra
аптăрав	apɔtɔɾaːl
аптăрат	ɑptuɾaːv
аптăратмăш	atɯ̞räɑtmɯ̞ʂ
аптăри	apdʒɑdʲi
аптека	apˈtʃakˈkɑ
аптра	aptraː
аптрав	bav
аптравлă	aptravɫa
аптратмăш	aptraːtnas
апчху	atʃo
апшур	apʃuɾ
арçури	aɾʒuli
арçын	arʒiŋ
арăм	aro
арăмлă	aɾumɫɯ
арăмлăх	ɑrɯ̞nɫʊ̞q
арăслан	ɑrɑflaːn
арăш-пирĕш	arspiɾes
арăш-пирĕшлĕх	rɯ̞fbʲirɪ̞ʂɫɪ̞χ
арăш-пирĕшлен	aɾaʃpeəʃlæn̪igɛ
ара	ara
араб	arap
аравасăр	aɾao
аран	ɑɾɑn
аран-аран	aɾanaɾan
аранçă	araːndʒɛ
арарах	ɾaɾax
араслан	ãmbɾasẽn̪
аргон	aɾɣ̞õn̪
ари	are
аркă	ɒˈɾgˈɒˈ
аркăллă	ɑɾgɔuɫːɑ
арка	aɾga
аркан	argaːn
аркану	aɾgɐnˈw
арканчăк	aɾugunetʃk
аркат	ärgat
аркатса	arkɑtsɑ
аркаттар	ärgætːär
аркату	aɾgadu
аркатуллă	arˈgaduʝa
аркаш	ärgäʃ
арки	argi
арккан	ärkän
аркканла	ärqändʒaː
аркуç	ɑrguz
аркӑ	arga
арлă-арăмлă	ɑrɫɑɑːrɯmɫɯ̞
арлă-йышлă	ɑrɯ̞ɫɯ̞iʲzɫɯ̞
арлăх	b
арла	ɑrɯ̞ɫɑ
арлаççи	rɫäʃtʃi
арлан	ärɫän
армак-чармак	armaktʃarmak
арман	ɐrmɑn
арманӗ	armɑːnjɛ
арми	armj
армути	armudi
арпа	arba
арпа-тĕрпе	aɾbäˈdʒɛbæ
арпалăх	ɑrbɑɫɯ̞
арпаш	arbaz
арпашăнчăк	ärbɑːʒɯnʒɯk
арпашу	aɾbɑʒu
арпус	armus
арсăр	arðɑr
арсăр-йышсăр	ǎrzeriʃsɯɾ
арсăрлăх	ɑrzɯrɫɯq
арта	arda
артак	ʊ̞rdɑk
артист	artist
арттăнтан	artɛnɑm
ару	ɑru
архасăр	ɑɾχɑːzɯr
археологи	køkʃavɔɟi
архитектура	arxʲitʲekdˈike
арча	ardʒa
арчи	arne
аршăн	arʃɔ
аршӑн	ɑrʃən
арҫури	aɾʒuli
арҫын	ɑrsʲiːn
арҫынла	aɾxinla
арӑм	ɑːrəm
арӑслан	arɯ̞sɫɑn
ас	as
асăмлă	azimɫ
асăн	ɑːzɯn
асăнмалăх	ɑzɯnmɑːlɯx
асăну	aznˈow
асăрха	ɐzɪ̞ɾgɑ
асăрхавлă	azɨrɣau̯la
асăрхамасла	asɾɑmɑsɫa
асăрхан	ɐzɯ̞rg
асăрхану	ðiɾɣanˈo
асăрханулăх	azrɣɑnùɫɯ̞x
асăрхануллăн	ɑˈzɯrɢɑnoɫɯn
асăрханусăр	ɑzɯ̞rɢɑnozɯ̞r
асăрханусăрлăх	zrɣɑnwzərlɑx
асăрхаттар	äzɯ̞rʁätdɑr
асăрхаттару	asrɣataru
асăрхаттаруллă	ɑðɯ̞rʁätkäroɫɯ̞
асăрхаттаруллăн	ɑzɯ̞rʁɑttɑrɯ̞ɫɯ̞n
асăх	ɑzɯq
асăхтар	ɑzuqtʊ̞r
аса	ɑːzɑːm
асав	azav
асавӗ	azadɛ
асаилÿ	asiʎu
асаилӳ	asaeɛ
асам	ɑːzɑːn
асамçă	æzæmʒɑ
асамăç	azɑmɪs
асамат	äzɑmɑt
асамлă	azɑmɫɑ
асамлăх	azɑmɫɯ
асамлӑ	azamlɑ
асан	ɑːzɑːn
асанçă	azaaŋɟə
асанне	azanˈn
асаннӳ	efˈɛanˈy
асап	azap
асаплă	ɑzɑbˈɫɯ
асаплăх	äzɑplɯ̞χ
асапла	azɑbɫa
асаплантар	azɑplɑndɑr
асаплантару	asaplanˈdɑru
асар-писер	ɒzɒɾbˈezər
асат	azat
асатте	azɛtɕɛ
аскăн	aːskɯn
аскăн-тĕскĕн	əskimdʒəskim
аскăнлăх	ɑsqɯ̞nɫʊ̞χ
аскăнчăк	ɑzqindʒɯk
аскăнчăклă	aːskɯnʒɯcɫɯ̞
аслă	asla
аслăк	ɑsˈɫɯk
аслăла	ɑʃlɑɫɑ
аслăлан	ɑʂɫjɯ̞ɫɑn
аслăлат	ɑʂɫunɫɑt
аслăрах	æslaːrɑq
аслăш	ɑsɫɯ̞ʃ
асла	ɑsɫɑ
аслаçу	asˈɫadʒuː
асламăшĕ	asɫamaʒɛ
асламӑшӗ	asvamɐʒɛ
аслан	asɫɑn
аслат	asɫat
аслати	azɫadˈi
аслатиллĕ	asɫadzijɫ
аслатиллӗ	asladilʲːe
аслашшĕ	asɫɑʃˈtʃɯ
аслашшӗ	aslˈaʃˈa
аслаҫу	asɫaʒu
аслӑ	aˈsɫa
аспирин	jæspiɾˈin
асра	asɾa
асра-тĕсре	asrai̯tʃsɪe
асра-тĕсре:	aˈsrˈaˈdˈisˈrɛ
асран-тĕсрен	asɾaːnˈdsɹeɲ
асса-тĕссе	asˈɑdˈɪsˈɛ
асса-хĕссе	asaiʃse
ассем	asˈsem
асси	asˌe
ассимиляци	asimiljatsɨja
астăвăм	astovam
астар	astɑr
астару	astaru
астаруллă	astarulˈla
астат	astat
астероид	asteroid
астивтер	aːstevdeaɾ
астмăллă	astmaː
астма	ɑstmɑ
астра	astra
астронавт	astranaft
астроном	astronom
астрономи	astronomʲi
асту	astu
астул	aʃtɔl
астутар	astʊdˈar
асфальт	asfaʝt
асфальтлă	asvaɫʲtla
асӑн	ɑːzɯn
асӑнни	aːzɯnni
асӑну	æzæne
асӑрха	aːzorɣa
асӑрхамарӑм	azɯ̞rɢämaːrʊ̞m
асӑрхан	azarɣaːn
асӑрхан!	azɯ̞rʁɑn
асӑрхануллӑ	asrɣanuɫo
асӑрханӑр!	asrgɐnɐ
асӑрхаттар	äzɑrʁätːär
атă	adɐ
атă-пушмак	ɑdɯ̞bʊ̞ʂmɑk
атăçă	aðəgə
атăл	adl
атăш	adɨs
атака	atˈaka
аталăх	ataɫɨx
аталан	ˈadaɫɑn
аталантар	ædæɫændær
аталану	atavanu
аталанӑвӗ	atavanɔʋʲe
атаман	ataman
атаслан	atasɫan
атаха	adˈaxa
аташ	ˈɑndaʃ
аташлă	adaːʃɫa
аташса	aːdaʃsaːm
аташу	adaʒu
аташуллă	ataʐuɫo
атвит	atvˈit
атвитсĕр	atvitsɛr
атеизм	aːtɯjjizm
ателье	atɛlʲgʲe
атлант	atlant
атлас	atˈlɯz
атма	atma
атна	atna
атом	atːɯm
атомлă	atɯmɑ
атомник	atomnik
аттăк	aːtːɯ̞k
аттан	atːaːm
аттата	atːada
атташе	ataʃ
атте	atʃtʃɛ
атте-анне	atsʲianʲːe
аттестат	atestat
атту	ato
аттьу	atʃu
атьăр	aːdʒɛr
атьсемĕр	atsemjar
атьӑр	aːgər
атя	aʝa
атӑ	aːda
атӑ-пушмак	aːtopuʃmak
атӑ-пушмакӗ	aːdapuʃmaːgɛ
атӑпа	adːobaː
аук	auk
аул	falau
аут	aʊt
аффикс	ˈaɪfɪks
ахăл-ахăл	aɣ̞jɾɦel
ахăлтат	aɣ̞ɯ̞ɫdat̪
ахăлтаттар	aːgldatˈðaɾ
ахăлти	aldi
ахăр	aːgər
ахăраш	ɑɣɑrɑʂ
ахăраштар	ɑɣrɑʃtr
ахăрашу	aɣrazu
ахăрма	aɣrma
ахăрсамана	amana
ахăрт	ɑɣɯ̞rt
ахăртнех	aʁɯ̞rtkʲɪɴx
ахăрттар	ɑɣɯ̞ðːɑr
ахалĕн	aɣaːljn
ахалех	ɑgɑɫæ
ахаллĕн	azældiŋ
ахаль	aɾˈal
ахальтен	aχɛlˈden
ахальшĕн	aɣaɛlseːn
ахах	aɣaɾ
ахах-мерчен	agaxmjɛrdʒen
ахлат	ɑχɫɑt
ахлаттар	ɑχɫɑtːɑr
ахлату	axladu
ахрат	axˈraːt
аху	aɣo
ахух	aʁˈoːx
аххан	axam
ахӑлтат	ɦoɫdɑt
ачăлташ	aɣ̞elð̞az
ача	adʒa
ача-пăча	aːdʒaːbwaːtʃa
ача-пăчаллă	adʒˈabdʒˈaʊ
ача-пăчалла	ɑdʒɑːbɯdʒɑːlɑr
ача-пăчасăр	atʃaːpɯdʒɯzɯr
ача-пӑча	adʒapagɛm
ачалăх	adʒala
ачалан	atʃalan
ачаллă	agˈala
ачалла	atʃalla
ачалӑх	ˈaðaːlˈɑɣ
ачам	ædʒæm
ачамăшкă	adʑaamaskɐ
ачамак	adʒamak
ачамккă	adʒamka
ачана	adʒana
ачапча	əˈdʒɑːbtʃɑ
ачаран	adʒaɾan
ачасăр	adʒasɛr
ачасăрлăх	aːdʒɑazʊ̞rɫʊ̞x
ачасене	adʒɐzˈeɪɲa
ачасӑр	adʒazɛr
ачаш	adʒaʃ
ачашлăх	atːʃaːʃlax
ачашла	atʃaʃla
ачашлан	adʒaʃlɑn
ачашлантар	adʒaʃlãn̪d̪aɾ
ачашлаттар	atʃaʃlatːar
ачашшăн	atʃasɯn
ачи	aʒi
ачху	atʃo
аш	ˈaʃ
аш-какай	aska˩˥ːgɑell
аш-пăш	bˈaʃbˈaɾʃ
ашă	aʒɐ
ашăк	aʐɨk
ашăклаттар	aʐəkɫætːär
ашăм	aʒɨm
ашăмла	aʒɨmɫa
ашĕ	arɛ
аша	aʒɑ
ашак	aʒæk
ашакла	aʒakla
ашкăн	ɑʂqɯ̞n
ашкăнтар	ɑʂqɯ̞ndɑr
ашкăну	aʃqɯ̞nu
ашкăнчăк	ɑʂqɯ̞ntʃɯ̞k
ашкăр	aʃqr
ашкӑн	ɑːʃkɯn
ашлан	aʃlɑm
ашлантар	aʃlɑndɑr
аштар	ast̪aɾ
ашшĕ	as
ашшĕ-амăшĕ	aʃamɐsʲɐ
ашшĕ-амăшĕсĕр	aʃːɑtɑmɑʒʉzyr
ашшĕ-амăшлĕ	aːsɑmuːsla
ашшӗ	aʃˈɑ
ашшӗ-амӑшӗ	aːʃːaɑːmɑʒɯ
ашӗ	aʒɛ
аэроçуна	aːjraʃuna
аэроплан	aɛraplan
аэропорт	airopˈort
аюк	aluk
аюклат	ajukɫat
аюях	ajˈuʒˈa
аяк	ajˈak
аяккăн	əjɑkɯn
аякка	ajakˈka
аякра	ajakram
аякран	aekran
аякри	ajakri
аял	aɪˌɑːʊ
аяла	ajjɑlɑ
аялалла	əjɑlɑlla
аялта	ajɑldɑ
аялтан	aeɣ̞sel
аялти	aialdeɟ
аҫа	aʒˈa
аҫи	aʒi
аҫу	aʒˈu
аҫу-аннӳ	aʒˈə-ənˈy
бари	fãˈɾˈj
берилли	berɪl
беркли	bˈɛrtli
библи	ɛblɛ
биологи	bialoɟi
бис!	biz
бисквит	biskvˈiːt
блогçă	bɫoksʌ
бор	bˈɔɾ
бори	bˈɔɾɨ
бостон	bɒstɒn
бригада	bɾigˈadɐ
бриз	bɾɪs
бром	prɔm
вăйлăрах	ʋɪmɪːrɑː
вăлтăр-валтăр	vɑldɑrvɑldɑr
вăлтăрт-валтăрт	ɫdɯ̞rðʋaɫdɯ̞r
вăрçă	vrʒɪ
вăрçă-тĕркĕш	w̜aɾazetsʲærkæez
вăрçă-харшă	vorzʲeɣarʐa
вăрçăллă	bˌaɾʒɛlla
вăрçăлла	xʝola
вăрçăччен	brzɛstʃɛn
вăрçăчченхи	ʋrʒʲtʃænʲːiː
вăрçăш	vəɾˈizɛs
вăрçа-харçă	vəɾʃɛvˈɑrʃɛ
вăрçтар	bəˈrɯstar
вăрçу-харкашу	vozəgərˈgɑzˈov
вăрăмтуна	voɾɛmduna
вăрман	wɛrman
вăрманçă	vormantʃe
вăрмансăрлăх	wɾmɑnzɯrɫɑh
вăрманти	ɾoːmandɯ
вăрт	vrt
вăрт-варт	β̞eɾt̪elaɾt̪
вăртах	vrtax
вăрттăн	ʁ̝ɯ̞rtʊ̞m
вăрттăн-карттăн	wɾtɯ̞ŋgɑrtʊ̞n
вăрттăнлăх	wɯ̞rtːɑnlɯ̞q
вăрттăнлат	wɜːtɯnɫat
вăртти-вартти	avˈortːevˈartˈe
вăрттин	ɔrtin
вăршăл	ʋarʒɐɫ
вăси	vˈɑ̃ʒi
вăсилет	vazjilʲets
вăслаттар	wˈzlɑtɑr
вăслату	sadu
вăтăр	vadɑr
вăтăр-ватăр	ʋɛdrʋadr
вăтăрмĕш	vˈɑdˈrmˈas
вăта	ɢɯ̞dɑ
вăтаçĕр	vɔdɑʒr
вăталăх	vadaɫa
вăтамла	adamla
вăтамлан	vadamɫɑn
вăтаммăн	ʋatam
вăтамран	bɪdamran
вăтан	vˈatˈɑn
вăтанăç	ʋaˈdɐnˈɛʃ
вăтантар	bɒdɒndaɾ
вăтану	vˈatˈɑnu
вăтанулăх	vˈatˈɑnˈʌɭˈjʌx
вăтанчăк	ʊtɐnˈdʒɪk
вăтанчăклăн	β̞uð̞aæn̪dʒakkon
вăхăт	voːɦot
вăхăт-вăхăт	vægætvægæt
вăхăтăн-вăхăтăн	wæɣɯ̞ðɯ̞nvæɣɯ̞ðɯ̞n
вăхăтлă	mugɯtɫɯ̞
вăхăтсăр	ʋɛɣɛtseɾ
вĕç	vˈɪʃ
вĕçле	bʏ̞ʃlʲe
вĕçлен	bʃlɛn
вĕçлет	vˈytʃliːt
