1	e
郊	tau
郎	lɔːŋ
郎才女貌	lɔːŋ˨˩tɕaj˧n˩˩˦i˥ʰhmaː˧
郑	dˈaŋ
都	dˈo dˈo
鄭	tɑŋ˨˩˦
鄰	lɪŋ
鄱	pɔː
配	pui˥˩
配置	pʰi˥˩ ti˥˩
酒	tiu˨˩
酒精	tɕjɛ˥˥
酶	wˌiː
酸辣湯	sũŋ˨˩la˥˧tʰou˥˥
醉	tsoi
醋	tsu˨˩˦
醒	tsʰan
醫	i˥˩
重慶	tʰŋ˨˩ kʰeŋ˨˩
重要	tʊŋ˨˩˦
金玉满堂	kiŋg mɔ̃ntɔ̃
釵	tsʰa˥˥ɪ˥˧
鈕	ljoʊ˨˩˦
鉄	t̪iːz wɑn̪ tʃuː nɑːmgɔːlɑʃtʃue pˈaʎtʃiːtˈimˈɛnˈʈʈiːtʃɚˈʌŋˌʈʌŋˌɛɹiːtʃʰafət̪˥ʰafɚˈɛːtʃʰapː
鉤	kau
鋤	tuː
錘	tɔj
錢包	tjin˨˦pau˥˥
鐤	teŋ
鐵	kia̯
针药	tsɛ˥˥i˥˩
钟	tsuɔ˥˧
钱	tɕʰiŋ˨˩
铁	tˈi
铁笼	tʰi lɔ
铜	dau̯n
银行	ljoŋˈɑŋ
铺	fou˥
锅	fɔ˥
锋	pʊŋ
镜	kĩãŋ˨˩
長方形	tʰŋ˥˥hŋ˥˥
長樂	tioŋ˨˩lɑŋ˨˩˦
長沙	tioŋ˨˩sa˥˧
长庆	tjɛn˨˩˦tɕʰi˧˥
開	oi
開學	ko˥˩
閥	bɔːt
閩南	linnaan
閩南語	mĩ˥˥ nãŋ˨˩˦y˥˩ mĩ˥˩nɑŋ˨˩˦y˥˩
關	kuˈa
门	boːm
门是正音	tsiaŋ˨˩˦ i˥˥
闹热	nau i˥˩
防	hŋ˥˥
阿伯	aˈtˈak
阿劳坎语	ale̞kːsaːrniː
阿奶	anɛ
阿妹	a mui
阿婆	aˈboː
阿婶	a θiŋ
阿嫂	aθo
陆	lo
陌	mˈɑ̃
降灵	kõŋ lĩŋ
除	dˈu
陸	lə
陽春麵	jũã˨˩ŋ˨˩˦tsʰʊ˥˥mɪŋ˧˥
随风	tsy˨˩ hũŋ˥˥
隨	fɔj
隨時	sue˥˥
隻	tjˈɛ
集	se
雉鸡	təgˈi
雜	tsa
雞	i˥˩
雞婆	ɟʝɛbo
離	lɪ˥˩
難	nɛːn˧
雨	i˥˩u˧˥
雪	tsu˥˥sup˥˥
雪中送炭	pɔ˥˥ tʰŋ˨˩˦pjɛn˨˩˦tʰan˨˩˦
雪华	saxo
雲阮切 遠近之遠上聲 远離之遠去聲	ʁˈuŋ
雷	lɛːˈɛːlɛːˈɛː
雷闪	la ɛn θjaβ̞
雷雨	lai˨˩˦u˥˩
雹	pɔː
電子	tjɛn˨˩˦y˥˩
電腦	tʃiːzi˥˧
電話	tian˥˥
震	tɕiŋ˥˧
霍童	uɾem
霞浦	au
露	lo
青	aŋ˥˥
青菜白菜	tsʰan˥˥lai˧˧ pa˥˥lai˧˧
面	mi˥˩mjˈeː˩˦
革	kaːt
鞋	ɛ
鞋拖	tˈɛː tʁwˈa
鞏	kyn
韓國	ha˥˥kok
韭	fiuː
韭囝(chinese chives)	hjˌuːvən
韭菜	kiŋ˥˧tsʰai˥˧
音乐	inŋgˈoː
音信	in sen
韻皆以上聲，是掌切，爲升上之上，屬動，去聲，時亮切，爲本在物上之上，屬靜。上海	hŋ˥˥
頁	nɛ
順利	sõ˥˥li˧˥
頭	tʰau˥˩
頭先	tʰau˨˩ven˨˦
頭尾	tʰau˧˧mui˨˩˦
顾	u˥˩
顿	tɔ̃ŋ˧˧
颠	aɪ
風調雨順	hũŋ˥˧tiu˨˦ i˥˧fʊ˥˥fɔ˥˥
风	hoʊm
风流	kʰʊŋ˨˩liũ˨˩ kʰʊŋ˨˩ liũ˨˩
飛	puːiː˧˧
食	θiː
食用菌市场	hei˧˧ jɔː˧˥ kʰʊ˨˩˦n˥˩tʰiu˨˩˦
食飽未?	siaʔta˨˩a˥˧mue˥˧
食饭	tˈes pˈɔ̃
飼	tsʰu˥˥
餃	tiu
養	ion
餓	nˈo
饑	kɔjˈ
饭碗	ˈɔn wˈɔn
饱	a
香港	hɯ̞ŋɯ̞
香港大學	hŋ˥˥ œn˥˩tài˥˩lɔ˥
香菇	xũ˧˥
馬	maː
馬上	maːrð̞uõːn
馬祖	matsu
駃	kʰeː
駱	a
驢	la
马	ma
驰	tˈi
驻马店	tsɵy̯˧maː˧teŋ˨
骄傲	kiŋ˥˧ɔ˨˦
骑马	kema
體系	tʰeːɕieː
高山	kaːdaːm
高雄	pˈɔʁɨm
髮	pou̯
鬆	fum
鬥	fau
鬧	nˈaʊ
魂魄	xɑŋpʰɛː
魄	pʰʊ̞
魚	nˈoʊ
魚丸	eum
鯉	li˥˩
鯽	si
鰓	tɕʰi˥˥
鱉	ˈoɪ
鱖	kɔj
鲜	ɕim˥˧
鳏寡孤独	kua˥˧ bu˥˧tʰau˧˧
鴨	ˈœ̃n
鴿	dap
鵡	u
鶴	hah
鷺	lu
鸡	i˥˩
鸡笼	kj˧˧lŋ˥˥
鸳鸯	ujoʊ˨˩˦
鹿	lə
麂	t̪i̠
麒	ke
麤	huu
麥	ma˥˩
麯	hikː
麵	mĩŋ˥˥
麵包	mɪŋ˨˩˦pau˥˥
麻油	muˌaːl˧ɔ
黃色	ˈʌn
黍	fɛː
黑	hæ
默	nˈ
黨	tŋ˦˥
鼎	kĩã˥˥
鼓	u
鼓山	ɢuzan
鼓掌	u˨˩tɕʰiu˨˩˦
齒	aki
齪	tso
齷	ˈo
齷齪	pɔ˥˥tsʰoʊ˥˥
龌龊	ɑtsɑ
龍	ly˥˩
龙岩	lŋa˥ŋ
龙眼	nŋ˥˩ɑŋ˧
龜	kujˈ
林重賢	la la kuniklo kien
福州	ɦwˈˌeɪ˥˥
