'chuile sheans	hella hænts
gearmánach	kiːɐrmoːnˈɑk
gearr	dʒaːr
gearr-léas	gœɾˈlejˈz
gearradh	iarə
gearradh ar	kʲɑːr ɛd
gearrann	kɒɾˈin
gearrbhrístí	gɒrdʒestˈi
gearrchaile	kælɛn
gearrchuid	gɑːrxoːd
gearrchúrsa	kʲɑːxoɾhsə
gearrlámhach	kialovɔ
gearrscéal	kaːrʃˈɛl
gearrtha	kara
gearrthán	kau̯rna
gearrthéarmacha	kijˈɑːhjˈɑɹməkˈħɑ
gearrthóg	gaɾðo
gearrán	kɛrɑn
gearán	ʒˈɑn
gearánta	kavontau
gearóid	kʲælɔjds
gearóid na gaisce	geroð nɛ ɛtʃke
gearóid ó tuathaigh	järɔ dʒˈa tˈuːɪ
gearóidín	kærødiː
geas	gæθ
geasa	kˈasa
geata	gapɔ
geataí	kʲɛtɪ̞
geiceo	kˈakːt
geilleagair	keljɣ̞aɾ
geilleagar	kɛːlaːgaɾ
geiléis	ne
geimhreadh	kevre
geimhriúil	kɛvˈryl
geir	gɛt
geis	gˈɛs
geit	katʃ
gemma ní bhriain	dʒɛmmˈɛ nˈivriˈjɑm
geodheilbheolaíocht	kʲeljalwɯ̞wɯ̞rqʊ̞ð
geolamán	kæawɫɯ̞mɑn
ghabh	laɾau̯
ghabh sé anuas an staighre agus é deargnocht	hæw̜ʃiɾn oɫas ɪsʰɑjɪrɪ̞ ægzɛj dɛrʲɪk noqtʊ̞hʲɪ
ghabhfadh	ʁɔxqaɵɑx
ghabhfaidh	qɔʊ̞wʲɪ
ghabhfaidís	dɨsva
ghabhfainn	ʁuənʁaən
ghabhlann	qɑwɫɯ̞n
ghabháil	ɣælɢɑːl
ghaedhilge	bwɛjɪlgɛ
ghaeilge	bwajɯlke
ghaeilgeoirí	ɾɛjlgɔjɾi
ghaelach	xɑjlæq
ghaineamh	ajnɛ
ghainmheach	ɣanʲemɨx
ghairdín	ɾɑnˈdʒɪn
ghairm	ɢarim
ghaiscíoch	ɾɑʃtʲeɪ̞ɾ
ghalar	gɑːnlɯr
ghallaibh	qɑqlɑqqɑlɯn
ghallda	ɑɫtɑ
ghallúnach	haluɨnʊ
ghaofar	xʊːfˈɛd
ghaoidhealta	ɢujltʊ
ghaolta	ui̯lˈθa
ghaoth	ʁˈɛ
gharda	bˈɑɾtə
gharraí	aɾaj
ghasúr	dˈasdɯɾ
ghealach	javok
ghealacha	jalɑχɑ
ghealaí	jɑlɔj
gheall	dˌiːzə
ghealóg	ʲɛɫʊ̞k
gheanna	jano
ghearann	jæɾn
ghearrfadh	jɑrɑq
ghearán	ɛran
gheata	gˈɛtə
gheibheann	jɛɪ̞vɑn
gheimhreadh	jæjfdæ
gheimhridh	ʲibʲːe
gheoamid	lomutʃ
gheobhaidh	jˈaʊɚjˈɔvɚ
gheobhaidh mé	jˈæfm
gheobhaigh	ljoj
gheobhaimid	ʝˈɔvɪɹ
gheobhainn	jˈɑfˈin
gheobhfá	jˈɛːfˈjˈ
gheocaigh	jɔkɔ
gheofar	jæwˈfæɾjɑhɑɾ
gheofaí	jaffɛj
gheofá	jɯ̞ɫajɑhɑ
ghiall	jˈɛl
ghile	gɯ̞ɫɯ̞
ghiota	kjˈɑtˌɛ
ghlac	qɫɑt
ghlacadh	kˈlɑkə
ghlacfainn	lækˈæn
ghlacfair	ɫækˈɛt
ghlacfar	laːkːor
ghlanmheabhair	lɑndɛus
ghlaoch	ʁɨx
ghlaochanna	kɫɛxnɔ
ghlaoigh	wɨi
ghlaoigh sé	ajʃa
ghlas	ʁɑːs
ghlasa	plaθˈsˈ
ghloine	ɫɫɯ̞næ
ghluaisrothar	ʁluɢʃuɾˈɦar
ghlóir	ɫoːɯt
ghlór	kloz
ghnáthamh	gnˈɑs
ghnéasaigh	vˈeɪsɐ
ghníomh	knˈiːv
ghníomhairí	nˈiːf
ghníomhaíocht	χnɛjɛnwɛ̀ɾt
ghnó	ro˥˩
ghnóthaigh	nauhãŋˈbɑːhʰæm
ghob	χɑp
ghobainn	ɢɒpˈin
ghoid	vads
ghoidtí	wɛtʃɪ
ghoirt	ɢɑʃt
ghorm	qɑɾɯ̞m
ghorna	qɑɾnɑ
ghort	wɒhwˈʃtˈ
ghortaigh	χartˈe
ghortaigh mé	ɑrtɯmɛ
ghortú	ɣɾʃtʃo
ghramadach	ɣramada
ghreamaigh	tɾɛma
ghrian	ðiɾien
ghrianghraf	sˈiənɹˈɑθ
ghrianghraif	ðˈɪjˈæˈrˈrɑːθ
ghroíúil	ruːl
ghruaig	ɾuːɒk
ghruama	truːma
ghrá	bɾa
ghráid	oːj
ghrámhar	braɣoɾ
ghrán	ɢɑn
ghrásta	rastɑ
ghuth	ʁɛ
ghéaga	jɛka
ghéar	jɛ
ghéibheannaigh	ɣəzni
giall	kiel
gile	kejlɛr
gile na gile do chonnarc ar slí in uaigneas	giliːn dˈɒˈljˈ dˈi xɒnˈlæɾkl ɒʃliːd ˈn wˈiːgnusˈɒt
gilleán ó cathasaigh	gˈalon ˈokazə
gilphíb	gjlfib
ginealach	gjɛnæɫæq
ginearálta	d̪inˈeˈɾˈotˈtˈɔ
giniúna	kjenuna
ginmhilleadh	kenbela
gintlí	kɛntsli
giobal	gɪbɫ
gioblach	kɛpɫäχ
giobráltar	kiproltar
giodalach	kɪ̞tɪ̞lɯ̞q
giofóg	tʃiqapk
giofógach	kʲːafakax
giolc	kjlk
giolcadh	kɛlkɑ
giolla	kjɒlla
giolla brighde mac con midhe	gylɛ βˈeɪdʒɛ mˈɑk ˈænd mˈeɪ
giolla brighde ó heoghusa	gjɒllˈɒˈdiˈ eˈɟɒ ɾɒlgɒsɒ
giom	kim
giomanach	kiamənˈx
giomnáisiam	kjemnaːsjm
giorra	kjoˈnˈʌ
giorracht	ʃaɢt
giorraigh	keɾa
giorraisc	kʏrˈɛʃk
giorraíonn	kʲærɪ̞n
giorria	keɾeɾ
giorrú	kero
giorrúchán	geɾɾɦɒn
giota	dʒɑtˈtˈɑ
giotár	kʲiːtɑːr
girseach	gɪ̞ɾʃæχ
giuirléid	keɾrletʃ
giúdach	jʊ̞dɑxjʊ̞dɑx
giúdais	kød̪ɒʃ
giúirléidí	keøɾlejiʃ
giúmar	kiuma
giúrann	kijɯɾɯn
glac	klak
glaca pinn	sklɐkɪ̞pˈin
glacadh	klakaa
glacann	kˈlɑqim
glacfar	kɫɑkɔr
glais	klas
glaise	laʃːa
glaisne	kɫasnʲi
glaistimbir	qɯ̞ɫäʂtʃɯ̞mbɪ̞ɾ
glaistimbir na ngael	kɘlɘʃ tɕin pirnəŋ ɞeɮ
glaisín	klaʃin
glam dicín	kəlɑːm dikˈin
glan	kɫan
glanadh	klana
glanfaidh	kɫana
glanfaidh mé	tɐlɐnɐmɛ
glanmheabhair	tlõn̪sɛaus
glanmheabhair, tá mé théis é a chur de ghlanmheabhair.	klɑnz jaoɾ tʰɑmɑ hɪɾʃn χːɬ kɔ̙klɑnz jaoɾ
glanrosc	laɪnɹɔst
glantach	kɫantɑx
glantachán	kɫɑntɑjˈʃɑn
glantóireacht	g�ɣ̞lãntʰɔjraxt
glaoch	plʊ̞jæð
glaochód	koˈjxoːt
glaodh	luːe
glaofaidh	kɫoːjhʲi
glaoigh ar	klˈaɪɚ
glaoim	kliːm
glaonn	lɪən
glaotar	tˈo
glas	klas
glas gamhain	kɫas kɑun
glas ghaibhleann	klas wɛwlan
glas naíon	klasmiːn
glas oileán i bhéal na cora	glas ʔillɔn fɛŋkɔrɔ
glas tuathail	klɑːs tˈɪgɯl
glasa	twˈafɐ
glasair	klaszɪ̞r
glaschreamh	kɫasˈsˈa
glaschú	klasxu˥˩
glasliath	kɫasʲːeːɾ
glasra	klasra
glasraí	d̪uɾe̞
glasáil	klasaːl
gle mhaith!	kleua
gleacaíocht	flˈakːt
gleann	lauːn
gleann baile chaoil	klɑn paːl xɛl
gleann beithe	klambe hˈɛɹ
gleann bheatha	kˈlɒn vˈˈɒhˈa
gleann cholm cille	kɒlɒhɒliˈm kɒlɒˈh
gleann chormliath	gɫoːn hˈɚnlɪə
gleann dá loch	laːntˁ aðˈax
gleann seathrúin	klau̯nʃaɾun
gleann trasna	plan trasna
gleanntáin	kɛntˈaːnˈnɪ
gleo	kleo
gleoiréiseach	lɛʃa
gleoiseach	djowˈɕo
gleoite	sjˈal
gleoiteog	tʃlɛʉkɛ
gleoiteoigín	glˈotʃogˈin
glic	flˈɪk
glif	klɪf
gligín	klikiːn
gligíneach	tlˈikːiːnˈɔx
glinne	tɛjlɛnɑ
gliográn	ʝˈoglˌaːn
gliogáil	plˈeɣoɾl
gliomach	klamak
gliondar	lend̪aɾ
gliondrach	glˈɛntəlˈɑq
gliú	klˈu
gliúneach	tklɛwlˈɛħ
gliúrascnach	kɫɯ̞rʲɪʃkɫæq
gloine	gənˈiː
gloine mhéadaithe	plˌɐnˈuzˈetɐhˈɐ
gloine uisce	plɛnɪski
gloineistir	klɪnɪztʃɪr
gloiní	klini
gluais	kɫɯ̞ʃ
gluaiseacht	qwɑʃˈɑqt
gluaisrothar	kɯlɯʃbɾuhaɾ
gluaisteáin	luːʃtaɫon
gluaisteán	kɫastɑ
gléas	les
gléasadh	klesia
gléasaim	kleisʲsʲm
gléasanna	klɛjsɑnɑ
gléasra	klˈeistɹˈɑd
gléasta	pliːste
gléigeal	klˈaɪkˌaʊ
gléigile	kəlɪ̞gjɪlɪ̞
gléireán	klˈeːrˌan
glóir	glˈɔɹ
glóiris	kɫɑwlɛʃ
glór	klˈɔr
glór don athair	loːr dˈɛnˈæhˈəz
glór traidisiúnta aontachtach	nˈɔr tˈrˈadˈɛtˈiʃˈiʊntˈɑ ˈɛntr
glór tíre	loːtʃera
glórach	kɫɑwɯ̞rɑh
glóthach	kɫauaq
glúin	lˈun
glúine	lwna
glúón	klon
gnách	knˈɔx
gnáth	gnˈo
gnáthfhocal	kˈɯnɑrɑkˈɯl
gnáthobair	kɛŋɑpɑr
gnáthphost	kɔnˈoːfəlst
gnáthrud	kɪ̞nˈɑæwrɑt
gné	grɛ
gnéas	knɛs
gnéasaithin	gnˈeɪstˈɛɦɪn
gnéithe	kne̞hje̞
gníomh	knˈiːv
gníomh go leith	kʲːir kʏlʏ̞
gníomha	kne˩˥ːva
gníomhach	knæjˈvɑ
gníomhacha	kɪːdˈnɪjɪvˈaxˈa
gníomhachtaigh	qɯ̞ðɯ̞ʊ̞ʁtɑ
gníomhaigh	knɛʲɪɫʲvɑkrugʲɑ
gníomhaireacht	krivˈrˈɵxt
gníomhaithe	kneːbɾə
gníomhartha	kɾivɾe
gníomhaí	kniːvɪ
gníomhaíocht	gʊrˈiːwˈɪxt
gníomhaíochta	kriːvojɛxtɛ
gníomhaíochtaí	kɾˈiːviːktˈɛ
gníomhú	knajvˈɯ
gnó	klou
gnótha	kãːrnaʁanəɣɾaa
gnóthach	knʌgɑx
gnóthaigh	pɾu
gnóthaí	knoɣi
gnúis	kɾuʃ
go	fˈɛ
go beacht	kˈɑf bˈaɪnən ˈaɪnfɑːr
go beo	kabiowˈ
go bhfaighe	kˌɐwˈið nˈo kˈˈaɹwja
go bhfillidís	ko vi lˈiːtˈ dˈiʃ
go bhfios dom	tˌɾˈɛstˈa
go bhfuil	kwɛl
go bhfága dia do shláinte agat	gʊrvˈagɯ dɪə dɑ hɑː eːnt eːgʊrtˈ
go binn	ɣəbiːn
go bpléifidh	koblɛɹ
go bunúsach	kbˈɑnˈʌvzˈaħ
go ceann	kɔːm˧
go cinnte	kɛkɛŋtja
go cothrom	kɯ̞ kɑɾɑm
go cuí	kukɫˈi
go dall	kð̞ol
go dearfa	kɪːˈrθa
go deas	gˈudˈˈes
go deimhin	tʃi
go deo	kɯdʑoɯ
go diail	gʊd diːl
go domhain	kʊˈdɑlˈwn
go dona as	tˈu tˈu nˈɛs
go dtuga dia ciall duit	gðˈogɪ diːɛ kild ɪt
go dté tú slán	kəˈgə tuːslɑːn
go dtí	dˈi
go dtí seo	kudzʲi iʃo
go déanach	kɪːtɪənɪːq kɪːtʕaʏnɑq
go fírinneach	kəθiːdiːn˧nɧ
go gabhla	kˈegɔɫˈɑ
go gnóthaigh dia duit	knˈoj diːgt
go h-annamh	kaːhaːnaː
go hachomair	kaːha koməd
go hainnis	gɔhaɲiʃ
go hifreann leat	kohɛzɾˈanˈdɑt
go hiomlán	kʰæˈhɑmleːn
go hiondúil	kʊ̞ːʊ̞n dɔːl
go hiontach	kɔhjɛntax
go holc	hʊ̞ŋ
go huafásach	kruː fˈɑːsʌx
go huathrialta	kɔχɑ rɛlta
go huile	kɛhlɛ
go háirithe	gəˈʃɑː ɾehe kəχɑː rɪtʃ
go hálainn	kaɦɑlɛŋ
go hálainn i ngach aon chaoi	kɔːhoːlɔ nˈiːnɑxˈliːnxue
go héifeachtach	qə heːvɑgtɪg
go héirinn	kˈˌoːˈhˈəɹˈ
go leith	ʏlʏ̞
go leor	dʒuɫɯ̞
go luath	kɫɯ̞
go léir	ɒgɾˈ
go maire tú	k̚˥˩moi̯ let̪ u
go maith	kɐmˈmaː
go mall	kamɑl
go mbeannaí dia dhuit	tə mʲan jidzʲeʁut
go mbeannaí dia dhuit.	tɨm jix nʲa dzʲeɣatsʲ
go measartha	qɒˈmɒsɒhˈɒv
go minic	tʃomini̠k
go mion	miːlo
go méadaí dia do stór	kam je detsʲe tɨ stau̯ar
go n-éirí	kʲːerʲː
go n-éirí an t-ádh leat	knˈˈɑiː jˈɛˈɛn tˈɑlˈɑt
go n-éirí an t-ádh leat (ulster)	kˌiːnjɪlˈin tˈalat
go n-éirí an t-ádh leat.	kɪːnɛː jɪn tʰɑːlɑt
go n-éirí leat	knijs jilat
go n-éirí leat!	kɔnˈʒerɪ lat
go ndéanaí mhaith dhuit	kʲːenɨ vaɣatsʲ
go ndéanfadh	ka nʲenɑq
go rabhthar	gɾˈufɚ
go raibh maith agaibh	kʊrmɑhgəs
go raibh maith agat	khɾma əkət xkɾmaɾa
go raibh maith agat as ucht do chúnamh	kɾmaːʔt ʔyzy axtuχuːnno
go raibh maith agat.	kəro mˈaː hˈat
go raibh míle maith agaibh!	kʏrmʲiːlɛ makhbɪ̞ð
go raibh míle maith agat	kʏrmjlə maːhe kət
go siúráilte	kə ʃoː rɑtsɑ
go sábhála dia sinn.	kəsavilɪ diʃiŋ
go tapa	katapa
go teann	tʃaːn
go tobann	aðtɔbɔŋ
go toraigh	gətorj
gob	tɔb
gobadan	kɔbɨdaːm
gobnait	gɔbnet
gobnat	gɑbnet
gobán	nˈə
gofraidh	tɛp˨˩p˥˩si
goibniú	qʲɪbʲːeu
goid	køt
goideann	gʊ̞dʒɑn
goidfidh	katʲa
goil	ɛt
goile	ɔjˈa
goile maith	kəˈlʲ mɑː
goilleadh	kɐjlja
goilliúnach	kɐlˈɛnˈɔx
goimh	kæˈv
goineadh	pʁənˈə
goineog	kʌnʌk
goirmín	gʊdmiːn
goirmín searraigh	ˈgədə mˈin ˈtʃarɑ
goirt	kʲɪrt
goirtín	kɔrtʃin
goitse	katʃa
gol	kol
goll	koːn
goll mac morna	kɐl mˈɑɹk mˈornˈ
goltairghléas	kˈɔltədlˈes
goltraí	koltɾa
gorias	kɑɾɑs
gorm	koɾum
gorm dorcha	kˈɑr ˈmɑtɑrɑxˈɑ
gormdhubh	qɯ̞rɯ̞mqʊ̞ð
gormfhlaith	kɑrɯ̞mɫæ
gormghlas	gɒtomlas
gormlaith	kɐrɯːmla
gormphíb	kalʔa
gormán	komo
gort	tʃʃ
gort a' choirce	kɔ̙tɞ̙ːa χɐrka
gort inse guaire	kɛrtʲnʃɛ gɾɛta
gortaigh	kɔrtɔ
gortaíonn	kɔstɪn
goídelc	kujitellik
grabaire	kɾæebeɾɯ
grabhróg	klovok
gradaim	kɾʒɯn
gradam an uachtaráin	kɾatɪm nɔx tə rajl
graf	kɾaf
grafaic faisnéise	klasik fɒʃɲeɕɒ
grafán	kraafem
graificí	klakˈi
graim	kɾæm
grainc	ɣ̞ɾæŋk
gramadach	lɛrd
gramadaí	kramadɪ
graosta	kreska
graunuaile - granuaile (hiberno-english)	ɾɹɔniɫˈˈæl
gread	kɾatɾ
gread leat	krˈædlˈad
greadadh	peta
greadtóir	ke̞ɾægto̞ɾ
greallóg	tʃɛːlk
greamaigh	kɛdaːmɔ
greamaigh fiacail	grands mo θiaːkl
greamaitheach	kɾamiːjɑq
greamanna	gramenæj
greamán	kɾæmən
greamú do	kɾammel to
grean	grand
greanach	kramov
greann	kɾˈaon
greannmhar	kɾr
greannmhara	kɛːrɑːnmora
greannán	raːnɑn
greanta i m'inchinn	kɾˈantɜ ɛ mˈɛnxən
greim	kɾein
greimlín	krɛmlɪ̞n
grellain	kralən
gressacht	kɪ̞dˈasɑqt
grian	bizˌeːən
grian banchure	grìən bɑnɣʷirɯ
grianchóras	kidiːjaːnxɔras
griandó	kriantau
grianghraf	keɾnɾaf
grianghrafadóir	kriːnˈyˈʁafətˈoːt
grianghrafadóireacht	kytɾjɛnɣəfdoːrɑx
grianghrafadóireachta	kʏrjɪːnræθðorːaxta
grianghrafanna	krnʲiːɾɨ
grianghraif	gɹˈinɹˈɑff
griangraf	gɹˈingɹˈɑf
grianmhar	kɾijjɒˈmbɒˈɾ
grianstad	kriːnˈzˈtˈat
grianstad an tsamhraidh	kriːnˈd stˈaːt ˈɛn təʊrˈɛ
griantairiseamh	gɹiːntɑrtʃɪf
griantéitheoir	kriːjɛntʃɛgɔr
grianán	kɛʃeːˈeːnˌaːn
grinn	tɹeen
griogair	kɾakɾ
griscín	kɾɪsˈkiːm
groí	kroji
gruagach	kˈuˈɾˈɑkˈɑχ
gruagaire	kruɫgɐrˈɪ
gruaig	kɾuvɛk
gruaig fhionn	kruːˈeɪk ɔn
gruaig rua	trua ɛkrua
gruaige	ʒˈˈgˈʁˈ
gruaim	gruen
gruama	kɾɔma
grugaire	t̪eɾakeɾe
grá	gɹɔː
grá choinníol	kɾaːxonjl
grá go deo	kloːˈ ntʃoʊ˥˩
grá na fírinne	krou̯ne fjrɨɲa
grá tiomnaithe	kˈraː atʃam nɑjˈjɑm
grád fhéne (old irish)	rɔdajnɨ
grágáb	kɾɒkɒp
grágán	krawɣan
gráig	kɾrɑːg
gráig na manach	kɾˈɒːj kɪtɪm ʔanɑq
gráigh	kloː
gráim thú	kroːnɦelv
gráin	gɾɑːn
gráiniúil	ɾɒniˈvl
gráinne	kɾonja
gráinne mhaol	kronji wjɪl
gráinne ní mháille	brɑlʲæ nïi brɑlʲæ
gráinneog	kronʲɐwk
gráinnín	ɾɑːniː
gráinseach	kʊrˈɑŋtʃək
gráiscínteacht	grɔːxtɕintɔːxt
grámhar	ɾauɛɾ
grámhara	laura
grán bhuí	kronˈv
grán dubh	kɾajnðov
grána	krono
gránach	kluɢ
gránna	krona
grásta	krasta
grásta ó dhia ar a hanam	kɾɑzta ɒ jeˈɾ ɒɾˈhanim
gráta	gɾatɐ
gréagach	kɾeːrjɟəx
gréagóir	gɾˈeɣoɾ
gréasaí	rˈeɪfi
gréasáin	kriː˧sɔːn˧
gréasán	klˈɛstˈɔn
gréasánaí	kɾæjsænˈɛj
gréigis	gyzɛjeːgɛʃ
gréinleacha	tɾjnɐχɑ
gréithe	gɾeːɪ
gréithre	kɾajɛʁrɑ
gríobh	xˈɛɹiɚv
gríoscadh	kriːeska
gríoscán	kɾɪskan
grósaeir	klosˈeɾ
grúdaigh	krutɐ
grúdaireacht	krd̪eɾeχt
grúdlann	kruɔtlɔn
grúinse	kɔʒ
grúisis	ɾuziʃ
grúnlas	kruːnˈlɑs
grúpa	klˈuta
grús	kɾˈuːs
guach	kuɐ̯
guadalúip	gwˈʌtunluːp
guadalúip agus a spleáchríocha	kwadlup z spraw xexa
guagán	kɔɑkɑn
guagán barra	kɔ kan basa
guailleáin	ko˩˥ːljɔn˨˩
guaillí	kˈu
guairdeall	kʊɾtɔv
guaire	kʏ̞jɾæ
guaireach	koːeɾak
guairneáin	kɔɾnɔnʲa
guais	ke
gual	kˈuɫ
gualach	qoɫæx
gualainn	kˈuɾn
guaráinis	koɾɑːnʃ
guatamala	kwatˈemɑlɑ
gugalaí	kukˈli
guigh	kuiːbɪvɛ
guilpín	kolpiːn
guine-bissau	kopavʲerɨɫabʲisaw
guirín	kɾʲinː
guithín	kʰoːhan
gulbán	kɑɫpʊ̞n
guma	kɔmɑ
gunna	kɯ̞nna
gunnaí	wnɯj
gur	kɔɾ
gurab amhlaidh duit	kˈormˈɑ ɑldɯ gɯt
gurb	kʊɾum
gurbh	kʊ̞ɾʊ̞v
gurbh fhéidir	kʏrðɪ dʲəɾ
gusán	tɔzˈsaːn
guta	kɔta
guth	kɤ˥˩
guthanna	qɑhnɑqɑhni
guthán	hɔːm
guthán póca	gˈoxan pˈoːkʊl
guí	ɢwi̯
gá	gˈoʊ
gáe bulg	kaː jeː pɔɫok
gáeth	pɔjˈvɛ
gáirdín	gardin
gáire	kɔjlɛ
gáis	koːʃ
gála	ɟala
gána	kaːnɨ
gás meatáin	kɑːs mætæɲ
gásaigh	qɑsɑ
gásailín	kɔsɔlɪn
gé	gˈe
gé ghlas	kʲiː ɣɫɑs
géadh	ful
géag	kɛjɪ̞k
géageasnamh	kʰiː˥˩ɟʰasnɑv˥˩
géanna	pena
géar	keˈɾ
géaraigh	kjeɾa
géarchuiseach	keːrxɵːʃɵː
géarchéim	geːrgim
géaruillinn	keɾɪlɪ
géarú	kiero
géibheann	kæivɪ̞n
géill	kejl
géilleadh	kɛjlæ
géilliúlacht	kẽɾʉlʊ̞xt
géine	kʲæ̀i̯næ
géire	kiːde
gétal (old irish)	kʲeːtæl
gíog	kˈilk
gúisearáitis	guːʃɾaːtʃɪʃ
gúm	ɟom
gúna	ˈuna
gúnaí	kluːnɫi
h (alphabet)	hˈeʃ
h-iad	hiːd
h-iomlán	hamˈlam
habair	ɦɑːbɛt
habha	awɛ
habháí	aɫo
haghaidh	ˈaɪ
haifniam	asɲəm
haigh	hˈeɪ
haileo	ˈeɪloʊ
hainmhithe	hˈɛnɛ
hainmneacha	ħɑmɑlnˈħɑ
haire	həɾiː
hairt	hæɾt
haischlib	hæʃklip
haisiam	asim
halla	hɑlɑ
halla baile	aːl ðə paːjlˈe
han-mhaith	ɦanɔva
hanla	allɑ
hanáí	anˈɔj
haoibhinn	hivin
haoine	hʲinɫ
haois	hejʃ
haoiseanna	hɪ̞ʃʊ̞nɑ
haon	eɛn
haonach	hijɛnwɑq
haonmhac	hˈeɪənɫwˈɑk
hard	əɹθ
hardchathrach	hɒːɾtqɒːɾæx
hart	hæɾst
hata	hɑtɑ
hata ard	hˈɛt ˈɑɹt
hataí	hati
hathair	ɦˈɛz
hea	hæ
heagraíocht	hˈɛglixt
hector ó heochagáin	ɛktaɾa jɛ́χɛ gɔi̯n
heicteár	ɛktʃɛr
heilbhic	hˈɛlvɛk
heilléinic	helleːnek
heilsincí	tɛlʃɛnk
heipitíteas	happətˈtˈɪtˈuz
heochrach	axraq
heochracha	ɑχɾiχi
heolaithe	hʊ̞rɪjˈæhɯ̞rðɪ̞
hidrigin	edʒegiːn
himeachtaí	hemexti
himreoirí	hemroːrɛj
hiondúis	kʰeːn˩˩˦duːʔ
hiriseoirí	hˈɾˈɒʃɒ
hocas	hoˈkɯz
hocht	hakt
hoibreacha	hibθue
hoibrithe	ʔt̚˨˩nrn
hoilmiam	qwælmʲɪɦæm
hoips	fes
hois	hæʃ
homaighnéasaigh	homoeɾeis
hondúras	unðʊɾs
hoscailte	aʃˈkɑltʃə
hoíche	tej
huair	ɦoːt
huaire	urze
huaireanta	ˈveɾəntˌævˈɛrəntˌæ
huis	heʃ
hurlamaboc	pɔʁlɑmɑːpʊk
há	a
háirithe	aːlˈħæ
háite	ɦɑːsˤe
háiteanna	aːtʃaːnɑɑːtʃɑnɑj
háití	otʃo
hárasáin	hɑlɑsɑn
hé	hˈeɪ
héadaí	ɦɛjtɪ
héadrom	hejdrɔm
héagóracha	a
héasca	ajʃka
héigse	hejkʃi
héileacaptar	ɛˈliːkɑptɚz
héiliam	elion
héinne	en
héireann	higɛrim
héisc	hɪ̞ʃ
híceadha	lɛkːɛ
hóigh	pau̯
hómafóbach	oɫmɑfɔɾbɑq
hómafóbaigh	plulvæfˈɔlbɔː
hómaighnéasach	ɒmmixɒnɒˈjˈɒsɒq
hóra	ˈaɫɚa
húicéir	okert
húidí	hjˈudɪ
húpú	hupup
i	e
i (alphabet)	i˥˩
i bhfad	dˈə wˈɑd
i bhfaiteadh na súl	ivatsʲ iqnɨ sɨl
i bhfarraige	tʊɑrɪkʲɑ
i bhfogas	ˈeɪ wˈɔləs
i bhfolach	iwɑɫɯ̞χ
i bhfógra	a uogɾa
i d'aghaidh	ɛˈdʒæg
i dtaobh	atˈaɪv
i dteannta	ɪdˈɛˈaːntˈa
i dtoraigh	idori
i dtosach	iːtːɐsːɐk
i dtús báire	eduz pˈorˈtˈɾə
i gcaitheamh	iːkaja
i gcló	ikɫo
i gcoinne	ikːoːnʲe
i gcoitianta	kətsʲɛntɑ
i gcoitinne	ikotʃna
i gcomhair	ɪ̞gɔð
i gcomhthráth	ko˩˥ːxla˥˩
i gcomparáid le	ikum proagɛtʃ la
i gcomórtas	pˈika mˈɔɾtɐs
i gcrích	ˈɪk dˈɪɾ
i gcéill	tʃiɣ̞le
i gcónaí	ekoni
i leith	ɪ̞jɫɛ
i leith na bándeirge	æ̹ljɛr nʲɪ bɑʁɯn ɟeɾɛgɛ
i leith na deirge	æ̹lærnɪ̞ tɪ̞rɪ̞gɛ
i leith na duibhe	jelena dɛva
i leith na léithe	iliːn mylænɪ
i láthair na huaire	iːlaːhni hoɾæ
i m'aghaidh	nˈɛmˈʌg
i mbaile átha cliath	ɪˈmɛ lɔː klˈiːɾ
i mbarr	mˈˈɑr
i mbliana	emljana
i mboston	e ee̞mɒstæn
i mbrothall lae	la ɾɔhlˈli
i mbun	imɔ̃n
i mbéal an phobail	ɪ̞mɪ̞ ɪ̞l ɪ̞ fɔbwj
i mbéal gael	imˈeɪl goˈɪl
i mbún	ɛmon
i mo chónaí	ɛmˈæːxuːnli
i mo dhiaidh	tɛmɚjɛ
i ndeireadh na dála	ðen jenɛnɑ dɑlˈa
i ndiaidh	iniː ɛk
i ndlí	enɾɛj
i ndáiríre	ən aːlejɾa
i ndán	enɔːn
i ngach áit	iŋaːx wat
i ngiar	nˈy ˈɛɹ
i ngrá	ɛːnˈɾˈɔ
i ngrúpaí	ingrupai
i rith na bliana	lund blˈjˈama
iacárta	jˈakˈartˈe
iacútsc	jˈɑːgkiːɾg
iad	et
iadsan	iːɾˈtsɪn
iaidín	i˥˩e˨˩˦tɕi˧˥ɪn˥˥
iaigh	iei
iall	eɣlæ
iall bróige	iɛl proːˈke
iallach	iɛ̞vɑh
ialtóg	iɔtɔk
ialus	iʝɯz
iamáice	jɛ̀mɔɪkæ
ianaigh	bjena
ianlann	eɣ̞mãn̪
iar chonnachta	iːrxiniq
iar-ghrúinse	jævændʒ
iar-phoblacht iúgslavach na macadóine	kijˈaf ˈqɑplɑs jˈogʌ slˈɑvɑn mˈɑqtʌvˈin
iar-éarlamh	bʲiræɾlʊv
iaraire	esraɾe
iarann	i̠jæ̹rɪ̞n
iarchéime	ieresmɛne
iarchéimí	iɛrxemi
iardheisceart	ʲiʲɯʲɪʃkʲɛt
iardheisceart shasana	ja jæʃka tʰaːsna
iarfhlaith	rɫæ
iargúlta	ɛɾgʊltɛ
iarla	ɯɾɫa
iarla ó lionáird	iːrlɑr oːlənɑːrd
iarlais	ɪɾɫɯ̞ʃ
iarlaith	perla
iarmhaireacht	iːroːˈgɑr
iarmhairt	ˈɛɹvˌɔɹts
