'arif	uʔib
qutulmaq	qʊ̞tulmɑq
qutulγu	qutuvʁu
qutulγu jarï	qʊ̞tʊ̞ɫʁʊ̞ jɑrɯ̞
qutumnï	qɵtumna
qutuqu	kʊ̞tɑqkʊ̞
qutur	kɔtɔr
quturma	tʊ̞rmɑ
quturma börk	kʊ̞tʊ̞rmɑ bʏ̞rʏ̞k
quturt	ɔtɔrt
quturu	tɔru
quturul	kutuɾɔl
qutuz	kʊ̞tʊ̞z
qutï	qutðʊ̞
qutïm	qʊ̞tɑn
quv	pov
quva	qoa
quvar	kuvar
quvla	χʊ̞vɫä
quvra	qʊ̞vrɑ
quvraq	kuvrɑk
quvrat	ɦuvrat
quvraγ	qwbɾɑq
quvur	ɦuvɔr
quvvät	qovat
quz	kuz
quz ordu	kuzurdʊ
quzan	quzɑn
quzqaq	quzqɑq
quzï	uzˈa
quzγun	quzguŋ
quzγun, qoburγa ulatï javlaq bẹlgülüg, qorqïnčlï ünlüg qušlar. [türkische turfan-texte]	quzɢun qoʁurʁɑ uɫɑtɯjɑ uɫɑq bilgilyk qorkuntʃnɯ ʔyntlyk quʃlɑr
quzγunuγ	qʊ̞zʁʊ̞nʊ̞q
quzγunuγ ïγačqa bamïš, qatïγlï ba, ẹdgüti ba. [runic manuscripts]	qʊ̞zʁunɯ̞q ɑʁɑ tʃɯ̞qɑ bɑmɯ̞ʂqa tɯ̞ʁɫʊ̞ bɑ ɪ̞tgʏ̞tɪ̞j bɑ
quzγunuγ ïγačqa bamïš, qatïγtï ba, ẹdgüti ba. [runic manuscripts]	quzʁunɤq ʔɑʁɑʃqɑ bɑmɑʃqɑtɯq tɑ bɑː ʔetgytyy bɑ
qučarmẹn	kutʃaˈɾmen
qučmaq	qwtʃmɑq
qučqul	qʊ̞tʃqoɫ
qučtum	kuitʃtsum
qučtuŋ	kˈuʒtstˈoŋ
quš	qoːʃ
quš tuzaqqa mẹŋ üčün ilinür. [ancient turkic dictionary]	quɾʃ tuzɑqkɑ menʁ utʃuŋ ilinɯdɯɾ
qušlar	qʊ̞ʂɫɑr
quγu	qwjo
qïja körmäk	qijˈɑ kˈˈrmˈɛk
qïjmät	qɪmˈɛt
qïl	qɯ̞uɫ
qïldï	qɑlda
qïlma	qɯ̞ɫmɑ
qïlmajïn	tɯ̞ɫmajɯ̞n
qïlmaq	qɯ̞ɫmɑq
qïlmaqlïγ	qɯ̞ɫmɑqɫʊ̞ɢ
qïlmaqqa	qɯ̞ɫmɑqqɑ
qïlmïš	kɯ̞ɫmɯ̞ʂ
qïlmïš qïlïnčï	qɯ̞ɫmɑʂ qɯ̞uɯ̞ntʃʲɑ
qïlmïš qïlïnčïnïŋ mün qadaγïn körüp. [uigurische sprachdenkmäler]	qɯ̞ɫmɯ̞ʂ qɯ̞ɫɯ̞nʲɪʂʊ̞nɯ̞ŋ mʏ̞n qætɑʁʊ̞n kʏ̞rʏ̞p
qïlmïšïn	qɯ̞ɫmɑʂɑn
qïltačï	kʊ̞ɫtɑtʃʊ̞
qïlur mẹn munuŋ šükri jüz miŋ qata. [йосыф баласагуни]	qɯ̞ɫʊ̞r mʲen mɯ̞nɯ̞ŋ ʃwkɪ̞ɫ jʏ̞z mʲen qɑtɑ
qïlïnmaq	qɯ̞uɯ̞nbɑq
qïlïnč	qɯ̞ɫːɑntʃ
qïlïnčlïγ	qɯ̞ɫʊ̞ntʃɫɯ̞q
qïlïnčnïŋ	qɯ̞uʊ̞ntʃinɪ̞ŋ
qïlïnčï	qɯ̞ɫʊ̞ntʃʊ̞
qïlïp	qɯ̞ɫʊ̞p
qïlïč	qɯ̞uɯ̞ʌt
qïlïč mandurmaq	qɯ̞ɫɯ̞tʂ mɑn dʊ̞rmɑq
qïlïč manmaq	qɯ̞ɫʊ̞tʂmɑnmɑq
qïlïč qamčï	qɯ̞ɫɯ̞ tʃɯ̞qɑmtʃɯ̞
qïlïčsïz	qɯ̞ɫɯ̞ʂsʊ̞z
qïlγaj	qɯ̞ɫʁɑj
qïlγu	qɑlʁu
qïlγučï	qɯ̞wbuʃtʃɛ
qïmïz	qɑmɑz
qïmïzlar	qɯ̞mɯ̞zɫɑr
qïn	qɯ̞n
qïnatï	tɯ̞nːɑtɯ̞
qïqïrmaq	qɯ̞qɯ̞rmɑq
qïqïrïp	qɯ̞qɯ̞rɯ̞p
qïrmalaš	qɯ̞rmɑbɑɾ
qïrmalašmaq	qɯ̞rmɑɫɑʂmɑq
qïrq	tɯ̞rp
qïrqta	kʏrpðä
qïrqïnč	kɯ̞rqʊ̞ntʃ
qïsalïm	qɯ̞sɑɫɯ̞m
qïsmät	qɯ̞smɛt
qïzartmaq	qɯzɑrtmɑq
qïzïl	qɯ̞zɯ̞ɫ
qïzïl aγzï qan tẹg, qašï qap qara. [йосыф баласагуни]	qɯ̞zɯ̞ ɫægzɯ̞ qɑn tʲek qɑʂɑ qɑp qɑɾɑ
qïzïl čüvit	qɯzɯltʃiwjt
qïzïl čüvüt	χɯ̞zɯ̞ɫ tʃɪwɪ̞t
qïzïm	qɯ̞sɯ̞m
qïčmuq	qɛtʃmuːq
qïčmïq	ʁɛtʃmɑq
qïčqïr	qɯ̞tʃqɯ̞r
qïčqïrdum	kətsʲkərdun
qïčqïrdun	kʏ̞tʂkɯ̞rdʊ̞n
qïčqïrmaq	qɯ̞tʃkɯ̞rmɑq
qïčqïrïrmẹn	qɑtʃqɑrɯ̞rmʲen
qïčï	qɯ̞tʃɯ̞
qïčïlamaq	ɢɯtʃjɯɫɑmɑq
qïčïn	qɪ̞tʃən
qïš	qɯ̞ʂ
qïšïn	qɯ̞ʂɯ̞n
r	ɾɛ
r-r	r
rab	rɑb
rabat	ɾabɑt
rabb	raːbaba
radna	radma
raj	rˈaɪ
rajmast	rajmazt
rakakavini	rakakaɣini
rakakawini	rakakakau̯vɨni
ram	ram
rančïlïq ẹttiŋ	ɾɑntʃɯɫɯk ɛtdiŋ
rančïlïq ẹtärmẹn	rɑntʃɯlɯz ɤjtɛrmɛn
raqs	ɾɑks
raqs čïqarmaq	rɑq tʃɯcɑrmɑq
rasajan	ɾˈɑsaˈjˈn
rasr	raza
ratikara	ratʃekara
ratna	rɑtma
ratnakar	ratnakar
ratnamiti	ratnamʲitʲi
ratnasiki	ratnɑsɯkʲi
ratni	bratnʲi
raz	razo
raḥat	rˈɑxˈat
ra’ijjätqa müšfiq sälim til ḥalim. [әхмәд йүгнәки]	raqijatɣɑ muːʃwjq sæˈlim siːl χɑːˈlim
ribat	ribat
ridvan	ɾˈɛdwan
rija	ɾˈaɪˈɑ
riqqat	ɾiqqat
rivadi	riˈvʌdɪ
ros	ɾɔs
rum	ram
rus	ɾus
ruza	ruzɑ
ruzgar	ɾuzgɑr
ruzi	ruʒi
rädnilig	rɛdnʲilʲig
räkvä	ɾʲɛkʋʲɛ
räs	res
räsul	rasˈu
räva	brava
räva bol	ɾɛvɛboː
rävan	ˈɾɑːvɑːn
rüstäm	ɾʏ̞stæm
s	sɛ
s-s	sɪ̞
sa	sɑ
sab	sˈɑm
sab söz	sʌbˈ søz
saba	tɕoːpa
saba jẹli	sabə jəˈli
saban	sˌɐbɐn
saban sür	sɑbɑn sør
saban sürdüm	sɑbɑn sørdʏm
saban sürärmẹn	sɑbɑn sørær mɛn
sabanda sandïrïš bolsa, örtgündä irtäš bolmas. [мәхмүд кашгарый]	sɑbɑnˈdɑ sɑndɯɾɯʃ bɔlsɑ ʔœrgyndɛ ʔirtɛʃ bɔlmas
sabanla	sɑbɑnɫæ
sabanlamaq	sɑbɯ̞nɫämɑq
sabarir	savɑriɾ
sabarïr	sabɑɾɯr
sabarïr ẹrdini tẹg	sˈbrˈrˈhɑl ɪrˈdiːniːte̞k
sabmaq	sæbmaq
sabr ẹtmäk	sɑˈbɛr ˈizmæk
sabra	sabra
sabra tarqan	sɑbrɑtɑɾqɑn
sabran	sabran
sabur	sɑbuɾ
sabutu	saboto
sad	sɑt
sada	sɑda
sadu	sadu
safdïčlanmaq	sɑplɛʃlɑnmaq
safih	ʃtˈafˈiʁ
saj	sɐj
sajda	sɑjðɑ
sajpa	sɑjpa
sajpamaq	sæjpɑmɑq
sajpat	sæjpɑt
sajpatmaq	sɑjpbɑtmaq
sajqa	sɑjqɑ
sajra	sɐjɾɑ
sajram	sɑjɾɑm
sajram suv	sajram sɔv
sajramaq	sɑjrɑmɑq
sajramlan	sɑjˈrɑmˈlɑn
sajramlanmaq	fajramɫänmɑq
sajrat	sʌjˈrɑt
sajratmaq	sɑjɾatmaq
saju	saju
sajïlγan	sɑjɯ̞ɫʁɑn
sajïqmaq	fajɯ̞qmɑq
sajïš	sɑjɯz
sajïšturmaq	sɑjɯ̞ʃtʊ̞rmɑq
sajγïrmaq	sɑjʁɯ̞rmɑq
sakabir	sakabʲir
sakimuni	saːkimniː
sal	sɑɫ
salabät	sʌgɑbet
salam	sɑɫɑm
salamat	sɑɫɑmɑt
salar	sɑɫɑr
saldur	sɑɫdur
salim	sɑlim
salla	saːɫːɑ
salmaq	sɯ̞ɫmɑq
saltur	saltɔr
salturmaq	sɑɫtuɾmɑq
salï	sɑwɑ
salïmlašmaq	sɑɫɯ̞mɫɑʂmɑq
salïndï	sɑwɑndæ
salïnmaq	θɑuɯ̞nmɑq
salïnturmaq	saɫʊ̞ntʊ̞rmɑq
salïŋulamaq	salɑlɑŋalämɑq
salïšmaq	sɑɫɯ̞ʂmɑq
salčï	falsʲe
salŋu	fɑŋ˥˥fɔː
salγa	sɑwʁä
sam	sɑm
saman	sɐmɑn
samanlïγ	sɑmɑnlɑq
samantabadiri	samɑntabʱʱadʲrʲi
samantabadri	samantabadri
samantaprabi	sɐmɑntaprɐbʲi
samarqand	sɑmɑrqɑnt
samat	sɐmɑt
samati	samati
sambun	sãːmbuːn
samda	sandä
samduj	samduːj
samir	sɐmɪr
samla	sɑːmɑlɑ
samlamaq	sämɫämäq
samsar	sɑmsɑr
samsïtmaq	sɑmsɯzmɑq
samtsu	samtʃo
samursaq	sɐmɐrsɐq
samurtuγ	sɑmɑrtʊ̞r
samïš	sɑmɑʃ
san	sɒn
sana	sɑŋä
sanamaq	sɑnɑmɑq
sanač	sɔnˈɑt
sanaγalï	sɑnɑʁɑɫdɑ
sanaγalï bolγaj	sɑnɑʁɑ la bɔlʁɑj
sanaγlï	sɑnɑʁʁɑɫæ
sandaγ	sandɑː
sandruš	sandruːʃ
sandrïmaq	sändrɯ̞mɑq
sandrïš	sɑndrʃ
sanduq	sɑndɑq
sanduvač	sãnˈdwɑt
sanduγ	sãnbɔx
sandvač	sˈɑndwˌɑtʃ
sandïrïš	sɑndɯɾɯ
sandïrïšmaq	sɑndɯ̞rʊ̞ʂmɑq
sanipat	sɑˈnipat
sankara	sɑnkɑɾɑ
sanlïγ	sɑndlɑq
sanmaq	sɑnmɑq
sanrušmaq	sɑnruːʃmɑːq
sanrïmaq	sɑnrɑmɑq
sanrïšmaq	sɑnrʊ̞ʂmɑq
sansar	sansɑɾ
sansarnïŋ müni qadaγï	sɒnsaɾun myniˈ qɒdɒqiˈ
sansarnïŋ münin qadaγïn, nirvannïŋ jẹgin ẹdgüsin könisinčä tujmaq, könisinčä körmäk.	tɑlsɑrnɯŋ mynʲiʲin qɑdɑʁʊ̞n wɪ̞rwɑnɯ̞ɴ jɯin ʔɪtgʏ̞sʏ̞n kønʲiʃɪ̞ntʃæ tujmæk kʏlʲɪʂɪ̞ntʃæ kørmæk
sansïz	sɑːmsøz
sanïn	sɑnɑn
sanïnča	sɑŋɛntʃʰɑ
sanïčar	sɑnɯtʃar
sančmaq	sɑntʃɪmɑq
sančï	saŋtʃɛ
sančïlmaq	sɑntʃɑlmɑq
sančïmaq	sɑntʃimq
sančïp	sʌntʃpˈ
sančïqmaq	saŋtʃɯqmɑq
sančïŋ	sɑŋsjɔːŋ
sančïšmaq	sɑntʃjaʃmɑq
sanγarmaq	sɑnʁɑrmɑq
sap	sap
sap kẹzik	sɒbkɾˈik
sapanlamaq	sɑpɑnɫɑmɑq
sapla	sɑpɫɑ
saplamaq	sɑtɫämɑq
saplat	sɑpɫɑ
saplatmaq	sɑpɫɑtmɑq
saplïq	sɑplɯ̞k
sapmaq	sɑpmɑq
saptur	sɑpdʊr
sapturmaq	sɑptʊ̞rmɑq
sapïlmaq	sɑpɯ̞ɫmɑq
sapïmaq	sɑpɯ̞mɑq
sapïnmaq	θɑpɯ̞nmäq
sapïtmaq	sɑpɯtmak
sapïtγan	sɑpɑtɣɑn
sapïγ	sɑpɑq
sapča	sɑbtʃɑ
saq	sak
saq saq	sɑqsɑq
saqa	sɑqɑ
saqal	sakɑɫ
saqalduruq	sɑqɑlduɾɯ̞q
saqalduruqlan	sɑqɑldurɯ̞qɫɑn
saqalduruqlanmaq	saqɑlduruqlɑnmɑq
saqan	sɑqɑn
saqaq	sæqäq
saqla	sɑqɫɑ
saqladum	sɑqɫɑdɯ̞m
saqlamaq	sɑqɫɑmɑq
saqlan	sɑqɫɑn
saqlandum	sɑqɫändum
saqlanmaq	saqlɑnmɑq
saqlantur	sɑkɫɑntɔr
saqlanurmẹn	saqlɑnurmæn
saqlanγïl	sɑqɫɑnʁʊ̞ɫ
saqlardum	sɑqlɑrdum
saqlarmẹn	sɑɾqlɑɾmɛn
saqlašmaq	sɑqɫɑʃmɑq
saqlïq	sɑqlɯ̞q
saqmaq	sæqmɑq
saqï	sɑqqɑ
saqïmaq	sɑqmɑq
saqïn	sqent
saqïn kiši alγučï	sɑqim kɪ̞ʃi ɑwʊ̞tʃɯ̞
saqïnmaq	sɑqɯ̞nmäq
saqïntïm	sɑqɯ̞ntɯ̞m
saqïnïp	fqɯ̞nɯ̞p
saqïnč	sɑqɯntʃ
saqïnč qadγu	sɑqɪmtʃ qɑtʁu
saqïnč qaδγu birlä özüm umadï. [йосыф баласагуни]	saqimʧ qɑjʁu bʲirlæ ʔøzɪ̞n ʔumɑdɯ̞
saqïr	θɑqɯ̞r
saqïrqu	sɑqɯ̞rqoʊ̞
saqïrγan	ʃɑqɯ̞rʁɑn
saqïsïn	sɑqɯ̞sɯ̞n
saqïz	sɑkiz
saqïzlïγ	sɑqizlɯˈq
saqïš	sɑqɯ̞ʂ
saqïš bilmäk	sɑqɯ̞ʂ bʲilmæk
saqïšqa qatïlmaz sẹniŋ birlikiŋ, tüzü nẹŋkä jẹtti bu ẹrkliglikiŋ. [йосыф баласагуни]	sɑqɯ̞ʂqɑ qɑtɯ̞ɫmɑs senɪ̞ŋ bʲeɣ̞lɪ̞kɪ̞jɪ̞ŋ tʏ̞zʏ̞nʲɪnkæ jɪ̞tːʲi bu ɪ̞rkɫi̠gjɪlʲɪkɪ̞j
saqïγ	sæɢq
saraj	sɑɾaɪ
saran	tsɔran
saranla	saˈrɑnuˈɫɑ
saranlamaq	sarɑnɫɑmɑq
saranlïq	sɑrɑnzɫɯ̞q
saratakiri	fsɔɾɑtakiri
sarativi	sɐɾɑtɪvj
saraγuč	srɑɣutʃ
saraγučlanmaq	sɯ̞rɑʁwjʊ̞tʃɫɑnmɑq
sariputri	sˈaːripətˈri
sarjadati	sɐrˈɪjadɐtˈi
sarjam	sɛɾjam
sarla	sɑrɫɑ
sarlamaq	sɯ̞rɫɑmɑq
sarlan	sɑrɫɑn
sarlanmaq	ɑrɯ̞ɫɑnmɑq
sarlat	sɑrɫɑt
sarlatmaq	sɯ̞rɫɑtmɑq
sarlašmaq	sɯ̞rɫɑʂmɑq
sarma	sɑrma
sarmal	sɑrmɑɫ
sarmalmaq	sɯ̞rmɑɫmɑq
sarmaq	sɐrmɑq
sarmat	sormat
sarmatmaq	sɯ̞rmɑtmɑq
sarmačuq	sʊ̞rmɑtʃʊ̞q
sarmaš	sɑrmɑʃ
sarmašmaq	sʊ̞rmɑʂmɑq
sarmusaq	psɒrmusaq
sarnïč	zɑrnɑtʃ
sarp	sɑrp
sarp atun	sɑr patɔm
sarq	zɐrq
sarqajïq	θɑrqɑjɯ̞q
sarqanïq	särqɑnɯ̞q
sarqar	sɑrqɑr
sarqač	sɑrqɑtʃ
sarqačlanmaq	sarqatʃɯ̞ɫɑnmɑq
sarqmaq	sɑrqmɑq
sarqul	zɐrqʊ
sarqurmaq	sɑrqurmɑq
sarqïm	θɑrqʊ̞m
sarqïndï	sɑrqɯ̞ntɑ
sarqïtmaq	θɑrqɯ̞tmɑq
sarqïšmaq	sɑrqɯ̞ʂmɑq
sarsal	saɾˈsɑɫ
sarsïtmaq	särsʊ̞tmäq
sarsïγ	sɑrsɯ̞q
sart	sɑɾt
sartla	sɑrtɫɑ
sartlamaq	sɯ̞rtɫɑmɑq
saru	sɐɾo
sarumaq	sɐɾuːmɑq
sarun	sɾuːn
sarut	sʲarʊt
sarutmaq	sarʊ̞tmɑq
sarvaγ	sˈaːrˈvˈɑq
sarvaγïnta	sæɾbøgɐntˈɑ
sarïlmaq	sɑrɯ̞ɫmɑq
sarïm	sɑrəm
sarïnmaq	sɑrɯ̞nmäq
sarïtmaq	sɑrɑtmaq
sarïčγa	sɑrɑtʃiqɑ
sarïŋulamaq	sɑrɯ̞nuɫɑmɑq
sarïšmaq	sɑrɯ̞ʂmɑq
sarïγ	sarɯ̞g
sarïγ kẹzik	sɑrɑkh keˈk
sarïγ taš naγïd tözlüg ol, qara taš kivan tözlüg ol.	sɑrɯ̞q tɑʂ nɑʁʊ̞ð tʲɪʒɫɪ̞w äɫ qɑɾɑ tɑʂ kïipɑn tʲɪʒɫɪ̞w äɫ
sarïγ čüvit	sarɣ tʃiwˈjˈt
sarïγ čüvüt	sɐrɑq tʃyʁyt
sarïγlamaq	särʁɫämɑq
sarïγlïq	θɑrɯ̞ʁɫɯ̞q
sarïγlïγ	θɑrɯ̞ʁɫɯ̞q
sarγan	sɑrʁɑn
sarγarmaq	sɑrʁærmɑq
sastr	sɑstr
sasu	sɑsˈo
sasïmaq	sæsmɑq
sasïq	sɑsɯ̞q
sasïγ	sɑsɯ̞
sat	fsot
sata	sɑtɑ
satakiri	satˈakɪri
satlan	sɑtɫɑn
satlanmaq	sɑtɫɑnmɑq
satma	sɑtmɑ
satmaq	sɑtmɑq
satoda	satoda
satsa	sotˈsɑ
satsamaq	satˈsamɑq
sattačï	saːtvatʃɛ
sattur	sætːuɾ
satturmaq	satːurmɑk
satula	sɑtɯ̞uɫɑ
satulamaq	sɑtʊɫɑmɑq
satun	satun
satun saqalï	sɑt unʲɑsɑqɑɫɑ
satur	sat̪oɾ
saturmaq	sɐturmɐq
satïlmaq	sɑtɯ̞ɫmɑq
satïnmaq	sɑtɯ̞nmɑq
satïr	satˈar
satïšmaq	satɯ̞rʃmɑq
satïšγan	sɑtɑʃhæn
satïγ	satˈɣ
satïγlamaq	sɑtɯ̞ʁɫɑmɑq
satïγlašmaq	sɑtɯ̞ʁɯ̞ɫɑʂmɑq
satïγlï	fatɯ̞ʁɫɑ
satïγlïq	sɑtɑʁlɯ̞q
satïγlïq nẹŋ	sɑtɯ̞ʁɫɯ̞q næŋ
satïγsamaq	sɑtɯ̞ʁsɑmɑq
satïγsaq	satɯ̞ʁsɑq
satïγčï	sɐtɐqtʃɛ
satïγčï bẹrür nẹŋ, aŋar mün sanï.	sɑtɯntʃɛ bʲirulnʲig ɑvɑr mɛmsɑnɯ
satγalmaq	sɑzʁɑlmɑq
satγamaq	satqɑmɑq
satγan	satˈgan
satγašmaq	satʁaʃmɑq
satγuluq	sɑtˈʁuluq
satγučï	satʁˈutʃe
sav	sau
sav altun bilä bẹrtsä bẹglär ẹlig, qïlïčsïz tilin birlä ẹvrär ẹlig. [йосыф баласагуни]	sɑwɑɫtun bʲirɫæ bʲirtsæ bʲigɫærʲiɫʲiʲɪ qɯ̞ɫɯ̞jsʊ̞ stʲilʲin bʲirɫæ ɪ̞wrær ʲi̠ɫʲi
sav söz	saːf søz
sav tutuz	saf tu tuz
sav ur	sɑːv oɾ
sav öt	sɒv ɒt
savab	sɑβɑp
savar	savɑr
savar kẹsär	sɐvɑr kɪ̞sær
savašmaq	sɐuɑʃmɑq
savdïč	sɑɫdɑtʃ
savla	savɫa
savlamaq	sɑvɫɑmɑq
savlanmaq	sɑwˈlɑnmɑq
savlarïγ sözläšmäk	sɑuɫɑrʊ̞q sʏ̞ðlæʂmæk
savlašmaq	sɑwʊ̞ɫɑʂmɑq
savra	savra
savramaq	pˈsɑframˈɑk
savrul	sau̯rou̯
savrulmaq	sɑwːruɫmɑq
savruq	sau̯rok
savruqmaq	sɑwɾuːqmɑq
savrušmaq	sɑwɾusmɑq
savrïjur	sauɾɯjoˈr
savrïmaq	sɑwrɯ̞mɑq
savul	sɑwˈo
savulmaq	sɑpɯ̞ɫmɑq
savuq	sɑvuq
savuq suv	sɑˈvˈqsˈuv
savuq suvda junmaq janutï qatïγ. [йосыф баласагуни]	sɑwʊ̞q ʊ̞sʊ̞ɫdä jolmɑq jɑnʊ̞tʊ̞ qɑtɯ̞q
savur	saoɾ
savurmaq	sɑwɯ̞rmɑq
savurt	savur
savurtmaq	sɑwɯ̞rtmäq
savïlmaq	θɑwɯ̞ɫmɑq
savïn	sæwæn
savčï	sau̯tʃja
savγarγuluq	θɑuʁɑrʁʏ̞ɫʏ̞q
sawurmaq	sɑwɯ̞rmɑq
saza	sɒzɒ
sazïnčï	sɒzintʃɒ
sač	satʃ
sač jazmaq	satʃi jas mak
sačiγmaq	satʃəɣmɑːk
sačlanmaq	sɑtʃɯ̞ɫɑnmɑq
sačlar	sɑtʃtʃulaɾ
sačlašmaq	sɑtʃɯ̞ɫɑʂbɑq
sačlïγ	sɑtʃlk
sačmaq	sɑtʃmɑq
sačramaq	sɑtʃramɑq
sačratmaq	sɑtʃɑɾɑtmɑq
sačratγu	sˈɛ̃klˈɑːttʁˈu
sačrïtmaq	sɑtʃɾɯtmɑq
sačrïtγu	satʃertɢoau
sačtašmaq	sɯ̞tʃtɑʂmɑq
sačturmaq	sɑtʃtʊ̞rmɑq
saču	ʃtˈo
sačulamaq	satʃawamɑq
sačuq	satʃok
sačïlmaq	sɑtʃɯzmɑq
sačïlmïš	sɑtʃɯlmɯz
sačïlmïš mẹŋ	satʃɑɫmɯʃ mʲiŋ
sačïn bïčmaq	satʃin bɯtʃmɑq
sačïndï	sɐtʃɪndɐ
sačïnmaq	sɑtʃɪnbɑːk
sačïtmaq	satʃetmak
sačïγ	sˈɐtʃˈɐxˈ
sačïγ sačmaq	sɑtʃjɪq sɑtʃmɑq
sačγaq	sɑtʃʰeqɑq
sačγaq kiši	stʃjgˈtˈikˈ iːst
sačγurmaq	satʃgʊrmɑq
sačγïrmaq	sɑtʃkɪ̞rmɑq
saŋ	sœːŋ
saŋa	sɑŋˈɑ
saŋa tẹgsä ẹmgäk ja qadγu saqïnč, maŋa-ma qačan bolγa anda sẹvinč?	sɑŋa tiksɛ ɪmgɛk jɑqɑtɢu sɑqɯnʧəmɑʁa mɑqɑ tʃɑn bɔlʁɑ ʔɑndɑse βijntʃ
saŋan	sɑŋˈan
saŋar oq sïγïndïm, umïnčïm saŋa. [йосыф баласагуни]	sɑŋur ʔoqsɑʁan dʒɑm ʔomɯ̞n ʧɯ̞m sɑŋa
saŋlamaq	θɑŋɫɑmɑq
saŋlatmaq	sɑŋlɑtmɑq
saš	sɑʃ
sašturmaq	sastʊ̞rmɑq
sašurmaq	sɐʃʊ̞rmɑq
saγ	sɑ̃k
saγdïč	sɑʁzɑtʃ
saγlïq	sɑʁlɑq
saγlïqlanmaq	sɑʁliqlɑnmɑq
saγlïγ	sɑʁlɯ̞q
saγmaq	sʊ̞gmɑq
saγnaγu	sʁˈnɑɢu
saγraq	sɑgɾɑq
saγrï	sɑgɯ̞rɑ
saγrïlamaq	sɑʁrɯ̞ɫɑmɑq
saγturmaq	sɑqtʊ̞rmɑq
saγu	sˤɑɣˈu
saγulamaq	sɑʁuɫɑmɑq
saγurmaq	sɑʁuɾmɑq
saγïlmaq	sɑɢɯ̞ɫmɑq
saγïm	sɑɣæm
saγïn	sɑɣən
saγïndum	sɑʁɯndum
saγïndïramẹn	sɐʁɐmdaɾɑmɛn
saγïndïrurmẹn	sɑɢɯndɑruɾɪmæn
saγïnlïγ	sɑʁɯnɫɑq
saγïnmaq	fɑʁɯ̞nbɑq
saγïnurmẹn	θæɢɯ̞nʊ̞rmɪ̞n
saγïnč	sɑɢɑntʃ
saγïnγïl	sɑʁɯngɯl
saγïr	sɑgɯ̞r
saγït	sɑɢɯt
saγïtlandum	sɑɢɯ̞twændʊ̞m
saγïtlanurmẹn	saʁɯ̞duɑnʊ̞rmɪ̞n
saγïtlanγïl	sɑɣɯzɫɑnʁɯl
saγïz	sɢəz
saγïzlïγ	sɑɣɯzlɯz
saγïšmaq	sʊ̞xʲɪʃmɑq
sem	ʃˈɛm
sibiz	sibiz
sibäk	sibˈak
sibüt	sɛbˈut
sid	sˈid
sidarsa	sʲidɑrsɑ
sidarsan	sʲidɑrsɑn
sidi	pʃɪdi
sidig	sidˈik
sidip	sʲidʲip
siditmäk	sididme
sidiŋ	sidˈiŋ
sidiŋ kišikä tẹvä ẹtin arpa jarmasï birlä ügrä qïlïp ičürsär, ẹdgü bolur. [zur heilkunde der uiguren]	sizdɪn kitsʲi kɛtɪvæ ʔitin ʔɑrpɑ jɑrmɑsɯ bilɛr ʔøgræ qɯlɯp ʔytʃɪrsæl jøtgy bulaɾ
sidmäk	sˈɪdmæk
sidtürmäk	siktʁmˈak
sidük	sidˈˈuk
sigil	ʃɛgɪ̞l
sigrig	sʲigrɛg
sik	sik
siki	siki
sikil	sekiːl
sikilmäk	sikˈlmɛk
sikit	sekip
sikitmäk	sikitmɛk
sikiz	sʲikiz
sikiš	sekiʃ
sikišmäk	sikˈiʃmˈɛk
sikkän	fˈɛkːən
sikliksi	sʲiklikɪ
sikmäk	sˈiʁmˈɛk
sikri	sʲikrɨ
sikrig	sʲikrɪg
siktür	siktør
siktürmäk	fiktʏrmæk
sikändär	sʲikændær
sil	sˈiɔ
sil at	zjɫat
silapatri	siɫapa
silavanti	sʲiɫɑwɑntʲi
sili	sili
silig	sʏlɪk
silik sav	siˈlik sap
silkinmäk	sɪlkɪ̞nmæk
silkinsä	sɪ̞ɫkɪ̞nsɛ
silkmäk	sjˈltmæk
silknämäk	sʲɪlkɲːamak
silär	ʃɪ̞ɫær
sin	sˈin
sinsim	sinsim
sintu	sintu
sintädä	sʲintædæ
sinčü	sintʃɯ
sip	sip
sipir	ʃˈɛpˈɪr
sipäh	ʃupˈa
sipäh salar	sʲipæχ ʂɑlɑr
sipüt	səbˈʏt
sir	ʃiːr
siravan	sɾɑvɑn
siri	sʲiri̯
sirigini	sʲirɪ̞gʲiŋʲi
sirimanti	sɛrɪmanti
sirkä	tʲɪrkæ
sirkä küpni üzitti	sʲirkæ kʏpnʲi bɨzʲetkʲi
sirkä qarïn čuvšattï.	sʲirkæ qɑːruntʃi uʃɑttɯ̞
sirkälä	sʲɪrkæɫæ
sirkälämäk	sʲirkælɛmæk
sirkälän	ʃirkælæn
sirkälänmäk	sʲirkæ̹lænmæk
sirr	sˈiɹ
sit	sɪt
sita	sʲita
sitatapadri	sɪtɑtɑpɑdrɪ
sitgün	ʃitgʏn
siti	tʃɪti
sitmäk	sjˈtme
sittür	sʲittʏ̞r
sittürmäk	sətˈurrˈmɛk
siz	siz
sizik	sizik
siziklig	sizjklig
siziksiz	sizˈzikˈsiz
sizin	sɪ̞ʒi̠n
sizintä	sʲizʲɪntæ
siziŋ	siziŋ
siziŋ öŋüŋüzdä jalïnar mẹn, uz otačï siz.	sizing ømˈimyʃ de jɑɫɯnɑɾ men uzɯt atʃɯ siz
siziŋgärü	sɛzˈngaru
sizlä	sʲizɫe
sizlämäk	sizlɛmɛk
