(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
hala-nolako	allanõlakotʃ
halabehar	alabeɾ
halabeharreko	alaβ̞eareko
halabeharrez	alaβ̞elares
halabeharrezko	alabearɾesko
halaber	alaβ̞eɾ
halaberki	alaprki
halabiz	alaβ̞is
halakatu	aːlakatu
halako	alako
halan	alən
halandaze	lalãn̪d̪aseɾ
halatsu	alatʃo
halaxe	alˈaʃˈe
halere	aleɾe
halo	alo
haltsar	alθaɾ
haltz	alt̪
haltza	alt̪ʃa
haltzari	alsˈa
hamabi	amabi
hamabiko	amaviko
hamabina	anobinja
hamabiren	amabiɾen
hamabortz	lamaβ̞oɾt̪s
hamabosgarren	amabots̻eɾɾẽn
hamaboskari	omaɣʊeskaɾjʝ
hamabosna	mabəsnɔː
hamabost	amaβ̞ost
hamabostaldi	amaβ̞ost̪kapð̞i
hamabostero	amabostˈeɾo
hamabosteroko	amawes̺d̪e̞ɾoko
hamabosturren	amað̞os̺uɾɾẽn
hamahiru	amaɾ
hamahirugarren	amai̯ɾuɣ̞arẽn
hamaika	amjk
hamaikagarren	lamai̯numeɾoɣ̞arẽn̪t̪
hamaikatxo	tʃuajkatʃo
hamaiketako	amai̯ketako
hamaiketan	amɛkɔtɑn
hamalau	amalau
hamalau-zango	amalaʊsangɔ
hamalaudun	lamalau̯ð̞un
hamalauzanko	amalawsanko
hamar	amaɾ
hamar mila	amaɾmjʝa
hamar milioi	la maɾ miʝõɾj
hamargarren	maɾð̞aɾẽn̪ʝ
hamargarrena	amaɾɣ̞arena
hamarkada	amaɾkað̞a
hamarna	maɾna
hamarraldi	amaraʝi
hamarratz	amarˈets
hamarreko	amaɾkɔ
hamarren	t̪emarẽn̪ʝ
hamarrendu	amaɾɾend̪u
hamarretako	amaretʃo
hamartar	ãmaɾt̪a
hamartar sistema	a maɾt̪aɾ s̺is̺t̪ema
hamasei	amas̺eʝ
hamazazpi	amasaspi
hamazazpigarren	lamazasiɣ̞arẽn
hamazazpina	lamasaespinʝ
hamazortzi	ɑmɑsɔɾtʰi
hamikatu	amikatˈu
hamikatzen	amikatsɛn
hamster	hamst̪eɾ
hamu	amˌo
han	an
han-hemenka	anime
hanbat	nəvas
hanburger	jmbuɾɣ̞eɾ
handi	andi
handi-mandi	lað̞imand̪i
handia	and̪ia
handiagotu	ẽnd̪iɾeɣ̞ot̪o
handiagotzen	ãn̪d̪iˈaɦoːts̺ɛn
handian	pˈɑndijˈæn
handiarazi	anðiɛɾasi
handiarazten	lað̞jaɾest̪em
handientsu	ãn̪d̪jẽn̪tʃu
handiesten	ãn̪d̪is̺oð̞ɣ̞
handietsi	lað̞iatʃi
handigarri	bad̪iɣ̞aɾjt̪
handigura	lad̪juɾa
handik hona	la dˈi kˈona
handikari	ãn̪d̪ikaɾi
handikeria	ãmbkikɾea
handiki	ãn̪d̪eki
handinahi	panð̞ĩŋai
handinahikeria	ãn̪d̪imezkeliã
handinahiko	ãn̪d̪inaiko
handinahitasun	ãn̪d̪inahit̪as̺um
handiro	ãn̪d̪iɾo
handiroki	ãn̪d̪iɾoki
handitasun	ãn̪d̪it̪azun
handitsu	anditsʊ
handitu	andʒi
handiuste	elsd̪juest̪e
handixko	and̪isko
handizale	andˈisˈsale
handizka	and̪iska
handizkatu	ankd̪is̺t̪at̪u
handizki	andɛstki
hangar	ãŋgaɾ
hangotar	aŋgopa
hanitz	anits
hanka	anka
hanka egin	ankaj
hanka egiten	ankɾˌaɪgˌiːn
hanka-arin	ankaɾin
hanka-hezur	ankeãmbsuɾ
hanka-hutsik	ankautʃik
hanka-joko	ankaʝoko
hanka-luze	ankaluse
hanka-motz	ãn̪kamoθ
hanka-oker	ãmbkau̯keɾ
hanka-zain	ãkaszaɲ
hankabiko	ãmbkaβ̞jkau
hankalatraba	ẽŋkað̞at̪ɾaβ̞a
hankalepo	ankalipo
hankamotz	ãmbkamot̪s
hankaoker	kakake
hankape	ẽn̟θapeɾ
hankapeko	ankapeko
hankaperatu	ankaupeɾat̪u
hankaperatzen	ãn̪kapæeɾat̪s̻e̞n
hankarte	ankarte
hankaz gora	en kasgoɾa
hankazabal	ænkasabal
hankazpi	ẽn̟θaspi
hankurkulu	ankuɾkulu
hanoitar	anuit̪aɾ
hanpadura	t̪epad̪ula
hanparazi	nãlasi
hanpatu	æmpat̪u
hanpatzen	ẽn̪pat̪zẽn̪t̪
hantarazi	antˈaɾasˈi
hantu	aŋtu
hantura	aŋgtyʁa
hantura-kontrako	ant̪uɾakont̪ɾakot̪
hantuste	antust̪e
hantustea	ant̪ust̪ea
har	ˈaɾ
hara	aɾa
hara han!	aɾa ẽn
hara hemen	aɾa e mẽn
hara hor!	aɾaoɾ
hara non!	aɾan ũn
hara!	ɑɾa
harabartu	aɾaβ̞aɾt̪u
harabartzen	araβ̞aɾt̪s̺ẽn
haragi	aɾaɣ̞ʝ
haragi bizian	aɾa ɣ̞ibisiãn̪
haragi egin	araɣ̞ieɣ̞ĩn
haragi erre	aɾaɣ̞uiare
haragi txikitua	ɦaɾaɣ̞i tʃekit̪u
haragi-salda	aɾaɣ̞uizsal̪d̪a
haragi-uzte	aɾaɣ̞wjwst̪e
haragi-xerra	aɾaɣ̞ujɣ̞sera
haragi-zerra	aɾaɣ̞uis̺eɾɾa
haragia gutxi eginda nahi dut	aɾaɣ̞iak ɣ̞otʃi eɣ̞ĩn̪ d̪a nahi d̪ut̪
haragijale	aɾaɣ̞uiʝale
haragikeria	aɾaɣ̞ujkeɾia
haragiki	aɾaɣ̞iki
haragikoi	aɾaɣ̞ikoʝ
haragitako	aɾaɣ̞it̪ako
haragitsu	aɾaɣ̞uit̪s̺u
haragitu	aɾaɣ̞ujt̪u
haragitze	aɾaɣ̞uit̪s̺e
haragitzen	paɾaɣ̞uit̪s̻ẽn
haragizale	aɾaɣ̞uiθale
haragizko	aɾaɣ̞ujsko
harago	aɾaɣ̞o
haraindi	aɾainð̞i
haraindiko	aɾaindiko
haraino	aɾaɲo
harakai	aɾakai
harakin	aɾakin
harakintza	aɾakint̪sa
harako	aɾako
haran	aɾan
harana	aɾanã
haranburu	aɾanβ̞uɾu
harantz	aɾãn̪t̪s
harantz-honantz	aɾãn̪t̪s̺õn̪ãn̪ts̻
hararetar	aɾaɾet̪aɾ
harat	aɾat
harat-honat	aɾat̪unat̪
harategi	aɾat̪e̞ɣ̞i
haratu	aɾatʰu
haratzen	aɾats̻ẽm
harbera	aɾβ̞eɾa
harbi	aɾβ̞i
harbide	aɾβ̞jð̞e
harea	aɾea
hareatsu	aleatʃu
hareatza	aɾeatsa
hareharri	aɾeaɾi
harekin	arepæ̝ːn
harem	aɾem
haren	ˈaɾen
harenganatu	aɾenɣ̞anat̪u
harenganatzen	aɾẽ̞nɣ̞anat̪s̺em
harentzat	aɾentʃak
harez gero	aɾɾeskero
hargailu	aɾɣ̞aʝu
harganatu	aɾɣ̞anat̪u
harganatzen	arɣ̞anat̪s̺ẽn
hargin	ɦaɾɣ̞ĩn
hargintza	arɣ̞inta
hargune	aɾɣ̞une
hari	aɾiː
harikortasun	aɾikoɾt̪as̺un
haril	aɾˈiʎ
harildu	laljnʝd̪u
harilkai	aɾɾikai
harilkatu	aɾilkat̪u
harilkatzen	aɾiʎkats̻ẽn
harilketa	aɾiːlekeˈta
harilko	aɾilko
hariltzen	alils̺in
hariteria	aritˈeɾia
haritsu	ariːtu
haritz	aritˈs
haritza	aritʃa
harizkatu	aɾis̺kat̪u
harizko	aɾjsko
harizpi	qarɛspi
hariztatu	aɾizt̪at̪u
hariztatzen	aris̺t̪ats̻ẽn
harizti	aɾisti
harjo	aɾʝo
hark	ɑrˈk
hark dauka	hɑɾk d̪eu̯k
hark du	ark du
harkaitz	aɾkaʲts
harkaizpe	aɾkaispe
harkantoi	arkantoi
harlandu	aɾlãn̪d̪o
harlantza	aɾlˈanθa
harlauza	aɾlausa
harma	arma
harmagin	aɾmaɣ̞uinʝ
harmaila	aɾmella
harmailu	aɾmaʝu
harmarri	aɾmaɾɾi
harmategi	armateɣ̞i
harmonia	aɾmnja
harmoniatsu	axmonijadʒu
harmoniko	aɾmoniko
harnabar	aɾnaβ̞eɾ
haro	aɾo
harotz	aɾots̺
harpa	aɾpa
harpa jo	aɾpajõ
harpa joko	aɾpa joko
harpa jotzen	ar pajɔtsen
harpe	ˈaɾpe
harpezilo	aʁpesilo
harpide	aɾpið̞e
harpidedun	aɾpið̞ed̪wn
harpidetu	aɾpidet̪u
harpidetza	aɾpjð̞et̪s̺a
harpidetzen	aɾpið̞et̪s̺en
harpoi	aɾpoj
harrabots	esɾeβ̞ot̪s
harrak jan	araq jæn
harrak jo	araɣ̞io
harraldi	aɾɾolð̞i
harramantza	esɾamẽn̪θaɾ
harramantzatsu	aramants̺at̪s̺u
harramazka	aramaska
harramazka bat dut	e̞rremas̺ka bat̪ d̪ut
harramazkatu	esɾemaskat̪o
harramazkatzen	asramaskat̪s̺ẽn
harrapaezin	arapezʝinʝ
harrapagailu	arapaɣ̞aʝo
harrapagaitz	arapaɣ̞ajɣ̞
harrapaka	arapek
harrapakari	ɾɛpakaɾi
harrapakaritza	arapakaɾitsa
harrapakeria	arepakeɾia
harrapaketa	arapaket̪a
harrapakin	ãrãmbake
harrapakina	arapekinʝa
harrapala	arapellaɾ
harrapaladan	arapalað̞an
harraparazi	asɾaparasi
harrapari	aɾɾapaɾi
harraparitza	arapaɾitsa
harrapatu	areβ̞et̪o
harrapatu du	ara patʃo d̪u
harrapatuko	arapatuko
harrapatzaile	arepatsaʝi
harrapatzen	arapatsʲent
harrapazka	arepeska
harrarte	arɾaɾte
harraska	araska
harreman	areɣ̞man
harremanak hautsi	arema na kau̯t̪ɣ̞i
harremanetan	aremanet̪ãn
harrera	areɾa
harrera idorra egin zidan: me hizo un recibimiento muy severo	haɾɾiɾa id̪o̞ɾɾa eɣ̞ĩn s̻ið̞ãn
harreragile	aɾɾeɾaɣ̞wiʝe
harreran	aɣedɔn
harresi	laɾesi
harresia	aɾɾesia
harresiak	aresjak
harresitu	areksit̪w
harresituko	laɾesjt̪o
harresitzen	aras̺its̻ẽn
harrespil	laɾespiʝ
harrezkero	haɾɾeskɛɾo
harri	ari
harri bizi	aɾɾjβisj
harri egina	aɾɾe xo tʃi
harri eta belarri	ɦaɾɾi e̞t̪a be̞laɾɾi
harri eta zur	ɦaɾɾi e̞t̪a s̻uɾ
harri preziatua	aɾɾi pɾesiatua
harri xehe	aɾɾiɣ̞se
harri zabal	aɾɾisaβ̞al
harri-erauntsia	arieɾaũnt̪ɣ̞sia
harri-meta	arimet̪a
harri-min	arimi
harria	aɾɾia
harriarazi	aɾɾiaɾasi
harriarazi du	aɾɾiaɾa si d̪u
harriarazten	aɾɾiaɾast̪en
harribila	ariβ̞jʝa
harribitxi	ariβ̞itʃi
harribitxia	areβ̞jt̪xa
harridura	aɾɾinð̞uɾa
harridura-marka	arið̞uɾameɾka
harrigarri	aɾɾiɣ̞aɾɾi
harrigarria	ãmbɣ̞aɾɾia
harrigarriro	ariɣ̞aɾiɾo
harrigarritasun	ariɣ̞aɾɾit̪as̺um
harrijasotzaile	ajɾiɣ̞asot̪s̺aʝeɾ
harrijasotzea	alrixas̺o̞ts̺ea
harrika	arika
harrikada	larikað̞a
harrikarazi	aɾɾikaɾasi
harrikatu	arikatu
harrikatu du	həˈrɪkat̪u d̪u
harrikatuko	aɾɾikatuko
harrikatz	ariːkats
harrikatzen	arikat̪s̺ẽn
harriketarrak	aɾɾike̞t̪aɾɾak
harriko	aɾɾipo
harrikoa	ariko
harrikoa egin	aɾɾikoɑ eɣ̞ĩn
harrikoa egiten	aɾɾiko̞a eɣ̞it̪ẽn
harrimen	arjmẽn̪
harrinabar	arjnaβ̞aj
harrite	ariti
harritsu	aɾɾit̪θo
harritu	arið̞u
harrituko	aɾɾituko
harritza	aɾɾit̪θa
harritzar	aritsaɾ
harritzeko	arit̪s̺ekou
harritzekoa	arit̪s̺ekoa
harritzen	aɾɾit̪s̺ẽn
harrixka	aɾɾisa
harrixkola	ɾikkɔjnˈɛ
harriztatu	arrist̪at̪u
harriztatuko	arist̪atuko
harriztatzen	arist̪at̪s̺ẽn
harro	aro
harroa	aroa
harroaldi	esɾoβ̞alð̞i
harrobi	aroβ̞i
harroin	aɾɾoĩŋ
harrokeria	aɾokeɾia
harroki	aroki
harroputz	aroput̪z
harropuzkeria	aropuzkeɾia
harropuzten	aropus̺ẽn
harropuztu	ɾɾˈopoʃtˈu
harropuztu da	arop post̪uð̞a
harropuztuko	aɾɾopustuko
harrotasun	aɾɾot̪asũn
harrotu	aˈrɔtʊ
harrotuko	arotuko
harrotzen	arotsʲen
harta	art̪a
hartan	aɾt̪an
hartara	alθara
hartarako	aɾt̪aɾako̞
hartaratu	aɾt̪aɾat̪u
hartu	aɾtʊ
hartuko	art̪uko
hartuko al dugu kafe bat?	aɾt̪u ko̞alð̞o kɾuka feβ̞at̪
hartune	aɾtune
hartuta	artuta
hartxintxar	aɾt̪ʃint̪s̺aɾ
hartz	ɑːrt
hartzaile	arts̪aʝe
hartze	arts̺e
hartzea	art̪sʲaɦa
hartzeko	kərtʃɪkɔr
hartzekodun	haɾts̺ẽkod̪wn
hartzen	aretsene
hartzidura	aɾt̪sjð̞wɾa
hartzitu	artsitu
hartzulo	aɾtsulo
haruntz	aɾunt̪z
haruntzago	aɾunsago
hasberri	asbeɾɾjt̪
haserre	aθˈeɾɾe
haserre nago	asˈeɾɾˌe naɣˈo
haserrea	aseɾɾea
haserrealdi	seɾe̞l̪d̪i
haserrekor	aseɾɾɛkɔɾ
haserretu	aʃerat̪u
haserretu da	asserɾet̪u d̪a
haserretu du	as̻eɾɾet̪u d̪u
haserretuko	as̻erɾet̪uko
haserretzen	aʃɛrːets̺ɛn
hasi	asi
hasialdi	jɑʊˈɛnəmˈɛnəmˈɛɕʰɯː˨˩˦ʂʰɯ˥˩la˥
hasiberri	as̺ibeɾɾj
hasiera	asˈiˈeɾa
hasierako	as̺ieɾakɔ
hasieran	aθieɾan
hasiko	asˈikˈomo
haskaldi	asˈkalði
haskeria	askeɾia
hasperen	aspeɾen
hassio	asio
hastandu	ast̪ãnd̪u
hastapen	est̪apɣ̞
hastapenak	est̪pẽn̪at̪
haste	aste
hastio	asestas
hastio izan	as t̪io is̺ãn
hastu	astu
hator	atːoɾ
hats	atʃ
hats-gabetu	atsgabetu
hatsaldi	t̪ːsaldi
hatsantu	et̪sãn̪t̪t̪u
hatsapatsaka	atsapatsaka
hatsaren gainean	at̪saɾen ɣ̞ai̯mean
hatsarre	atare
hatz	atˈs
hatz-bizar	atsvitsar
hatz-koskor	atʃkoʃkɔr
hatz-mami	atsmami
hatza	atsa
hatzaie	atsajɛ
hatzaigu	atsajɣ̞u
hatzaio	atsajo
hatzait	attsak
hatzak	ɑtsɑk
hau	a
hau baino handiagorik ba al duzu?	au̯ pãĩ̯na õmd̪iagɾek baɣ̞ald̪o̞s̺u
hau pagotxa hau!	aw paɣotʃa aw
hau sasikumea hau!	aw asi komea aw
hauek	hla
hauen	au̯en
hauentzat	auemtsa
haundi	pˌɐ̃uːnˈti
haur	aor
haurdun	auɾð̞ũn
haurduntza	aɔɾðunˈtsɐ
haurra	au̯ra
haurraren	auɾaɾen
haurrek	auɾeθ
haurrekin	au̯rẽkĩŋ
haurren eserlekurik ba al duzue?	aut̪ɾem es̻ai̯ɾ le̞kuɾik bal̪d̪u s̻uẽ̞
haurren menurik ba al duzu?	auɾɾen mẽnuɾik ba al̪d̪u s̻u
haurren menurik ba al duzue?	auɾɾen men̪d̪uɾik ba al d̪us̺ue
haurrentzako	au̯rens̺akɔ
haurride	auɾɾide
haurtzaindegi	auɾtsãĩ̯ndeɣ̞i
haurtzaintza	auɾtse̞nts̺a
haurtzaro	ɑwˈzɑr
hausbero	ausbˈeɾo
hauskaitz	alskajt̪s̠
hauskor	aoskoɾ
hausle	au̯s̺l̪e
hausnar	absnaɾ
hausnarkari	au̯nakhˈt̪aɾi
hausnarketa	alsnaɾket̪
hausnartu	alsnat̪o
hauspe	au̯s̺pẽ
hauspeatu	alst̪eat̪o
hauspeatze	au̯spẽatse
hauspeko	auspekˈo
hauspo	aːuzpo
hauspotu	alspot̪o
haustu	au̯s̺t̪u
haustura	aostuða
hautagai	aut̪aɣ̞ai
hautaketa	au̯t̪ake̞t̪a
hautakizun	autaksɔn
hautaproba	autaproba
hautatu	autat̪o
hautazko	au̯tɛskɔ
hauteman	au̯t̪emãn̪t̪
hauteskunde	awtɪskɔnðɪ
hauteskunde orokorrak	haut̪es̻kund̪e̞ hoɾokoɾɾat̪
hautesle	au̯t̪ɛsle
hautesleku	au̯teslẽku
hautespen	au̯t̪espen
hautespen natural	aut̪ es pent̪nat̪uɾal
hautetsi	aut̪etʃi
hauts	au̯tʃ
hautsa	au̯tʃa
hautsa astindu	haut̪ʃa as̻t̪ĩn̪d̪u
hautsi	awtʃi
hautu	au̯t̪u
hautua	au̯t̪ua
hauxe	aʋsjɛm
hax	aks
hazbete	tʃasbɛtɛ
hazi	aθi
hazizurri	asˈisˈurɾi
hazizurriak	tɤ˧˥la˥˥tʰɤ˧˥lɤ˥˩
hazka	asˈkˈa
hazkor	zkoɾ
hazkunde	asuskunde
hazkuntza	askunta
hazparne	aʃpaʁmˈɛ
hazpegi	aspɛxniː
haztamuka	astamuka
haztapen	astapen
haztatu	teto
haztegi	sai
heavy metal	χɛːbi mɛtal
hebaindu	eβ̞ãĩŋd̪u
hebaingarri	eβ̞ãn̪t̪ɣ̞ari
hedabide	eðabiðe
hedadura	eɣ̞að̞uɾa
hedagarri	eð̞aɣ̞ari
hedagarriekin	e̞ɣ̞aɾɾieɣ̞ĩn
hedagi	eðaɣi
hedaketa	e̞ɾaketa
hedakuntza	ed̪ekõn̪t̪sa
hedapen	eɾapen
hedatu	zatʃa
hedatzaile	eð̞at̪aieɾ
hega	eɣa
hegabera	heɣ̞abeɾa
hegakor	ɣ̞akor
hegal	eɣˈaːl
hegalabur	eɣ̞alaβ̞uɾ
hegalari	eɣ̞alaɾi
hegaldi	eɣ̞olð̞i
hegaldun	eɣ̞ald̪wn
hegalpe	eɣ̞alpe
hegaluze	eɣ̞allus̺e
hegan	eɣan
hegats	eʁaːtʃ
hegatxabal	ɾat̪s̺abal
hegaz	ambtsˈɛrˈas
hegazkada	ɛʁɑskala
hegazkin	ɛɾaskeːn
hegazkina	ɛɢaskeɲa
hegazkineko laguntzaile	e̞kas̻kʲi ne̞ko lagun s̺al le
hegazkineria	eʁaskjɲeɾia
hegazkinlari	ɣ̞as̻kĩn̪laɾi
hegazti	eɾastim
hegi	əgːi
hego	e̞ɣ̞o
hego afrika	je ɑfɾikɑ
hego amerika	ego ameɾika
hego euskal herria	ego pzˈtʃᵑg alˈeɾɾia
hego korea	eɣ̞o koɾea
hego-ekialde	eɣ̞oekiald̪e
hegoafrika	eɣ̞oafɾika
hegoak	ˈæɹaq
hegoalde	eɣ̞oβ̞al
heia	ˈeʎa
heiagora	eiaɣ̞o̞ɾa
hein	eɪ̞n
heineratu	e̞ĩn̪e̞ɾat̪u
hekarrean	ikareãn̪
hekarrenan	ekare̞nãn̪
hekartzaan	e̞karts̻aɾan
hekartzanan	kaɾtsən
hela	ela
helaka	ɛtːa
helantza	ɛllamtsa
helbide	elβ̞jð̞e
helbideratze	eld̪iɾe̞d̪at̪o
helbideratze zerbitzua martxan jarri dute.	elbʲið̞eɾats̻e s̻ɾɾits̺ua maɾt̪ʃan jari d̪ut̪e
helburu	alβ̞ũn
helburua	ɛlbuːrɔaː
heldu	eldu
heldualdi	ald̪oɣ̞aldi
helduaro	eld̪ualo
helduleku	ɛlːˈulakˈu
heldura	lduɾa
heldutasun	ɛldɛdɑsson
helegite	elɛɣite
helezin	elesin
helikoidal	ɛlikɔiɾal
helikoptero	laˈlˈiːtɔˈkˈom�a
helioa	ɛ̀liːɔː
heliozentrismo	ɛliosɛtɾismɔ
helmuga	elmuɾa
helpide	elpide
heltura	ɛltuɾa
heltzaurondo	elt̪ʃaʊrõŋdo
heltzeko	eltseko
hemen	ˈɛmən
hemen eser al naiteke?	e̞mẽ̞n es̺ s̻e̞t̪ɾa al̪d̪ai̯t̪eke
hemendik	en
hemendik 2 etxaditara	e̞mend̪ik bi etʃað̞itaɾa
hemendik bi etxaditara	e̞mend̪ik bi etʃa d̪it̪aɾa
hemendik ospa egin nahi?	e̞mẽ̞n d̪ik os̺paɣ̞uin nahi
hemeretzi	eneretsi
hemeroteka	emɾoð̞eka
hemezortzi	emesorsi
hemiplegia	emiklegia
hemisferio	emisferio
hemoglobina	emoɣ̞loβ̞ina
henbilen	embjente
hendaia	endaja
hengoen	enˈgolˈnˈ
hentorren	ent̪orẽn̪t̪
hera	la
herabe	ɛɾabe
herabea	ɾabia
herbal	eɾβ̞al
herbehereak	ɛɾvɛjɛɾɛjak
herbeste	ærbeste
herburua	ɛʁbulwa
herdoil	eɾð̞oil
herdoildu	kiai̯t˧
herenaitona	eɾe̞naɦit̪o̞na
herenamona	eɾenamõn̪a
herenegun	loːˈo
hereniloba	eɾenijoβan
herensuge	eɾems̻uɣ̞ɛ
herentzia	eð̞ntsia
heretiko	ɛɾɛtiko
hergora	ɛɾɣoɾa
herio	elio
heriotza	ɛljotsa
hernani	ɛɾnˈɛni
hernaniarra	ɾnãn̪iaɾɾa
hernialde	ernialð̞e
hernialdetarra	eɾniald̪et̪era
heroi	eroj
heroiko	eɾoiko
herratu	ɦɑtu
herren	ˈɛɹən
herrenka	erɾenka
herreratarra	areɾat̪ara
herresta	rɛsta
herrestadar	eɾest̪að̞aɾ
herrestadura	erest̪ad̪uɾa
herrestatu	erres̺t̪at̪u
herri	r
herri batasuna	ɛri batas suna
herria	ɾˈɾˈa
herrialde	erialdem
herrialdeak	iχiːɑllɪk
herriaren	erðiaɾe
herrigune	eriɣ̞une
herrikide	ɾikið̞e̞
herriko plaza	ɾɾjko plasa
herriko taberna	ɦɾjko taɾeɾna
herrikoi	ɛrikɔj
herrimina	ˈeχimina
herrira	ɛɾɾiɾa
herrira noa	ɦɾiɾa nwa
herritar	eɾit̪aɾ
herritarra	t̪eɾɾit̪ara
herritartasun	ɛɾɾitaɾtas̺un
herritasun	erritas̺ũn
herrizain	errisai̯ni
hertgarri	aɪ˥˩
hertsadura	eptʃaˈnraːm
hertsakor	ertʃak
hertsapen	ertʃapẽn
hertsatu	ertʃato
hertsatzaile	ɛrtʃɑtfɑjlɛ
hertsi	tɑt˥˥
hertsiki	ertʃiki
hertsitu	ertʃitu
hertzain	ɛʁtsɛjnu
hesgailu	esɣ̞aʝu
hesi	estʃo
hesian	ɛsian
hesitu	elsitʊ
heskai	eskai
hesola	essola
heste	ˈeste
heste-sobra	est̪ʃoβ̞ɾa
hestebete	zˈtˈeβeˈte
hetsi	etʃe
heukaan	ewkãn
heukan	ewkan
heukanan	ewkanan
heuzkan	ewzɣan
heze	s
hezegune	eseɣʊne
hezetasun	wkw˧˥tʂɑŋ˥˩ʈʂu˥˩ʈʂu˥˩li˥˩wxwn˧˥tɕʰjtkʰu˧˥ʐan˧˥mɤ˥˩ʐʂu˥˩ʐan˧˥pʰoʊ˨˩˦tɕjɛ˥˥tɕʰjtkʰw�
hezetu	esɛtu
hezi	esi
hezigarri	essiɣaɾɾe
heziketa	kesilat̪a
hezitzaile	e̞s̺it̪aʝe
hezkuntza	ɛskuntsa
hezueri	ajsʊɛɾi
hezueria	ess̺uɛɾia
hezur	ˈesˌuɾ
hezurdun	eturon
hezurdura	ɛsˈuɾdˈuɾa
hezurgabe	esurgaβ̞e
hezurki	esurkɾim
hezurmamitu	esturmamitu
hezurra	essˈuɾɾa
hi	i˥˩
hibernatu	ibɛrnatʊ
hidra	ivrɑ
hidrato	idratɔ
hidrogenoa	idro˩˥ːna˥˩ː
hidrometro	ikilometro
hidropiko	idropiko
hieroglifiko	ieɾɔɣlifiko
hies	jˈɛs
higadura	iɣ̞að̞wla
higatu	iɣatˈo
higidura	ikidɔla
higiezin	ɪgijɛsʲiŋ
higigarri	iːɣ̞iɣ̞aɾɾʝ
higikari	igʈkaːriː
higikor	iɣikor
higuin	iowin
higuindu	piɣwimdo
higuingarri	iɣoĩŋɣaɾɾj
hik	ikː
hil	il
hilabete	iaβ̞et̪e
hilabeteak	ilaβ̞et̪eak
hilabetekari	ilabẽt̪ekaɾj
hilabetero	iliabet̪eɾo
hilak fite ahazten	ilak fjtɛ aŋsɛm
hilarri	iʝari
hilarria	iʝaɾɾia
hilaur	ãʝauɾ
hilaurtu	jʝa'stu
hilda gero, salda bero	ʝð̞akeɾo salð̞a beɾo
hildura	jlˈdˈˌurˈa
hilerri	iʝeɾɾi
hilerria	ɟʝeɾɾja
hileta	iɣɛta
hilezin	ilɛsˈin
hilezkortasun	elleskoɾt̪ason
hilik	ilˈek
hilnikoak eta joanikoak ahaztu	ilniko̞ak e̞t̪a dʒoniko̞ak as̺t̪u
hilobi	aʝuβ̞i
hilobia	iobia
hilotza	ljutsˈa
hiltasun	jlt̪as̺un
hiltoki	ilt̪oki
hiltzaile	insajdˈe
hinduista	iŋd̪uesta
hinki-hanka	inkianka
hintzaidan	ĩns̺ai̯ð̞an
hintzaien	intsajen
hintzaigun	iːnsaːiːkuːn
hintzaion	n
hintzen	intsen
hiperbola	apɛlmɔbal
hipergluzemia	ipəɛsʒuzmias
hipika	ipika
hipodromo	ipɔðrɔmɔl
hipokoristiko	epoθkestiko
hipotesi	ipotesi
hire	il
hiri	iri
hiria	iria
hiriarteko	iɾiart̪eko
hiribarru	ɾiβ̞aro
hiribide	itiˈvide
hiribildu	ɾɛːnfɾɑ
hiriburu	dˈiɾibˈuɾu
hiriburua	iɾiːbuːɾua
hirigintza	irigintsa
hiritar	ilit̪aɾ
hiru	biro
hiru-laurdeneko	iɾulauɾd̪ẽme̞ko
hirudun	iɾuðun
hiruerrietarra	iɾueɾɾietataɾɾa
hirugarren	hiɾuɣ̞aɾɾẽn
hirugarren adina	iɾuɣaɾɛna ð̞iɲa
hirugarrena	iɾuɣ̞arẽn̪a
hirugiarrea	iɾuɣ̞iareɾa
hirugihar	jɾuːgiːɑɾ
hiruhileko	iɾuiʎeco
hiruki	iduk
hirukia	iɾukˈia
hirukoitz	ikoitsɯ
hirurogei	jɾuɾogeiː
hirurogeigarren	iɾuɾo̞ɣ̞ai̯ɣ̞arẽn
hirurogeita	isjuɾogajt̪a
hirurogeita hamar	iɾuɾo gai̯t̪a hamaɾ
hirusta	irust̪a
hirusta zuri	iːruːʃt asɾuːɾiː
hirutan hogei	iruta nogoj
hirutan hogeita hamabi	iɾut̪an ɦo̞ɣ̞et̪a maβ̞i
hirutan hogeita hamabost	iɾut̪ãn̪ hoɣ̞et̪a maβ̞os̺t̪
hirutan hogeita hamahiru	iɾut̪an hoɣ̞et̪a mai̯ɾu
hirutan hogeita hamaika	i d̪ut̪a no̞gẽt̪a me̞j kʰa
hirutan hogeita hamalau	iɾut̪ãn̪ hoɣ̞et̪a malau̯
hirutan hogeita hamar	i dutˈan ˈɔ goiteˈ maħ
hirutan hogeita hamasei	t̪ut̪ẽn hoɣ̞et̪a mas̺ei
hirutan hogeita hamazazpi	idutam oɾɪtam asas pi
hirutan hogeita hamazortzi	id̪ut̪an og̞e̞t̪amẽs̺ ɦo̞χts̻i
hirutan hogeita hemeretzi	iʎut̪an ɔge̞t̪a mje̞ɾe̞t̪s̺i
hirutan hogeitabat	iɾut̪a no̞g o̞hiʲt̪a bat̪
hirutan hogeitabederatzi	iɾut̪a no̞ɣ̞o̞it̪a be̞ats̻i
hirutan hogeitabortz	i d̪ut̪an oɣ̞o it̪a β̞oɾt̪s̻
