12345678910	jɯ˨˩˦ tsan˥˩sɯ˥˥ ntɕʰi˨˩˦ pɑk˥˥iu˨˦ʂan˥˩
胡諧之	tsɯ˧˥kai˥˥tsɯ˧˥
胡须	u˨˩ɕjɛ˥˥
胥	ɕy˥˥
胯	kʰaː˨˩˦
胳	kã˥˥
脂蔴	tsɯma
脊	tsia˥˧
脑壳	nɔː
脑门	nˈoːmən
脚	tʃoŋ
脚踏车	tɕok˨ tʰa˥˧tsa˥˧
脚骨子	tʃɒkˈɒtsi
脚鱼	tsioknue˥˧
脶	lɔː
脸	dˌiːzˈɛ
脸面	tˌiːzˈɛnmˌeːn
腰眼	jɛ˥˩ŋ˨˩˦nɛ˥˩
腳	tsʲiɔk
腻	nia
膈	ka˩˥ː
膝头盖子	si˥˧liau˨˦ ka˥˥ai˥˧tsɯ˧
膱油	tsak˨˩ji˧˧
臖核子	ɕən˥˥uən˥˩tsɯ˧
臧	sõŋ˨˩
自	ʃiːn
自己	tsʰɯ˨˩˦ kjan˥˥
自由主义	tsʰɯ˨˩˦y˧˥ni˨˩˦
臭虫	ʃiɴzɯm
至	tɕi˥˧
臺北	həˈbeː
臺北市	tʰaɪ˧˥kɤ˥˥sɯ˥˥
臺灣	kʰaɪ˥˥wan˥˥
舅妈	mutsʲe
舅舅	tɕʰjɛ˥˥
舊年	tɕʰiː˨˩˦ w˧˧n
舒	ʃy˥˥
舖	fou˥
舞正	u˨˦tsaŋ˥˥
舰	tan˥˥
船	kʰiːm˥˧
色情	sɛ˥˥tsʰin˥˥
色气	sɛ˥˥tʰi˧˧
艾	lai˥˩
艾溪湖	naj˨˩˦ t
芋头	y˨˩˦tʰjoʊ˥˩
芋頭	y˥˥ tʰeu˥˩
芝麻	tsɯ˥˩ma˥˥
芭	pa˥˥
花	xu˥˧a˥˥
芽	la
苍蝇	sʰɑŋ˥˥ nɪŋ˧˥
苏格兰盖尔语	skɔ˨˩˦la˥˥kã˨˩˦an˩˩˦i˨˩˦
苑	nʲən
苗	mˈˈaːwˈ
苟	morto
若是	loks
苹果	pʰɪn˨˩˦kuɔ˥˥
茂	me̞o
茄子	tɛaːtsɯ
茅厕	mau̯s
茅廁	mau̯zɐ
茉莉花	morifˈa
茉莉花茶	moːri faːˈtsˈɑ
茡荠	pˈeɪtiʊ
茶	zaː
荊	tɕĩn˨˩
荔枝	lɛ˥˩tsɯ˧
荤菜	fɔːn˧˧tsʰai˨˩
荫静	i˧˧in˨˦ tɕʰiŋ˨˩
荷包	pʰaː
荷花	aːfaːr
荸荠	tˢəˀ
莊	tson˧
莫	mo
莱尿	ma˥˨ ʲːeu˨˦
莱屎	aɪ˧˥
莲花	lian˨˩faŋ˥˥
菊	dʑok
菊花	tʃiːok fɔː
菜	tsaːi˦˥
菠菜	po˥˩sai˥˧
華	xu˥˩a˥˥
華人	pan˩˥ːi˨˩˦
萍乡	pʰiŋ˨˩sioŋ˨˩
萝卜	lɔːpʰt
萝卜薯	lɔ˥˧pa˥˥si˧˧
萦线	i˥˩aŋ˨˩ɕjɛn˥˥
萨摩亚语	sabonaɲ
萬	man
落雨	lɔ˥yː˦
落雪	lˈoʃ
葉	dˌiːzə
葛	koa
葡萄	pʰu˥˥ taw˧˧
董	tʊŋ
葱	soŋ
葵花	tsʰuɔ˧˥i˧˥fɑ˥˥
蒋	dʒo
蒙	mɤŋ˧˥
蒙蒙躲躲	n˥˥ tɔ˧˥ tɔ˧˥
蒜柳子	suan˥˥ljɑʊ˨˩˦tsɯ˥˥
蓋	sã˥
蔡	tsʰai˨˩
蔣	tioŋ˨˦
蕌头	tʰau˨˩lɤ˥˥ tʰau˧˧ tʰau˧˧ tʰau˧˧
蕭	ɕiau˨˦
蕭豪	s˨eɪ˥˩lɑ˥hou˨˦
蕹菜	ŋ˨˩˦sai˥˧
蕹菜梗子	ŋ˨˩˦ ɕkuɑŋ˨˩˦tsɯ˥˩
薄	pˈɛʁ
薄熙來	pokɕiɾai
薛	ɕˈɛst
薛涛	fɔ˥˥
薯	fˈyː
藍	lˈan
藕	liau˨˩
藺	liau˨˩
蘇	sɔː
蘇州	su˥˧tsɤ˥˥
蘋果	pɪŋ˥˥kwɔ˥˩
蘿蔔	lɔ˥˥pʰɪ˥˨
虰虰	tin˨˩tin˨˩
虱	se
虹	kõŋ˥˥
虼蚤	kijɛttsa
虾子	aːrd
蚂蚁	mãːnjɯ
蚂蚁子	maːnitsːɨ
蚊虫	uən˧˥tsʰŋ˨˩˦
蚌壳	pɔŋgʱɔt
蚕	tsʰuaɪ˨˩˦
蚕豆	sũã˨˩n˥˥ tʰe˧˧
蚗落子	tsia˥˥lok˨tsɯ˧
蚗蟧子	tsʰia˥˧ lak˨tsɯ˧
蛐蛐	tɕʰi˥˥
蛤蟆仁子	a˨man˥˥n˥˥tsɯ˥˥
蜈蚣	ɛʃo kɔŋ
蜈蚣虫	u˥˥kʊŋ˥˥tsʰɯ˥˩ʰ
蜗牛	uɔ˧˥
蜘蛛	tʰau˨˩sɐp˨˩
蜘蛛子	tsɛːtjˈuzi
蜜糖	miːk˨ tʰɔːŋ˨˩
蜜蜂	mʲitˈfʲːum
蜡烛	lato
蜻蜓	sɪn˥
蝃蛛子	tsɯ˥˩ ttsʰɯ˥˩
蝦	hɑɹ
蝴蝶	fu˧˥tʰjɛ˥˨
螃蟹	poʁ˧˧ɛ
螞蟻	maːn
螳螂	tʰɔːŋ˧lɔːŋ˧
螺丝刀	luɔ˥˧sɯ˥˥tɑʊ˥˩
螺丝厣子	luɔ˥˩ʂɚ˥˩ jɛn˨˩˦tsɯ˧
螺絲刀	nʊɕtaː
蟷蜋	tʰɑŋ˨˩ lɔ˥ŋ˧˥
血旺	sˌok˨ wˈɔŋ
行势	hian˨˩˦sɯ˥˥
行雷	hˈɛnɹi
街	kai
街上	aai̯s̺o
衛	lɪ
衣	i˥˩
衣裳	i˥˩ i˧˥ʂɚ˥˩
补	u˨˩˦
衫袖	sian˨˩tʃiu˥˧
衬衣	tsʰan˨˩˦i˥˩
袁	ɥœn˧˥
袜	wˈʌt
袜子	wɒt
被窝	pʰi˨˩fa˥˥
装疯带前	tsʊŋ˥˥fɤŋ˥˥tɕjɛn˨˩˦
裙子	kjɴsonoɕi
裝	tsɔːŋ
裤子	kuz
裴	pˈiː
褂	kua˧˧
褂子	kwa˥˥tsɯ˧
褚	tsɯ˧˥
襪	wˈa
西山万寿宫	si˥˧ san˥˧ wan˧˧˥ siu˨˩
西方中心论	si˥˧fɑŋ˥˥tsʊŋ˥˩si˥˩n
西湖区	oɕi
西瓜	ɕi˥˥kwan˥˥
西里西亚语	si˥˩li˥˩ʃni˥˩
要	eʊ
覃	dɔːn
親戚	tsintɕi
覴	ten
观	kuən˥˥
观音菩萨	kuɔ˥˩ji˧˥ fɤ˧˥sak˥
角	ko
角落	ko˩˥ːk˥ lɔk˨
觘	tsaːw˧˥
觘角	tɕʰau˥˧kɔ˨
解	˦kaːi˨˩
解交	ka˥˥tau˥˥
解读	kai˥˥tʰu˨˩˦
計	tɕi˧˥
許	ɕi˧˥
詩鬼李贺	sɯ˧˥kweɪ˥˥ li˨˩˦xɤ˧˥
該箇網站蠻喫價	kɔːi̯˨˩kɔːi̯˧˥wɔːŋ˨ tsaːi̯˧maːn˥tsʰɐt̚˨
詹	sãn
語言	nʲy˥˩njɛn˧˥
誨汝諄諄	n˥˥yn˥˥tyn˥˥
調羹	tʰiã˨˩ u˨˩ keŋ˥˥
談	tʰan˨˩
諶	sin˥˥
講事	tɕʰy˥˥
謝	tɕʰa
譚	tɔn
警察	tɕĩŋ˨˩tsa˥˧
警觉	siaŋ˨˦kok˨
讀	tok
认生	niŋ˩˩˦sa˥ŋ˥˩
认识	niŋ˨˦kʰŋ˥
讲古	kɔːŋˈʊkɔŋ˧
讲话	konva
许	fou˥
许向子	hẽ˨˩ʰsioŋ˨˩tsɯ˥˩
许愿	tʃʰiː˧˧lɤŋ˨˩˦
许真君	ɕy˨˩˦ tɕiŋ˥˥tɕiŋ˥˥
证章	tsɛn˨˦tsɔŋ˨˩
话事	wa˨˩˦tsɯ˧
话语	faːn˩˦i˨˩˦
语文	n˩˥ːj˥˩wɤːn˧˥
语言	n˥˥
诱	heʎ
请	tɕʰjɑŋ˨˩˦
读书	tu˨˩˦sɯ˥˥
谁	sˈi
调羹	tʰiã˨˩keŋ˨˩
谈詑	tɔːŋ˧˥ tʰɔː˨
谈讬	tan˨˩lɔ˨
谐音	ɦaɪn
谢	tɕʰja˥˧
谢家村	aqa tʃiŋ
谢谢	ɕja˥˥sja˥˥
谷	u˨˩˦
谷歌	tuko
豆乳	tɛːʊ˨˩˦
豆干	tʰæw˧˧koŋ˥˩
豆豉	hæ˥
象湖	sioŋ˨˩fu˥˥
象湖万寿宫	hsioŋ˨˩˦ fu˧˥ wan˨˩˦ kʊŋ˨˩˦
豪萨语	hou̯˧˥
豫章	u˨˩˦tsɑŋ˥˩
豫章书院	hʊ˨˩sy˥˥ɔ˨i˨˦
豫章郡	ɪ˧˥tsaŋ˨˩tɕɪn˥˥
豬	ʈʂɚ˥˥
豹老虎子	aʊ˨˩˦lɑʊ˨˩˦tsɯ˧
貓	ljoʊ˨˩˦
費	fˈi
賀	hɔ˧˧
賈	a
賴	lˈeɪ
贛	kon
贛州	kondʑu
财神	tʰaːi˥˧sin˨˩
责	tsæ
贤士湖	ɕsǎŋ˧˥u˥˥
质	sæ
贱	sie˥˧
费边主义	feɪ˧˥ pi˨˩˦n˥˥tny˨˩˦ni˨˩˦
贼	tɕʰe
资	tɕi˥˥
资助	tsɯɯ
资本主义	tsɯ˥˩peŋ˨˩˦tɕy˧˥ne˨˩˦
赏玩	sŋˈgən
赖死	lai˨˩˦ sɯ˥˥
赚钱	tsiən˥˧
赞	tsan˥˥
赣	gon˨˦
赣州	koŋ˥˥tsiu˨˩
赣江	koŋ˨˩kɔːŋ˧˧
赣语	qɑːn˥˩
走	tseʁ
走家	sɛːw˩˩˦kaː˥˩
走開	ælˈke
越南	mjɛ˨˩˦la˥˧
趙春花	tsiaʊ˨˩tsʰyn˧˧faː˧˧
趬	tɕʰau˨˦
足	tsou˥˩
趸	dən
趿	tʰa
跍	ku˥˩
跕色子	ties zets
跟	tʃi
路	lɔn
跳	sfʰau˧˧
蹄子	ti˥˩ tsɯ˥˩
車	tsa
軟	lɤn
车	täː
车子	tʰa˥˥tsɯ˥˥
车田	tʰa˥˥tʰjɛn˥˥
车砣	saːtoː
转	tsaʔ˨
转去	tsʰan˨˩tsʰie˨˩
轮	d̪ø̞n̪
软	lal
载	saj
辛	ɕjɑŋ˥˩
辜	a
辣椒	la tiel
达	tʰɐi˨˦
过	kɔ˥˥
过些时	kuɔ˧˥ɕja˥˩ sɯ˥˥
过早	kuɔ˥˧tsau˨˩
近世贛語	tsiŋ˨˩ sɯ˥˥ koən˥˥ny˨˦
近代贛語	tsʰin˥˥tʰʰe˨˩ i˨˩
还嘴	uan˥˥tsi˨˦
还愿	wan˨˩njoʊ˥˩n˥˩
这	kɔ˥˥
这里	kɔ̀ri
进贤门	tsiŋ˥˧ɕjɛ˥˥mən˨˩˦
送肉上砧	sŋ˨˩nju˥˥ sõŋ˨˩˦ tɕian˥˧
逛	kwa˥˥
造孽	sa˩˥ːŋɔː˩˦
連	tjˈɛn
逼	pi
遊	u
道	tʰɑ̃
道士	pɑʊ˥˥sɯ˥˥
道德	tʰou̯t
道德主义	tʰau˨˩ ta˥˥tɕy˧˧ni˨˦
道艺	tʰaːu˥˧
道行	tʰaʔhel
遲	tsʰɯ˨˩˦
避	fˈi
還嘴	wan˥˥tsui˨˩˦
邊	bjɛn
邕	tiuŋ
邢	tsiŋ˨˩
那里	ɛɾɪ
邱	tʃu˥˩
邵	seʊ
邸	ti˥˩
郎	lɔːŋ
郎中	lɔːŋ˨˩ tʊŋ˥˥
郑	san
郑成功	tsʰiŋ˨˩˦kʰu˥˩
郜	kau˥˥
郝	fˈa
部	aɛ̃sˈɛnˈ ʁɑ̃ˈɛlfɛ ˈʌnɛˈfɑːtkɛ nˈoːx
郭	kwa
都	tu
鄒	tseʁ
鄙	pˈi
鄢	ŋam
鄧	me̞jˈʌn ʃuˈɑtmˈʂuˈʂtmˈ
鄭	tɕʰaŋ˨˩˦sɤŋ˥˥
鄭州	tsɤ˧˥
鄭成功	tsan˨˩ tɕʰɪŋ˥˥ kʊŋ˥˥
鄱陽	ˈoɪo
酒	tiu˨˩
酱油	tɕiŋ˥˥
酸	sɔːn˨˩
酽	n
酽茶	nian˨˩tsa˨˩
酿酒生醋	ioŋ˨˩ tsiu˥˧sã˥˥tsʰu˥˧
醉	tɕi˥˧
醋	tsu˥˩
里子	li˨˩˦tsɯ˨
里拉（肮脏）	pia nasa
重慶	sʰŋ˨˩tsʰĩ˥˥
重阳	sĩŋ˨˩ i˧˥
野	dˌiːzə
金	tɕiːm˥˥
金子	ʈʂiːn˥˥tsɯ˥˩
金昌绪	tintsoŋ˨˩siu˥˧
金星	tsĩ˥˥sĩŋ˥˥
金華火腿	tɕyn˥˩fa˥˥fu˧˥
金银首饰	tɕɪŋ˥˥ nɪŋ˧˥ɕy˥˥
金龙	tsĩn˥˧liuən˧˧
釩	tan˥˥
鈉	la
鈣	sfagaj
鈦	həˈj
鈩	du
鈾	io
鉀	tɑː
鉋	pˈaːw˨
鉛	tɕʰjɛn˨˩˦
鉛筆	tɕʰjɛn˥˥pə˥˥
鉴真	kã˥˥tsĩ˥˧
鉴真和尚	kã˥˥ tɕiŋ˨˩ uɔ˧˧sǎŋ˨˩
銀	njin˨˩
銀川市	n˨˩nuan˥˥ɕi˨˩
銅	tʰɤŋ˨˩˦
銻	tˈi
鋁	t̪e
鋅	ɕin˥˥
鋇	pffft̪
錒	aː
錢	tɕʰjɛn˥˥
錫	ɕja˥˥
錳	tɑɾmɑŋ
鎂	mi
鎳	njɛ
鎵	kã˥˥
鏑	vjˈa
鏾鸡	ɕjɛn˨˩˦tɕi˥˩
鐘	tsuŋ˨˩
鐵	tʰiẽ˨˩˦
钉子	tian˥˧tsɯ˧
钉锤子	tian˨˦se˨˩˦tsɯ˥˥
钢董	kʰŋ˨˩tuŋ˨˩
钩子	kiau˥˧tsɯ˧
钱纸	tsi˨˩˦
铁	tʰiːr
铁柱万寿宫	tʰi˧˥ at˦˥siw˨˩ kuŋ˥˥
铅	hʌn˥˥ jiːn˨˩ aː˧
铅笔	tɕʰjɛn˨˩˦
铜	tʰɯ̞ŋ
铝	li˨˩˦
铰	kau
银	n
银子	nˈeˈins
铺	pʊm
锁匙	sau̯s
锈	ɕiu˨˩
锡	ɕjˈɛ̃
锯	kˈaɪn
锯子	kijˈɛt
锯屑	kʰi˨˩e˨˦ ʂan˥˥
镅	miː˩˧
镤	o
長沙	tsʰʊŋ˨˩˦sâ˥˥
閔	mɛn
閱讀	je tˈu
關	guan˥˧
门	mənˈ
门槛	mɯəŋ˧˧ ɛː˧˧
门罗主义	mn˧n˧ɔ̀ːtɕʰiː˧niːʰ
门诺派教徒低地德语	mɪn˧˥noʊ˨˩paːi̯˧kaːʊ˥˥tuː˧tiː˥tiː˥ teŋ˨˩
闭	i˨˩˦
闭痧	pi˥˧sa˥˩
问	mən
问程耳	nɤŋuən˧˧sǎŋ˥˥u˧˧
闲	han˨˩˦
间些时	sian˥˥ kan˥˩
闽南语	miŋ˨˩˦laɪ˥˥ny˨˩˦
阁	ko
阄	kiel
阮	lɤ˥˩ən˧˧
阳珓	ioŋ˨˦kaːʊ˨˩
阴天	i˥˥
阴珓	jɪŋ˨˩˦kau˥˥
阶段	kãi̯˧˥ tʰɔn˨˩
阿	na
阿公	naːkɔm
阿劳坎语	aɾlau˨˩gan˥˩i˨˩˦
阿婆	nabo
阿瓦尔语	ala oɲi
陈	tn˧
陈玉红	tsʰɤ˨˩˦njy˨˩˦ hɤŋ˧˥
陈陶	sin˥˥tʰau˧˧
降落	koŋ˥˥ lɔːk˨
限	xan˨˩
院子	n˥˥oʊ˥˥an˥˥tsɯ˧
陶	hau
陸	lɔ̃
陽	iun˥˩
隋	sɛ
隑	lai˥˩
隔	ka
隔壁	tɢapja
隔子	satʰa˥˥a˥˥tsɯ˧
隔子莫关到，打开来透透气	ka˥˥tsɯ˧˥ mɔ˥˩tkwan˥˥ tɑʊ˥˩ta˥˩kʰɤ˨˩˦ laɪ˧˥ ʰɛ˨˩˦ʰɛ˨˩˦ʰɛ˨˩˦tɕʰi˥˩
难为尔	laŋ˨˩hŋ˨˩
雀	tɕjoʊ˨˩˦
雀儿	dʑoɯze
雁鹅	laːn˩˩˦mɔː˩˦
零	lian˥˧
雷	d˧iː˧
雷电	nej
雹子	pɑqtsɯ
電	tʰjɛn˨˩˦
雾	u
霍	fɒ
霜	sɔːŋ
霞	hə
露水	luːsɛː˧˧
青	tʰiŋ˥˥
青云谱	tɕiŋ˥˥yn˥˥ nu˧˥
青云谱区	tɕjɑŋ˥˥ɪn˥˥ pu˨˩˦
青山湖	tʰi˧˥sǎ˥˥ŋ˥˩fu˥˥
青山湖区	tɕjɛŋ˨˩˦ ʐan˥˩ u˥˩tɕi˥˥
青島	tʰjɛ˥˥tau˨˩˦
青春期	tsɯ˥˥tsʰu˥˥en˥˥
青果	tɕiŋ˥˥ kuɔ˧˥
青烂	tsiaŋ˨˩ lan˧˧
青菜	tɕʰjɑŋ˥˥san˥˩
青蛙	siːkːl
面	mjˌɛn
面子	mjˈnzu
面盆	mi˥˧en˧˧vən˧˧
革	k
靳	t˥
靴子	ɕaɻ˥˩tsɯ˨˩˦
鞋子	xaɪ˧˥tsɯ˨
鞏	kuŋ˨˦
鞠	tjuː
韓	hɑn
韓國	aŋgwãn
韓服	aɴf
韩国	halte
韭菜	tsi˨˩wu˥˧˥sai˥˧
項	hom
預訂	y˨˩˦ tɪŋ˥˥
顏	ŋ̟ˢan˥˩
類字蒙求	lɤ˥˥ tsu˨˩mʰu˥˥ tɕʰi˨˩
顧	u˨˩˦
项斯	ɦŋ˥˥si˥˧
项目	hoːmo
顺化门	tseŋ˨˩˦fa˨˩˦mən˥˩
顽	nam
领	ljɛŋ˨˩˦
颈	tsia˥˥
颜色	ŋaːnˈsɛ
额外	mi˥˩k˥ waːj˨˩˦
额角	nia kok
风	fum
风景	fʊŋ˥˥tɕĩŋ˨˩˦
风灯	fumtem
飘风雨	pʰjɛ˨˩˦fɤŋ˥˩y˧˥
飞热	fˈiːlˈ
餘	y
饒	dˌiːzə
饭	fan˥˥
饭沙果	fan˨˩˦sa˥˩ kuɔ˧˥
饭铺	fan˨˩˦ku˨˩˦
饮汤	nʲtʰoŋ
饯行	tɕien˧˧sin˨˦
饺子	tɕjɛ˨˩˦tsɯ˥˩
馆	kuən˨˩˦
馆子店	kuən˨˩˦spi˥˧ən˧˧
馍馍	mɔːmɔː
馒头	mɔːn˥
首先	ɕʰjoʊ˥˥
首饰	ɕiu̯si
香港	fɕiŋ˥˥kɔ˨˩˦
香烟	ɕjʊŋ˨˩˦jɛn˨˩˦
香皂	su˥˧
香蕉	sioŋ˨˩ tsit˦ au˨˦
馬	ma
馮	fun˥˥
驐牯子	tenˈguːts
马	maː
马克思主义	ma˨˩˦tʰjɛ˥˥tsi˥˩ tɕy˧˥ni˨˩˦
马崽子	ma˨˩˦ tsit˦ ai˨˩˦ tsɯ˧
驴	liː˧
驼打	tɕʰoʊ˨˩˦tɕʰa˥˥
驾驶员	ka˥˥sɯ˥˥i˥˩
骑车子	tɕtʰa˨˩˦tsɯ˥˩
骡子	lɔːts
骩	vˈe
高	kɑːm
高头	kaː˥
高安	kau̯ ŋoo̞j
高粱	kau˧leŋ˨˩
高雄	a˥˥kau˥˥ɕjʊŋ˨˩
鬥祸	te˨˩ŋ˧˧fu˧˧
鬱	yt
鬼鬼祟祟	kwekwe seŋ˥˥seŋ˥˩
魏	wˌiː
魏源	ì˧˧ njun˧˧
魚模	mʲamu
魯	lu
鮑	pʰau̯
鮑魚	pɔ˥˥
鱼	nʲe
鲇鱼	nia ɲˈa
鲍鱼	au̯ne
鲜	sian˥˧
鲤鱼	li˨˩˦lɤ˥˥
鲫鱼	tsʰatʰ pavʲerɨɫa
鳞	lɪn
鴨	nɛ
鷹弋片	iŋ˨˩ i˥˩
鸡公	t̪i˥˧kuŋ˨˩
鸡崽子	tɕi˥˩tsaɪ˥˩tsɯ˧
鸡窠	tɕi˥˩ kʰu˥˩
鸦鹊	ŋa˥˥ʈʂoʊ˨˩˦
鸭	nˈa
鸽	sˈa
鸽子	kɔtsːɛ
鹅	nˈa
鹅湖书院	lɔ˥˧ fu˧˧ ɕy˨˩˦ a˥˧
鹞鹰	jɛː˨
鹰潭	hĩã˨˩n˥˥ hã˥˥
鹿	lˈok
麦子	maks
麦麸	mafˈu
麻	ma
麻油	maː
麻雀	madʒo
麻雀子	maː dʑoktsɨ
黄包车	wɔːŋ˨˩pɔːŋ˧˥tsaːŋ˥˧
黄瓜	wɔŋ˨kʰuaː˧ʔlɤk˥kʰwaː˧
黄花鱼	wʔŋ˧˥fa˨˩njɛ˥˥
黄表	wɔ˥˥piau˨˦
黄豆	ŋ˨˦tʰiəw˧˧
黄鹤楼	wɔːŋ˧˥hɔːk˨˩ʔluau˨˩
黄鼠狼	fɔːlɔːŋ
黑板	tɛrtɑm
默写	me˨˦ɕja˥˥
默神	mæn˩˩˦ sin˩˥˩
黨	tɑŋ˨˩˦
鼎罐	tiŋ˨˦kuan˥˥
鼻	pʰi˥˩
鼻公	pʰak̚˨˩koŋ˥˥
鼻子	pɪt˥tsɯ˥˩
齊	tɕʰi˧˥
齐	fˈiː
齐整	tɕʰi˨˩˦ tɑŋ˥˥
齐齐	vizˈi
龍	lɔŋ
龐	pɔŋ˧˧
龔	tʃuŋ
龘	lũŋ
龙感湖	nun˥˧kɔːn˧˥fuː˥
龙沙	n˧ŋs˦˥aː
龙虎	ljoʊ˧˥fu˥˥
龙虾	tioŋ˨˩ha˧˧
龚	dʒˈum
