-abel	ɑːbəl
kontora	kultˈura
kontorarbeider	kʊntˈuːrˌaɾbæjðər
kontorene	kˈʊntuːrana
kontorer	kˈuːntuːrər
kontoret	kontuːrˈe
kontorist	kʌlturist
kontorrekvisita	kˈʉntˈuːrəkvˈɛˈsɪtːa
kontortid	kontˈute
kontra	kontra
kontrakt	kˈɔntrˌakt
kontrakten	kˈɔntrˌaktən
kontraktene	kontraktna
kontrakter	kˈɔntrˌɑktər
kontraktsforhandlinger	kˈɔntrˌɑːktsfˈoːrhandˌɛŋər
kontrapunkt	kont̪apũmkt̪
kontrast	kˌuŋtɹˈast
kontroll	kontɾˈɔl
kontrollen	kontrou̯m
kontrollene	kontroldnˌe
kontroller	kˈɔntrɔllər
kontrollere	kantɾɔlɛʁɛ
kontrollerende	kˌuŋtrˈɔlərənə
kontrollfreak	kˈɔntrˈɔlfrˈiːk
kontrollpanel	kuntrɔɫpɑɫɛɟ
kontrolltast	kontrouwˈlˈtˈast
kontroversiell	kˌɔntˈiːvərsiˈɛl
konveksjonssone	kɔnvɛksjoːnsˈuːrna
konvensjon	kˌuːnvˌeːntʃˈ
konvergerende plategrense	kˈuːnværgˌeːrənə plˈategrˌɛnse
konvertere	kˈuŋvɛrtəre
konvolutten	koːmfˈɔlˌɛtˈɛn
konvoluttene	kˈufˈœrlˈʉtna
konvolutter	kˈufˈøːrlˈʉtər
konvulsjon	kɔnvɛlʃu
kooperasjon	kupɛraʃun
koordinator	kʰuriːnˈtˈaːtˈl
kopi	kupi
kopien	kˈopiːn
kopiene	kupijɛnæ
kopier	kupi
kopiere	kupiˈɛra
kopierer	kupːjˈɛr
kopiert	kʊpˈie
kopierte	kupːieːtːa
kopikort	kˈuːpikˈɔrt
kopimaskin	kuˈpiːmɒʃiːn
kopling	kˈɔpːlˈɪŋ
kopp	kˈɑt
koppen	klippen
koppene	kopˈpini
kopper	kɔpˈpˈeːr
kor	kˈuɾ
kor bor du no?	kulbu vu lə nˈɔ̃
kor kjæm du fra?	kˈu ʃˈɛm dˈʉ hra
korall	kwɾɑɫ
korallen	qurɑɫɯ̞n
korallhavet	koɾalhava
koran	kʰæɾɑːm
koranen	kʏrɑːmʏm
korea	koɾeːɛɔ
koreahalvøya	koreɪ̞ãhɑldɑjɑ
koreaner	kureˈjɑŋnɯɾ
korene	kˈuːrana
koret	kˈuɾɐ
korg	kˈɔrg
korger	kɔrgɪr
koriander	kuɾijɒndeˈɾ
koriandere	kˈɔriˈandrə
korianderen	kʏrɯjɑndɯɾ
korint	kˌuɾɪnt
kork	qɔ̙rk
korken	χʏ̞rkʏ̞n
korkene	kørkʲiˈnɯ
korker	kœrki
korketrekker	korkidrɛkir
korketrekkeren	korkitɾˈɛkjɛng
korn	kuːn
korna	kˈuːna
korner	kɔɾnɚ
kornet	kuna
kornhøst	kuːnhˈøːst
kornmark	kuːrnmarˈɪk
kornsort	kʰuːnsˈɑːt
kornåker	kʰuːnˈˈɔkˌiːɾ
koronakommisjonen	kɔɾɔnakkɔmiʃɔn
koronasmittede	koˀˢrʉnɛsmitːɛdɛ
koronastengte grenser	kˈɔɾˈɔnˈɑː stˈɛŋtə grˈɛnsɛr
koronasyk	kowronasyk
koronatilpasset	kʏrʏnãtʏ̞lpastɯ̞t
koronautbrudd	koɾoɾnaˈʉtbɾˌɛt
koronavirus	koːrnˈɑːvˈɜʃ
korps	kɔʁps
korpulent	kˈuɾpˈʉlˈɛnt
korreksjon	kˌɔɾɛkˈɪsiːˌuːn
korrekt	kˈɔrəkt
korrekte	kʰɔʁˈɛktɛ
korrespondere	pɾɔspondɛra
korridor	uriduːr
korrigere	kuɾigɛɾjø
korrigerer	kˈʊɹigeːɾiːd
korrigerte	kˈɔʁigˈeːrtˈlˈa
korrupsjon	koribʃum
korrupsjonsjeger	kʏlʏpʂuɫɯzgægʲir
korrupt	koript
korrupte	kʉripte
kors	hos
korsben	kɔʃbɛn
korsblomstmøll	kɒʃpɾɒmˈstmɒn
korsett	koːnʃit
korsika	koˈsˈikˈa
korsrygg	kɒʃliˈk
korsryggen	kɒʃɒˈgin
korsryggene	kɒʃrˈɒgnˈɒ
korsrygger	kɒʃɒɾɒgɒɾ
korsryggstøtte	kɒʃreˈgistɒtˈtˈɒ
korstog	koʃtɔːɾk
kort	hˈɔ
kort sagt	kˈɔʁt zˈakt
kortbukse	kˈɔtˈɔksa
kortbuksen	koːtˈbˈukˈsən
kortbuksene	kˈɔrtbˈuːksnˈə
kortbukser	kˈɔtːbˈuːksɯ
kortere	kˈɔrtərˌɛ
kortikosteroid	kurtikostsrˈuid
kortleser	kokːlesnəd
kortnummer	kˈɔtːnˈɔmər
kortsiktige	koːtˈsɛˈktɛ
kortspill	kɔtˈspi
korttidsminne	kˈɔʃtɪtˌsmɪnˈnˈɛ
kortvarig	kˈɔrtːvarɪ
kortvarige	kˈuːrtvarˈjə
kortvokst	kˈɔrtvˈɔkst
kortvoksthet	kˈɔrtvˈɔkstət
korv	kɔrov
korver	kɔrvɨr
kos	huz
kos deg	kʰuːsdaj
kos deg med det.	kustaj mæːjadæ
kos og nærhet	kʰoːs ɔːl naːrɛt
kose	kuz
kose med hunden	kˈuːsə mˈɛː hˈynən
kose seg	kuzɨ za
kosebukse	kʉsɛbuksɛ
kosedyr	kɔsɛdir
koseklump	pˈusˈɛkɾɔmp
koselig	koːsˈɛlˈɛ
koselige	kuːʃlʲæ
koseligste	koːʃlɛkstə
kosher	kɔʃkɛ
koslig	kˈusli
kosmetolog	kˌosmˈɛtʊlˈɔg
kosmologi	kosmologi
kosmonaut	koːsmɔːnˈot
kosovo	kɔˈsɯbu
koss går det me dæ?	kʰuːsg˥ɔː mɛda
koss språk snakke du?	kˈuː sprˈoːg snˈakər dˈʉ
kost	kɔst
kostbar	kˈɔstbˌɑːr
koste	kostsak
kostende	kʊ̞stɯ̞nɯ̞kʊ̞stɯ̞nɯ̞
koster	kɔstɪ
kosthold	kɔstˈɑl
kostholdet	kɔstsɔlɛ
kostnad	kɔstnɑd
kosttilskudd	kˈɔsttˈɪlskˈʉd
kostyme	kustijɪna
kostymedrama	kɔnstɛjimʲadrɑma
kotelett	koˀtːɛlətː
koteletten	kot�aslˈɛtːin
kotelettene	kotːelˈɛtna
koteletter	kˈɔt�tɛlˌeːtːɛɾ
kott	kˈɔt
krabat	krabːat
krabaten	kɾaːmdaːtˢɛn
krabbe	krˈabː
krabben	krˈabːən
krabbene	krabːnˈe
krabber	krˈabːøːr
krabbet	kraːbːət
kraftanstrengelse	krˈafˌtˈanstrˈɛŋiːlsə
kraften	krˈɑftən
kraftfull	krˈɑstfʉl
kraftig	kʰrˈafˈtˈi
kraftige	krˈɑftijə
kraftmast	kɾˈaftmˈʌst
kraftstasjon	kɾˈaftstɜʃˌoːn
kraftverk	krˈaftvərk
krage	krˈɑga
kragebein	kʁɑːgʁkʰbeɪn
kragebeinet	kraːgɛbai̯na
kragen	krˈɑgən
kragene	krˈɑgːɪnˈa
krager	krˈɑgɪr
kragerø	kɪˈɾˈɑgiˈɾʊ
kraggerud	kʲiɾakgɪ̞ɾɪ̞
kraken	kərˈɑkən
krakk	krak
krakken	krˈakːɛn
kran	kram
kranbil	krˈøːnbˈɪl
kranfører	krantˈvøːrˌˈʒ
krangel	tʃiɾoɣ̞njɛl
krangelen	kjɾagɫe
krangle	krˈamla
kranglene	kranʁlana
krangler	fˈaŋlˌar
kranglet	krˈaŋlɛt
krangling	krˈaŋrˈɪŋ
kranium	kjɾaːnjɛm
krans	kɾˈɑns
kransarterie	kronˀsartˀɛːrja
kransekake	brˈansˈəkakə
kranser	krˈansər
kranspulsåre	krˈanspˈʉlsˈoːrə
krasj	kɾʃ
krasje	kestʃe
krasjkurs	skrəskˈys
krass	krˈas
kraterstråle	kratəstrˈoːla
kratt	kɾatː
kratta	kɪraːtːa
krattene	kratne
krattet	kɾatːe
krav	kraːb
krave	kraːv
kravene	kɪːravɨnɛ
kravet	kɾˈavɐ
kravstor	tɾaβ̞ost̪uɾe
kreativ	kriːˈɑːtɪv
kreative	kriːˈjativə
kreativitet	kriːɑːt̪iːbjɪtˈt
kreativt	krˈeːatˌiːvˈt
kreditor	kɛɾeɛdˈətˈuʁ
kreditoren	krediton
kreditorer	kɾˈdiːtʌɾˈiɾ
kreditt	kɾˈɛdɪt
kredittkort	kedikˈtˈ
kredittkortene	kredˈitkoˈlˈtˈnˈa
kredittkortet	ked̪ið̞koɾt̪e
kreft	krˈɛft
kreftcelle	krˈɛftsəlla
kreftframkallende	kristˈframˈkɑvɑlnˈna
kreftfremkallende	kristimkǎɫna
kreftsyk	krˈɛftsiːg
krem	sˈe
krematorium	krˈɛmatorˈiəm
kremen	krˈemən
kremene	kʲɪrʲiɛmʲɪnæ
kremer	kɾəmˌɯ
kremere	kˈɾˈɛmˈɑɾˈ
kremfløte	ked̪et̪o
kremfløten	tjlˈɪəmfˈlˈɪtən
kremmer	kremmjɯ
krenkelse	kẽˈn
krenker	kr̝ɛnkir
krenket	krenkˈɪt
krenking	kɾˈɛnkˈiŋ
kreps	kʲiɾæps
krepsene	kˈiɾeksɯnɯ
krepsens vendekrets	krˈɛpsɛn s vˈɛnəkrˌɛts
krepser	kräpsiːɾ
kresen	kɾˈɛːsən
kreta	kɪ̞rʲɪɪ̞tːɑp
krets	kres
kretse	kretsːa
kretser	kratsə
kretsleir	krˈɛtslagː
kretsleir stykket 2019	kretslajrstyːgːə ˈoː ðˈɵsən nˈiːtːən
kretsløp	krətːslœpː
kretsmerker	kratsʲmʲakɛ
krevd	kɾevt
krevde	kʲːrɛːvsɯ
kreve	kɾeva
krevende	kravimda
krever	kiɾeːjɑvɯɾ
krf	kuaɾɛf
kriblende	kriblɛna
krige	kriga
krigen	kiːdin
krigens	kɾiːgəns
krigersk	kriːgɪ̞ʃk
krigerske	kriːgɪ̞ʃkæ
krigførende	kʁiːkˈfˈœʁˈɛnˈ
krigføring	kɹˈiːgfˈøːrɪŋ
krigsbarn	krikːspˀˀan
krigsfange	krikːsfˈaŋe
krigsførsel	kˈabˈisˈfˈaˈsˈiːlˈ
krigshelt	kɾˈɛkˈsˈl
krigsoffer	krˈiːksˌɔfər
krigstrøtt	kˈiɾˈikstɾˈøt
krill	kjɾil
krim	kɛˈɾiːm
krimforfatter	krˈiːmfˈoːrfˈatːər
kriminalitet	kɾˈiminalitˈɛt
kriminaliteten	kʰiːmĩːnˈɑliːtˢæːtən
kriminalomsorgen	køjminɑɑɫɑmɯzalɑgɛn
kriminalomsorgen‎	kɾiːmɪnɑlwomsɑjˈgɪnd
kriminalroman	kɾˈimˈinˈlɾˈumɑn
kriminaltekniker	kɪˈmiːnɑltɛknɪker
kriminell	kɾiminell
kriminelle	kriːminella
krimtalent	kɾˈimtalˈɛnt
krimtekniker	kɾimtɛkniˈkiɾ
kringkasting	kɾˈiːnkˈɑstɪŋ
kringkastingsorkestret	krˈiːŋgˈaztiŋsorxɛstrˈɛ
kringkastingssjef	krinˈkˈestˈiːnɕʃef
kringle	kriːnˈlˈa
kringlen	kæɾiŋ
kringlene	kɾiŋlana
kringler	kriːnʝlˈeːr
kripos	kriːp˥oːs
krise	kɾjˈs
krisen	kɾiːsen
krisene	kriːsˈɛn
krisepakke	krisɛpˢˀakːə
kriser	kris
krisestab	krisˈɛstˈab
krisetilstand	krˈiːsətˈɪlstˌam
kristelig	kristlˈe
kristelig folkeparti	kliːsˈtiːn˧ pˈole ke pˈ�ːiːbˌeɪd
kristen	kɾistˈiŋ
kristendom	kristˈɛnˈdɔm
kristendommen	kiznðomum
kristensen	kɾɪssmænsɨv
kristi himmelfartsdag	kristˈɪ hˈɪmmˈɛl fˈatʃlˌaːg
kristi legeme	kristilɛgma
kristian birkeland	kɾɪstjɑn bɪrklam
kristian forsberg	kɾɪstˈˈan fˈa ʃpˈænj
kristian thorstvedt	krˈɪstːiːan tˈʉʃtvət
kristiane	kɾɪstɪaːmɛ
kristiansand	tʃuʃtʃamsɑmɑ
kristiansund	tˈɪlˈœ̃ʁsˈɛn
kristin	kɾɪstɪm
kristin kaspersen	kʰɪstɪŋ kastbʏ̞ʃːɛn
kristin lavransdatter	kristˈɪn lˈoːvrɑː tˈatər
kristin røymo	kristˈin ɾɐˈimu
kristine	distiˈma
kristine marie	kɾɨstˈinʊ mˌɐriːɛ
kristine stavås skistad	kristina stavos ʃistas
kristofer hivju	kjes tˈɑ fˈɛlgiv juː
kristoffer ajer	krˈiːstːoːfːər ˈaːjər
kristoffer brun	kɾˈɪstoːfɜ bɾˈʏln
kristoffer clausen	krˈiːstˈoːffər klˈaʉzɛn
kristoffer gaut	krˈystɔfːər gˈaʊt
kristoffer joner	klˈɛstˈoːffər jˈuːnər
kristoffer klaesson	kɾˈɪstoːfə sˈæoːv
kriterium	kriterɪim
kritiker	kɾitikɪ̞r
kritikerroste	kritˈiːkːɛrˈuːstə
kritikk	kʁitˈik
kritisere	kˈitːiseːra
kritisk	kʁeːtˈɛsk
kritt	krˈɛt
kro	kɾuː
kroatia	kɪɾwɑɫqsɛ
kroen	klˈuːɑː
kroene	kruːɐnɐ
kroer	kruːr
krok	kruːk
kroken	kruːkən
krokene	kˈɾokkina
kroker	kruːkˈiːr
kroki	kɾukːi
krokodilla	krokodila
krokodille	kˈɾˈɔkʊdilˈlə
krokodillen	tɾukːudiliːn
krokodillene	kɾˈɔkʊdilɪmɛ
krokodiller	krokodiliːr
kroksjø	kruːtʃˈa
krokus	krʊkəs
kromosfære	kruːmosfaːra
kron eller mynt	krona ˈɛlər mˈynt
krona	krˈona
kronblad	kjruːnblˈa
kronen	krˈuːnən
kronene	kruːnuna
kroner	klˈuːnə
kronestykke	kronˈɛstˈʉkə
kronheim	krˈuːmhaɪm
kronhjort	tsɰuːnɔːtʃ
kronikk	kronˈɪk
kronisk	kruːnɪsk
kroniske	kronˈɛskˈa
kronologi	kʁonologˈi
kronometer	kronomˈeːtər
kronprins	krˈɔmprˈɪns
kronprinsen	kroːnˈpɾiːnˈsən
kronprinser	kˈɾˈɔnˈpˈrˈɛnˈtsˈɛ
kronprinsesse	grˈuːnprˈɪntɾəssˈa
kronstad	kronstˈa
kronvitne	kroːnvˈɪtna
kropp	kɒp
kroppen	krˈɔpən
kroppene	kropːəna
kropper	krˈɔppɚ
kroppsdel	kropstˈeːr
kroppshets	kropːshˈətˌs
kroppshetse	kropːshətːsˀ
kroppslig	kropːsle
kroppslige komplekser	krˈoːpslˈeː kˈɔmplˈɛksɛr
kroppslukt	krˈɔpslˈʊkt
kroppsskam	kʰɪːropʔskam
kroppsspråk	kroːbˈsprˈoːk
kroppstemperaturenhet	krˈoːpːstˈempəraːtˈʉrˈɛːnɦət
kroppsvarme	krˈoːpsvˈɛrme
kroppsøving	krˈoːpːsøːvɛŋ
krotekaker	kruːt˦iː˧kakaːr˧
krum	krum
krummet	krˈɔmt
krusedull	krusˈɛdˈʉl
kruset endivsalat	krˈʉsət ˈɛn dˌɪvsalˈat
krutt	kyryt
kry av	kriːjav
kryddera	kɾiːdrɑ
krydderblanding	kredːerblˈadnɪŋ
kryddere	kɾidːara
krydderet	kɾˈjˈtdˈɾɑ
krydderi	kridɪri
krydderne	kɾiːtzɑɾnɑ
kryddernellik	krˈytːˈøːnəlg
krydderplante	krˈyddəplˈantə
krydderurt	krðˈrøtː
krydra	kɾɪddra
krydre	kʁˈdˈˈat
krydret	kɾidɾet
krykke	skrˈɛkːa
krympe	kʁˈɛ̃pˈtˈ
krympet	kjriːmˈpˈʉt
krype	kriːp
krypende	krʲipːɛnˈa
kryper	kɾˈiːtə
kryss	kɾʏs
kryssa	krosa
krysse	kˈrʏsa
krysse fingre	krˈʉsːə fˈɪŋrə
krysse veien	kros zˈɛ vˈaɪən
kryssene	krizˈsana
krysser	kɾˈɪssɪr
krysset	kryssət
kryssfiner	kˈrɪsˈfˈiːnə
kryssord	kresow
krysstoktskip	kristoktʃip
krystall	kristɑl
krystallklar	kristɑlkʎar
krystallkule	kristalkjoɾɛ
krystallografi	kˌyʃtˈalˈɔgrafˈi
kryster	kɾˈɪstɪr
kråke	krokke
kråken	kroːkən
kråker	kroːkˈeːr
kråkerøy	kruːkːerˈej
kræsjkurs	kræʃkʲyʃ
krøkle	kˌɪrəkkˌɪrˈa
krøll	krøl
krøllalfa	krarlealfa
krøllen	kr̝øːlˌ
krøller	kørɛnlær
krøller sammen	krˈølər samən
krøllet	krˈœllət
krøllete	kɾˈɛllˈestˈ
krølltopp	krøltˈɑp
krøp	kjløøp
krøpet	krˈøːbˈɯt
krøpling	krˈœppːlˌiŋ
krøtter	kratːər
krøyp	kɾæjp
ku	kjuː
kua	kua
kube	kˈyb
kuene	kuna
kuer	kʉr
kuk	tyˀ
kukk	tsʰɯkk
kul	kʉl
kulde	tʃoːlilˈlɑ
kuldegrad	kˈʉlːəgːrad
kuldegrader	kynlæjɾadɪ̞r
kuldeklare	kjʊlːkɾa
kulden	køkø
kule	kylˈa
kulen	kyljħ
kulene	kʉlna
kulepenn	kˈylˈʉpən
kuler	kˈyːlər
kulere	kˈʉlərə
kulespiss	kˈʉlˈɛspɪss
kulest	kʉːlˈɛst
kuling	kˈyːlɪŋ
kulisse	kyljsˈ
kull	køːl
kullsyre	tylsˈiʁˈa
kult	kilt
kultur	kultˈʉr
kulturarv	kultyːrˈɛ
kulturell	kˌʉltˈɾəl
kulturell appropriasjon	kˌʉltʉrɛl ˈɑprɔbˌɾiːˌɑˈʃuːn
kulturelle	kʏltʏrˈɛlla
kulturelt	kˌʉltˈʉrɛlt
kulturen	kʉltˢiːˀðˀ
kulturene	kʉltˈyːne
kulturer	kˈʉltˈyr
kulturmelk	kʏltʏrmək
kulturmelken	kʉltˀʉrməlk̊in
kulturminister	kˌʉltˈʉrminˈɪˈɛstˈər
kulturminne	kʏltyːrmɪnːə
kulturrelativisme	tˈʉltˈʉrɛlˈatˈɪvˈɛsmɑː
kumle	kumla
kumlen	kʊml
kumlene	kumləˈna
kumler	kumre
kun	kʏ̞n
kunde	tʃu
kunden	kønˈɾ
kundene	tˈɛnnˈə
kunder	tʏ̞nːdʏ̞
kunders	kyndyʃ
kunderådgivning	kˈʉndøːrˈɔdˈɛɾevnˌɪŋ
kunne	kynne
kunne tenke seg	kʰʏnne tʰæŋk ðˈiː zˈaɪ
kunnet	kʏ̞nne̞t
kunngjøring	kynjøːriːn
kunnskap	kʏnstˈɾˈap
kunnskapen	kynskaappɯn
kunnskapene	kynˈzˈkapˈɯnˈnɑ
kunnskaper	kʏnskapə
kunnskapsrik	kˌʉnskapːsrɪk
kunst	kʏnst
kunsten	kynstˈɛn
kunsternes hus	kʏ̞nstnɪ̞rˌænt sʏ̞s
kunstferdig	kˈʉnstfˈæːrdˌiː
kunstferdige	kʏnstfˈaɾlˌiːɾ
kunstgress	kʏnstgrɛs
kunstig	kynstij
kunstig befruktning	kˈʉnsti bəfrˈʉktnɪŋ
kunstig innsjø	kynstˈiː ˈɪnʃə
kunstig intelligens	kˈʉnstˈiːnt lˈɛgˈɛns
kunstløp	kˈynstløp
kunstløpene	kˈʉnsløːpəna
kunstløpet	kynstløpø
kunstmaler	kˈʉnstmɑːlˀlɛr
kunstmalere	kynestmalˈɫɯrɯ
kunstmaleren	kynstmɑɫɑr
kunstmalerne	kønʃtɯmaǎɫdɑnɯ
kunstner	kˈʌnstmɛr
kunstnere	kʏnstnˈɛ
kunstneren	kynstnˈˈɛr
kunstnerisk	kʏnsŋɪk
kunstnerne	kynˈstnɜnˈa
kunstnerness	kʏnstnɛrˈnæs
kunststoff	kønstøf
kunstverk	kˈʉnstvˈɛrk
kupert	gypɛrt
kupert etappe	kʰʊpərtə tˈɑːpə
kupong	kupom
kupp	køp
kuppe	kʏ̞pːæ
kuppforsøk	kʏpːfˈɔɹʃøːk
kur	kʉr
kurder	kʏridir
kurdisk	kylˈdˈɪsk
kurdistan	kʏlgizdɑːm
kurere	kyɾˈɛɾɛ
kurre	tkylʁœ̃
kurrer	kʏddɪdɪd
kurret	kyllˈət
kurs	kjˈuʒ
kursene	kʏ̞nʏ̞ʂɪ̞nɑ
kurset	kyˈʃˈ
kursiv	kɔʃˈiv
kurskvelder	kˈʉʃkvˈɛlər
kursrom	kˈʉʃˈɛɾɔm
kurt asle arvesen	kʉtˀ ˈasl ɛ ɑrvɛsn
kurtise	kˈʊtˈiːs
kurtisere	kytːiːsˈeːɛdˌa
kuruke	kyːrykːɛ
kurv	kœɾyf
kurvball	kʏrvbˈɑl
kurve	kʏ̞rʏbæ
kurven	kʏløzøn
kurvene	kʏlɪwɪlnæ
kurver	kʰiːxˌʁabˈ
kurvet	kiba
kusma	kysmak
kusmaen	kysˈmɑn
kusmavirus	kussmavirˈus
kutt	kyt
kutte	kʏ̞tːɪ̞
kutte opp	kʉtːə ˈop
kutte ut	kʏtːa yt
kuttene	kʏ̞pnʏ̞
kutter	kytːɪ̞r
kuttet	kʏ̞tːɪ̞t
kutting	kɵtːiŋ
kuwait	kʉvˈalt
kuøye	kyːøjeː
kvad	tˢe̞vaːn˩˩˦
kvadrant	tˈiˈʁɑnt
kvadrat	kvadrˈad
kvadratkilometer	kvadrˈaːtxɪlˈomɛtɪ
kvadratmeter	baldrãːtsʲnʲæ̀i̯tʲɪ
kvae	kvar
kvakksalver	kɪ̞wʊ̞qsɑɫɯ̞ldɯ̞r
kvalifikasjon	kvaɫozʲikasu
kvalifisere	kɛvˌɐ̃leˈfiseɾɐ
kvalifisere seg	kɔlɛ fisˈeɾə sˈaɪ
kvalifisering	kwˌɑlɨfisˈeɾəm
kvalifisert	kvarleiːsært
kvalifiserte	kvalifjzɛrtɛ
kvalitet	kvaliːtˈɛːt
kvalitet på	kvalitɛːt pɔ
kvaliteten	xvaliːtˈɛːtən
kvalitetene	gvɑliˈtɛːtno
kvaliteter	kvˈɑlɪtɛtɛr
kvalitetssikring	kvˌɑliːtˈɛtsɪgrˈiŋ
kvalm	kɫau̯
kvalme	kvælˈlæmæ
kvalmt	kvarnt
kvalsvik	kvˈɑlsvˈiːk
kvalt	kvˈɑːlt
kvalte	kvˈaltˈa
kvaløya	kvalˈajo
kvam	kvˈam
kvantefysikk	kvˈantˈəfˈysiːk
kvark	kvarjk
kvarken	kvarkɛˈn
kvart	kʁwˈa
kvart over åtte	kvˈɑːt ˈoːvər ˈɔtːə
kvart på sju	kˈɔt pˈoː sˈʉ
kvartal	kɔːtɔːl
kvarter	kɔtˈer
kvartfinale	kvartˀfɪnalə
kvass	klˈas
kvast	kvˈast
kvede	kvʲeda
kveden	kvˈeːrdən
kvedene	vˈɛrm
kveder	kvədər
kveik	kvˈəik
kveim	kvˈaɪn
kveite	kvajit
kveld	kvˈɛl
kvelden	kvˈɛlən
kvelder	kvˈɛllˈøː
kvelds	tˌvˈɛls
kveldsmat	kvˈɛlfmˌɑt
kveldsmaten	kvˈɛlsmɑːt�en
kveldsnyhetene	kvˈɛlːsnˈiːhˌeːtnə
kveldsnytt	kvˈɛlsnʉt
kveldsåpen butikk	kvˈɛlsoːpən bˈʉtɪk
kvele	kvˈeːl
kvelende	kvˈaːrdˈeːn
kvelende røyk	kvˈældən rˈøːjk
kveler	køølø
kvelerslange	kværðeːʃlˈɑŋə
kvelerslanger	kvˈɛløʃlˈɑŋr
kvelertak	kvˈeːlətˈɑːk
kvelt	kvˈeːrst
kvelte	kvˈə
kverke	kvˈɛrkə
kvern	kvˈˈarn
kverne	paːn
kverneland	kvˈɛːrnəlˌɔn
kverner	kværneɾ
kvernevik	kvˈˈɛrnvˈɪk
kvernstein	kvarˈnstaɪn
kverulere	kvarˈulˈeːre
kverulering	kvˈɛllˈulˈjərˈ
kvie	kvˈeː
kvie seg for	kvˈiː ˈɛs eɪ fɔɾ
kvige	kvig
kvikk	kvikː
kvikk lunsj	fikklʏnʃ
kvikksølvet	kvikseɾle
kvilekvål	kvijˈlekvɔl
kvileslaust	kliːl˩sl˩us˥˩
kvinesdalen	kviːnɪstˈɑːrn
kvinna	kvˈɛnna
kvinne	kvinnɛ
kvinnedagen	kʲiːnnædæɾgæn
kvinnefiendtlig	kvˈɪnnˈɛfjˈɛntli
kvinnefiendtlighet	kvˈɪnərfˈɪːntlˌiːghˈət
kvinnefotball	kvˈɪnənfˈʊtːbˈal
kvinnelig	kvinniv
kvinnelige	kvinnlɛ
kvinnemenneske	kʲivɪ̞nnʲɪmænɪ̞sgæ
kvinnemishandling	kvɪnˌnəmɪshˌandlɪŋ
kvinnen	kvɪ̞nˀ
kvinnene	kvinn
kvinnens	kvinnənz
kvinner	kvˈɪnər
kvinnesyn	kəvinnəsiːn
kvinnfolk	kivinfol
kvinnherad	kvˈɪnhərad
kvintessens	kvintəsens
kvise	kvˈiːs
kvisen	kvˈiːf
kvisene	kvisna
kviser	kvˈiːsər
kvist	kvˈɛst
kvitbjørn	kvitbjˈʉrn
kvitfjell	kvitˈɛjl
kvitre	kvˈɪtrə
kvitskriuprestein	kvitskrˈyːrprˈɛstən
kvitte	kvita
kvittering	kvitːrˈɛk
kvitteringen	skrˈɪteːrˌɪŋən
kvitteringene	klitˈɛrɪŋən
kvitteringer	kvitɪrˈyn
kvitøya	kviteːjˈɑ
kvote	kɪbuɫtːɯ̞
kvæfjordkake	kvaːfjˈʊlkakːe
kygo	kigo
kykeliky	tˌikːlˌɪki
kylling	ʃiːdljɴ
kyllingen	kˈyllːiŋən
kyllingene	kjʉlˈlˈiŋna
kyllinger	kjʉlliːŋer
kyllinggryta	tʃillˈiŋgriːtˌa
kyllingkjøtt	sjˈɪlːiŋsjˈʌt
kyllingkjøttet	skillˈintʃˈɛtːa
kyllinglår	tʃiːlːɪŋlˈuːr
kyllingsuppe	ʃiʃljˈnˈgisʏˈpɯ
kyndighet	ʃimd̪iɦæt
kyniker	ʃiːnɪkɪ̞ɾ
kynisk	ʃiːnɪsk
kynisme	ʃiːnism
kypriot	kipriut
kyprioten	kipriotun
kypriotene	kipriˈjɑwˌutna
kyprioter	tʲɪpːɾʲiˈɔtɪ̞ɾ
kypriotisk	kipriutesk
kypriotiske	kʏpːɪ̞rjuːtɪ̞ske
kypros	kiprof
kyr	ʃiːr
kyrkjebø	ʃi̯rʃi̯bːø
kyrksæterøra	siʃksaʃtɛrea
kyrne	ʃiːnɛ
kyss	tʃɪs
kyssa	ʃtʃɒ
kysse	ʃiːs˦
kyssene	ʃaʃnɛ
kysser	ʃiːʃsɪb
kysset	ʃusˈtˈ
kyst	tʃʲist
kyste	tʃɪsta
kysten	ʃɪstɪ
kystene	tʃistnɐ
kyster	tʃɪstɪdʒ
kystfisk	tʃˈistʁɛsk
kystjegerkommandoen	ʃiʃtiʝɑgʲirkʊmɑŋdɔn
kystklima	ʃiʃtklima
kystriksveien	tʃʏztɾɪksvˈæn
kystvakt	kˈɛstfakt
kystverket‎	sistvarkæ
kåfjord	koːftiːoːr
kågen	kog̝ɛn
kåk	pok
kål	poɫ
kålen	koːlləŋ
kålorm	kɔɔlɔrm
kålrabi	ko˩˥ːrɾɑ˥˩be˥˩ː
kålrabien	koˀɾabˀin
kålrabistappe	kɔldraːbɪstˈɔpːa
kålrot	kˈɔlɛɐɹˈuːt
kålroten	kˈɔrɾˈaʊtɛn
kålrøttene	kˈoːrɾˈɛtna
kålrøtter	kˈoːrrˈɛtːiːɾ
kåpe	χoːp
kåpen	kˈoːpən
kåpene	kɔpna
kåper	kɔpːɪr
kår	kˈoɹ
kåre	kˈɔrə
kåre nordstoga	kˈɔrə nˈoːʃtˌoːgɑː
kåre willoch	kara vilˈoː
kårer	kɔːɾeɾ
kåret	kˈoːrət
kåring	kˈuɾɪŋ
kåt	kˈɔt
kåte	kˈoːtːɑ
kåtere	kˈotʁə
kåtest	kˈɔɹtɪst
køben	ʃøbʲɪn
