'ржена	rʒɛna
луд	ʁˈu
лудо	ɫudo
лук	k
лукавиот	mukaːm
луксембург	øzɛmburɟ
лупа	lupa
лупи	luːpi
лустер	ɫustar
лутеница	ljutejnitsa
лутер	butɛr
лутециум	plutetsjum
лутина	lutina
луѓе	lon
луѓето	lˈˈugɛtˈo
луња	ɫunʲa
маани	mani
мавританија	mavritˈanijˈa
маврициус	mabritsiʊs
магариците	mɑgɑritsʲita
магдебург	makðeβ̞uɾɣ̞
магла	magla
магнезиум	magmezjum
магнетно	magnetnɔ
мадагаскар	mˌaˈdˈagaskar
мадрид	madrit
маж	mˈɛʃ
мажи	maʒi
мажот	maʒɔt
мазен	mɑːzɪn
маица	majd
маици	mˈaɪ
македонец	mˈˈakˈeˈdoˈnˈɛtˈsˈ
македонија	makedonˈia
македонка	mˌakˈeðoˈunka
македонска	makːəlˈansgˈa
македонска каменица	mʁakˈe tˈe dˈons kˈak ɾamˈe nˈitˈa
македонски	makaʝos
македонски брод	makˈedɔnski brod
македонски парламент	makˈiðo um sˈkiɾ paɾlamentˈ
македонските	maːkˈdiːtədʒˈudtʃoːzˈɔnˈesˈottʃ
маки	mˈɑk
мал	mau̯
мала	mala
мала речица	mað̞aɾekj po
малави	malabj
малата	maɫatum
малезија	malˈeˈvja
маленков	malenkov
малечки	maletsʲkʲi
мали	male
малигнен	malʲignẽn
малиот принц	maljˈuːt pɾˈints
малку	malkum
манастир	manastɪr
манга	maŋaa
манган	mɑŋgɐn
манекенка	manekɛnkɑ
манхајм	manhajm
манџа	mandʒo
марама	maːrama
марами	maːrˈeɪˈɛm
марио ѓуровски	marɪo dʒurovski
марки	mˈaɾk
мармалад	marmɑɫad
мароко	maropo
март	mɑːrð
марта	marta
мартин	mɑɾtɪn
мартин богатинов	maɾtʃɪn βoɣatʲinoff
марш	marʃ
маса	masa
маси	masius
маски	mˈas
масла	maːfˈuɾˈ
маслинки	mɒslik
масло	maslo
маст	mˈʌst
масти	mˈɑst
материцата	matɛritsɐda
материјализира	materializira
матеј	matˈej
матурира	mat̪oɾið̞a
маче	matʃe
мачка	matʃka
мачки	matʃki
мачор	matʃor
мачори	matʃori
машина	maːʃiːnɐ
машко	mˈɑʃk
мајка	mˌaɪkˈa
мајка тереза	majka tɛreza
мајмун	maemɔn
мајнц	mˈaɪnz
мајстор	maɪstɔr
мајтнериум	mãĩ̯tmɛɾjʊm
мајчин јазик	maj tʃe niasiŋ
маџир маало	ma dʒoɾmalo
ме збуни	mezbuni
мед	mˈɛt
медиум	medjum
медицина	meditsime
медицинска	miditsinska
меко	mˈɛkʁ
мексико	mɛksiko
мелбурн	əlbun
меморандум	memorandum
менделевиум	mendilevjo
мене	mene
мени	mene
менува	mʃˈe
менуваат	menuva
менувањето	mɪnʊvaːnjɛtɔ
меркур	mʲirkʲuɾ
месец	mɪsɪts
месецот	mˈɛsɜzˈɑl
месечина	mesetʃinã
месечината	mɛzˈetʃˈinˈatɛ
месо	miso
места	mesta
место	mesto
место на живеење	mɛstɔ na ʒivɛjɛnɛ
местото	mʲestɨtu
метал	mˈeɪtəl
метална	netˈɔm
металната врска е хемиска врска која ги поврзува атомите во металите.	mɛtalˈnɔtɛ ʋrska je imitska ʋrska koɛ gi poʋrzuɫa to mitɐ ʋumɛtɐlitɐ
металург	mˌeˈtˈaðuɾˈɟ
метаморфоза	mˌetɐmˌuɾəfˈuzɐ
метафизика	metafɪzjɛkɑ
метеорити	mortoteoliti
метра	lʲetska
метро	metro
мечето ушко	metsɛ tɔ ʊʃko
мечка	mɛtʃka
мечки	mɛdʒ
мешан	mɪsʃɑŋ
меѓа	mˈeɣa
меѓу	með̞ʝu
меѓународен	mʲegjɔnärɔdɛn
меѓутоа	migjutɔa
ми се сака	mitsɨtsɑk
мие	mˈie
мизерно	miseɾno
микрофон	mɪkɾɔbɔn
миладиновци	mjulatɛnovtsi
милиони	miliɔni
милитаристичко	miliːtoristitʃko
милијарда	biljardam
милијарди	miliardɪ
милост	ɛst
минерална	mʏ̞nʏ̞rɯ̞ɑɫnɯ̞
министер	mʲinʲistʲɚ
министерство	ministrzto
минлив	mˈillˈif
минлива	miliːvɔ
минск	mˈil
минувач	mɪnubat
минхен	mˈiːnxˌɛn
мир	ir
мира	mira
мириса	mjˈrisa
мирни	mʲirnɨ
мирните	miːrnitːæ
мирољубив	niːrɑːluːbiːθ
мислат	mislat
мислеа	misle
мислењето	nʲislʲinʲeto
мисли	mjˈsle
мислите	mislita
мислиш	mˈisliʃ
мистиката	mistiˈkata
мистицизам	ɛstɛtʃjzɐm
мит	mʲit
митко чавков	mɔɾɔˑɔkʰɔ tɕaaf kɔd̪
митриќески	nitrikezkʲa
млад	tvˈat
млада	mɫadɐ
млади	mɫadɨ
младост	mladʊs
млазен	laðɯn
млеко	mlɛkɔ
многу	mnɔgu
мнозина	mnuziːma
мнозинство	mnɔzɛnsdɔ
мобилен	mobila
мобилен телефон	mobile en t̪elfon
модар патлиџан	mʊ̞ðær pa kɪ̞ɟən
модел	mɔdɔm
моделира	mudɛlira
моето	mwɛt
можам	moʒam
можат	moʒat
може	moʒɛ
можеби	moʒɛbi
можел	moʒɛ
можела	moʒala
можете	moʐato
можеш	mɔʒɛʃ
можност	moznos
мозамбик	mɔzɑːmɛnek
мозок	mˈuzak
моите	mɔjtɛ
мокар	mokaɾ
молам	mulɑm
молец	mˈʌlɛts
моли	moli
молибден	muːliːbɨdɛn
молив	mulɪg
моливи	molivɛ
моливче	mˈʊɭɪk
молитвите	molið̞it̪a
молци	moltʃ
молчи	moltʃi
момент	mˈoːmənt
моментални	momentaume
моментално	momentornalno
моментна	mɔmentna
моментов	momɛntɔv
момчињата	mumtʃimɲɛta
монако	monako
монастир	bonast̪eɾ
монизам	munizm
монструми	monstrumi
монтевидео	multaivideo
монумент	monumˈɛnt
монументални храмови	monumɛntalni xramovɪ
мора	mora
мораат	mora
морава	morava
морал	moɾal
море	morɛ
морков	monkɔv
москва	mˈoskva
мост	must
мостови	mʊstoj
мостоградбата	mɔʃtɔgraːtbata
мостот	mˈostʌt
мото	moto
мотор	motor
мошне	mɔʂnɔ
мојот	mˈˈɔjˈut
мојсеева	mojsɛva
моќ	mˈok
моќи	mˈuːt
моќна	mokʲiːna
моќната	moqnʲadɑ
мраз	mɾas
мразам	mraːzɔm
мрежа	mrɛʒa
мрежи	mɾɛz
мрзеливи	brɛzʲilɪvi
мртви	mrtve
мртовец	mrtʊvɑts
мртовци	mrtuvtsi
му	mˈo
му го истргна писмото од рацете.	mɔgu jiʃtrngɔna pɪsɫɔt ɔd ratsɛda
муабети	muːʔabti
мува	mova
мудар	muta
мудри	mˈudri
мудрост	mudros
музеј	muzˈe
музика	musika
муслимански	musliːmɑːskiː
мустак	mustak
мустаќи	mustak
муцка	mutska
мушичка	mɔʃitʃka
нè	ne
на	nˈa
набабрува	nabapruva
набрзина	napɾezjma
навалува	navaɫova
навика	navika
навики	naviki
навикнува, се	na bixnaβ̞
навистина	naviˈstina
наводници	navodnɨʲtsɨ
навреда	navrɛda
навредат	navrɛdat
навреди	navredɨ
навредува	navrɨɣˈela
навредуваш	nɐvɹˈedʊvˌɐʒ
нагласи	naglaʃɪ
нагоре	nagɔɾɐ
над	nav
надвор	naːbwɔr
надгледува	natglɛdɔva
надзор	nˈatzɔtʃ
надоградба	natuɣradba
надополнува	mnɐɦɔpɔɫnɔva
назад	nazak
назарет	næzæɾet
наместо	namesto
намибија	namibia
намигнува	namɪgnua
нанеле	nanele
нанесени	nanitseni
наострен	naɔstɾɛn
наочари	naoˈtsɛri
наоѓа	naogɛ
напад	nˈapˈad
напасникот	napasnikɔt
напнатост	natnɔtɔst
наполитанки	napuɫitaanke
наполниш	nɐpɔmɯs
напорно	napornɔ
направа	napro
направам	napravam
направи	napravi
направила	napɾɑbila
направиме	napravimɛ
направиш	naprojiʃ
напред	napɾəd
нарав	naraf
нараквица	nɔrakritsa
нараквици	nrakɯt
нарачав	nˈɑrˈatʃˈɑ
наредна	nɑɾɛn
наредниот	narɛdnˈɪut
нарековме	narɪkʊfmæ
нарекувала	nˈɛrɪkuˈvˈala
нарече	naretʃe
наречена	d̪aɾent̪s̺
народ	narot
народи	naːrɔdi
народна република кина	narodna rɛpublika kina
народно	nɑˈrɛdnɑ
нарушена	nruːtʃana
нарушување	naruʂɨwaɲiɛ
нас	naf
населба	maːsoˈba
населба автокоманда	mʌsˈog vˈɑ ˈaftɔkɔmˈanˈdˈ
населба аеродром	nɑsɛ vɑ ɑːrɑdɑm
населба бутел	as al ba bɫutɐl
населба водно	naˈsalva vodna
населба железара	nɑsɛ va ʒɛlɛ zaɾa
населба илинден	naːsːɐɫ ʋai̯ɐɭiːnd̪ɐn
населба карпош	nasau bakarpoʃ
населба козле	naːsɛ lbɐ koːzɫe
населба лисиче	nɐsɛʊ balɪsit
населба методија андонов ченто	aɣo metuðia antono ftʃɛntɔ
населба нерези	nas tɨlβa nɛzdi
населба ново лисиче	nɐsɛɫvɑn nɔvɔ lesitʃɐ
населба радишани	nasˈn oˈra diʃtʃɔnɪ
населба сарај	nasˈl basˈɐrˈaj
населба тафталиџе	nɑso batɑftɑɬɪdʒɛ
населба хром	nasɛɫ baχrɔm
населба центар	nasˈal batˈ sˈentˈɾ
населба чаир	naːsɛl bt̪ˈtʃɑːj
населба шутка	nas au̯ ba ʃuð̞ka
населба шуто оризари	nasɛɫbaz ʃutɛ ɔɾizɛvi
населба ѓорче петров	nasalba dʒortʃa petɾo
населено	nastselano
населуваат	nasjɫuvad
наследник	naːslɛbnik
наследници	nastʂɛɛdnɛtsʲ
наследство	naslɛtsto
наслов	nˈɑstɭʌv
насловна	naˈsɫɔvna
насмеано	mɛsmɛanɔ
насока	naˈsˈl
настава	nɑːstɑʋɑ
наставна	naastau̯na
наставник	nɑstɑvnik
наставникот	nɑstɑvnikɔt
наставници	naztau̯nʲitsʲ
наставниците	nastau̯nʲitsʲitsʲa
настан	nɐstən
настанат	nɑstɑnɑt
настани	nastæni
настроен	nastro
насушен	natuze
нато	nato
натриум	naːtɪ
наука	mau̯
науката	naokata
науки	nˈauk
наутро	malpro
научи	nautʃe
научиш	nautʃis
националистичко	natsjɔnalistitʃkɔ
националност	natsʲonaɫmɛrˈsɛ
начин	natʃin
наш	nˈɔʃ
нашата	naʃata
нашето	naʃɪtu
наши	naʃi
нашиот	naʃɪɔ
нашите	nɛtʃitɛ
најавува	najaˈvo
најблиската	najblizkata
најважна	najvˈaʒnˈa
најважните	najvaʒnʲitɛ
најверојатно	najvjerojɛtno
највлијателната	najvliatɛɔnata
најголема	najgɔlɛma
најде	nˈaɪvɚ
најдеш	najð̞ɐs
најдобрите	najdɔbritɛ
најдобро	najdobrɔ
најзначајната	najznatʃajnɛta
најмала	najmala
најмалку	najmalɣˈu
најмногу	najmnogo
најчест	nˈaɪtʃɪst
најчесто	najtʃɛsto
не	ne
не знаат како да ми објаснат.	ne ˈznaat kako da mi uijasnats
не ми го губи времето	nɛ mi gɔlgubi w rɛmɛ tsɔ
не сакам	nɛsakam
неa	nˈɛɹ
неадекватност	nɛadɛkvatnɔst
небесата	nɛbɛsata
небесен	nebɛsɨn
небо	nɛbɔ
небото	neboto
неверојатно	nɛvɛrɔˈjɛtno
неверство	nɛjverstɔ
невести	neˈuːt
невиност	nevinos
неволјата	nɛvoˈlɛb
негативен	nɪgɔtɪvən
негира	mɛgira
негирал	ngɛrɔ
него	mul̪t̪o
неговата	nɛgɔvat
негови	nɛgovi
неговите	miːnggɾˈetʃe
негово	negɔvɔ
неговото	nɛgɔvɔtɔ
негодува	negɔduˈɑ
неготино	negotimɛ
недела	nɛdɪɫa
недели	nˈedˈeˈli
недостасува	nevɔstaːsɔva
недостаток	nˈedˈostatok
недостиг	meːdoːstʃiːd
нееднакво	nɛjɛdnɑk
независност	mɛzɑˈvisnʊs
незавршен	neˈzɒvɾʃiŋ
незаконско	nɛzaˈkonsp
незгода	nɛzgɔda
нека	nək
некакво	ne˩˥ːkɜ˥˩k˥˩
некогаш	nekogəʃ
некое	nekɔɛ
некои	nekoj
неколку	niːpɔpɔ
некомпетентен	ekompetentem
некому	nekɔmˈu
некој	nekɔj
некоја	nˈɪkˈoja
нема	nema
немаат	næmˈʔæt
немаш	nɛmaːʃ
немаше	neˈmassa
неменлив	nemenʲ-liːf
ненад	nɛnad
необичен	neɔbiiˈtʃɔn
неодговорност	nejɔtgɔvɔrmust
неодиумиум	neodiʊmɪu
неодолив	nɛoːdɔljf
неодоливо	nɐ̃ʊ̃dˈoleʊ
неон	neon
неопходни	neupɔni
неорганизираност	nɛɔɾɠɑˈnizirɐnɔst
неочекуван	nɛoˈtʃɛkuvan
неподносливо	nʲepodnosɫɨvu
неправедно	nɛpravɛdno
неправилно	nɛpravɪvna
непрекинато	numepɾekinato
непренебрегнувајќи	neprenamrɛgɫuvajke
непристојно	nepristoino
непријатели	nepriateli
непродуктивен	nɛpɾɔduktiɛn
нептун	neptu
нептуниум	neptunjum
непушач	nepusatʃ
нерационалност	neɾɔtʃɔnalˈmɔs
нервозна	nɛrvɔzna
нерешено	ɣ̞ɾeʃano
несакано	nəsakanu
несвест	nesus
несогласувањата	nɛsɔgɔsʊvaɲata
несогласување	lʲesupɫosˈuvˈ
несомнено	nˈəsˈomnɛnˈ
неспоредлив	lasporenglif
несреќа	nesrika
несреќно	nɛsɨɾɨkˈinɐʊ
неуморни	neumɔrnw
нечист	ne
нешто	neʃto
нејасна	nʲejesna
нејзин	mezin
нејзината	nejzʲinata
нејзини	nejzmi
нејзиниот	nɛzˈɛˈnjoʊt
нејзините	nɛziljta
нејзиното	najzjnoto
ни	niːt
нив	ɲˈiːf
нивно	nivno
ниво	nivˈo
нивото	nivɔtɔ
нигер	nˈigɚ
нигерија	migɛria
ние	niv
низ	niz
никаква	nikakva
никаквец	niːkɛkvɪts
никаков	nikakˈof
никел	nˈitʃɔ
никогаш	nɔkɔgaɕ
никого	nikogo
никозија	nikɔzja
никола груевски	nikoɫa gruevski
николовски	nʲikoɫɔfski
николче новески	niːkol tʃeˑ nõˑ vɛzɟi
никој	nˈikoj
никулец	nikulɛts
ниобиум	nˈeoˈbjum
нирнберг	nɪ̞rnbærk
ниту	nitu
ничкосува	nitʃkɔsua
ништо	nisto
но	nˈo
нов	nˈɔf
нов зеланд	nˈɔv zˈɛlənd
нов ред	nʊ fɹˈed
нова	nɔβa
новата	nʊvatʃa
новела	malbɛɫo
нови	novi
нови редови	nɔvɛ rɛtɔvɛ
новиот	novjɔt
новитет	nɔvitɛt
ново	nˈɔvʊ
нововековна	novɔvɛkɔvna
нога	noga
ноември	dojembrj
нож	nos
ножици	nˈoʒdɛ
нозе	noze
нокот	nokɔt
нокт	nokt
нокти	nopti
номинализам	nɔminɑlizɑm
нонстоп	nonsˈtop
норвешка	nˈoɾveʃka
нормално	noɾmom
нос	nos
носиме	nɔsime
носорози	nuzroːˈzi
ноќ	nˈotʃ
ноќи	nˈok
нудат	nˈuda
нужда	nuzdu
нула	mˈoː
нурка	nˈurka
обвинува	ɔbvinɔva
обвинуваат	ɔbviːnuːʋaʔɔt
обврзница	obvrɛznɪtsa
обединетото кралство	oˈbɛdi nɛtɔt ɑktralstɔ
обезбеди	ˈoːlˈɛzbˈɛɹ
обезбедува	po˥˩ːbɛzbɛtʊvɔ
обемно	obɛnnu
обесен	ulbɛsɛn
обесени	obbejsen
обетки	ubɛtkʲi
обид	ɔbi
обиде	abide
обидете	obidɛtɛ
обиди	umbidi
обидов	ubidov
обиколка	obikoɫkɐ
обиколки	objklkʲi
обичен	oːˈbɪtʃən
обични	ubitʃnɨ
обично	ɔbitʃno
облак	oblak
обланда	blamda
облека	ubljka
облекувам	oblɛkuvam
обновена	pogunuɔvɛna
обоено	ˈubojam
обожува	oboʒuma
обработен	o˩˥ːbra˩˥ːbɔtɛn
образовно	ɔbrazɔvnɔ
оброк	aːbrɔk
обувки	ubufk
објавено	objabeno
објавува	objava
објаснам	opietnɔ
објаснат	objaznat
објаснува	pɔbjɑsnua
ова	ova
оваа	ova
овде	ulʒuʃ
овен	oven
овие	oɦie
овие градби	ɔvjɛ gradbi
овозможува	ubozmoʐva
овошје	povoʃe
овој	obɔj
овче	oftʃɛ
овчеполе	oftʂɨpolɛ
оган	ˈogˌɑn
огледало	oˈglɛdɔʋɔ
огнена	oɣ̞nana
огниште	oɣnusdɑ
огномет	ɔbnɔmet
огорчена	ogoɾtʃana
ограничува	o˥˩ːgɾanitʃuva
огрев	ugrəp
огромен	ogrɔbɛn
од	ot
од бајкалското езеро	ot bajkaɫskoto ezɛr
одамна	ɔdɑmni
одбив	otbif
одбивање	otbivɐɲiɛ
одбивност	otbɪnɔst
одвоено	odvojɛn
одвои	udvɨ
одговара	pɔtguvɑɾa
одговор	odgoɦoɾ
одговорен	ɔdgɔvɔrɛm
одговори	dgɔvɔrʲ
одговорни	otpoɫonɨ
оддадени	odadani
оддалеченост	propagandistaitʃagɑn
одделение	qudhəlɪŋiː
одделува	pobɛlula
одење	odinɛ
одзади	pɔt̚za˥˩ːdi
оди	odil
одлучете	ɔdɫutʃɑda
одлучила	potnutsɨu̯
одлучува	otmutʃoˈa
одмазда	ɔdˈmɑzda
одмор	udmur
одморите	tɛmo˥˩ːrite
однесување	ɔdnɛsʊvɑɲiɛ
одново	udnuɣu
однос	ɔdˈnɔs
односи	ɔdnɔsi
односно	ɔdnɔslɔ
односот	olmuˈsum
одобрение	udobrɛjnɛ
одразува	ɔdraːzɔva
одразуваат	odrɛzuːvaːr
одредете	ldɾɛvɛtɪ̞
одредувањето	ɔdrɛdufaɲiɛtɨ
одржува	ʊtdarʒivɔ
оживеат	ɔzɨe
озлогласува	ozɫɔgɫaːsva
озрачени	uzratʃeni
ока	oka
океан	oke
океани	okeane
океаниjа	okɛäniːjɒ
океанот	okeamok
оклопен	okɫɯpɛrd
око	ɔːkɔ
околни	okul
околност	okɔmɔst
околности	okonost
околу	okulu
округло	uqruβ̞lʲ
октави	aktɑmɪ
октомври	oktomvrɨ
оланд	olɒnt
оландски острови	ɔɫɑntsʲki ɔstɾɔvi
олово	olavo
олтар	ɔɫtaɾ
омилен	ɒmmˈɒlɒn
омлет	omlet
она	ona
онакви	unak
онолку	ɔ̃nˈɔ̃tə
оној	onoj
опасно	ofosmɔ
опатиjа	opatɛ
опаш	oapas
опашка	opeʃka
опаѓање	opaːɟanɛ
опера	opera
определува	ɔpɾɛtɛʎɔva
опрема	umpˈɾˈmã
опсада	qopsama
оптимално	optimaɫm
оптимизам	ɔptimɪzam
оптимист	ɔptimist
општество	oβ̞ʂtæstvɑ
општина	opstina
ора	aɾa
орален секс	ˈɒɹəlɪn sˈɪks
оратор	oɾat
оратори	ˈoratorɪ
ораторство	poɾaːtɔrstvu
орган	forsʲa
организација	ɔɾganizatsija
организира	ɔɾɣaniθiða
организирани	ɔrgɐnjðiɾani
организираност	ɔɾɠɑniziranɔst
организмот	ɔrgaˈnizmɔt
оригами	ʊɾigɑːn
оригинална	oriɣjnɑlma
ориз	oris
оса	posa
осаменоста	postamenuz
освен	osin
освоен	tɾˈvɑn
освои	ʊsˈvʊj
оска	pʊ̞sko
ослабел	ostɫɑbɪl
осло	osna
ослободува	ɔsloːbɔdua
основа	ʊsnˈʌv
основале	osnˈoˈvɑlɑr
основач	ostʃɔnʊvɯtʃ
основачот	osovɛtʃɑt
особено	pˈoskuvˈrˈɑŋ
особини	osobini
остава	pɛnvɑːr
остави	postavji
оставка	oːstɔːfka
останавме	oːstɑːnɑfmɛ
останат	ospoŋut
остане	estan
остар	pʊstɑr
остаток	ostɯtɯk
остварува	astvarua
острови	o˩˥ːstro˥˩ːvi˩˥ː
осум	ɑːlsum
осумдесет	usŋdɛsɛt
осумнаесет	osumnaz
осумте	osuntæ
отворат	aˈtvˈorat
отворен	ɫtɯ̞rən
отекува	otekova
отиде	al
отидовме	ɔtidɔfmɛ
откажувај	otˈokˈaʒʊlaj
откако	otko
отколку	otkoɫku
открив	oðkɾjff
открие	otkɾi
откровение	odkrovɛjɲɛ
оториноларинголог	ɔtɔɾinɔdɑɾingɔlɔk
оториноларингологија	otʊrjnɔlaɾjnɣʊlɔʁjɑ
отпечатени	otpɛtʃatɛnɛ
оттргне	otrɛgnɛ
отцепила	ɔtsɛipɪɫɐ
охрид	ɑxɾiːd
охридско езеро	ɑːxɾiːts koːˈjeː zɛrɔ
оцелот	ɵtsaɫut
оценка	pʊltsɪŋ
оценки	tsənk
очевидец	ɔtsiɛvidɛts
очекува	otʃekua
очи	otsi
очила	pɔtʃila
очув	ɔtsʃɔf
па	po
паган	pagɐn
пагани	taːgɐmi
паганство	pagɛnstvɔ
падна	padna
падот	pau̯t
пазар	pæzæɾ
пази	paze
паладиум	aˈlˈatiu
палачинките	toʁɑtsʰiːngʱit̪e
памтам дека	ãn tõm d̪iɣ̞að̞a
памук	tɛ̃ːn˧
пандан	tanˈdɑn
панкери	pankɾ
панорама	panoɾama
пансион	fansiõn̪
панталони	antau̯anj
пантеизам	fantɛizɔm
папагал	papagau
пар	vɑːr
пара	pˈaɾ
парагваj	puɾaɣo
парагвај	pɑːrɐglɛj
парадоксално	kʏ̞ræbʏ̞ksɑumɯ̞
пари	pɑɾi
париз	paris
парис	aɾˈjˈs
парк	pɑːk
паркинг	pɑːkɪŋ
паркиралиште	ɾakrɑlɪʃtə
паркот	paːrko
парламент на република србиjа	pɾlament na ɾɛpuβlikɐ sɛrbija
парламент на русиjа	paɾlamẽn̪t̪ na ɾussia
парно	faro
парови	varovi
парот	varotː
партизани	pɑrtiˈzaːni
партии	parti
партиски	partis
партија	pɾatia
партнер	kʰaːrdnəɾ
партнерите	pərt̪miɾit̪ə
партнерот	pɑrtʰnejɾːót
парфем	wartɯm
парфеми	pˌɛrfym
парцела	artsɛla
пасош	pɒsɾ
паста	past
пат	bat̪
патент	pat̪ẽn̪t̪s
патентирал	atentro
патики	patiki
патка	patka
патник	tˈɑtnik
патници	patnətɪ
патува	patua
патувања со образовна цел	pɐtuvɛjnʲa sɔ ɔbrɐzɔvnɐ tsɛl
патување во шенген зоната	pɔtubɛ ɲɛvɔ ʃtʃɛnkɛn zɔnata
пациент	pɔtsjɛnt
пациенти	patsienti
паѓа	paja
пајак	aja
пеjзаж	tˌezˈaʃ
педесет	pʲædɛstɨt
пее	pɪ
пекинг	pekiŋ
пекол	fiko
пеколот	rɛkːlt
пенал	peno
пенис	penis
пенкало	peɛimkalo
пенсилванија	pˌensilvˈɐnjə
пепел	ˈpiːpəl
пепелник	pʲaɛilˈnʲ
пеперутка	pɛpeɾutka
пеплосува	peplosɔva
пердув	pˈeɾədʊ
перек	tʲeːræk
период	peɾiʝɒt
перо	pero
персиски залив	beːˈjsizkiː zaːliːq
персиски јазик	tsɛrisɪskʲi ɑzɪk
перт	tˈɛrt
перу	pˈeɾʊ
перун	pirun
перфекционист	perfetsionisto
пес	pest
песимизам	peɾsimizɐ
песимист	pˌesimˈis
песна	bizno
песок	bizok
пет	kɔː˧piːt˥
петарда	met̪aɾð̞a
петел	tɛto
петнаесет	ʔtmɑːs
петок	etʊ̞k
петрески	pɛtrɛskiː
петровец	ɾɛproˈvɛts
пециво	petsiko
печатар	tetʃatau
печатач	petsʲatɑks
печка	pɛtʃka
печурки	piːʈʃɔk
пешак	ɛjʃɛk
пешаци	pe˥˩ːʃat˥˩ːts
пешачи	piːsatsʲ
пешкир	bɪ̞rkʲir
пешкопеја	dˌeskupˈeɪɐ
пештера	pestara
пештери	estiɾi
пиво	pivo
пие	pija
пиеја	pje̞a
пиење	pʲenʲ
пижами	piʒani
пикник	fʲik
пиле	pile
пилешки	piliʃk
пилешко месо	bila ez komeso
пингвин	pɛŋɠvin
пингвини	tigðini
пинск	pinsk
пинџур	pɪŋdʒuɾ
пиперка	ipərka
пиперки	pipərkʲi
пирамида	fʲiɾamʲiða
пирин	pirin
пиринска	pirinska
пирок	pirok
писатели	bisatel
писателка	kʲisdatɨɫka
писателката	tøtɨøzøz
питсбург	pˈitsbʊɾk
пица	titsa
пишува	pʲiʂuva
пишувале	iʃuˈbala
пијавица	piavitza
пијалок	pialok
пијан	pjjˈan
пијано	tianno
пијачка	piːjatʃka
плажа	blˈaʒɐ
плажи	blˈaxi
плакар	ɫakɑk
планета	planeta
планетата	tuːjɑːrneːtoːt̪oː
планети	planeti
планина	tuanina
планини	vaneni
планирано	lãn̪jɾãn̪u
пластелин	tuæstʃtjajlin
платени	latini
платина	platina
платно	ɫatna
платформа	kɫɑtfɯrmu
плаче	platʃe
плачеле	kɫɑˈʃɛlɛ
плаши	tvaʃi
плашиш	lˈaʃɨʒ
племето	leməd
плете	pleta
плеќи	pleki
плива	flˈiːbɜ
пливаат	ljˈβɑ
плин	pliːm
плинско	klinˈsko
плови	plovji
плод	klops
плодови	lɔbɔvi
плоча	tɔtsʰ
плочи	tɫutsʲ
плука	lˈukə
плутон	kputn
плутониум	lutˈonjum
по	tɔm
побарај	vəbaːraːj
победиш	toɢɒˈvɒdiʃ
победува	po˥˩ːbe˥˩ːdu˩˥ːa
побрзо	pɔbrzo
побуна	pobuna
повардарие	oɾdaɾiə
повеќе	pɔvjɛkjɛpojkj
повеќето	puβecɛtø
повисок	poɫɨzuk
повлече	pɔˈvlɛtʃ
повлечени	bɛtʃɛ
поврат	puːvrˈet
повраќа	oːbɾakɐ
повреда	oˈvɯlɯɾaˈda
повреден	pɔvrɛtem
повреди	povrɛdi
повредиш	povɾadɨʃ
поврзаност	uʋrɛzɛnost
површина	poʋɛrsina
површност	poˈvɛrʃnɔstɔ
повторно	ubtɔrnɔ
поглед	oglɛ
погледи	oɣɫeði
погледне	po˥˩ːlgʏlɛmmi
погледнеш	pɔglɛns
поголеми	po˥˩ːgo˥˩ːlɛmi˥˩
поголемо	uˈgɔlɛmɔ
погон	ɔɫgɔn
погреб	ugrɛp
погреби	pugrɛbi
погрешен	pɔgrɛʃɐ
под	pɔt
податоци	pɔdatutsi
подвижен	udvizin
подгорица	pɔtgɔrɪta
поддршката	pɔtrˈdɜrʃgɐtɑ
подебел	uldɛbil
поделба	pudɛlba
поделена	pɔdɛlano
поделува	ʊdɨɾuvɐ
подлога	pɔdɫɔgo
подмет	tɔdmɛt
поднапиен	pɔdnapɛn
подобрат	pɔdɔbrat
подобро	ɔdɔbra
подобрува	pɔdɔbrɔva
подолго	fodɔɫgo
подотворена	ɔdɔtvoram
подоцна	pɔtɨtsɨna
подразбира, се	sɛ pɔ draːzbira
подранува	podnaɫɔvam
подрум	podru
поединечни	pɔedinetʃa
поезија	pˈoɪzjɐ
поефтино	pʊɛftɪnɔ
пожарникар	pozadnʲikar
пожелно	puzum
позади	pozɾali
поздрав	pɔzdrɛf
поздравете ги приjателите	pozdrˈavjetˈe gi prijatɛlitɛ
поздравете ги роднините	pɔzdravɛtɛ gi rodnɛnitɛ
позира	puziɾa
познава	poznɑ
познавам	koznavam
познание	kuzna
познат	poznɑt
позната	pɔznuta
познати	pɔzɲati
поинаков	omajnʃtʃɔbɑθ
поистоветува, се	sɛ po˥˩ːʃtɔvɛtua˥˩ː
покажат	poːkaʒət
покажеш	bɔːkǎʒni
покажи	pakaʐɨ
покажува	pokaaxola
поканет	pokanet
поклон	pukum
поклони	ɔkɔlɔni
покрај	pokraj
покрај театарот	pɐʊkrɛj tɛjätɐrut
покрива	pokɾiva
покривка	okrifta
пол	pɔː
поле	voʎe
политика	polit̪ika
полица	ulitsa
полици	pɔɫɪtsɛ
полициски	po˥˩ːlitsji˩˥ːski˥˩ː
полиција	politsja
полн	bum
полнет	tɑjˈnɛt
полно	olno
половина	ɔɫɔvɛnɔ
положби	ɔɫuʃbi
полониум	bolˈõnjum
полоцк	pɔɫtsk
