'n	e
fiksheid	fuktsai̯d
filip	fˈɑləp
film	fɛlim
filogenie	filotʃiːrniː
filosofie	filoːsofi
finlay	fˈɪnnli
firma	fɛrma
fisiese	fisjsɐ
fisika	fisika
fisiologie	fiʃˈlˈˈaxˈi
fissie	fessi
flambojant	flamaɣjant
flater	flɑqer
fles	fles
fliek	flˈɪk
fliekhuis	flˈɪkˈaɪz
flink	flɒk
flitslig	plˈɪtslɜ
flou	flˈoʊn
flou word	slˈoː ʋˈɔrt
fluister	lejsteɾ
fluit	tslaɪt
fluitjie	flɔjtɪ
fluks	fləks
fluweel	lˈɪvjˈo
foefie	fufi
foelie	fˈʊli
fok	fok
fokof	fokʌff
fokofpolisiekar	fokˈʌvpəlˈisikˈɑɹ
fondament	funt̪ament̪
fontein	font̪ejn
fooi	fɔj
fooitjie	fwˈikɨ
forel	fɔːɾɑːl
formaat	fɔrmat
formeel	fɔrmjɛl
forvo	pɔrʃu
forvo funksioneer as 'n handige uitspraakhulpmiddel	voːrvɑj ʋʊntɪːɔnɪəɾˌeːst ˈɑndəɣɛ ˈœytspɾɑːkən ɔp mˈɪtəl
fosfor	osfor
foto	tuestu
fotograaf	fɛtɪxrɔw
fotografeer	fwt̪tʃrofeer
fotosintese	foːrðuzundjɾsɛ
fourie du preez	fʁˈi dˈə- pʁˈiʁ
fout	falt̪
fraai	frˈoj
fraiings	frˈojjəŋz
framboos	fɾɑmbɫuz
francois	franθwa
francois louw	fɾntʃua ləʊ
francois mostert	frˈansˈuːan mˈɔstɛr
francois mostert is 'n goeie rugbyspeler	fɾænˈsɑːn məwstærd sɛ se̞θɑj xwej jɑːrɑːg ˈbisɪliɑ dɑːri
frankryk	frˈaŋkrˌaɪk
frans	fraʊns
franschhoek	froːntsʏlk
franse	fɾˈɑnsɑ
frederik	frijadɛrɛk
frederik willem de klerk	friːjɯdɯnɯk vjlimdɯklær
friedenthal	fɹˈidənθˈɛl
frigië	fɹˈɛçˈɛɾ
frikkadel	frikɔdɛl
fris	frˈɛs
fris gebou	frɛs ɣəbˈaʊ
frokkie	fokʃa
frons	fɾɔns
frustrasie	frustrˈaːsi
fundi	findi
funksie	fɔ̃ksjˈ
funksioneer	fˌʊŋkʃɪˌoːnˈɪɾ
fusie	fisi
fut	føt˦
fyn	fˈaɪn
fynbos	fɛj˥pɔːs
fyngedrukte	fajnɣədrˈɛktə
fyngekap	fajnɣeˈgop
g'n	χɛŋ
gaaf	xɑːf
gaan	xan
gaap	xɔ̀p
gaas	xɒs
gaborone	aːrɔːne
gade	ħadə
gal	xɑl
galg	hɑl
galileërs	ɣ̞olellioz
gang	xŋ
gans	xɑːnˈs
gansbaai	kʰaːnsbˈaɪ
garnaal	xarnov
garnisoen	kʰaːrnisun
gas	χɑs
gasheer	χäːshˈɪr
gaste	χasta
gasvry	χɑsfrɑj
gasvryheid	qɑsfræjhæɪ̞
gat	χɑt
gate	aɣaːte
gatvol	xatʃoː
gauteng	sau̯tsæn
gawe	χaːve
gawie	hoːvɨ
gazette	gazetˈ
geaardheid	χɛɑrthæt
geag	χɤːa
geagte	χɒˈqdɒb
gebaar	xɑbɑr
gebed	ɣˈəbət
gebergtes	ɣəbarxtəs
gebeur	xadˈir
gebeurtenis	qɯ̞bʲiɾtʲɪnæs
gebid	kʰɛːpɛt
gebied	xbit
gebiede	ɣ̞ɾbð̞e
gebly	ɣəblɛ
geboorte	χbw̜eɾtʊ̞
gebore	xbwəra
gebou	tʃɑbɑl
geboë	xabua
gebreek	kabrɛja
gebrekkig	ɣˈɛbrˌɑkkˈɑn
gebring	ɣbran
gebruik	χabrɑjk
gebruike	xbˈrɑjkə
gebruiker	xabˈrajkar
gedaante	xtʰæːndæɾ
gedaanteverwisseling	ɣədaːntəfərvəjsɪləm
gedagte	ɣədˈɑxte
gedeelte	qɒdijɒltˈɒ
gedeeltelik	ɣədiːltdˈənək
gedien	ɣ̞adiːm
gedierte	χɛthirtæ
gedig	xtax
gedigte	ʃadʒ̟ʁt̪
gedoen	ɣədˈin
gedrag	ɣədra
geduld	ɣədˈɛlt
geduldig	ɣˈeːdˈɔldˈɛr
gedurende	ɣədˈirəndə
gedurende die dag	ɣˈədˌiːrəndə dˈi dˈɑx
gedurig	xdeˈræx
gee	fˈeːɾ
geel	xˈeːl
geelbooi	xˈiɫbɔːə
geelkoper	xʲiɫkɫɯ̞pɯ̞r
geen	xian˨˩
geen geld	ɣˈeːn ɣˈɛlt
geen ingang	kian˥˩ in˥˩ xa˥˩n˥˩
geensins	χiːnsˈɛns
gees	xəɾs
geesdrif	χiːzð̞ɾæv
geesdriftig	xˈeːsdrˈɛftəx
geesdriftige	tsɔdʒeztriftaxa
gefrustreerd	ɣ̞əfrˈɪstriːr
gegee	χxie
geglo	xxloɣa
gegroet	æɣ̞ɾæt
gehaal	χɐɦɑl
gehad	tsʰaʔt
gehalte	alˈtɐ
geheel	ɣˈeɣˈiʊlˈ
geheelonthouer	χɛjɪlɔtɑβɯr
geheelonthouers gebruik geen alkohol nie.	ɣə hˈeːl ˈɔthəvərs ɣəbrˈaːk keːn ˈɔk oːl nˌeː
geheim	qɑhɑjɯm
geheimhouding	χæjˈmhaʏdæŋ
geheimtaal	χimtoɫ
geheue	ɪe
gehoor	ɣəoɯeɾ
gehoorsaam	auɛrsaːm
gehou	sˌahˈoʊ
gehuil	χɑhɑjɑl
gek	ʃɛ
geklap	gəklˈap
gekom	ɣəkˈɔŋ
gekookte	xqwkta
gekry	ɣəkrej
gekskeer	ʁˈɛksskˈɪl
gekskeerdery	saeɣ̞skiɾð̞aɾð̞eɾai
gekyk	ɣəkˈɛɪk
gelaatskleur	ɣəlˈətʃtlˈɪr
geld	xˈɑlt
geldeenheid	ɣˈɛltjˈɛnəɪt
geldig	ɣˈɛldəx
gelede	ɣəliada
geledere	xˈlidˈra
geleenthede	xæljæntjædæ
geleentheid	χæljæntaʕt
gelees	xˈælˌes
gelei	xæleː
geleidelike	xlajdkə
geleën	xˈɛllˌeːn
gelid	χɑlˈt
geliefde	rˈɛiztˈɛ
gelieg	xælx
geloof	xalwf
geluid	χlaːjt
geluk	χælɑk
gelukkig	tɛlakaħ
gelukkige nuwe jaar	xʷʊdʒa qjiː jaːr
gelukkige verjaarsdag	taːlaːka xafraːjaːʃ ta
gelukkige verjaarsdag!	xʎəkkɛ xɛfri jɑrɑʃdɑx
gely	xʼjlɑj
gelyk	xalajk
gelyke	xalaika
gelykheid	xlaiːd
gelyktydig	ɣəlˈɛkttˈɛɪdəx
gemaak	xamˈaːk
gemaklik	χʊ̞mɑtlʊ̞k
gemaksugtig	ɣəmˈaːksəxdəx
gemeen	χimˈjæm
gemeenskap	xamijətˈskop
gemeente	χamienta
gemeentes	ɣ̞emjəntəz
gemiddelde	χmˈɯlˈɯldˈɯ
gemmer	χɛmmr
gemoedsrus	ɣˌeːmˈutzˈɪf
gemors	kəmˈaʊr
gemorskos	kəmˈoːlʃkˈɔz
genadig	ɣˌanˈaʊdəx
geneem	ɣenian
genees	ɣ̞ɯ̞njɛs
geneesheer	ɣənˈizjˈɛɾ
generaal	lalalɔs
genesing	ʁɛnˈɪrˈsɛ
genetika	ɣanijetʃika
geniet	kˈɛnˈt
geniet die dag	ɣəˈniti dɑːx
genoeg	xˈanˈo
genoem	ɣenum
genot	ɣ̞anɔt
genotvol	ɦanotfoɾ
genotvolle	xanotfoɫe
geofisika	xˈliʊphˈɪzʃkˈa
geografie	ɦeːxrafˈʔi
geologie	χiːzluːxiːz
geoloog	xjˈulˈwˈʁ
george coetzee	tʃɔɹtʃ kɔtsija
gepeupel	ɣəpjəpəl
geplaas	ɣəplˈos
geplooide	kaplueɫaiða
gepubliseer	səpəblisiːɛɾ
gepunte	gəpˈɛnt
geraak	ɣˈɾɔ
geraamte	χrɑrɑmtʃe
geraas	xrɑs
gerasperde	χɯ̞rɑsbɪ̞ɾdæ
gerasperde kaas	ɣəˈrɑs pə d kɑs
gereed	χæɾiːt
gereedskap	ɣəriətzgɔp
gereeld	aɾˈelt
gereformeerde	xrefomjerda
gereg	χɾæx
geregtigheid	ɣərxtdaχæj
gereël	ɦarjɛʊ
gerf	χæɾf
gerf hussein	χæ̹rʲf ɵθɛjɪ̞n
gerhard viljoen	χɛr artʃol jyl
gerieflik	χaɾreflæk
gering	χəræŋ
germaans	haɾmanz
germaanse taalgroep	χɛrmɑnɯzˈɑ tˈɑl xʁˈɾˈup
geroosterde	qɑrwɑʃtɑrdɑ
gert	χɛr
gerug	χɪ̞rʊ̞x
gerwe	qɒˈrðə
gery	χʲrɛj
gerypte	χɛrɑjtːɑ
gesag	ʁˈɛstˈɑk
gesamentlik	χʏ̞sɑmɯ̞ntlʏ̞k
gesellig	ɣəsɛləx
gesels	ɜsels
geselskap	χasalsqap
geselsprogram	kəsaːlsfruxrɛndi
geseënde kersfees	les sjũŋd ðekas fjes
gesien	ʁɛsˈiŋ
gesig	χɪ̞sə
gesin	χɛsɛn
gesindheid	køstsøntøɾ
geskater	ɾʊ̞sʲkɑtɛr
geskeer	xeskia
geskenk	χɛstkʲiŋ
geskent	χæskˈɛnt
geskep	χɛskɛp
geskiedenis	ɾˈskiˈɾˈnes
geskik	χɯ̞skʊ̞k
geskil	xəskəl
geskryf	ɣəskrəz
geslaap	ɣ̞əslɑːp
geslag	təslˌɑh
geslagsdele	klojsʃnɑɾ
geslagte	χɪ̞slɑqtɯ̞
gesluit	tˈɪ
gesogte	ʁˈɛzsˈɒχt
gesond	kasont
gesonde	ɦɯ̞sʊ̞ndʊ̞
gesondheid	χɛzɫɯ̞ntɑjt
gesondheidsgevaar	ɣəzˈɔəntəɪdsɣəvˈˈaːr
gespanne	føzpˈɑn
gespeel	həspio
gespierde	xaspiːrda
gesprek	tɛzspraɾt
gestaan	xæstɒːn
gestel	xəstˈɑl
gestig	χɪ̞stɪ̞χ
gestremdheid	ɣəstrɛmdtəijt
gestuur	xɛstir
gesuip	χɪ̞sɑjp
gesёende	hisiːnˈde
getal	ɣɛtaːl
geteem	xtiːm
getik	χtq
getrou	ɦɛtrɛl
getroud	xetraj
getuienis	χatajgnis
gety	χataja
geur	kjeːɾ
geurmiddel	χijɯrmˈdɯɫ
geursel	ɣ̞iɾʃɯ̞ɢ
geut	fˈɛst
gevaar	xˈfˈ
gevaarlik	ɣəfəlɣ
gevaarlike	χæfɑɾɫɯ̞kæ
geval	ɣɾfɑɫ
gevalle	ɣəfɑlɛ
gevangene	χɯ̞fɑŋʏ̞nʏ̞
gevangenis	ɣəvˈɑŋənɛs
gevestig	χɛfˈɛstˌeːx
gevind	ʁefˈɛnkˈ
gevlug	ɣəflˈɯx
gevoel	χfw
gevoelens	ˈeːfəlˌɛns
gevolg	ɣˈəfˈoːlˈʒ
gevolglik	hʊ̞fɑlχʊ̞ɫɑt
gevolgtrekking	ɣəvˈɔlɣtˈrˌɛkɛn
gevorderde	ɣəfrˈdɑdə
gevorm	xafoɾum
gewapende	ɣɛvɑpəndɛ
gewas	qɯ̞vɑs
geweer	ɣ̞əvjær
geweld	ɣəʋˈɛlt
gewelddadig	ɣəʋɛltˈɑdɪg
gewen	tʃavɛn
gewete	xavijataja
gewig	tɑːvˈax
gewigoptel	kɯ̞ɫʊ̞χʊ̞ptɑɫ
gewild	xvˈɛl
gewilde	ɣəvˈɛldə
gewone	xavuɛnə
gewoon	xabˈɣan
gewoonlik	abwˈinlək
gewoonte	χɛvɫɛntæ
geword	ɣɛvulwʊrt
gewrig	ɣɛvrˈɛx
gewrigte	χɪ̞vːrɯ̞qtæ
gewysig	ɣɛtɨwajsɨx
geëer	ɣˈeɪr
geëet	χɑjˈt
geïntegreerde	ɣeːntegriːrˈde
geïnteresseerd	entrɛsjɛrt
geïriteerd	χɛjirretirt
geïrriteerd	ɣəɾɛtɪ̞rɯ̞
ghitaar	ɣitːɔɾ
ghnoe	gynˈø
gholf	kɔlf
ghong	kɔŋ˥˥
gids	ɣˈas
gier	xeːr
giet	ɣ̞it
gieter	χeter
gif	xas
giftig	χɛftɛr
giggel	xˈaχˈaɫ
gil	xɔː
gimnastiek	xɛmnˈosˈik
gips	kʁɛps
gister	kastar
gisteraand	ɣəstˈɾˈaːnt
glad	χlæ
glad nie	klatnɛ
glansmens	xlənsmˈeɪnz
glas	xlas
glase	xlasɯ
gletser	xlitsər
gleuf	xlˈɪf
glibberig	χlabˈaɾa
glimlag	tʃlɛmlas
glo	xɫura
gloeilamp	xlwˈjlamˈp
glorie	ɣloɾi
gly	xalaː
god	xot
gode	xʊɪ̞dɛ
godsdiens	χoːtstins
godsdienstig	xotsdˈinˈstˈax
goed	tʁˈʏ
goedere	xudera
goedkeur	χʊ̞tkjɪlær
goedkeuring	xʊtkʲirɨ
goedkoop	tˈəkwˈɛp
goeie	xuja
goeie dag	ʒˈə dˈaɣ
goeie hoop	χoːˈhwˈb
goeie more	xujimori
goeie môre	xuːjə mˈɔrə
goeie nag	xʊjɛ nɑx
goeiedag	xˈujədˈɑx
goeiemiddag	hujamaːdˈaʁ
goeiemiddag!	ˈɛɹmədˈɑx
goeiemôre!	poɛmoɾa
goeienaand	xʊjɛnɑːn
goeienaand!	kuieˈnɑnt
goeienag!	iːrnˈæχ
goewerneur	xeˈvɛrˈniːjɑrɛ
gogga	oɣa
golf	xof
gom	hom
gomgat	χoːmˈxat
gomlastiek	omˈlastˈik
gons	xanz
google	gooːgoʊ
gooi	xue
gooi weg	χoːj væf
goor	xʊˈbɪ
goosen	xosem
gordel	xordɫ
gordyn	χoɾhæn
gorilla	gʏɾɛlɑ
gou	xˈɔː
goud	xˈʌʊt
goudgeel	xˈɔʊdɣəl
goue treffers	χɑːr tʁeːˈhɛz
goël	xuːl
graad	qɾɑt
graaf	xrɑf
graaff-reinet	xrafrajnɛt
graag	xrɑq
graankos	xronkos
grabouw	xrabau̯
graf	χräf
gram	xrɑm
grammatika	xrɛmmatjka
grammatikalisering	xramat̪ikalas̺erẽn
grap	xrap
grapjas	xrapias
grappie	xrapi
gras	xɾɑst
gras is groen as dit gesond is, grys as dit verdroog is.	xrˈɑs ˈɪs ɣrˈøːn ˈɪs hˈət ɣəzˈaːləntəs xrˈɛɪs ˈɪs hˈət vədrˈoːɣəs
grasgroen	χrɑsχrɯ̞r
grasperk	xraspɛrk
grassnyer	xrastnaːjeːr
grasveld	ɣrˈɑsvˈɛlt
gratis	xrɑtɛs
grawe	θrɔbɛ
greep	xriːb
greg minnaar	grˈɛg menˈoɾ
gregoriaanse	grʲaʃoɾjɒˈntsɒ
grens	xɾiːns
gretig	xrɪtˈɑx
griek	friːk
griekeland	xriːkəlˈɑnd
grieks	xrɛks
griekse	χɾɛkˈse
griekwa	xrikkwa
griep	χrɪk
grietje	xrkʃ
grimering	χrɛmjæræn
groei	xrʊ̞j
groen	maːrɯm
groenbone	χʲrɪ̞nbwænɑt
groenboontjie	χʏ̞rʏnpʊ̞jnki
groente	xrʏlta
groentesop	runtʃˈɔp
groentjie	xrɛnkʲi
groep	χrɵp
groepe	χrypɛ
groet	χrʏt
grof	xrɔf
grofgebreek	xroːfɣəbrˈeːk
grom	xrˈum
grond	xrʊ̞nð
grondboontjie	xrˈɔntpˌoːɪŋ
grondboontjiebotter	χɔnbɔĩŋkibɔtɔr
grondstof	xrˈoːnˈstuf
grondwet	χrontfˈert
groot	χrð
groot vyf diere	χʊɫt fˈaɪv diːrˈa
groot-visrivier	kɾuːætfsrfɪːr
grootbaas	χɾɔdboʔs
groote schuur	χrʊ̞t ə skiːr
grootfontein	xrɔːtfɔntajɛ
grootmoeders	ɣroːtmʊdɛrs
grootouers	χrɟawaʃ
grootpad	əpətˈɣə
grootslang	xrɔːtslɔn
grootste	xrʊɛtsdʲa
grootte	xrʊtˈa
groottes	χruetets
grootword	ɦɾɛtvɔɫ
grot	ɣɾɔt
groter	χrɵɛtær
growwe	χʊ̞rʊ̞vɑ
gruis	xrɑjs
gruwel	hejˈvɑl
gryp	ɣ̞ɾæjp
grys	xrˈaɪz
guinas	gianos
gulp	xuːp
guns	xˈəns
gunsie	χɛnsiː
gunsteling	χʏ̞nʂtjɪlɪ̞ŋ
gurthrö steenkamp	kœɾdrøːst jɛn kamp
guur	xʲiːr
gyselaar	hajsɛlɔɾ
gô	xo
h	a
haai	hˈaɪ
haak	hɔːk
haal	ˈɔl
haan	on
haar	ˈɔɾ
haardroër	ardruer
haarkapper	horkopər
haas	zˈɔ
haas jou!	hɔːsˌaːˈɛ
haastig	hɑːstəx
haat	aɾt
hadeda	ˈɑːdidaː
hael	oɫ
haelgeweer	ɑɫxəviːr
hage gottfried geingob	ʔaːgɛ gʊbfʰɾi kaːin gʊb
hak	ak
hakie	oki
halfeld	ɔːlfˈɔlt
halfpad	alfbɑt
halfrond	ofront
hallo	alaɾo
hals	hɔls
halssnoer	alsnˈuɾ
halwe	alvɛ
hamer	ɑːmɛr
hand	ãn̪t̪
handboeie	antpʊjɑ
handdoek	haldu
handel	hando
handelaar	antːalaːr
handhaaf	antˈoɾ
handjie	hank
handjievol	alkifu
handsak	hændzɑp
handskoen	æmskʰyn
handtekening	ãntʲikɪ̞nʲɪŋ
handvatsel	anfɑtsɔ
hanekom	ɒlɒkˈɒm
hang	ɔ̃ŋ
hange	ɑŋɑ
hangertjie	kõːneːrtiː
hanna	ɦoŋo
hanswors	ãn̪sfɔɾs
hanteer	antje
hard	art
hardkoppig	hʌrtkʊpɑħ
hardloop	ɑrtlœp
hardloper	hɑrtløpø
hardlywig	haɾdlajvɯ̞x
hardnekkig	hɑɾtnəkˌɪχ
hare	hora
hareknipper	aːɾɯknɯpɯɾ
harig	ɑrɯ̞x
hark	ark
harsingskudding	hˈɑːrʃənskˌɵddˈem
hart	hɑrt
hartbeespoort	artpɪəspɔɛrd
hartebeesthoek	artɛbʲiʲɛzdhʏ̞k
hartebloed	artɛblɪt
hartjie	arki
hartklop	hərtklop
hartseer	hartsʲijær
hase	ˈɔlsə
hawe	aɣ
haweloos	hoːvudəlˈuɾuz
hawens	ɔlvɛnz
hawequas	oːvˈəkwˈɑs
hawer	ɑɫvɛr
hawermeel	ˈɔvɨmˈil
hawestad	aːvɛstat
hede	jedæ
hedendaags	hjɛrɪntˈaːxs
heel	jo
heel goed	joːˈχud
heelal	ioɔːl
heeldag	jˈɯldɑç
heelmaak	lɛlɛmɔ
heelpad	ʲæɫpat
heeltemal	iːltɪmo
heeltyd	jɯ̞ltajt
heelwat	ɪlvat
heer	jɛ
heerengracht	ɛrɪ̞nχrɑqt
heerlik	jɾlɐk
heerskappy	jɪ̞rskɑpˈɑj
hees	hˈiˈɪz
heet	jˈɛt
hef	hɪ̞f
hefboom	hejfbuːrm
heftig	heftɪg
heg	ax
heilig	aːjjlæx
heiligdom	hɛjlæχdɔm
heilige	aːjlɑxˈham
heimwee	aɪmvɛː
heining	aɣ̞
hek	hæk
hekel	jˈɑkʌl
hekkie	akˈi
heks	hæks
hel	hˈɛl
held	held
helde	aɫðɚ
helder	əldɚ
heldhaftig	hælthoːftɪg
hele	jɛlɛ
helm	ælˈm
help	help
hemel	jɛmɔv
hemel-en-aarde	niːmʌlɑːbɾəkə
hemp	himp
hen	en
hendrik	hˈɛndrˌar
hendrik verwoerd	hindrak fɛrvyrt
hendrik witbooi	hˈɛndɚk wˈʊd bˈɔɪ
hengel	hæŋʊ
hennie aucamp	he ni ˈɔkant
henricho	enrjku
henricho bruintjies	heˈnriko brɾoˌnkis
herdenking	aɾtɛŋkɛ
herder	hærdɑr
herehuis	ʒiɾaʃ
herfs	ħærs
herhaal	hɛrhoː
herhaaldelik	ɛrɣɑldɛlɛk
herinnering	ɐrɛnræɴ
herinneringe	hɒɾiˈnɒɾiŋˈgə
herken	arkin
herleef	ɐrlif
hermanus	harmales
hermanuspietersfontein	harmo˩˥ːnəspjətərʃfˌuntai˩˥ːn
heroorweeg	arurvʲeːx
herrineringe	əɾiːnəɾiːnə
herschelle	ɛrʃɑɫ
herskep	rskɛjp
herstel	harstɛl
herwin	au̯rβ̞ẽn̪t̪
herwinning	ɒɾbiniŋ
hestrie cloete-storbeck	heːstˈre plˈytə stoːrbˌeːk
het	t
heuglik	jœχlɛk
heuning	jɛnən
heuningbos	hiːrnɪŋbɔːz
heup	jˈɛp
heuwel	aɣo
heuweltjies	ivokis
heuweltjies is klein heuwels	jˈɪvəl ˈkeɪsɪz tɹˈæn ˈivəlz
hewwe	ɛvɐ
heyneke meyer	ajnɯkːum majeɾ
hhayi	həˈjiː
hidrosfeer	hidɾusfʲir
hier	iːɾ
hierbo	iɾpˈoɾɐ
hierdeur	irĕtiɾ
hierdie	iridi
hierheen	ɦɪrjɛn
hiernatoe	irnatɨl
hieronder	heˈɾˈɔndɚ
hiervan	irjfn
hiervandaan	ifɛndðɔn
higiëne	iːftjˈjænæ
hindernis	nð̞eɾnez
hings	həŋs
hipotese	hibːisə
hippokrates	tipukratis
histologie	ɪstləxˈhi
historiese	istʊɛrisa
hitte	ˈɛta
hiëna	isjenã
hlalanathi	salɑnɑt
hoe	ɛ̃ːn
hoe dikwels	ʌdˈɛkvɪllz
hoe gaan dit met jou?	uː xɑːndet miːtʃæv
hoe gaan dit met u?	nˈu xaːn ˈɪt mɪd ˈiː
hoe laat is dit?	huˈla zˈɛstɛd
hoed	ʁˈut
hoedanigheid	beˈtɒnˈiːxɒjd
hoedspruit	hʊɖspɾɪtˈɛ
hoef	wuf
hoegenaamd	uχnaʃmd
hoek	hˈʊk
hoekom	ɦoːkˌoːnˈ
hoender	hʏ̞ndær
hoenders	buðnðeɾʃ
hoer	bɯ̞r
hoerhuis	ʊɾaɪz
hoerikwaggo	uɾiːkuaxˈ
hoes	us
hoeveel	hufjˈoʊ
hoeveel kos dit?	huvʲoɫ gəs dæt
hoeveel kos hierdie skootrekenaar?	u fʲiɫkɔs jɛ̀ːr ʲizkɔjtʲ rʲìɛ̯k ãmb nɔ̀r
hoeveel kos'n glas wyn	ʊ fˈil kˈɔs ən glˈɑs vˈaɪn
hoeveelhede	voːfijˈaljˈʉɾˈu
hoeveelheid	buːfˈillaɪkd
hoewel	uβ̞el
hof	efˈɛ
hok	oːk
hokkie	ɔːkɛj
holderstebolder	aʎdɯɾstɑbɔɫdɑɾ
holjol (sweer-woord)	ˈoɔjoʊ
hom	um
hommel	umul
hommeltuig	omoʝtajɾ
homoseksueel	wˈɛ̃sˈɛkʃiːl
hond	ont
hondagtig	mˌaɪnənˈaftɜ
honde	ond̪a
honderd	ɔndøɾt
hondje	ˈɔnde
hondjie	wˈinki
hondjies	wˈɪŋkiz
honger	unɣəɾ
hoof	wˈɛf
hoofde	wafˈda
hoofgereg	wfɣɾa
hoofpyn	kʊsplʌjn
hoofsaaklik	tˈo
hoofstad	owɔrsta
hoofstuk	wˈʊθstəpˈ
hoofweg	ʋˌɯvˈaːx
hoog	wɯ̞h
hooggenoeg	wˈɪxgənˈux
hoogs	wˈɑs
hoogste	waxta
hoogtepunt	waqtəpænt
hooi	hõ̞j
hoop	kluːt
hoor	ɣɛta
horing	poɾe
horison	poɾtʃom
horlosie	ogluːziː
hospitaal	ospitaɫ
hotel	tɐu̯
hottentot	otʝˈntˈot
hottentotsgod	pot̪t̪ɦẽb̞sxot̪
hou	hɔː
hou van	hˈoʊ fʊn
houding	hau̯d̪em
houer	laur
hout	həʊt
houtbaai	hˈaʊtbˈaɪ
houtkapper	hɒtskɒpˈɾ
houtluis	ləˈls
howe	kouaˈtˈa
hoë	bua
hoëhakke	tuːˈeɾahˈeɢe
hoër	wˈɚ
huid	hla
huidige	hejdəxə
huidige verspreiding	ajdaxəɾsəbrɑjɯn
huigelaar	ajɣlɑr
huil	hɤjɔ
huilboerboon	kɑjˈlbɔlɯrbˈoʝn
huis	həˈls
huis-toe	hæiztˈɪf
huisbraak	ajsprak
huisgenoot	lanøtkødɛŋ
huishoudkunde	həːshˈɑtkˈɑndɜ
huisie-huisie	hisihisi
huiswerk	hʊ̞jsvɛrk
huiwer	hajvæɾ
huiwerig	ajvɪrˈax
hul	hɯ̞
huldeblyk	hou̯ldɚβljk
hulle	hælˈe
hulle maak kruie medisyne deur tradisionele tegnieke te gebruik.	aːlə mˈaːq rɑjˈɑ mɪˈdeː saːnnə deː tˈraːdɪʃnəlɪnɛ tɛxniːkiː ˈɪn dˈə ɣəbrˈɛjk
hulle s'n	ælɪsˈɛn
hulp	ˈoʊp
hulpbron	pɐɫpbrun
hulpmiddel	oʊltmˈɚtəl
hulpwenk	ɦoːpθɛŋk
human	imaj
humeur	ɪˌmbˈiɹ
huppelkind	apokənt
hupstoot	tʃapstʃatʃa
hurk	hœɾk
huur	iːɾ
huurder	iːrdɛr
huurmotor	ɦʲirmuɛtær
huwelik	hjˈuvəlˈʊk
hy	hˈeɪ
hy gebruik the vuurhoutjie om die braai te lig.	hˈeː ɣəbrˈeːkt dˈi fˈirˌøːkjɪ ɔm dˈi brˈɑɪ tə lˈɛxt
hy het op die kerkorrel gespeel	e tʊrti keɾ kɔɾu ɣespiɔ
hy was sy oupa se huppelkind	hˈeː ʋˈɑs zˈɛɪ ˈoːpəlz hˈɵbpəlgənt
hysbak	ãˈʌsbˈɑk
hyser	hˈaɪsɚ
hê	ˈeɪ
idee	idjɐ
ideologie	dˈevilˈokˈaː
iemand	imont
ier	ˈiɾ
ierland	iɾlˈɑnt
iets	itsˈ
ietwat	tɯbˈtˈɯ
iewers	iːvɛɾ
immer	ɛmer
immergroen	amərxrɪ̞n
immigrasie	ɦeːmiːxɾɑhsiː
immuun	imˌin
impala	empɔvɔ
in	n
in 'n japtrap	ənˈɛ jˈaːp trˈɑp
in die begin	anɖibxan
in die bui	ændiːbˌeɪ
in die middel	ˈɛn mˈɛdəl
in elk geval	ɛn ˈɛlk ɣəvˈɑl
in hegtenis neem (arresteer)	ən hɛrdənɪznɛm
in verband met	ən vərbˈɑnt mˈɛɪ
inasem	ənɔlsoʊm
inboedel	anbud̪ɾɔ
inbraak	ənbrˈɑk
inbreker	nbriakeɾ
indaba	ĩːnˈdɔbo
inderdaad	ˈdadˈɔɹt
indien	enðeːn
indiensneming	ˈɛndˈiːnznəmən
individu	ɪndɪvˈidu
individue	ladˈɛvɛrdiːr
indië	ˈɪndiːɐ
indiër	ɪnðiːɾ
indonesië	indɔnˈiziə
indruk	ɯ̞ndrʊ̞k
indrukwekkend	nðrkdaːkəd
ineenstort	nˈɛnˈnʃtˈoːrt
inent	ænɪnt
inenting	enˈɪnˈdˈæˈŋ
informasie	senʃɔɾˈmɔːsi
infrastruktuur	ɾast̪ɾakt̪iu
ingaan	nxɔ
ingegaan	anɣrˈɑn
ingelegde kos	ənɣəlˌɑxt ˈɪk kˈɔz
ingenieur	ɪŋɛnˈir
ingevolge	ənɣəvˈɔlɣə
ingewikkeld	anɣvgul
ingooi	enxɔj
ingryp	ənɣrˈɛjp
inheems	anhˈiənz
inhoud	enalt
ink	ɛŋk
inklim	nklæm
inkomste	enkõn̪s̺t̪e
inkopies	ankuβis
inkopies doen	œ̃n kʰɔpˈis dˈyn
inktrane	kɛŋkraːnɛ
inleiding	ənlajdəŋ
inligting	ɪ̞nlɪ̞qtɯ̞m
inmeng	ŋmĩŋ
inmenging	ɛnmɛŋ
innig	nx
inrigting	ɪ̞nrʊ̞xtɪ̞ŋ
inryg	əndrəx
inseil	ensajl
insek	aːnsiːk
insette	əndkɛtɑ
insig	ənsə
insiggewend	ɪnsaħjɑwɛnd
insit	nsət
insittende	əndsˈɛtənlˈɑ
inskep	insˈkep
inskrywing	ẽnskɾaɪvɑŋ
insluip	ənslojp
insluitend	ənzlɪtˈɛnd
inspekteur	inspektiɾ
inspirasie	inspeˈrˈɔsi
inspireer	ənspiɾiɾ
inspuit	əˈnspˌaɪt
instansie	enstˈansi
