0 பூஜ்ஜியம் அல்லது சுழியம்	bʊjʃiʲam bʊjʃiʲam alladɯɕoːʋijam
சோதித்து	soːditːɯ
சோமகாளியம்மன்	somɐkaːɻijə�ɑːn
சோமசுந்தரம்	sɔmɐsɨndɐrəm
சோமன்	sʌmən
சோமரசன்பேட்டை	somɐɾəʂnpeːʈːai
சோமரசம்பேட்டை	soːmɾɐsampeːʈːai
சோம்பர்	sˈɔmbɚ
சோம்பித் திரியேல்	soːmbɪd̪ ɖiɾiɾˈeːl
சோம்பேறி	sɔːmbeːriː
சோம்பேறிக்கு	sombeːrikkɯ
சோம்பேறியும்	soːmbeːriʝu
சோரும்	soːrum
சோர்ந்து	sɔːɾnd̪ɯ
சோர்விலாள்	soɾvˈɪlˈɑːg
சோர்வுற்ற	sˈɔɹwʊdtɹˈæf
சோர்வூட்டு	saːrɑːvuaɻtuː
சோர்வூட்டுகின்ற	soːrʋuːʈug̊nɾæ
சோறு	soɯrɯ
சோறு அவித்தல்	soːrɯ ɑvikt̪eˈn
சோறு போடு	ʃoːr poːɖɯ
சோறுடைத்து	ʃoːɾɯɖaɪ̯t̪ːu
சோறே அறம் செய்யும்	soːɾeː ɐɾɐm ʃejːum
சோற்றால்	sˌoːtɹˈɑl
சோற்றின்	soɾˈtɹeɪn
சோற்றுக்கும்	soːt̪ɾukːum
சோற்றுக்கே	sot̪rikːe
சோலை	sa˨˩lɐj˧
சோளப்பொரி	sɔːɳpːori
சோளியோடே	sˈɔɹlijˈʊɹdiː
சோழ நாடு	ʃoːɾ nɑːɖʊ
சோழ மண்டலம்	soːɾman̪d̪ːaɭam
சோழபுரத்தானோ	sɔːrpɾt̪ːt̪ːnoː
சோழர்	tʃoɾe
சோழவந்தான்	sɐɾɐvʌnːdɑːn
சோழா	ksoɾ
சோழிங்கநல்லூர்	sˈoːɹiŋgnəlluːɾ
சௌ	sau̯˧sau̯˧tsau̯˧tsau̯˧mian˥
சௌக்கியமா	saukiema
சௌக்கியம்	sˌɐlkiˈɐm
சௌந்தரியம்	sɐ̃wntɐɾˈiɐ
சௌமியா சுவாமிநாதன்	sɑwˈmiˈja svɑminaːhəm
ச்	tsˈɚtʃˈæzənkˈæt
ஜ	dʒˈa
ஜனநாயகம்	dʒanːaːjɐham
ஜனவரி	dʒenovɾi
ஜனாதிபதி	dʒnɑːdʒiːbəˈliː
ஜன்னல்	ʈʂənbən
ஜப்பான்	dʒapən
ஜமக்காளம்	tɕamakaaːɭɐm
ஜமால்	dʒamal
ஜம்புகேசுவரர்	dʒambowkeiːnʃuːbeˈral
ஜயம்	dʒejaumma
ஜயவர்த்தனபுரம்	ɕreɪdʒeːʋɐɖipuɾamkoːɕːai
ஜயிக்கலாம்	gɑːiːkəlɑːm
ஜலத்தை	dʒɐt̪ːəj
ஜவகர்லால்	gʊɐgɐɾlɑːl
ஜவுளி	dʒɑuːliː
ஜாக்கிரதையாய்	siakːaɾaˈdeːai
ஜாடை	dʒɑːɾɑi̯
ஜி	ʒˈeː
ஜி யு போப்	dʒiːɾ juː pɔp
ஜிகர்தண்டா	dʒigarɖɐɳɖaː
ஜில்	tɕʰil
ஜீவனத் துக்கு	dʒiːʋɐnɐt̪ːukːu
ஜீவாதாரம்	dʒiːʋaːd̪ɐɾəm
ஜூன்	tʰuːn
ஜூலை	ʒul̪ajː
ஜெ	jˈɛ
ஜெயங்கொண்டம்	ɟəjɐumkɔɳɖɐum
ஜெயந்தி	dʒaɪnˈdi
ஜெயராமன்	gʲæjːrɑːmn
ஜெயராம்	dʒɛːjɑːɾɑːm
ஜெய்பாவாய்	dʒɛjːbaːʋɑːj
ஜெர்மனி	dʒəɾnʃɾa
ஜே	dʒeɾ
ஜோசப் கண்மருத்துவ	dʒoːsɐf kɐɳ maɾut̪uʋeː
ஜோடி	dʒoːɽiː
ஜ்	æˈsɪndʒˈɔɹdʒ
ஞ	nˈe
ஞமலி	nʲɛmɪ̞ɫæ
ஞயம்பட உரை	ɲjɑjəmbɐɖ ʊɾaɪ
ஞா	ne̞æðɪ̞nbeːˈɾːd
ஞானதேசிகன்	jaːnɑːd̪eːziːkənd̪
ஞானத்தை	ɲaːnaːtːj
ஞானி	niaːniː
ஞாயிறு	nˈoːjɯ
ஞாயிற்றுக்கிழமை	ɲjjːt̪ːukːəɳːj
ஞாற்சி	nˈɪˈɑrtʃʰe
ஞாலத்திற்கு	ɲiaːl̪t̪ːirguː
ஞாலத்தை எல்லாம்	ɲɑːɭɐʈːɐɪ̯ ɛlːɑːm
ஞாலமே விண்ணே	ɲaːlɐmeː ʋinːeː
ஞாலம்	ɳjɑːlɐm
ஞி	me
ஞீ	dˌiːzə
ஞீலிவனேஸ்வரர்	ɕtiːliʋɐnːiːd̪sɔɾɐɾ
ஞு	nˈo
ஞூ	ɲˈu
ஞெ	nˈe
ஞே	ne
ஞை	ln
ஞொ	ljˈɔ̃
ஞோ	dˌiːzə
ஞௌ	ɲˈɛ̀wˈ
ஞ்	emasemploneˈa
ட	tˈɛɹdˈœ̃
டண்டப்பரப்பெலாம்	ɖɐɳɖɐp̚paɾəpːlaːm
டண்டவாதம்	ɖɐɳɖɐvaːd̪m
டா	taːnˈsijldaːdaː
டாடா	taːrtaː
டாப் ஸ்லிப் இந்திரா	tˈɑp slˈɪp ˈɪn ðeəɾɑː
டி	tiːtɛndədiː
டிக்கெட்	kik˦e˥˩t˥
டிசம்பர்	tʃiːsaːmbar
டிபன்	ti˥˩fn˧
டிரஸ்	dres
டிறந்து	riːɾanduː
டீ	ti˥˩
டீவி	pɛvɪ
டு	tutˈɔtˈɛ
டூ	tudu
டெ	tˢe̞bˢe̞
டெக்கன்	d̪ekːan
டெக்கான்	dəkɔːn
டெல்லா	tɛla
டெல்லி	dellˈi
டே	pɛ
டை	dajˈmdʒojˈðˈidʒə
டைம்ஸ்	tˈɛməs
டொ	todo
டோ	d̪ot̪oɾɖd̪od̪oɾ
டோக்கியோ	tokio
டௌ	to˧˧lɔn˧˧to˧˧
ட்	qɑtˈɯtˈhɑːsæmˈskət
ட்ரைன்	tɾai̯n
ண	nˈa
ணா	no
ணாக்கு	nakɯː
ணி	niː
ணீ	ne
ணீரன்றே	niːrn˩˩˦reː˩˩˦
ணு	non
ணூ	nom
ணெ	le
ணே	me̞
ணை	ɾəiːm
ணொ	lo
ணோ	no
ணௌ	au
ண்	əndðˈɛɹzənsˈændəlz
த	œ̃ndˈa
தகப்பன்	dapːɯ̞nɯ̞
தகரம்	tɐχɐram
தகவலாற்றுப்படை	aːgʋɐlɐːtrb̪baɖai
தகவல்	ʔaːxbəl
தகவிலர்	taːkæbilaɾ
தகுதியற்றதாய்ச் செய்	taːgud̪iəɾaːt̪ːait̪ cɛː
தகுந்தாற்போல்	d̪ɐ̃gin̪d̪aːɾpoːn
தகைமை	tɐgɛjmɐji
தகைமை யவர்	t̪e aki mai̯ la beɾ
தகைமையவர்	t̪eeɣ̞ajmai̯aβ̞eɾ
தகையவே	laħeiʝabi
தக்க	tɐpˈkaː
தக்கா	takaː
தக்காங்கு	dːakːaːŋguː
தக்காணப் பீடபூமி	t̪kːɑːɳpː piɖɖp̪vgi
தக்கார்	t̪akːaːr
தக்காளி	əkːəaːli
தக்கோன் எனத் திரி	t̪aɣ̞oːn̪iaɳt̪ t̪eɾiːn
தங்க நகை	təŋgnɐxe̞iː
தங்க நாடோடிக் கூட்டம்	ɖŋgɐɳɖʈgoːɐɖu kuːɳkn̪
தங்கச்சி	laːŋkaːgk
தங்கச்சி உடைமை தவிடா	d̪ɳkɖʃi ʋɖəimaɪ d̪viɖaː
தங்கச்சி யுடைமை	tŋgəjʧɪuʈajmaj
தங்கமே	t̪əŋɣmeʔ
தங்கம்	tɑŋgɔm
தங்கரத்தினம்	t̪ŋgɾɐɖn̪am
தங்கலுக்குரிய	d̪ŋɾgʊkːkuɾijɛ
தங்கல்	t̪ɳgəɭ
தங்களது	t̪ɪŋɪɾɐdu
தங்களின்	t̪ɪŋgəlɪn
தங்களுக்கு	t̪aŋgɭukːw
தங்களுக்குள்	d̪ɪŋɾukːul̪
தங்களுக்கென	t̪ɐŋɾukːənaːn
தங்கள் திருக்கோயில்	aŋu t̪iɾukːoːjəɭ
தங்கள் மலங்கழுவு வார்வந்து	ɖəŋgɭ maɭam gɐɻʊgʋɑːr ʋɐn̪d̪u
தங்கா	tŋgauː
தங்காது	t̪aŋgaːɾu
தஞ்சம்	t̪ẽn̪samɐ
தஞ்சம் ஆகான்	t̪aɲdʑəm aːxaːn
தஞ்சாமை	t̪n̪d̪ʒmj
தஞ்சாவூர்	saɲdʑɑuɾ
தஞ்சாவூர் {than-jaa-voor}	t̪aɲdʑaːuːr
தஞ்சை	t̪anʒɛj
தடக்கையன்	t̪ɾkɪjːnl
தடங்கண் மடந்தை மணவாளா!	d̪ɐəŋn̪ maɖaiɖaɪ mənʋaːɐːɑː
தடத்தில்	d̪ɐɖʈil
தடந்தோள்	t̪ɾnt̪oːɭ
தடலைகொண்டு	d̪ɐɖaɪkɔɳɖu
தடவு	taɺauː
தடவுவாளாம்	ɖəɖʋuʋɑːɻ
தடாகம்	d̪əɺaːm
தடி	tɐɾiː
தடிகாரனுக்கு	t̪ɖɪɾɐɾɐlkːu
தடிகொண்டு	ɖɖikoɳɖu
தடிந்தெழிலி	st̪əɖɨn̪ɛɻːiː
தடிப்ப	t̪ɖɪpːɑ
தடிப்பு	d̪ɪpːɯ
தடியனுக்கு	ɖɐɽjɐɾuukːu
தடியில்	d̪ɐɖɪjɐɭ
தடியோ	ɖɐɖioː
தடுக்கலாமா	t̪əɽukːlaːmaː
தடுத்தல்	t̪ɾut̪ːɐɭ̪
தடுத்துரைத் தல்	t̪ɾɯt̪ːuɾəjt̪ːəɭ
தடுப்பு	t̪əɖʊpːu
தடுமாறச்செய்	ɖɐɖumaːɾɐtɕːɐj
தடுமாறி	gəɖmoːɑːriː
தடுமாறு	d̪ɐɖumaːruː
தடுமாற்றமற்ற	tʰɔ̀mɔ̀ːt̚˨˩rɛːmɑʔɛːrɛ
தடை கேள்	t̪aɖa iʃeːɾ
தடை செய்	tˈɾˈaiˈseɪ
தட்டம்	t̪at̪ːəm
தட்டாதே	t̪aʈːaːɖeː
தட்டான்	taktˈɑːn
தட்டாமல்	ɖəʈːaːməɭ
தட்டாம்பூச்சி	t̪akːtaːmboːtɕːi
தட்டிக்கழிப்பு	t̪ɐʈikgəɻipːɯ
தட்டினாளாம்	taːɾːiːɳːɑːlɑːm
தட்டு	dɐʈːɯ
தட்டுச்சுற்று	tˈætˈtɪtʃðɹˈu
தட்டுப்பாடு	t̪aɾːupaːɖu
தட்டுமுட்டு	t̪ɐʈːɪlɐɖɐ
தட்டுமுட்டுச் சாமான்கள்	ɖɐʈːumuɾːiɕ saːmaːŋɪ
தட்டை	tɐtˈɪ
தட்பவெப்ப நிலை	t̪ɐɾpːʋpː n̪il̪ai̯
தணங்க	t̪an̪t̪e
தணலஞ்சுமா	taːɳalajɳaːgimaː
தணி	taˈniː
தணிந்து	d̪ɪand̪u
தண்டனிடு	d̪ɐnd̪ɐnɪɖɯ
தண்டனிடுகை	t̪ɐnd̪ɐn̪ɛɽuugai
தண்டனிடுதல்	d̪ɐ̃aːɖɐn̪ɪɖud̪ɐl
தண்டனைவகை	d̪ɐaːnɖəɪ̯ʋɐgai̯
தண்டமிழ்	t̪an̪d̪amɨ
தண்டமும்	ɖəɳɖəm
தண்டம்	d̪ɳɖəm
தண்டித்தல்	dandit̪ːəɭ
தண்டியலங்காரம்	t̪ɳɖiɑaŋgaːɾɐum
தண்டியாசிரியர்	t̪ɳɖigɑːɕiɾɪjɐɾ
தண்டை	t̪ɐɳɖai
தண்டோரா	ndɔːɾɑː
தண்ணார் ஒளி மழுங்கி	d̪ɳːɑːɾ ɒɻimɐɻiŋk
தண்ணி	baːn˩˩˦niː˩˩˦
தண்ணீரிலே	t̪ɳːiːɾjɾeː
தண்ணீரும்	d̪ɳːiːruːm
தண்ணீரே	t̪aːnmiːre
தண்ணீர்	t̪anːiːr
தண்ணீர் {than-neer}	d̪ɳneːɾ
தண்ணீர் ஊற்று	d̪ɳːneːr uːuʈːrɯ
தண்ணீர் காட்டுதல்	d̪ɳːiːɾ gəːʈːɯd̪l
தண்ணீர்ப் பந்தல்	d̪ɳiː pnd̪ɭ
தண்பதத்தான்	t̪ɳpəgitaːɳ
தண்மை	t̪ɳmj
ததும்ப	t̪at̪nbo
தத்தளி	tʌtˈʁli
தத்து	batːɯ
தத்துவம் அன்று தகவேலோர்	sɐt̪ːʋəm əɳɖu d̪gapɛ loːr
தத்தை	taːt̪ːai̯
தத்வத் அண்டமான்	t̪ət̪wət̪ ɑŋdɑmaːn
தந்தது	tändə
தந்தத்தினால்	dndt̪ːnɑːn
தந்தம்	tãn̪d̪am
தந்தருள வந்தருளும்	t̪nt̪ɾuɭə v̪nt̪ɾuɻum
தந்தருளும் சேவகனை	d̪n̪d̪əɾəɾum ɕɪʋɐgəɳi
தந்திச் செய்திகளை	t̪ːɪkːʃːiɖʱigɐɪ
தந்திரம்	t̪aŋd̪iɾɐm
தந்து	d̪and̪
தந்து உன் மணாளனை	t̪ɐn̪d̪u ʌn maɳaːɭaɪ
தந்துள்ளனர்	t̪an̪d̪uɭanɾ
தந்தை	t̪aːn̪d̪ai̯
தந்தை தாய்ப் பேண்	t̪aːn̪d̪aɪ̯ taːjp̚ peːɳ
தந்தையின்	tandeiːim˧
தனக்கடைத்த	taːnakːkaɾait̪ːə
தனக்குவமை	taːnkəwəme̞j
தனக்கே	t̪an̪kɛ
தனமும்	dnm
தனலட்சுமி	d̪enalatʃmi
தனவான்	dæˈnæˈvɑːn
தனிக்கு	tanikɯ
தனிச் சலுகையளி	t̪ːɳitɕ ɐɭɐk əɻːiː
தனிச்சலுகை	taːniːt̪ʃəloːɦeː
தனிச்சிறப்பு	aɳiʃːiɾpːɯ
தனிச்சொல்	t̪aniktʃʰoˑl
தனித்தன்மை	t̪aːnit̪taːnmai̯
தனித்தமிழ் இயக்கம்	t̪ni ʈamɯɭ ijɐkːum
தனித்திரு	t̪ɐnikːɖeɾɯɾɯ
தனித்து	t̪an̪t̪
தனித்துவத்திற்கும்	t̪etɔuʊt̪eɾɯkːum
தனித்துவம்	tənitəvɔm
தனிநபர்களுக்கும்	d̪niːɳəgaɪ̯rɪkːu
தனிநாயகம்	t̪æniːlaːigum
தனிப் பாதுகாப்பிடம்	t̪n̪i pɑːɖuɣɑː pɪɖəm
தனிப்பட்ட முறையில்	ɖɳipːəɖː muɾəjɭ
தனிப்பண்பு	ð̞nip̚pɐɳbə
தனிமைப்படுத்திக் கொள்	ɖaniːmaɪp̚ paɖut̪ːɪkːɭ
தனியார்துறை	ɖəɳɪːjɑːrt̪uraɪ̯
தனிவேல்	t̪aniːveːl
தன் {than}	tanˀ
தன் கூட மூக்கு அமர்ந்தான்	taːn kuːɖəmup kamɾndaːn
தன் கோயிற்பிணாப் பிள்ளைகாள்	sɑːn̪ kɔːjɾ piːnɑːb̪ ʋeɻkaɪ
தன் பாதத் திறம்பாடி	t̪aːn̪ paːd̪ʈ t̪ɪɾɐm paːɖi
தன் வினை தன்னைச் சுடும்	t̪ɐn̪ ʋini̯ t̪ɐnːɐtɕ uɳːm
தன்குற்றம்	d̪ɐnkɾəm
தன்சானியா	taːnsaːniːə
தன்நீர்மை	d̪ɳːjirmaɪ
தன்ன	tɐnːa
தன்னலக் குழு	t̪anːl̪ək kɾuː
தன்னாலே	d̪anːaːleː
தன்னால்	fnaːl
தன்னிறைவு	t̪ɳɳɾɾɐɪʋɯ
தன்னில்	dˈænneɾɭ
தன்னில் பிரிவிலா	d̪nnil piɾʋɪɭ
தன்னூடே	tãnɳoːɾeː
தன்னை	ðænnej
தன்பழி யுள்ளும்	ˈdan pˈaˈri uɭɭum
தன்பிழை	t̪ænpɾəi̯
தன்மை யவர்	t̪aŋ mãn̪t̪ ɐu eaɾə
தன்மைதானே	d̪n̪maːjːtaːneː
தன்மையற்ற	t̪aɳmaɪɛraː
தன்மையான்	tən˥˩møː˩˦ʔan˥˩
தன்வலியும்	tanːʋɐˈljɪm
தப்பானது	ɖɐpːaːnɐd̪ɯ
தப்பினது	ɖpːiːɳɐd̪
தப்பினார்	təpːnaːr
தப்பினாலும்	tɑpɪnaːlum
தப்பினால்	taːp̚iːnaːl
தப்பு	tɐpːlɨ
தப்புவதற்கான	t̪ɾpːʋd̪ɾkːaːn̪
தப்புவதற்குக் கையாளும்	t̪ɐpːʋɐɖɾkukː kaɪjaːɻum
தமக்கும்	damalkoːmˈ
தமக்கை	taməkkaːiː
தமனி	t̪emãn̪i
தமரா	təmˈaɾa
தமராகிக் தற்றுறந்தார்	taːmaɾaːɦit̪ taʃːurdaː
தமிழ	tamiɬːə
தமிழக சட்டமன்றம்	ɖmɪɻːg̊ sɐt̪ːa man̪ɾaum
தமிழகத்தின் டாலர்	d̪ɪtʃaɪtʃd̪iɾɐɾ
தமிழகத்திலும்	t̪mɨɻt̪ːiɾum
தமிழகம்	tamubjlagamo
தமிழர்	tɑːmɛlˈlɛr
தமிழர் {tha-mi-zhar}	tamiɾeɾ
தமிழாகவே	t̪amiɾaːgʋeː
தமிழாராய்ச்சி	t̪ɐmɪɭaːɾaːt̪ːɕːiː
தமிழிணையம்	t̪ɐmɪriːnʲajam
தமிழியல்	t̪amiɾjɑl
தமிழீழம்	lamɛɾjyɾm
தமிழுக்கு அமிழ்தென்று பேர்	dɾɯɓɯtɕi ɑɾɯtɕi tʃoːpːiːtn
தமிழை	tɑmɪlrai̯
தமிழ்	tɑ̃ɑ̃ˈ
தமிழ் [thuhmizh]	tɑŋɪ
தமிழ் {tha-mizh}	ta˥˩mɤ˧˥
தமிழ் இணையதளம்	t̪ɐmiɭ̥ ɪn̪aɪ̯t̪ːəɭɐm
தமிழ் ஈழம்	t̪ɐmɨɾ iʐəm
தமிழ் ஞான சம்பந்தன்	ɾɐʋeː gɳaːɳɖ sɐmːãn̪d̪anl
தமிழ் நாடு	t̪ɐmɐɻ naːɖu
தமிழ் மொழிபெயர்ப்பு	gɐmɯɐɾ moɻi pejɾpɯ
தமிழ்க்கருவிகள்	d̪mɪɖkruvigə
தமிழ்ச் செப்பேடுகள்	t̪ɐmuʈʃːpːeːɖɪgɐ
தமிழ்த் தன்னார்வலர்களாலும்	rɛkaːɓuɪt̪ː d̪aːntɑːgɑːrʊʋɐd̪ɾɐd̪ɾaːt̪ːum
தமிழ்த் திரைப்படத் துறையின்	t̪ɐmɨɭ ɖiɾaɪpːəɖɐgː ɖuɾəjən
தமிழ்த்தாய் வாழ்த்து	t̪amɨɾt̪ːjːʋaːɻt̪ːɯ
தமிழ்நாடு	t̪amɐɻɳaːɖu
தமிழ்நாடு அரசு	t̪ɐmɐɳɑːɖʈu əɾɐs̪ɯ
தமிழ்நாட்டிற்கு	ɖɐmɨɻat̪ːirʲkːu
தமிழ்நாட்டிலுள்ள	ɖɐmɨɻɑːʈːiluɭɭa
தமிழ்நாட்டுக் கல்வெட்டுக்கள்	t̪ɐmiɭɭaːʈːukː gɭlʋɛʈːugəɭi
தமிழ்நாட்டுக் காலநிலை	ɖəmɨɻɑːʈːukːaːl̪ n̪il̪aɪ
தமிழ்நாட்டுத் தகவல்கள்	t̪ɐmi ɳaːɾːut̪ d̪ɐ�gɐʋɐɭgɑː
தமிழ்நாட்டுத் பரப்பு	d̪ɐmiɳaːʈːup̚ paɾəpːɯ
தமிழ்ப் பற்று	t̪ɐmɨpːəəɾːɯ
தமிழ்ப் பல்கலைக்கழகம்	t̪ɐmu paɻgɐɭ gəɻəgəm
தமிழ்ப் பிராமி	tʰɐmɨp brɑːmeː
தமிழ்ப் பெண்ணே	t̪əmɨ pənneː
தமிழ்ப்பெருங்களஞ்சியம்	t̪ɐmɨpŋgɐɻn̪dʑiɪm
தமுக்கம்	tɐmɑqːɑm
தமையட லரியதாமெனின்	ɖəmɐjɐɖɐl ɐɾijɐaːminiːn
தமையன்	tɑmɑjæm
தம்பட்டங்காய்	t̪ːɐ̃n̪gːt̪ːɐ̃ŋˈaːɪk˦˥
தம்பாற்பொருந்திய	t̪ɐmbaːrpuɾɪn̪d̪i̯eː
தம்பி	t̪eːmˌbjiː
தம்பிரான	t̪ɐmbiɾaːn̪
தம்பிரானுக்கு	t̪ɐmbiɾaːnkːu
தம்புரங்கள்	t̪æmbuɾəŋge
தம்பூருக்கும்	tɐ̃mbuːɾpːkʰuːm
தம்மம்பட்டி	t̪ɐmːpəɾiː
தம்மிற்பெரியார்	tɐmmiɾpeɾiaːr
தம்மோடு	t̪ɐmoːɖu
தயக்கத்தால்	t̪jɐkːt̪ːaːl
தயவு செயது	djɐʋɐseːɪdɯ
தயாராகிறது	t̪jɑːrɑːgirʌd̪
தயாராயுள்ள	tjˈɑːrɑːjlæ
தயாரிக்கப்படுகிறது	d̪ɪkːɾɪpːɖʈgiɾɐd̪
தயாரிக்கப்பட்டது	t̪aɪ̯ɐɾikːɐpːt̪ːɖu
தயாரிக்கப்பட்டு	d̪ɪabɯkːʈu
தயாரிப்பிற்கு	t̪iaːɾipiɾkɯ
தயார்	tajɾ
தயிரும்	t̪aɪrɪm
தரங்கநீ	t̪əɾəŋəɾiː
தரங்கம்பாடி	t̪ɾəŋgəmaːɖi
தரசு	təɾəsɨɾ
தரணி	t̪ɾniː
தரப்பட்ட	t̪ɾpːpaɖːɑː
தரமா	tɾmaː
தரமின்மையைத் தெரிவிக்கிற	raːmiŋueʃ kɔːrɟuk
தரமிழப்பு	ɖəɾəmɛɻpːu
தரிக்கிலான் ஆகி	t̪əɾɪkː xiːlaːn ɑːhiː
தரித்தரம்	daridharaːm
தரு துயரம் தடாயேல்	ʈuɪrɯd̪jɐɾɐm d̪ɖɑːjɛːɭ
தருகிறது	təɾˈjajːrad̪iː
தருணமாய்	təɾuːnaːmaːi
தருணம்	t̪aɾuɳəm
தருமம்	dɑrmɑm
தருமராஜன்	d̪ʱaɾumäɾɑːn
தருவது	tʊ̞rʊ̞bɯ̞ðɯ̞
தருவதொன் றில்	t̪əɾːb̪t̪ ɔn̪d̪eːl
தருவாள்	taːroːaːr
தருவேன்	t̪ɾpeːn
தரை	taraj
தரைமட்டம்	ɐɾaɪmaʈːam
தர்காவில்	saːrqaaːɾɨl
தர்பூசணிப்பழம்	nʌt̪pɔːsɐɽipaɺam
தர்மபுரி	d̪ɾmɐpuːriː
தர்மலிங்கம்	ðɐɾməliːŋgəm
தர்மேஸ்வரர்	dmeːˈswaɾaɾ
தறி	dˈæri
தறிக்கிறதா	t̪əɾikiːɾədaː
தறிதலையும்	taːriːtaːlajɯm
தறியிலே	taɾiːleː
தறியில்	̪d̪ɾiːl
தறியீர்	t̪riːjɾ
தறிவது	t̪aɾiʋau̯t̪ɯ
தறிவார்	ɦriːvaːr
தறிவு	taɾiːvuuː
தறுகண்	t̪ɐrgən
தறுகண்ஒன் றுற்றக்கால்	d̪ɾɪgɐɳuən̪ɖut̪ɾəkːkaːɭ
தற்காலக் குறிப்புகள்	t̪ɐkaːl̪k guɾipːgɯ
தற்காலிகமாய்ச் செய்யப்பெற்றுள்ள	ləːkː kaːliːqnɑːhɪ zɛːdʒɛt̪ ɪkː ɾoːi ljɑː
தற்சார்பு பொருளாதாரம்	t̪ɾtʃːaːɾpːɯ poːɾuɭɑː taːɾɐm
தற்பால்சேர்க்கை	t̪aɾpaːɭtʃːirki
தற்போது	tɐɾpˈoːði
தற்றாகும்	ɖɐʈːraːgum
தற்றுறந்தார்	t̪aʈurdaːr
தலங்கள்	t̪aːlõŋgai̯
தலித் அமைப்புகள்	d̪ɭiɪt̪ əmaɪpːugə
தலை	laːlɛj
தலை முழுகுதல்	t̪eːlæj moɺgəðar
தலை வணங்கு	t̪aɭːʋʋɐɳːɪkːu
தலைகாண்பு	d̪aːliːkːɑːɳbʊ
தலைகீழான	t̪əliːkeːɖɑːnɛ
தலைகீழாய்	taɪlɛjʃaɪn
தலைச்செல்லா	t̪aːl̪ai̯t̪ɕːlaː
தலைநகரமாகத் திருச்சியை	əɾæjɯmogɯrɑː maːr ɑːbɑʔuʋiːgisɪge
தலைநகரமாக்கும்	t̪aɪ̯ɪ̯n̪gərɐmɐkːum
தலைநகரமும்	t̪aːjɪlɐgəkːramʊm
தலைநகராக்க	t̪le̞jnarakːa
தலைநகராக்கப்பட்டது	t̪aːl̪an̪əɣ̞rɐːkːapːpʈːɐd̪
தலைநகரிலிருந்து	taɭaɳəgɾil̪bɭɯn̪d̪u
தலைப் பக்கம்	d̪laɪ̯t̪ paɣːam
தலைப்படா தார்	taːlipːpaːɖaːtaːrm
தலைப்படு வார்	̪t̪əmaɐɾːuʋɑːr
தலைப்படுவார்	ʈalaɪpːɽuʋɑːr
தலைப்பிரியா தார்	taɭːai̯p̚ biɾijaːtaːɾ
தலைப்பிரியாதார்	t̪at̪akapað̞aːr
தலைப்பு	t̪a̠lajpɯ
தலைப்பெய்து	d̪aːai̯ʋpːiʋu
தலைப்பொங்கல்	d̪lajpŋgəl
தலைமாடு	t̪aɭamaːɖu
தலைமுறை	laiːmuːraj
தலைமுறைகளாகப்	taːlajmuɾaɪlʌːɑːgp
தலைமுறையாக	t̪aːliːmɾjhg
தலைமுறையாய்	ɣəlaibʊˈrɑiaːj
தலைமேலே	taːlejmɛleː
தலைமைச் செயலகத்துக்கு	t̪aɭaɪmɪtʃ tɕːjjɐl̪eʈːukːu
தலைமைச் செயலகம்	ɖɐlajːʋatɕːjəɭakʌm
தலைமைப் பாடகி	t̪lejmajp paːɖəɣi
தலைமையிடமாக	ɖɐlai̯ʋai̯gɖəmaːkaː
தலைமையிடமான	ɖəlaɪmɑjɨɖmaːnɛ
தலைமையிடமும்	gɐlːaɪ̯maɪ̯iːɖɐmɾum
தலைமையில்	d̪aːl̪ai̯maɪ̯l
தலையணை	t̪oːjɐnɛi̯
தலையா	t̪iljɑʔ
தலையாரி	t̪əl̪əjɑːriː
தலையிடாதே	tɑːlɪjɖɑːze
தலையிடுதல்	taːlajːaɖʊgɐɑːl
தலையிட்டு	t̪aɭaɾaɾa
தலையில்	aliː
தலையெடுக்க	t̪aɭaɪɾukː
தலையெடுத்தல்	t̪aɭɐjɖʈːɭʋ
தலைவனுக்கு	t̪aɭæjʋɐnukː
தலைவன்	alaɪbaːn
தலைவர்	t̪elai̯vɾɐ
தலைவலி	t̪aːliːʋeːleː
தல்லாகுளத்தில்	t̪ɐlːɑːkuɻt̪ːil
தள	tɾlɑ
தளக்கோலங்கள்	d̪ɐɻəkːkoːɭŋɭ
தளபதி	tɐlɐbavːiː
தளபதிகளாக	d̪ɐɻːpəgɐɻˈaːg
தளமேடை	gaːɭəmmeːiʈaɪ
தளறு	taˈrɔ
தளவிசை	d̪ɐɾʊʃːai
தளி	tɾalaː
தளிர்க்கிறது	t̪aɭit̪kiɾɐdɯ
தளிர்க்குமா	d̪ɾɪkːumaː
தளிர்க்கும்	talirkon
தளிர்த்தது	t̪aɻit̪ːɐd̪u
தள்ளாடி	d̪ɭːaːɖiː
தள்ளாடிக்கொண்டு	t̪ɭːɑːɽikːkɔɳɖu
தள்ளாடு	t̪aɭːaːɖɯ
தள்ளாமை	t̪ɐlːaːma
தள்ளி	t̪ɭːiːt̪
தள்ளு	tsyɓ˨
தள்ளுகை	pəɭːukaɪ
தள்ளும்	t̪ɐɭːum
தழல்	tɾaːn
தழீஇய	tɾiːjjɛ
தழும்பு	t̪ɾumbɯ
தழுவினான்	taɻʊːbiːnːn
தழுவு	tɾəmɯ
தழைப்பான்	kəɺai̯pən
தவசி	tɑːbɑːsiː
தவத்தவர்	d̪ʊt̪ːʋər
